QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
3,4:09.0,Shooting foul by T. Johnson (drawn by J. Green),,75,79
3,4:09.0,J. Green makes free throw 1 of 1,,76,79
3,3:55.0,,R. McGruder makes 2-pt layup from 2 ft (assist by J. Winslow),76,81
3,3:41.0,K. Oubre misses 3-pt jump shot from 24 ft,,76,81
3,3:39.0,Offensive rebound by D. Howard,,76,81
3,3:31.0,A. Rivers makes 2-pt layup from 1 ft,,78,81
3,3:21.0,,H. Whiteside misses 2-pt jump shot from 18 ft,78,81
3,3:18.0,Defensive rebound by D. Howard,,78,81
3,3:11.0,J. Wall misses 2-pt jump shot from 9 ft,,78,81
3,3:08.0,,Defensive rebound by H. Whiteside,78,81
3,3:02.0,,Turnover by R. McGruder (bad pass),78,81
3,2:50.0,A. Rivers misses 2-pt jump shot from 16 ft,,78,81
3,2:44.0,Offensive rebound by A. Rivers,,78,81
3,2:44.0,A. Rivers misses 2-pt layup at rim,,78,81
3,2:43.0,,Defensive rebound by H. Whiteside,78,81
3,2:40.0,,W. Ellington misses 3-pt jump shot from 25 ft,78,81
3,2:39.0,,Offensive rebound by W. Ellington,78,81
3,2:39.0,,Turnover by W. Ellington (bad pass; steal by K. Oubre),78,81
3,2:21.0,Shooting foul by H. Whiteside (drawn by J. Wall),,78,81
3,2:21.0,J. Wall makes free throw 1 of 2,,79,81
3,2:21.0,I. Mahinmi enters the game for D. Howard,,79,81
3,2:21.0,,B. Adebayo enters the game for H. Whiteside,79,81
3,2:21.0,J. Wall makes free throw 2 of 2,,80,81
3,2:07.0,,R. McGruder misses 2-pt jump shot from 5 ft,80,81
3,2:05.0,,Offensive rebound by R. McGruder,80,81
3,2:02.0,,J. Winslow misses 3-pt jump shot from 25 ft,80,81
3,2:01.0,Defensive rebound by K. Oubre,,80,81
3,1:53.0,Personal foul by R. McGruder (drawn by I. Mahinmi),,80,81
3,1:53.0,I. Mahinmi misses free throw 1 of 2,,80,81
3,1:53.0,Offensive rebound by Team,,80,81
3,1:53.0,,K. Olynyk enters the game for R. McGruder,80,81
3,1:53.0,,J. Richardson enters the game for J. Winslow,80,81
3,1:53.0,I. Mahinmi makes free throw 2 of 2,,81,81
3,1:44.0,,Personal foul by K. Oubre (drawn by J. Richardson),81,81
3,1:35.0,,K. Olynyk misses 3-pt jump shot from 28 ft,81,81
3,1:31.0,Defensive rebound by A. Rivers,,81,81
3,1:16.0,Turnover by I. Mahinmi (out of bounds lost ball),,81,81
3,1:04.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by J. Richardson),81,84
3,0:40.0,Turnover by A. Rivers (traveling),,81,84
3,0:31.0,,Personal foul by I. Mahinmi (drawn by B. Adebayo),81,84
3,0:31.0,,B. Adebayo makes free throw 1 of 2,81,85
3,0:31.0,,D. Jones enters the game for W. Ellington,81,85
3,0:31.0,,J. Winslow enters the game for K. Olynyk,81,85
3,0:31.0,,B. Adebayo misses free throw 2 of 2,81,85
3,0:29.0,Defensive rebound by K. Oubre,,81,85
3,0:10.0,Offensive foul by K. Oubre (drawn by D. Jones),,81,85
3,0:10.0,Turnover by K. Oubre (offensive foul),,81,85
3,0:10.0,T. Satoranský enters the game for I. Mahinmi,,81,85
3,0:10.0,,W. Ellington enters the game for B. Adebayo,81,85
3,0:10.0,,R. McGruder enters the game for D. Jones,81,85
3,0:10.0,,K. Olynyk enters the game for J. Winslow,81,85
3,0:04.0,,Turnover by T. Johnson (lost ball; steal by A. Rivers),81,85
3,0:00.0,K. Oubre misses 2-pt layup from 2 ft (block by T. Johnson),,81,85
3,0:00.0,Offensive rebound by J. Green,,81,85
3,0:00.0,J. Green makes 2-pt dunk from 1 ft,,83,85
4,11:52.0,Def 3 sec tech foul by Team,,83,85
4,11:52.0,J. Wall makes technical free throw,,84,85
4,11:44.0,A. Rivers makes 2-pt layup from 2 ft,,86,85
4,11:31.0,,Offensive foul by W. Ellington (drawn by J. Wall),86,85
4,11:31.0,,Turnover by W. Ellington (offensive foul),86,85
4,11:16.0,A. Rivers misses 3-pt jump shot from 25 ft,,86,85
4,11:12.0,,Defensive rebound by T. Johnson,86,85
4,11:06.0,,Personal foul by A. Rivers (drawn by K. Olynyk),86,85
4,11:03.0,,Offensive foul by T. Johnson (drawn by A. Rivers),86,85
4,11:03.0,,Turnover by T. Johnson (offensive foul),86,85
4,10:50.0,J. Green makes 2-pt dunk from 1 ft (assist by J. Wall),,88,85
4,10:37.0,,Shooting foul by K. Oubre (drawn by J. Richardson),88,85
4,10:37.0,,J. Richardson misses free throw 1 of 2,88,85
4,10:37.0,,Offensive rebound by Team,88,85
4,10:37.0,,J. Richardson makes free throw 2 of 2,88,86
4,10:26.0,Shooting foul by K. Olynyk (drawn by J. Wall),,88,86
4,10:26.0,J. Wall makes free throw 1 of 2,,89,86
4,10:26.0,J. Wall makes free throw 2 of 2,,90,86
4,10:14.0,,T. Johnson misses 3-pt jump shot from 23 ft,90,86
4,10:11.0,Defensive rebound by J. Green,,90,86
4,10:01.0,J. Wall makes 2-pt jump shot from 14 ft,,92,86
4,10:01.0,,Miami full timeout,92,86
4,10:01.0,,J. Winslow enters the game for K. Olynyk,92,86
4,9:45.0,,J. Richardson misses 2-pt jump shot from 23 ft,92,86
4,9:42.0,Defensive rebound by J. Green,,92,86
4,9:31.0,J. Green misses 2-pt layup from 2 ft,,92,86
4,9:28.0,,Defensive rebound by W. Ellington,92,86
4,9:20.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Winslow),92,88
4,9:02.0,Shooting foul by B. Adebayo (drawn by I. Mahinmi),,92,88
4,9:02.0,I. Mahinmi makes free throw 1 of 2,,93,88
4,9:02.0,I. Mahinmi makes free throw 2 of 2,,94,88
4,8:50.0,,J. Winslow makes 2-pt layup from 1 ft (assist by W. Ellington),94,90
4,8:31.0,Shooting foul by T. Johnson (drawn by A. Rivers),,94,90
4,8:31.0,A. Rivers makes free throw 1 of 2,,95,90
4,8:31.0,A. Rivers makes free throw 2 of 2,,96,90
4,8:15.0,,W. Ellington misses 2-pt layup from 1 ft,96,90
4,8:09.0,,Offensive rebound by B. Adebayo,96,90
4,8:09.0,,B. Adebayo makes 2-pt layup from 1 ft,96,92
4,7:55.0,J. Wall misses 2-pt jump shot from 17 ft,,96,92
4,7:53.0,,Defensive rebound by T. Johnson,96,92
