QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
1,2:44.0,S. Curry misses 2-pt jump shot from 21 ft,,23,16
1,2:41.0,,Defensive rebound by M. Hezonja,23,16
1,2:33.0,,M. Hezonja makes 2-pt layup from 2 ft,23,18
1,2:28.0,Golden State full timeout,,23,18
1,2:28.0,,Technical foul by D. Cousins,23,18
1,2:28.0,S. Livingston enters the game for K. Durant,,23,18
1,2:28.0,,T. Burke enters the game for D. Dotson,23,18
1,2:28.0,,L. Thomas enters the game for F. Ntilikina,23,18
1,2:28.0,,T. Hardaway makes technical free throw,23,19
1,2:18.0,A. Iguodala misses 2-pt jump shot from 16 ft,,23,19
1,2:16.0,,Defensive rebound by E. Freedom,23,19
1,2:06.0,,Turnover by T. Burke (bad pass; steal by J. Bell),23,19
1,2:02.0,S. Curry misses 3-pt jump shot from 25 ft,,23,19
1,2:00.0,,Defensive rebound by M. Hezonja,23,19
1,1:39.0,,T. Hardaway misses 3-pt jump shot from 27 ft,23,19
1,1:37.0,Defensive rebound by J. Bell,,23,19
1,1:26.0,Shooting foul by E. Freedom (drawn by K. Looney),,23,19
1,1:26.0,,A. Trier enters the game for T. Hardaway,23,19
1,1:26.0,K. Looney makes free throw 1 of 2,,24,19
1,1:26.0,K. Looney makes free throw 2 of 2,,25,19
1,1:10.0,,L. Thomas makes 2-pt jump shot from 21 ft (assist by T. Burke),25,21
1,0:47.0,Turnover by J. Bell (3 sec),,25,21
1,0:29.0,,E. Freedom misses 2-pt jump shot from 7 ft,25,21
1,0:29.0,,Offensive rebound by E. Freedom,25,21
1,0:29.0,,E. Freedom makes 2-pt layup from 1 ft,25,23
1,0:06.0,S. Livingston misses 2-pt jump shot from 17 ft,,25,23
1,0:04.0,,Defensive rebound by E. Freedom,25,23
1,0:00.0,,T. Burke makes 2-pt layup from 1 ft,25,25
2,11:42.0,K. Thompson misses 2-pt jump shot from 11 ft,,25,25
2,11:40.0,,Defensive rebound by T. Burke,25,25
2,11:27.0,,M. Hezonja makes 2-pt layup from 5 ft (assist by E. Freedom),25,27
2,11:18.0,K. Thompson misses 2-pt jump shot from 7 ft,,25,27
2,11:16.0,,Defensive rebound by E. Freedom,25,27
2,11:13.0,,Personal foul by J. Jerebko (drawn by E. Freedom),25,27
2,11:00.0,,Turnover by E. Freedom (bad pass; steal by S. Livingston),25,27
2,10:56.0,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Livingston),,27,27
2,10:36.0,,A. Trier misses 2-pt layup from 1 ft,27,27
2,10:35.0,,Offensive rebound by Team,27,27
2,10:35.0,Loose ball foul by J. Jerebko (drawn by E. Freedom),,27,27
2,10:26.0,,M. Hezonja misses 3-pt jump shot from 23 ft,27,27
2,10:24.0,Defensive rebound by S. Livingston,,27,27
2,10:11.0,K. Thompson misses 3-pt jump shot from 23 ft,,27,27
2,10:09.0,,Defensive rebound by L. Thomas,27,27
2,9:54.0,,E. Freedom makes 2-pt dunk at rim (assist by M. Hezonja),27,29
2,9:36.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),,29,29
2,9:19.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by E. Freedom),29,31
2,9:11.0,Personal foul by T. Burke (drawn by S. Livingston),,29,31
2,9:04.0,K. Thompson misses 2-pt jump shot from 20 ft,,29,31
2,9:02.0,,Defensive rebound by E. Freedom,29,31
2,8:50.0,,L. Thomas misses 3-pt jump shot from 24 ft,29,31
2,8:48.0,Defensive rebound by J. Jerebko,,29,31
2,8:42.0,J. Jerebko misses 3-pt jump shot from 26 ft,,29,31
2,8:40.0,,Defensive rebound by M. Hezonja,29,31
2,8:32.0,,Turnover by M. Hezonja (lost ball; steal by D. Green),29,31
2,8:28.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),,31,31
2,8:05.0,,E. Freedom misses 2-pt hook shot from 5 ft,31,31
2,8:03.0,Defensive rebound by K. Thompson,,31,31
2,7:56.0,D. Green makes 2-pt jump shot from 17 ft (assist by K. Thompson),,33,31
2,7:49.0,,New York full timeout,33,31
2,7:49.0,K. Durant enters the game for A. Iguodala,,33,31
2,7:36.0,,A. Trier misses 2-pt layup from 3 ft,33,31
2,7:35.0,Defensive rebound by K. Thompson,,33,31
2,7:24.0,K. Thompson makes 2-pt layup from 2 ft,,35,31
2,7:09.0,,E. Freedom makes 2-pt dunk from 2 ft,35,33
2,6:51.0,D. Green makes 3-pt jump shot from 25 ft,,38,33
2,6:38.0,,T. Burke misses 2-pt layup from 10 ft,38,33
2,6:36.0,Defensive rebound by J. Jerebko,,38,33
2,6:25.0,J. Jerebko makes 2-pt jump shot from 14 ft (assist by K. Thompson),,40,33
2,6:03.0,,T. Burke misses 3-pt jump shot from 26 ft,40,33
2,6:01.0,Defensive rebound by J. Jerebko,,40,33
2,5:56.0,Turnover by K. Durant (palming),,40,33
2,5:56.0,S. Curry enters the game for K. Thompson,,40,33
2,5:56.0,,T. Hardaway enters the game for T. Burke,40,33
2,5:56.0,,F. Ntilikina enters the game for A. Trier,40,33
2,5:44.0,,Turnover by F. Ntilikina (traveling),40,33
2,5:44.0,D. Jones enters the game for D. Green,,40,33
2,5:44.0,,N. Vonleh enters the game for M. Hezonja,40,33
2,5:38.0,Personal foul by L. Thomas (drawn by K. Durant),,40,33
2,5:38.0,,D. Dotson enters the game for L. Thomas,40,33
2,5:34.0,Personal foul by F. Ntilikina (drawn by S. Curry),,40,33
2,5:34.0,A. Iguodala enters the game for S. Livingston,,40,33
2,5:28.0,J. Jerebko misses 2-pt jump shot from 20 ft,,40,33
2,5:26.0,,Defensive rebound by E. Freedom,40,33
2,5:07.0,,D. Dotson misses 3-pt jump shot from 26 ft,40,33
2,5:05.0,,Offensive rebound by E. Freedom,40,33
2,5:00.0,,Turnover by E. Freedom (bad pass),40,33
2,5:00.0,,M. Robinson enters the game for E. Freedom,40,33
2,4:56.0,K. Durant makes 2-pt jump shot from 2 ft,,42,33
2,4:56.0,Shooting foul by M. Robinson (drawn by K. Durant),,42,33
2,4:56.0,K. Durant makes free throw 1 of 1,,43,33
2,4:39.0,,Personal foul by J. Jerebko (drawn by T. Hardaway),43,33
2,4:39.0,D. Green enters the game for J. Jerebko,,43,33
2,4:32.0,,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by T. Hardaway),43,36
2,4:22.0,K. Durant makes 3-pt jump shot from 27 ft,,46,36
2,4:10.0,,D. Dotson misses 3-pt jump shot from 22 ft,46,36
2,4:08.0,Defensive rebound by A. Iguodala,,46,36
2,4:04.0,S. Curry misses 3-pt jump shot from 29 ft,,46,36
2,4:02.0,Offensive rebound by K. Durant,,46,36
2,3:59.0,D. Green misses 3-pt jump shot from 26 ft,,46,36
2,3:57.0,,Defensive rebound by D. Dotson,46,36
2,3:44.0,,T. Hardaway misses 3-pt jump shot from 28 ft,46,36
2,3:43.0,Defensive rebound by Team,,46,36
2,3:43.0,K. Thompson enters the game for D. Jones,,46,36
2,3:38.0,K. Thompson misses 2-pt jump shot from 17 ft,,46,36
2,3:36.0,,Defensive rebound by Team,46,36
2,3:21.0,,D. Dotson misses 3-pt jump shot from 25 ft,46,36
2,3:19.0,Defensive rebound by K. Durant,,46,36
2,3:14.0,K. Durant makes 2-pt layup from 4 ft,,48,36
2,3:07.0,,New York full timeout,48,36
2,3:07.0,,Technical foul by M. Robinson,48,36
2,3:07.0,S. Curry makes technical free throw,,49,36
2,3:01.0,,Personal foul by K. Thompson (drawn by T. Hardaway),49,36
2,2:49.0,,F. Ntilikina makes 2-pt jump shot from 11 ft,49,38
2,2:31.0,S. Curry misses 2-pt layup from 4 ft (block by N. Vonleh),,49,38
2,2:29.0,,Defensive rebound by D. Dotson,49,38
2,2:25.0,,T. Hardaway misses 2-pt layup from 4 ft (block by D. Green),49,38
2,2:24.0,,Offensive rebound by Team,49,38
2,2:20.0,,Shooting foul by S. Curry (drawn by F. Ntilikina),49,38
2,2:20.0,,F. Ntilikina makes free throw 1 of 2,49,39
2,2:20.0,,F. Ntilikina makes free throw 2 of 2,49,40
2,1:59.0,K. Durant makes 2-pt jump shot from 20 ft,,51,40
2,1:45.0,,Shooting foul by A. Iguodala (drawn by N. Vonleh),51,40
2,1:45.0,,N. Vonleh makes free throw 1 of 2,51,41
2,1:45.0,,N. Vonleh makes free throw 2 of 2,51,42
2,1:26.0,K. Durant misses 2-pt jump shot from 11 ft,,51,42
2,1:24.0,,Defensive rebound by N. Vonleh,51,42
2,1:19.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by T. Hardaway),51,45
2,1:07.0,Turnover by D. Green (bad pass; steal by M. Robinson),,51,45
2,1:02.0,,T. Hardaway misses 3-pt jump shot from 25 ft,51,45
2,1:00.0,Defensive rebound by Team,,51,45
2,1:00.0,,Loose ball foul by N. Vonleh (drawn by D. Green),51,45
2,1:00.0,,L. Thomas enters the game for N. Vonleh,51,45
2,1:00.0,D. Green makes free throw 1 of 2,,52,45
2,1:00.0,D. Green makes free throw 2 of 2,,53,45
2,0:52.0,,F. Ntilikina makes 3-pt jump shot from 25 ft,53,48
2,0:35.0,K. Thompson misses 2-pt layup from 1 ft,,53,48
2,0:33.0,,Defensive rebound by T. Hardaway,53,48
2,0:29.0,,T. Hardaway makes 3-pt jump shot from 24 ft,53,51
2,0:09.0,K. Thompson misses 3-pt jump shot from 25 ft,,53,51
2,0:07.0,,Defensive rebound by D. Dotson,53,51
2,0:02.0,,T. Hardaway makes 2-pt layup from 2 ft,53,53
3,11:43.0,Turnover by D. Green (bad pass; steal by M. Robinson),,53,53
3,11:22.0,,F. Ntilikina makes 2-pt jump shot from 11 ft,53,55
3,11:03.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Jones),,55,55
3,10:54.0,,Shooting foul by K. Thompson (drawn by T. Hardaway),55,55
3,10:54.0,,T. Hardaway makes free throw 1 of 2,55,56
3,10:54.0,,T. Hardaway misses free throw 2 of 2,55,56
3,10:52.0,Defensive rebound by D. Green,,55,56
3,10:44.0,Personal foul by T. Hardaway (drawn by K. Durant),,55,56
3,10:38.0,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),,58,56
3,10:18.0,,T. Hardaway makes 2-pt jump shot from 15 ft,58,58
3,10:04.0,D. Green makes 2-pt layup at rim,,60,58
3,9:53.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),60,61
3,9:41.0,Turnover by S. Curry (bad pass; steal by D. Dotson),,60,61
3,9:37.0,,D. Dotson makes 2-pt jump shot from 23 ft,60,63
3,9:11.0,K. Durant misses 2-pt jump shot from 11 ft,,60,63
3,9:09.0,,Defensive rebound by M. Robinson,60,63
3,9:02.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,60,63
3,9:01.0,,Offensive rebound by M. Robinson,60,63
3,9:00.0,,Shooting foul by D. Green (drawn by M. Robinson),60,63
3,9:00.0,,M. Robinson misses free throw 1 of 2,60,63
3,9:00.0,,Offensive rebound by Team,60,63
3,9:00.0,,M. Robinson makes free throw 2 of 2,60,64
3,8:51.0,S. Curry makes 2-pt layup from 2 ft,,62,64
3,8:46.0,,Personal foul by D. Green (drawn by D. Dotson),62,64
3,8:41.0,,T. Hardaway misses 2-pt jump shot from 19 ft,62,64
3,8:39.0,,Offensive rebound by M. Robinson,62,64
3,8:37.0,,M. Robinson makes 2-pt layup from 1 ft,62,66
3,8:32.0,Turnover by D. Green (bad pass),,62,66
3,8:19.0,,Turnover by F. Ntilikina (bad pass; steal by D. Jones),62,66
3,8:18.0,Personal foul by N. Vonleh (drawn by D. Jones),,62,66
3,8:10.0,D. Green makes 2-pt layup from 1 ft,,64,66
3,8:10.0,,Violation by Team (def goaltending),64,66
3,7:47.0,,F. Ntilikina makes 2-pt layup from 1 ft (assist by N. Vonleh),64,68
3,7:31.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),,67,68
3,7:20.0,,T. Hardaway makes 2-pt layup from 1 ft,67,70
3,7:05.0,Turnover by S. Curry (lost ball; steal by F. Ntilikina),,67,70
3,7:03.0,,T. Hardaway makes 2-pt dunk from 1 ft,67,72
3,7:03.0,Golden State full timeout,,67,72
3,7:03.0,K. Looney enters the game for D. Green,,67,72
3,7:03.0,,T. Burke enters the game for F. Ntilikina,67,72
3,6:43.0,Turnover by K. Durant (bad pass),,67,72
3,6:43.0,J. Bell enters the game for D. Jones,,67,72
3,6:27.0,,T. Hardaway misses 2-pt jump shot from 19 ft,67,72
3,6:25.0,Defensive rebound by K. Durant,,67,72
3,6:17.0,Turnover by K. Thompson (bad pass; steal by N. Vonleh),,67,72
3,6:05.0,,M. Robinson makes 2-pt dunk at rim (assist by N. Vonleh),67,74
3,5:51.0,S. Curry misses 2-pt layup from 1 ft,,67,74
3,5:49.0,,Defensive rebound by T. Hardaway,67,74
3,5:25.0,,N. Vonleh misses 2-pt layup from 2 ft,67,74
3,5:23.0,Defensive rebound by K. Looney,,67,74
3,5:14.0,K. Thompson misses 2-pt jump shot from 21 ft,,67,74
3,5:12.0,,Defensive rebound by N. Vonleh,67,74
3,4:53.0,,Turnover by Team (shot clock),67,74
3,4:53.0,,E. Freedom enters the game for N. Vonleh,67,74
3,4:31.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),,69,74
3,4:06.0,,T. Burke misses 3-pt jump shot from 24 ft,69,74
3,4:05.0,,Offensive rebound by E. Freedom,69,74
3,4:04.0,,E. Freedom makes 2-pt layup from 2 ft,69,76
3,3:50.0,K. Durant misses 2-pt layup from 6 ft,,69,76
3,3:48.0,,Defensive rebound by M. Robinson,69,76
3,3:37.0,,T. Burke misses 3-pt jump shot from 26 ft,69,76
3,3:36.0,,Offensive rebound by D. Dotson,69,76
3,3:25.0,,E. Freedom misses 2-pt hook shot from 3 ft,69,76
3,3:22.0,Defensive rebound by S. Curry,,69,76
3,3:14.0,S. Curry misses 3-pt jump shot from 26 ft,,69,76
3,3:12.0,,Defensive rebound by T. Burke,69,76
3,3:09.0,,D. Dotson makes 2-pt layup from 1 ft (assist by T. Burke),69,78
3,3:09.0,Golden State full timeout,,69,78
3,3:09.0,A. Iguodala enters the game for J. Bell,,69,78
3,3:09.0,J. Jerebko enters the game for K. Durant,,69,78
3,3:09.0,A. McKinnie enters the game for K. Thompson,,69,78
3,3:09.0,,M. Hezonja enters the game for D. Dotson,69,78
3,3:09.0,,L. Thomas enters the game for M. Robinson,69,78
3,2:55.0,S. Curry makes 2-pt jump shot from 19 ft (assist by K. Looney),,71,78
3,2:40.0,,T. Hardaway misses 3-pt jump shot from 28 ft,71,78
3,2:38.0,Defensive rebound by S. Curry,,71,78
3,2:35.0,Turnover by K. Looney (step out of bounds),,71,78
3,2:11.0,,Turnover by L. Thomas (lost ball; steal by S. Curry),71,78
3,2:04.0,S. Curry misses 3-pt jump shot from 27 ft,,71,78
3,2:02.0,Offensive rebound by A. McKinnie,,71,78
3,1:59.0,A. McKinnie misses 2-pt layup from 2 ft,,71,78
3,1:57.0,,Defensive rebound by E. Freedom,71,78
3,1:51.0,,T. Hardaway makes 3-pt jump shot from 29 ft,71,81
3,1:37.0,K. Looney makes 2-pt layup from 1 ft (assist by A. Iguodala),,73,81
3,1:37.0,Shooting foul by E. Freedom (drawn by K. Looney),,73,81
3,1:37.0,K. Looney makes free throw 1 of 1,,74,81
3,1:25.0,,Personal foul by K. Looney (drawn by E. Freedom),74,81
3,1:20.0,,M. Hezonja misses 3-pt jump shot from 25 ft,74,81
3,1:18.0,Defensive rebound by J. Jerebko,,74,81
3,1:08.0,J. Jerebko misses 2-pt layup from 2 ft,,74,81
3,1:07.0,Offensive rebound by K. Looney,,74,81
3,1:07.0,K. Looney makes 2-pt layup from 1 ft,,76,81
3,0:51.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by L. Thomas),76,84
3,0:45.0,J. Jerebko makes 3-pt jump shot from 27 ft (assist by S. Curry),,79,84
3,0:33.0,,L. Thomas misses 2-pt jump shot from 21 ft,79,84
3,0:28.0,Defensive rebound by A. Iguodala,,79,84
3,0:24.0,Shooting foul by T. Hardaway (drawn by S. Curry),,79,84
3,0:24.0,J. Bell enters the game for J. Jerebko,,79,84
3,0:24.0,,A. Trier enters the game for E. Freedom,79,84
3,0:24.0,S. Curry makes free throw 1 of 2,,80,84
3,0:24.0,S. Curry makes free throw 2 of 2,,81,84
3,0:00.0,,T. Burke misses 3-pt jump shot from 27 ft,81,84
3,0:00.0,,Offensive rebound by Team,81,84
4,11:40.0,,T. Burke makes 3-pt jump shot from 27 ft (assist by M. Hezonja),81,87
4,11:26.0,Personal foul by L. Thomas (drawn by K. Durant),,81,87
4,11:20.0,K. Durant makes 3-pt jump shot from 26 ft,,84,87
4,10:58.0,,M. Hezonja misses 3-pt jump shot from 25 ft,84,87
4,10:56.0,Defensive rebound by J. Jerebko,,84,87
4,10:49.0,K. Durant misses 3-pt jump shot from 26 ft,,84,87
4,10:47.0,,Defensive rebound by E. Freedom,84,87
4,10:41.0,,Shooting foul by J. Jerebko (drawn by T. Burke),84,87
4,10:41.0,,T. Burke misses free throw 1 of 2,84,87
4,10:41.0,,Offensive rebound by Team,84,87
4,10:41.0,,T. Burke makes free throw 2 of 2,84,88
4,10:28.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,86,88
4,10:19.0,,T. Burke makes 2-pt layup from 4 ft,86,90
4,10:19.0,,Shooting foul by A. Iguodala (drawn by T. Burke),86,90
4,10:19.0,,T. Burke makes free throw 1 of 1,86,91
4,9:55.0,K. Thompson misses 2-pt jump shot from 19 ft,,86,91
4,9:53.0,,Defensive rebound by E. Freedom,86,91
4,9:48.0,,M. Hezonja misses 2-pt layup from 1 ft (block by A. Iguodala),86,91
4,9:47.0,,Offensive rebound by Team,86,91
4,9:39.0,,Turnover by A. Trier (bad pass; steal by K. Thompson),86,91
4,9:28.0,K. Thompson misses 3-pt jump shot from 26 ft,,86,91
4,9:26.0,,Defensive rebound by E. Freedom,86,91
4,9:17.0,,E. Freedom misses 2-pt jump shot from 16 ft,86,91
4,9:15.0,Defensive rebound by J. Jerebko,,86,91
4,9:09.0,K. Durant makes 2-pt layup from 4 ft,,88,91
4,9:09.0,Shooting foul by E. Freedom (drawn by K. Durant),,88,91
4,9:09.0,K. Durant makes free throw 1 of 1,,89,91
4,8:59.0,,Offensive foul by E. Freedom (drawn by K. Thompson),89,91
4,8:59.0,,Turnover by E. Freedom (offensive foul),89,91
4,8:41.0,D. Green makes 2-pt layup from 1 ft (assist by K. Durant),,91,91
4,8:24.0,,T. Burke misses 2-pt jump shot from 21 ft,91,91
4,8:22.0,Defensive rebound by D. Green,,91,91
4,8:15.0,K. Durant makes 2-pt layup from 3 ft,,93,91
4,8:15.0,,New York full timeout,93,91
4,8:15.0,,T. Hardaway enters the game for M. Hezonja,93,91
4,8:15.0,,M. Robinson enters the game for E. Freedom,93,91
4,8:04.0,,Turnover by T. Burke (bad pass; steal by D. Green),93,91
4,8:03.0,Turnover by D. Green (bad pass),,93,91
4,7:46.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by T. Hardaway),93,94
4,7:27.0,K. Durant makes 2-pt jump shot from 10 ft,,95,94
4,7:15.0,,L. Thomas misses 3-pt jump shot from 26 ft,95,94
4,7:13.0,Defensive rebound by K. Thompson,,95,94
4,7:03.0,K. Durant makes 3-pt jump shot from 26 ft,,98,94
4,6:43.0,,A. Trier makes 2-pt jump shot from 14 ft,98,96
4,6:31.0,K. Durant misses 3-pt jump shot from 26 ft,,98,96
4,6:30.0,Offensive rebound by D. Green,,98,96
4,6:30.0,D. Green makes 2-pt layup from 1 ft,,100,96
4,6:05.0,,T. Burke misses 2-pt jump shot from 13 ft,100,96
4,6:03.0,Defensive rebound by K. Durant,,100,96
4,5:57.0,K. Durant makes 2-pt layup from 1 ft,,102,96
4,5:38.0,,Turnover by T. Hardaway (bad pass; steal by D. Green),102,96
4,5:32.0,K. Thompson makes 2-pt layup at rim (assist by A. Iguodala),,104,96
4,5:32.0,,New York full timeout,104,96
4,5:32.0,S. Curry enters the game for A. Iguodala,,104,96
4,5:32.0,K. Looney enters the game for J. Jerebko,,104,96
4,5:32.0,A. McKinnie enters the game for K. Thompson,,104,96
4,5:32.0,,D. Dotson enters the game for T. Burke,104,96
4,5:32.0,,F. Ntilikina enters the game for L. Thomas,104,96
4,5:32.0,,N. Vonleh enters the game for A. Trier,104,96
4,5:20.0,,T. Hardaway misses 3-pt jump shot from 26 ft,104,96
4,5:18.0,Defensive rebound by K. Durant,,104,96
4,4:56.0,K. Durant makes 2-pt jump shot from 20 ft,,106,96
4,4:48.0,,Offensive foul by T. Hardaway (drawn by A. McKinnie),106,96
4,4:48.0,,Turnover by T. Hardaway (offensive foul),106,96
4,4:34.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),,109,96
4,4:14.0,,N. Vonleh misses 2-pt jump shot from 10 ft,109,96
4,4:12.0,Defensive rebound by D. Green,,109,96
4,3:59.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by D. Green),,112,96
4,3:57.0,,New York full timeout,112,96
4,3:36.0,,D. Dotson makes 2-pt jump shot from 18 ft (assist by F. Ntilikina),112,98
4,3:22.0,Personal foul by M. Robinson (drawn by A. McKinnie),,112,98
4,3:22.0,K. Thompson enters the game for K. Looney,,112,98
4,3:11.0,K. Durant makes 3-pt jump shot from 25 ft,,115,98
4,2:47.0,,F. Ntilikina misses 3-pt jump shot from 30 ft,115,98
4,2:45.0,Defensive rebound by K. Durant,,115,98
4,2:42.0,K. Durant makes 3-pt jump shot from 29 ft,,118,98
4,2:28.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by N. Vonleh),118,100
4,2:12.0,K. Durant misses 3-pt jump shot from 36 ft,,118,100
4,2:10.0,Offensive rebound by S. Curry,,118,100
4,2:10.0,S. Curry makes 3-pt jump shot from 25 ft,,121,100
4,2:04.0,,Personal take foul by D. Green (drawn by F. Ntilikina),121,100
4,2:04.0,Golden State full timeout,,121,100
4,2:04.0,J. Bell enters the game for S. Curry,,121,100
4,2:04.0,Q. Cook enters the game for K. Durant,,121,100
4,2:04.0,J. Evans enters the game for D. Green,,121,100
4,2:04.0,J. Jerebko enters the game for K. Thompson,,121,100
4,2:04.0,,L. Kornet enters the game for T. Hardaway,121,100
4,2:04.0,,A. Trier enters the game for N. Vonleh,121,100
