QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
1,3:54.0,,Defensive rebound by R. Rubio,13,23
1,3:34.0,,J. Ingles misses 3-pt jump shot from 25 ft,13,23
1,3:30.0,Defensive rebound by D. White,,13,23
1,3:24.0,Turnover by L. Aldridge (lost ball; steal by J. Ingles),,13,23
1,3:22.0,,Personal foul by D. White (drawn by J. Ingles),13,23
1,3:22.0,,K. Korver enters the game for J. Ingles,13,23
1,3:22.0,,R. Neto enters the game for R. Rubio,13,23
1,3:15.0,,K. Korver misses 3-pt jump shot from 26 ft,13,23
1,3:12.0,Defensive rebound by D. White,,13,23
1,3:07.0,Turnover by D. White (lost ball; steal by R. O'Neale),,13,23
1,3:03.0,,R. O'Neale makes 2-pt dunk from 1 ft,13,25
1,2:48.0,L. Aldridge makes 2-pt hook shot from 7 ft,,15,25
1,2:48.0,,Violation by Team (def goaltending),15,25
1,2:38.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Neto),15,28
1,2:29.0,Personal foul by R. Neto (drawn by M. Belinelli),,15,28
1,2:29.0,J. Poeltl enters the game for L. Aldridge,,15,28
1,2:29.0,,D. Favors enters the game for R. Gobert,15,28
1,2:23.0,P. Mills misses 2-pt jump shot from 22 ft,,15,28
1,2:19.0,,Defensive rebound by D. Favors,15,28
1,2:08.0,,R. O'Neale misses 2-pt layup from 4 ft,15,28
1,2:06.0,Defensive rebound by J. Poeltl,,15,28
1,1:59.0,J. Poeltl makes 2-pt layup from 2 ft (assist by P. Mills),,17,28
1,1:52.0,,Turnover by K. Korver (offensive foul),17,28
1,1:52.0,,Offensive foul by K. Korver (drawn by M. Belinelli),17,28
1,1:52.0,,D. Mitchell enters the game for R. O'Neale,17,28
1,1:35.0,P. Mills makes 3-pt jump shot from 25 ft (assist by J. Poeltl),,20,28
1,1:15.0,,R. Neto misses 2-pt layup from 1 ft,20,28
1,1:13.0,Defensive rebound by J. Poeltl,,20,28
1,1:08.0,P. Mills misses 3-pt jump shot from 25 ft,,20,28
1,1:03.0,,Defensive rebound by R. Neto,20,28
1,1:02.0,,Personal foul by P. Mills (drawn by D. Mitchell),20,28
1,1:02.0,,D. Mitchell makes free throw 1 of 2,20,29
1,1:02.0,D. DeRozan enters the game for D. White,,20,29
1,1:02.0,,D. Mitchell makes free throw 2 of 2,20,30
1,0:49.0,D. DeRozan misses 2-pt jump shot from 9 ft,,20,30
1,0:48.0,,Defensive rebound by Team,20,30
1,0:48.0,Loose ball foul by J. Poeltl (drawn by K. Korver),,20,30
1,0:48.0,,K. Korver makes free throw 1 of 2,20,31
1,0:48.0,,K. Korver makes free throw 2 of 2,20,32
1,0:33.0,M. Belinelli misses 3-pt jump shot from 25 ft,,20,32
1,0:30.0,,Defensive rebound by J. Crowder,20,32
1,0:15.0,,D. Mitchell makes 2-pt jump shot from 12 ft,20,34
1,0:04.0,D. DeRozan misses 2-pt jump shot from 7 ft (block by D. Favors),,20,34
1,0:02.0,Offensive rebound by J. Poeltl,,20,34
1,0:02.0,Turnover by J. Poeltl (bad pass),,20,34
1,0:00.0,,D. Mitchell misses 3-pt jump shot from 25 ft,20,34
1,0:00.0,,Offensive rebound by Team,20,34
2,11:43.0,D. DeRozan makes 2-pt jump shot from 8 ft,,22,34
2,11:21.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. O'Neale),22,37
2,11:12.0,Offensive foul by D. DeRozan (drawn by R. O'Neale),,22,37
2,11:12.0,Turnover by D. DeRozan (offensive foul),,22,37
2,11:12.0,R. Gay enters the game for D. Cunningham,,22,37
2,11:00.0,,K. Korver misses 2-pt layup from 6 ft (block by J. Poeltl),22,37
2,11:00.0,,Offensive rebound by Team,22,37
2,10:57.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Favors),22,40
2,10:57.0,,Shooting foul by M. Belinelli (drawn by K. Korver),22,40
2,10:57.0,B. Forbes enters the game for P. Mills,,22,40
2,10:57.0,,K. Korver misses free throw 1 of 1,22,40
2,10:55.0,Defensive rebound by R. Gay,,22,40
2,10:42.0,R. Gay misses 2-pt jump shot from 15 ft,,22,40
2,10:37.0,,Defensive rebound by K. Korver,22,40
2,10:21.0,,D. Mitchell misses 2-pt jump shot from 9 ft,22,40
2,10:17.0,Defensive rebound by J. Poeltl,,22,40
2,10:10.0,J. Poeltl makes 2-pt layup from 2 ft (assist by R. Gay),,24,40
2,9:44.0,,D. Favors misses 2-pt layup from 2 ft,24,40
2,9:42.0,Defensive rebound by J. Poeltl,,24,40
2,9:36.0,B. Forbes makes 2-pt layup from 2 ft,,26,40
2,9:36.0,,Utah full timeout,26,40
2,9:36.0,D. Bertāns enters the game for M. Belinelli,,26,40
2,9:36.0,,T. Sefolosha enters the game for J. Crowder,26,40
2,9:22.0,,Turnover by K. Korver (out of bounds lost ball),26,40
2,9:04.0,J. Poeltl makes 2-pt layup from 3 ft (assist by D. DeRozan),,28,40
2,8:45.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Favors),28,43
2,8:34.0,Turnover by R. Gay (bad pass; steal by D. Favors),,28,43
2,8:28.0,,R. O'Neale misses 3-pt jump shot from 25 ft,28,43
2,8:25.0,Defensive rebound by D. Bertāns,,28,43
2,8:20.0,Personal foul by K. Korver (drawn by D. DeRozan),,28,43
2,8:20.0,L. Aldridge enters the game for J. Poeltl,,28,43
2,8:20.0,,R. Gobert enters the game for D. Favors,28,43
2,8:20.0,,R. Rubio enters the game for D. Mitchell,28,43
2,8:07.0,B. Forbes misses 3-pt jump shot from 24 ft,,28,43
2,8:03.0,,Defensive rebound by T. Sefolosha,28,43
2,7:51.0,,Turnover by K. Korver (lost ball; steal by D. Bertāns),28,43
2,7:48.0,Turnover by B. Forbes (traveling),,28,43
2,7:32.0,,R. Rubio makes 2-pt layup from 2 ft (assist by R. Gobert),28,45
2,7:17.0,Turnover by L. Aldridge (lost ball; steal by R. Rubio),,28,45
2,7:15.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Rubio),28,47
2,7:15.0,,Shooting foul by D. Bertāns (drawn by R. O'Neale),28,47
2,7:15.0,,J. Ingles enters the game for K. Korver,28,47
2,7:15.0,,R. O'Neale makes free throw 1 of 1,28,48
2,6:57.0,Personal foul by R. O'Neale (drawn by D. DeRozan),,28,48
2,6:56.0,,Violation by Team (kicked ball),28,48
2,6:52.0,D. DeRozan misses 2-pt jump shot from 18 ft,,28,48
2,6:49.0,Offensive rebound by L. Aldridge,,28,48
2,6:48.0,L. Aldridge misses 2-pt jump shot from 13 ft,,28,48
2,6:46.0,,Defensive rebound by R. Rubio,28,48
2,6:36.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),28,50
2,6:18.0,R. Gay misses 2-pt layup from 5 ft,,28,50
2,6:16.0,,Defensive rebound by R. Gobert,28,50
2,6:02.0,,Shooting foul by R. Gay (drawn by R. Gobert),28,50
2,6:02.0,,R. Gobert makes free throw 1 of 2,28,51
2,6:02.0,,R. Gobert makes free throw 2 of 2,28,52
2,5:50.0,D. DeRozan makes 2-pt jump shot from 16 ft,,30,52
2,5:31.0,,R. Rubio misses 2-pt jump shot from 18 ft,30,52
2,5:27.0,Defensive rebound by D. Bertāns,,30,52
2,5:17.0,B. Forbes makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,32,52
2,4:59.0,,R. Rubio misses 2-pt layup from 3 ft,32,52
2,4:58.0,Defensive rebound by L. Aldridge,,32,52
2,4:56.0,Personal take foul by R. O'Neale (drawn by R. Gay),,32,52
2,4:56.0,P. Mills enters the game for B. Forbes,,32,52
2,4:56.0,,J. Crowder enters the game for R. O'Neale,32,52
2,4:56.0,,D. Mitchell enters the game for T. Sefolosha,32,52
2,4:37.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,35,52
2,4:34.0,,Turnover by J. Ingles (bad pass; steal by R. Gay),35,52
2,4:10.0,P. Mills makes 2-pt layup from 2 ft,,37,52
2,3:47.0,,D. Mitchell makes 2-pt jump shot from 16 ft (assist by R. Gobert),37,54
2,3:47.0,San Antonio full timeout,,37,54
2,3:47.0,D. White enters the game for R. Gay,,37,54
2,3:28.0,D. DeRozan makes 2-pt jump shot from 14 ft,,39,54
2,3:02.0,,R. Rubio misses 2-pt jump shot from 11 ft,39,54
2,3:01.0,Defensive rebound by D. DeRozan,,39,54
2,2:55.0,Shooting foul by J. Ingles (drawn by D. DeRozan),,39,54
2,2:55.0,D. DeRozan makes free throw 1 of 2,,40,54
2,2:55.0,D. DeRozan makes free throw 2 of 2,,41,54
2,2:31.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),41,56
2,2:16.0,D. DeRozan misses 2-pt jump shot from 4 ft (block by R. Gobert),,41,56
2,2:14.0,,Defensive rebound by J. Crowder,41,56
2,2:03.0,,J. Crowder misses 3-pt jump shot from 25 ft,41,56
2,2:02.0,,Offensive rebound by Team,41,56
2,2:02.0,Loose ball foul by P. Mills (drawn by R. Gobert),,41,56
2,1:59.0,,Personal foul by D. White (drawn by R. Gobert),41,56
2,1:59.0,,R. Gobert makes free throw 1 of 2,41,57
2,1:59.0,,R. Gobert misses free throw 2 of 2,41,57
2,1:57.0,Defensive rebound by D. Bertāns,,41,57
2,1:47.0,D. DeRozan makes 2-pt layup from 2 ft,,43,57
2,1:30.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),43,60
2,1:13.0,D. DeRozan misses 2-pt jump shot from 16 ft (block by R. Gobert),,43,60
2,1:10.0,Offensive rebound by P. Mills,,43,60
2,1:04.0,L. Aldridge makes 2-pt jump shot from 12 ft,,45,60
2,0:49.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),45,62
2,0:36.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by P. Mills),,47,62
2,0:31.0,,Personal foul by D. White (drawn by R. Gobert),47,62
2,0:31.0,,R. Gobert makes free throw 1 of 2,47,63
2,0:31.0,,R. O'Neale enters the game for D. Mitchell,47,63
2,0:31.0,,R. Gobert misses free throw 2 of 2,47,63
2,0:30.0,Defensive rebound by D. Bertāns,,47,63
2,0:10.0,P. Mills misses 3-pt jump shot from 25 ft,,47,63
2,0:07.0,,Defensive rebound by R. Gobert,47,63
2,0:03.0,,R. Rubio misses 3-pt jump shot from 25 ft (block by D. DeRozan),47,63
2,0:03.0,Defensive rebound by D. White,,47,63
3,11:43.0,D. Bertāns misses 2-pt jump shot from 17 ft,,47,63
3,11:39.0,,Defensive rebound by R. Gobert,47,63
3,11:25.0,,J. Ingles misses 3-pt jump shot from 27 ft,47,63
3,11:23.0,Defensive rebound by Team,,47,63
3,11:10.0,D. DeRozan makes 2-pt jump shot from 18 ft,,49,63
3,10:54.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),49,65
3,10:43.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,51,65
3,10:24.0,,D. Mitchell makes 2-pt jump shot from 11 ft,51,67
3,10:12.0,D. DeRozan makes 2-pt layup from 3 ft,,53,67
3,10:12.0,Shooting foul by D. Mitchell (drawn by D. DeRozan),,53,67
3,10:12.0,D. DeRozan misses free throw 1 of 1,,53,67
3,10:12.0,,Defensive rebound by R. Gobert,53,67
3,9:49.0,,Turnover by R. Rubio (bad pass; steal by D. Bertāns),53,67
3,9:49.0,Turnover by L. Aldridge (bad pass; steal by J. Ingles),,53,67
3,9:49.0,,Personal foul by D. DeRozan (drawn by R. Gobert),53,67
3,9:38.0,,R. Gobert misses 2-pt layup from 3 ft,53,67
3,9:35.0,,Offensive rebound by D. Favors,53,67
3,9:35.0,,D. Favors makes 2-pt layup from 1 ft,53,69
3,9:27.0,Turnover by D. DeRozan (bad pass; steal by J. Ingles),,53,69
3,9:13.0,,J. Ingles makes 2-pt jump shot from 22 ft,53,71
3,9:07.0,Shooting foul by D. Favors (drawn by L. Aldridge),,53,71
3,9:07.0,L. Aldridge makes free throw 1 of 2,,54,71
3,9:07.0,L. Aldridge makes free throw 2 of 2,,55,71
3,8:51.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),55,74
3,8:37.0,L. Aldridge misses 2-pt jump shot from 18 ft,,55,74
3,8:35.0,,Defensive rebound by D. Favors,55,74
3,8:30.0,,J. Ingles misses 3-pt jump shot from 25 ft,55,74
3,8:26.0,Defensive rebound by B. Forbes,,55,74
3,8:20.0,D. Bertāns misses 3-pt jump shot from 23 ft,,55,74
3,8:18.0,,Defensive rebound by D. Favors,55,74
3,8:07.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),55,76
3,8:07.0,San Antonio full timeout,,55,76
3,8:07.0,M. Belinelli enters the game for L. Aldridge,,55,76
3,8:07.0,D. Cunningham enters the game for D. Bertāns,,55,76
3,8:07.0,P. Mills enters the game for D. DeRozan,,55,76
3,8:07.0,J. Poeltl enters the game for B. Forbes,,55,76
3,8:07.0,D. White enters the game for R. Gay,,55,76
3,7:50.0,J. Poeltl makes 2-pt jump shot from 16 ft (assist by D. Cunningham),,57,76
3,7:31.0,,D. Favors misses 2-pt jump shot from 20 ft,57,76
3,7:30.0,,Offensive rebound by R. Gobert,57,76
3,7:29.0,,Shooting foul by D. Cunningham (drawn by R. Gobert),57,76
3,7:29.0,,R. Gobert makes free throw 1 of 2,57,77
3,7:29.0,,R. Gobert makes free throw 2 of 2,57,78
3,7:09.0,D. White makes 2-pt jump shot from 12 ft (assist by D. Cunningham),,59,78
3,6:45.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),59,81
3,6:45.0,,J. Crowder enters the game for D. Favors,59,81
3,6:34.0,Turnover by D. Cunningham (bad pass; steal by R. Rubio),,59,81
3,6:29.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Crowder),59,84
3,6:20.0,D. White makes 2-pt layup from 2 ft (assist by D. Cunningham),,61,84
3,6:06.0,,R. Gobert misses 2-pt layup from 3 ft (block by D. Cunningham),61,84
3,6:04.0,Defensive rebound by J. Poeltl,,61,84
3,6:04.0,Personal foul by J. Crowder (drawn by P. Mills),,61,84
3,6:04.0,,R. O'Neale enters the game for D. Mitchell,61,84
3,6:00.0,P. Mills makes 3-pt jump shot from 26 ft (assist by D. White),,64,84
3,5:53.0,,Utah full timeout,64,84
3,5:53.0,,R. Neto enters the game for R. Rubio,64,84
3,5:30.0,,R. O'Neale misses 2-pt jump shot from 18 ft,64,84
3,5:29.0,,Offensive rebound by Team,64,84
3,5:28.0,,Turnover by Team (shot clock),64,84
3,5:16.0,D. White misses 2-pt layup from 7 ft (block by R. O'Neale),,64,84
3,5:14.0,,Defensive rebound by R. O'Neale,64,84
3,5:08.0,,R. O'Neale makes 3-pt jump shot from 26 ft (assist by R. Neto),64,87
3,4:58.0,J. Poeltl makes 2-pt layup from 3 ft,,66,87
3,4:58.0,Shooting foul by R. Gobert (drawn by J. Poeltl),,66,87
3,4:58.0,J. Poeltl makes free throw 1 of 1,,67,87
3,4:42.0,,J. Crowder makes 3-pt jump shot from 27 ft (assist by R. Gobert),67,90
3,4:29.0,P. Mills misses 3-pt jump shot from 24 ft,,67,90
3,4:28.0,,Defensive rebound by R. Gobert,67,90
3,4:24.0,,Turnover by J. Crowder (bad pass),67,90
3,4:16.0,M. Belinelli misses 3-pt jump shot from 25 ft,,67,90
3,4:12.0,,Defensive rebound by J. Crowder,67,90
3,4:07.0,,Offensive foul by R. Gobert (drawn by J. Poeltl),67,90
3,4:07.0,,Turnover by R. Gobert (offensive foul),67,90
3,4:07.0,,K. Korver enters the game for J. Ingles,67,90
3,4:07.0,,R. Rubio enters the game for R. Neto,67,90
3,3:58.0,M. Belinelli misses 2-pt jump shot from 17 ft,,67,90
3,3:54.0,,Defensive rebound by R. O'Neale,67,90
3,3:48.0,,R. O'Neale misses 2-pt layup from 4 ft,67,90
3,3:42.0,,Offensive rebound by R. Gobert,67,90
3,3:42.0,,R. Gobert makes 2-pt dunk from 1 ft,67,92
3,3:36.0,J. Poeltl makes 2-pt jump shot from 6 ft (assist by D. White),,69,92
3,3:19.0,,R. Rubio makes 2-pt layup from 3 ft,69,94
3,3:10.0,Turnover by P. Mills (lost ball; steal by R. Rubio),,69,94
3,3:05.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by K. Korver),69,96
3,3:05.0,San Antonio full timeout,,69,96
3,3:05.0,B. Forbes enters the game for D. Cunningham,,69,96
3,3:05.0,C. Metu enters the game for P. Mills,,69,96
3,3:05.0,Q. Pondexter enters the game for J. Poeltl,,69,96
3,3:05.0,,D. Favors enters the game for R. Gobert,69,96
3,2:52.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by C. Metu),,72,96
3,2:37.0,,Offensive foul by D. Favors (drawn by M. Belinelli),72,96
3,2:37.0,,Turnover by D. Favors (offensive foul),72,96
3,2:26.0,C. Metu makes 2-pt hook shot from 6 ft,,74,96
3,2:13.0,,Turnover by R. Rubio (step out of bounds),74,96
3,2:13.0,,D. Mitchell enters the game for R. O'Neale,74,96
3,2:02.0,C. Metu misses 2-pt jump shot from 15 ft,,74,96
3,1:59.0,,Defensive rebound by R. Rubio,74,96
3,1:52.0,,Shooting foul by M. Belinelli (drawn by D. Favors),74,96
3,1:52.0,,D. Favors makes free throw 1 of 2,74,97
3,1:52.0,,D. Favors makes free throw 2 of 2,74,98
3,1:40.0,Turnover by D. White (bad pass; steal by D. Mitchell),,74,98
3,1:35.0,,K. Korver makes 2-pt jump shot from 19 ft (assist by R. Rubio),74,100
3,1:22.0,B. Forbes makes 2-pt jump shot from 20 ft,,76,100
3,1:02.0,,D. Mitchell misses 3-pt jump shot from 24 ft,76,100
3,1:00.0,Defensive rebound by Q. Pondexter,,76,100
3,0:57.0,B. Forbes misses 3-pt jump shot from 25 ft,,76,100
3,0:53.0,Offensive rebound by B. Forbes,,76,100
3,0:46.0,D. White misses 2-pt jump shot from 9 ft,,76,100
3,0:42.0,,Defensive rebound by R. Rubio,76,100
3,0:33.0,,R. Rubio makes 2-pt jump shot from 15 ft,76,102
3,0:22.0,Shooting foul by K. Korver (drawn by M. Belinelli),,76,102
3,0:22.0,M. Belinelli makes free throw 1 of 2,,77,102
3,0:22.0,M. Belinelli makes free throw 2 of 2,,78,102
3,0:02.0,,K. Korver makes 2-pt jump shot from 22 ft (assist by R. Rubio),78,104
3,0:00.0,B. Forbes misses 3-pt jump shot from 54 ft,,78,104
3,0:00.0,Offensive rebound by Team,,78,104
4,11:48.0,,Personal foul by C. Metu (drawn by D. Favors),78,104
4,11:39.0,,K. Korver misses 2-pt jump shot from 23 ft,78,104
4,11:36.0,Defensive rebound by C. Metu,,78,104
4,11:29.0,Turnover by C. Metu (bad pass; steal by K. Korver),,78,104
4,11:24.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by T. Sefolosha),78,107
4,11:11.0,B. Forbes misses 2-pt jump shot from 23 ft,,78,107
4,11:09.0,,Defensive rebound by T. Sefolosha,78,107
4,10:59.0,,Turnover by D. Favors (bad pass; steal by C. Metu),78,107
4,10:58.0,Personal foul by R. Neto (drawn by D. White),,78,107
4,10:58.0,D. Cunningham enters the game for B. Forbes,,78,107
4,10:58.0,,D. Exum enters the game for D. Mitchell,78,107
4,10:47.0,D. White makes 2-pt jump shot from 7 ft,,80,107
4,10:45.0,,R. Neto misses 3-pt jump shot from 25 ft,80,107
4,10:22.0,Defensive rebound by D. Cunningham,,80,107
4,10:08.0,Turnover by D. White (bad pass; steal by T. Sefolosha),,80,107
4,10:04.0,,Personal foul by M. Belinelli (drawn by R. Neto),80,107
4,10:04.0,D. Bertāns enters the game for M. Belinelli,,80,107
4,10:04.0,,R. Rubio enters the game for R. Neto,80,107
4,9:57.0,,Turnover by R. Rubio (bad pass; steal by D. White),80,107
4,9:45.0,C. Metu makes 2-pt jump shot from 6 ft,,82,107
4,9:29.0,,D. Favors makes 2-pt dunk from 3 ft (assist by D. Exum),82,109
4,9:14.0,C. Metu misses 2-pt jump shot from 20 ft,,82,109
4,9:12.0,,Defensive rebound by D. Exum,82,109
4,9:07.0,,Turnover by D. Favors (bad pass),82,109
4,9:07.0,,J. Ingles enters the game for K. Korver,82,109
4,8:59.0,Shooting foul by D. Favors (drawn by C. Metu),,82,109
4,8:59.0,C. Metu makes free throw 1 of 2,,83,109
4,8:59.0,C. Metu makes free throw 2 of 2,,84,109
4,8:47.0,,Turnover by D. Favors (3 sec),84,109
4,8:38.0,D. White misses 2-pt jump shot from 9 ft,,84,109
4,8:35.0,Offensive rebound by D. White,,84,109
4,8:27.0,D. White makes 2-pt layup from 2 ft,,86,109
4,8:21.0,,Turnover by R. Rubio (bad pass; steal by C. Metu),86,109
4,8:18.0,C. Metu makes 2-pt dunk from 3 ft (assist by Q. Pondexter),,88,109
4,8:17.0,,Utah full timeout,88,109
4,8:17.0,J. Poeltl enters the game for C. Metu,,88,109
4,8:17.0,,R. Gobert enters the game for D. Favors,88,109
4,8:17.0,,R. Neto enters the game for R. Rubio,88,109
4,7:53.0,,T. Sefolosha makes 3-pt jump shot from 25 ft (assist by J. Ingles),88,112
4,7:41.0,J. Poeltl misses 2-pt layup from 4 ft (block by R. Gobert),,88,112
4,7:40.0,,Defensive rebound by R. Neto,88,112
4,7:40.0,,Personal foul by D. Cunningham (drawn by R. Neto),88,112
4,7:26.0,,J. Ingles makes 2-pt layup from 3 ft,88,114
4,7:10.0,D. Cunningham misses 2-pt jump shot from 6 ft,,88,114
4,7:08.0,,Defensive rebound by R. Neto,88,114
4,7:01.0,,T. Sefolosha makes 2-pt jump shot from 4 ft (assist by R. Neto),88,116
4,6:46.0,D. White makes 2-pt jump shot from 12 ft,,90,116
4,6:28.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,90,116
4,6:24.0,Defensive rebound by D. Bertāns,,90,116
4,6:19.0,D. White misses 2-pt jump shot from 11 ft,,90,116
4,6:17.0,Offensive rebound by D. White,,90,116
4,6:13.0,D. White misses 3-pt jump shot from 24 ft,,90,116
4,6:13.0,,Defensive rebound by J. Ingles,90,116
4,6:07.0,,Utah full timeout,90,116
4,6:07.0,M. Belinelli enters the game for D. Bertāns,,90,116
4,6:07.0,C. Metu enters the game for D. White,,90,116
4,6:07.0,,R. O'Neale enters the game for R. Gobert,90,116
4,6:07.0,,E. Udoh enters the game for J. Ingles,90,116
4,6:01.0,,D. Exum misses 2-pt jump shot from 13 ft,90,116
4,5:57.0,Defensive rebound by Q. Pondexter,,90,116
4,5:46.0,Personal foul by E. Udoh (drawn by C. Metu),,90,116
4,5:42.0,D. Cunningham makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,93,116
4,5:16.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by R. O'Neale),93,119
4,4:51.0,Personal foul by D. Exum (drawn by M. Belinelli),,93,119
4,4:51.0,,G. Niang enters the game for R. O'Neale,93,119
4,4:46.0,M. Belinelli misses 3-pt jump shot from 25 ft,,93,119
4,4:43.0,,Defensive rebound by G. Niang,93,119
4,4:32.0,,D. Exum makes 2-pt layup from 2 ft (assist by G. Niang),93,121
4,4:15.0,Q. Pondexter misses 2-pt jump shot from 12 ft,,93,121
