QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
1,5:34.0,K. Faried enters the game for D. Russell,,17,23
1,5:34.0,,J. Brown enters the game for A. Horford,17,23
1,5:34.0,,G. Hayward enters the game for J. Tatum,17,23
1,5:16.0,Turnover by S. Napier (bad pass),,17,23
1,5:04.0,,M. Morris misses 3-pt jump shot from 25 ft,17,23
1,5:02.0,Defensive rebound by K. Faried,,17,23
1,5:00.0,Turnover by K. Faried (out of bounds lost ball),,17,23
1,4:50.0,,K. Irving misses 3-pt jump shot from 25 ft,17,23
1,4:47.0,Defensive rebound by S. Napier,,17,23
1,4:39.0,J. Allen misses 2-pt hook shot from 4 ft,,17,23
1,4:39.0,,Defensive rebound by M. Smart,17,23
1,4:29.0,,J. Brown misses 2-pt jump shot from 12 ft,17,23
1,4:28.0,Defensive rebound by J. Allen,,17,23
1,4:25.0,Turnover by S. Napier (bad pass),,17,23
1,4:13.0,,G. Hayward misses 2-pt jump shot from 7 ft,17,23
1,4:13.0,Defensive rebound by J. Allen,,17,23
1,4:04.0,K. Faried makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,20,23
1,3:51.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),20,25
1,3:40.0,Personal foul by J. Brown (drawn by K. Faried),,20,25
1,3:40.0,E. Davis enters the game for J. Allen,,20,25
1,3:40.0,T. Graham enters the game for R. Kurucs,,20,25
1,3:40.0,,T. Rozier enters the game for M. Morris,20,25
1,3:40.0,,D. Theis enters the game for M. Smart,20,25
1,3:25.0,K. Faried misses 2-pt layup from 3 ft,,20,25
1,3:23.0,Offensive rebound by K. Faried,,20,25
1,3:23.0,K. Faried makes 2-pt layup from 1 ft,,22,25
1,3:08.0,,K. Irving makes 2-pt jump shot from 11 ft,22,27
1,2:49.0,S. Napier misses 3-pt jump shot from 25 ft,,22,27
1,2:47.0,,Defensive rebound by D. Theis,22,27
1,2:28.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by T. Rozier),22,30
1,2:11.0,E. Davis misses 2-pt jump shot from 7 ft,,22,30
1,2:09.0,,Defensive rebound by D. Theis,22,30
1,2:04.0,,J. Brown misses 3-pt jump shot from 26 ft,22,30
1,2:03.0,Defensive rebound by E. Davis,,22,30
1,1:48.0,T. Graham misses 3-pt jump shot from 25 ft,,22,30
1,1:46.0,,Defensive rebound by T. Rozier,22,30
1,1:36.0,,T. Rozier misses 2-pt jump shot from 20 ft,22,30
1,1:33.0,Defensive rebound by K. Faried,,22,30
1,1:27.0,Turnover by S. Napier (bad pass),,22,30
1,1:27.0,D. Russell enters the game for S. Napier,,22,30
1,1:17.0,,Offensive foul by J. Brown (drawn by K. Faried),22,30
1,1:17.0,,Turnover by J. Brown (offensive foul),22,30
1,1:17.0,,J. Tatum enters the game for K. Irving,22,30
1,1:07.0,Turnover by D. Russell (bad pass; steal by G. Hayward),,22,30
1,1:04.0,,J. Tatum makes 2-pt dunk from 3 ft (assist by G. Hayward),22,32
1,1:04.0,Brooklyn full timeout,,22,32
1,0:57.0,,Violation by Team (kicked ball),22,32
1,0:57.0,Personal foul by D. Theis (drawn by E. Davis),,22,32
1,0:52.0,Turnover by T. Graham (step out of bounds),,22,32
1,0:36.0,,D. Theis makes 2-pt hook shot from 6 ft (assist by G. Hayward),22,34
1,0:29.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,22,34
1,0:26.0,Offensive rebound by K. Faried,,22,34
1,0:13.0,S. Dinwiddie misses 3-pt jump shot from 29 ft,,22,34
1,0:11.0,Offensive rebound by Team,,22,34
1,0:11.0,Turnover by Team (shot clock),,22,34
1,0:02.0,,T. Rozier misses 2-pt layup from 2 ft,22,34
1,0:00.0,Defensive rebound by E. Davis,,22,34
2,11:49.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by T. Rozier),22,37
2,11:36.0,T. Graham misses 3-pt jump shot from 25 ft,,22,37
2,11:35.0,,Defensive rebound by G. Hayward,22,37
2,11:29.0,,G. Hayward misses 2-pt jump shot from 18 ft,22,37
2,11:25.0,,Offensive rebound by D. Theis,22,37
2,11:17.0,,T. Rozier makes 2-pt jump shot from 10 ft,22,39
2,11:02.0,Shooting foul by G. Hayward (drawn by E. Davis),,22,39
2,11:02.0,E. Davis makes free throw 1 of 2,,23,39
2,11:02.0,E. Davis misses free throw 2 of 2,,23,39
2,11:02.0,,Defensive rebound by J. Brown,23,39
2,10:45.0,,J. Brown makes 2-pt jump shot from 12 ft,23,41
2,10:25.0,S. Napier misses 3-pt jump shot from 26 ft,,23,41
2,10:22.0,Offensive rebound by T. Graham,,23,41
2,10:21.0,S. Napier misses 3-pt jump shot from 26 ft,,23,41
2,10:19.0,,Defensive rebound by J. Brown,23,41
2,10:12.0,,Turnover by J. Brown (out of bounds lost ball),23,41
2,9:53.0,Shooting foul by D. Theis (drawn by E. Davis),,23,41
2,9:53.0,E. Davis makes free throw 1 of 2,,24,41
2,9:53.0,S. Dinwiddie enters the game for T. Graham,,24,41
2,9:53.0,E. Davis makes free throw 2 of 2,,25,41
2,9:41.0,,G. Hayward makes 2-pt layup from 2 ft (assist by D. Theis),25,43
2,9:32.0,E. Davis makes 2-pt dunk from 1 ft (assist by D. Russell),,27,43
2,9:12.0,,T. Rozier makes 2-pt layup from 1 ft,27,45
2,8:47.0,K. Faried misses 3-pt jump shot from 25 ft,,27,45
2,8:46.0,Offensive rebound by E. Davis,,27,45
2,8:46.0,Turnover by Team (shot clock),,27,45
2,8:32.0,,Personal foul by E. Davis (drawn by D. Theis),27,45
2,8:32.0,,M. Morris enters the game for G. Hayward,27,45
2,8:23.0,,J. Tatum misses 3-pt jump shot from 26 ft,27,45
2,8:21.0,Defensive rebound by E. Davis,,27,45
2,8:12.0,Turnover by D. Russell (lost ball; steal by M. Morris),,27,45
2,8:06.0,,T. Rozier misses 2-pt layup from 2 ft,27,45
2,8:05.0,,Offensive rebound by J. Brown,27,45
2,8:05.0,,Turnover by J. Brown (lost ball; steal by E. Davis),27,45
2,8:02.0,Brooklyn full timeout,,27,45
2,8:02.0,,A. Horford enters the game for D. Theis,27,45
2,7:51.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,27,45
2,7:49.0,,Defensive rebound by T. Rozier,27,45
2,7:38.0,,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),27,47
2,7:15.0,Shooting foul by M. Morris (drawn by E. Davis),,27,47
2,7:15.0,E. Davis makes free throw 1 of 2,,28,47
2,7:15.0,E. Davis makes free throw 2 of 2,,29,47
2,7:04.0,,Turnover by A. Horford (bad pass; steal by S. Napier),29,47
2,7:00.0,Turnover by D. Russell (bad pass; steal by M. Morris),,29,47
2,6:54.0,,T. Rozier misses 3-pt jump shot from 26 ft,29,47
2,6:50.0,Defensive rebound by E. Davis,,29,47
2,6:37.0,S. Napier misses 2-pt jump shot from 16 ft,,29,47
2,6:33.0,,Defensive rebound by A. Horford,29,47
2,6:23.0,,M. Morris misses 3-pt jump shot from 25 ft,29,47
2,6:21.0,Defensive rebound by E. Davis,,29,47
2,6:11.0,Shooting foul by J. Brown (drawn by K. Faried),,29,47
2,6:11.0,K. Faried makes free throw 1 of 2,,30,47
2,6:11.0,J. Allen enters the game for E. Davis,,30,47
2,6:11.0,R. Kurucs enters the game for D. Russell,,30,47
2,6:11.0,,K. Irving enters the game for J. Brown,30,47
2,6:11.0,,M. Smart enters the game for T. Rozier,30,47
2,6:11.0,K. Faried makes free throw 2 of 2,,31,47
2,5:57.0,,J. Tatum misses 2-pt layup from 4 ft,31,47
2,5:56.0,,Offensive rebound by A. Horford,31,47
2,5:52.0,,K. Irving makes 2-pt jump shot from 15 ft (assist by A. Horford),31,49
2,5:35.0,S. Napier misses 3-pt jump shot from 24 ft,,31,49
2,5:33.0,,Defensive rebound by J. Tatum,31,49
2,5:17.0,,K. Irving misses 2-pt layup from 2 ft,31,49
2,5:15.0,Defensive rebound by K. Faried,,31,49
2,5:11.0,R. Kurucs makes 3-pt jump shot from 25 ft (assist by S. Napier),,34,49
2,4:58.0,,Personal foul by R. Kurucs (drawn by J. Tatum),34,49
2,4:58.0,J. Dudley enters the game for K. Faried,,34,49
2,4:58.0,,G. Hayward enters the game for J. Tatum,34,49
2,4:43.0,,A. Horford makes 2-pt hook shot from 7 ft,34,51
2,4:34.0,J. Dudley misses 3-pt jump shot from 25 ft,,34,51
2,4:32.0,,Defensive rebound by A. Horford,34,51
2,4:24.0,,G. Hayward misses 3-pt jump shot from 27 ft,34,51
2,4:24.0,Defensive rebound by J. Dudley,,34,51
2,4:13.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by J. Allen),,37,51
2,3:56.0,,Turnover by M. Morris (3 sec),37,51
2,3:56.0,T. Graham enters the game for S. Napier,,37,51
2,3:40.0,Shooting foul by M. Morris (drawn by J. Allen),,37,51
2,3:40.0,J. Allen makes free throw 1 of 2,,38,51
2,3:40.0,J. Allen makes free throw 2 of 2,,39,51
2,3:28.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Irving),39,54
2,3:11.0,Personal foul by K. Irving (drawn by S. Dinwiddie),,39,54
2,3:11.0,S. Dinwiddie makes free throw 1 of 2,,40,54
2,3:11.0,S. Dinwiddie makes free throw 2 of 2,,41,54
2,3:01.0,,A. Horford misses 3-pt jump shot from 26 ft,41,54
2,2:59.0,Defensive rebound by J. Dudley,,41,54
2,2:54.0,R. Kurucs misses 2-pt layup from 2 ft,,41,54
2,2:51.0,,Defensive rebound by M. Smart,41,54
2,2:49.0,,Shooting foul by J. Dudley (drawn by G. Hayward),41,54
2,2:49.0,,Boston full timeout,41,54
2,2:49.0,,G. Hayward makes free throw 1 of 2,41,55
2,2:49.0,,G. Hayward makes free throw 2 of 2,41,56
2,2:39.0,J. Allen misses 2-pt dunk from 3 ft (block by A. Horford),,41,56
2,2:37.0,,Defensive rebound by A. Horford,41,56
2,2:21.0,,Turnover by M. Smart (bad pass),41,56
2,2:13.0,S. Dinwiddie makes 2-pt layup from 1 ft,,43,56
2,1:54.0,,K. Irving misses 2-pt jump shot from 20 ft,43,56
2,1:52.0,Defensive rebound by J. Allen,,43,56
2,1:41.0,S. Dinwiddie misses 2-pt layup from 1 ft,,43,56
2,1:39.0,,Defensive rebound by G. Hayward,43,56
2,1:34.0,,M. Smart misses 3-pt jump shot from 27 ft,43,56
2,1:32.0,Defensive rebound by J. Allen,,43,56
2,1:26.0,Shooting foul by G. Hayward (drawn by S. Dinwiddie),,43,56
2,1:26.0,S. Dinwiddie makes free throw 1 of 2,,44,56
2,1:26.0,,D. Theis enters the game for A. Horford,44,56
2,1:26.0,S. Dinwiddie makes free throw 2 of 2,,45,56
2,1:17.0,,Turnover by M. Smart (step out of bounds),45,56
2,1:10.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,45,56
2,1:07.0,,Defensive rebound by M. Smart,45,56
2,1:03.0,,Offensive foul by G. Hayward (drawn by T. Graham),45,56
2,1:03.0,,Turnover by G. Hayward (offensive foul),45,56
2,0:44.0,J. Dudley misses 3-pt jump shot from 26 ft,,45,56
2,0:41.0,,Defensive rebound by M. Morris,45,56
2,0:34.0,,M. Morris misses 3-pt jump shot from 25 ft,45,56
2,0:31.0,,Offensive rebound by D. Theis,45,56
2,0:28.0,,M. Morris misses 2-pt layup from 3 ft (block by J. Allen),45,56
2,0:26.0,Defensive rebound by J. Allen,,45,56
2,0:03.0,T. Graham misses 3-pt jump shot from 23 ft,,45,56
2,0:01.0,,Defensive rebound by D. Theis,45,56
3,11:44.0,,Turnover by M. Morris (bad pass; steal by J. Allen),45,56
3,11:40.0,Turnover by J. Dudley (bad pass; steal by K. Irving),,45,56
3,11:33.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),45,59
3,11:15.0,S. Napier makes 3-pt jump shot from 26 ft,,48,59
3,11:04.0,,K. Irving misses 2-pt jump shot from 12 ft,48,59
3,11:03.0,Defensive rebound by J. Dudley,,48,59
3,10:53.0,Personal foul by K. Irving (drawn by J. Allen),,48,59
3,10:41.0,J. Allen makes 2-pt hook shot from 5 ft (assist by R. Kurucs),,50,59
3,10:20.0,,M. Smart misses 2-pt jump shot from 15 ft,50,59
3,10:18.0,Defensive rebound by J. Allen,,50,59
3,10:06.0,D. Russell makes 2-pt jump shot from 13 ft,,52,59
3,9:47.0,,J. Tatum misses 2-pt jump shot from 9 ft,52,59
3,9:44.0,Defensive rebound by J. Dudley,,52,59
3,9:39.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Napier),,54,59
3,9:39.0,,Boston full timeout,54,59
3,9:26.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),54,62
3,9:06.0,S. Napier makes 2-pt layup from 1 ft,,56,62
3,8:38.0,,K. Irving makes 2-pt jump shot from 13 ft (assist by M. Smart),56,64
3,8:16.0,Turnover by J. Dudley (bad pass; steal by M. Smart),,56,64
3,8:13.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),56,67
3,7:43.0,R. Kurucs makes 2-pt layup from 1 ft (assist by S. Napier),,58,67
3,7:26.0,,J. Tatum misses 3-pt jump shot from 25 ft,58,67
3,7:25.0,Defensive rebound by S. Napier,,58,67
3,7:17.0,Turnover by S. Napier (bad pass; steal by K. Irving),,58,67
3,7:16.0,Clear path foul by J. Tatum,,58,67
3,7:16.0,,J. Tatum makes clear path free throw 1 of 2,58,68
3,7:16.0,,J. Tatum makes clear path free throw 2 of 2,58,69
3,7:16.0,,G. Hayward enters the game for J. Tatum,58,69
3,7:10.0,,M. Morris misses 2-pt layup from 2 ft (block by S. Napier),58,69
3,7:09.0,,Offensive rebound by Team,58,69
3,7:09.0,,Offensive foul by G. Hayward (drawn by R. Kurucs),58,69
3,7:09.0,,Turnover by G. Hayward (offensive foul),58,69
3,6:51.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,60,69
3,6:51.0,,Violation by Team (def goaltending),60,69
3,6:37.0,,K. Irving misses 3-pt jump shot from 28 ft,60,69
3,6:34.0,Defensive rebound by J. Dudley,,60,69
3,6:25.0,R. Kurucs misses 3-pt jump shot from 23 ft,,60,69
3,6:22.0,,Defensive rebound by K. Irving,60,69
3,6:18.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Horford),60,72
3,6:04.0,Turnover by J. Allen (bad pass),,60,72
3,6:04.0,K. Faried enters the game for J. Dudley,,60,72
3,5:54.0,,M. Smart misses 3-pt jump shot from 24 ft,60,72
3,5:52.0,Defensive rebound by S. Napier,,60,72
3,5:38.0,D. Russell misses 3-pt jump shot from 26 ft,,60,72
3,5:36.0,,Defensive rebound by M. Smart,60,72
3,5:29.0,,K. Irving makes 2-pt layup from 2 ft (assist by A. Horford),60,74
3,5:29.0,Brooklyn full timeout,,60,74
3,5:29.0,S. Dinwiddie enters the game for D. Russell,,60,74
3,5:11.0,R. Kurucs misses 3-pt jump shot from 26 ft,,60,74
3,5:10.0,,Defensive rebound by A. Horford,60,74
3,4:55.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by K. Irving),60,76
3,4:39.0,J. Allen misses 2-pt hook shot from 5 ft,,60,76
3,4:37.0,,Defensive rebound by A. Horford,60,76
3,4:34.0,Violation by Team (kicked ball),,60,76
3,4:34.0,E. Davis enters the game for J. Allen,,60,76
3,4:34.0,T. Graham enters the game for R. Kurucs,,60,76
3,4:34.0,,J. Brown enters the game for M. Smart,60,76
3,4:26.0,,K. Irving misses 2-pt jump shot from 17 ft,60,76
3,4:25.0,Defensive rebound by Team,,60,76
3,4:12.0,E. Davis makes 2-pt layup from 1 ft (assist by S. Napier),,62,76
3,4:12.0,T. Pinson enters the game for S. Napier,,62,76
3,3:56.0,,G. Hayward misses 2-pt jump shot from 21 ft,62,76
3,3:54.0,Defensive rebound by K. Faried,,62,76
3,3:42.0,T. Pinson makes 2-pt layup from 3 ft (assist by K. Faried),,64,76
3,3:32.0,,G. Hayward makes 2-pt jump shot from 5 ft (assist by A. Horford),64,78
3,3:32.0,,Shooting foul by T. Graham (drawn by G. Hayward),64,78
3,3:32.0,,D. Theis enters the game for A. Horford,64,78
3,3:32.0,,G. Hayward misses free throw 1 of 1,64,78
3,3:30.0,Defensive rebound by E. Davis,,64,78
3,3:11.0,S. Dinwiddie makes 2-pt jump shot from 7 ft,,66,78
3,3:11.0,Shooting foul by D. Theis (drawn by S. Dinwiddie),,66,78
3,3:11.0,S. Dinwiddie makes free throw 1 of 1,,67,78
3,3:00.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),67,80
3,2:51.0,Offensive foul by E. Davis (drawn by K. Irving),,67,80
3,2:51.0,Turnover by E. Davis (offensive foul),,67,80
3,2:51.0,,T. Rozier enters the game for M. Morris,67,80
3,2:40.0,,G. Hayward misses 3-pt jump shot from 25 ft,67,80
3,2:36.0,Defensive rebound by S. Dinwiddie,,67,80
3,2:34.0,Turnover by S. Dinwiddie (bad pass; steal by T. Rozier),,67,80
3,2:28.0,,Personal foul by T. Pinson (drawn by T. Rozier),67,80
3,2:18.0,,K. Irving makes 2-pt hook shot from 4 ft (assist by J. Brown),67,82
3,1:58.0,K. Faried makes 2-pt layup from 4 ft (assist by T. Pinson),,69,82
3,1:44.0,,D. Theis makes 2-pt jump shot from 16 ft (assist by K. Irving),69,84
3,1:23.0,K. Faried misses 3-pt jump shot from 23 ft,,69,84
3,1:21.0,,Defensive rebound by T. Rozier,69,84
3,1:15.0,,T. Rozier makes 2-pt jump shot from 15 ft,69,86
3,1:04.0,Shooting foul by K. Irving (drawn by S. Dinwiddie),,69,86
3,1:04.0,S. Dinwiddie makes free throw 1 of 2,,70,86
3,1:04.0,,J. Tatum enters the game for K. Irving,70,86
3,1:04.0,S. Dinwiddie misses free throw 2 of 2,,70,86
3,1:04.0,,Defensive rebound by J. Brown,70,86
3,0:48.0,,J. Brown misses 2-pt jump shot from 17 ft,70,86
3,0:46.0,Defensive rebound by S. Dinwiddie,,70,86
3,0:41.0,S. Dinwiddie makes 2-pt layup from 1 ft,,72,86
3,0:27.0,,J. Brown misses 2-pt layup from 1 ft,72,86
3,0:25.0,Defensive rebound by K. Faried,,72,86
3,0:03.0,Shooting foul by J. Tatum (drawn by T. Graham),,72,86
3,0:03.0,T. Graham makes free throw 1 of 2,,73,86
3,0:03.0,T. Graham makes free throw 2 of 2,,74,86
3,0:00.0,,T. Rozier misses 3-pt jump shot from 30 ft,74,86
3,0:00.0,,Offensive rebound by Team,74,86
4,11:41.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,77,86
4,11:26.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by T. Rozier),77,89
4,11:06.0,Turnover by T. Pinson (lost ball; steal by J. Tatum),,77,89
4,10:52.0,,J. Tatum misses 3-pt jump shot from 25 ft,77,89
4,10:50.0,,Offensive rebound by G. Hayward,77,89
4,10:46.0,,Turnover by G. Hayward (bad pass; steal by K. Faried),77,89
4,10:41.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,77,89
4,10:39.0,,Defensive rebound by D. Theis,77,89
4,10:34.0,,Personal foul by S. Dinwiddie (drawn by D. Theis),77,89
4,10:26.0,,Personal foul by K. Faried (drawn by J. Brown),77,89
4,10:26.0,D. Russell enters the game for S. Dinwiddie,,77,89
4,10:11.0,,T. Rozier makes 2-pt layup from 1 ft,77,91
4,9:56.0,T. Graham makes 3-pt jump shot from 26 ft (assist by T. Pinson),,80,91
4,9:41.0,,Turnover by G. Hayward (bad pass; steal by E. Davis),80,91
4,9:38.0,Turnover by T. Graham (step out of bounds),,80,91
4,9:26.0,,D. Theis makes 2-pt dunk from 1 ft (assist by J. Tatum),80,93
4,9:26.0,,Shooting foul by E. Davis (drawn by D. Theis),80,93
4,9:26.0,,D. Theis makes free throw 1 of 1,80,94
4,9:09.0,Personal foul by J. Brown (drawn by T. Graham),,80,94
4,8:55.0,K. Faried makes 2-pt hook shot from 6 ft (assist by T. Pinson),,82,94
4,8:42.0,,Personal foul by T. Pinson (drawn by J. Tatum),82,94
4,8:35.0,,J. Tatum misses 2-pt jump shot from 20 ft,82,94
4,8:35.0,,Offensive rebound by D. Theis,82,94
4,8:28.0,,D. Theis misses 2-pt dunk from 1 ft (block by K. Faried),82,94
4,8:27.0,Defensive rebound by E. Davis,,82,94
4,8:23.0,T. Graham misses 3-pt jump shot from 26 ft,,82,94
4,8:21.0,,Defensive rebound by G. Hayward,82,94
4,8:12.0,,D. Theis makes 2-pt layup from 1 ft (assist by J. Brown),82,96
4,7:53.0,K. Faried misses 3-pt jump shot from 24 ft,,82,96
4,7:51.0,Offensive rebound by E. Davis,,82,96
4,7:50.0,E. Davis makes 2-pt layup from 1 ft,,84,96
4,7:33.0,,G. Hayward misses 3-pt jump shot from 26 ft,84,96
4,7:31.0,Defensive rebound by K. Faried,,84,96
4,7:23.0,D. Russell misses 2-pt jump shot from 17 ft,,84,96
4,7:20.0,,Defensive rebound by J. Brown,84,96
4,7:18.0,,T. Rozier makes 2-pt dunk from 1 ft (assist by J. Brown),84,98
4,7:18.0,Brooklyn full timeout,,84,98
4,7:18.0,S. Dinwiddie enters the game for D. Russell,,84,98
4,7:18.0,,A. Horford enters the game for G. Hayward,84,98
4,7:18.0,,M. Smart enters the game for D. Theis,84,98
4,7:02.0,E. Davis misses 2-pt hook shot from 2 ft,,84,98
4,7:00.0,,Defensive rebound by Team,84,98
4,6:44.0,,A. Horford makes 2-pt hook shot from 6 ft (assist by M. Smart),84,100
4,6:22.0,T. Graham misses 3-pt jump shot from 23 ft,,84,100
4,6:21.0,,Defensive rebound by J. Tatum,84,100
4,6:16.0,,Shooting foul by T. Pinson (drawn by J. Tatum),84,100
4,6:16.0,,J. Tatum makes free throw 1 of 2,84,101
4,6:16.0,R. Kurucs enters the game for E. Davis,,84,101
4,6:16.0,S. Napier enters the game for S. Dinwiddie,,84,101
4,6:16.0,,J. Tatum makes free throw 2 of 2,84,102
4,6:05.0,T. Graham misses 3-pt jump shot from 23 ft,,84,102
4,6:03.0,,Defensive rebound by T. Rozier,84,102
4,5:58.0,,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),84,104
4,5:42.0,Turnover by S. Napier (bad pass; steal by J. Tatum),,84,104
4,5:36.0,,Offensive foul by J. Brown (drawn by S. Napier),84,104
4,5:36.0,,Turnover by J. Brown (offensive foul),84,104
4,5:36.0,,S. Ojeleye enters the game for J. Tatum,84,104
4,5:26.0,T. Pinson misses 3-pt jump shot from 26 ft,,84,104
4,5:25.0,Offensive rebound by K. Faried,,84,104
4,5:24.0,K. Faried misses 2-pt layup from 2 ft (block by S. Ojeleye),,84,104
4,5:22.0,Offensive rebound by K. Faried,,84,104
4,5:21.0,Brooklyn full timeout,,84,104
4,5:10.0,Turnover by R. Kurucs (lost ball; steal by M. Smart),,84,104
4,5:07.0,,S. Ojeleye makes 2-pt dunk from 1 ft (assist by J. Brown),84,106
4,4:51.0,S. Napier misses 3-pt jump shot from 26 ft,,84,106
4,4:49.0,,Defensive rebound by A. Horford,84,106
4,4:37.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by S. Ojeleye),84,108
4,4:26.0,Shooting foul by S. Ojeleye (drawn by R. Kurucs),,84,108
4,4:26.0,R. Kurucs makes free throw 1 of 3,,85,108
4,4:26.0,R. Kurucs makes free throw 2 of 3,,86,108
4,4:26.0,,B. Wanamaker enters the game for J. Brown,86,108
4,4:26.0,,R. Williams enters the game for A. Horford,86,108
4,4:26.0,,G. Yabusele enters the game for T. Rozier,86,108
4,4:26.0,R. Kurucs makes free throw 3 of 3,,87,108
4,4:15.0,,M. Smart misses 2-pt layup from 5 ft,87,108
4,4:13.0,Defensive rebound by T. Pinson,,87,108
4,4:05.0,T. Graham makes 2-pt layup from 3 ft,,89,108
4,3:41.0,,G. Yabusele misses 2-pt hook shot from 10 ft,89,108
4,3:38.0,Defensive rebound by K. Faried,,89,108
4,3:27.0,R. Kurucs misses 2-pt layup from 2 ft,,89,108
