QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
1,6:55.0,T. McConnell enters the game for W. Chandler,,15,14
1,6:55.0,M. Muscala enters the game for J. Embiid,,15,14
1,6:55.0,L. Shamet enters the game for J. Redick,,15,14
1,6:41.0,B. Simmons misses 2-pt jump shot from 12 ft,,15,14
1,6:41.0,Offensive rebound by M. Muscala,,15,14
1,6:41.0,Turnover by Team (shot clock),,15,14
1,6:30.0,,D. Gallinari misses 3-pt jump shot from 25 ft,15,14
1,6:28.0,Defensive rebound by B. Simmons,,15,14
1,6:23.0,Flagrant foul type 1 by D. Gallinari (drawn by J. Butler),,15,14
1,6:23.0,J. Butler makes flagrant free throw 1 of 2,,16,14
1,6:23.0,J. Butler makes flagrant free throw 2 of 2,,17,14
1,6:13.0,B. Simmons misses 2-pt jump shot from 16 ft,,17,14
1,6:10.0,,Defensive rebound by D. Gallinari,17,14
1,6:01.0,,T. Harris misses 3-pt jump shot from 29 ft,17,14
1,5:58.0,Defensive rebound by L. Shamet,,17,14
1,5:50.0,B. Simmons makes 2-pt dunk at rim (assist by M. Muscala),,19,14
1,5:37.0,,Turnover by M. Gortat (bad pass; steal by B. Simmons),19,14
1,5:29.0,M. Muscala misses 3-pt jump shot from 25 ft,,19,14
1,5:26.0,Offensive rebound by B. Simmons,,19,14
1,5:15.0,T. McConnell misses 2-pt jump shot from 11 ft,,19,14
1,5:12.0,Offensive rebound by M. Muscala,,19,14
1,5:12.0,M. Muscala makes 2-pt layup at rim,,21,14
1,5:12.0,,LA Clippers full timeout,21,14
1,5:12.0,,P. Beverley enters the game for A. Bradley,21,14
1,5:12.0,,M. Harrell enters the game for S. Gilgeous-Alexander,21,14
1,5:12.0,,L. Williams enters the game for M. Gortat,21,14
1,4:53.0,,Personal foul by L. Shamet (drawn by D. Gallinari),21,14
1,4:42.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),21,16
1,4:24.0,J. Butler makes 2-pt jump shot from 15 ft,,23,16
1,4:16.0,,Personal foul by B. Simmons (drawn by L. Williams),23,16
1,4:00.0,,Shooting foul by B. Simmons (drawn by D. Gallinari),23,16
1,4:00.0,,D. Gallinari makes free throw 1 of 2,23,17
1,4:00.0,J. Bolden enters the game for B. Simmons,,23,17
1,4:00.0,,D. Gallinari makes free throw 2 of 2,23,18
1,3:51.0,T. McConnell makes 2-pt jump shot from 13 ft (assist by M. Muscala),,25,18
1,3:36.0,,M. Harrell misses 2-pt layup from 4 ft (block by J. Butler),25,18
1,3:36.0,Defensive rebound by M. Muscala,,25,18
1,3:30.0,M. Muscala misses 3-pt jump shot from 25 ft,,25,18
1,3:26.0,,Defensive rebound by P. Beverley,25,18
1,3:17.0,,Shooting foul by M. Muscala (drawn by T. Harris),25,18
1,3:17.0,,T. Harris makes free throw 1 of 2,25,19
1,3:17.0,J. Embiid enters the game for J. Butler,,25,19
1,3:17.0,F. Korkmaz enters the game for M. Muscala,,25,19
1,3:17.0,J. Redick enters the game for L. Shamet,,25,19
1,3:17.0,,T. Harris makes free throw 2 of 2,25,20
1,3:08.0,J. Embiid makes 2-pt layup from 2 ft (assist by F. Korkmaz),,27,20
1,3:01.0,,Personal foul by F. Korkmaz (drawn by T. Harris),27,20
1,3:01.0,,T. Harris makes free throw 1 of 2,27,21
1,3:01.0,,A. Bradley enters the game for D. Gallinari,27,21
1,3:01.0,,T. Harris makes free throw 2 of 2,27,22
1,2:54.0,Personal foul by M. Harrell (drawn by J. Embiid),,27,22
1,2:54.0,J. Embiid makes free throw 1 of 2,,28,22
1,2:54.0,J. Embiid makes free throw 2 of 2,,29,22
1,2:41.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),29,24
1,2:27.0,Personal foul by M. Harrell (drawn by J. Embiid),,29,24
1,2:27.0,J. Embiid makes free throw 1 of 2,,30,24
1,2:27.0,,B. Marjanović enters the game for M. Harrell,30,24
1,2:27.0,J. Embiid misses free throw 2 of 2,,30,24
1,2:23.0,Offensive rebound by T. McConnell,,30,24
1,2:20.0,J. Redick makes 3-pt jump shot from 27 ft (assist by T. McConnell),,33,24
1,2:10.0,,Personal foul by T. McConnell (drawn by P. Beverley),33,24
1,2:10.0,,P. Beverley misses free throw 1 of 2,33,24
1,2:10.0,,Offensive rebound by Team,33,24
1,2:10.0,,P. Beverley makes free throw 2 of 2,33,25
1,2:02.0,J. Embiid misses 3-pt jump shot from 25 ft,,33,25
1,1:57.0,Offensive rebound by J. Bolden,,33,25
1,1:55.0,Personal foul by T. Harris (drawn by J. Embiid),,33,25
1,1:55.0,J. Embiid misses free throw 1 of 2,,33,25
1,1:55.0,Offensive rebound by Team,,33,25
1,1:55.0,,M. Scott enters the game for T. Harris,33,25
1,1:55.0,J. Embiid makes free throw 2 of 2,,34,25
1,1:50.0,,Turnover by B. Marjanović (bad pass; steal by T. McConnell),34,25
1,1:42.0,F. Korkmaz misses 2-pt jump shot from 12 ft,,34,25
1,1:39.0,Offensive rebound by J. Embiid,,34,25
1,1:37.0,J. Embiid makes 2-pt layup from 2 ft,,36,25
1,1:19.0,,Turnover by L. Williams (bad pass; steal by J. Embiid),36,25
1,1:11.0,Turnover by J. Redick (out of bounds lost ball),,36,25
1,1:03.0,,L. Williams makes 2-pt jump shot from 14 ft,36,27
1,0:44.0,J. Embiid makes 2-pt jump shot from 15 ft,,38,27
1,0:33.0,,Personal foul by T. McConnell (drawn by L. Williams),38,27
1,0:33.0,,L. Williams misses free throw 1 of 2,38,27
1,0:33.0,,Offensive rebound by Team,38,27
1,0:33.0,,L. Williams makes free throw 2 of 2,38,28
1,0:16.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Embiid),,41,28
1,0:07.0,,M. Scott misses 3-pt jump shot from 26 ft,41,28
1,0:05.0,,Offensive rebound by B. Marjanović,41,28
1,0:05.0,,B. Marjanović misses 2-pt layup from 1 ft,41,28
1,0:03.0,Defensive rebound by J. Embiid,,41,28
1,0:00.0,F. Korkmaz misses 3-pt jump shot from 64 ft,,41,28
1,0:00.0,Offensive rebound by Team,,41,28
2,11:48.0,J. Redick misses 3-pt jump shot from 24 ft,,41,28
2,11:42.0,,Defensive rebound by L. Williams,41,28
2,11:36.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by B. Marjanović),41,31
2,11:25.0,J. Bolden makes 2-pt layup from 2 ft (assist by T. McConnell),,43,31
2,11:15.0,,Turnover by L. Williams (bad pass; steal by T. McConnell),43,31
2,10:51.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Butler),,46,31
2,10:37.0,,M. Scott misses 3-pt jump shot from 25 ft,46,31
2,10:33.0,Defensive rebound by J. Embiid,,46,31
2,10:26.0,J. Embiid misses 2-pt jump shot from 13 ft,,46,31
2,10:25.0,,Defensive rebound by L. Williams,46,31
2,10:14.0,,L. Williams makes 3-pt jump shot from 22 ft,46,34
2,10:13.0,Philadelphia full timeout,,46,34
2,10:06.0,Shooting foul by A. Bradley (drawn by J. Redick),,46,34
2,10:06.0,J. Redick makes free throw 1 of 2,,47,34
2,10:06.0,J. Redick makes free throw 2 of 2,,48,34
2,9:56.0,,Offensive foul by B. Marjanović (drawn by J. Redick),48,34
2,9:56.0,,Turnover by B. Marjanović (offensive foul),48,34
2,9:36.0,J. Embiid misses 2-pt layup from 4 ft,,48,34
2,9:35.0,Offensive rebound by J. Embiid,,48,34
2,9:35.0,Shooting foul by B. Marjanović (drawn by J. Embiid),,48,34
2,9:35.0,J. Embiid misses free throw 1 of 2,,48,34
2,9:35.0,Offensive rebound by Team,,48,34
2,9:35.0,,M. Gortat enters the game for B. Marjanović,48,34
2,9:35.0,J. Embiid makes free throw 2 of 2,,49,34
2,9:22.0,,L. Williams makes 2-pt jump shot from 9 ft,49,36
2,9:09.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),,52,36
2,8:58.0,,Turnover by M. Scott (bad pass; steal by T. McConnell),52,36
2,8:56.0,T. McConnell makes 2-pt layup at rim,,54,36
2,8:56.0,,Violation by Team (def goaltending),54,36
2,8:40.0,,L. Williams misses 3-pt jump shot from 25 ft,54,36
2,8:38.0,Defensive rebound by J. Embiid,,54,36
2,8:25.0,Turnover by J. Embiid (bad pass; steal by L. Williams),,54,36
2,8:18.0,,M. Gortat misses 2-pt layup from 2 ft (block by J. Bolden),54,36
2,8:15.0,Defensive rebound by J. Embiid,,54,36
2,8:11.0,J. Butler misses 3-pt jump shot from 25 ft,,54,36
2,8:05.0,,Defensive rebound by M. Gortat,54,36
2,7:59.0,,M. Gortat makes 2-pt layup from 2 ft (assist by L. Williams),54,38
2,7:39.0,J. Embiid misses 2-pt jump shot from 14 ft,,54,38
2,7:38.0,,Defensive rebound by L. Williams,54,38
2,7:27.0,,Turnover by L. Williams (bad pass; steal by T. McConnell),54,38
2,7:24.0,J. Redick makes 2-pt layup at rim (assist by T. McConnell),,56,38
2,7:24.0,,LA Clippers full timeout,56,38
2,7:24.0,W. Chandler enters the game for J. Bolden,,56,38
2,7:24.0,M. Muscala enters the game for J. Embiid,,56,38
2,7:24.0,L. Shamet enters the game for T. McConnell,,56,38
2,7:24.0,B. Simmons enters the game for J. Redick,,56,38
2,7:24.0,,D. Gallinari enters the game for P. Beverley,56,38
2,7:24.0,,S. Gilgeous-Alexander enters the game for M. Scott,56,38
2,7:06.0,,A. Bradley misses 2-pt jump shot from 7 ft,56,38
2,7:03.0,Defensive rebound by L. Shamet,,56,38
2,6:44.0,J. Butler misses 2-pt jump shot from 15 ft,,56,38
2,6:40.0,,Defensive rebound by S. Gilgeous-Alexander,56,38
2,6:38.0,,Turnover by S. Gilgeous-Alexander (step out of bounds),56,38
2,6:38.0,,M. Harrell enters the game for M. Gortat,56,38
2,6:38.0,,T. Harris enters the game for L. Williams,56,38
2,6:26.0,Personal foul by T. Harris (drawn by B. Simmons),,56,38
2,6:26.0,,P. Beverley enters the game for A. Bradley,56,38
2,6:19.0,Turnover by M. Muscala (bad pass; steal by S. Gilgeous-Alexander),,56,38
2,6:10.0,,M. Harrell misses 2-pt hook shot from 5 ft,56,38
2,6:05.0,,Offensive rebound by P. Beverley,56,38
2,6:05.0,,P. Beverley misses 2-pt layup from 1 ft,56,38
2,6:05.0,Defensive rebound by B. Simmons,,56,38
2,6:02.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by B. Simmons),,59,38
2,5:44.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 21 ft,59,38
2,5:42.0,Defensive rebound by B. Simmons,,59,38
2,5:38.0,B. Simmons misses 2-pt layup from 2 ft,,59,38
2,5:37.0,,Defensive rebound by Team,59,38
2,5:37.0,,T. Wallace enters the game for T. Harris,59,38
2,5:26.0,,T. Wallace makes 2-pt jump shot from 4 ft (assist by S. Gilgeous-Alexander),59,40
2,5:07.0,M. Muscala makes 2-pt jump shot from 15 ft (assist by J. Butler),,61,40
2,4:45.0,,D. Gallinari misses 2-pt jump shot from 16 ft,61,40
2,4:40.0,Defensive rebound by B. Simmons,,61,40
2,4:30.0,B. Simmons makes 2-pt layup from 2 ft (assist by W. Chandler),,63,40
2,4:09.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),63,42
2,3:58.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),,66,42
2,3:40.0,,Personal foul by J. Butler (drawn by M. Harrell),66,42
2,3:40.0,J. Embiid enters the game for M. Muscala,,66,42
2,3:40.0,J. Redick enters the game for L. Shamet,,66,42
2,3:35.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),66,45
2,3:15.0,Turnover by J. Embiid (out of bounds lost ball),,66,45
2,3:01.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft,66,47
2,2:43.0,J. Butler makes 2-pt jump shot from 11 ft,,68,47
2,2:27.0,,M. Harrell makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),68,49
2,2:27.0,Philadelphia full timeout,,68,49
2,2:27.0,F. Korkmaz enters the game for J. Butler,,68,49
2,2:07.0,B. Simmons misses 2-pt hook shot from 9 ft,,68,49
2,2:04.0,,Defensive rebound by M. Harrell,68,49
2,1:58.0,,D. Gallinari makes 2-pt layup from 2 ft,68,51
2,1:44.0,Personal foul by D. Gallinari (drawn by J. Redick),,68,51
2,1:32.0,J. Embiid misses 2-pt layup from 2 ft,,68,51
2,1:30.0,,Defensive rebound by M. Harrell,68,51
2,1:21.0,,M. Harrell misses 2-pt layup from 2 ft,68,51
2,1:19.0,,Offensive rebound by S. Gilgeous-Alexander,68,51
2,1:17.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 5 ft,68,53
2,1:08.0,W. Chandler makes 2-pt layup from 2 ft (assist by B. Simmons),,70,53
2,0:49.0,,T. Wallace misses 2-pt hook shot from 6 ft,70,53
2,0:46.0,Defensive rebound by B. Simmons,,70,53
2,0:42.0,F. Korkmaz makes 2-pt layup from 2 ft (assist by B. Simmons),,72,53
2,0:42.0,Shooting foul by S. Gilgeous-Alexander (drawn by F. Korkmaz),,72,53
2,0:42.0,F. Korkmaz makes free throw 1 of 1,,73,53
2,0:35.0,,Personal foul by W. Chandler (drawn by P. Beverley),73,53
2,0:35.0,,L. Williams enters the game for T. Wallace,73,53
2,0:26.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by M. Harrell),73,55
2,0:26.0,,Shooting foul by J. Redick (drawn by D. Gallinari),73,55
2,0:26.0,,M. Gortat enters the game for M. Harrell,73,55
2,0:26.0,,S. Thornwell enters the game for L. Williams,73,55
2,0:26.0,,D. Gallinari makes free throw 1 of 1,73,56
2,0:07.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,76,56
2,0:00.0,,D. Gallinari makes 2-pt layup from 2 ft,76,58
3,11:44.0,Turnover by J. Embiid (bad pass; steal by M. Gortat),,76,58
3,11:37.0,,T. Harris makes 2-pt jump shot from 7 ft,76,60
3,11:22.0,J. Butler misses 2-pt jump shot from 11 ft,,76,60
3,11:19.0,,Defensive rebound by T. Harris,76,60
3,11:10.0,,D. Gallinari misses 2-pt jump shot from 8 ft,76,60
3,11:07.0,Defensive rebound by J. Butler,,76,60
3,11:05.0,Personal foul by S. Gilgeous-Alexander (drawn by B. Simmons),,76,60
3,10:54.0,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),,78,60
3,10:44.0,,Turnover by S. Gilgeous-Alexander (out of bounds lost ball),78,60
3,10:35.0,J. Redick misses 3-pt jump shot from 26 ft,,78,60
3,10:33.0,,Defensive rebound by M. Gortat,78,60
3,10:24.0,,A. Bradley makes 2-pt jump shot from 16 ft,78,62
3,10:06.0,Turnover by B. Simmons (3 sec),,78,62
3,9:46.0,,T. Harris misses 3-pt jump shot from 26 ft,78,62
3,9:42.0,Defensive rebound by J. Butler,,78,62
3,9:34.0,Shooting foul by T. Harris (drawn by B. Simmons),,78,62
3,9:34.0,B. Simmons misses free throw 1 of 2,,78,62
3,9:34.0,Offensive rebound by Team,,78,62
3,9:34.0,,P. Beverley enters the game for T. Harris,78,62
3,9:34.0,B. Simmons makes free throw 2 of 2,,79,62
3,9:22.0,,A. Bradley misses 3-pt jump shot from 26 ft,79,62
3,9:19.0,Defensive rebound by J. Embiid,,79,62
3,9:14.0,Philadelphia full timeout,,79,62
3,9:06.0,Shooting foul by P. Beverley (drawn by B. Simmons),,79,62
3,9:06.0,B. Simmons misses free throw 1 of 2,,79,62
3,9:06.0,Offensive rebound by Team,,79,62
3,9:06.0,B. Simmons makes free throw 2 of 2,,80,62
3,8:57.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,80,64
3,8:50.0,Personal foul by P. Beverley (drawn by B. Simmons),,80,64
3,8:35.0,W. Chandler makes 3-pt jump shot from 22 ft (assist by J. Butler),,83,64
3,8:13.0,,D. Gallinari misses 2-pt layup from 2 ft,83,64
3,8:12.0,,Offensive rebound by M. Gortat,83,64
3,8:11.0,,M. Gortat misses 2-pt hook shot from 3 ft,83,64
3,8:09.0,Defensive rebound by J. Embiid,,83,64
3,8:05.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,83,64
3,8:05.0,J. Butler makes free throw 1 of 2,,84,64
3,8:05.0,,L. Williams enters the game for S. Gilgeous-Alexander,84,64
3,8:05.0,J. Butler makes free throw 2 of 2,,85,64
3,7:57.0,,D. Gallinari misses 3-pt jump shot from 26 ft,85,64
3,7:56.0,Defensive rebound by J. Embiid,,85,64
3,7:43.0,J. Redick misses 2-pt layup from 4 ft,,85,64
3,7:41.0,Offensive rebound by J. Butler,,85,64
3,7:38.0,Turnover by W. Chandler (bad pass; steal by D. Gallinari),,85,64
3,7:33.0,,Shooting foul by W. Chandler (drawn by M. Gortat),85,64
3,7:33.0,,M. Gortat makes free throw 1 of 2,85,65
3,7:33.0,,M. Gortat makes free throw 2 of 2,85,66
3,7:24.0,J. Butler misses 2-pt jump shot from 15 ft,,85,66
3,7:21.0,,Defensive rebound by M. Gortat,85,66
3,7:15.0,,A. Bradley makes 2-pt layup from 1 ft (assist by P. Beverley),85,68
3,7:04.0,W. Chandler misses 2-pt layup from 2 ft,,85,68
3,7:00.0,Offensive rebound by W. Chandler,,85,68
3,7:00.0,W. Chandler misses 2-pt layup from 1 ft,,85,68
3,6:59.0,,Defensive rebound by M. Gortat,85,68
3,6:49.0,,D. Gallinari misses 3-pt jump shot from 27 ft,85,68
3,6:47.0,Defensive rebound by B. Simmons,,85,68
3,6:41.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,87,68
3,6:27.0,,L. Williams misses 2-pt jump shot from 16 ft (block by J. Embiid),87,68
3,6:23.0,,Offensive rebound by M. Gortat,87,68
3,6:23.0,,L. Williams misses 3-pt jump shot from 27 ft,87,68
3,6:20.0,,Offensive rebound by D. Gallinari,87,68
3,6:18.0,,D. Gallinari makes 3-pt jump shot from 26 ft,87,71
3,6:07.0,B. Simmons makes 2-pt layup from 2 ft,,89,71
3,5:57.0,,Offensive foul by M. Gortat (drawn by W. Chandler),89,71
3,5:57.0,,Turnover by M. Gortat (offensive foul),89,71
3,5:57.0,T. McConnell enters the game for W. Chandler,,89,71
3,5:57.0,M. Muscala enters the game for J. Embiid,,89,71
3,5:57.0,L. Shamet enters the game for J. Redick,,89,71
3,5:57.0,,M. Harrell enters the game for M. Gortat,89,71
3,5:39.0,L. Shamet misses 3-pt jump shot from 25 ft,,89,71
3,5:36.0,,Defensive rebound by M. Harrell,89,71
3,5:25.0,,M. Harrell makes 2-pt layup from 3 ft (assist by A. Bradley),89,73
3,5:21.0,Offensive foul by B. Simmons (drawn by P. Beverley),,89,73
3,5:21.0,Turnover by B. Simmons (offensive foul),,89,73
3,5:21.0,,S. Thornwell enters the game for A. Bradley,89,73
3,5:03.0,,M. Harrell misses 2-pt hook shot from 3 ft,89,73
3,5:01.0,Defensive rebound by T. McConnell,,89,73
3,4:57.0,T. McConnell makes 2-pt layup from 2 ft,,91,73
3,4:46.0,,L. Williams makes 2-pt jump shot from 5 ft,91,75
3,4:38.0,Turnover by T. McConnell (bad pass; steal by S. Thornwell),,91,75
3,4:33.0,,L. Williams misses 3-pt jump shot from 28 ft,91,75
3,4:30.0,,Offensive rebound by D. Gallinari,91,75
3,4:27.0,,D. Gallinari misses 2-pt layup from 2 ft,91,75
3,4:25.0,Defensive rebound by M. Muscala,,91,75
3,4:20.0,M. Muscala misses 3-pt jump shot from 26 ft,,91,75
3,4:16.0,,Defensive rebound by D. Gallinari,91,75
3,4:16.0,,Personal foul by J. Butler (drawn by D. Gallinari),91,75
3,3:56.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),91,77
3,3:33.0,Shooting foul by S. Thornwell (drawn by T. McConnell),,91,77
3,3:33.0,T. McConnell makes free throw 1 of 2,,92,77
3,3:33.0,T. McConnell makes free throw 2 of 2,,93,77
3,3:21.0,,D. Gallinari misses 3-pt jump shot from 26 ft,93,77
3,3:17.0,Defensive rebound by M. Muscala,,93,77
3,2:57.0,J. Butler makes 3-pt jump shot from 23 ft,,96,77
3,2:42.0,,Personal foul by L. Shamet (drawn by D. Gallinari),96,77
3,2:42.0,,LA Clippers full timeout,96,77
3,2:42.0,J. Bolden enters the game for J. Butler,,96,77
3,2:42.0,J. Embiid enters the game for M. Muscala,,96,77
3,2:42.0,F. Korkmaz enters the game for L. Shamet,,96,77
3,2:42.0,J. Redick enters the game for B. Simmons,,96,77
3,2:42.0,,M. Scott enters the game for D. Gallinari,96,77
3,2:32.0,,P. Beverley misses 3-pt jump shot from 23 ft,96,77
3,2:28.0,Defensive rebound by J. Embiid,,96,77
3,2:17.0,Shooting foul by M. Harrell (drawn by J. Embiid),,96,77
3,2:17.0,J. Embiid misses free throw 1 of 2,,96,77
3,2:17.0,Offensive rebound by Team,,96,77
3,2:17.0,J. Embiid makes free throw 2 of 2,,97,77
3,2:08.0,,Shooting foul by J. Embiid (drawn by L. Williams),97,77
3,2:08.0,,L. Williams makes free throw 1 of 2,97,78
3,2:08.0,,A. Bradley enters the game for S. Thornwell,97,78
3,2:08.0,,L. Williams misses free throw 2 of 2,97,78
3,2:06.0,Defensive rebound by J. Embiid,,97,78
3,1:58.0,Personal foul by M. Harrell (drawn by J. Embiid),,97,78
3,1:58.0,J. Embiid makes free throw 1 of 2,,98,78
3,1:58.0,,M. Gortat enters the game for M. Harrell,98,78
3,1:58.0,J. Embiid makes free throw 2 of 2,,99,78
3,1:44.0,,L. Williams makes 2-pt jump shot from 18 ft,99,80
3,1:33.0,Turnover by J. Bolden (bad pass; steal by L. Williams),,99,80
3,1:30.0,,L. Williams misses 2-pt layup from 2 ft,99,80
3,1:25.0,,Offensive rebound by M. Scott,99,80
3,1:25.0,,M. Scott makes 2-pt layup at rim,99,82
3,1:23.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,99,82
3,1:19.0,Offensive rebound by J. Bolden,,99,82
3,1:12.0,Turnover by F. Korkmaz (lost ball; steal by L. Williams),,99,82
3,1:04.0,,L. Williams makes 2-pt layup from 1 ft,99,84
3,1:04.0,,Shooting foul by J. Embiid (drawn by L. Williams),99,84
3,1:04.0,,L. Williams misses free throw 1 of 1,99,84
3,1:02.0,Defensive rebound by F. Korkmaz,,99,84
3,0:53.0,Personal foul by A. Bradley (drawn by J. Redick),,99,84
3,0:53.0,J. Redick makes free throw 1 of 2,,100,84
3,0:53.0,J. Redick makes free throw 2 of 2,,101,84
3,0:46.0,,Personal foul by F. Korkmaz (drawn by M. Gortat),101,84
3,0:46.0,,M. Gortat makes free throw 1 of 2,101,85
3,0:46.0,,M. Gortat makes free throw 2 of 2,101,86
3,0:35.0,Turnover by J. Embiid (back court),,101,86
3,0:30.0,,Shooting foul by J. Bolden (drawn by L. Williams),101,86
3,0:30.0,,L. Williams makes free throw 1 of 2,101,87
3,0:30.0,,L. Williams makes free throw 2 of 2,101,88
3,0:13.0,J. Redick misses 2-pt jump shot from 11 ft,,101,88
3,0:11.0,,Defensive rebound by P. Beverley,101,88
3,0:02.0,,L. Williams misses 2-pt jump shot from 6 ft,101,88
3,0:01.0,Defensive rebound by J. Embiid,,101,88
4,11:51.0,,L. Williams makes 2-pt jump shot from 18 ft,101,90
4,11:38.0,Turnover by T. McConnell (bad pass; steal by M. Gortat),,101,90
4,11:29.0,,M. Scott misses 3-pt jump shot from 27 ft,101,90
4,11:25.0,Defensive rebound by F. Korkmaz,,101,90
4,11:14.0,F. Korkmaz misses 2-pt jump shot from 19 ft,,101,90
4,11:10.0,Offensive rebound by J. Embiid,,101,90
4,11:04.0,Personal foul by P. Beverley (drawn by J. Embiid),,101,90
4,11:04.0,,T. Harris enters the game for M. Scott,101,90
4,10:57.0,Turnover by J. Redick (step out of bounds),,101,90
4,10:51.0,,Personal foul by T. McConnell (drawn by L. Williams),101,90
4,10:45.0,,L. Williams misses 3-pt jump shot from 28 ft,101,90
4,10:43.0,Defensive rebound by J. Embiid,,101,90
4,10:36.0,T. McConnell makes 2-pt jump shot from 17 ft,,103,90
4,10:13.0,,T. Harris misses 2-pt jump shot from 5 ft,103,90
4,10:11.0,Defensive rebound by J. Bolden,,103,90
4,10:06.0,F. Korkmaz misses 2-pt layup from 2 ft,,103,90
4,10:05.0,Offensive rebound by J. Bolden,,103,90
4,10:05.0,J. Bolden makes 2-pt layup from 1 ft,,105,90
4,10:05.0,,LA Clippers full timeout,105,90
4,9:44.0,,Shooting foul by J. Embiid (drawn by T. Harris),105,90
