QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
2,0:55.0,,S. Harrison misses 3-pt jump shot from 25 ft,57,50
2,0:53.0,,Offensive rebound by L. Markkanen,57,50
2,0:53.0,,L. Markkanen makes 2-pt layup from 2 ft,57,52
2,0:43.0,Shooting foul by S. Harrison (drawn by K. Middleton),,57,52
2,0:43.0,K. Middleton misses free throw 1 of 2,,57,52
2,0:43.0,Offensive rebound by Team,,57,52
2,0:43.0,M. Brogdon enters the game for E. Bledsoe,,57,52
2,0:43.0,,W. Selden enters the game for S. Harrison,57,52
2,0:43.0,K. Middleton makes free throw 2 of 2,,58,52
2,0:36.0,,Z. LaVine misses 3-pt jump shot from 27 ft,58,52
2,0:35.0,Defensive rebound by N. Mirotić,,58,52
2,0:29.0,Shooting foul by W. Selden (drawn by K. Middleton),,58,52
2,0:29.0,K. Middleton makes free throw 1 of 2,,59,52
2,0:29.0,K. Middleton makes free throw 2 of 2,,60,52
2,0:13.0,,L. Markkanen makes 2-pt jump shot from 5 ft (assist by Z. LaVine),60,54
2,0:02.0,K. Middleton makes 3-pt jump shot from 26 ft,,63,54
3,11:42.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,63,54
3,11:37.0,Defensive rebound by E. İlyasova,,63,54
3,11:32.0,B. Lopez misses 3-pt jump shot from 26 ft,,63,54
3,11:31.0,,Defensive rebound by Team,63,54
3,11:17.0,,Shooting foul by K. Middleton (drawn by R. Lopez),63,54
3,11:17.0,,R. Lopez makes free throw 1 of 2,63,55
3,11:17.0,,R. Lopez makes free throw 2 of 2,63,56
3,11:01.0,K. Middleton misses 2-pt hook shot from 6 ft,,63,56
3,10:58.0,,Defensive rebound by T. Luwawu-Cabarrot,63,56
3,10:49.0,,Def 3 sec tech foul by Team,63,56
3,10:49.0,,Z. LaVine misses technical free throw,63,56
3,10:49.0,,Offensive rebound by Team,63,56
3,10:33.0,,R. Lopez misses 2-pt hook shot from 4 ft,63,56
3,10:31.0,Defensive rebound by E. İlyasova,,63,56
3,10:21.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by K. Middleton),,66,56
3,10:04.0,,L. Markkanen misses 2-pt layup from 4 ft (block by B. Lopez),66,56
3,10:04.0,Defensive rebound by Team,,66,56
3,9:55.0,E. Bledsoe makes 3-pt jump shot from 25 ft,,69,56
3,9:52.0,,Chicago full timeout,69,56
3,9:36.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by Z. LaVine),69,58
3,9:36.0,,Shooting foul by B. Lopez (drawn by T. Luwawu-Cabarrot),69,58
3,9:36.0,,T. Luwawu-Cabarrot misses free throw 1 of 1,69,58
3,9:34.0,Defensive rebound by K. Middleton,,69,58
3,9:14.0,E. Bledsoe makes 2-pt layup from 1 ft,,71,58
3,8:55.0,,R. Lopez makes 2-pt layup from 1 ft,71,60
3,8:45.0,M. Brogdon misses 2-pt jump shot from 21 ft,,71,60
3,8:42.0,,Defensive rebound by R. Arcidiacono,71,60
3,8:34.0,,L. Markkanen makes 2-pt jump shot from 12 ft (assist by R. Arcidiacono),71,62
3,8:26.0,K. Middleton misses 2-pt jump shot from 16 ft,,71,62
3,8:24.0,Offensive rebound by M. Brogdon,,71,62
3,8:23.0,M. Brogdon misses 2-pt layup from 2 ft,,71,62
3,8:22.0,Offensive rebound by E. İlyasova,,71,62
3,8:22.0,E. İlyasova makes 2-pt layup from 1 ft,,73,62
3,8:04.0,,T. Luwawu-Cabarrot makes 2-pt jump shot from 22 ft (assist by L. Markkanen),73,64
3,7:55.0,K. Middleton misses 2-pt jump shot from 6 ft (block by Z. LaVine),,73,64
3,7:55.0,Offensive rebound by Team,,73,64
3,7:55.0,P. Connaughton enters the game for M. Brogdon,,73,64
3,7:45.0,K. Middleton makes 3-pt jump shot from 25 ft,,76,64
3,7:32.0,,Personal foul by E. İlyasova (drawn by R. Lopez),76,64
3,7:22.0,,L. Markkanen misses 3-pt jump shot from 25 ft,76,64
3,7:19.0,Defensive rebound by P. Connaughton,,76,64
3,7:17.0,Offensive foul by K. Middleton (drawn by R. Arcidiacono),,76,64
3,7:17.0,Turnover by K. Middleton (offensive foul),,76,64
3,7:17.0,N. Mirotić enters the game for E. İlyasova,,76,64
3,7:01.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 15 ft,76,64
3,6:57.0,,Offensive rebound by R. Lopez,76,64
3,6:56.0,,R. Lopez makes 2-pt hook shot from 2 ft,76,66
3,6:42.0,B. Lopez misses 3-pt jump shot from 25 ft,,76,66
3,6:42.0,,Defensive rebound by Team,76,66
3,6:42.0,Loose ball foul by N. Mirotić (drawn by T. Luwawu-Cabarrot),,76,66
3,6:34.0,,R. Lopez misses 2-pt dunk from 2 ft (block by B. Lopez),76,66
3,6:34.0,,Offensive rebound by Team,76,66
3,6:23.0,,R. Arcidiacono misses 2-pt jump shot from 10 ft (block by B. Lopez),76,66
3,6:19.0,Defensive rebound by E. Bledsoe,,76,66
3,6:17.0,Turnover by E. Bledsoe (bad pass; steal by T. Luwawu-Cabarrot),,76,66
3,6:06.0,,Z. LaVine misses 2-pt jump shot from 15 ft,76,66
3,6:03.0,Defensive rebound by N. Mirotić,,76,66
3,5:58.0,K. Middleton misses 3-pt jump shot from 25 ft,,76,66
3,5:56.0,,Defensive rebound by L. Markkanen,76,66
3,5:54.0,,Turnover by T. Luwawu-Cabarrot (out of bounds lost ball),76,66
3,5:54.0,I. Canaan enters the game for E. Bledsoe,,76,66
3,5:39.0,N. Mirotić misses 3-pt jump shot from 29 ft,,76,66
3,5:35.0,,Defensive rebound by L. Markkanen,76,66
3,5:23.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by Z. LaVine),76,69
3,5:01.0,B. Lopez makes 2-pt dunk at rim (assist by P. Connaughton),,78,69
3,4:53.0,,Shooting foul by B. Lopez (drawn by T. Luwawu-Cabarrot),78,69
3,4:53.0,Milwaukee full timeout,,78,69
3,4:53.0,,W. Selden enters the game for L. Markkanen,78,69
3,4:53.0,,T. Luwawu-Cabarrot misses free throw 1 of 2,78,69
3,4:53.0,,Offensive rebound by Team,78,69
3,4:53.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,78,70
3,4:37.0,Shooting foul by W. Selden (drawn by K. Middleton),,78,70
3,4:37.0,K. Middleton misses free throw 1 of 3,,78,70
3,4:37.0,Offensive rebound by Team,,78,70
3,4:37.0,K. Middleton makes free throw 2 of 3,,79,70
3,4:37.0,D. Wilson enters the game for B. Lopez,,79,70
3,4:37.0,K. Middleton misses free throw 3 of 3,,79,70
3,4:34.0,,Defensive rebound by Z. LaVine,79,70
3,4:34.0,,S. Harrison enters the game for R. Arcidiacono,79,70
3,4:16.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by T. Luwawu-Cabarrot),79,72
3,3:54.0,K. Middleton misses 2-pt jump shot from 19 ft,,79,72
3,3:51.0,,Defensive rebound by S. Harrison,79,72
3,3:51.0,,Shooting foul by D. Wilson (drawn by Z. LaVine),79,72
3,3:51.0,,Z. LaVine makes free throw 1 of 2,79,73
3,3:51.0,T. Snell enters the game for K. Middleton,,79,73
3,3:51.0,,Z. LaVine misses free throw 2 of 2,79,73
3,3:44.0,Defensive rebound by D. Wilson,,79,73
3,3:39.0,D. Wilson makes 2-pt jump shot from 12 ft (assist by I. Canaan),,81,73
3,3:21.0,,Shooting foul by D. Wilson (drawn by R. Lopez),81,73
3,3:21.0,,R. Lopez misses free throw 1 of 2,81,73
3,3:21.0,,Offensive rebound by Team,81,73
3,3:21.0,,R. Lopez makes free throw 2 of 2,81,74
3,3:21.0,M. Brogdon enters the game for I. Canaan,,81,74
3,3:00.0,D. Wilson misses 3-pt jump shot from 27 ft,,81,74
3,2:55.0,Offensive rebound by N. Mirotić,,81,74
3,2:52.0,T. Snell misses 3-pt jump shot from 26 ft,,81,74
3,2:52.0,,Defensive rebound by T. Luwawu-Cabarrot,81,74
3,2:44.0,,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft (block by T. Snell),81,74
3,2:44.0,,Offensive rebound by Team,81,74
3,2:38.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,81,74
3,2:35.0,Defensive rebound by Team,,81,74
3,2:18.0,P. Connaughton misses 3-pt jump shot from 25 ft,,81,74
3,2:16.0,Offensive rebound by Team,,81,74
3,2:16.0,,A. Blakeney enters the game for Z. LaVine,81,74
3,2:16.0,,L. Markkanen enters the game for T. Luwawu-Cabarrot,81,74
3,2:13.0,N. Mirotić makes 2-pt hook shot from 6 ft (assist by P. Connaughton),,83,74
3,1:54.0,,Shooting foul by T. Snell (drawn by R. Lopez),83,74
3,1:54.0,,R. Lopez makes free throw 1 of 2,83,75
3,1:54.0,E. İlyasova enters the game for N. Mirotić,,83,75
3,1:54.0,,R. Lopez makes free throw 2 of 2,83,76
3,1:37.0,P. Connaughton makes 2-pt layup from 2 ft (assist by M. Brogdon),,85,76
3,1:21.0,,R. Lopez makes 2-pt dunk at rim (assist by S. Harrison),85,78
3,1:02.0,P. Connaughton makes 3-pt jump shot from 22 ft (assist by M. Brogdon),,88,78
3,0:50.0,,L. Markkanen misses 2-pt jump shot from 5 ft,88,78
3,0:49.0,Defensive rebound by D. Wilson,,88,78
3,0:33.0,Turnover by M. Brogdon (out of bounds lost ball),,88,78
3,0:25.0,,Shooting foul by D. Wilson (drawn by S. Harrison),88,78
3,0:25.0,,S. Harrison misses free throw 1 of 3,88,78
3,0:25.0,,Offensive rebound by Team,88,78
3,0:25.0,,S. Harrison makes free throw 2 of 3,88,79
3,0:25.0,,T. Luwawu-Cabarrot enters the game for R. Lopez,88,79
3,0:25.0,,S. Harrison makes free throw 3 of 3,88,80
3,0:08.0,Personal foul by S. Harrison (drawn by M. Brogdon),,88,80
3,0:07.0,T. Snell makes 2-pt layup from 1 ft (assist by P. Connaughton),,90,80
3,0:00.0,,W. Selden misses 2-pt layup from 2 ft,90,80
3,0:00.0,,Offensive rebound by Team,90,80
4,11:42.0,M. Brogdon misses 3-pt jump shot from 26 ft,,90,80
4,11:38.0,Offensive rebound by P. Connaughton,,90,80
4,11:32.0,T. Snell misses 2-pt jump shot from 20 ft,,90,80
4,11:32.0,,Defensive rebound by Team,90,80
4,11:32.0,Loose ball foul by D. Wilson (drawn by C. Felício),,90,80
4,11:15.0,,A. Blakeney makes 2-pt jump shot from 6 ft (assist by W. Selden),90,82
4,10:52.0,P. Connaughton misses 3-pt jump shot from 26 ft,,90,82
4,10:52.0,,Defensive rebound by L. Markkanen,90,82
4,10:34.0,,W. Selden misses 3-pt jump shot from 26 ft,90,82
4,10:30.0,Defensive rebound by D. Wilson,,90,82
4,10:14.0,E. İlyasova misses 2-pt hook shot from 6 ft,,90,82
4,10:14.0,,Defensive rebound by L. Markkanen,90,82
4,10:14.0,,Personal foul by E. İlyasova (drawn by L. Markkanen),90,82
4,10:14.0,K. Middleton enters the game for P. Connaughton,,90,82
4,9:57.0,,Personal foul by M. Brogdon (drawn by L. Markkanen),90,82
4,9:57.0,N. Mirotić enters the game for D. Wilson,,90,82
4,9:41.0,,A. Blakeney misses 2-pt jump shot from 16 ft,90,82
4,9:38.0,Defensive rebound by T. Snell,,90,82
4,9:33.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by T. Snell),,93,82
4,9:16.0,,L. Markkanen makes 2-pt jump shot from 21 ft (assist by C. Felício),93,84
4,9:03.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by K. Middleton),,96,84
4,8:45.0,,W. Selden makes 2-pt layup from 1 ft (assist by A. Blakeney),96,86
4,8:39.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by M. Brogdon),,99,86
4,8:38.0,,Chicago full timeout,99,86
4,8:38.0,E. Bledsoe enters the game for M. Brogdon,,99,86
4,8:38.0,B. Lopez enters the game for E. İlyasova,,99,86
4,8:38.0,,R. Arcidiacono enters the game for A. Blakeney,99,86
4,8:38.0,,Z. LaVine enters the game for C. Felício,99,86
4,8:38.0,,R. Lopez enters the game for S. Harrison,99,86
4,8:19.0,,R. Lopez misses 2-pt jump shot from 21 ft,99,86
4,8:15.0,Defensive rebound by N. Mirotić,,99,86
4,7:56.0,K. Middleton makes 2-pt layup from 1 ft,,101,86
4,7:45.0,,L. Markkanen misses 3-pt jump shot from 26 ft,101,86
4,7:42.0,Defensive rebound by T. Snell,,101,86
4,7:35.0,K. Middleton misses 2-pt jump shot from 16 ft,,101,86
4,7:32.0,,Defensive rebound by L. Markkanen,101,86
4,7:27.0,,Personal foul by K. Middleton (drawn by Z. LaVine),101,86
4,7:17.0,,R. Arcidiacono misses 2-pt jump shot from 6 ft,101,86
4,7:15.0,Defensive rebound by E. Bledsoe,,101,86
4,7:10.0,N. Mirotić misses 3-pt jump shot from 26 ft,,101,86
4,7:06.0,,Defensive rebound by W. Selden,101,86
4,7:00.0,,W. Selden makes 2-pt jump shot from 13 ft,101,88
4,6:40.0,B. Lopez misses 3-pt jump shot from 26 ft,,101,88
4,6:36.0,,Defensive rebound by Z. LaVine,101,88
4,6:33.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,101,88
4,6:29.0,Defensive rebound by B. Lopez,,101,88
4,6:20.0,Turnover by K. Middleton (bad pass),,101,88
4,6:20.0,P. Connaughton enters the game for T. Snell,,101,88
