QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MIAMI_ACTION,LA CLIPPERS_SCORE,MIAMI_SCORE
2,5:22.0,Defensive rebound by P. Beverley,,40,45
2,5:14.0,Personal foul by J. Johnson (drawn by M. Gortat),,40,45
2,5:08.0,T. Harris makes 2-pt jump shot from 19 ft,,42,45
2,4:42.0,,J. Winslow misses 3-pt jump shot from 24 ft,42,45
2,4:39.0,Defensive rebound by T. Harris,,42,45
2,4:34.0,M. Gortat misses 2-pt hook shot from 6 ft,,42,45
2,4:30.0,,Defensive rebound by H. Whiteside,42,45
2,4:20.0,,J. Johnson misses 2-pt layup from 4 ft,42,45
2,4:18.0,Defensive rebound by P. Beverley,,42,45
2,4:06.0,A. Bradley makes 2-pt jump shot from 14 ft,,44,45
2,3:48.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by T. Johnson),44,48
2,3:35.0,T. Harris makes 2-pt layup from 3 ft,,46,48
2,3:17.0,,D. Waiters misses 2-pt layup from 3 ft,46,48
2,3:15.0,Defensive rebound by M. Gortat,,46,48
2,3:07.0,Shooting foul by H. Whiteside (drawn by T. Harris),,46,48
2,3:07.0,T. Harris makes free throw 1 of 2,,47,48
2,3:07.0,,J. Richardson enters the game for J. Johnson,47,48
2,3:07.0,,D. Wade enters the game for D. Waiters,47,48
2,3:07.0,T. Harris makes free throw 2 of 2,,48,48
2,2:45.0,,Turnover by H. Whiteside (traveling),48,48
2,2:45.0,LA Clippers full timeout,,48,48
2,2:28.0,A. Bradley misses 2-pt jump shot from 21 ft,,48,48
2,2:26.0,Offensive rebound by A. Bradley,,48,48
2,2:25.0,M. Gortat makes 2-pt layup from 2 ft (assist by A. Bradley),,50,48
2,2:08.0,,D. Wade makes 2-pt jump shot from 9 ft,50,50
2,1:50.0,Turnover by T. Harris (bad pass),,50,50
2,1:22.0,,D. Wade misses 3-pt jump shot from 23 ft,50,50
2,1:21.0,Defensive rebound by T. Harris,,50,50
2,1:21.0,Turnover by T. Harris (step out of bounds),,50,50
2,1:17.0,,Personal foul by P. Beverley (drawn by J. Richardson),50,50
2,1:17.0,,J. Richardson makes free throw 1 of 2,50,51
2,1:17.0,J. Robinson enters the game for P. Beverley,,50,51
2,1:17.0,,J. Richardson makes free throw 2 of 2,50,52
2,0:56.0,A. Bradley misses 2-pt layup from 9 ft (block by T. Johnson),,50,52
2,0:56.0,Offensive rebound by Team,,50,52
2,0:54.0,A. Bradley makes 2-pt jump shot from 15 ft (assist by S. Gilgeous-Alexander),,52,52
2,0:30.0,,D. Wade makes 2-pt layup from 3 ft (assist by H. Whiteside),52,54
2,0:11.0,T. Harris makes 2-pt dunk from 3 ft,,54,54
2,0:00.0,,J. Richardson misses 3-pt jump shot from 23 ft (block by J. Robinson),54,54
2,0:00.0,Defensive rebound by M. Gortat,,54,54
3,11:40.0,,Offensive foul by J. Winslow (drawn by P. Beverley),54,54
3,11:40.0,,Turnover by J. Winslow (offensive foul),54,54
3,11:31.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by T. Harris),,56,54
3,11:07.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by J. Richardson),56,56
3,10:57.0,M. Gortat misses 2-pt jump shot from 12 ft,,56,56
3,10:53.0,,Defensive rebound by J. Winslow,56,56
3,10:45.0,,H. Whiteside makes 2-pt dunk from 4 ft (assist by J. Winslow),56,58
3,10:24.0,M. Gortat makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),,58,58
3,10:02.0,,T. Johnson misses 3-pt jump shot from 28 ft,58,58
3,9:58.0,Defensive rebound by M. Gortat,,58,58
3,9:43.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,58,58
3,9:39.0,,Defensive rebound by H. Whiteside,58,58
3,9:31.0,,H. Whiteside misses 2-pt jump shot from 20 ft,58,58
3,9:30.0,Defensive rebound by T. Harris,,58,58
3,9:21.0,Personal foul by J. Winslow (drawn by M. Gortat),,58,58
3,9:14.0,Personal foul by J. Winslow (drawn by M. Gortat),,58,58
3,9:05.0,P. Beverley misses 3-pt jump shot from 23 ft,,58,58
3,9:02.0,Offensive rebound by A. Bradley,,58,58
3,8:56.0,A. Bradley makes 2-pt jump shot from 20 ft,,60,58
3,8:42.0,,Turnover by J. Winslow (bad pass; steal by A. Bradley),60,58
3,8:16.0,T. Harris misses 2-pt jump shot from 21 ft,,60,58
3,8:13.0,,Defensive rebound by H. Whiteside,60,58
3,8:06.0,,J. Winslow misses 2-pt jump shot from 8 ft,60,58
3,8:05.0,,Offensive rebound by H. Whiteside,60,58
3,8:02.0,,H. Whiteside makes 2-pt layup from 1 ft,60,60
3,7:46.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,60,60
3,7:45.0,,Defensive rebound by J. Richardson,60,60
3,7:40.0,,T. Johnson makes 2-pt layup from 3 ft (assist by J. Richardson),60,62
3,7:32.0,S. Gilgeous-Alexander misses 2-pt layup from 4 ft (block by H. Whiteside),,60,62
3,7:30.0,Offensive rebound by M. Gortat,,60,62
3,7:30.0,M. Gortat makes 2-pt layup from 3 ft,,62,62
3,7:00.0,,Turnover by H. Whiteside (bad pass; steal by T. Harris),62,62
3,6:52.0,A. Bradley misses 3-pt jump shot from 23 ft,,62,62
3,6:49.0,,Defensive rebound by T. Johnson,62,62
3,6:40.0,,Offensive foul by J. Winslow (drawn by M. Gortat),62,62
3,6:40.0,,Turnover by J. Winslow (offensive foul),62,62
3,6:40.0,,Miami full timeout,62,62
3,6:40.0,,D. Wade enters the game for J. Winslow,62,62
3,6:25.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Harris),,65,62
3,6:05.0,,J. Richardson misses 3-pt jump shot from 26 ft,65,62
3,6:02.0,,Offensive rebound by D. Wade,65,62
3,5:57.0,,D. Wade misses 2-pt layup from 1 ft,65,62
3,5:56.0,Defensive rebound by M. Gortat,,65,62
3,5:48.0,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft (assist by T. Harris),,67,62
3,5:20.0,,Shooting foul by P. Beverley (drawn by H. Whiteside),67,62
3,5:20.0,,H. Whiteside misses free throw 1 of 2,67,62
3,5:20.0,,Offensive rebound by Team,67,62
3,5:20.0,L. Williams enters the game for P. Beverley,,67,62
3,5:20.0,,H. Whiteside makes free throw 2 of 2,67,63
3,5:05.0,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,67,63
3,5:03.0,,Defensive rebound by H. Whiteside,67,63
3,4:57.0,,Turnover by T. Johnson (lost ball; steal by L. Williams),67,63
3,4:39.0,M. Gortat makes 2-pt layup from 3 ft (assist by T. Harris),,69,63
3,4:23.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Wade),69,66
3,4:02.0,T. Harris misses 2-pt jump shot from 19 ft,,69,66
3,3:58.0,,Defensive rebound by D. Wade,69,66
3,3:49.0,,Shooting foul by S. Gilgeous-Alexander (drawn by H. Whiteside),69,66
3,3:49.0,,H. Whiteside misses free throw 1 of 2,69,66
3,3:49.0,,Offensive rebound by Team,69,66
3,3:49.0,M. Harrell enters the game for M. Gortat,,69,66
3,3:49.0,,D. Waiters enters the game for T. Johnson,69,66
3,3:49.0,,H. Whiteside misses free throw 2 of 2,69,66
3,3:45.0,Defensive rebound by L. Williams,,69,66
3,3:42.0,Turnover by L. Williams (bad pass; steal by H. Whiteside),,69,66
3,3:36.0,,J. Richardson makes 2-pt dunk from 3 ft (assist by D. Wade),69,68
3,3:22.0,T. Harris misses 2-pt jump shot from 14 ft,,69,68
3,3:18.0,,Defensive rebound by H. Whiteside,69,68
3,3:10.0,,Personal foul by S. Gilgeous-Alexander (drawn by D. Waiters),69,68
3,3:10.0,,B. Adebayo enters the game for H. Whiteside,69,68
3,3:02.0,,D. Wade misses 2-pt jump shot from 15 ft,69,68
3,3:00.0,Defensive rebound by T. Harris,,69,68
3,3:00.0,LA Clippers full timeout,,69,68
3,2:47.0,T. Harris misses 2-pt layup from 3 ft (block by J. Johnson),,69,68
3,2:47.0,Offensive rebound by Team,,69,68
3,2:47.0,J. Robinson enters the game for S. Gilgeous-Alexander,,69,68
3,2:40.0,T. Harris makes 3-pt jump shot from 25 ft (assist by L. Williams),,72,68
3,2:23.0,,B. Adebayo makes 2-pt dunk from 3 ft (assist by D. Wade),72,70
3,2:10.0,L. Williams makes 2-pt jump shot from 13 ft,,74,70
3,1:55.0,,J. Richardson misses 3-pt jump shot from 27 ft,74,70
3,1:53.0,,Offensive rebound by B. Adebayo,74,70
3,1:49.0,,J. Johnson misses 3-pt jump shot from 26 ft,74,70
3,1:45.0,Defensive rebound by J. Robinson,,74,70
3,1:35.0,Shooting foul by J. Richardson (drawn by L. Williams),,74,70
3,1:35.0,L. Williams misses free throw 1 of 2,,74,70
3,1:35.0,Offensive rebound by Team,,74,70
3,1:35.0,S. Thornwell enters the game for A. Bradley,,74,70
3,1:35.0,L. Williams misses free throw 2 of 2,,74,70
3,1:32.0,,Defensive rebound by B. Adebayo,74,70
3,1:19.0,,Personal foul by L. Williams (drawn by B. Adebayo),74,70
3,1:10.0,,J. Richardson misses 2-pt jump shot from 7 ft,74,70
3,1:07.0,Defensive rebound by M. Harrell,,74,70
3,1:00.0,L. Williams misses 2-pt jump shot from 17 ft,,74,70
3,0:56.0,,Defensive rebound by J. Johnson,74,70
3,0:51.0,,Turnover by D. Waiters (dbl dribble),74,70
3,0:30.0,J. Robinson makes 3-pt jump shot from 23 ft (assist by L. Williams),,77,70
3,0:05.0,,B. Adebayo makes 2-pt jump shot from 18 ft,77,72
3,0:00.0,J. Robinson misses 3-pt jump shot from 25 ft,,77,72
3,0:00.0,Offensive rebound by Team,,77,72
4,11:51.0,Shooting foul by B. Adebayo (drawn by M. Harrell),,77,72
4,11:51.0,M. Harrell misses free throw 1 of 2,,77,72
4,11:51.0,Offensive rebound by Team,,77,72
4,11:51.0,J. Motley enters the game for T. Harris,,77,72
4,11:51.0,M. Harrell misses free throw 2 of 2,,77,72
4,11:48.0,,Defensive rebound by B. Adebayo,77,72
4,11:28.0,,D. Waiters misses 3-pt jump shot from 26 ft,77,72
4,11:25.0,Defensive rebound by L. Williams,,77,72
4,11:15.0,J. Motley makes 2-pt jump shot from 3 ft,,79,72
4,10:53.0,,D. Wade misses 2-pt jump shot from 10 ft,79,72
4,10:49.0,Defensive rebound by M. Harrell,,79,72
4,10:48.0,L. Williams makes 2-pt jump shot from 11 ft,,81,72
4,10:20.0,,B. Adebayo makes 2-pt hook shot from 5 ft,81,74
4,10:03.0,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),,83,74
4,9:40.0,,Turnover by D. Jones (traveling),83,74
4,9:28.0,L. Williams misses 3-pt jump shot from 29 ft,,83,74
4,9:23.0,,Defensive rebound by D. Waiters,83,74
4,9:14.0,,D. Waiters misses 2-pt layup from 3 ft,83,74
4,9:11.0,Defensive rebound by L. Williams,,83,74
4,9:07.0,Shooting foul by T. Johnson (drawn by M. Harrell),,83,74
4,9:07.0,M. Harrell misses free throw 1 of 2,,83,74
4,9:07.0,Offensive rebound by Team,,83,74
4,9:07.0,M. Harrell makes free throw 2 of 2,,84,74
4,8:47.0,,T. Johnson misses 3-pt jump shot from 26 ft,84,74
4,8:41.0,,Offensive rebound by D. Jones,84,74
4,8:41.0,,D. Jones misses 2-pt dunk from 1 ft,84,74
4,8:41.0,Defensive rebound by J. Motley,,84,74
4,8:41.0,Shooting foul by B. Adebayo (drawn by L. Williams),,84,74
4,8:41.0,L. Williams makes free throw 1 of 2,,85,74
4,8:41.0,L. Williams makes free throw 2 of 2,,86,74
4,8:37.0,,Miami full timeout,86,74
4,8:37.0,,J. Winslow enters the game for D. Jones,86,74
4,8:17.0,,D. Wade misses 2-pt jump shot from 11 ft,86,74
4,8:15.0,Defensive rebound by L. Williams,,86,74
4,8:03.0,J. Robinson makes 2-pt jump shot from 21 ft,,88,74
4,7:41.0,,D. Waiters makes 3-pt jump shot from 26 ft (assist by D. Wade),88,77
4,7:32.0,Personal foul by B. Adebayo (drawn by M. Harrell),,88,77
4,7:32.0,T. Harris enters the game for L. Williams,,88,77
4,7:32.0,,J. Richardson enters the game for B. Adebayo,88,77
4,7:32.0,,H. Whiteside enters the game for D. Wade,88,77
4,7:20.0,J. Motley misses 2-pt jump shot from 10 ft,,88,77
4,7:19.0,Offensive rebound by J. Motley,,88,77
4,7:18.0,J. Motley makes 2-pt layup at rim,,90,77
4,7:06.0,,Personal foul by J. Robinson (drawn by D. Waiters),90,77
4,7:01.0,,Shooting foul by J. Motley (drawn by T. Johnson),90,77
4,7:01.0,,T. Johnson makes free throw 1 of 2,90,78
4,7:01.0,P. Beverley enters the game for J. Motley,,90,78
4,7:01.0,A. Bradley enters the game for S. Thornwell,,90,78
4,7:01.0,,T. Johnson makes free throw 2 of 2,90,79
4,6:34.0,P. Beverley makes 2-pt hook shot from 7 ft,,92,79
4,6:16.0,,Personal foul by J. Robinson (drawn by D. Waiters),92,79
4,6:07.0,,T. Johnson misses 2-pt jump shot from 7 ft,92,79
4,6:04.0,,Offensive rebound by Team,92,79
4,5:43.0,,Shooting foul by A. Bradley (drawn by J. Richardson),92,79
4,5:43.0,,J. Richardson makes free throw 1 of 2,92,80
4,5:43.0,S. Gilgeous-Alexander enters the game for J. Robinson,,92,80
4,5:43.0,,J. Richardson misses free throw 2 of 2,92,80
4,5:40.0,Defensive rebound by T. Harris,,92,80
4,5:22.0,T. Harris makes 2-pt jump shot from 13 ft (assist by A. Bradley),,94,80
4,5:22.0,,Miami full timeout,94,80
4,5:06.0,,J. Richardson misses 2-pt jump shot from 16 ft,94,80
4,5:04.0,Defensive rebound by T. Harris,,94,80
4,4:51.0,M. Harrell makes 2-pt dunk from 3 ft (assist by P. Beverley),,96,80
4,4:35.0,,D. Waiters misses 3-pt jump shot from 25 ft,96,80
4,4:32.0,Defensive rebound by P. Beverley,,96,80
4,4:30.0,M. Harrell makes 2-pt dunk from 3 ft (assist by P. Beverley),,98,80
4,4:30.0,,Miami full timeout,98,80
4,4:16.0,,T. Johnson makes 2-pt layup from 3 ft,98,82
4,4:01.0,P. Beverley misses 3-pt jump shot from 27 ft,,98,82
4,3:59.0,,Defensive rebound by H. Whiteside,98,82
4,3:51.0,,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Richardson),98,85
4,3:38.0,Personal foul by T. Johnson (drawn by P. Beverley),,98,85
4,3:38.0,P. Beverley makes free throw 1 of 2,,99,85
4,3:38.0,P. Beverley makes free throw 2 of 2,,100,85
4,3:25.0,,Shooting foul by M. Harrell (drawn by T. Johnson),100,85
4,3:25.0,,T. Johnson makes free throw 1 of 2,100,86
4,3:25.0,,T. Johnson misses free throw 2 of 2,100,86
4,3:19.0,,Offensive rebound by H. Whiteside,100,86
4,3:18.0,,Turnover by H. Whiteside (bad pass; steal by P. Beverley),100,86
4,3:09.0,M. Harrell makes 2-pt layup from 4 ft (assist by T. Harris),,102,86
4,3:00.0,,J. Richardson makes 2-pt layup from 3 ft,102,88
4,2:43.0,M. Harrell makes 2-pt dunk from 4 ft (assist by A. Bradley),,104,88
4,2:27.0,,H. Whiteside makes 2-pt jump shot from 3 ft (assist by T. Johnson),104,90
4,2:27.0,,Shooting foul by M. Harrell (drawn by H. Whiteside),104,90
4,2:27.0,,H. Whiteside makes free throw 1 of 1,104,91
4,2:13.0,Personal foul by J. Richardson (drawn by T. Harris),,104,91
4,2:13.0,T. Harris makes free throw 1 of 2,,105,91
4,2:13.0,T. Harris makes free throw 2 of 2,,106,91
4,1:59.0,,J. Winslow misses 2-pt jump shot from 12 ft,106,91
4,1:58.0,,Offensive rebound by H. Whiteside,106,91
4,1:57.0,,H. Whiteside makes 2-pt layup from 1 ft,106,93
4,1:42.0,Shooting foul by J. Richardson (drawn by M. Harrell),,106,93
4,1:42.0,M. Harrell makes free throw 1 of 2,,107,93
4,1:42.0,M. Harrell makes free throw 2 of 2,,108,93
4,1:26.0,,T. Johnson misses 3-pt jump shot from 23 ft,108,93
4,1:26.0,,Offensive rebound by H. Whiteside,108,93
4,1:25.0,,H. Whiteside makes 2-pt jump shot from 7 ft,108,95
4,1:15.0,A. Bradley misses 3-pt jump shot from 23 ft,,108,95
4,1:15.0,,Defensive rebound by Team,108,95
4,1:02.0,,Personal foul by A. Bradley (drawn by T. Johnson),108,95
