QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
2,11:31.0,A. Len makes 2-pt dunk from 1 ft (assist by D. Bembry),,25,35
2,11:31.0,Personal foul by M. Plumlee (drawn by A. Len),,25,35
2,11:31.0,,N. Jokić enters the game for M. Plumlee,25,35
2,11:31.0,A. Len misses free throw 1 of 1,,25,35
2,11:31.0,,Defensive rebound by N. Jokić,25,35
2,11:14.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Morris),25,38
2,10:53.0,A. Len misses 2-pt hook shot from 3 ft,,25,38
2,10:50.0,Offensive rebound by V. Carter,,25,38
2,10:45.0,K. Bazemore misses 3-pt jump shot from 23 ft,,25,38
2,10:40.0,Offensive rebound by A. Len,,25,38
2,10:38.0,T. Young misses 3-pt jump shot from 26 ft,,25,38
2,10:38.0,,Defensive rebound by T. Lyles,25,38
2,10:30.0,,Personal foul by A. Len (drawn by T. Lyles),25,38
2,10:27.0,,M. Beasley misses 2-pt jump shot from 15 ft,25,38
2,10:23.0,Defensive rebound by D. Bembry,,25,38
2,10:20.0,D. Bembry makes 2-pt layup from 1 ft,,27,38
2,10:06.0,,Personal foul by D. Bembry (drawn by T. Lyles),27,38
2,10:06.0,A. Poythress enters the game for V. Carter,,27,38
2,10:00.0,,J. Murray misses 2-pt layup from 4 ft (block by A. Len),27,38
2,10:00.0,,Offensive rebound by Team,27,38
2,9:54.0,,J. Murray makes 2-pt layup from 3 ft,27,40
2,9:43.0,T. Young misses 3-pt jump shot from 27 ft,,27,40
2,9:40.0,,Defensive rebound by T. Lyles,27,40
2,9:33.0,,N. Jokić misses 2-pt jump shot from 23 ft,27,40
2,9:30.0,,Offensive rebound by M. Beasley,27,40
2,9:30.0,,M. Beasley makes 2-pt layup from 1 ft,27,42
2,9:30.0,Atlanta full timeout,,27,42
2,9:30.0,,G. Harris enters the game for J. Murray,27,42
2,9:22.0,Turnover by K. Bazemore (lost ball; steal by N. Jokić),,27,42
2,9:13.0,,Turnover by T. Lyles (bad pass),27,42
2,9:03.0,A. Len misses 2-pt layup from 1 ft,,27,42
2,9:02.0,Offensive rebound by A. Len,,27,42
2,9:02.0,A. Len makes 2-pt layup at rim,,29,42
2,8:45.0,,Personal foul by T. Young (drawn by T. Lyles),29,42
2,8:34.0,,M. Morris misses 2-pt layup from 3 ft (block by A. Len),29,42
2,8:34.0,Defensive rebound by T. Young,,29,42
2,8:28.0,K. Bazemore makes 2-pt dunk from 2 ft (assist by T. Young),,31,42
2,8:28.0,,Denver full timeout,31,42
2,8:08.0,,N. Jokić makes 2-pt layup from 2 ft,31,44
2,8:08.0,Violation by Team (def goaltending),,31,44
2,7:59.0,D. Bembry misses 3-pt jump shot from 24 ft,,31,44
2,7:56.0,Offensive rebound by K. Bazemore,,31,44
2,7:52.0,K. Bazemore makes 2-pt jump shot from 8 ft,,33,44
2,7:38.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by G. Harris),33,46
2,7:25.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by T. Young),,36,46
2,7:10.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),36,48
2,6:54.0,Turnover by T. Young (bad pass; steal by N. Jokić),,36,48
2,6:49.0,,M. Beasley misses 3-pt jump shot from 23 ft,36,48
2,6:44.0,Defensive rebound by K. Bazemore,,36,48
2,6:38.0,Shooting foul by M. Beasley (drawn by T. Young),,36,48
2,6:38.0,T. Young makes free throw 1 of 2,,37,48
2,6:38.0,M. Plumlee enters the game for A. Len,,37,48
2,6:38.0,,J. Hernangómez enters the game for M. Beasley,37,48
2,6:38.0,,P. Millsap enters the game for N. Jokić,37,48
2,6:38.0,,J. Murray enters the game for M. Morris,37,48
2,6:38.0,T. Young makes free throw 2 of 2,,38,48
2,6:24.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by T. Lyles),38,51
2,6:15.0,Personal foul by J. Murray (drawn by T. Young),,38,51
2,6:15.0,K. Huerter enters the game for D. Bembry,,38,51
2,6:15.0,J. Lin enters the game for T. Young,,38,51
2,6:07.0,Turnover by J. Lin (bad pass; steal by P. Millsap),,38,51
2,5:57.0,,P. Millsap makes 2-pt jump shot from 10 ft (assist by J. Murray),38,53
2,5:40.0,Shooting foul by P. Millsap (drawn by K. Bazemore),,38,53
2,5:40.0,K. Bazemore makes free throw 1 of 2,,39,53
2,5:40.0,K. Bazemore makes free throw 2 of 2,,40,53
2,5:25.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by T. Lyles),40,56
2,4:58.0,Turnover by J. Lin (bad pass; steal by P. Millsap),,40,56
2,4:54.0,,T. Lyles makes 2-pt layup from 2 ft (assist by P. Millsap),40,58
2,4:47.0,Personal foul by G. Harris (drawn by K. Bazemore),,40,58
2,4:47.0,K. Bazemore makes free throw 1 of 2,,41,58
2,4:47.0,,N. Jokić enters the game for T. Lyles,41,58
2,4:47.0,K. Bazemore makes free throw 2 of 2,,42,58
2,4:39.0,,Turnover by N. Jokić (traveling),42,58
2,4:30.0,K. Huerter makes 2-pt jump shot from 8 ft (assist by J. Lin),,44,58
2,4:13.0,,P. Millsap makes 2-pt layup from 3 ft (assist by N. Jokić),44,60
2,3:56.0,J. Lin makes 3-pt jump shot from 25 ft (assist by A. Poythress),,47,60
2,3:45.0,,Shooting foul by J. Lin (drawn by J. Murray),47,60
2,3:45.0,,J. Murray makes free throw 1 of 2,47,61
2,3:45.0,T. Dorsey enters the game for K. Bazemore,,47,61
2,3:45.0,,J. Murray makes free throw 2 of 2,47,62
2,3:31.0,K. Huerter misses 3-pt jump shot from 28 ft,,47,62
2,3:27.0,,Defensive rebound by G. Harris,47,62
2,3:20.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),47,64
2,3:04.0,A. Poythress misses 3-pt jump shot from 26 ft,,47,64
2,3:01.0,,Defensive rebound by J. Hernangómez,47,64
2,2:56.0,,J. Murray misses 3-pt jump shot from 26 ft,47,64
2,2:52.0,Defensive rebound by T. Dorsey,,47,64
