QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
1,0:50.0,,Y. Ferrell makes 2-pt jump shot from 12 ft,21,29
1,0:33.0,G. Hayward makes 2-pt jump shot from 6 ft (assist by A. Baynes),,23,29
1,0:15.0,,N. Bjelica makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),23,32
1,0:00.0,T. Rozier makes 3-pt jump shot from 25 ft,,26,32
2,11:41.0,,B. Bogdanović misses 2-pt jump shot from 8 ft,26,32
2,11:37.0,,Offensive rebound by H. Giles,26,32
2,11:36.0,,H. Giles misses 2-pt layup from 3 ft,26,32
2,11:35.0,,Offensive rebound by H. Giles,26,32
2,11:35.0,,H. Giles misses 2-pt layup from 3 ft,26,32
2,11:28.0,Defensive rebound by A. Horford,,26,32
2,11:26.0,Personal foul by C. Brewer (drawn by J. Brown),,26,32
2,11:17.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Hayward),,29,32
2,10:56.0,,H. Giles misses 2-pt hook shot from 8 ft,29,32
2,10:53.0,Defensive rebound by S. Ojeleye,,29,32
2,10:45.0,A. Horford misses 3-pt jump shot from 25 ft,,29,32
2,10:41.0,,Defensive rebound by B. Bogdanović,29,32
2,10:34.0,,B. Bogdanović makes 3-pt jump shot from 24 ft,29,35
2,10:18.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),,31,35
2,10:03.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by H. Giles),31,38
2,9:46.0,Offensive foul by G. Hayward (drawn by C. Brewer),,31,38
2,9:46.0,Turnover by G. Hayward (offensive foul),,31,38
2,9:46.0,,A. Burks enters the game for Y. Ferrell,31,38
2,9:29.0,,Turnover by B. Bogdanović (bad pass; steal by A. Horford),31,38
2,9:16.0,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),,34,38
2,9:00.0,,Personal foul by J. Brown (drawn by H. Giles),34,38
2,9:00.0,M. Smart enters the game for G. Hayward,,34,38
2,8:41.0,,N. Bjelica misses 3-pt jump shot from 35 ft,34,38
2,8:41.0,,Offensive rebound by Team,34,38
2,8:41.0,,Turnover by Team (shot clock),34,38
2,8:27.0,Shooting foul by B. Bogdanović (drawn by J. Tatum),,34,38
2,8:27.0,J. Tatum makes free throw 1 of 2,,35,38
2,8:27.0,J. Tatum makes free throw 2 of 2,,36,38
2,8:08.0,,H. Giles misses 2-pt layup from 3 ft,36,38
2,8:05.0,Defensive rebound by M. Smart,,36,38
2,7:52.0,A. Horford makes 2-pt jump shot from 8 ft,,38,38
2,7:51.0,,Sacramento full timeout,38,38
2,7:51.0,,W. Cauley-Stein enters the game for H. Giles,38,38
2,7:27.0,,C. Brewer misses 3-pt jump shot from 25 ft,38,38
2,7:23.0,Defensive rebound by A. Horford,,38,38
2,7:11.0,J. Tatum makes 2-pt jump shot from 22 ft (assist by M. Smart),,40,38
2,6:51.0,,Offensive foul by N. Bjelica (drawn by J. Brown),40,38
2,6:51.0,,Turnover by N. Bjelica (offensive foul),40,38
2,6:51.0,,D. Fox enters the game for B. Bogdanović,40,38
2,6:35.0,J. Tatum makes 2-pt jump shot from 15 ft,,42,38
2,6:13.0,,A. Burks misses 2-pt jump shot from 12 ft,42,38
2,6:10.0,Defensive rebound by A. Horford,,42,38
2,6:06.0,J. Tatum misses 3-pt jump shot from 26 ft,,42,38
2,6:03.0,Offensive rebound by A. Horford,,42,38
2,5:59.0,Turnover by J. Brown (traveling),,42,38
2,5:59.0,,B. Hield enters the game for A. Burks,42,38
2,5:45.0,,N. Bjelica misses 3-pt jump shot from 23 ft,42,38
2,5:41.0,Defensive rebound by J. Tatum,,42,38
2,5:34.0,S. Ojeleye misses 2-pt layup from 3 ft (block by N. Bjelica),,42,38
2,5:30.0,,Defensive rebound by B. Hield,42,38
2,5:26.0,,Shooting foul by J. Brown (drawn by W. Cauley-Stein),42,38
2,5:26.0,,W. Cauley-Stein makes free throw 1 of 2,42,39
2,5:26.0,A. Baynes enters the game for J. Brown,,42,39
2,5:26.0,M. Morris enters the game for A. Horford,,42,39
2,5:26.0,,H. Barnes enters the game for C. Brewer,42,39
2,5:26.0,,W. Cauley-Stein makes free throw 2 of 2,42,40
2,5:11.0,J. Tatum misses 2-pt layup from 3 ft,,42,40
2,5:07.0,,Defensive rebound by H. Barnes,42,40
2,5:06.0,,Turnover by H. Barnes (lost ball; steal by J. Tatum),42,40
2,5:06.0,Turnover by J. Tatum (bad pass; steal by H. Barnes),,42,40
2,4:59.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by H. Barnes),42,43
2,4:59.0,Boston full timeout,,42,43
2,4:59.0,T. Rozier enters the game for S. Ojeleye,,42,43
2,4:45.0,M. Smart misses 2-pt layup from 7 ft,,42,43
2,4:42.0,,Defensive rebound by H. Barnes,42,43
2,4:38.0,,D. Fox misses 2-pt layup from 2 ft,42,43
2,4:34.0,Defensive rebound by T. Rozier,,42,43
2,4:23.0,T. Rozier misses 2-pt jump shot from 10 ft,,42,43
2,4:20.0,,Defensive rebound by H. Barnes,42,43
2,4:14.0,,B. Hield misses 2-pt layup from 2 ft,42,43
2,4:10.0,Defensive rebound by T. Rozier,,42,43
2,3:57.0,J. Tatum misses 2-pt jump shot from 19 ft,,42,43
2,3:54.0,,Defensive rebound by H. Barnes,42,43
2,3:40.0,,Turnover by B. Hield (lost ball; steal by M. Smart),42,43
2,3:34.0,Turnover by M. Smart (bad pass; steal by N. Bjelica),,42,43
2,3:29.0,,D. Fox makes 2-pt jump shot from 18 ft,42,45
2,3:15.0,M. Morris misses 3-pt jump shot from 25 ft,,42,45
2,3:11.0,,Defensive rebound by W. Cauley-Stein,42,45
2,3:09.0,,Personal foul by M. Morris (drawn by D. Fox),42,45
2,3:09.0,G. Hayward enters the game for A. Baynes,,42,45
2,3:00.0,,B. Hield misses 2-pt jump shot from 19 ft,42,45
2,2:56.0,Defensive rebound by J. Tatum,,42,45
2,2:43.0,M. Morris misses 3-pt jump shot from 26 ft,,42,45
2,2:40.0,,Defensive rebound by H. Barnes,42,45
2,2:33.0,,W. Cauley-Stein misses 2-pt dunk from 3 ft,42,45
2,2:33.0,Defensive rebound by Team,,42,45
2,2:33.0,,B. Bogdanović enters the game for N. Bjelica,42,45
2,2:09.0,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Hayward),,45,45
2,1:50.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,45,47
2,1:47.0,,Violation by Team (delay of game),45,47
2,1:33.0,M. Morris makes 2-pt jump shot from 9 ft,,47,47
2,1:19.0,,H. Barnes misses 3-pt jump shot from 23 ft,47,47
2,1:15.0,Defensive rebound by G. Hayward,,47,47
2,1:08.0,G. Hayward makes 2-pt jump shot from 8 ft,,49,47
2,0:55.0,,B. Hield misses 3-pt jump shot from 25 ft,49,47
2,0:51.0,Defensive rebound by G. Hayward,,49,47
2,0:35.0,J. Tatum misses 3-pt jump shot from 25 ft,,49,47
2,0:32.0,,Defensive rebound by D. Fox,49,47
2,0:31.0,,B. Hield makes 2-pt dunk from 1 ft (assist by D. Fox),49,49
2,0:07.0,T. Rozier misses 3-pt jump shot from 27 ft,,49,49
2,0:03.0,,Defensive rebound by B. Bogdanović,49,49
3,11:35.0,,B. Hield misses 3-pt jump shot from 25 ft,49,49
3,11:33.0,Defensive rebound by T. Rozier,,49,49
3,11:13.0,A. Horford makes 2-pt jump shot from 14 ft (assist by J. Tatum),,51,49
3,11:01.0,,D. Fox misses 2-pt layup from 4 ft (block by A. Horford),51,49
3,11:01.0,Defensive rebound by A. Horford,,51,49
3,10:56.0,Turnover by A. Horford (bad pass; steal by B. Hield),,51,49
3,10:48.0,,B. Bogdanović misses 2-pt layup from 6 ft,51,49
3,10:48.0,Defensive rebound by M. Smart,,51,49
3,10:46.0,Personal take foul by B. Hield (drawn by M. Smart),,51,49
3,10:27.0,A. Horford makes 2-pt hook shot from 7 ft,,53,49
3,10:20.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),53,51
3,10:04.0,Shooting foul by D. Fox (drawn by M. Smart),,53,51
3,10:04.0,M. Smart makes free throw 1 of 2,,54,51
3,10:04.0,M. Smart makes free throw 2 of 2,,55,51
3,9:56.0,,D. Fox misses 2-pt jump shot from 19 ft,55,51
3,9:53.0,Defensive rebound by M. Morris,,55,51
3,9:45.0,J. Tatum misses 2-pt layup from 4 ft,,55,51
3,9:42.0,,Defensive rebound by W. Cauley-Stein,55,51
3,9:39.0,,D. Fox makes 2-pt layup from 4 ft,55,53
3,9:25.0,Personal foul by D. Fox (drawn by A. Horford),,55,53
3,9:22.0,Offensive foul by A. Horford (drawn by D. Fox),,55,53
3,9:22.0,Turnover by A. Horford (offensive foul),,55,53
3,8:58.0,,Turnover by Team (shot clock),55,53
3,8:52.0,Personal foul by B. Bogdanović (drawn by M. Morris),,55,53
3,8:38.0,M. Morris makes 2-pt layup from 5 ft,,57,53
3,8:28.0,,H. Barnes makes 2-pt layup from 2 ft,57,55
3,8:28.0,,Shooting foul by M. Morris (drawn by H. Barnes),57,55
3,8:28.0,,H. Barnes makes free throw 1 of 1,57,56
3,8:20.0,Offensive foul by M. Smart (drawn by B. Bogdanović),,57,56
3,8:20.0,Turnover by M. Smart (offensive foul),,57,56
3,8:13.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,57,56
3,8:10.0,Defensive rebound by M. Smart,,57,56
3,8:02.0,Turnover by T. Rozier (lost ball; steal by W. Cauley-Stein),,57,56
3,7:58.0,,D. Fox makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),57,58
3,7:42.0,J. Tatum misses 2-pt layup from 2 ft,,57,58
3,7:40.0,,Defensive rebound by B. Bogdanović,57,58
3,7:31.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),57,60
3,7:11.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),,60,60
3,6:55.0,,H. Barnes misses 2-pt jump shot from 18 ft,60,60
3,6:51.0,Defensive rebound by A. Horford,,60,60
3,6:43.0,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),,62,60
3,6:35.0,,Turnover by B. Hield (bad pass; steal by M. Smart),62,60
3,6:30.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Morris),,65,60
3,6:28.0,,Sacramento full timeout,65,60
3,6:28.0,J. Brown enters the game for M. Smart,,65,60
3,6:28.0,G. Hayward enters the game for J. Tatum,,65,60
3,6:11.0,,Shooting foul by A. Horford (drawn by H. Barnes),65,60
3,6:11.0,,H. Barnes makes free throw 1 of 2,65,61
3,6:11.0,,N. Bjelica enters the game for B. Bogdanović,65,61
3,6:11.0,,H. Barnes misses free throw 2 of 2,65,61
3,6:08.0,Defensive rebound by M. Morris,,65,61
3,6:00.0,Personal foul by B. Hield (drawn by J. Brown),,65,61
3,6:00.0,J. Brown misses free throw 1 of 2,,65,61
3,6:00.0,Offensive rebound by Team,,65,61
3,6:00.0,D. Theis enters the game for A. Horford,,65,61
3,6:00.0,Turnover by M. Morris (lane violation),,65,61
3,5:50.0,,Turnover by D. Fox (bad pass; steal by D. Theis),65,61
3,5:39.0,M. Morris misses 2-pt jump shot from 14 ft,,65,61
3,5:36.0,,Defensive rebound by H. Barnes,65,61
3,5:31.0,,N. Bjelica misses 3-pt jump shot from 24 ft,65,61
3,5:29.0,Defensive rebound by Team,,65,61
3,5:29.0,,H. Giles enters the game for W. Cauley-Stein,65,61
3,5:15.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,68,61
3,5:06.0,,B. Hield misses 2-pt jump shot from 15 ft,68,61
3,5:01.0,Defensive rebound by J. Brown,,68,61
3,5:00.0,Shooting foul by H. Giles (drawn by J. Brown),,68,61
3,5:00.0,J. Brown makes free throw 1 of 2,,69,61
3,5:00.0,J. Brown makes free throw 2 of 2,,70,61
3,4:48.0,,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),70,63
3,4:36.0,G. Hayward misses 3-pt jump shot from 25 ft,,70,63
3,4:32.0,Offensive rebound by D. Theis,,70,63
3,4:23.0,J. Brown misses 2-pt layup from 3 ft,,70,63
3,4:23.0,Offensive rebound by Team,,70,63
3,4:23.0,Boston full timeout,,70,63
3,4:21.0,M. Morris misses 2-pt jump shot from 19 ft (block by N. Bjelica),,70,63
3,4:21.0,Offensive rebound by Team,,70,63
3,4:21.0,Turnover by Team (shot clock),,70,63
3,4:08.0,,Shooting foul by G. Hayward (drawn by H. Barnes),70,63
3,4:08.0,,H. Barnes makes free throw 1 of 2,70,64
3,4:08.0,,H. Barnes makes free throw 2 of 2,70,65
3,3:58.0,Turnover by G. Hayward (out of bounds lost ball),,70,65
3,3:58.0,,C. Brewer enters the game for B. Hield,70,65
3,3:43.0,,H. Barnes makes 2-pt hook shot from 8 ft,70,67
3,3:22.0,M. Morris misses 2-pt jump shot from 10 ft,,70,67
3,3:19.0,,Defensive rebound by C. Brewer,70,67
3,3:17.0,,D. Fox misses 3-pt jump shot from 26 ft,70,67
3,3:17.0,,Offensive rebound by H. Giles,70,67
3,3:10.0,,Turnover by C. Brewer (bad pass; steal by T. Rozier),70,67
3,3:02.0,T. Rozier misses 3-pt jump shot from 25 ft,,70,67
3,3:00.0,,Defensive rebound by N. Bjelica,70,67
3,2:56.0,,Shooting foul by T. Rozier (drawn by D. Fox),70,67
3,2:56.0,,D. Fox misses free throw 1 of 2,70,67
3,2:56.0,,Offensive rebound by Team,70,67
3,2:56.0,A. Horford enters the game for M. Morris,,70,67
3,2:56.0,S. Ojeleye enters the game for T. Rozier,,70,67
3,2:56.0,M. Smart enters the game for D. Theis,,70,67
3,2:56.0,,D. Fox makes free throw 2 of 2,70,68
3,2:34.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by A. Horford),,72,68
3,2:28.0,,Turnover by D. Fox (bad pass),72,68
3,2:17.0,Shooting foul by H. Giles (drawn by A. Horford),,72,68
3,2:17.0,A. Horford makes free throw 1 of 2,,73,68
3,2:17.0,A. Horford makes free throw 2 of 2,,74,68
3,2:08.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),74,71
3,1:52.0,A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart),,77,71
3,1:45.0,,Shooting foul by M. Smart (drawn by D. Fox),77,71
3,1:45.0,,D. Fox misses free throw 1 of 2,77,71
3,1:45.0,,Offensive rebound by Team,77,71
3,1:45.0,,D. Fox makes free throw 2 of 2,77,72
3,1:35.0,A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart),,79,72
3,1:35.0,Shooting foul by C. Brewer (drawn by A. Horford),,79,72
3,1:35.0,A. Horford makes free throw 1 of 1,,80,72
3,1:24.0,,Turnover by D. Fox (lost ball; steal by G. Hayward),80,72
3,1:20.0,G. Hayward makes 2-pt layup from 1 ft,,82,72
3,1:02.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by N. Bjelica),82,75
3,0:38.0,J. Brown misses 2-pt jump shot from 9 ft (block by H. Giles),,82,75
3,0:35.0,,Defensive rebound by N. Bjelica,82,75
3,0:33.0,,D. Fox makes 2-pt layup from 1 ft,82,77
3,0:18.0,Shooting foul by D. Fox (drawn by G. Hayward),,82,77
3,0:18.0,G. Hayward misses free throw 1 of 2,,82,77
3,0:18.0,Offensive rebound by Team,,82,77
3,0:18.0,,B. Bogdanović enters the game for N. Bjelica,82,77
3,0:18.0,,B. Hield enters the game for C. Brewer,82,77
3,0:18.0,G. Hayward misses free throw 2 of 2,,82,77
3,0:16.0,,Defensive rebound by H. Barnes,82,77
4,11:49.0,G. Hayward makes 2-pt jump shot from 11 ft (assist by A. Horford),,84,77
4,11:30.0,,Personal foul by S. Ojeleye (drawn by H. Giles),84,77
4,11:18.0,,B. Bogdanović makes 3-pt jump shot from 28 ft,84,80
4,11:05.0,Offensive foul by G. Hayward (drawn by H. Giles),,84,80
4,11:05.0,Turnover by G. Hayward (offensive foul),,84,80
4,10:41.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,84,80
4,10:41.0,,Offensive rebound by Team,84,80
4,10:41.0,,Turnover by Team (shot clock),84,80
4,10:32.0,Personal foul by B. Bogdanović (drawn by M. Smart),,84,80
4,10:32.0,D. Theis enters the game for A. Horford,,84,80
4,10:22.0,G. Hayward misses 3-pt jump shot from 25 ft,,84,80
4,10:18.0,,Defensive rebound by B. Hield,84,80
4,10:11.0,,Shooting foul by D. Theis (drawn by H. Giles),84,80
4,10:11.0,,H. Giles misses free throw 1 of 2,84,80
4,10:11.0,,Offensive rebound by Team,84,80
4,10:11.0,J. Tatum enters the game for G. Hayward,,84,80
4,10:11.0,,H. Giles misses free throw 2 of 2,84,80
4,10:09.0,Defensive rebound by D. Theis,,84,80
4,9:46.0,Turnover by J. Tatum (lost ball; steal by Y. Ferrell),,84,80
4,9:42.0,,Turnover by Y. Ferrell (lost ball; steal by M. Smart),84,80
4,9:38.0,J. Brown makes 2-pt layup from 1 ft (assist by M. Smart),,86,80
4,9:32.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),86,83
4,9:21.0,Shooting foul by H. Giles (drawn by M. Smart),,86,83
4,9:21.0,M. Smart makes free throw 1 of 2,,87,83
4,9:21.0,M. Smart makes free throw 2 of 2,,88,83
4,9:11.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),88,86
4,9:05.0,Offensive foul by D. Theis (drawn by Y. Ferrell),,88,86
4,9:05.0,Turnover by D. Theis (offensive foul),,88,86
4,9:05.0,T. Rozier enters the game for M. Smart,,88,86
4,8:52.0,,Turnover by B. Hield (out of bounds lost ball),88,86
4,8:42.0,T. Rozier misses 3-pt jump shot from 26 ft,,88,86
4,8:38.0,,Defensive rebound by N. Bjelica,88,86
4,8:32.0,,Personal foul by D. Theis (drawn by H. Giles),88,86
4,8:32.0,M. Morris enters the game for J. Brown,,88,86
4,8:25.0,,Shooting foul by D. Theis (drawn by H. Giles),88,86
4,8:25.0,,H. Giles makes free throw 1 of 2,88,87
4,8:25.0,,H. Giles makes free throw 2 of 2,88,88
4,8:18.0,Boston full timeout,,88,88
4,8:18.0,G. Hayward enters the game for S. Ojeleye,,88,88
4,8:18.0,A. Horford enters the game for D. Theis,,88,88
4,8:12.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,91,88
4,7:53.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,91,90
4,7:33.0,Personal foul by Y. Ferrell (drawn by T. Rozier),,91,90
4,7:25.0,M. Morris misses 3-pt jump shot from 23 ft,,91,90
4,7:21.0,Offensive rebound by M. Morris,,91,90
4,7:13.0,Shooting foul by B. Bogdanović (drawn by M. Morris),,91,90
4,7:13.0,M. Morris makes free throw 1 of 2,,92,90
4,7:13.0,,H. Barnes enters the game for B. Bogdanović,92,90
4,7:13.0,,D. Fox enters the game for Y. Ferrell,92,90
4,7:13.0,M. Morris makes free throw 2 of 2,,93,90
4,6:54.0,,N. Bjelica misses 3-pt jump shot from 28 ft,93,90
4,6:51.0,Defensive rebound by M. Morris,,93,90
4,6:32.0,J. Tatum misses 2-pt jump shot from 18 ft,,93,90
4,6:28.0,,Defensive rebound by B. Hield,93,90
4,6:25.0,,B. Hield misses 3-pt jump shot from 28 ft,93,90
4,6:20.0,Defensive rebound by A. Horford,,93,90
4,6:00.0,J. Tatum misses 2-pt layup from 2 ft,,93,90
4,5:57.0,,Defensive rebound by B. Hield,93,90
4,5:52.0,,B. Hield misses 3-pt jump shot from 25 ft,93,90
4,5:48.0,Defensive rebound by A. Horford,,93,90
4,5:29.0,A. Horford makes 2-pt hook shot from 6 ft (assist by M. Morris),,95,90
4,5:14.0,,D. Fox misses 2-pt jump shot from 15 ft,95,90
4,5:10.0,Defensive rebound by T. Rozier,,95,90
4,4:58.0,T. Rozier misses 3-pt jump shot from 26 ft,,95,90
4,4:54.0,,Defensive rebound by B. Hield,95,90
4,4:47.0,,H. Giles misses 2-pt hook shot from 3 ft,95,90
4,4:43.0,,Offensive rebound by B. Hield,95,90
4,4:40.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Fox),95,93
4,4:28.0,Boston full timeout,,95,93
4,4:28.0,,W. Cauley-Stein enters the game for H. Giles,95,93
4,4:18.0,A. Horford makes 2-pt jump shot from 5 ft,,97,93
4,4:18.0,Shooting foul by B. Hield (drawn by A. Horford),,97,93
4,4:18.0,A. Horford makes free throw 1 of 1,,98,93
4,4:00.0,,H. Barnes makes 2-pt jump shot from 8 ft,98,95
4,3:44.0,M. Morris makes 2-pt layup from 2 ft (assist by A. Horford),,100,95
4,3:36.0,,Shooting foul by T. Rozier (drawn by N. Bjelica),100,95
4,3:36.0,,N. Bjelica makes free throw 1 of 2,100,96
4,3:36.0,M. Smart enters the game for T. Rozier,,100,96
4,3:36.0,,N. Bjelica makes free throw 2 of 2,100,97
4,3:14.0,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Smart),,103,97
4,3:13.0,,Sacramento full timeout,103,97
4,3:13.0,,B. Bogdanović enters the game for N. Bjelica,103,97
4,2:53.0,,H. Barnes misses 2-pt layup from 3 ft,103,97
4,2:50.0,Defensive rebound by A. Horford,,103,97
4,2:37.0,Turnover by A. Horford (bad pass; steal by W. Cauley-Stein),,103,97
4,2:31.0,,D. Fox makes 2-pt layup from 2 ft,103,99
4,2:13.0,A. Horford misses 2-pt jump shot from 17 ft,,103,99
4,2:10.0,,Defensive rebound by W. Cauley-Stein,103,99
4,1:53.0,,Turnover by W. Cauley-Stein (bad pass; steal by M. Smart),103,99
4,1:52.0,M. Smart misses 2-pt layup from 2 ft (block by B. Hield),,103,99
4,1:52.0,,Defensive rebound by Team,103,99
4,1:52.0,J. Brown enters the game for G. Hayward,,103,99
