QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
1,4:47.0,,Defensive rebound by E. Payton,12,17
1,4:43.0,,J. Randle misses 2-pt jump shot from 6 ft,12,17
1,4:38.0,Defensive rebound by P. Connaughton,,12,17
1,4:29.0,N. Mirotić misses 2-pt layup from 4 ft,,12,17
1,4:23.0,Offensive rebound by P. Connaughton,,12,17
1,4:23.0,P. Connaughton misses 2-pt layup from 1 ft,,12,17
1,4:22.0,,Defensive rebound by E. Payton,12,17
1,4:20.0,,K. Williams misses 2-pt layup from 2 ft,12,17
1,4:18.0,Defensive rebound by B. Lopez,,12,17
1,4:11.0,K. Middleton misses 2-pt layup from 2 ft,,12,17
1,4:11.0,,Defensive rebound by E. Payton,12,17
1,4:07.0,,F. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),12,19
1,4:00.0,Offensive foul by K. Middleton (drawn by K. Williams),,12,19
1,4:00.0,Turnover by K. Middleton (offensive foul),,12,19
1,4:00.0,E. İlyasova enters the game for E. Bledsoe,,12,19
1,4:00.0,T. Snell enters the game for B. Lopez,,12,19
1,4:00.0,,I. Clark enters the game for F. Jackson,12,19
1,3:52.0,,I. Clark misses 3-pt jump shot from 23 ft,12,19
1,3:49.0,Defensive rebound by N. Mirotić,,12,19
1,3:41.0,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Snell),,14,19
1,3:31.0,,K. Williams misses 3-pt jump shot from 25 ft,14,19
1,3:29.0,Defensive rebound by T. Snell,,14,19
1,3:25.0,N. Mirotić makes 2-pt layup from 2 ft (assist by K. Middleton),,16,19
1,3:10.0,,E. Payton misses 3-pt jump shot from 25 ft,16,19
1,3:08.0,,Offensive rebound by J. Randle,16,19
1,3:08.0,,Turnover by J. Randle (offensive foul),16,19
1,3:08.0,,Offensive foul by J. Randle (drawn by E. İlyasova),16,19
1,3:08.0,,J. Smith enters the game for K. Williams,16,19
1,2:58.0,N. Mirotić misses 3-pt jump shot from 26 ft,,16,19
1,2:54.0,,Defensive rebound by J. Smith,16,19
1,2:47.0,,New Orleans full timeout,16,19
1,2:47.0,M. Brogdon enters the game for K. Middleton,,16,19
1,2:37.0,,J. Smith misses 3-pt jump shot from 24 ft,16,19
1,2:32.0,Defensive rebound by M. Brogdon,,16,19
1,2:19.0,T. Snell misses 2-pt layup from 2 ft,,16,19
1,2:11.0,Offensive rebound by N. Mirotić,,16,19
1,2:11.0,N. Mirotić misses 2-pt layup from 1 ft,,16,19
1,2:09.0,,Defensive rebound by E. Payton,16,19
1,2:02.0,,J. Smith misses 3-pt jump shot from 25 ft,16,19
1,1:58.0,Defensive rebound by T. Snell,,16,19
1,1:49.0,E. İlyasova misses 3-pt jump shot from 25 ft,,16,19
1,1:47.0,,Defensive rebound by J. Randle,16,19
1,1:38.0,,I. Clark misses 3-pt jump shot from 23 ft,16,19
1,1:33.0,Defensive rebound by T. Snell,,16,19
1,1:27.0,N. Mirotić makes 2-pt layup from 1 ft (assist by T. Snell),,18,19
1,1:13.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by E. Payton),18,22
1,1:13.0,,Shooting foul by N. Mirotić (drawn by D. Miller),18,22
1,1:13.0,G. Antetokounmpo enters the game for N. Mirotić,,18,22
1,1:13.0,,A. Davis enters the game for J. Randle,18,22
1,1:13.0,,D. Miller makes free throw 1 of 1,18,23
1,1:03.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,21,23
1,0:53.0,,J. Smith misses 3-pt jump shot from 26 ft,21,23
1,0:53.0,Defensive rebound by P. Connaughton,,21,23
1,0:39.0,G. Antetokounmpo makes 2-pt jump shot from 21 ft (assist by P. Connaughton),,23,23
1,0:30.0,,A. Davis misses 2-pt jump shot from 18 ft,23,23
1,0:30.0,Defensive rebound by E. İlyasova,,23,23
1,0:09.0,Offensive foul by G. Antetokounmpo (drawn by D. Miller),,23,23
1,0:09.0,Turnover by G. Antetokounmpo (offensive foul),,23,23
1,0:00.0,,A. Davis misses 3-pt jump shot from 25 ft,23,23
1,0:00.0,,Offensive rebound by Team,23,23
2,11:50.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by M. Brogdon),,25,23
2,11:35.0,,F. Jackson makes 2-pt layup from 2 ft,25,25
2,11:25.0,Shooting foul by I. Clark (drawn by N. Mirotić),,25,25
2,11:25.0,N. Mirotić misses free throw 1 of 2,,25,25
2,11:25.0,Offensive rebound by Team,,25,25
2,11:25.0,N. Mirotić makes free throw 2 of 2,,26,25
2,11:19.0,,I. Clark misses 3-pt jump shot from 24 ft,26,25
2,11:19.0,Defensive rebound by E. İlyasova,,26,25
2,11:09.0,T. Snell makes 2-pt layup from 2 ft (assist by E. İlyasova),,28,25
2,11:00.0,,F. Jackson misses 3-pt jump shot from 26 ft,28,25
2,11:00.0,,Offensive rebound by J. Smith,28,25
2,10:56.0,,J. Smith misses 2-pt layup from 3 ft,28,25
2,10:53.0,,Offensive rebound by A. Davis,28,25
2,10:52.0,,A. Davis makes 2-pt dunk from 2 ft,28,27
2,10:33.0,P. Connaughton misses 3-pt jump shot from 27 ft,,28,27
2,10:33.0,,Defensive rebound by J. Smith,28,27
2,10:25.0,,Turnover by D. Miller (bad pass),28,27
2,10:15.0,M. Brogdon makes 2-pt layup at rim,,30,27
2,10:04.0,,I. Clark makes 2-pt jump shot from 13 ft,30,29
2,10:04.0,,Shooting foul by P. Connaughton (drawn by I. Clark),30,29
2,10:04.0,D. DiVincenzo enters the game for P. Connaughton,,30,29
2,10:04.0,,I. Clark makes free throw 1 of 1,30,30
2,9:54.0,M. Brogdon makes 3-pt jump shot from 27 ft,,33,30
2,9:38.0,,A. Davis misses 2-pt jump shot from 6 ft,33,30
2,9:31.0,,Offensive rebound by A. Davis,33,30
2,9:31.0,,A. Davis makes 2-pt layup at rim,33,32
2,9:27.0,N. Mirotić misses 3-pt jump shot from 29 ft,,33,32
2,9:24.0,,Defensive rebound by D. Miller,33,32
2,9:05.0,,D. Miller makes 3-pt jump shot from 25 ft,33,35
2,8:53.0,M. Brogdon misses 2-pt layup from 2 ft,,33,35
2,8:53.0,,Defensive rebound by A. Davis,33,35
2,8:53.0,Loose ball foul by M. Brogdon (drawn by A. Davis),,33,35
2,8:53.0,E. Bledsoe enters the game for M. Brogdon,,33,35
2,8:53.0,B. Lopez enters the game for E. İlyasova,,33,35
2,8:53.0,,K. Williams enters the game for J. Smith,33,35
2,8:39.0,,F. Jackson misses 3-pt jump shot from 23 ft,33,35
2,8:35.0,,Offensive rebound by A. Davis,33,35
2,8:25.0,,I. Clark misses 3-pt jump shot from 25 ft,33,35
2,8:22.0,Defensive rebound by D. DiVincenzo,,33,35
2,8:14.0,Personal foul by K. Williams (drawn by N. Mirotić),,33,35
2,8:14.0,K. Middleton enters the game for N. Mirotić,,33,35
2,8:14.0,,E. Payton enters the game for I. Clark,33,35
2,8:11.0,T. Snell misses 2-pt layup from 1 ft (block by A. Davis),,33,35
2,8:06.0,,Defensive rebound by D. Miller,33,35
2,8:02.0,,F. Jackson misses 2-pt jump shot from 6 ft,33,35
2,7:59.0,Defensive rebound by K. Middleton,,33,35
2,7:46.0,B. Lopez makes 2-pt layup from 1 ft (assist by K. Middleton),,35,35
2,7:31.0,,Shooting foul by D. DiVincenzo (drawn by D. Miller),35,35
2,7:31.0,,D. Miller makes free throw 1 of 3,35,36
2,7:31.0,,D. Miller makes free throw 2 of 3,35,37
2,7:31.0,,D. Miller makes free throw 3 of 3,35,38
2,7:16.0,Shooting foul by A. Davis (drawn by B. Lopez),,35,38
2,7:16.0,B. Lopez makes free throw 1 of 2,,36,38
2,7:16.0,,J. Randle enters the game for A. Davis,36,38
2,7:16.0,B. Lopez makes free throw 2 of 2,,37,38
2,7:00.0,,J. Randle misses 2-pt layup from 3 ft,37,38
2,6:57.0,Defensive rebound by K. Middleton,,37,38
2,6:56.0,E. Bledsoe makes 2-pt layup from 5 ft (assist by K. Middleton),,39,38
2,6:56.0,Shooting foul by K. Williams (drawn by E. Bledsoe),,39,38
2,6:56.0,,New Orleans full timeout,39,38
2,6:56.0,G. Antetokounmpo enters the game for T. Snell,,39,38
2,6:56.0,,S. Hill enters the game for K. Williams,39,38
2,6:56.0,E. Bledsoe makes free throw 1 of 1,,40,38
2,6:33.0,,J. Randle misses 3-pt jump shot from 25 ft,40,38
2,6:29.0,Defensive rebound by E. Bledsoe,,40,38
2,6:23.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,42,38
2,6:10.0,,F. Jackson makes 2-pt jump shot from 8 ft (assist by E. Payton),42,40
2,6:01.0,B. Lopez misses 3-pt jump shot from 27 ft,,42,40
2,6:00.0,,Defensive rebound by Team,42,40
2,5:48.0,,E. Payton misses 3-pt jump shot from 25 ft,42,40
2,5:45.0,Defensive rebound by D. DiVincenzo,,42,40
2,5:40.0,Turnover by G. Antetokounmpo (bad pass; steal by S. Hill),,42,40
2,5:35.0,,F. Jackson misses 2-pt layup from 2 ft,42,40
2,5:34.0,,Offensive rebound by J. Randle,42,40
2,5:31.0,,J. Randle makes 2-pt layup from 2 ft,42,42
2,5:16.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,45,42
2,4:59.0,,E. Payton misses 2-pt layup from 2 ft,45,42
2,4:57.0,Defensive rebound by G. Antetokounmpo,,45,42
2,4:54.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,48,42
2,4:46.0,,Offensive foul by S. Hill (drawn by D. DiVincenzo),48,42
2,4:46.0,,Turnover by S. Hill (offensive foul),48,42
2,4:30.0,Offensive foul by G. Antetokounmpo (drawn by S. Hill),,48,42
2,4:30.0,Turnover by G. Antetokounmpo (offensive foul),,48,42
2,4:13.0,,F. Jackson makes 2-pt layup from 3 ft,48,44
2,3:59.0,B. Lopez makes 2-pt dunk from 2 ft (assist by K. Middleton),,50,44
2,3:43.0,,D. Miller misses 3-pt jump shot from 25 ft,50,44
2,3:39.0,Defensive rebound by B. Lopez,,50,44
2,3:23.0,K. Middleton misses 3-pt jump shot from 24 ft,,50,44
2,3:20.0,,Defensive rebound by S. Hill,50,44
2,3:10.0,Violation by Team (kicked ball),,50,44
2,3:10.0,P. Connaughton enters the game for G. Antetokounmpo,,50,44
2,3:10.0,N. Mirotić enters the game for E. Bledsoe,,50,44
2,3:10.0,T. Snell enters the game for D. DiVincenzo,,50,44
2,3:10.0,,D. Bertāns enters the game for D. Miller,50,44
2,3:04.0,,F. Jackson misses 3-pt jump shot from 25 ft,50,44
2,3:01.0,Defensive rebound by P. Connaughton,,50,44
2,2:45.0,K. Middleton makes 2-pt jump shot from 19 ft,,52,44
2,2:26.0,,F. Jackson makes 2-pt layup from 2 ft,52,46
2,2:26.0,Milwaukee full timeout,,52,46
2,2:15.0,Offensive foul by N. Mirotić (drawn by S. Hill),,52,46
2,2:15.0,Turnover by N. Mirotić (offensive foul),,52,46
2,2:05.0,,F. Jackson misses 2-pt jump shot from 2 ft,52,46
2,2:03.0,Defensive rebound by T. Snell,,52,46
2,1:52.0,T. Snell makes 2-pt dunk from 1 ft (assist by K. Middleton),,54,46
2,1:36.0,,D. Bertāns misses 3-pt jump shot from 26 ft,54,46
2,1:34.0,Defensive rebound by P. Connaughton,,54,46
2,1:28.0,K. Middleton misses 3-pt jump shot from 25 ft,,54,46
2,1:25.0,,Defensive rebound by E. Payton,54,46
2,1:09.0,,J. Randle misses 3-pt jump shot from 25 ft,54,46
2,1:05.0,Defensive rebound by P. Connaughton,,54,46
2,0:50.0,T. Snell misses 3-pt jump shot from 26 ft,,54,46
2,0:46.0,,Defensive rebound by E. Payton,54,46
2,0:40.0,,Turnover by J. Randle (lost ball; steal by T. Snell),54,46
2,0:34.0,T. Snell misses 3-pt jump shot from 27 ft,,54,46
2,0:33.0,Offensive rebound by Team,,54,46
2,0:33.0,,Loose ball foul by F. Jackson (drawn by N. Mirotić),54,46
2,0:33.0,N. Mirotić makes free throw 1 of 2,,55,46
2,0:33.0,E. İlyasova enters the game for B. Lopez,,55,46
2,0:33.0,N. Mirotić makes free throw 2 of 2,,56,46
2,0:16.0,,E. Payton misses 2-pt layup from 3 ft (block by E. İlyasova),56,46
2,0:16.0,,Offensive rebound by J. Randle,56,46
2,0:16.0,,J. Randle makes 2-pt layup from 2 ft,56,48
2,0:00.0,N. Mirotić misses 3-pt jump shot from 27 ft,,56,48
2,0:00.0,,Defensive rebound by E. Payton,56,48
3,11:55.0,Personal foul by F. Jackson (drawn by M. Brogdon),,56,48
3,11:46.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,59,48
3,11:28.0,,E. Payton makes 3-pt jump shot from 26 ft (assist by F. Jackson),59,51
3,11:17.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by K. Middleton),,62,51
3,11:04.0,,Offensive foul by K. Williams (drawn by M. Brogdon),62,51
3,11:04.0,,Turnover by K. Williams (offensive foul),62,51
3,10:51.0,K. Middleton makes 2-pt jump shot from 10 ft,,64,51
3,10:31.0,,J. Randle misses 2-pt jump shot from 19 ft,64,51
3,10:30.0,,A. Davis makes 2-pt layup from 1 ft,64,53
3,10:30.0,,Offensive rebound by A. Davis,64,53
3,10:30.0,Loose ball foul by G. Antetokounmpo (drawn by A. Davis),,64,53
3,10:30.0,,A. Davis misses free throw 1 of 1,64,53
3,10:27.0,Defensive rebound by G. Antetokounmpo,,64,53
3,10:16.0,E. Bledsoe makes 2-pt jump shot from 15 ft,,66,53
3,10:01.0,,Shooting foul by E. Bledsoe (drawn by A. Davis),66,53
3,10:01.0,,A. Davis makes free throw 1 of 2,66,54
3,10:01.0,,A. Davis misses free throw 2 of 2,66,54
3,9:59.0,Defensive rebound by G. Antetokounmpo,,66,54
3,9:44.0,M. Brogdon makes 2-pt layup from 2 ft,,68,54
3,9:40.0,,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),68,56
3,9:29.0,E. Bledsoe misses 2-pt layup from 3 ft (block by E. Payton),,68,56
3,9:29.0,E. Bledsoe misses 2-pt layup at rim,,68,56
3,9:29.0,Offensive rebound by E. Bledsoe,,68,56
3,9:29.0,,Defensive rebound by Team,68,56
3,9:18.0,,F. Jackson makes 2-pt layup from 2 ft (assist by A. Davis),68,58
3,9:13.0,Shooting foul by E. Payton (drawn by M. Brogdon),,68,58
3,9:13.0,M. Brogdon makes free throw 1 of 2,,69,58
3,9:13.0,M. Brogdon makes free throw 2 of 2,,70,58
3,9:04.0,,Turnover by E. Payton (bad pass; steal by E. Bledsoe),70,58
3,8:52.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,73,58
3,8:32.0,,J. Randle misses 3-pt jump shot from 26 ft,73,58
3,8:29.0,Defensive rebound by E. Bledsoe,,73,58
3,8:23.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,73,58
3,8:20.0,,Defensive rebound by E. Payton,73,58
3,8:18.0,,Turnover by E. Payton (lost ball; steal by M. Brogdon),73,58
3,8:17.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by M. Brogdon),,75,58
3,8:17.0,,New Orleans full timeout,75,58
3,8:08.0,,Turnover by E. Payton (bad pass; steal by E. Bledsoe),75,58
3,8:03.0,E. Bledsoe misses 2-pt layup from 2 ft,,75,58
3,7:58.0,G. Antetokounmpo makes 2-pt dunk at rim,,77,58
3,7:58.0,Offensive rebound by G. Antetokounmpo,,77,58
3,7:43.0,,E. Payton misses 2-pt jump shot from 7 ft (block by B. Lopez),77,58
3,7:40.0,Defensive rebound by B. Lopez,,77,58
3,7:37.0,M. Brogdon makes 2-pt layup from 2 ft (assist by E. Bledsoe),,79,58
3,7:23.0,,J. Randle makes 2-pt layup from 2 ft,79,60
3,7:16.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,79,60
3,7:14.0,Offensive rebound by G. Antetokounmpo,,79,60
3,7:14.0,Shooting foul by J. Randle (drawn by G. Antetokounmpo),,79,60
3,7:14.0,G. Antetokounmpo makes free throw 1 of 2,,80,60
3,7:14.0,N. Mirotić enters the game for M. Brogdon,,80,60
3,7:14.0,,D. Miller enters the game for E. Payton,80,60
3,7:14.0,G. Antetokounmpo makes free throw 2 of 2,,81,60
3,7:05.0,,F. Jackson misses 2-pt layup from 2 ft (block by B. Lopez),81,60
3,7:04.0,,Offensive rebound by A. Davis,81,60
3,7:04.0,,A. Davis makes 2-pt layup from 1 ft,81,62
3,6:43.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by B. Lopez),,84,62
3,6:27.0,,F. Jackson misses 3-pt jump shot from 23 ft,84,62
3,6:22.0,,Offensive rebound by A. Davis,84,62
3,6:21.0,,Personal foul by E. Bledsoe (drawn by A. Davis),84,62
3,6:21.0,P. Connaughton enters the game for G. Antetokounmpo,,84,62
3,6:16.0,,A. Davis makes 3-pt jump shot from 25 ft (assist by F. Jackson),84,65
3,6:09.0,Offensive foul by E. Bledsoe (drawn by A. Davis),,84,65
3,6:09.0,Turnover by E. Bledsoe (offensive foul),,84,65
3,5:59.0,,A. Davis misses 3-pt jump shot from 26 ft,84,65
3,5:54.0,Defensive rebound by N. Mirotić,,84,65
3,5:48.0,K. Middleton misses 2-pt jump shot from 11 ft (block by A. Davis),,84,65
3,5:48.0,Offensive rebound by Team,,84,65
3,5:46.0,K. Middleton misses 2-pt jump shot from 18 ft,,84,65
3,5:43.0,,Defensive rebound by J. Randle,84,65
3,5:37.0,,A. Davis makes 2-pt layup from 2 ft (assist by J. Randle),84,67
3,5:37.0,,Shooting foul by B. Lopez (drawn by A. Davis),84,67
3,5:37.0,,A. Davis makes free throw 1 of 1,84,68
3,5:29.0,E. Bledsoe makes 2-pt layup from 2 ft,,86,68
3,5:16.0,,A. Davis makes 2-pt jump shot from 14 ft,86,70
3,5:07.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,89,70
3,4:55.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by J. Randle),89,73
3,4:45.0,Personal foul by F. Jackson (drawn by E. Bledsoe),,89,73
3,4:45.0,,C. Diallo enters the game for J. Randle,89,73
3,4:45.0,Milwaukee full timeout,,89,73
3,4:45.0,,I. Clark enters the game for F. Jackson,89,73
3,4:38.0,N. Mirotić misses 3-pt jump shot from 26 ft,,89,73
3,4:33.0,,Defensive rebound by K. Williams,89,73
3,4:20.0,,A. Davis misses 3-pt jump shot from 26 ft,89,73
3,4:18.0,,Offensive rebound by K. Williams,89,73
3,4:16.0,,K. Williams makes 2-pt layup from 2 ft,89,75
3,4:10.0,K. Middleton makes 2-pt layup from 2 ft,,91,75
3,4:10.0,Shooting foul by D. Miller (drawn by K. Middleton),,91,75
3,4:10.0,E. İlyasova enters the game for E. Bledsoe,,91,75
3,4:10.0,T. Snell enters the game for B. Lopez,,91,75
3,4:10.0,K. Middleton makes free throw 1 of 1,,92,75
3,3:55.0,,A. Davis makes 2-pt dunk from 1 ft (assist by D. Miller),92,77
3,3:36.0,K. Middleton makes 2-pt jump shot from 7 ft,,94,77
3,3:24.0,,K. Williams misses 3-pt jump shot from 25 ft,94,77
3,3:21.0,Defensive rebound by P. Connaughton,,94,77
3,3:15.0,K. Middleton misses 3-pt jump shot from 26 ft,,94,77
3,3:14.0,Offensive rebound by Team,,94,77
3,3:14.0,M. Brogdon enters the game for K. Middleton,,94,77
3,3:14.0,,J. Randle enters the game for A. Davis,94,77
3,3:09.0,P. Connaughton makes 2-pt layup from 2 ft (assist by N. Mirotić),,96,77
3,2:56.0,,C. Diallo makes 2-pt jump shot from 9 ft (assist by D. Miller),96,79
3,2:45.0,Turnover by M. Brogdon (bad pass; steal by J. Randle),,96,79
3,2:41.0,,J. Randle makes 2-pt dunk from 1 ft,96,81
3,2:21.0,M. Brogdon makes 2-pt layup from 2 ft,,98,81
3,2:09.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by I. Clark),98,83
3,1:59.0,M. Brogdon misses 3-pt jump shot from 25 ft,,98,83
3,1:54.0,,Defensive rebound by C. Diallo,98,83
3,1:50.0,,Shooting foul by M. Brogdon (drawn by I. Clark),98,83
3,1:50.0,,I. Clark misses free throw 1 of 2,98,83
3,1:50.0,,Offensive rebound by Team,98,83
3,1:50.0,,E. Payton enters the game for K. Williams,98,83
3,1:50.0,,I. Clark makes free throw 2 of 2,98,84
3,1:36.0,Shooting foul by I. Clark (drawn by E. İlyasova),,98,84
3,1:36.0,E. İlyasova misses free throw 1 of 2,,98,84
3,1:36.0,Offensive rebound by Team,,98,84
3,1:36.0,G. Antetokounmpo enters the game for N. Mirotić,,98,84
3,1:36.0,E. İlyasova makes free throw 2 of 2,,99,84
3,1:22.0,,I. Clark misses 2-pt jump shot from 8 ft,99,84
3,1:20.0,Defensive rebound by P. Connaughton,,99,84
3,1:10.0,M. Brogdon makes 2-pt layup from 2 ft,,101,84
3,1:02.0,,C. Diallo makes 2-pt layup from 3 ft (assist by E. Payton),101,86
3,1:02.0,,Shooting foul by E. İlyasova (drawn by C. Diallo),101,86
3,1:02.0,,C. Diallo makes free throw 1 of 1,101,87
3,0:36.0,P. Connaughton misses 2-pt jump shot from 6 ft,,101,87
3,0:36.0,,Defensive rebound by E. Payton,101,87
3,0:24.0,,C. Diallo makes 2-pt jump shot from 18 ft (assist by I. Clark),101,89
3,0:03.0,M. Brogdon misses 3-pt jump shot from 25 ft,,101,89
3,0:03.0,,Defensive rebound by C. Diallo,101,89
4,11:39.0,,Turnover by J. Randle (lost ball; steal by M. Brogdon),101,89
4,11:33.0,T. Snell makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,103,89
4,11:27.0,,New Orleans full timeout,103,89
4,11:11.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),103,91
4,10:53.0,P. Connaughton misses 3-pt jump shot from 25 ft,,103,91
4,10:53.0,,Defensive rebound by Team,103,91
4,10:42.0,,C. Diallo makes 2-pt dunk from 1 ft (assist by E. Payton),103,93
4,10:25.0,Turnover by M. Brogdon (bad pass; steal by E. Payton),,103,93
4,10:20.0,,E. Payton makes 2-pt jump shot from 6 ft,103,95
4,10:20.0,Milwaukee full timeout,,103,95
4,10:20.0,E. Bledsoe enters the game for M. Brogdon,,103,95
4,10:20.0,D. DiVincenzo enters the game for P. Connaughton,,103,95
4,10:20.0,B. Lopez enters the game for E. İlyasova,,103,95
4,10:00.0,G. Antetokounmpo makes 2-pt jump shot from 10 ft,,105,95
4,9:42.0,,C. Diallo misses 2-pt jump shot from 8 ft,105,95
4,9:39.0,Defensive rebound by G. Antetokounmpo,,105,95
4,9:33.0,B. Lopez misses 3-pt jump shot from 27 ft,,105,95
4,9:29.0,,Defensive rebound by I. Clark,105,95
