QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
2,8:07.0,D. McDermott misses technical free throw,,29,24
2,8:07.0,Offensive rebound by Team,,29,24
2,7:54.0,T. Evans misses 2-pt jump shot from 20 ft,,29,24
2,7:52.0,,Defensive rebound by A. Horford,29,24
2,7:47.0,,Shooting foul by C. Joseph (drawn by T. Rozier),29,24
2,7:47.0,,T. Rozier misses free throw 1 of 2,29,24
2,7:47.0,,Offensive rebound by Team,29,24
2,7:47.0,B. Bogdanović enters the game for D. McDermott,,29,24
2,7:47.0,,T. Rozier makes free throw 2 of 2,29,25
2,7:24.0,T. Evans misses 2-pt layup from 4 ft,,29,25
2,7:24.0,,Defensive rebound by A. Horford,29,25
2,7:21.0,,Turnover by A. Horford (bad pass; steal by T. Young),29,25
2,7:17.0,T. Evans makes 2-pt layup from 2 ft (assist by T. Young),,31,25
2,7:11.0,,K. Irving misses 2-pt jump shot from 21 ft,31,25
2,7:09.0,,Offensive rebound by D. Theis,31,25
2,7:07.0,,D. Theis misses 2-pt layup from 1 ft,31,25
2,7:07.0,,Offensive rebound by Team,31,25
2,7:07.0,,Turnover by (5 sec),31,25
2,6:46.0,C. Joseph misses 3-pt jump shot from 26 ft,,31,25
2,6:43.0,,Defensive rebound by D. Theis,31,25
2,6:32.0,,K. Irving misses 2-pt jump shot from 8 ft,31,25
2,6:31.0,Defensive rebound by T. Young,,31,25
2,6:28.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,33,25
2,6:28.0,Shooting foul by T. Rozier (drawn by B. Bogdanović),,33,25
2,6:28.0,D. Collison enters the game for T. Evans,,33,25
2,6:28.0,W. Matthews enters the game for C. Joseph,,33,25
2,6:28.0,,G. Hayward enters the game for J. Brown,33,25
2,6:28.0,,M. Morris enters the game for T. Rozier,33,25
2,6:28.0,,J. Tatum enters the game for D. Theis,33,25
2,6:28.0,B. Bogdanović makes free throw 1 of 1,,34,25
2,6:15.0,,Turnover by J. Tatum (lost ball; steal by T. Young),34,25
2,6:08.0,D. Collison makes 2-pt layup from 1 ft (assist by T. Young),,36,25
2,5:45.0,,K. Irving misses 2-pt jump shot from 11 ft,36,25
2,5:43.0,Defensive rebound by D. Sabonis,,36,25
2,5:26.0,W. Matthews misses 3-pt jump shot from 28 ft,,36,25
2,5:24.0,,Defensive rebound by G. Hayward,36,25
2,5:21.0,,A. Horford misses 2-pt dunk from 1 ft (block by T. Young),36,25
2,5:20.0,,Offensive rebound by Team,36,25
2,5:15.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by G. Hayward),36,28
2,4:53.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),,38,28
2,4:40.0,,Personal foul by D. Sabonis (drawn by A. Horford),38,28
2,4:29.0,,M. Morris misses 2-pt jump shot from 17 ft,38,28
2,4:26.0,Defensive rebound by T. Young,,38,28
2,4:13.0,W. Matthews misses 3-pt jump shot from 25 ft,,38,28
2,4:12.0,Offensive rebound by T. Young,,38,28
2,4:11.0,T. Young misses 2-pt layup from 1 ft (block by J. Tatum),,38,28
2,4:09.0,,Defensive rebound by G. Hayward,38,28
2,4:07.0,,Personal foul by T. Young (drawn by G. Hayward),38,28
2,4:07.0,M. Turner enters the game for T. Young,,38,28
2,4:01.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by G. Hayward),38,31
2,3:51.0,Indiana full timeout,,38,31
2,3:36.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,38,31
2,3:34.0,,Defensive rebound by A. Horford,38,31
2,3:30.0,,K. Irving misses 3-pt jump shot from 26 ft,38,31
2,3:28.0,,Offensive rebound by Team,38,31
2,3:16.0,,Shooting foul by D. Collison (drawn by M. Morris),38,31
2,3:16.0,,M. Morris makes free throw 1 of 2,38,32
2,3:16.0,C. Joseph enters the game for D. Collison,,38,32
2,3:16.0,,M. Morris makes free throw 2 of 2,38,33
2,3:06.0,M. Turner misses 2-pt jump shot from 18 ft,,38,33
2,3:05.0,Offensive rebound by C. Joseph,,38,33
2,3:04.0,C. Joseph makes 2-pt layup from 2 ft,,40,33
