QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
1,1:43.0,Defensive rebound by A. McKinnie,,28,25
1,1:40.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by D. Green),,30,25
1,1:27.0,,A. Wiggins makes 2-pt layup from 1 ft,30,27
1,1:12.0,A. McKinnie misses 3-pt jump shot from 23 ft,,30,27
1,1:09.0,,Defensive rebound by K. Bates-Diop,30,27
1,0:59.0,,Turnover by T. Jones (bad pass; steal by D. Green),30,27
1,0:49.0,S. Curry misses 2-pt layup from 9 ft,,30,27
1,0:47.0,Offensive rebound by K. Looney,,30,27
1,0:47.0,K. Looney misses 2-pt layup from 1 ft,,30,27
1,0:47.0,Offensive rebound by Team,,30,27
1,0:47.0,,J. Bayless enters the game for T. Jones,30,27
1,0:41.0,S. Curry misses 3-pt jump shot from 25 ft,,30,27
1,0:39.0,,Defensive rebound by A. Wiggins,30,27
1,0:30.0,,K. Bates-Diop misses 3-pt jump shot from 23 ft,30,27
1,0:28.0,Defensive rebound by D. Green,,30,27
1,0:14.0,S. Curry misses 3-pt jump shot from 24 ft,,30,27
1,0:10.0,,Defensive rebound by A. Wiggins,30,27
1,0:02.0,,Personal take foul by A. Iguodala (drawn by A. Wiggins),30,27
1,0:02.0,,K. Towns enters the game for T. Gibson,30,27
1,0:00.0,,K. Bates-Diop misses 2-pt jump shot from 19 ft,30,27
1,0:00.0,,Offensive rebound by Team,30,27
2,11:39.0,,T. Gibson misses 2-pt hook shot from 5 ft,30,27
2,11:37.0,Defensive rebound by J. Jerebko,,30,27
2,11:14.0,K. Durant makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,33,27
2,10:52.0,,Turnover by J. Bayless (bad pass; steal by A. Iguodala),33,27
2,10:49.0,Shooting foul by C. Reynolds (drawn by J. Jerebko),,33,27
2,10:49.0,J. Jerebko makes free throw 1 of 2,,34,27
2,10:49.0,,K. Towns enters the game for T. Gibson,34,27
2,10:49.0,J. Jerebko makes free throw 2 of 2,,35,27
2,10:42.0,,A. Tolliver misses 3-pt jump shot from 25 ft,35,27
2,10:39.0,Defensive rebound by K. Thompson,,35,27
2,10:30.0,K. Thompson misses 3-pt jump shot from 25 ft,,35,27
2,10:26.0,,Defensive rebound by A. Tolliver,35,27
2,10:10.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by K. Towns),35,30
2,9:48.0,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),,37,30
2,9:29.0,,Turnover by K. Towns (bad pass; steal by K. Thompson),37,30
2,9:25.0,Turnover by K. Durant (lost ball; steal by K. Bates-Diop),,37,30
2,9:22.0,,K. Towns misses 2-pt layup from 2 ft (block by K. Thompson),37,30
2,9:22.0,,Offensive rebound by Team,37,30
2,9:11.0,,Shooting foul by K. Thompson (drawn by K. Towns),37,30
2,9:11.0,,K. Towns makes free throw 1 of 2,37,31
2,9:11.0,,K. Towns makes free throw 2 of 2,37,32
2,8:54.0,K. Thompson misses 3-pt jump shot from 25 ft,,37,32
2,8:51.0,,Defensive rebound by K. Bates-Diop,37,32
2,8:41.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Bayless),37,35
2,8:27.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by K. Durant),,40,35
2,8:08.0,,C. Reynolds misses 3-pt jump shot from 25 ft,40,35
2,8:03.0,Defensive rebound by K. Durant,,40,35
2,7:57.0,Q. Cook makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,43,35
2,7:55.0,,Minnesota full timeout,43,35
2,7:55.0,K. Looney enters the game for A. Iguodala,,43,35
2,7:55.0,,J. Okogie enters the game for K. Bates-Diop,43,35
2,7:55.0,,A. Wiggins enters the game for C. Reynolds,43,35
2,7:37.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by A. Tolliver),43,37
2,7:22.0,J. Jerebko misses 2-pt jump shot from 14 ft,,43,37
2,7:19.0,,Defensive rebound by A. Wiggins,43,37
2,7:10.0,,J. Bayless makes 2-pt jump shot from 20 ft (assist by K. Towns),43,39
2,6:59.0,Q. Cook misses 3-pt jump shot from 26 ft,,43,39
2,6:54.0,,Defensive rebound by K. Towns,43,39
2,6:46.0,,A. Wiggins misses 2-pt jump shot from 11 ft,43,39
2,6:42.0,Defensive rebound by K. Looney,,43,39
2,6:24.0,J. Jerebko makes 3-pt jump shot from 22 ft (assist by K. Thompson),,46,39
2,6:08.0,,Personal foul by K. Looney (drawn by K. Towns),46,39
2,6:08.0,,D. Šarić enters the game for A. Tolliver,46,39
2,5:54.0,,D. Šarić misses 2-pt jump shot from 14 ft,46,39
2,5:51.0,Defensive rebound by K. Thompson,,46,39
2,5:41.0,K. Thompson misses 3-pt jump shot from 25 ft,,46,39
2,5:37.0,,Defensive rebound by K. Towns,46,39
2,5:30.0,,Shooting foul by K. Looney (drawn by K. Towns),46,39
2,5:30.0,,K. Towns makes free throw 1 of 2,46,40
2,5:30.0,S. Curry enters the game for Q. Cook,,46,40
2,5:30.0,D. Green enters the game for K. Looney,,46,40
2,5:30.0,A. McKinnie enters the game for K. Thompson,,46,40
2,5:30.0,,T. Jones enters the game for J. Bayless,46,40
2,5:30.0,,K. Towns makes free throw 2 of 2,46,41
2,5:14.0,J. Jerebko misses 2-pt jump shot from 21 ft,,46,41
2,5:11.0,,Defensive rebound by K. Towns,46,41
2,5:04.0,,K. Towns misses 3-pt jump shot from 26 ft,46,41
2,5:01.0,Defensive rebound by J. Jerebko,,46,41
2,4:56.0,J. Jerebko makes 2-pt hook shot from 6 ft (assist by D. Green),,48,41
2,4:56.0,Shooting foul by D. Šarić (drawn by J. Jerebko),,48,41
2,4:56.0,J. Jerebko makes free throw 1 of 1,,49,41
2,4:39.0,,Turnover by A. Wiggins (off goaltending),49,41
2,4:24.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by K. Durant),,52,41
2,4:10.0,,Personal foul by S. Curry (drawn by T. Jones),52,41
2,4:01.0,,J. Okogie misses 3-pt jump shot from 26 ft,52,41
2,3:58.0,,Offensive rebound by D. Šarić,52,41
2,3:51.0,,Shooting foul by A. McKinnie (drawn by D. Šarić),52,41
2,3:51.0,,D. Šarić makes free throw 1 of 2,52,42
2,3:51.0,,T. Gibson enters the game for K. Towns,52,42
2,3:51.0,,D. Šarić misses free throw 2 of 2,52,42
2,3:49.0,Defensive rebound by A. McKinnie,,52,42
2,3:41.0,S. Curry makes 2-pt layup from 2 ft,,54,42
2,3:31.0,,T. Jones misses 2-pt layup from 5 ft (block by A. McKinnie),54,42
2,3:28.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),54,44
2,3:28.0,,Offensive rebound by T. Jones,54,44
2,3:21.0,K. Durant misses 3-pt jump shot from 25 ft,,54,44
2,3:17.0,,Defensive rebound by J. Okogie,54,44
2,3:04.0,,D. Šarić misses 2-pt layup from 2 ft (block by A. McKinnie),54,44
2,3:04.0,,Offensive rebound by D. Šarić,54,44
2,3:04.0,,Shooting foul by J. Jerebko (drawn by J. Okogie),54,44
2,3:04.0,,J. Okogie makes free throw 1 of 2,54,45
2,3:04.0,Golden State full timeout,,54,45
2,3:04.0,A. Iguodala enters the game for J. Jerebko,,54,45
2,3:04.0,K. Thompson enters the game for A. McKinnie,,54,45
2,3:04.0,,J. Okogie misses free throw 2 of 2,54,45
2,3:02.0,Defensive rebound by D. Green,,54,45
2,2:41.0,K. Thompson misses 2-pt jump shot from 20 ft,,54,45
2,2:38.0,,Defensive rebound by T. Jones,54,45
2,2:16.0,,A. Wiggins misses 2-pt jump shot from 21 ft,54,45
2,2:13.0,Defensive rebound by S. Curry,,54,45
2,1:59.0,S. Curry makes 3-pt jump shot from 25 ft,,57,45
2,1:51.0,,Turnover by T. Jones (bad pass; steal by S. Curry),57,45
2,1:48.0,S. Curry misses 3-pt jump shot from 28 ft,,57,45
2,1:46.0,,Defensive rebound by A. Wiggins,57,45
2,1:36.0,,T. Jones misses 2-pt jump shot from 6 ft,57,45
2,1:34.0,Defensive rebound by D. Green,,57,45
2,1:26.0,D. Green misses 2-pt jump shot from 8 ft,,57,45
2,1:24.0,,Defensive rebound by T. Gibson,57,45
2,1:19.0,,A. Wiggins makes 2-pt layup from 3 ft (assist by T. Jones),57,47
2,1:01.0,K. Thompson misses 2-pt layup from 2 ft,,57,47
2,1:01.0,,Defensive rebound by D. Šarić,57,47
2,0:53.0,,Turnover by D. Šarić (bad pass),57,47
2,0:53.0,,K. Towns enters the game for T. Gibson,57,47
2,0:34.0,D. Green makes 2-pt dunk at rim (assist by A. Iguodala),,59,47
2,0:13.0,,T. Jones misses 3-pt jump shot from 24 ft,59,47
2,0:08.0,Defensive rebound by A. Iguodala,,59,47
2,0:03.0,Personal take foul by K. Towns (drawn by S. Curry),,59,47
2,0:03.0,,K. Bates-Diop enters the game for D. Šarić,59,47
2,0:00.0,S. Curry misses 3-pt jump shot from 25 ft,,59,47
2,0:00.0,Offensive rebound by Team,,59,47
3,11:45.0,,K. Towns makes 2-pt layup from 5 ft,59,49
3,11:45.0,,Shooting foul by A. Bogut (drawn by K. Towns),59,49
3,11:45.0,,K. Towns misses free throw 1 of 1,59,49
3,11:43.0,Defensive rebound by D. Green,,59,49
3,11:25.0,K. Thompson misses 3-pt jump shot from 22 ft,,59,49
3,11:22.0,,Defensive rebound by K. Towns,59,49
3,11:19.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),59,51
3,11:09.0,K. Thompson misses 2-pt layup from 1 ft,,59,51
3,11:09.0,,Defensive rebound by Team,59,51
3,10:59.0,,Turnover by K. Towns (bad pass; steal by K. Durant),59,51
3,10:49.0,Turnover by K. Thompson (step out of bounds),,59,51
3,10:35.0,,K. Towns makes 2-pt jump shot from 6 ft,59,53
3,10:24.0,K. Durant misses 3-pt jump shot from 25 ft,,59,53
3,10:21.0,,Defensive rebound by J. Okogie,59,53
3,10:04.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by D. Šarić),59,56
3,10:03.0,Golden State full timeout,,59,56
3,9:51.0,Personal foul by A. Wiggins (drawn by A. Bogut),,59,56
3,9:47.0,K. Durant misses 2-pt jump shot from 15 ft,,59,56
3,9:43.0,,Defensive rebound by K. Towns,59,56
3,9:40.0,,Shooting foul by D. Green (drawn by D. Šarić),59,56
3,9:40.0,,D. Šarić makes free throw 1 of 2,59,57
3,9:40.0,,D. Šarić makes free throw 2 of 2,59,58
3,9:32.0,K. Durant misses 3-pt jump shot from 22 ft,,59,58
3,9:29.0,,Defensive rebound by T. Jones,59,58
3,9:16.0,,J. Okogie misses 3-pt jump shot from 26 ft,59,58
3,9:12.0,Defensive rebound by A. Bogut,,59,58
3,9:07.0,Offensive foul by A. Bogut (drawn by J. Okogie),,59,58
3,9:07.0,Turnover by A. Bogut (offensive foul),,59,58
3,8:49.0,,Turnover by K. Towns (bad pass),59,58
3,8:44.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),,61,58
3,8:37.0,,Minnesota full timeout,61,58
3,8:19.0,,J. Okogie makes 3-pt jump shot from 23 ft (assist by D. Šarić),61,61
3,8:00.0,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Bogut),,64,61
3,7:50.0,,Offensive foul by K. Towns (drawn by D. Green),64,61
3,7:50.0,,Turnover by K. Towns (offensive foul),64,61
3,7:32.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,66,61
3,7:20.0,,A. Wiggins misses 3-pt jump shot from 25 ft,66,61
3,7:16.0,Defensive rebound by A. Bogut,,66,61
3,7:11.0,K. Thompson makes 2-pt layup at rim (assist by D. Green),,68,61
3,6:53.0,,Shooting foul by D. Green (drawn by J. Okogie),68,61
3,6:53.0,,Offensive rebound by Team,68,61
3,6:53.0,,J. Okogie misses free throw 1 of 2,68,61
3,6:53.0,,J. Okogie makes free throw 2 of 2,68,62
3,6:46.0,S. Curry makes 2-pt jump shot from 16 ft (assist by K. Durant),,70,62
3,6:34.0,,K. Towns misses 2-pt layup from 1 ft,70,62
3,6:31.0,Defensive rebound by D. Green,,70,62
3,6:26.0,Shooting foul by J. Okogie (drawn by S. Curry),,70,62
3,6:26.0,S. Curry makes free throw 1 of 2,,71,62
3,6:26.0,S. Curry misses free throw 2 of 2,,71,62
3,6:21.0,Offensive rebound by A. Bogut,,71,62
3,6:21.0,A. Bogut misses 2-pt layup at rim,,71,62
3,6:19.0,Offensive rebound by A. Bogut,,71,62
3,6:19.0,A. Bogut misses 2-pt layup at rim,,71,62
3,6:18.0,,Defensive rebound by A. Wiggins,71,62
3,6:14.0,,A. Wiggins misses 2-pt jump shot from 5 ft,71,62
3,6:13.0,Defensive rebound by Team,,71,62
3,6:13.0,,Loose ball foul by K. Towns (drawn by D. Green),71,62
3,5:51.0,K. Thompson makes 2-pt dunk from 1 ft (assist by A. Bogut),,73,62
3,5:40.0,,Personal foul by A. Bogut (drawn by K. Towns),73,62
3,5:40.0,A. Iguodala enters the game for K. Durant,,73,62
3,5:40.0,,K. Bates-Diop enters the game for A. Wiggins,73,62
3,5:34.0,,D. Šarić misses 2-pt jump shot from 20 ft,73,62
3,5:31.0,,Offensive rebound by K. Towns,73,62
3,5:29.0,,D. Šarić misses 3-pt jump shot from 24 ft,73,62
3,5:26.0,Defensive rebound by A. Iguodala,,73,62
3,5:18.0,K. Thompson misses 3-pt jump shot from 23 ft,,73,62
3,5:15.0,,Defensive rebound by D. Šarić,73,62
3,5:10.0,,T. Jones misses 2-pt layup from 2 ft,73,62
3,5:08.0,Defensive rebound by A. Bogut,,73,62
3,5:01.0,D. Green makes 2-pt layup from 2 ft (assist by K. Thompson),,75,62
3,4:52.0,,Minnesota full timeout,75,62
3,4:52.0,K. Looney enters the game for A. Bogut,,75,62
3,4:52.0,,J. Bayless enters the game for J. Okogie,75,62
3,4:52.0,,A. Tolliver enters the game for D. Šarić,75,62
3,4:43.0,,K. Bates-Diop misses 3-pt jump shot from 23 ft,75,62
3,4:41.0,,Offensive rebound by K. Towns,75,62
3,4:34.0,,A. Tolliver misses 3-pt jump shot from 28 ft,75,62
3,4:31.0,,Offensive rebound by K. Towns,75,62
3,4:31.0,,Shooting foul by K. Looney (drawn by A. Tolliver),75,62
3,4:31.0,,A. Tolliver makes free throw 1 of 2,75,63
3,4:31.0,,A. Tolliver makes free throw 2 of 2,75,64
3,4:08.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,77,64
3,3:55.0,,Turnover by K. Towns (bad pass),77,64
3,3:50.0,Turnover by D. Green (bad pass),,77,64
3,3:27.0,,K. Towns makes 2-pt hook shot from 6 ft,77,66
3,3:27.0,,Shooting foul by A. Iguodala (drawn by K. Towns),77,66
3,3:27.0,,K. Towns misses free throw 1 of 1,77,66
3,3:25.0,Defensive rebound by D. Green,,77,66
3,3:16.0,K. Thompson misses 2-pt jump shot from 14 ft,,77,66
3,3:13.0,,Defensive rebound by K. Bates-Diop,77,66
3,3:05.0,,Shooting foul by A. Iguodala (drawn by A. Tolliver),77,66
3,3:05.0,,A. Tolliver makes free throw 1 of 2,77,67
3,3:05.0,A. McKinnie enters the game for K. Thompson,,77,67
3,3:05.0,,A. Wiggins enters the game for T. Jones,77,67
3,3:05.0,,A. Tolliver makes free throw 2 of 2,77,68
3,2:53.0,A. McKinnie misses 3-pt jump shot from 22 ft,,77,68
3,2:48.0,,Defensive rebound by K. Towns,77,68
3,2:42.0,,J. Bayless misses 3-pt jump shot from 26 ft,77,68
3,2:39.0,Defensive rebound by A. Iguodala,,77,68
3,2:35.0,A. McKinnie misses 2-pt layup from 3 ft,,77,68
3,2:31.0,Offensive rebound by A. Iguodala,,77,68
3,2:31.0,A. Iguodala misses 2-pt layup from 3 ft,,77,68
3,2:29.0,Offensive rebound by A. Iguodala,,77,68
3,2:27.0,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,80,68
3,2:10.0,,A. Wiggins makes 2-pt jump shot from 18 ft,80,70
3,1:56.0,S. Curry makes 3-pt jump shot from 25 ft,,83,70
3,1:36.0,,J. Bayless makes 3-pt jump shot from 23 ft (assist by A. Wiggins),83,73
3,1:23.0,S. Curry misses 3-pt jump shot from 29 ft,,83,73
3,1:21.0,,Defensive rebound by K. Bates-Diop,83,73
3,1:14.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,83,73
3,1:12.0,Defensive rebound by A. Iguodala,,83,73
3,0:59.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,85,73
3,0:46.0,,A. Tolliver misses 3-pt jump shot from 25 ft,85,73
3,0:43.0,Defensive rebound by A. McKinnie,,85,73
3,0:37.0,Shooting foul by J. Bayless (drawn by S. Curry),,85,73
3,0:37.0,S. Curry makes free throw 1 of 3,,86,73
3,0:37.0,S. Curry makes free throw 2 of 3,,87,73
3,0:37.0,J. Bell enters the game for K. Looney,,87,73
3,0:37.0,,G. Dieng enters the game for K. Towns,87,73
3,0:37.0,S. Curry makes free throw 3 of 3,,88,73
3,0:20.0,,J. Bayless makes 2-pt jump shot from 21 ft,88,75
3,0:05.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,91,75
3,0:01.0,,J. Bayless misses 3-pt jump shot from 26 ft,91,75
3,0:01.0,Defensive rebound by A. McKinnie,,91,75
4,11:48.0,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),,93,75
4,11:33.0,,A. Wiggins makes 2-pt jump shot from 18 ft (assist by A. Tolliver),93,77
4,11:12.0,J. Jerebko makes 2-pt jump shot from 20 ft (assist by K. Durant),,95,77
4,10:51.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by A. Wiggins),95,79
4,10:25.0,K. Durant makes 3-pt jump shot from 25 ft (assist by Q. Cook),,98,79
4,10:09.0,,A. Wiggins makes 2-pt jump shot from 22 ft (assist by A. Tolliver),98,81
4,9:54.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,101,81
4,9:46.0,,Minnesota full timeout,101,81
4,9:34.0,,A. Wiggins misses 3-pt jump shot from 22 ft,101,81
4,9:33.0,,Offensive rebound by Team,101,81
4,9:33.0,Loose ball foul by J. Jerebko (drawn by G. Dieng),,101,81
4,9:25.0,,C. Reynolds misses 2-pt jump shot from 17 ft,101,81
4,9:22.0,Defensive rebound by Q. Cook,,101,81
4,9:10.0,K. Thompson misses 3-pt jump shot from 25 ft,,101,81
4,9:07.0,,Defensive rebound by A. Tolliver,101,81
4,9:00.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by J. Bayless),101,84
4,8:41.0,J. Jerebko misses 3-pt jump shot from 26 ft,,101,84
4,8:38.0,,Defensive rebound by A. Tolliver,101,84
4,8:28.0,,J. Bayless misses 2-pt layup from 2 ft,101,84
4,8:26.0,Defensive rebound by J. Jerebko,,101,84
4,8:16.0,Q. Cook makes 2-pt jump shot from 15 ft,,103,84
4,8:00.0,,A. Wiggins makes 2-pt jump shot from 8 ft,103,86
4,7:48.0,Personal foul by C. Reynolds (drawn by K. Thompson),,103,86
4,7:48.0,A. McKinnie enters the game for A. Iguodala,,103,86
4,7:48.0,,T. Jones enters the game for J. Bayless,103,86
4,7:48.0,,J. Okogie enters the game for G. Dieng,103,86
4,7:48.0,,D. Šarić enters the game for C. Reynolds,103,86
4,7:48.0,,K. Towns enters the game for A. Tolliver,103,86
4,7:39.0,J. Jerebko misses 2-pt layup from 2 ft,,103,86
4,7:38.0,,Defensive rebound by K. Towns,103,86
4,7:27.0,,Shooting foul by A. McKinnie (drawn by D. Šarić),103,86
4,7:27.0,,D. Šarić makes free throw 1 of 2,103,87
4,7:27.0,,D. Šarić makes free throw 2 of 2,103,88
4,7:15.0,Q. Cook misses 2-pt jump shot from 20 ft,,103,88
4,7:11.0,,Defensive rebound by K. Towns,103,88
4,7:04.0,,Offensive foul by K. Towns (drawn by J. Jerebko),103,88
4,7:04.0,,Turnover by K. Towns (offensive foul),103,88
4,6:47.0,Q. Cook misses 3-pt jump shot from 25 ft,,103,88
4,6:45.0,Offensive rebound by A. McKinnie,,103,88
4,6:42.0,Turnover by K. Durant (bad pass; steal by J. Okogie),,103,88
4,6:37.0,,T. Jones misses 3-pt jump shot from 25 ft,103,88
4,6:33.0,Defensive rebound by J. Jerebko,,103,88
4,6:25.0,K. Durant makes 3-pt jump shot from 26 ft (assist by K. Thompson),,106,88
4,6:07.0,,Shooting foul by A. McKinnie (drawn by A. Wiggins),106,88
4,6:07.0,,A. Wiggins makes free throw 1 of 2,106,89
4,6:07.0,Golden State full timeout,,106,89
4,6:07.0,,A. Wiggins makes free throw 2 of 2,106,90
4,5:53.0,A. McKinnie misses 2-pt layup from 3 ft,,106,90
4,5:49.0,Offensive rebound by A. McKinnie,,106,90
4,5:49.0,A. McKinnie misses 2-pt layup at rim,,106,90
4,5:48.0,,Defensive rebound by K. Towns,106,90
4,5:47.0,,Shooting foul by A. McKinnie (drawn by J. Okogie),106,90
4,5:47.0,,J. Okogie makes free throw 1 of 2,106,91
4,5:47.0,,J. Okogie makes free throw 2 of 2,106,92
4,5:29.0,J. Jerebko makes 2-pt layup at rim (assist by Q. Cook),,108,92
