QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
2,8:50.0,B. McLemore misses 2-pt layup at rim,,37,40
2,8:50.0,Offensive rebound by K. Koufos,,37,40
2,8:50.0,K. Koufos misses 2-pt layup at rim,,37,40
2,8:50.0,,Defensive rebound by Team,37,40
2,8:50.0,,C. Boucher enters the game for G. Monroe,37,40
2,8:32.0,,D. Wright makes 3-pt jump shot from 23 ft,37,43
2,8:16.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,40,43
2,8:07.0,,D. Wright misses 3-pt jump shot from 25 ft,40,43
2,8:05.0,,Offensive rebound by C. Boucher,40,43
2,8:03.0,,C. Boucher makes 2-pt layup from 4 ft,40,45
2,7:45.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,40,45
2,7:43.0,,Defensive rebound by C. Boucher,40,45
2,7:30.0,,C. Miles makes 2-pt hook shot from 7 ft (assist by K. Lowry),40,47
2,7:11.0,J. Jackson makes 2-pt jump shot from 5 ft (assist by Y. Ferrell),,42,47
2,6:58.0,,K. Lowry misses 2-pt jump shot from 7 ft,42,47
2,6:56.0,Defensive rebound by Y. Ferrell,,42,47
2,6:51.0,K. Koufos makes 2-pt jump shot from 8 ft (assist by Y. Ferrell),,44,47
2,6:42.0,,Personal foul by J. Jackson (drawn by C. Boucher),44,47
2,6:42.0,W. Cauley-Stein enters the game for K. Koufos,,44,47
2,6:42.0,B. Hield enters the game for B. McLemore,,44,47
2,6:42.0,,P. Siakam enters the game for N. Powell,44,47
2,6:28.0,,Turnover by D. Wright (bad pass),44,47
2,6:12.0,B. Bogdanović makes 2-pt layup from 1 ft,,46,47
2,5:59.0,,P. Siakam makes 2-pt hook shot from 9 ft,46,49
2,5:52.0,Offensive foul by Y. Ferrell (drawn by K. Lowry),,46,49
2,5:52.0,Turnover by Y. Ferrell (offensive foul),,46,49
2,5:30.0,,K. Lowry misses 2-pt jump shot from 13 ft,46,49
2,5:29.0,,Offensive rebound by Team,46,49
2,5:29.0,Loose ball foul by W. Cauley-Stein (drawn by C. Boucher),,46,49
2,5:29.0,M. Bagley enters the game for J. Jackson,,46,49
2,5:29.0,,D. Green enters the game for C. Boucher,46,49
2,5:29.0,,S. Ibaka enters the game for C. Miles,46,49
2,5:15.0,,K. Lowry misses 3-pt jump shot from 29 ft,46,49
2,5:12.0,Defensive rebound by M. Bagley,,46,49
2,5:05.0,Turnover by B. Hield (bad pass),,46,49
2,4:55.0,,Shooting foul by W. Cauley-Stein (drawn by S. Ibaka),46,49
2,4:55.0,,S. Ibaka misses free throw 1 of 2,46,49
2,4:55.0,,Offensive rebound by Team,46,49
2,4:55.0,H. Giles enters the game for W. Cauley-Stein,,46,49
2,4:55.0,,P. McCaw enters the game for K. Lowry,46,49
2,4:55.0,,F. VanVleet enters the game for D. Wright,46,49
2,4:55.0,,S. Ibaka makes free throw 2 of 2,46,50
2,4:44.0,B. Bogdanović makes 2-pt jump shot from 11 ft,,48,50
2,4:30.0,,Turnover by P. Siakam (bad pass; steal by Y. Ferrell),48,50
2,4:23.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by B. Hield),,50,50
2,4:15.0,,Toronto full timeout,50,50
2,4:01.0,,D. Green misses 2-pt layup from 2 ft (block by M. Bagley),50,50
2,3:58.0,Defensive rebound by H. Giles,,50,50
2,3:45.0,Personal foul by P. Siakam (drawn by M. Bagley),,50,50
2,3:33.0,M. Bagley misses 2-pt layup from 7 ft (block by D. Green),,50,50
2,3:30.0,,Defensive rebound by D. Green,50,50
2,3:11.0,,P. Siakam misses 2-pt jump shot from 6 ft,50,50
2,3:08.0,,Offensive rebound by S. Ibaka,50,50
2,3:07.0,,S. Ibaka makes 2-pt hook shot from 2 ft,50,52
2,2:54.0,B. Hield misses 3-pt jump shot from 23 ft,,50,52
2,2:51.0,,Defensive rebound by F. VanVleet,50,52
2,2:45.0,,Personal foul by B. Hield (drawn by S. Ibaka),50,52
2,2:45.0,,S. Ibaka makes free throw 1 of 2,50,53
2,2:45.0,,S. Ibaka makes free throw 2 of 2,50,54
2,2:26.0,Turnover by Y. Ferrell (lost ball; steal by P. McCaw),,50,54
2,2:22.0,,P. Siakam makes 2-pt dunk from 2 ft (assist by P. McCaw),50,56
2,2:10.0,Sacramento full timeout,,50,56
2,1:56.0,H. Giles misses 2-pt layup from 2 ft,,50,56
2,1:55.0,Offensive rebound by H. Giles,,50,56
2,1:54.0,Shooting foul by P. Siakam (drawn by H. Giles),,50,56
2,1:54.0,,Violation by Team (delay of game),50,56
2,1:54.0,H. Giles misses free throw 1 of 2,,50,56
2,1:54.0,Offensive rebound by Team,,50,56
2,1:54.0,H. Giles makes free throw 2 of 2,,51,56
2,1:39.0,,P. McCaw misses 2-pt layup from 3 ft,51,56
2,1:37.0,Defensive rebound by Team,,51,56
2,1:28.0,Personal foul by S. Ibaka (drawn by H. Giles),,51,56
2,1:28.0,H. Giles makes free throw 1 of 2,,52,56
2,1:28.0,H. Giles makes free throw 2 of 2,,53,56
2,1:10.0,,Turnover by S. Ibaka (traveling),53,56
2,1:02.0,Y. Ferrell misses 2-pt jump shot from 6 ft,,53,56
2,1:00.0,,Defensive rebound by P. McCaw,53,56
2,0:53.0,,P. Siakam misses 3-pt jump shot from 23 ft,53,56
2,0:50.0,,Offensive rebound by D. Green,53,56
2,0:42.0,,F. VanVleet makes 2-pt layup from 2 ft,53,58
2,0:37.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,53,58
2,0:33.0,,Defensive rebound by P. McCaw,53,58
2,0:28.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by F. VanVleet),53,60
2,0:08.0,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Giles),,56,60
2,0:02.0,,S. Ibaka misses 3-pt jump shot from 26 ft (block by H. Giles),56,60
2,0:02.0,,Offensive rebound by P. McCaw,56,60
2,0:00.0,,P. McCaw misses 3-pt jump shot from 31 ft,56,60
2,0:00.0,,Offensive rebound by Team,56,60
3,11:44.0,,P. Siakam misses 3-pt jump shot from 23 ft,56,60
3,11:40.0,Defensive rebound by B. Bogdanović,,56,60
3,11:23.0,M. Bagley misses 2-pt layup from 12 ft (block by K. Lowry),,56,60
3,11:20.0,,Defensive rebound by F. VanVleet,56,60
3,11:17.0,,Turnover by K. Lowry (bad pass; steal by Y. Ferrell),56,60
3,11:14.0,M. Bagley makes 2-pt dunk from 1 ft (assist by B. Hield),,58,60
3,10:51.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),58,63
3,10:29.0,B. Hield misses 2-pt jump shot from 14 ft,,58,63
3,10:27.0,,Defensive rebound by F. VanVleet,58,63
3,10:23.0,,D. Green misses 3-pt jump shot from 25 ft,58,63
3,10:20.0,,Offensive rebound by S. Ibaka,58,63
3,10:17.0,,S. Ibaka makes 2-pt hook shot from 2 ft,58,65
3,10:01.0,W. Cauley-Stein makes 2-pt hook shot from 5 ft,,60,65
3,9:39.0,,D. Green makes 3-pt jump shot from 23 ft (assist by S. Ibaka),60,68
3,9:28.0,Y. Ferrell makes 2-pt jump shot from 15 ft,,62,68
3,9:13.0,,Away from play foul by Y. Ferrell (drawn by F. VanVleet),62,68
3,9:13.0,,F. VanVleet misses free throw 1 of 1,62,68
3,9:13.0,,Offensive rebound by Team,62,68
3,9:13.0,,Offensive foul by F. VanVleet (drawn by Y. Ferrell),62,68
3,9:13.0,,Turnover by F. VanVleet (offensive foul),62,68
3,8:59.0,M. Bagley misses 2-pt jump shot from 15 ft,,62,68
3,8:57.0,Offensive rebound by B. Bogdanović,,62,68
3,8:43.0,B. Bogdanović misses 2-pt jump shot from 23 ft,,62,68
3,8:40.0,,Defensive rebound by S. Ibaka,62,68
3,8:32.0,,Turnover by K. Lowry (out of bounds lost ball),62,68
3,8:24.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,62,68
3,8:20.0,,Defensive rebound by S. Ibaka,62,68
3,8:09.0,,P. Siakam makes 2-pt layup from 1 ft,62,70
3,8:09.0,Violation by Team (def goaltending),,62,70
3,7:53.0,M. Bagley makes 2-pt hook shot from 4 ft (assist by W. Cauley-Stein),,64,70
3,7:40.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),64,73
3,7:25.0,Personal foul by D. Green (drawn by B. Hield),,64,73
3,7:15.0,Y. Ferrell misses 3-pt jump shot from 22 ft (block by F. VanVleet),,64,73
3,7:12.0,,Defensive rebound by F. VanVleet,64,73
3,7:07.0,,D. Green misses 3-pt jump shot from 23 ft,64,73
3,7:05.0,Defensive rebound by Y. Ferrell,,64,73
3,7:01.0,Y. Ferrell misses 2-pt layup from 2 ft,,64,73
3,6:58.0,Offensive rebound by Y. Ferrell,,64,73
3,6:54.0,M. Bagley makes 2-pt dunk from 3 ft (assist by Y. Ferrell),,66,73
3,6:41.0,,Turnover by F. VanVleet (lost ball; steal by B. Hield),66,73
3,6:36.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),,69,73
3,6:32.0,,Toronto full timeout,69,73
3,6:32.0,H. Giles enters the game for M. Bagley,,69,73
3,6:16.0,,S. Ibaka misses 2-pt jump shot from 15 ft,69,73
3,6:14.0,Defensive rebound by W. Cauley-Stein,,69,73
3,5:58.0,H. Giles misses 2-pt hook shot from 10 ft,,69,73
3,5:55.0,,Defensive rebound by S. Ibaka,69,73
3,5:43.0,,K. Lowry misses 3-pt jump shot from 25 ft,69,73
3,5:40.0,Defensive rebound by B. Bogdanović,,69,73
3,5:35.0,H. Giles makes 2-pt layup from 2 ft (assist by B. Bogdanović),,71,73
3,5:35.0,,Violation by Team (def goaltending),71,73
3,5:12.0,,S. Ibaka misses 2-pt jump shot from 17 ft,71,73
3,5:09.0,Defensive rebound by B. Bogdanović,,71,73
3,5:01.0,Personal foul by P. Siakam (drawn by W. Cauley-Stein),,71,73
3,4:53.0,B. Hield misses 2-pt jump shot from 16 ft,,71,73
3,4:50.0,,Defensive rebound by F. VanVleet,71,73
3,4:40.0,,K. Lowry misses 2-pt layup from 2 ft (block by H. Giles),71,73
3,4:38.0,Defensive rebound by B. Bogdanović,,71,73
3,4:35.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,73,73
3,4:14.0,,D. Green misses 2-pt jump shot from 7 ft,73,73
3,4:11.0,Defensive rebound by W. Cauley-Stein,,73,73
3,4:07.0,Turnover by B. Hield (bad pass; steal by D. Green),,73,73
3,4:00.0,,D. Green misses 3-pt jump shot from 23 ft,73,73
3,3:58.0,,Offensive rebound by P. Siakam,73,73
3,3:58.0,,P. Siakam makes 2-pt layup at rim,73,75
3,3:58.0,Sacramento full timeout,,73,75
3,3:58.0,J. Jackson enters the game for B. Hield,,73,75
3,3:58.0,,G. Monroe enters the game for D. Green,73,75
3,3:58.0,,N. Powell enters the game for S. Ibaka,73,75
3,3:58.0,,D. Wright enters the game for K. Lowry,73,75
3,3:39.0,B. Bogdanović misses 2-pt layup from 2 ft (block by P. Siakam),,73,75
3,3:35.0,,Defensive rebound by N. Powell,73,75
3,3:34.0,,Shooting foul by Y. Ferrell (drawn by F. VanVleet),73,75
3,3:34.0,,F. VanVleet makes free throw 1 of 3,73,76
3,3:34.0,,F. VanVleet makes free throw 2 of 3,73,77
3,3:34.0,,F. VanVleet makes free throw 3 of 3,73,78
3,3:24.0,Personal foul by F. VanVleet (drawn by W. Cauley-Stein),,73,78
3,3:16.0,Turnover by H. Giles (lost ball; steal by F. VanVleet),,73,78
3,3:12.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),73,80
3,2:58.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,73,80
3,2:54.0,Offensive rebound by B. Bogdanović,,73,80
3,2:54.0,B. Bogdanović misses 2-pt layup from 1 ft,,73,80
3,2:52.0,,Defensive rebound by G. Monroe,73,80
3,2:51.0,,Personal foul by J. Jackson (drawn by N. Powell),73,80
3,2:51.0,M. Bagley enters the game for B. Bogdanović,,73,80
3,2:51.0,B. McLemore enters the game for W. Cauley-Stein,,73,80
3,2:37.0,,P. Siakam misses 3-pt jump shot from 23 ft,73,80
3,2:33.0,Defensive rebound by Y. Ferrell,,73,80
3,2:27.0,J. Jackson misses 2-pt jump shot from 9 ft,,73,80
3,2:26.0,,Defensive rebound by P. Siakam,73,80
3,2:22.0,,P. Siakam makes 2-pt hook shot from 3 ft,73,82
3,2:22.0,,Shooting foul by M. Bagley (drawn by P. Siakam),73,82
3,2:22.0,,P. Siakam makes free throw 1 of 1,73,83
3,2:02.0,Y. Ferrell makes 2-pt jump shot from 17 ft,,75,83
3,1:45.0,,Turnover by G. Monroe (bad pass),75,83
3,1:34.0,H. Giles misses 2-pt layup from 3 ft,,75,83
3,1:32.0,,Defensive rebound by P. Siakam,75,83
3,1:25.0,,F. VanVleet misses 3-pt jump shot from 28 ft,75,83
3,1:23.0,Defensive rebound by M. Bagley,,75,83
3,1:18.0,Turnover by M. Bagley (lost ball; steal by P. Siakam),,75,83
3,1:13.0,,P. Siakam makes 2-pt dunk from 1 ft,75,85
3,0:50.0,M. Bagley misses 2-pt layup from 2 ft,,75,85
3,0:50.0,Offensive rebound by Team,,75,85
3,0:48.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by J. Jackson),,78,85
3,0:30.0,,Shooting foul by H. Giles (drawn by N. Powell),78,85
3,0:30.0,,N. Powell misses free throw 1 of 2,78,85
3,0:30.0,,Offensive rebound by Team,78,85
3,0:30.0,B. Bogdanović enters the game for H. Giles,,78,85
3,0:30.0,,C. Boucher enters the game for P. Siakam,78,85
3,0:30.0,,N. Powell makes free throw 2 of 2,78,86
3,0:29.0,Turnover by M. Bagley (bad pass; steal by G. Monroe),,78,86
3,0:25.0,,G. Monroe misses 2-pt layup from 2 ft (block by M. Bagley),78,86
3,0:22.0,,Offensive rebound by G. Monroe,78,86
3,0:21.0,,G. Monroe misses 2-pt layup from 2 ft (block by B. McLemore),78,86
3,0:18.0,Defensive rebound by B. Bogdanović,,78,86
3,0:03.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,78,86
3,0:03.0,,Defensive rebound by D. Wright,78,86
3,0:00.0,,Shooting foul by B. McLemore (drawn by D. Wright),78,86
3,0:00.0,,D. Wright makes free throw 1 of 3,78,87
3,0:00.0,,D. Wright makes free throw 2 of 3,78,88
3,0:00.0,,D. Wright misses free throw 3 of 3,78,88
3,0:00.0,,Offensive rebound by Team,78,88
4,11:49.0,F. Mason misses 2-pt jump shot from 18 ft,,78,88
4,11:46.0,,Defensive rebound by D. Wright,78,88
4,11:29.0,,Shooting foul by H. Giles (drawn by G. Monroe),78,88
4,11:29.0,,G. Monroe misses free throw 1 of 2,78,88
4,11:29.0,,Offensive rebound by Team,78,88
4,11:29.0,,G. Monroe misses free throw 2 of 2,78,88
4,11:27.0,Defensive rebound by H. Giles,,78,88
4,11:12.0,Shooting foul by C. Miles (drawn by H. Giles),,78,88
4,11:12.0,H. Giles misses free throw 1 of 2,,78,88
4,11:12.0,Offensive rebound by Team,,78,88
4,11:12.0,H. Giles misses free throw 2 of 2,,78,88
4,11:10.0,,Defensive rebound by D. Wright,78,88
4,10:56.0,,Turnover by N. Powell (lost ball; steal by M. Bagley),78,88
4,10:55.0,Personal foul by K. Lowry (drawn by J. Jackson),,78,88
4,10:42.0,Turnover by F. Mason (out of bounds lost ball),,78,88
4,10:28.0,,Turnover by D. Wright (bad pass),78,88
4,10:23.0,Shooting foul by K. Lowry (drawn by M. Bagley),,78,88
4,10:23.0,M. Bagley makes free throw 1 of 2,,79,88
4,10:23.0,,C. Boucher enters the game for G. Monroe,79,88
4,10:23.0,M. Bagley makes free throw 2 of 2,,80,88
4,10:11.0,,C. Miles makes 3-pt jump shot from 25 ft,80,91
4,9:57.0,M. Bagley misses 2-pt jump shot from 8 ft (block by C. Miles),,80,91
4,9:54.0,Offensive rebound by H. Giles,,80,91
4,9:53.0,H. Giles makes 2-pt jump shot from 8 ft,,82,91
4,9:47.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Miles),82,94
4,9:30.0,J. Jackson makes 2-pt jump shot from 20 ft (assist by H. Giles),,84,94
4,9:23.0,,N. Powell misses 2-pt layup from 3 ft,84,94
4,9:23.0,Defensive rebound by Team,,84,94
4,9:14.0,M. Bagley makes 2-pt jump shot from 12 ft (assist by F. Mason),,86,94
4,8:55.0,,Turnover by D. Wright (bad pass; steal by F. Mason),86,94
4,8:48.0,J. Jackson misses 2-pt jump shot from 9 ft,,86,94
4,8:46.0,,Defensive rebound by C. Boucher,86,94
4,8:43.0,,N. Powell makes 2-pt layup from 1 ft (assist by K. Lowry),86,96
4,8:43.0,,Shooting foul by B. McLemore (drawn by N. Powell),86,96
4,8:43.0,Sacramento full timeout,,86,96
4,8:43.0,B. Hield enters the game for B. McLemore,,86,96
4,8:43.0,,N. Powell misses free throw 1 of 1,86,96
4,8:41.0,,Offensive rebound by C. Miles,86,96
4,8:35.0,,Shooting foul by H. Giles (drawn by C. Boucher),86,96
4,8:35.0,,C. Boucher makes free throw 1 of 2,86,97
4,8:35.0,,C. Boucher makes free throw 2 of 2,86,98
4,8:21.0,,Loose ball foul by N. Powell (drawn by M. Bagley),86,98
4,8:13.0,Turnover by B. Hield (bad pass; steal by D. Wright),,86,98
4,8:09.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by K. Lowry),86,101
4,8:06.0,Sacramento full timeout,,86,101
4,8:06.0,B. Bogdanović enters the game for H. Giles,,86,101
4,8:06.0,W. Cauley-Stein enters the game for J. Jackson,,86,101
4,8:06.0,Y. Ferrell enters the game for F. Mason,,86,101
