QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
1,6:03.0,A. Davis makes 2-pt dunk at rim (assist by D. Miller),,17,13
1,5:49.0,,L. Dončić makes 2-pt layup at rim,17,15
1,5:39.0,Shooting foul by M. Kleber (drawn by J. Randle),,17,15
1,5:39.0,J. Randle makes free throw 1 of 2,,18,15
1,5:39.0,,J. Barea enters the game for M. Kleber,18,15
1,5:39.0,J. Randle makes free throw 2 of 2,,19,15
1,5:25.0,,W. Matthews misses 3-pt jump shot from 26 ft,19,15
1,5:22.0,Defensive rebound by E. Moore,,19,15
1,5:08.0,J. Randle makes 2-pt jump shot from 6 ft,,21,15
1,4:58.0,,Shooting foul by D. Miller (drawn by L. Dončić),21,15
1,4:58.0,,L. Dončić makes free throw 1 of 3,21,16
1,4:58.0,,L. Dončić makes free throw 2 of 3,21,17
1,4:58.0,,L. Dončić makes free throw 3 of 3,21,18
1,4:48.0,A. Davis misses 2-pt jump shot from 19 ft,,21,18
1,4:45.0,,Defensive rebound by W. Matthews,21,18
1,4:41.0,,Personal foul by J. Holiday (drawn by W. Matthews),21,18
1,4:36.0,,H. Barnes misses 3-pt jump shot from 26 ft,21,18
1,4:33.0,Defensive rebound by J. Holiday,,21,18
1,4:27.0,Turnover by D. Miller (bad pass; steal by L. Dončić),,21,18
1,4:21.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),21,20
1,4:08.0,Shooting foul by D. Jordan (drawn by A. Davis),,21,20
1,4:08.0,,Technical foul by D. Jordan,21,20
1,4:08.0,A. Davis makes technical free throw,,22,20
1,4:08.0,A. Davis makes free throw 1 of 2,,23,20
1,4:08.0,F. Jackson enters the game for J. Randle,,23,20
1,4:08.0,,D. Powell enters the game for D. Jordan,23,20
1,4:08.0,A. Davis misses free throw 2 of 2,,23,20
1,4:06.0,,Defensive rebound by H. Barnes,23,20
1,3:56.0,,L. Dončić misses 3-pt jump shot from 26 ft,23,20
1,3:52.0,Defensive rebound by A. Davis,,23,20
1,3:49.0,Turnover by F. Jackson (step out of bounds),,23,20
1,3:49.0,T. Frazier enters the game for J. Holiday,,23,20
1,3:29.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),23,23
1,3:13.0,Personal foul by H. Barnes (drawn by A. Davis),,23,23
1,3:13.0,A. Davis misses free throw 1 of 2,,23,23
1,3:13.0,Offensive rebound by Team,,23,23
1,3:13.0,A. Davis makes free throw 2 of 2,,24,23
1,3:02.0,,Personal foul by F. Jackson (drawn by L. Dončić),24,23
1,3:02.0,,D. Harris enters the game for W. Matthews,24,23
1,3:00.0,,Personal foul by D. Miller (drawn by H. Barnes),24,23
1,3:00.0,S. Hill enters the game for D. Miller,,24,23
1,3:00.0,,H. Barnes makes free throw 1 of 2,24,24
1,3:00.0,,H. Barnes misses free throw 2 of 2,24,24
1,3:00.0,,Offensive rebound by Team,24,24
1,2:59.0,New Orleans full timeout,,24,24
1,2:59.0,,D. Finney-Smith enters the game for H. Barnes,24,24
1,2:59.0,,D. Nowitzki enters the game for L. Dončić,24,24
1,2:47.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,24,24
1,2:45.0,Defensive rebound by A. Davis,,24,24
1,2:30.0,T. Frazier makes 3-pt jump shot from 26 ft (assist by E. Moore),,27,24
1,2:15.0,,Turnover by J. Barea (bad pass; steal by A. Davis),27,24
1,2:10.0,S. Hill misses 3-pt jump shot from 24 ft,,27,24
1,2:07.0,,Defensive rebound by D. Powell,27,24
1,2:02.0,,J. Barea makes 3-pt jump shot from 25 ft,27,27
1,1:46.0,A. Davis makes 2-pt dunk at rim (assist by E. Moore),,29,27
1,1:35.0,,Shooting foul by F. Jackson (drawn by D. Harris),29,27
1,1:35.0,,D. Harris makes free throw 1 of 2,29,28
1,1:35.0,,D. Harris makes free throw 2 of 2,29,29
1,1:19.0,A. Davis misses 2-pt jump shot from 19 ft,,29,29
1,1:16.0,,Defensive rebound by J. Barea,29,29
1,0:58.0,,D. Powell makes 2-pt jump shot from 4 ft (assist by J. Barea),29,31
1,0:45.0,Shooting foul by D. Nowitzki (drawn by T. Frazier),,29,31
1,0:45.0,T. Frazier misses free throw 1 of 2,,29,31
1,0:45.0,Offensive rebound by Team,,29,31
1,0:45.0,T. Frazier makes free throw 2 of 2,,30,31
1,0:36.0,,D. Powell misses 3-pt jump shot from 26 ft,30,31
1,0:32.0,Defensive rebound by F. Jackson,,30,31
1,0:16.0,F. Jackson misses 2-pt jump shot from 13 ft,,30,31
1,0:16.0,Offensive rebound by A. Davis,,30,31
1,0:15.0,A. Davis misses 2-pt layup from 1 ft,,30,31
1,0:15.0,,Defensive rebound by J. Barea,30,31
1,0:04.0,,J. Barea makes 2-pt layup from 1 ft,30,33
1,0:01.0,T. Frazier misses 2-pt jump shot from 12 ft (block by D. Harris),,30,33
1,0:00.0,Offensive rebound by Team,,30,33
1,0:00.0,A. Davis misses 2-pt jump shot from 16 ft,,30,33
1,0:00.0,Offensive rebound by Team,,30,33
2,11:44.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,30,33
2,11:40.0,Defensive rebound by E. Moore,,30,33
2,11:26.0,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),,33,33
2,11:14.0,,Shooting foul by J. Okafor (drawn by D. Powell),33,33
2,11:14.0,,D. Powell misses free throw 1 of 2,33,33
2,11:14.0,,Offensive rebound by Team,33,33
2,11:14.0,,D. Powell makes free throw 2 of 2,33,34
2,11:03.0,J. Randle misses 2-pt hook shot from 6 ft,,33,34
2,11:00.0,Offensive rebound by S. Hill,,33,34
2,10:58.0,Personal foul by D. Powell (drawn by J. Holiday),,33,34
2,10:52.0,Shooting foul by D. Harris (drawn by J. Randle),,33,34
2,10:52.0,J. Randle makes free throw 1 of 2,,34,34
2,10:52.0,J. Randle makes free throw 2 of 2,,35,34
2,10:40.0,,Turnover by J. Barea (bad pass),35,34
2,10:26.0,J. Holiday makes 2-pt hook shot from 5 ft,,37,34
2,10:15.0,,J. Barea misses 2-pt jump shot from 10 ft,37,34
2,10:10.0,Defensive rebound by S. Hill,,37,34
2,10:01.0,E. Moore misses 3-pt jump shot from 25 ft,,37,34
2,9:58.0,,Defensive rebound by D. Nowitzki,37,34
2,9:53.0,,Shooting foul by J. Okafor (drawn by D. Harris),37,34
2,9:53.0,,D. Harris makes free throw 1 of 2,37,35
2,9:53.0,,D. Harris makes free throw 2 of 2,37,36
2,9:45.0,Personal foul by D. Harris (drawn by S. Hill),,37,36
2,9:36.0,J. Okafor makes 2-pt layup from 1 ft,,39,36
2,9:36.0,Shooting foul by D. Nowitzki (drawn by J. Okafor),,39,36
2,9:36.0,J. Okafor makes free throw 1 of 1,,40,36
2,9:26.0,,Personal foul by E. Moore (drawn by D. Harris),40,36
2,9:19.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by J. Barea),40,38
2,9:04.0,J. Randle misses 2-pt jump shot from 7 ft (block by D. Finney-Smith),,40,38
2,9:01.0,,Defensive rebound by D. Harris,40,38
2,8:46.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,40,38
2,8:43.0,Defensive rebound by S. Hill,,40,38
2,8:37.0,J. Okafor misses 2-pt hook shot from 5 ft,,40,38
2,8:35.0,,Defensive rebound by D. Powell,40,38
2,8:24.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Nowitzki),40,40
2,8:07.0,J. Holiday misses 2-pt jump shot from 6 ft,,40,40
2,8:05.0,Offensive rebound by J. Holiday,,40,40
2,8:05.0,Personal foul by D. Powell (drawn by J. Holiday),,40,40
2,8:05.0,J. Holiday makes free throw 1 of 2,,41,40
2,8:05.0,F. Jackson enters the game for E. Moore,,41,40
2,8:05.0,J. Holiday makes free throw 2 of 2,,42,40
2,7:51.0,,J. Barea makes 2-pt jump shot from 20 ft,42,42
2,7:44.0,J. Randle misses 2-pt jump shot from 5 ft (block by D. Nowitzki),,42,42
2,7:42.0,Offensive rebound by Team,,42,42
2,7:39.0,J. Holiday makes 2-pt layup from 2 ft (assist by F. Jackson),,44,42
2,7:39.0,Shooting foul by D. Nowitzki (drawn by J. Holiday),,44,42
2,7:39.0,,Technical foul by D. Nowitzki,44,42
2,7:39.0,Offensive rebound by Team,,44,42
2,7:39.0,J. Holiday misses technical free throw,,44,42
2,7:39.0,,M. Kleber enters the game for D. Nowitzki,44,42
2,7:39.0,J. Holiday makes free throw 1 of 1,,45,42
2,7:27.0,,J. Barea misses 3-pt jump shot from 25 ft,45,42
2,7:24.0,,Offensive rebound by D. Powell,45,42
2,7:22.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,45,42
2,7:19.0,Defensive rebound by J. Randle,,45,42
2,7:12.0,F. Jackson makes 3-pt jump shot from 25 ft (assist by J. Randle),,48,42
2,7:11.0,,Dallas full timeout,48,42
2,7:11.0,T. Frazier enters the game for S. Hill,,48,42
2,7:11.0,D. Miller enters the game for J. Holiday,,48,42
2,7:11.0,,H. Barnes enters the game for D. Finney-Smith,48,42
2,7:11.0,,L. Dončić enters the game for D. Harris,48,42
2,7:11.0,,D. Jordan enters the game for M. Kleber,48,42
2,7:11.0,,W. Matthews enters the game for D. Powell,48,42
2,6:55.0,,J. Barea misses 3-pt jump shot from 26 ft,48,42
2,6:52.0,Defensive rebound by J. Randle,,48,42
2,6:38.0,D. Miller misses 3-pt jump shot from 26 ft,,48,42
2,6:34.0,,Defensive rebound by D. Jordan,48,42
2,6:27.0,,L. Dončić makes 2-pt layup from 2 ft,48,44
2,6:11.0,F. Jackson makes 3-pt jump shot from 23 ft (assist by T. Frazier),,51,44
2,5:53.0,,W. Matthews makes 2-pt jump shot from 23 ft (assist by D. Jordan),51,46
2,5:32.0,J. Okafor makes 2-pt layup from 1 ft,,53,46
2,5:21.0,,Turnover by W. Matthews (bad pass; steal by J. Randle),53,46
2,5:21.0,Personal take foul by J. Barea (drawn by J. Randle),,53,46
2,5:21.0,J. Randle makes free throw 1 of 2,,54,46
2,5:21.0,,M. Kleber enters the game for J. Barea,54,46
2,5:21.0,J. Randle makes free throw 2 of 2,,55,46
2,5:06.0,,Personal foul by F. Jackson (drawn by L. Dončić),55,46
2,5:06.0,A. Davis enters the game for F. Jackson,,55,46
2,5:06.0,J. Holiday enters the game for J. Randle,,55,46
2,5:04.0,,Personal foul by T. Frazier (drawn by W. Matthews),55,46
2,5:04.0,,W. Matthews makes free throw 1 of 2,55,47
2,5:04.0,E. Moore enters the game for T. Frazier,,55,47
2,5:04.0,,W. Matthews makes free throw 2 of 2,55,48
2,4:52.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),,57,48
2,4:32.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),57,50
2,4:16.0,J. Holiday makes 2-pt jump shot from 7 ft,,59,50
2,3:58.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),59,53
2,3:50.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,61,53
2,3:26.0,,W. Matthews makes 2-pt jump shot from 9 ft (assist by D. Jordan),61,55
2,3:15.0,E. Moore misses 2-pt jump shot from 9 ft (block by M. Kleber),,61,55
2,3:15.0,,Defensive rebound by H. Barnes,61,55
2,3:15.0,,Personal foul by E. Moore (drawn by H. Barnes),61,55
2,3:15.0,,H. Barnes makes free throw 1 of 2,61,56
2,3:15.0,J. Randle enters the game for J. Okafor,,61,56
2,3:15.0,,H. Barnes makes free throw 2 of 2,61,57
2,3:00.0,Turnover by D. Miller (step out of bounds),,61,57
2,2:44.0,New Orleans full timeout,,61,57
2,2:40.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by W. Matthews),61,60
2,2:20.0,J. Randle makes 3-pt jump shot from 23 ft (assist by A. Davis),,64,60
2,2:06.0,,L. Dončić makes 2-pt layup from 6 ft (assist by H. Barnes),64,62
2,1:55.0,A. Davis misses 3-pt jump shot from 26 ft,,64,62
2,1:51.0,,Defensive rebound by L. Dončić,64,62
2,1:42.0,,W. Matthews misses 2-pt jump shot from 11 ft,64,62
2,1:38.0,,Offensive rebound by H. Barnes,64,62
2,1:36.0,,H. Barnes makes 2-pt layup from 1 ft,64,64
2,1:26.0,E. Moore misses 2-pt layup from 3 ft (block by M. Kleber),,64,64
2,1:25.0,Offensive rebound by Team,,64,64
2,1:16.0,J. Randle misses 2-pt jump shot from 17 ft,,64,64
2,1:14.0,,Defensive rebound by D. Jordan,64,64
2,1:06.0,,M. Kleber misses 3-pt jump shot from 26 ft,64,64
2,1:02.0,Defensive rebound by D. Miller,,64,64
2,0:55.0,A. Davis misses 2-pt jump shot from 5 ft,,64,64
2,0:53.0,,Defensive rebound by L. Dončić,64,64
2,0:34.0,,M. Kleber misses 3-pt jump shot from 24 ft,64,64
2,0:31.0,Defensive rebound by A. Davis,,64,64
2,0:25.0,Turnover by J. Holiday (bad pass; steal by W. Matthews),,64,64
2,0:04.0,,Shooting foul by J. Holiday (drawn by L. Dončić),64,64
2,0:04.0,,L. Dončić makes free throw 1 of 3,64,65
2,0:04.0,,D. Finney-Smith enters the game for D. Jordan,64,65
2,0:04.0,,S. Mejri enters the game for M. Kleber,64,65
2,0:04.0,,L. Dončić makes free throw 2 of 3,64,66
2,0:04.0,,L. Dončić makes free throw 3 of 3,64,67
2,0:00.0,Turnover by J. Randle (offensive foul),,64,67
2,0:00.0,Offensive foul by J. Randle (drawn by H. Barnes),,64,67
2,0:00.0,,L. Dončić misses 3-pt jump shot from 64 ft,64,67
2,0:00.0,,Offensive rebound by Team,64,67
3,11:49.0,,H. Barnes misses 3-pt jump shot from 26 ft,64,67
3,11:45.0,Defensive rebound by J. Holiday,,64,67
3,11:34.0,D. Miller makes 3-pt jump shot from 25 ft (assist by T. Frazier),,67,67
3,11:15.0,,Shooting foul by A. Davis (drawn by D. Jordan),67,67
3,11:15.0,,D. Jordan makes free throw 1 of 2,67,68
3,11:15.0,,D. Jordan makes free throw 2 of 2,67,69
3,10:49.0,J. Randle misses 2-pt dunk from 2 ft (block by M. Kleber),,67,69
3,10:47.0,,Defensive rebound by L. Dončić,67,69
3,10:43.0,,L. Dončić makes 2-pt jump shot from 4 ft,67,71
3,10:32.0,T. Frazier makes 2-pt jump shot from 3 ft,,69,71
3,10:32.0,Shooting foul by W. Matthews (drawn by T. Frazier),,69,71
3,10:32.0,T. Frazier makes free throw 1 of 1,,70,71
3,10:21.0,,Turnover by L. Dončić (bad pass),70,71
3,10:14.0,,Violation by Team (kicked ball),70,71
3,10:07.0,J. Holiday makes 2-pt layup from 2 ft,,72,71
3,9:42.0,,M. Kleber misses 3-pt jump shot from 25 ft,72,71
3,9:37.0,Defensive rebound by J. Holiday,,72,71
3,9:34.0,D. Miller misses 3-pt jump shot from 25 ft,,72,71
3,9:30.0,Offensive rebound by D. Miller,,72,71
3,9:29.0,D. Miller makes 3-pt jump shot from 25 ft,,75,71
3,9:29.0,,Dallas full timeout,75,71
3,9:20.0,,Turnover by W. Matthews (offensive foul),75,71
3,9:20.0,,Offensive foul by W. Matthews (drawn by T. Frazier),75,71
3,9:20.0,,Violation by Team (delay of game),75,71
3,9:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,75,71
3,9:07.0,,Defensive rebound by D. Jordan,75,71
3,8:57.0,,M. Kleber makes 2-pt layup from 1 ft (assist by L. Dončić),75,73
3,8:39.0,A. Davis misses 2-pt jump shot from 6 ft,,75,73
3,8:37.0,,Defensive rebound by D. Jordan,75,73
3,8:30.0,,Turnover by D. Jordan (bad pass),75,73
3,8:19.0,J. Holiday misses 2-pt jump shot from 11 ft,,75,73
3,8:16.0,,Defensive rebound by D. Jordan,75,73
3,8:04.0,,Shooting foul by A. Davis (drawn by D. Jordan),75,73
3,8:04.0,,D. Jordan misses free throw 1 of 2,75,73
3,8:04.0,,Offensive rebound by Team,75,73
3,8:04.0,,D. Jordan misses free throw 2 of 2,75,73
3,8:04.0,Defensive rebound by A. Davis,,75,73
3,7:53.0,Personal foul by W. Matthews (drawn by J. Randle),,75,73
3,7:44.0,T. Frazier makes 2-pt layup from 2 ft (assist by D. Miller),,77,73
3,7:29.0,,M. Kleber makes 2-pt dunk at rim (assist by L. Dončić),77,75
3,7:13.0,J. Randle makes 3-pt jump shot from 25 ft (assist by T. Frazier),,80,75
3,6:53.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),80,77
3,6:37.0,J. Randle misses 3-pt jump shot from 25 ft,,80,77
3,6:35.0,,Defensive rebound by H. Barnes,80,77
3,6:29.0,,L. Dončić misses 3-pt jump shot from 26 ft,80,77
3,6:23.0,,Offensive rebound by M. Kleber,80,77
3,6:23.0,,M. Kleber misses 2-pt layup at rim,80,77
3,6:22.0,Defensive rebound by A. Davis,,80,77
3,6:21.0,Shooting foul by L. Dončić (drawn by J. Randle),,80,77
3,6:21.0,J. Randle makes free throw 1 of 2,,81,77
3,6:21.0,E. Moore enters the game for T. Frazier,,81,77
3,6:21.0,J. Randle misses free throw 2 of 2,,81,77
3,6:18.0,,Defensive rebound by D. Jordan,81,77
3,6:07.0,,W. Matthews misses 3-pt jump shot from 25 ft,81,77
3,6:04.0,,Offensive rebound by M. Kleber,81,77
3,6:04.0,,M. Kleber misses 2-pt layup at rim,81,77
3,6:04.0,,Offensive rebound by Team,81,77
3,5:57.0,,H. Barnes misses 2-pt jump shot from 4 ft,81,77
3,5:54.0,Defensive rebound by A. Davis,,81,77
3,5:54.0,Personal foul by M. Kleber (drawn by A. Davis),,81,77
3,5:46.0,A. Davis makes 2-pt dunk from 1 ft,,83,77
3,5:26.0,,L. Dončić makes 2-pt layup from 1 ft,83,79
3,5:08.0,J. Holiday misses 2-pt jump shot from 6 ft (block by M. Kleber),,83,79
3,5:06.0,,Defensive rebound by D. Jordan,83,79
3,5:00.0,,L. Dončić misses 3-pt jump shot from 28 ft,83,79
3,4:57.0,Defensive rebound by J. Randle,,83,79
3,4:52.0,J. Holiday makes 3-pt jump shot from 25 ft,,86,79
3,4:47.0,,Dallas full timeout,86,79
3,4:47.0,T. Frazier enters the game for J. Holiday,,86,79
3,4:47.0,S. Hill enters the game for J. Randle,,86,79
3,4:47.0,,J. Barea enters the game for W. Matthews,86,79
3,4:29.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),86,82
3,4:18.0,Turnover by A. Davis (offensive foul),,86,82
3,4:18.0,Offensive foul by A. Davis (drawn by L. Dončić),,86,82
3,4:18.0,,D. Finney-Smith enters the game for M. Kleber,86,82
3,3:57.0,,J. Barea misses 2-pt jump shot from 18 ft,86,82
3,3:54.0,Defensive rebound by T. Frazier,,86,82
3,3:41.0,T. Frazier misses 2-pt jump shot from 11 ft (block by D. Jordan),,86,82
3,3:38.0,Offensive rebound by A. Davis,,86,82
3,3:37.0,A. Davis makes 3-pt jump shot from 26 ft (assist by T. Frazier),,89,82
3,3:18.0,,H. Barnes misses 2-pt jump shot from 10 ft,89,82
3,3:15.0,Defensive rebound by A. Davis,,89,82
3,3:12.0,S. Hill misses 3-pt jump shot from 23 ft,,89,82
3,3:08.0,,Defensive rebound by D. Jordan,89,82
3,3:01.0,,H. Barnes misses 2-pt jump shot from 10 ft,89,82
3,2:59.0,Defensive rebound by A. Davis,,89,82
3,2:47.0,T. Frazier misses 2-pt jump shot from 6 ft,,89,82
3,2:45.0,,Defensive rebound by L. Dončić,89,82
3,2:37.0,,Shooting foul by D. Miller (drawn by D. Jordan),89,82
3,2:37.0,,D. Jordan makes free throw 1 of 2,89,83
3,2:37.0,J. Randle enters the game for A. Davis,,89,83
3,2:37.0,,D. Harris enters the game for H. Barnes,89,83
3,2:37.0,,D. Jordan makes free throw 2 of 2,89,84
3,2:30.0,E. Moore misses 3-pt jump shot from 23 ft,,89,84
3,2:27.0,Offensive rebound by S. Hill,,89,84
3,2:21.0,J. Randle misses 2-pt jump shot from 7 ft,,89,84
3,2:19.0,,Defensive rebound by D. Jordan,89,84
3,2:13.0,,Shooting foul by J. Randle (drawn by D. Finney-Smith),89,84
3,2:13.0,,D. Finney-Smith misses free throw 1 of 2,89,84
3,2:13.0,,Offensive rebound by Team,89,84
3,2:13.0,,D. Nowitzki enters the game for L. Dončić,89,84
3,2:13.0,,D. Powell enters the game for D. Jordan,89,84
3,2:13.0,,D. Finney-Smith makes free throw 2 of 2,89,85
3,1:55.0,J. Randle misses 2-pt jump shot from 6 ft (block by D. Nowitzki),,89,85
3,1:55.0,,Defensive rebound by Team,89,85
3,1:43.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,89,85
3,1:39.0,Defensive rebound by E. Moore,,89,85
3,1:25.0,T. Frazier misses 2-pt layup from 4 ft (block by D. Finney-Smith),,89,85
3,1:25.0,Offensive rebound by Team,,89,85
3,1:25.0,J. Okafor enters the game for D. Miller,,89,85
3,1:22.0,E. Moore makes 2-pt jump shot from 17 ft (assist by T. Frazier),,91,85
3,1:16.0,,Shooting foul by J. Okafor (drawn by D. Harris),91,85
3,1:16.0,,D. Harris makes free throw 1 of 2,91,86
3,1:16.0,,D. Harris makes free throw 2 of 2,91,87
3,0:57.0,Shooting foul by D. Powell (drawn by J. Randle),,91,87
3,0:57.0,J. Randle makes free throw 1 of 2,,92,87
3,0:57.0,J. Randle misses free throw 2 of 2,,92,87
3,0:54.0,,Defensive rebound by D. Finney-Smith,92,87
3,0:48.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),92,90
3,0:27.0,J. Randle makes 2-pt hook shot from 5 ft,,94,90
3,0:07.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,94,90
3,0:05.0,Defensive rebound by Team,,94,90
4,11:40.0,J. Okafor makes 2-pt jump shot from 4 ft (assist by F. Jackson),,96,90
4,11:28.0,,Shooting foul by J. Randle (drawn by D. Nowitzki),96,90
4,11:28.0,,D. Nowitzki makes free throw 1 of 2,96,91
4,11:28.0,,D. Nowitzki makes free throw 2 of 2,96,92
4,11:12.0,Personal foul by D. Harris (drawn by S. Hill),,96,92
4,11:02.0,J. Holiday misses 2-pt jump shot from 22 ft,,96,92
4,10:59.0,,Defensive rebound by J. Barea,96,92
4,10:51.0,,Turnover by J. Barea (out of bounds lost ball),96,92
4,10:28.0,J. Randle misses 3-pt jump shot from 23 ft,,96,92
4,10:25.0,,Defensive rebound by D. Harris,96,92
4,10:22.0,,J. Barea makes 3-pt jump shot from 26 ft (assist by D. Harris),96,95
4,10:07.0,F. Jackson makes 2-pt dunk from 1 ft (assist by J. Randle),,98,95
4,9:55.0,,J. Barea misses 2-pt layup from 2 ft,98,95
4,9:53.0,Defensive rebound by J. Holiday,,98,95
4,9:47.0,Shooting foul by D. Harris (drawn by J. Okafor),,98,95
4,9:47.0,J. Okafor makes free throw 1 of 2,,99,95
4,9:47.0,,M. Kleber enters the game for D. Nowitzki,99,95
4,9:47.0,J. Okafor makes free throw 2 of 2,,100,95
4,9:34.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by J. Barea),100,98
4,9:16.0,J. Holiday makes 2-pt jump shot from 9 ft,,102,98
4,9:06.0,,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),102,100
4,8:59.0,J. Okafor misses 2-pt layup from 1 ft (block by D. Powell),,102,100
4,8:59.0,,Defensive rebound by J. Barea,102,100
4,8:51.0,,Turnover by J. Barea (back court),102,100
4,8:43.0,J. Holiday makes 3-pt jump shot from 26 ft,,105,100
4,8:13.0,,D. Harris misses 3-pt jump shot from 25 ft,105,100
4,8:10.0,,Offensive rebound by D. Finney-Smith,105,100
4,8:10.0,,D. Finney-Smith misses 2-pt dunk at rim,105,100
4,8:08.0,,Offensive rebound by D. Harris,105,100
4,8:05.0,,D. Harris makes 3-pt jump shot from 25 ft,105,103
4,7:51.0,Personal foul by D. Powell (drawn by J. Okafor),,105,103
4,7:51.0,A. Davis enters the game for J. Randle,,105,103
4,7:44.0,J. Holiday misses 2-pt jump shot from 3 ft (block by M. Kleber),,105,103
4,7:41.0,,Defensive rebound by J. Barea,105,103
4,7:32.0,,D. Powell misses 3-pt jump shot from 25 ft,105,103
4,7:29.0,Defensive rebound by A. Davis,,105,103
4,7:23.0,New Orleans full timeout,,105,103
4,7:23.0,T. Frazier enters the game for J. Holiday,,105,103
4,7:17.0,Turnover by T. Frazier (palming),,105,103
4,7:07.0,,D. Harris misses 3-pt jump shot from 26 ft,105,103
4,7:03.0,Defensive rebound by A. Davis,,105,103
4,6:52.0,A. Davis misses 2-pt jump shot from 19 ft,,105,103
4,6:48.0,,Defensive rebound by D. Finney-Smith,105,103
