QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
3,3:15.0,T. Lyles enters the game for P. Millsap,,70,65
3,2:59.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,70,67
3,2:46.0,T. Lyles misses 3-pt jump shot from 28 ft,,70,67
3,2:42.0,,Defensive rebound by E. Bledsoe,70,67
3,2:35.0,,E. Bledsoe makes 2-pt layup from 2 ft,70,69
3,2:12.0,N. Jokić misses 3-pt jump shot from 28 ft,,70,69
3,2:09.0,,Defensive rebound by G. Antetokounmpo,70,69
3,2:06.0,,Milwaukee full timeout,70,69
3,2:06.0,J. Murray enters the game for G. Harris,,70,69
3,2:06.0,M. Plumlee enters the game for N. Jokić,,70,69
3,1:59.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,70,71
3,1:44.0,J. Murray makes 2-pt jump shot from 14 ft,,72,71
3,1:37.0,,E. Bledsoe makes 2-pt layup from 2 ft,72,73
3,1:12.0,Turnover by J. Murray (bad pass; steal by G. Antetokounmpo),,72,73
3,1:08.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,72,75
3,1:07.0,Denver full timeout,,72,75
3,0:47.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by J. Murray),,75,75
3,0:33.0,,E. Bledsoe makes 3-pt jump shot from 28 ft,75,78
3,0:26.0,Offensive foul by J. Murray (drawn by E. İlyasova),,75,78
3,0:26.0,Turnover by J. Murray (offensive foul),,75,78
3,0:10.0,,Turnover by E. Bledsoe (bad pass),75,78
3,0:01.0,M. Morris makes 2-pt jump shot from 15 ft,,77,78
4,11:48.0,,P. Connaughton misses 3-pt jump shot from 27 ft,77,78
4,11:45.0,Defensive rebound by M. Morris,,77,78
4,11:30.0,M. Morris makes 2-pt layup from 1 ft,,79,78
4,11:17.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,79,78
4,11:14.0,,Offensive rebound by P. Connaughton,79,78
4,11:12.0,,E. İlyasova misses 2-pt layup from 1 ft,79,78
4,11:09.0,,Offensive rebound by G. Antetokounmpo,79,78
4,11:03.0,,M. Brogdon makes 2-pt layup at rim (assist by G. Antetokounmpo),79,80
4,10:42.0,J. Murray misses 2-pt layup from 9 ft,,79,80
4,10:37.0,Offensive rebound by J. Murray,,79,80
4,10:27.0,T. Lyles misses 2-pt jump shot from 8 ft,,79,80
4,10:24.0,,Defensive rebound by G. Antetokounmpo,79,80
4,10:11.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft (block by M. Plumlee),79,80
4,10:07.0,Defensive rebound by J. Murray,,79,80
4,10:06.0,T. Lyles makes 2-pt layup at rim (assist by M. Plumlee),,81,80
4,10:06.0,Shooting foul by T. Snell (drawn by T. Lyles),,81,80
4,10:06.0,,B. Lopez enters the game for G. Antetokounmpo,81,80
4,10:06.0,,K. Middleton enters the game for P. Connaughton,81,80
4,10:06.0,T. Lyles misses free throw 1 of 1,,81,80
4,10:02.0,,Defensive rebound by E. İlyasova,81,80
4,9:57.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by K. Middleton),81,83
4,9:34.0,M. Morris makes 2-pt jump shot from 10 ft (assist by J. Murray),,83,83
4,9:17.0,,Turnover by M. Brogdon (bad pass),83,83
4,9:05.0,M. Morris misses 2-pt jump shot from 7 ft,,83,83
4,9:01.0,,Defensive rebound by M. Brogdon,83,83
4,8:55.0,,Personal foul by M. Morris (drawn by M. Brogdon),83,83
4,8:41.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by K. Middleton),83,86
4,8:25.0,M. Beasley misses 3-pt jump shot from 28 ft,,83,86
4,8:22.0,,Defensive rebound by M. Brogdon,83,86
4,8:21.0,,Turnover by M. Brogdon (bad pass),83,86
4,8:21.0,,P. Connaughton enters the game for T. Snell,83,86
4,8:13.0,Shooting foul by P. Connaughton (drawn by J. Murray),,83,86
4,8:13.0,J. Murray misses free throw 1 of 2,,83,86
4,8:13.0,Offensive rebound by Team,,83,86
4,8:13.0,J. Murray makes free throw 2 of 2,,84,86
4,8:00.0,,K. Middleton misses 2-pt jump shot from 7 ft,84,86
4,8:00.0,Defensive rebound by Team,,84,86
4,8:00.0,,Loose ball foul by E. İlyasova (drawn by T. Lyles),84,86
4,8:00.0,G. Harris enters the game for T. Lyles,,84,86
4,8:00.0,J. Hernangómez enters the game for J. Murray,,84,86
4,7:39.0,M. Morris misses 2-pt jump shot from 8 ft (block by B. Lopez),,84,86
4,7:37.0,,Defensive rebound by M. Brogdon,84,86
4,7:30.0,,Offensive foul by E. İlyasova (drawn by J. Hernangómez),84,86
4,7:30.0,,Turnover by E. İlyasova (offensive foul),84,86
4,7:30.0,,E. Bledsoe enters the game for E. İlyasova,84,86
4,7:12.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by G. Harris),,87,86
4,7:01.0,,Shooting foul by G. Harris (drawn by E. Bledsoe),87,86
4,7:01.0,,E. Bledsoe misses free throw 1 of 2,87,86
4,7:01.0,,Offensive rebound by Team,87,86
4,7:01.0,,E. Bledsoe makes free throw 2 of 2,87,87
4,6:44.0,G. Harris misses 2-pt layup from 4 ft,,87,87
4,6:43.0,Offensive rebound by M. Plumlee,,87,87
4,6:41.0,M. Plumlee misses 2-pt layup from 1 ft,,87,87
4,6:39.0,Offensive rebound by M. Plumlee,,87,87
4,6:39.0,M. Plumlee makes 2-pt layup from 2 ft,,89,87
4,6:30.0,Violation by Team (kicked ball),,89,87
4,6:30.0,,Milwaukee full timeout,89,87
4,6:30.0,N. Jokić enters the game for M. Plumlee,,89,87
4,6:30.0,,G. Antetokounmpo enters the game for M. Brogdon,89,87
