QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
2,10:51.0,A. Davis misses 2-pt layup at rim,,27,33
2,10:51.0,Offensive rebound by A. Davis,,27,33
2,10:51.0,Offensive rebound by A. Davis,,27,33
2,10:50.0,A. Davis makes 2-pt layup at rim,,29,33
2,10:40.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Ingles),29,36
2,10:26.0,E. Moore misses 2-pt layup from 3 ft,,29,36
2,10:23.0,,Defensive rebound by Team,29,36
2,10:09.0,,J. Crowder misses 2-pt jump shot from 17 ft,29,36
2,10:06.0,Defensive rebound by D. Miller,,29,36
2,9:51.0,F. Jackson makes 2-pt jump shot from 8 ft,,31,36
2,9:35.0,,D. Favors makes 2-pt hook shot from 4 ft (assist by J. Crowder),31,38
2,9:14.0,A. Davis misses 2-pt jump shot from 12 ft,,31,38
2,9:10.0,Offensive rebound by D. Miller,,31,38
2,8:56.0,A. Davis misses 2-pt jump shot from 21 ft,,31,38
2,8:53.0,,Defensive rebound by K. Korver,31,38
2,8:48.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by J. Ingles),31,40
2,8:35.0,K. Williams makes 3-pt jump shot from 25 ft (assist by A. Davis),,34,40
2,8:17.0,,D. Favors misses 2-pt layup from 2 ft (block by A. Davis),34,40
2,8:13.0,,Offensive rebound by D. Favors,34,40
2,8:12.0,,Turnover by D. Favors (bad pass; steal by E. Moore),34,40
2,8:09.0,K. Williams misses 2-pt layup from 5 ft,,34,40
2,8:09.0,,Defensive rebound by Team,34,40
2,8:09.0,,R. Gobert enters the game for J. Crowder,34,40
2,8:09.0,,D. Mitchell enters the game for D. Favors,34,40
2,8:09.0,,T. Sefolosha enters the game for J. Ingles,34,40
2,7:58.0,,R. O'Neale makes 2-pt dunk from 1 ft (assist by D. Mitchell),34,42
2,7:41.0,D. Miller misses 3-pt jump shot from 25 ft,,34,42
2,7:38.0,,Defensive rebound by R. Gobert,34,42
2,7:31.0,,R. O'Neale misses 3-pt jump shot from 23 ft,34,42
2,7:28.0,Defensive rebound by A. Davis,,34,42
2,7:20.0,E. Moore misses 3-pt jump shot from 24 ft,,34,42
2,7:16.0,Offensive rebound by D. Miller,,34,42
2,7:04.0,D. Miller makes 2-pt layup from 2 ft,,36,42
2,6:52.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),36,45
2,6:52.0,,Shooting foul by D. Miller (drawn by K. Korver),36,45
2,6:52.0,,Utah full timeout,36,45
2,6:52.0,C. Diallo enters the game for A. Davis,,36,45
2,6:52.0,J. Holiday enters the game for D. Miller,,36,45
2,6:52.0,E. Payton enters the game for E. Moore,,36,45
2,6:52.0,J. Randle enters the game for K. Williams,,36,45
2,6:52.0,,R. Rubio enters the game for R. O'Neale,36,45
2,6:52.0,,K. Korver makes free throw 1 of 1,36,46
2,6:38.0,Offensive foul by C. Diallo (drawn by R. Rubio),,36,46
2,6:38.0,Turnover by C. Diallo (offensive foul),,36,46
2,6:26.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),36,48
2,6:26.0,,Shooting foul by F. Jackson (drawn by R. Gobert),36,48
2,6:26.0,,R. Gobert misses free throw 1 of 1,36,48
2,6:26.0,,Offensive rebound by R. Gobert,36,48
2,6:19.0,,K. Korver misses 3-pt jump shot from 25 ft,36,48
2,6:18.0,,Offensive rebound by R. Rubio,36,48
2,6:17.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by R. Rubio),36,50
2,6:02.0,C. Diallo makes 2-pt hook shot from 4 ft (assist by J. Holiday),,38,50
2,5:49.0,,T. Sefolosha makes 3-pt jump shot from 25 ft (assist by D. Mitchell),38,53
2,5:31.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Randle),,41,53
2,5:08.0,,R. Rubio misses 2-pt jump shot from 20 ft,41,53
2,5:05.0,Defensive rebound by Team,,41,53
2,4:44.0,J. Randle misses 2-pt jump shot from 17 ft,,41,53
2,4:40.0,,Defensive rebound by R. Gobert,41,53
2,4:40.0,,J. Crowder enters the game for K. Korver,41,53
2,4:40.0,,J. Ingles enters the game for T. Sefolosha,41,53
2,4:30.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),41,55
2,4:17.0,J. Randle misses 2-pt layup from 3 ft,,41,55
2,4:17.0,Offensive rebound by Team,,41,55
2,4:04.0,J. Holiday misses 2-pt jump shot from 21 ft,,41,55
2,4:01.0,Offensive rebound by F. Jackson,,41,55
2,3:54.0,Turnover by E. Payton (lost ball; steal by J. Crowder),,41,55
2,3:48.0,,Personal foul by J. Randle (drawn by R. Rubio),41,55
2,3:41.0,,R. Rubio makes 3-pt jump shot from 22 ft (assist by D. Mitchell),41,58
2,3:27.0,J. Holiday makes 2-pt jump shot from 5 ft,,43,58
2,3:10.0,,J. Crowder misses 2-pt layup from 3 ft,43,58
2,3:09.0,,Offensive rebound by R. Gobert,43,58
2,3:07.0,,R. Gobert misses 2-pt dunk from 3 ft,43,58
2,3:06.0,,Offensive rebound by R. Gobert,43,58
2,3:05.0,,J. Ingles misses 3-pt jump shot from 26 ft,43,58
2,3:01.0,,Offensive rebound by J. Crowder,43,58
2,2:54.0,,R. Gobert misses 2-pt layup from 2 ft,43,58
2,2:53.0,Defensive rebound by F. Jackson,,43,58
2,2:53.0,Personal take foul by J. Crowder (drawn by F. Jackson),,43,58
2,2:53.0,New Orleans full timeout,,43,58
2,2:53.0,E. Moore enters the game for F. Jackson,,43,58
2,2:34.0,J. Holiday makes 2-pt jump shot from 11 ft,,45,58
2,2:06.0,,R. Rubio misses 3-pt jump shot from 25 ft,45,58
2,2:03.0,Defensive rebound by C. Diallo,,45,58
2,1:56.0,Def 3 sec tech foul by Team,,45,58
2,1:56.0,J. Holiday makes technical free throw,,46,58
