QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
1,0:33.0,,Offensive rebound by Team,35,26
1,0:33.0,D. Green enters the game for S. Curry,,35,26
1,0:29.0,,B. Beal makes 2-pt jump shot from 19 ft,35,28
1,0:15.0,K. Durant makes 2-pt jump shot from 16 ft,,37,28
1,0:07.0,,Personal foul by A. Iguodala (drawn by O. Porter),37,28
2,11:39.0,,O. Porter misses 3-pt jump shot from 26 ft,37,28
2,11:35.0,Defensive rebound by D. Green,,37,28
2,11:27.0,Personal foul by C. Randle (drawn by D. Cousins),,37,28
2,11:22.0,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),,39,28
2,11:08.0,,S. Dekker misses 2-pt hook shot from 6 ft,39,28
2,11:06.0,Defensive rebound by D. Cousins,,39,28
2,10:51.0,Turnover by D. Cousins (bad pass),,39,28
2,10:31.0,,O. Porter misses 2-pt jump shot from 13 ft,39,28
2,10:31.0,,Offensive rebound by Team,39,28
2,10:29.0,,T. Bryant makes 2-pt jump shot from 20 ft (assist by T. Brown),39,30
2,10:20.0,D. Cousins misses 2-pt hook shot from 2 ft,,39,30
2,10:17.0,,Defensive rebound by Team,39,30
2,10:17.0,Loose ball foul by D. Cousins (drawn by T. Bryant),,39,30
2,10:17.0,Technical foul by D. Cousins,,39,30
2,10:17.0,,O. Porter makes technical free throw,39,31
2,10:00.0,,S. Dekker misses 2-pt layup from 4 ft,39,31
2,9:56.0,Defensive rebound by S. Livingston,,39,31
2,9:55.0,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Livingston),,41,31
2,9:45.0,,T. Brown makes 2-pt jump shot from 6 ft,41,33
2,9:34.0,K. Thompson misses 2-pt jump shot from 16 ft,,41,33
2,9:31.0,,Defensive rebound by O. Porter,41,33
2,9:25.0,,O. Porter misses 2-pt jump shot from 18 ft,41,33
2,9:22.0,Defensive rebound by S. Livingston,,41,33
2,9:16.0,D. Cousins makes 3-pt jump shot from 28 ft (assist by S. Livingston),,44,33
2,9:14.0,,Washington full timeout,44,33
2,9:14.0,A. McKinnie enters the game for A. Iguodala,,44,33
2,9:14.0,,T. Satoranský enters the game for C. Randle,44,33
2,9:02.0,,S. Dekker misses 3-pt jump shot from 26 ft,44,33
2,8:58.0,Defensive rebound by D. Cousins,,44,33
2,8:42.0,D. Cousins misses 2-pt layup from 3 ft,,44,33
2,8:40.0,,Defensive rebound by S. Dekker,44,33
2,8:30.0,,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),44,35
2,8:08.0,S. Livingston makes 2-pt jump shot from 14 ft (assist by K. Thompson),,46,35
2,7:47.0,,T. Bryant misses 2-pt dunk from 4 ft (block by D. Cousins),46,35
2,7:44.0,Defensive rebound by D. Green,,46,35
2,7:44.0,Personal foul by T. Brown (drawn by K. Thompson),,46,35
2,7:44.0,K. Looney enters the game for D. Green,,46,35
2,7:44.0,,T. Ariza enters the game for T. Brown,46,35
2,7:44.0,,B. Beal enters the game for S. Dekker,46,35
2,7:34.0,D. Cousins makes 2-pt layup from 6 ft (assist by S. Livingston),,48,35
2,7:25.0,,Shooting foul by K. Thompson (drawn by B. Beal),48,35
2,7:25.0,,B. Beal makes free throw 1 of 2,48,36
2,7:25.0,,B. Beal misses free throw 2 of 2,48,36
2,7:22.0,Defensive rebound by K. Looney,,48,36
2,7:03.0,K. Thompson misses 2-pt layup from 3 ft,,48,36
2,7:00.0,,Defensive rebound by O. Porter,48,36
2,6:58.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by O. Porter),48,38
2,6:38.0,D. Cousins misses 2-pt jump shot from 8 ft,,48,38
2,6:38.0,,Defensive rebound by T. Bryant,48,38
2,6:38.0,,Personal foul by S. Livingston (drawn by B. Beal),48,38
2,6:38.0,S. Curry enters the game for D. Cousins,,48,38
2,6:38.0,K. Durant enters the game for K. Thompson,,48,38
2,6:38.0,,J. Green enters the game for T. Bryant,48,38
2,6:27.0,,Shooting foul by A. McKinnie (drawn by T. Satoranský),48,38
2,6:27.0,,T. Satoranský misses free throw 1 of 2,48,38
2,6:27.0,,Offensive rebound by Team,48,38
2,6:27.0,,T. Satoranský makes free throw 2 of 2,48,39
2,6:10.0,K. Durant misses 3-pt jump shot from 32 ft,,48,39
2,6:06.0,,Defensive rebound by J. Green,48,39
2,6:02.0,,T. Satoranský makes 2-pt dunk from 1 ft (assist by B. Beal),48,41
2,5:49.0,K. Durant makes 2-pt dunk from 2 ft (assist by K. Looney),,50,41
2,5:41.0,,B. Beal misses 3-pt jump shot from 26 ft,50,41
2,5:38.0,Defensive rebound by K. Looney,,50,41
2,5:29.0,S. Curry makes 2-pt jump shot from 19 ft,,52,41
2,5:11.0,,Personal foul by S. Livingston (drawn by B. Beal),52,41
2,5:11.0,,B. Beal makes free throw 1 of 2,52,42
2,5:11.0,,B. Beal makes free throw 2 of 2,52,43
2,5:00.0,Turnover by S. Curry (traveling),,52,43
2,4:55.0,,B. Beal makes 2-pt layup from 2 ft,52,45
2,4:39.0,Turnover by K. Durant (lost ball; steal by T. Satoranský),,52,45
2,4:35.0,,T. Ariza makes 2-pt dunk from 2 ft (assist by O. Porter),52,47
2,4:34.0,Golden State full timeout,,52,47
2,4:34.0,D. Green enters the game for S. Livingston,,52,47
2,4:34.0,A. Iguodala enters the game for K. Looney,,52,47
2,4:34.0,K. Thompson enters the game for A. McKinnie,,52,47
2,4:18.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Durant),,55,47
2,3:58.0,,J. Green makes 3-pt jump shot from 23 ft (assist by T. Ariza),55,50
2,3:51.0,Shooting foul by T. Satoranský (drawn by S. Curry),,55,50
2,3:51.0,S. Curry makes free throw 1 of 3,,56,50
2,3:51.0,S. Curry makes free throw 2 of 3,,57,50
2,3:51.0,S. Curry makes free throw 3 of 3,,58,50
2,3:44.0,,T. Ariza misses 3-pt jump shot from 27 ft,58,50
2,3:42.0,Defensive rebound by D. Green,,58,50
2,3:38.0,K. Durant misses 2-pt jump shot from 20 ft,,58,50
2,3:34.0,Offensive rebound by A. Iguodala,,58,50
2,3:33.0,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Iguodala),,61,50
2,3:13.0,,O. Porter makes 2-pt jump shot from 13 ft,61,52
2,2:54.0,S. Curry makes 2-pt layup from 3 ft,,63,52
2,2:34.0,,T. Satoranský makes 2-pt jump shot from 14 ft,63,54
2,2:20.0,D. Green misses 2-pt layup from 4 ft,,63,54
2,2:19.0,,Defensive rebound by B. Beal,63,54
2,2:14.0,,J. Green misses 3-pt jump shot from 24 ft,63,54
2,2:12.0,Defensive rebound by S. Curry,,63,54
2,2:11.0,Turnover by K. Durant (traveling),,63,54
2,1:54.0,,B. Beal misses 2-pt layup from 3 ft (block by D. Green),63,54
2,1:51.0,Defensive rebound by K. Durant,,63,54
2,1:49.0,Turnover by K. Durant (out of bounds lost ball),,63,54
2,1:45.0,,Personal foul by D. Green (drawn by T. Ariza),63,54
2,1:45.0,,T. Ariza makes free throw 1 of 2,63,55
2,1:45.0,,T. Ariza makes free throw 2 of 2,63,56
2,1:36.0,K. Thompson misses 3-pt jump shot from 26 ft,,63,56
2,1:33.0,,Defensive rebound by O. Porter,63,56
2,1:28.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by O. Porter),63,59
2,1:26.0,Golden State full timeout,,63,59
2,1:13.0,S. Curry makes 2-pt layup from 1 ft,,65,59
2,0:57.0,,Turnover by T. Satoranský (bad pass),65,59
2,0:57.0,,T. Bryant enters the game for J. Green,65,59
2,0:46.0,K. Durant makes 2-pt dunk from 2 ft (assist by A. Iguodala),,67,59
2,0:28.0,,B. Beal misses 3-pt jump shot from 25 ft,67,59
2,0:25.0,Defensive rebound by D. Green,,67,59
2,0:09.0,S. Curry misses 3-pt jump shot from 29 ft,,67,59
2,0:05.0,,Defensive rebound by B. Beal,67,59
2,0:02.0,,T. Ariza misses 3-pt jump shot from 25 ft,67,59
2,0:01.0,,Offensive rebound by Team,67,59
3,11:36.0,,T. Ariza makes 2-pt layup from 2 ft,67,61
3,11:15.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by S. Curry),,69,61
3,11:02.0,,T. Bryant makes 3-pt jump shot from 26 ft (assist by T. Satoranský),69,64
3,10:49.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Cousins),,71,64
3,10:34.0,,Personal foul by D. Cousins (drawn by T. Bryant),71,64
3,10:25.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by J. Green),71,67
3,10:04.0,D. Cousins misses 2-pt jump shot from 21 ft,,71,67
3,10:01.0,Offensive rebound by D. Green,,71,67
3,10:00.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),,74,67
3,9:43.0,,J. Green misses 3-pt jump shot from 25 ft,74,67
3,9:43.0,Defensive rebound by D. Cousins,,74,67
3,9:30.0,K. Thompson misses 2-pt jump shot from 18 ft,,74,67
3,9:30.0,,Defensive rebound by J. Green,74,67
3,9:20.0,,B. Beal misses 3-pt jump shot from 27 ft,74,67
3,9:17.0,Defensive rebound by D. Green,,74,67
3,9:14.0,D. Cousins makes 2-pt layup from 2 ft (assist by K. Durant),,76,67
3,8:54.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),76,69
3,8:54.0,,Shooting foul by D. Green (drawn by T. Bryant),76,69
3,8:54.0,,T. Bryant misses free throw 1 of 1,76,69
3,8:52.0,Defensive rebound by D. Green,,76,69
3,8:44.0,Turnover by S. Curry (traveling),,76,69
3,8:31.0,,B. Beal misses 2-pt jump shot from 13 ft (block by S. Curry),76,69
3,8:30.0,Defensive rebound by D. Green,,76,69
3,8:30.0,Personal foul by B. Beal (drawn by S. Curry),,76,69
3,8:22.0,Personal foul by B. Beal (drawn by D. Cousins),,76,69
3,8:13.0,D. Green makes 2-pt layup from 3 ft (assist by K. Thompson),,78,69
3,7:58.0,,J. Green misses 2-pt jump shot from 16 ft,78,69
3,7:57.0,Defensive rebound by S. Curry,,78,69
3,7:44.0,K. Durant makes 3-pt jump shot from 29 ft,,81,69
3,7:24.0,,T. Satoranský misses 3-pt jump shot from 26 ft,81,69
3,7:21.0,Defensive rebound by K. Durant,,81,69
3,7:13.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Cousins),,83,69
3,7:13.0,Shooting foul by J. Green (drawn by S. Curry),,83,69
3,7:13.0,S. Curry makes free throw 1 of 1,,84,69
3,7:13.0,,Washington full timeout,84,69
3,6:56.0,,T. Ariza misses 2-pt layup from 2 ft,84,69
3,6:54.0,Defensive rebound by D. Cousins,,84,69
3,6:34.0,D. Green misses 2-pt layup from 1 ft,,84,69
3,6:32.0,,Defensive rebound by B. Beal,84,69
3,6:29.0,,B. Beal misses 3-pt jump shot from 27 ft,84,69
3,6:27.0,,Offensive rebound by B. Beal,84,69
3,6:23.0,,J. Green misses 2-pt jump shot from 20 ft,84,69
3,6:21.0,,Offensive rebound by B. Beal,84,69
3,6:20.0,,B. Beal makes 3-pt jump shot from 26 ft,84,72
3,5:56.0,K. Thompson misses 2-pt jump shot from 10 ft,,84,72
3,5:54.0,,Defensive rebound by B. Beal,84,72
3,5:48.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),84,74
3,5:34.0,S. Curry misses 3-pt jump shot from 23 ft,,84,74
3,5:31.0,,Defensive rebound by T. Satoranský,84,74
3,5:19.0,,T. Bryant makes 2-pt jump shot from 22 ft,84,76
3,5:08.0,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),,86,76
3,5:08.0,Shooting foul by T. Bryant (drawn by S. Curry),,86,76
3,5:08.0,A. Iguodala enters the game for D. Cousins,,86,76
3,5:08.0,K. Looney enters the game for D. Green,,86,76
3,5:08.0,,O. Porter enters the game for J. Green,86,76
3,5:08.0,S. Curry makes free throw 1 of 1,,87,76
3,4:57.0,,Personal foul by S. Curry (drawn by T. Satoranský),87,76
3,4:48.0,,B. Beal makes 2-pt layup from 3 ft,87,78
3,4:36.0,K. Looney makes 2-pt dunk from 2 ft (assist by S. Curry),,89,78
3,4:29.0,,T. Satoranský misses 3-pt jump shot from 26 ft,89,78
3,4:27.0,Defensive rebound by A. Iguodala,,89,78
3,4:23.0,K. Thompson makes 2-pt layup at rim (assist by A. Iguodala),,91,78
3,4:07.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Bryant),91,81
3,3:57.0,K. Thompson makes 2-pt jump shot from 9 ft (assist by S. Curry),,93,81
3,3:43.0,,Turnover by B. Beal (lost ball; steal by A. Iguodala),93,81
3,3:40.0,Shooting foul by O. Porter (drawn by A. Iguodala),,93,81
3,3:40.0,A. Iguodala misses free throw 1 of 2,,93,81
3,3:40.0,Offensive rebound by Team,,93,81
3,3:40.0,A. McKinnie enters the game for K. Thompson,,93,81
3,3:40.0,,S. Dekker enters the game for T. Bryant,93,81
3,3:40.0,A. Iguodala makes free throw 2 of 2,,94,81
3,3:26.0,,O. Porter makes 2-pt jump shot from 12 ft (assist by T. Satoranský),94,83
3,3:16.0,S. Curry makes 2-pt layup from 3 ft,,96,83
3,3:03.0,,O. Porter misses 3-pt jump shot from 26 ft,96,83
3,2:59.0,Defensive rebound by K. Looney,,96,83
3,2:54.0,S. Curry misses 2-pt layup from 1 ft,,96,83
3,2:50.0,,Defensive rebound by O. Porter,96,83
3,2:49.0,,Shooting foul by K. Looney (drawn by T. Ariza),96,83
3,2:49.0,Golden State full timeout,,96,83
3,2:49.0,,C. Randle enters the game for T. Satoranský,96,83
3,2:49.0,,T. Ariza makes free throw 1 of 2,96,84
3,2:49.0,,T. Ariza makes free throw 2 of 2,96,85
3,2:28.0,K. Durant misses 3-pt jump shot from 30 ft,,96,85
3,2:24.0,,Defensive rebound by B. Beal,96,85
3,2:20.0,,B. Beal makes 2-pt jump shot from 3 ft,96,87
3,2:09.0,Shooting foul by O. Porter (drawn by K. Durant),,96,87
3,2:09.0,K. Durant makes free throw 1 of 2,,97,87
3,2:09.0,K. Durant makes free throw 2 of 2,,98,87
3,1:52.0,,C. Randle makes 3-pt jump shot from 28 ft (assist by T. Ariza),98,90
3,1:35.0,S. Curry makes 2-pt jump shot from 17 ft,,100,90
3,1:35.0,D. Green enters the game for S. Curry,,100,90
3,1:12.0,,O. Porter misses 3-pt jump shot from 24 ft,100,90
3,1:07.0,Defensive rebound by D. Green,,100,90
3,1:03.0,K. Durant misses 2-pt jump shot from 14 ft,,100,90
3,1:01.0,Offensive rebound by K. Looney,,100,90
3,1:01.0,Shooting foul by O. Porter (drawn by K. Looney),,100,90
3,1:01.0,K. Looney makes free throw 1 of 2,,101,90
3,1:01.0,K. Looney makes free throw 2 of 2,,102,90
3,0:48.0,,C. Randle misses 2-pt layup from 3 ft,102,90
3,0:45.0,Defensive rebound by K. Looney,,102,90
3,0:37.0,K. Durant misses 2-pt jump shot from 11 ft,,102,90
3,0:34.0,,Defensive rebound by S. Dekker,102,90
3,0:29.0,,Personal foul by D. Green (drawn by T. Ariza),102,90
3,0:29.0,,T. Ariza makes free throw 1 of 2,102,91
3,0:29.0,,T. Ariza makes free throw 2 of 2,102,92
3,0:15.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,104,92
4,11:37.0,Turnover by D. Cousins (bad pass; steal by T. Satoranský),,104,92
4,11:33.0,,T. Satoranský makes 2-pt dunk from 2 ft (assist by S. Dekker),104,94
4,11:16.0,D. Cousins makes 2-pt hook shot from 3 ft,,106,94
4,10:58.0,,S. Dekker misses 2-pt layup from 7 ft,106,94
4,10:52.0,,Offensive rebound by T. Ariza,106,94
4,10:52.0,,T. Ariza makes 2-pt layup from 1 ft,106,96
4,10:40.0,D. Green misses 3-pt jump shot from 26 ft,,106,96
4,10:37.0,,Defensive rebound by O. Porter,106,96
4,10:36.0,,Personal foul by S. Livingston (drawn by O. Porter),106,96
4,10:29.0,,C. Randle makes 2-pt jump shot from 20 ft,106,98
4,10:14.0,K. Thompson misses 2-pt layup from 1 ft,,106,98
4,10:12.0,,Defensive rebound by C. Randle,106,98
4,9:57.0,,C. Randle makes 3-pt jump shot from 23 ft,106,101
4,9:42.0,Offensive foul by S. Livingston (drawn by C. Randle),,106,101
4,9:42.0,Turnover by S. Livingston (offensive foul),,106,101
4,9:14.0,,T. Satoranský makes 2-pt jump shot from 9 ft (assist by C. Randle),106,103
4,8:56.0,D. Cousins makes 2-pt hook shot from 2 ft,,108,103
4,8:40.0,,O. Porter misses 3-pt jump shot from 25 ft,108,103
4,8:37.0,Defensive rebound by D. Cousins,,108,103
4,8:25.0,Turnover by D. Green (bad pass; steal by O. Porter),,108,103
4,8:21.0,,Turnover by T. Ariza (bad pass),108,103
4,8:21.0,A. McKinnie enters the game for A. Iguodala,,108,103
4,8:05.0,Personal foul by O. Porter (drawn by K. Thompson),,108,103
4,8:05.0,Golden State full timeout,,108,103
4,8:05.0,K. Looney enters the game for D. Green,,108,103
4,8:05.0,,B. Beal enters the game for T. Ariza,108,103
4,7:53.0,A. McKinnie misses 2-pt layup from 4 ft (block by O. Porter),,108,103
4,7:49.0,,Defensive rebound by B. Beal,108,103
4,7:47.0,,C. Randle makes 3-pt jump shot from 25 ft (assist by T. Satoranský),108,106
4,7:35.0,K. Thompson misses 2-pt jump shot from 13 ft,,108,106
4,7:31.0,,Defensive rebound by C. Randle,108,106
4,7:19.0,,B. Beal misses 3-pt jump shot from 25 ft,108,106
4,7:17.0,Defensive rebound by A. McKinnie,,108,106
4,7:17.0,Personal foul by S. Dekker (drawn by A. McKinnie),,108,106
4,7:12.0,Personal foul by S. Dekker (drawn by D. Cousins),,108,106
4,7:04.0,Turnover by S. Livingston (bad pass; steal by B. Beal),,108,106
4,6:57.0,,S. Dekker misses 2-pt layup from 2 ft,108,106
4,6:55.0,Defensive rebound by K. Looney,,108,106
4,6:50.0,Shooting foul by C. Randle (drawn by S. Livingston),,108,106
4,6:50.0,S. Livingston makes free throw 1 of 2,,109,106
4,6:50.0,S. Curry enters the game for K. Thompson,,109,106
4,6:50.0,,J. Green enters the game for S. Dekker,109,106
4,6:50.0,S. Livingston makes free throw 2 of 2,,110,106
4,6:36.0,,Personal foul by S. Curry (drawn by C. Randle),110,106
4,6:36.0,K. Durant enters the game for D. Cousins,,110,106
4,6:27.0,,B. Beal misses 2-pt layup from 1 ft,110,106
4,6:25.0,Defensive rebound by S. Livingston,,110,106
4,6:20.0,S. Livingston misses 2-pt layup from 1 ft,,110,106
4,6:17.0,Offensive rebound by A. McKinnie,,110,106
4,6:17.0,A. McKinnie makes 2-pt dunk at rim,,112,106
4,6:09.0,,Turnover by B. Beal (lost ball; steal by A. McKinnie),112,106
4,5:58.0,K. Looney makes 2-pt dunk at rim (assist by S. Livingston),,114,106
4,5:57.0,,Washington full timeout,114,106
4,5:57.0,,T. Ariza enters the game for C. Randle,114,106
4,5:40.0,,O. Porter misses 3-pt jump shot from 27 ft,114,106
4,5:34.0,,Offensive rebound by T. Satoranský,114,106
4,5:34.0,,T. Satoranský misses 2-pt dunk from 1 ft,114,106
4,5:33.0,Defensive rebound by A. McKinnie,,114,106
4,5:33.0,Turnover by A. McKinnie (bad pass; steal by T. Ariza),,114,106
4,5:30.0,,T. Ariza misses 3-pt jump shot from 26 ft,114,106
4,5:29.0,,Offensive rebound by B. Beal,114,106
4,5:28.0,,B. Beal misses 3-pt jump shot from 26 ft,114,106
4,5:26.0,Defensive rebound by S. Curry,,114,106
4,5:10.0,S. Curry misses 3-pt jump shot from 32 ft,,114,106
4,5:07.0,,Defensive rebound by Team,114,106
4,4:52.0,,Turnover by J. Green (lost ball; steal by K. Looney),114,106
4,4:48.0,S. Livingston makes 2-pt jump shot from 6 ft,,116,106
4,4:48.0,Shooting foul by B. Beal (drawn by S. Livingston),,116,106
4,4:48.0,D. Green enters the game for K. Looney,,116,106
4,4:48.0,S. Livingston makes free throw 1 of 1,,117,106
4,4:36.0,,B. Beal misses 2-pt layup from 4 ft,117,106
4,4:34.0,Defensive rebound by S. Livingston,,117,106
4,4:32.0,Turnover by S. Curry (lost ball; steal by T. Ariza),,117,106
4,4:18.0,,B. Beal makes 2-pt layup from 3 ft,117,108
4,3:56.0,A. McKinnie makes 2-pt dunk from 2 ft (assist by S. Livingston),,119,108
4,3:43.0,,J. Green makes 2-pt layup from 1 ft (assist by T. Satoranský),119,110
4,3:43.0,,Shooting foul by D. Green (drawn by J. Green),119,110
4,3:43.0,A. Iguodala enters the game for S. Livingston,,119,110
