QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
2,8:23.0,T. Dorsey makes free throw 1 of 2,,33,32
2,8:23.0,,W. Matthews enters the game for D. Harris,33,32
2,8:23.0,T. Dorsey makes free throw 2 of 2,,34,32
2,8:09.0,,J. Barea makes 2-pt jump shot from 9 ft,34,34
2,8:07.0,,Violation by Team (delay of game),34,34
2,7:51.0,Personal foul by D. Finney-Smith (drawn by T. Young),,34,34
2,7:51.0,,L. Dončić enters the game for J. Barea,34,34
2,7:51.0,,D. Jordan enters the game for D. Powell,34,34
2,7:43.0,T. Dorsey misses 3-pt jump shot from 25 ft,,34,34
2,7:39.0,,Defensive rebound by D. Finney-Smith,34,34
2,7:33.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,34,34
2,7:29.0,Defensive rebound by K. Huerter,,34,34
2,7:24.0,Turnover by T. Dorsey (traveling),,34,34
2,7:24.0,K. Bazemore enters the game for T. Dorsey,,34,34
2,7:11.0,,W. Matthews makes 2-pt layup from 3 ft (assist by D. Jordan),34,36
2,7:11.0,,H. Barnes enters the game for M. Kleber,34,36
2,6:54.0,K. Huerter makes 2-pt layup from 1 ft (assist by T. Young),,36,36
2,6:41.0,,Shooting foul by K. Huerter (drawn by L. Dončić),36,36
2,6:41.0,,Dallas full timeout,36,36
2,6:41.0,,L. Dončić makes free throw 1 of 2,36,37
2,6:41.0,,L. Dončić makes free throw 2 of 2,36,38
2,6:29.0,Turnover by J. Collins (offensive foul),,36,38
2,6:29.0,Offensive foul by J. Collins (drawn by W. Matthews),,36,38
2,6:11.0,,D. Finney-Smith makes 2-pt jump shot from 18 ft (assist by L. Dončić),36,40
2,5:50.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by T. Young),,39,40
2,5:36.0,,L. Dončić misses 2-pt layup from 5 ft,39,40
2,5:34.0,Defensive rebound by D. Dedmon,,39,40
2,5:29.0,J. Collins makes 2-pt dunk from 2 ft (assist by K. Huerter),,41,40
2,5:01.0,,W. Matthews misses 3-pt jump shot from 25 ft,41,40
2,4:58.0,,Offensive rebound by D. Finney-Smith,41,40
2,4:57.0,,D. Finney-Smith makes 2-pt layup from 1 ft,41,42
2,4:46.0,J. Collins misses 2-pt jump shot from 7 ft (block by W. Matthews),,41,42
2,4:44.0,,Defensive rebound by L. Dončić,41,42
2,4:43.0,,Turnover by L. Dončić (palming),41,42
2,4:43.0,,J. Brunson enters the game for D. Finney-Smith,41,42
2,4:29.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by T. Young),,44,42
2,4:05.0,,H. Barnes makes 2-pt jump shot from 4 ft,44,44
2,3:49.0,T. Young makes 2-pt jump shot from 8 ft,,46,44
2,3:28.0,,H. Barnes misses 2-pt layup from 2 ft,46,44
2,3:26.0,,Offensive rebound by D. Jordan,46,44
2,3:26.0,,Shooting foul by K. Bazemore (drawn by D. Jordan),46,44
2,3:26.0,D. Bembry enters the game for D. Dedmon,,46,44
2,3:26.0,A. Len enters the game for T. Young,,46,44
2,3:26.0,,D. Jordan makes free throw 1 of 2,46,45
2,3:26.0,,D. Jordan makes free throw 2 of 2,46,46
2,3:12.0,J. Collins misses 2-pt layup from 1 ft,,46,46
2,3:10.0,Offensive rebound by J. Collins,,46,46
2,3:09.0,J. Collins makes 2-pt dunk from 1 ft,,48,46
2,3:08.0,,Dallas full timeout,48,46
2,2:51.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),48,48
2,2:27.0,D. Bembry misses 2-pt layup from 6 ft,,48,48
2,2:24.0,,Defensive rebound by D. Jordan,48,48
2,2:10.0,,W. Matthews misses 2-pt jump shot from 16 ft,48,48
2,2:08.0,Defensive rebound by D. Bembry,,48,48
2,2:05.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),,50,48
2,2:05.0,Shooting foul by W. Matthews (drawn by J. Collins),,50,48
2,2:05.0,,D. Finney-Smith enters the game for W. Matthews,50,48
2,2:05.0,J. Collins misses free throw 1 of 1,,50,48
2,2:03.0,,Defensive rebound by L. Dončić,50,48
2,1:47.0,,L. Dončić misses 2-pt jump shot from 21 ft,50,48
2,1:43.0,Defensive rebound by J. Collins,,50,48
2,1:39.0,K. Bazemore misses 3-pt jump shot from 25 ft,,50,48
2,1:35.0,,Defensive rebound by D. Finney-Smith,50,48
2,1:26.0,,H. Barnes misses 2-pt jump shot from 16 ft,50,48
2,1:23.0,Defensive rebound by K. Bazemore,,50,48
2,1:18.0,J. Collins misses 3-pt jump shot from 25 ft,,50,48
2,1:15.0,,Defensive rebound by D. Jordan,50,48
2,1:00.0,,Shooting foul by A. Len (drawn by D. Finney-Smith),50,48
2,1:00.0,,D. Finney-Smith misses free throw 1 of 2,50,48
2,1:00.0,,Offensive rebound by Team,50,48
2,1:00.0,T. Young enters the game for D. Bembry,,50,48
2,1:00.0,,D. Finney-Smith makes free throw 2 of 2,50,49
2,0:43.0,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Collins),,52,49
2,0:29.0,,L. Dončić makes 2-pt jump shot from 10 ft,52,51
2,0:11.0,T. Young misses 2-pt layup from 3 ft,,52,51
2,0:10.0,,Defensive rebound by Team,52,51
2,0:01.0,,L. Dončić misses 2-pt jump shot from 19 ft (block by K. Huerter),52,51
2,0:00.0,,Offensive rebound by Team,52,51
3,11:40.0,Turnover by K. Bazemore (bad pass; steal by H. Barnes),,52,51
3,11:20.0,,Shooting foul by K. Bazemore (drawn by W. Matthews),52,51
3,11:20.0,,W. Matthews makes free throw 1 of 2,52,52
3,11:20.0,,W. Matthews makes free throw 2 of 2,52,53
3,10:59.0,D. Dedmon misses 2-pt hook shot from 4 ft,,52,53
3,10:57.0,,Defensive rebound by D. Jordan,52,53
3,10:53.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),52,55
3,10:39.0,Turnover by K. Huerter (bad pass; steal by W. Matthews),,52,55
3,10:34.0,,J. Brunson misses 3-pt jump shot from 23 ft,52,55
3,10:30.0,Defensive rebound by J. Collins,,52,55
3,10:27.0,Shooting foul by H. Barnes (drawn by K. Bazemore),,52,55
3,10:27.0,K. Bazemore makes free throw 1 of 2,,53,55
3,10:27.0,K. Bazemore makes free throw 2 of 2,,54,55
3,10:16.0,,H. Barnes makes 2-pt layup at rim (assist by W. Matthews),54,57
3,10:02.0,D. Dedmon misses 3-pt jump shot from 24 ft,,54,57
3,10:00.0,,Defensive rebound by D. Jordan,54,57
3,9:48.0,,L. Dončić misses 3-pt jump shot from 26 ft,54,57
3,9:44.0,Defensive rebound by J. Collins,,54,57
3,9:38.0,T. Young makes 2-pt jump shot from 23 ft,,56,57
3,9:27.0,,H. Barnes misses 3-pt jump shot from 25 ft,56,57
3,9:23.0,Defensive rebound by K. Bazemore,,56,57
3,9:21.0,Turnover by K. Huerter (lost ball; steal by J. Brunson),,56,57
3,9:08.0,,W. Matthews misses 3-pt jump shot from 23 ft,56,57
3,9:05.0,Defensive rebound by D. Dedmon,,56,57
3,8:57.0,K. Huerter misses 3-pt jump shot from 23 ft,,56,57
3,8:54.0,Offensive rebound by J. Collins,,56,57
3,8:51.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by T. Young),,59,57
3,8:35.0,,H. Barnes misses 3-pt jump shot from 25 ft,59,57
3,8:34.0,,Offensive rebound by Team,59,57
3,8:25.0,,Turnover by L. Dončić (lost ball; steal by K. Huerter),59,57
3,8:20.0,T. Young misses 2-pt jump shot from 15 ft,,59,57
3,8:17.0,Offensive rebound by J. Collins,,59,57
3,8:16.0,J. Collins makes 2-pt layup from 1 ft,,61,57
3,8:00.0,,H. Barnes misses 2-pt jump shot from 5 ft (block by J. Collins),61,57
3,7:58.0,Defensive rebound by J. Collins,,61,57
3,7:58.0,Technical foul by R. Carlisle,,61,57
3,7:58.0,Technical foul by R. Carlisle,,61,57
3,7:58.0,D. Dedmon makes technical free throw,,62,57
3,7:58.0,D. Dedmon makes technical free throw,,63,57
3,7:58.0,,R. Carlisle ejected from game,63,57
3,7:38.0,D. Dedmon misses 2-pt jump shot from 16 ft,,63,57
3,7:36.0,,Defensive rebound by D. Jordan,63,57
3,7:26.0,,Turnover by W. Matthews (bad pass; steal by T. Young),63,57
3,7:20.0,T. Young misses 3-pt jump shot from 29 ft,,63,57
3,7:17.0,,Defensive rebound by L. Dončić,63,57
3,7:12.0,,Turnover by W. Matthews (bad pass),63,57
3,7:01.0,Offensive foul by T. Young (drawn by J. Brunson),,63,57
3,7:01.0,Turnover by T. Young (offensive foul),,63,57
3,6:50.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by J. Brunson),63,60
3,6:31.0,Turnover by K. Bazemore (lost ball; steal by W. Matthews),,63,60
3,6:23.0,,Personal foul by J. Collins (drawn by L. Dončić),63,60
3,6:23.0,,Dallas full timeout,63,60
3,6:23.0,J. Anderson enters the game for J. Collins,,63,60
3,6:23.0,D. Bembry enters the game for D. Dedmon,,63,60
3,6:23.0,V. Carter enters the game for K. Huerter,,63,60
3,6:23.0,A. Len enters the game for T. Young,,63,60
3,6:13.0,,W. Matthews misses 3-pt jump shot from 25 ft,63,60
3,6:07.0,Defensive rebound by D. Bembry,,63,60
3,6:05.0,Offensive foul by D. Bembry (drawn by W. Matthews),,63,60
3,6:05.0,Turnover by D. Bembry (offensive foul),,63,60
3,5:59.0,,Personal foul by J. Anderson (drawn by L. Dončić),63,60
3,5:53.0,,Turnover by L. Dončić (traveling),63,60
3,5:35.0,Turnover by D. Bembry (bad pass; steal by L. Dončić),,63,60
3,5:30.0,,L. Dončić misses 2-pt layup from 1 ft,63,60
3,5:27.0,,Offensive rebound by L. Dončić,63,60
3,5:20.0,,Shooting foul by D. Bembry (drawn by L. Dončić),63,60
3,5:20.0,,L. Dončić makes free throw 1 of 3,63,61
3,5:20.0,,L. Dončić makes free throw 2 of 3,63,62
3,5:20.0,,L. Dončić makes free throw 3 of 3,63,63
3,5:05.0,K. Bazemore makes 2-pt layup from 2 ft,,65,63
3,5:05.0,Shooting foul by L. Dončić (drawn by K. Bazemore),,65,63
3,5:05.0,,J. Barea enters the game for J. Brunson,65,63
3,5:05.0,K. Bazemore makes free throw 1 of 1,,66,63
3,4:50.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by J. Barea),66,66
3,4:35.0,V. Carter misses 2-pt layup from 4 ft,,66,66
3,4:34.0,,Defensive rebound by H. Barnes,66,66
3,4:28.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by W. Matthews),66,69
3,4:26.0,Atlanta full timeout,,66,69
3,4:26.0,T. Dorsey enters the game for J. Anderson,,66,69
3,4:26.0,K. Huerter enters the game for K. Bazemore,,66,69
3,4:26.0,T. Young enters the game for D. Bembry,,66,69
3,4:26.0,,D. Finney-Smith enters the game for W. Matthews,66,69
3,4:09.0,A. Len makes 2-pt hook shot from 9 ft (assist by V. Carter),,68,69
3,3:45.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Barea),68,71
3,3:22.0,T. Young misses 2-pt jump shot from 8 ft (block by L. Dončić),,68,71
3,3:19.0,,Defensive rebound by H. Barnes,68,71
3,3:16.0,,Shooting foul by V. Carter (drawn by H. Barnes),68,71
3,3:16.0,,H. Barnes makes free throw 1 of 2,68,72
3,3:16.0,J. Collins enters the game for A. Len,,68,72
3,3:16.0,,H. Barnes makes free throw 2 of 2,68,73
3,2:56.0,T. Young makes 2-pt layup at rim (assist by T. Dorsey),,70,73
3,2:39.0,,H. Barnes misses 2-pt layup from 2 ft,70,73
3,2:36.0,Defensive rebound by J. Collins,,70,73
3,2:30.0,T. Young makes 2-pt layup at rim,,72,73
3,2:19.0,,Personal foul by T. Young (drawn by H. Barnes),72,73
3,2:19.0,,H. Barnes makes free throw 1 of 2,72,74
3,2:19.0,,D. Harris enters the game for L. Dončić,72,74
3,2:19.0,,D. Powell enters the game for D. Jordan,72,74
3,2:19.0,,H. Barnes makes free throw 2 of 2,72,75
3,2:01.0,J. Collins makes 2-pt dunk at rim (assist by T. Dorsey),,74,75
3,1:48.0,,H. Barnes misses 2-pt jump shot from 6 ft,74,75
3,1:48.0,Defensive rebound by Team,,74,75
3,1:48.0,,M. Kleber enters the game for H. Barnes,74,75
3,1:37.0,T. Young makes 2-pt jump shot from 11 ft,,76,75
3,1:25.0,,Def 3 sec tech foul by Team,76,75
3,1:25.0,,J. Barea makes technical free throw,76,76
3,1:20.0,,Turnover by J. Barea (bad pass; steal by V. Carter),76,76
3,1:16.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,78,76
3,1:00.0,,J. Barea makes 3-pt jump shot from 26 ft (assist by D. Harris),78,79
3,0:44.0,T. Dorsey misses 2-pt layup from 3 ft (block by M. Kleber),,78,79
3,0:42.0,Offensive rebound by T. Dorsey,,78,79
3,0:40.0,K. Huerter misses 3-pt jump shot from 24 ft,,78,79
3,0:40.0,,Defensive rebound by Team,78,79
3,0:40.0,Loose ball foul by J. Collins (drawn by D. Harris),,78,79
3,0:40.0,,D. Harris makes free throw 1 of 2,78,80
3,0:40.0,K. Bazemore enters the game for T. Dorsey,,78,80
3,0:40.0,,D. Harris makes free throw 2 of 2,78,81
3,0:40.0,Atlanta full timeout,,78,81
3,0:40.0,D. Dedmon enters the game for J. Collins,,78,81
3,0:40.0,,J. Brunson enters the game for J. Barea,78,81
3,0:26.0,V. Carter misses 3-pt jump shot from 25 ft,,78,81
3,0:25.0,Offensive rebound by D. Dedmon,,78,81
3,0:25.0,Personal foul by D. Powell (drawn by D. Dedmon),,78,81
3,0:21.0,Turnover by K. Huerter (offensive foul),,78,81
3,0:21.0,Offensive foul by K. Huerter (drawn by D. Powell),,78,81
3,0:01.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,78,81
3,0:01.0,Defensive rebound by V. Carter,,78,81
3,0:00.0,V. Carter misses 3-pt jump shot from 63 ft,,78,81
3,0:00.0,Offensive rebound by Team,,78,81
4,11:46.0,,M. Kleber makes 2-pt dunk at rim (assist by D. Harris),78,83
4,11:26.0,J. Adams misses 2-pt jump shot from 19 ft,,78,83
4,11:23.0,,Defensive rebound by M. Kleber,78,83
4,11:10.0,,Shooting foul by D. Bembry (drawn by D. Powell),78,83
4,11:10.0,,D. Powell misses free throw 1 of 2,78,83
4,11:10.0,,Offensive rebound by Team,78,83
4,11:10.0,,D. Powell makes free throw 2 of 2,78,84
4,11:03.0,Shooting foul by D. Powell (drawn by K. Bazemore),,78,84
4,11:03.0,K. Bazemore misses free throw 1 of 2,,78,84
4,11:03.0,Offensive rebound by Team,,78,84
4,11:03.0,K. Bazemore misses free throw 2 of 2,,78,84
4,11:00.0,Offensive rebound by D. Dedmon,,78,84
4,11:00.0,Turnover by D. Dedmon (lost ball; steal by D. Harris),,78,84
4,10:44.0,,Shooting foul by K. Bazemore (drawn by D. Harris),78,84
4,10:44.0,,D. Harris makes free throw 1 of 2,78,85
4,10:44.0,,D. Harris misses free throw 2 of 2,78,85
4,10:42.0,Defensive rebound by V. Carter,,78,85
4,10:31.0,Turnover by K. Bazemore (lost ball; steal by D. Finney-Smith),,78,85
4,10:27.0,,Turnover by D. Harris (lost ball; steal by K. Bazemore),78,85
4,10:21.0,D. Bembry misses 3-pt jump shot from 24 ft,,78,85
4,10:17.0,,Defensive rebound by D. Finney-Smith,78,85
4,9:59.0,,J. Barea makes 2-pt jump shot from 9 ft,78,87
4,9:40.0,K. Bazemore misses 2-pt jump shot from 18 ft,,78,87
4,9:40.0,,Defensive rebound by J. Barea,78,87
4,9:24.0,,D. Harris misses 3-pt jump shot from 25 ft,78,87
4,9:22.0,,Offensive rebound by Team,78,87
4,9:22.0,,Shooting foul by D. Dedmon (drawn by D. Finney-Smith),78,87
4,9:22.0,,D. Finney-Smith misses free throw 1 of 2,78,87
4,9:22.0,,Offensive rebound by Team,78,87
4,9:22.0,J. Collins enters the game for J. Adams,,78,87
4,9:22.0,K. Huerter enters the game for K. Bazemore,,78,87
4,9:22.0,T. Young enters the game for V. Carter,,78,87
4,9:22.0,,L. Dončić enters the game for J. Barea,78,87
4,9:22.0,,D. Finney-Smith makes free throw 2 of 2,78,88
4,9:02.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by D. Bembry),,81,88
4,8:39.0,,M. Kleber makes 2-pt layup at rim (assist by D. Harris),81,90
4,8:28.0,Turnover by T. Young (lost ball; steal by D. Finney-Smith),,81,90
4,8:25.0,,D. Finney-Smith makes 2-pt layup from 1 ft,81,92
4,8:24.0,Atlanta full timeout,,81,92
4,8:10.0,K. Huerter makes 2-pt hook shot from 5 ft,,83,92
4,7:44.0,,L. Dončić misses 3-pt jump shot from 26 ft,83,92
4,7:42.0,Defensive rebound by Team,,83,92
4,7:29.0,K. Huerter misses 2-pt layup from 3 ft,,83,92
4,7:24.0,,Defensive rebound by L. Dončić,83,92
4,7:12.0,,D. Powell makes 2-pt layup from 2 ft (assist by M. Kleber),83,94
4,7:12.0,,Shooting foul by J. Collins (drawn by D. Powell),83,94
4,7:12.0,,W. Matthews enters the game for D. Harris,83,94
4,7:12.0,,D. Powell misses free throw 1 of 1,83,94
4,7:12.0,Defensive rebound by Team,,83,94
4,6:54.0,J. Collins misses 2-pt layup from 4 ft,,83,94
4,6:52.0,Offensive rebound by D. Dedmon,,83,94
4,6:50.0,D. Dedmon makes 2-pt layup from 2 ft,,85,94
4,6:39.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by L. Dončić),85,97
4,6:23.0,Shooting foul by D. Powell (drawn by K. Huerter),,85,97
4,6:23.0,K. Huerter makes free throw 1 of 2,,86,97
4,6:23.0,,D. Jordan enters the game for D. Powell,86,97
4,6:23.0,K. Huerter makes free throw 2 of 2,,87,97
4,6:06.0,,M. Kleber misses 3-pt jump shot from 26 ft,87,97
4,6:03.0,,Offensive rebound by D. Finney-Smith,87,97
4,6:00.0,,L. Dončić misses 3-pt jump shot from 28 ft,87,97
