QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
3,1:16.0,D. Lillard misses 2-pt layup from 3 ft,,78,72
3,1:13.0,Offensive rebound by Z. Collins,,78,72
3,1:10.0,Z. Collins makes 2-pt layup from 1 ft,,80,72
3,0:58.0,,B. Bogdanović misses 2-pt jump shot from 14 ft,80,72
3,0:55.0,Defensive rebound by D. Lillard,,80,72
3,0:43.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Lillard),,83,72
3,0:30.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Jackson),83,75
3,0:06.0,Turnover by D. Lillard (bad pass; steal by Y. Ferrell),,83,75
3,0:00.0,,H. Giles makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),83,77
4,11:44.0,E. Turner makes 2-pt jump shot from 11 ft,,85,77
4,11:28.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),85,79
4,11:15.0,M. Leonard misses 2-pt dunk from 2 ft,,85,79
4,11:13.0,,Defensive rebound by H. Giles,85,79
4,11:06.0,,H. Giles makes 2-pt layup from 1 ft (assist by Y. Ferrell),85,81
4,10:46.0,M. Leonard misses 2-pt layup from 3 ft (block by H. Giles),,85,81
4,10:46.0,,Defensive rebound by Team,85,81
4,10:32.0,,J. Jackson misses 3-pt jump shot from 25 ft,85,81
4,10:28.0,Defensive rebound by Z. Collins,,85,81
4,10:20.0,N. Stauskas misses 3-pt jump shot from 24 ft,,85,81
4,10:18.0,,Defensive rebound by B. Bogdanović,85,81
4,10:15.0,,Y. Ferrell makes 2-pt layup from 2 ft (assist by B. Bogdanović),85,83
4,10:15.0,Portland full timeout,,85,83
4,9:56.0,Turnover by E. Turner (bad pass; steal by B. Bogdanović),,85,83
4,9:42.0,,Personal foul by N. Stauskas (drawn by J. Jackson),85,83
4,9:42.0,C. McCollum enters the game for E. Turner,,85,83
4,9:33.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,85,85
4,9:16.0,C. McCollum misses 2-pt layup from 2 ft,,85,85
4,9:14.0,,Defensive rebound by H. Giles,85,85
4,9:09.0,,Y. Ferrell makes 2-pt layup from 2 ft,85,87
4,8:55.0,Turnover by Z. Collins (lost ball; steal by H. Giles),,85,87
4,8:42.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,85,89
4,8:42.0,Portland full timeout,,85,89
4,8:42.0,A. Aminu enters the game for Z. Collins,,85,89
4,8:42.0,D. Lillard enters the game for M. Leonard,,85,89
4,8:42.0,J. Nurkić enters the game for N. Stauskas,,85,89
4,8:26.0,D. Lillard makes 2-pt jump shot from 13 ft (assist by C. McCollum),,87,89
4,7:58.0,,B. Bogdanović makes 2-pt jump shot from 5 ft,87,91
4,7:44.0,J. Nurkić misses 2-pt layup from 3 ft,,87,91
4,7:42.0,,Defensive rebound by N. Bjelica,87,91
4,7:34.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by N. Bjelica),87,94
4,7:10.0,D. Lillard misses 3-pt jump shot from 25 ft,,87,94
4,7:07.0,,Defensive rebound by N. Bjelica,87,94
4,6:56.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,87,94
4,6:53.0,Defensive rebound by J. Nurkić,,87,94
4,6:39.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by S. Curry),,90,94
4,6:25.0,,Sacramento full timeout,90,94
4,6:25.0,M. Harkless enters the game for S. Curry,,90,94
4,6:25.0,,W. Cauley-Stein enters the game for Y. Ferrell,90,94
4,6:25.0,,D. Fox enters the game for H. Giles,90,94
4,6:16.0,,Turnover by D. Fox (bad pass; steal by J. Nurkić),90,94
4,5:59.0,Turnover by M. Harkless (bad pass; steal by B. Bogdanović),,90,94
4,5:54.0,,J. Jackson misses 3-pt jump shot from 23 ft,90,94
4,5:50.0,Defensive rebound by J. Nurkić,,90,94
4,5:41.0,Turnover by D. Lillard (bad pass; steal by J. Jackson),,90,94
4,5:36.0,,D. Fox misses 2-pt jump shot from 3 ft,90,94
4,5:35.0,,Offensive rebound by Team,90,94
