QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
1,8:49.0,,J. Ingles misses 2-pt layup from 4 ft (block by B. Lopez),11,0
1,8:49.0,,Offensive rebound by Team,11,0
1,8:49.0,,J. Crowder enters the game for D. Favors,11,0
1,8:41.0,,Shooting foul by E. İlyasova (drawn by D. Mitchell),11,0
1,8:41.0,,D. Mitchell makes free throw 1 of 2,11,1
1,8:41.0,,D. Mitchell makes free throw 2 of 2,11,2
1,8:21.0,K. Middleton makes 2-pt jump shot from 13 ft,,13,2
1,8:08.0,,R. Rubio misses 2-pt jump shot from 4 ft,13,2
1,8:08.0,,Offensive rebound by R. Gobert,13,2
1,8:08.0,,Shooting foul by B. Lopez (drawn by R. Gobert),13,2
1,8:08.0,,Offensive rebound by Team,13,2
1,8:08.0,,R. Gobert misses free throw 1 of 2,13,2
1,8:08.0,P. Connaughton enters the game for E. İlyasova,,13,2
1,8:08.0,,R. Gobert makes free throw 2 of 2,13,3
1,7:52.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,16,3
1,7:41.0,,R. Gobert misses 2-pt layup from 4 ft,16,3
1,7:39.0,Defensive rebound by B. Lopez,,16,3
1,7:29.0,Turnover by K. Middleton (bad pass; steal by J. Crowder),,16,3
1,7:21.0,,J. Ingles makes 3-pt jump shot from 24 ft,16,6
1,7:10.0,Personal foul by R. Rubio (drawn by P. Connaughton),,16,6
1,7:10.0,,K. Korver enters the game for R. Rubio,16,6
1,7:06.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,16,6
1,7:03.0,,Defensive rebound by R. Gobert,16,6
1,6:52.0,,J. Ingles misses 2-pt layup from 2 ft,16,6
1,6:50.0,,Offensive rebound by R. Gobert,16,6
1,6:48.0,,R. Gobert misses 2-pt layup from 3 ft (block by B. Lopez),16,6
1,6:45.0,,J. Ingles misses 2-pt layup from 4 ft (block by B. Lopez),16,6
1,6:48.0,,Offensive rebound by J. Ingles,16,6
1,6:44.0,Defensive rebound by K. Middleton,,16,6
1,6:44.0,Personal foul by D. Mitchell (drawn by K. Middleton),,16,6
1,6:36.0,N. Mirotić misses 3-pt jump shot from 28 ft,,16,6
1,6:33.0,,Defensive rebound by R. Gobert,16,6
1,6:21.0,,R. Gobert misses 2-pt dunk from 2 ft (block by B. Lopez),16,6
1,6:19.0,Defensive rebound by G. Antetokounmpo,,16,6
1,6:17.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,16,6
1,6:17.0,D. Wilson enters the game for N. Mirotić,,16,6
1,6:17.0,,R. O'Neale enters the game for D. Mitchell,16,6
1,6:17.0,G. Antetokounmpo makes free throw 1 of 2,,17,6
1,6:17.0,G. Antetokounmpo makes free throw 2 of 2,,18,6
1,6:10.0,,K. Korver misses 3-pt jump shot from 25 ft (block by P. Connaughton),18,6
1,6:06.0,,Offensive rebound by K. Korver,18,6
1,6:05.0,,J. Ingles misses 3-pt jump shot from 25 ft,18,6
1,6:03.0,Defensive rebound by G. Antetokounmpo,,18,6
1,5:58.0,P. Connaughton misses 3-pt jump shot from 23 ft,,18,6
1,5:55.0,Offensive rebound by P. Connaughton,,18,6
1,5:53.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by P. Connaughton),,20,6
1,5:38.0,,Turnover by R. O'Neale (step out of bounds),20,6
1,5:38.0,I. Canaan enters the game for G. Antetokounmpo,,20,6
1,5:28.0,K. Middleton misses 3-pt jump shot from 25 ft,,20,6
1,5:25.0,,Defensive rebound by R. O'Neale,20,6
1,5:20.0,,Turnover by J. Ingles (offensive foul),20,6
1,5:20.0,,Offensive foul by J. Ingles (drawn by P. Connaughton),20,6
1,5:20.0,,D. Favors enters the game for R. Gobert,20,6
1,5:20.0,,D. Mitchell enters the game for J. Ingles,20,6
1,4:58.0,P. Connaughton misses 3-pt jump shot from 26 ft,,20,6
1,4:54.0,,Defensive rebound by D. Favors,20,6
1,4:51.0,,D. Mitchell makes 2-pt layup from 3 ft,20,8
1,4:30.0,Turnover by K. Middleton (bad pass; steal by J. Crowder),,20,8
1,4:27.0,,Offensive foul by J. Crowder (drawn by I. Canaan),20,8
1,4:27.0,,Turnover by J. Crowder (offensive foul),20,8
1,4:27.0,Milwaukee full timeout,,20,8
1,4:27.0,T. Snell enters the game for K. Middleton,,20,8
1,4:16.0,I. Canaan misses 3-pt jump shot from 27 ft,,20,8
1,4:14.0,,Defensive rebound by Team,20,8
1,4:03.0,,K. Korver misses 2-pt jump shot from 17 ft,20,8
1,3:59.0,Defensive rebound by D. Wilson,,20,8
1,3:41.0,D. Wilson misses 3-pt jump shot from 26 ft,,20,8
1,3:37.0,,Defensive rebound by J. Crowder,20,8
1,3:30.0,,D. Mitchell makes 2-pt jump shot from 8 ft,20,10
1,3:13.0,P. Connaughton misses 2-pt dunk from 2 ft,,20,10
1,3:12.0,,Defensive rebound by D. Favors,20,10
1,3:06.0,,D. Mitchell misses 2-pt jump shot from 5 ft,20,10
1,3:05.0,,Offensive rebound by D. Favors,20,10
1,3:01.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Crowder),20,12
1,2:46.0,P. Connaughton misses 3-pt jump shot from 25 ft,,20,12
1,2:44.0,,Defensive rebound by D. Favors,20,12
1,2:29.0,,J. Crowder misses 2-pt jump shot from 21 ft,20,12
1,2:27.0,Defensive rebound by P. Connaughton,,20,12
1,2:16.0,Turnover by B. Lopez (bad pass),,20,12
1,2:16.0,G. Antetokounmpo enters the game for I. Canaan,,20,12
1,2:16.0,C. Wood enters the game for B. Lopez,,20,12
1,2:02.0,,Shooting foul by T. Snell (drawn by D. Mitchell),20,12
1,2:02.0,,D. Mitchell makes free throw 1 of 2,20,13
1,2:02.0,,D. Mitchell makes free throw 2 of 2,20,14
1,1:41.0,C. Wood makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,23,14
1,1:30.0,,D. Mitchell makes 3-pt jump shot from 25 ft,23,17
1,1:18.0,P. Connaughton makes 2-pt jump shot from 9 ft (assist by G. Antetokounmpo),,25,17
1,1:01.0,,R. O'Neale makes 3-pt jump shot from 22 ft (assist by J. Crowder),25,20
1,0:53.0,Shooting foul by D. Favors (drawn by G. Antetokounmpo),,25,20
1,0:53.0,G. Antetokounmpo misses free throw 1 of 2,,25,20
1,0:53.0,Offensive rebound by Team,,25,20
1,0:53.0,N. Mirotić enters the game for D. Wilson,,25,20
1,0:53.0,G. Antetokounmpo makes free throw 2 of 2,,26,20
1,0:43.0,,D. Mitchell misses 2-pt jump shot from 14 ft,26,20
1,0:41.0,Defensive rebound by G. Antetokounmpo,,26,20
1,0:32.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Korver),,26,20
1,0:12.0,,J. Crowder misses 3-pt jump shot from 26 ft,26,20
1,0:06.0,,Offensive rebound by J. Crowder,26,20
1,0:03.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Crowder),26,23
1,0:00.0,N. Mirotić misses 3-pt jump shot from 62 ft,,26,23
1,0:00.0,Offensive rebound by Team,,26,23
2,11:50.0,,Turnover by K. Korver (out of bounds lost ball),26,23
2,11:35.0,K. Middleton misses 2-pt jump shot from 16 ft (block by R. O'Neale),,26,23
2,11:32.0,,Defensive rebound by R. O'Neale,26,23
2,11:22.0,,D. Mitchell misses 3-pt jump shot from 26 ft,26,23
2,11:18.0,Defensive rebound by C. Wood,,26,23
2,11:08.0,C. Wood misses 2-pt jump shot from 5 ft,,26,23
2,11:06.0,,Defensive rebound by D. Favors,26,23
2,10:59.0,,D. Mitchell misses 3-pt jump shot from 25 ft,26,23
2,10:55.0,Defensive rebound by G. Antetokounmpo,,26,23
2,10:49.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,29,23
2,10:23.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Mitchell),29,25
2,10:06.0,K. Middleton misses 2-pt layup from 4 ft (block by R. O'Neale),,29,25
2,10:06.0,Offensive rebound by Team,,29,25
2,10:06.0,E. İlyasova enters the game for C. Wood,,29,25
2,10:06.0,,J. Ingles enters the game for J. Crowder,29,25
2,10:06.0,,T. Sefolosha enters the game for D. Mitchell,29,25
2,10:00.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Ingles),,29,25
2,9:52.0,,R. O'Neale makes 2-pt layup from 2 ft,29,27
2,9:44.0,N. Mirotić misses 3-pt jump shot from 29 ft,,29,27
2,9:41.0,,Defensive rebound by D. Favors,29,27
2,9:33.0,,J. Ingles makes 2-pt layup from 3 ft,29,29
2,9:33.0,Milwaukee full timeout,,29,29
2,9:18.0,Turnover by N. Mirotić (bad pass; steal by K. Korver),,29,29
2,8:55.0,,T. Sefolosha makes 3-pt jump shot from 24 ft,29,32
2,8:43.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,29,32
2,8:39.0,Offensive rebound by E. İlyasova,,29,32
2,8:35.0,N. Mirotić misses 2-pt layup from 3 ft,,29,32
2,8:32.0,Offensive rebound by E. İlyasova,,29,32
2,8:32.0,E. İlyasova misses 2-pt layup from 4 ft,,29,32
2,8:30.0,Offensive rebound by G. Antetokounmpo,,29,32
2,8:29.0,G. Antetokounmpo misses 2-pt dunk from 4 ft (block by D. Favors),,29,32
2,8:28.0,Offensive rebound by Team,,29,32
2,8:28.0,I. Canaan enters the game for G. Antetokounmpo,,29,32
2,8:20.0,Turnover by K. Middleton (bad pass; steal by J. Ingles),,29,32
2,8:12.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),29,34
2,7:56.0,Shooting foul by R. O'Neale (drawn by K. Middleton),,29,34
2,7:56.0,P. Connaughton enters the game for T. Snell,,29,34
2,7:56.0,,R. Rubio enters the game for R. O'Neale,29,34
2,7:56.0,K. Middleton makes free throw 1 of 2,,30,34
2,7:56.0,K. Middleton makes free throw 2 of 2,,31,34
2,7:36.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),31,36
2,7:36.0,,Shooting foul by E. İlyasova (drawn by D. Favors),31,36
2,7:36.0,B. Lopez enters the game for E. İlyasova,,31,36
2,7:36.0,,D. Favors misses free throw 1 of 1,31,36
2,7:33.0,Defensive rebound by B. Lopez,,31,36
2,7:20.0,K. Middleton misses 2-pt layup from 4 ft (block by D. Favors),,31,36
2,7:18.0,,Defensive rebound by K. Korver,31,36
2,7:05.0,,Personal foul by I. Canaan (drawn by R. Rubio),31,36
2,7:05.0,,R. Gobert enters the game for D. Favors,31,36
2,6:58.0,,R. Rubio misses 3-pt jump shot from 26 ft,31,36
2,6:55.0,Defensive rebound by N. Mirotić,,31,36
2,6:50.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton),,34,36
2,6:32.0,,J. Ingles makes 3-pt jump shot from 24 ft,34,39
2,6:14.0,K. Middleton misses 2-pt jump shot from 7 ft,,34,39
2,6:11.0,K. Middleton misses 2-pt layup from 1 ft,,34,39
2,6:11.0,Offensive rebound by K. Middleton,,34,39
2,6:10.0,Offensive rebound by K. Middleton,,34,39
2,6:10.0,Turnover by K. Middleton (lost ball; steal by R. Rubio),,34,39
2,6:02.0,,Personal foul by B. Lopez (drawn by J. Ingles),34,39
2,6:02.0,T. Snell enters the game for K. Middleton,,34,39
2,6:02.0,D. Wilson enters the game for N. Mirotić,,34,39
2,6:02.0,,D. Mitchell enters the game for J. Ingles,34,39
2,5:49.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,34,39
2,5:47.0,,Offensive rebound by R. Rubio,34,39
2,5:42.0,,T. Sefolosha misses 2-pt layup from 2 ft,34,39
2,5:40.0,Defensive rebound by B. Lopez,,34,39
2,5:37.0,D. Wilson misses 3-pt jump shot from 23 ft,,34,39
2,5:34.0,,Defensive rebound by T. Sefolosha,34,39
2,5:22.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Mitchell),34,42
2,5:03.0,I. Canaan misses 2-pt layup from 7 ft (block by R. Gobert),,34,42
2,5:01.0,Offensive rebound by I. Canaan,,34,42
2,4:59.0,I. Canaan misses 3-pt jump shot from 23 ft,,34,42
2,4:57.0,,Defensive rebound by T. Sefolosha,34,42
2,4:46.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by R. Gobert),34,45
2,4:46.0,Milwaukee full timeout,,34,45
2,4:46.0,,J. Crowder enters the game for T. Sefolosha,34,45
2,4:26.0,D. Wilson misses 2-pt jump shot from 18 ft,,34,45
2,4:23.0,Offensive rebound by T. Snell,,34,45
2,4:14.0,T. Snell misses 2-pt layup from 4 ft,,34,45
2,4:12.0,Offensive rebound by D. Wilson,,34,45
2,4:11.0,Turnover by D. Wilson (lost ball; steal by J. Crowder),,34,45
2,4:03.0,,J. Crowder misses 3-pt jump shot from 25 ft,34,45
2,4:00.0,Defensive rebound by B. Lopez,,34,45
2,3:58.0,Milwaukee full timeout,,34,45
2,3:58.0,K. Middleton enters the game for T. Snell,,34,45
2,3:58.0,,J. Ingles enters the game for K. Korver,34,45
2,3:56.0,Turnover by I. Canaan (lost ball; steal by R. Rubio),,34,45
2,3:44.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by R. Rubio),34,47
2,3:29.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by I. Canaan),,37,47
2,3:12.0,,D. Mitchell misses 2-pt layup from 7 ft,37,47
2,3:09.0,,Offensive rebound by R. Gobert,37,47
2,3:09.0,,R. Gobert misses 2-pt layup at rim,37,47
2,3:09.0,,Offensive rebound by R. Gobert,37,47
2,3:05.0,,R. Gobert makes 2-pt layup at rim,37,49
2,2:59.0,Turnover by P. Connaughton (bad pass; steal by R. Rubio),,37,49
2,2:51.0,,R. Rubio misses 3-pt jump shot from 26 ft,37,49
2,2:48.0,Defensive rebound by K. Middleton,,37,49
2,2:39.0,K. Middleton makes 2-pt jump shot from 9 ft,,39,49
2,2:23.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),39,52
2,2:09.0,Shooting foul by J. Ingles (drawn by K. Middleton),,39,52
2,2:09.0,G. Antetokounmpo enters the game for I. Canaan,,39,52
2,2:09.0,,D. Favors enters the game for J. Crowder,39,52
2,2:09.0,,K. Korver enters the game for R. Gobert,39,52
2,2:09.0,,R. O'Neale enters the game for J. Ingles,39,52
2,2:09.0,K. Middleton makes free throw 1 of 2,,40,52
2,2:09.0,K. Middleton makes free throw 2 of 2,,41,52
2,1:55.0,,D. Mitchell misses 2-pt jump shot from 8 ft (block by G. Antetokounmpo),41,52
2,1:51.0,Defensive rebound by G. Antetokounmpo,,41,52
2,1:44.0,G. Antetokounmpo misses 2-pt layup from 5 ft (block by D. Mitchell),,41,52
2,1:42.0,,Defensive rebound by R. Rubio,41,52
2,1:40.0,,Personal foul by D. Wilson (drawn by R. Rubio),41,52
2,1:35.0,,D. Mitchell misses 3-pt jump shot from 25 ft,41,52
2,1:31.0,Defensive rebound by G. Antetokounmpo,,41,52
2,1:26.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Mitchell),,41,52
2,1:25.0,,Personal take foul by K. Middleton (drawn by D. Mitchell),41,52
2,1:25.0,,Offensive rebound by Team,41,52
2,1:25.0,,D. Mitchell misses free throw 1 of 2,41,52
2,1:25.0,,D. Mitchell makes free throw 2 of 2,41,53
2,1:14.0,G. Antetokounmpo makes 2-pt hook shot from 4 ft,,43,53
2,1:04.0,,Turnover by D. Mitchell (lost ball; steal by G. Antetokounmpo),43,53
2,1:04.0,Personal foul by D. Mitchell (drawn by G. Antetokounmpo),,43,53
2,0:49.0,K. Middleton misses 2-pt jump shot from 6 ft,,43,53
2,0:46.0,,Defensive rebound by R. O'Neale,43,53
2,0:31.0,,Turnover by D. Mitchell (bad pass),43,53
2,0:31.0,T. Snell enters the game for G. Antetokounmpo,,43,53
2,0:31.0,,J. Crowder enters the game for D. Favors,43,53
2,0:31.0,,R. Gobert enters the game for K. Korver,43,53
2,0:12.0,Shooting foul by R. O'Neale (drawn by K. Middleton),,43,53
2,0:12.0,K. Middleton makes free throw 1 of 3,,44,53
2,0:12.0,K. Middleton makes free throw 2 of 3,,45,53
2,0:12.0,C. Wood enters the game for B. Lopez,,45,53
2,0:12.0,,J. Ingles enters the game for R. O'Neale,45,53
2,0:12.0,,K. Korver enters the game for R. Rubio,45,53
2,0:12.0,K. Middleton makes free throw 3 of 3,,46,53
2,0:03.0,,D. Mitchell misses 2-pt jump shot from 10 ft,46,53
2,0:00.0,,D. Mitchell misses 2-pt jump shot from 18 ft,46,53
2,0:00.0,,Offensive rebound by Team,46,53
2,0:03.0,,Offensive rebound by D. Mitchell,46,53
3,11:47.0,,J. Ingles misses 2-pt jump shot from 9 ft,46,53
3,11:44.0,Defensive rebound by G. Antetokounmpo,,46,53
3,11:39.0,B. Lopez makes 3-pt jump shot from 31 ft (assist by K. Middleton),,49,53
3,11:22.0,,R. Rubio misses 2-pt jump shot from 14 ft,49,53
3,11:20.0,Defensive rebound by G. Antetokounmpo,,49,53
3,11:15.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,49,53
3,11:15.0,Offensive rebound by Team,,49,53
3,11:10.0,B. Lopez makes 2-pt hook shot from 8 ft (assist by N. Mirotić),,51,53
3,10:57.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),51,55
3,10:42.0,Shooting foul by R. Gobert (drawn by G. Antetokounmpo),,51,55
3,10:42.0,G. Antetokounmpo makes free throw 1 of 2,,52,55
3,10:42.0,G. Antetokounmpo makes free throw 2 of 2,,53,55
3,10:34.0,,D. Mitchell misses 2-pt jump shot from 20 ft,53,55
3,10:31.0,Defensive rebound by K. Middleton,,53,55
3,10:24.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,53,55
3,10:21.0,,Defensive rebound by J. Ingles,53,55
3,10:13.0,,R. Gobert misses 2-pt jump shot from 6 ft,53,55
3,10:11.0,Defensive rebound by B. Lopez,,53,55
3,10:01.0,K. Middleton misses 2-pt jump shot from 10 ft,,53,55
3,9:58.0,,Defensive rebound by R. Rubio,53,55
3,9:50.0,,R. Gobert misses 2-pt jump shot from 8 ft,53,55
3,9:50.0,Defensive rebound by Team,,53,55
3,9:50.0,,Loose ball foul by R. Gobert (drawn by B. Lopez),53,55
3,9:36.0,G. Antetokounmpo makes 2-pt hook shot from 4 ft (assist by K. Middleton),,55,55
3,9:26.0,,D. Mitchell makes 2-pt jump shot from 14 ft (assist by R. Rubio),55,57
3,9:13.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,57,57
3,9:13.0,,Utah full timeout,57,57
3,9:13.0,,K. Korver enters the game for R. Rubio,57,57
3,9:03.0,,D. Mitchell misses 2-pt jump shot from 13 ft,57,57
3,9:01.0,,Offensive rebound by D. Mitchell,57,57
3,8:58.0,,R. Gobert misses 2-pt layup from 5 ft,57,57
3,8:58.0,Defensive rebound by Team,,57,57
3,8:42.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Middleton),,60,57
3,8:26.0,,Turnover by J. Ingles (bad pass; steal by N. Mirotić),60,57
3,8:22.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,62,57
3,8:22.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,62,57
3,8:22.0,,D. Favors enters the game for R. Gobert,62,57
3,8:22.0,G. Antetokounmpo misses free throw 1 of 1,,62,57
3,8:21.0,,Defensive rebound by J. Crowder,62,57
3,8:02.0,,D. Mitchell misses 3-pt jump shot from 25 ft,62,57
3,7:58.0,Defensive rebound by B. Lopez,,62,57
3,7:55.0,Personal foul by D. Mitchell (drawn by E. İlyasova),,62,57
3,7:47.0,E. İlyasova misses 2-pt jump shot from 17 ft,,62,57
3,7:46.0,,Defensive rebound by D. Favors,62,57
3,7:37.0,,Personal foul by E. İlyasova (drawn by J. Ingles),62,57
3,7:37.0,P. Connaughton enters the game for E. İlyasova,,62,57
3,7:30.0,,J. Ingles misses 2-pt layup from 2 ft (block by B. Lopez),62,57
3,7:27.0,,Offensive rebound by D. Favors,62,57
3,7:25.0,,Turnover by D. Favors (bad pass; steal by B. Lopez),62,57
3,7:18.0,K. Middleton misses 3-pt jump shot from 26 ft,,62,57
3,7:16.0,,Defensive rebound by D. Favors,62,57
3,7:09.0,,K. Korver misses 3-pt jump shot from 24 ft,62,57
3,7:06.0,Defensive rebound by G. Antetokounmpo,,62,57
3,7:02.0,Personal foul by J. Ingles (drawn by G. Antetokounmpo),,62,57
3,7:02.0,Offensive rebound by Team,,62,57
3,7:02.0,G. Antetokounmpo misses free throw 1 of 2,,62,57
3,7:02.0,D. Wilson enters the game for N. Mirotić,,62,57
3,7:02.0,,R. O'Neale enters the game for J. Ingles,62,57
3,7:02.0,G. Antetokounmpo makes free throw 2 of 2,,63,57
3,6:52.0,,K. Korver misses 2-pt jump shot from 10 ft (block by P. Connaughton),63,57
3,6:51.0,Defensive rebound by D. Wilson,,63,57
3,6:46.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,63,57
3,6:46.0,G. Antetokounmpo misses free throw 1 of 2,,63,57
3,6:46.0,Offensive rebound by Team,,63,57
3,6:46.0,G. Antetokounmpo makes free throw 2 of 2,,64,57
3,6:36.0,,Personal foul by P. Connaughton (drawn by D. Mitchell),64,57
3,6:28.0,,D. Mitchell makes 2-pt layup from 3 ft,64,59
3,6:18.0,K. Middleton makes 2-pt layup from 4 ft,,66,59
3,6:08.0,,D. Mitchell makes 2-pt jump shot from 16 ft,66,61
3,5:50.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,69,61
3,5:32.0,,D. Mitchell makes 2-pt jump shot from 16 ft,69,63
3,5:05.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,69,63
3,5:04.0,,Defensive rebound by D. Favors,69,63
3,4:54.0,,R. O'Neale misses 2-pt layup from 1 ft,69,63
3,4:52.0,Defensive rebound by K. Middleton,,69,63
3,4:50.0,Turnover by G. Antetokounmpo (offensive foul),,69,63
3,4:50.0,Offensive foul by G. Antetokounmpo (drawn by K. Korver),,69,63
3,4:50.0,T. Snell enters the game for G. Antetokounmpo,,69,63
3,4:41.0,,Shooting foul by T. Snell (drawn by D. Mitchell),69,63
3,4:41.0,,D. Mitchell makes free throw 1 of 2,69,64
3,4:41.0,,D. Mitchell makes free throw 2 of 2,69,65
3,4:23.0,D. Wilson misses 3-pt jump shot from 26 ft,,69,65
3,4:19.0,,Defensive rebound by K. Korver,69,65
3,4:10.0,,Turnover by R. O'Neale (step out of bounds),69,65
3,4:10.0,,T. Sefolosha enters the game for J. Crowder,69,65
3,4:10.0,Milwaukee full timeout,,69,65
3,3:59.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),,71,65
3,3:43.0,,D. Favors misses 2-pt jump shot from 18 ft,71,65
3,3:40.0,Defensive rebound by K. Middleton,,71,65
3,3:34.0,Turnover by K. Middleton (bad pass; steal by D. Mitchell),,71,65
3,3:18.0,,R. O'Neale makes 2-pt jump shot from 2 ft (assist by D. Mitchell),71,67
3,2:59.0,B. Lopez misses 2-pt jump shot from 11 ft,,71,67
3,2:59.0,,Defensive rebound by D. Favors,71,67
3,2:52.0,,Shooting foul by B. Lopez (drawn by D. Mitchell),71,67
3,2:52.0,,D. Mitchell makes free throw 1 of 2,71,68
3,2:52.0,C. Wood enters the game for B. Lopez,,71,68
3,2:52.0,,R. Rubio enters the game for K. Korver,71,68
3,2:52.0,,D. Mitchell makes free throw 2 of 2,71,69
3,2:41.0,D. Wilson misses 2-pt jump shot from 12 ft,,71,69
3,2:38.0,Offensive rebound by D. Wilson,,71,69
3,2:37.0,Turnover by D. Wilson (bad pass; steal by D. Favors),,71,69
3,2:30.0,,D. Favors makes 2-pt layup from 5 ft (assist by R. Rubio),71,71
3,2:05.0,D. Wilson misses 3-pt jump shot from 27 ft,,71,71
3,2:02.0,Offensive rebound by P. Connaughton,,71,71
3,2:02.0,Shooting foul by T. Sefolosha (drawn by P. Connaughton),,71,71
3,2:02.0,P. Connaughton makes free throw 1 of 2,,72,71
3,2:02.0,G. Antetokounmpo enters the game for K. Middleton,,72,71
3,2:02.0,N. Mirotić enters the game for D. Wilson,,72,71
3,2:02.0,,R. Gobert enters the game for D. Favors,72,71
3,2:02.0,,J. Ingles enters the game for D. Mitchell,72,71
3,2:02.0,P. Connaughton makes free throw 2 of 2,,73,71
3,1:46.0,,T. Sefolosha misses 2-pt layup from 3 ft,73,71
3,1:45.0,Defensive rebound by Team,,73,71
3,1:33.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,73,71
3,1:29.0,G. Antetokounmpo makes 2-pt layup at rim,,75,71
3,1:29.0,Offensive rebound by G. Antetokounmpo,,75,71
3,1:18.0,,R. Rubio misses 3-pt jump shot from 25 ft,75,71
3,1:15.0,Defensive rebound by P. Connaughton,,75,71
3,1:09.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,78,71
3,0:56.0,,T. Sefolosha makes 2-pt layup from 3 ft (assist by J. Ingles),78,73
3,0:43.0,P. Connaughton misses 3-pt jump shot from 25 ft,,78,73
3,0:40.0,,Defensive rebound by R. Gobert,78,73
3,0:19.0,,Shooting foul by P. Connaughton (drawn by R. Gobert),78,73
3,0:19.0,,Offensive rebound by Team,78,73
3,0:19.0,,R. Gobert misses free throw 1 of 2,78,73
3,0:19.0,E. İlyasova enters the game for C. Wood,,78,73
3,0:19.0,,R. Gobert misses free throw 2 of 2,78,73
3,0:17.0,Defensive rebound by N. Mirotić,,78,73
3,0:00.0,E. İlyasova misses 3-pt jump shot from 24 ft,,78,73
3,0:00.0,Offensive rebound by Team,,78,73
