QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW YORK_ACTION,LA CLIPPERS_SCORE,NEW YORK_SCORE
2,8:12.0,,Defensive rebound by M. Robinson,40,26
2,8:05.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by E. Mudiay),40,29
2,7:48.0,Turnover by M. Harrell (lost ball; steal by M. Robinson),,40,29
2,7:44.0,,Shooting foul by J. Green (drawn by E. Mudiay),40,29
2,7:44.0,,E. Mudiay makes free throw 1 of 2,40,30
2,7:44.0,,D. Jordan enters the game for M. Robinson,40,30
2,7:44.0,,E. Mudiay makes free throw 2 of 2,40,31
2,7:31.0,Turnover by G. Temple (out of bounds lost ball),,40,31
2,7:31.0,L. Shamet enters the game for W. Chandler,,40,31
2,7:20.0,,D. Dotson makes 2-pt layup from 1 ft (assist by D. Jordan),40,33
2,7:11.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,42,33
2,6:44.0,,E. Mudiay misses 3-pt jump shot from 22 ft,42,33
2,6:42.0,,Offensive rebound by M. Hezonja,42,33
2,6:35.0,,Personal foul by J. Green (drawn by D. Jordan),42,33
2,6:35.0,P. Beverley enters the game for J. Green,,42,33
2,6:35.0,D. Gallinari enters the game for G. Temple,,42,33
2,6:30.0,,Turnover by D. Jordan (lost ball; steal by L. Williams),42,33
2,6:25.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,44,33
2,6:25.0,S. Gilgeous-Alexander enters the game for L. Williams,,44,33
2,5:59.0,,M. Hezonja misses 3-pt jump shot from 28 ft,44,33
2,5:57.0,Defensive rebound by P. Beverley,,44,33
2,5:51.0,Shooting foul by E. Mudiay (drawn by D. Gallinari),,44,33
2,5:51.0,D. Gallinari makes free throw 1 of 2,,45,33
2,5:51.0,D. Gallinari makes free throw 2 of 2,,46,33
2,5:42.0,,Shooting foul by P. Beverley (drawn by K. Knox),46,33
2,5:42.0,I. Zubac enters the game for M. Harrell,,46,33
2,5:42.0,,K. Knox makes free throw 1 of 2,46,34
2,5:42.0,,K. Knox misses free throw 2 of 2,46,34
2,5:40.0,Defensive rebound by I. Zubac,,46,34
2,5:30.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by D. Jordan),,46,34
2,5:28.0,,Defensive rebound by E. Mudiay,46,34
2,5:23.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by D. Dotson),46,37
2,5:07.0,D. Gallinari misses 2-pt jump shot from 5 ft,,46,37
2,5:05.0,,Defensive rebound by D. Jordan,46,37
2,5:01.0,,Personal foul by P. Beverley (drawn by M. Hezonja),46,37
2,5:01.0,,M. Hezonja makes free throw 1 of 2,46,38
2,5:01.0,,M. Hezonja makes free throw 2 of 2,46,39
2,4:38.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,46,39
2,4:36.0,Offensive rebound by I. Zubac,,46,39
2,4:35.0,Shooting foul by D. Jordan (drawn by I. Zubac),,46,39
2,4:35.0,I. Zubac makes free throw 1 of 2,,47,39
2,4:35.0,I. Zubac makes free throw 2 of 2,,48,39
2,4:24.0,,E. Mudiay makes 2-pt jump shot from 11 ft,48,41
2,4:03.0,D. Gallinari misses 3-pt jump shot from 25 ft,,48,41
2,4:01.0,,Defensive rebound by E. Mudiay,48,41
2,3:58.0,,Personal foul by I. Zubac (drawn by D. Jordan),48,41
2,3:58.0,,D. Jordan makes free throw 1 of 2,48,42
2,3:58.0,LA Clippers full timeout,,48,42
2,3:58.0,,D. Jordan makes free throw 2 of 2,48,43
2,3:49.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,51,43
2,3:30.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),51,45
2,3:30.0,,Shooting foul by D. Gallinari (drawn by D. Jordan),51,45
2,3:30.0,,D. Jordan makes free throw 1 of 1,51,46
2,3:18.0,L. Shamet misses 2-pt layup from 1 ft (block by D. Jordan),,51,46
2,3:16.0,Offensive rebound by D. Gallinari,,51,46
2,3:07.0,Turnover by D. Gallinari (bad pass; steal by D. Jordan),,51,46
2,3:02.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by M. Hezonja),51,48
2,2:48.0,L. Shamet misses 2-pt jump shot from 16 ft,,51,48
2,2:46.0,,Defensive rebound by E. Mudiay,51,48
2,2:37.0,,E. Mudiay makes 3-pt jump shot from 26 ft,51,51
2,2:14.0,D. Gallinari misses 2-pt jump shot from 13 ft,,51,51
2,2:13.0,Offensive rebound by Team,,51,51
2,2:13.0,,Loose ball foul by K. Knox (drawn by I. Zubac),51,51
2,2:13.0,M. Harrell enters the game for L. Shamet,,51,51
2,2:13.0,L. Williams enters the game for I. Zubac,,51,51
2,2:00.0,Turnover by L. Williams (bad pass; steal by E. Mudiay),,51,51
2,1:56.0,,K. Knox makes 2-pt layup from 5 ft,51,53
2,1:37.0,L. Williams makes 2-pt jump shot from 8 ft,,53,53
2,1:23.0,,E. Mudiay makes 2-pt jump shot from 11 ft,53,55
2,1:14.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Williams),,55,55
2,0:51.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by D. Jordan),55,58
2,0:42.0,L. Williams makes 3-pt jump shot from 25 ft,,58,58
2,0:32.0,,K. Knox misses 3-pt jump shot from 25 ft,58,58
2,0:29.0,Defensive rebound by D. Gallinari,,58,58
2,0:25.0,M. Harrell makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,60,58
2,0:20.0,,New York full timeout,60,58
2,0:20.0,S. Thornwell enters the game for L. Williams,,60,58
2,0:20.0,,J. Jenkins enters the game for K. Knox,60,58
2,0:01.0,,E. Mudiay misses 3-pt jump shot from 26 ft,60,58
2,0:00.0,,Offensive rebound by Team,60,58
2,0:00.0,Loose ball foul by M. Harrell (drawn by D. Jordan),,60,58
2,0:00.0,,D. Jordan makes free throw 1 of 2,60,59
2,0:00.0,,F. Ntilikina enters the game for J. Jenkins,60,59
2,0:00.0,,L. Thomas enters the game for E. Mudiay,60,59
2,0:00.0,,D. Jordan misses free throw 2 of 2,60,59
2,0:00.0,,Offensive rebound by Team,60,59
3,11:37.0,P. Beverley misses 2-pt layup from 1 ft,,60,59
3,11:35.0,Offensive rebound by I. Zubac,,60,59
3,11:31.0,Turnover by Team (shot clock),,60,59
3,11:20.0,,D. Dotson misses 3-pt jump shot from 24 ft,60,59
3,11:18.0,Defensive rebound by I. Zubac,,60,59
3,11:11.0,I. Zubac misses 2-pt layup from 4 ft,,60,59
3,11:09.0,,Defensive rebound by D. Jordan,60,59
3,10:58.0,,M. Hezonja misses 3-pt jump shot from 23 ft,60,59
3,10:56.0,,Offensive rebound by D. Jordan,60,59
3,10:50.0,,Turnover by D. Dotson (out of bounds lost ball),60,59
3,10:50.0,LA Clippers full timeout,,60,59
3,10:50.0,L. Williams enters the game for L. Shamet,,60,59
3,10:36.0,D. Gallinari misses 3-pt jump shot from 24 ft,,60,59
3,10:34.0,,Defensive rebound by M. Hezonja,60,59
3,10:26.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by M. Hezonja),60,61
3,10:13.0,I. Zubac makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,62,61
3,9:56.0,,E. Mudiay makes 2-pt jump shot from 15 ft,62,63
3,9:44.0,D. Gallinari makes 2-pt jump shot from 20 ft (assist by I. Zubac),,64,63
3,9:30.0,,Turnover by E. Mudiay (bad pass; steal by L. Williams),64,63
3,9:25.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by L. Williams),,66,63
3,9:09.0,,L. Thomas misses 2-pt layup from 2 ft,66,63
3,9:07.0,Defensive rebound by I. Zubac,,66,63
3,9:04.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,66,63
3,9:02.0,Offensive rebound by D. Gallinari,,66,63
3,8:57.0,Personal foul by L. Thomas (drawn by D. Gallinari),,66,63
3,8:51.0,D. Gallinari misses 3-pt jump shot from 25 ft,,66,63
3,8:49.0,,Defensive rebound by D. Dotson,66,63
3,8:32.0,,L. Thomas makes 2-pt hook shot from 4 ft,66,65
3,8:20.0,Shooting foul by D. Dotson (drawn by D. Gallinari),,66,65
3,8:20.0,D. Gallinari makes free throw 1 of 2,,67,65
3,8:20.0,D. Gallinari makes free throw 2 of 2,,68,65
3,8:08.0,,L. Thomas misses 2-pt jump shot from 23 ft,68,65
3,8:06.0,Defensive rebound by I. Zubac,,68,65
3,7:59.0,Personal foul by L. Thomas (drawn by D. Gallinari),,68,65
3,7:52.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by L. Williams),,71,65
3,7:41.0,,D. Dotson misses 3-pt jump shot from 26 ft,71,65
3,7:40.0,Defensive rebound by I. Zubac,,71,65
3,7:32.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,74,65
3,7:30.0,,New York full timeout,74,65
3,7:04.0,,Turnover by Team (shot clock),74,65
3,6:57.0,D. Gallinari misses 3-pt jump shot from 26 ft,,74,65
3,6:55.0,,Defensive rebound by D. Jordan,74,65
3,6:34.0,,E. Mudiay makes 2-pt jump shot from 12 ft,74,67
3,6:26.0,Personal foul by E. Mudiay (drawn by L. Williams),,74,67
3,6:18.0,L. Williams misses 2-pt jump shot from 7 ft,,74,67
3,6:16.0,Offensive rebound by L. Williams,,74,67
3,6:15.0,L. Williams misses 2-pt layup from 1 ft,,74,67
3,6:14.0,,Defensive rebound by M. Hezonja,74,67
3,6:07.0,,D. Jordan misses 2-pt layup from 2 ft,74,67
3,6:06.0,,Offensive rebound by D. Jordan,74,67
3,6:05.0,,Shooting foul by P. Beverley (drawn by D. Jordan),74,67
3,6:05.0,,D. Jordan makes free throw 1 of 2,74,68
3,6:05.0,,D. Jordan makes free throw 2 of 2,74,69
3,5:55.0,P. Beverley misses 3-pt jump shot from 22 ft,,74,69
3,5:53.0,Offensive rebound by I. Zubac,,74,69
3,5:46.0,Shooting foul by M. Hezonja (drawn by L. Williams),,74,69
3,5:46.0,L. Williams makes free throw 1 of 2,,75,69
3,5:46.0,,K. Allen enters the game for M. Hezonja,75,69
3,5:46.0,L. Williams makes free throw 2 of 2,,76,69
3,5:30.0,,D. Jordan makes 2-pt hook shot from 4 ft,76,71
3,5:18.0,L. Williams misses 2-pt jump shot from 16 ft,,76,71
3,5:16.0,,Defensive rebound by K. Allen,76,71
3,5:11.0,,D. Dotson misses 3-pt jump shot from 24 ft,76,71
3,5:09.0,Defensive rebound by I. Zubac,,76,71
3,4:50.0,I. Zubac makes 2-pt jump shot from 11 ft (assist by S. Gilgeous-Alexander),,78,71
3,4:28.0,,Shooting foul by P. Beverley (drawn by E. Mudiay),78,71
3,4:28.0,,E. Mudiay makes free throw 1 of 2,78,72
3,4:28.0,M. Harrell enters the game for P. Beverley,,78,72
3,4:28.0,G. Temple enters the game for I. Zubac,,78,72
3,4:28.0,,E. Mudiay makes free throw 2 of 2,78,73
3,4:09.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Temple),,81,73
3,3:54.0,,Turnover by D. Jordan (bad pass; steal by G. Temple),81,73
3,3:49.0,L. Williams makes 2-pt layup from 1 ft (assist by G. Temple),,83,73
3,3:44.0,,New York full timeout,83,73
3,3:44.0,,M. Robinson enters the game for D. Jordan,83,73
3,3:35.0,,K. Allen misses 2-pt jump shot from 9 ft,83,73
3,3:33.0,Defensive rebound by M. Harrell,,83,73
3,3:27.0,L. Williams misses 2-pt layup from 2 ft (block by M. Robinson),,83,73
3,3:25.0,,Defensive rebound by E. Mudiay,83,73
3,3:10.0,,E. Mudiay misses 3-pt jump shot from 25 ft,83,73
3,3:09.0,,Offensive rebound by M. Robinson,83,73
3,3:09.0,,Shooting foul by D. Gallinari (drawn by M. Robinson),83,73
3,3:09.0,,M. Robinson makes free throw 1 of 2,83,74
3,3:09.0,,M. Robinson makes free throw 2 of 2,83,75
3,2:49.0,D. Gallinari misses 3-pt jump shot from 26 ft,,83,75
3,2:47.0,,Defensive rebound by K. Allen,83,75
3,2:47.0,J. Green enters the game for D. Gallinari,,83,75
3,2:35.0,,Turnover by E. Mudiay (lost ball; steal by G. Temple),83,75
3,2:31.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,85,75
3,2:31.0,,Violation by Team (def goaltending),85,75
3,2:09.0,,E. Mudiay makes 2-pt jump shot from 15 ft,85,77
3,2:01.0,G. Temple misses 2-pt layup from 1 ft (block by K. Allen),,85,77
3,1:59.0,,Defensive rebound by L. Thomas,85,77
3,1:47.0,,D. Dotson misses 3-pt jump shot from 26 ft,85,77
3,1:45.0,Defensive rebound by L. Williams,,85,77
3,1:40.0,Shooting foul by K. Allen (drawn by L. Williams),,85,77
3,1:40.0,L. Williams misses free throw 1 of 2,,85,77
3,1:40.0,Offensive rebound by Team,,85,77
3,1:40.0,,J. Jenkins enters the game for D. Dotson,85,77
3,1:40.0,L. Williams makes free throw 2 of 2,,86,77
3,1:19.0,,L. Thomas makes 2-pt jump shot from 9 ft (assist by J. Jenkins),86,79
3,1:19.0,LA Clippers full timeout,,86,79
3,1:19.0,,D. Dotson enters the game for E. Mudiay,86,79
3,1:04.0,L. Williams makes 3-pt jump shot from 25 ft (assist by G. Temple),,89,79
3,0:48.0,,J. Jenkins makes 2-pt jump shot from 23 ft (assist by M. Robinson),89,81
3,0:40.0,L. Williams misses 2-pt jump shot from 10 ft,,89,81
3,0:38.0,,Defensive rebound by M. Robinson,89,81
3,0:26.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by D. Dotson),89,84
3,0:03.0,L. Williams misses 3-pt jump shot from 27 ft,,89,84
3,0:01.0,,Defensive rebound by Team,89,84
4,11:44.0,,K. Allen misses 3-pt jump shot from 25 ft,89,84
4,11:42.0,Defensive rebound by W. Chandler,,89,84
4,11:35.0,Shooting foul by M. Robinson (drawn by M. Harrell),,89,84
4,11:35.0,M. Harrell makes free throw 1 of 2,,90,84
4,11:35.0,M. Harrell makes free throw 2 of 2,,91,84
4,11:12.0,,M. Hezonja makes 2-pt jump shot from 7 ft (assist by M. Robinson),91,86
4,11:01.0,J. Green misses 3-pt jump shot from 26 ft,,91,86
4,10:59.0,Offensive rebound by G. Temple,,91,86
4,10:51.0,L. Williams misses 2-pt layup from 3 ft (block by M. Robinson),,91,86
4,10:49.0,Offensive rebound by G. Temple,,91,86
4,10:46.0,G. Temple misses 3-pt jump shot from 26 ft,,91,86
4,10:44.0,,Defensive rebound by M. Robinson,91,86
4,10:41.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by M. Hezonja),91,89
4,10:25.0,J. Green misses 2-pt layup from 3 ft (block by M. Hezonja),,91,89
4,10:24.0,Offensive rebound by Team,,91,89
4,10:24.0,S. Gilgeous-Alexander enters the game for L. Williams,,91,89
4,10:22.0,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,,91,89
4,10:20.0,,Defensive rebound by Team,91,89
4,10:00.0,,K. Allen misses 3-pt jump shot from 26 ft,91,89
4,9:58.0,Defensive rebound by W. Chandler,,91,89
4,9:52.0,M. Harrell misses 2-pt layup from 1 ft,,91,89
4,9:50.0,,Defensive rebound by M. Robinson,91,89
4,9:41.0,,Turnover by M. Hezonja (bad pass; steal by W. Chandler),91,89
4,9:34.0,W. Chandler makes 2-pt layup from 2 ft,,93,89
4,9:21.0,,D. Dotson makes 2-pt jump shot from 17 ft (assist by K. Allen),93,91
4,9:01.0,M. Harrell misses 2-pt layup from 2 ft,,93,91
4,9:00.0,Offensive rebound by M. Harrell,,93,91
4,8:59.0,M. Harrell makes 2-pt layup from 2 ft,,95,91
4,8:59.0,Shooting foul by M. Robinson (drawn by M. Harrell),,95,91
4,8:59.0,,E. Mudiay enters the game for M. Hezonja,95,91
4,8:59.0,,L. Thomas enters the game for J. Jenkins,95,91
4,8:59.0,M. Harrell makes free throw 1 of 1,,96,91
4,8:50.0,,Personal foul by G. Temple (drawn by D. Dotson),96,91
4,8:50.0,D. Gallinari enters the game for J. Green,,96,91
4,8:50.0,I. Zubac enters the game for M. Harrell,,96,91
4,8:40.0,,K. Allen makes 2-pt layup from 1 ft,96,93
4,8:27.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Robinson),,96,93
4,8:15.0,,L. Thomas makes 3-pt jump shot from 26 ft (assist by E. Mudiay),96,96
4,8:14.0,LA Clippers full timeout,,96,96
4,7:51.0,D. Gallinari misses 3-pt jump shot from 25 ft,,96,96
4,7:49.0,,Defensive rebound by M. Robinson,96,96
4,7:34.0,,Personal foul by S. Gilgeous-Alexander (drawn by K. Allen),96,96
4,7:34.0,P. Beverley enters the game for W. Chandler,,96,96
4,7:34.0,L. Williams enters the game for G. Temple,,96,96
4,7:34.0,,D. Jordan enters the game for M. Robinson,96,96
4,7:26.0,,D. Jordan misses 2-pt hook shot from 9 ft (block by I. Zubac),96,96
4,7:24.0,,Offensive rebound by E. Mudiay,96,96
4,7:20.0,,K. Allen makes 3-pt jump shot from 26 ft (assist by E. Mudiay),96,99
4,7:02.0,Shooting foul by D. Dotson (drawn by D. Gallinari),,96,99
4,7:02.0,D. Gallinari makes free throw 1 of 2,,97,99
4,7:02.0,M. Harrell enters the game for I. Zubac,,97,99
