QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
1,6:47.0,Turnover by J. Dudley (bad pass; steal by E. Bledsoe),,15,13
1,6:44.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by J. Allen),15,13
1,6:44.0,,Offensive rebound by Team,15,13
1,6:35.0,,K. Middleton misses 2-pt jump shot from 7 ft,15,13
1,6:32.0,Defensive rebound by R. Kurucs,,15,13
1,6:28.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,15,13
1,6:26.0,,Defensive rebound by Team,15,13
1,6:12.0,,Personal foul by J. Allen (drawn by G. Antetokounmpo),15,13
1,6:04.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,15,13
1,6:00.0,Defensive rebound by J. Allen,,15,13
1,5:59.0,J. Dudley misses 3-pt jump shot from 28 ft,,15,13
1,5:57.0,,Defensive rebound by Team,15,13
1,5:57.0,,D. Wilson enters the game for G. Antetokounmpo,15,13
1,5:37.0,,S. Brown misses 3-pt jump shot from 26 ft,15,13
1,5:34.0,Defensive rebound by S. Dinwiddie,,15,13
1,5:28.0,Shooting foul by B. Lopez (drawn by J. Allen),,15,13
1,5:28.0,J. Allen misses free throw 1 of 2,,15,13
1,5:28.0,Offensive rebound by Team,,15,13
1,5:28.0,D. Carroll enters the game for R. Kurucs,,15,13
1,5:28.0,J. Allen makes free throw 2 of 2,,16,13
1,5:13.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by D. Wilson),16,16
1,4:50.0,Shooting foul by B. Lopez (drawn by S. Dinwiddie),,16,16
1,4:50.0,S. Dinwiddie misses free throw 1 of 2,,16,16
1,4:50.0,Offensive rebound by Team,,16,16
1,4:50.0,,G. Hill enters the game for E. Bledsoe,16,16
1,4:50.0,,T. Maker enters the game for B. Lopez,16,16
1,4:50.0,S. Dinwiddie makes free throw 2 of 2,,17,16
1,4:35.0,,K. Middleton makes 2-pt jump shot from 18 ft,17,18
1,4:15.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,20,18
1,3:58.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by K. Middleton),20,21
1,3:39.0,S. Dinwiddie misses 3-pt jump shot from 31 ft,,20,21
1,3:33.0,,Defensive rebound by D. Wilson,20,21
1,3:18.0,,D. Wilson misses 2-pt hook shot from 2 ft,20,21
1,3:17.0,Defensive rebound by Team,,20,21
1,3:17.0,S. Napier enters the game for S. Dinwiddie,,20,21
1,3:17.0,T. Pinson enters the game for J. Harris,,20,21
1,3:05.0,Shooting foul by T. Maker (drawn by J. Allen),,20,21
1,3:05.0,J. Allen misses free throw 1 of 2,,20,21
1,3:05.0,Offensive rebound by Team,,20,21
1,3:05.0,,M. Brogdon enters the game for K. Middleton,20,21
1,3:05.0,J. Allen makes free throw 2 of 2,,21,21
1,2:51.0,,D. Wilson misses 2-pt jump shot from 19 ft,21,21
1,2:48.0,Defensive rebound by T. Pinson,,21,21
1,2:41.0,Turnover by S. Napier (bad pass),,21,21
1,2:41.0,K. Faried enters the game for J. Allen,,21,21
1,2:28.0,,S. Brown misses 3-pt jump shot from 26 ft,21,21
1,2:27.0,,Offensive rebound by G. Hill,21,21
1,2:18.0,,M. Brogdon misses 3-pt jump shot from 28 ft,21,21
1,2:16.0,,Offensive rebound by Team,21,21
1,2:16.0,,G. Antetokounmpo enters the game for D. Wilson,21,21
1,2:10.0,,Def 3 sec tech foul by Team,21,21
1,2:10.0,,M. Brogdon makes technical free throw,21,22
1,2:04.0,,S. Brown makes 3-pt jump shot from 24 ft (assist by G. Hill),21,25
1,1:48.0,T. Pinson misses 3-pt jump shot from 27 ft,,21,25
1,1:45.0,,Defensive rebound by T. Maker,21,25
1,1:39.0,,T. Maker misses 3-pt jump shot from 27 ft,21,25
1,1:36.0,Defensive rebound by J. Dudley,,21,25
1,1:31.0,D. Carroll makes 2-pt jump shot from 16 ft,,23,25
1,1:06.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Hill),23,27
1,0:53.0,D. Carroll misses 3-pt jump shot from 27 ft,,23,27
1,0:53.0,,Defensive rebound by S. Brown,23,27
1,0:48.0,,S. Brown makes 2-pt jump shot from 15 ft,23,29
1,0:23.0,S. Napier misses 2-pt jump shot from 12 ft,,23,29
1,0:20.0,,Defensive rebound by M. Brogdon,23,29
1,0:00.0,,G. Hill misses 3-pt jump shot from 26 ft,23,29
1,0:00.0,Defensive rebound by T. Pinson,,23,29
2,11:54.0,Offensive foul by R. Kurucs (drawn by G. Hill),,23,29
2,11:54.0,Turnover by R. Kurucs (offensive foul),,23,29
2,11:42.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,23,31
2,11:28.0,K. Faried makes 2-pt dunk from 2 ft (assist by R. Kurucs),,25,31
2,11:11.0,,G. Hill misses 2-pt layup from 5 ft,25,31
2,11:09.0,,Offensive rebound by M. Brogdon,25,31
2,11:04.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),25,34
2,10:46.0,S. Napier misses 3-pt jump shot from 26 ft,,25,34
2,10:42.0,,Defensive rebound by T. Snell,25,34
2,10:34.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft (assist by T. Snell),25,37
2,10:21.0,Shooting foul by G. Hill (drawn by K. Faried),,25,37
2,10:21.0,K. Faried makes free throw 1 of 2,,26,37
2,10:21.0,K. Faried makes free throw 2 of 2,,27,37
2,10:06.0,,T. Maker misses 2-pt jump shot from 19 ft,27,37
2,10:03.0,Defensive rebound by D. Carroll,,27,37
2,9:55.0,Shooting foul by T. Snell (drawn by S. Napier),,27,37
2,9:55.0,S. Napier makes free throw 1 of 3,,28,37
2,9:55.0,S. Napier makes free throw 2 of 3,,29,37
2,9:55.0,,E. Bledsoe enters the game for G. Hill,29,37
2,9:55.0,,D. Wilson enters the game for T. Maker,29,37
2,9:55.0,S. Napier makes free throw 3 of 3,,30,37
2,9:45.0,,M. Brogdon misses 3-pt jump shot from 24 ft,30,37
2,9:41.0,Defensive rebound by D. Carroll,,30,37
2,9:37.0,S. Napier misses 2-pt jump shot from 13 ft,,30,37
2,9:34.0,,Defensive rebound by G. Antetokounmpo,30,37
2,9:26.0,,T. Snell makes 3-pt jump shot from 27 ft,30,40
2,9:08.0,Turnover by D. Carroll (bad pass),,30,40
2,9:00.0,,M. Brogdon misses 3-pt jump shot from 27 ft,30,40
2,8:55.0,Defensive rebound by K. Faried,,30,40
2,8:51.0,D. Carroll makes 3-pt jump shot from 28 ft (assist by S. Napier),,33,40
2,8:39.0,,Shooting foul by K. Faried (drawn by G. Antetokounmpo),33,40
2,8:39.0,,S. Brown enters the game for M. Brogdon,33,40
2,8:39.0,,G. Antetokounmpo misses free throw 1 of 2,33,40
2,8:39.0,,Offensive rebound by Team,33,40
2,8:39.0,,G. Antetokounmpo makes free throw 2 of 2,33,41
2,8:24.0,S. Napier makes 3-pt jump shot from 24 ft (assist by D. Carroll),,36,41
2,8:13.0,,D. Wilson misses 2-pt jump shot from 9 ft,36,41
2,8:11.0,,Offensive rebound by G. Antetokounmpo,36,41
2,8:09.0,,S. Brown misses 3-pt jump shot from 27 ft,36,41
2,8:06.0,Defensive rebound by D. Carroll,,36,41
2,8:02.0,D. Carroll misses 2-pt jump shot from 10 ft,,36,41
2,7:58.0,Offensive rebound by S. Napier,,36,41
2,7:53.0,R. Kurucs misses 3-pt jump shot from 26 ft,,36,41
2,7:50.0,,Defensive rebound by E. Bledsoe,36,41
2,7:47.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,36,41
2,7:47.0,,Offensive rebound by Team,36,41
2,7:47.0,,Personal foul by R. Kurucs (drawn by D. Wilson),36,41
2,7:47.0,S. Dinwiddie enters the game for S. Napier,,36,41
2,7:47.0,,B. Lopez enters the game for G. Antetokounmpo,36,41
2,7:47.0,,K. Middleton enters the game for T. Snell,36,41
2,7:35.0,,Turnover by S. Brown (traveling),36,41
2,7:35.0,,Violation by Team (delay of game),36,41
2,7:18.0,S. Dinwiddie misses 2-pt jump shot from 10 ft,,36,41
2,7:16.0,,Defensive rebound by D. Wilson,36,41
2,7:08.0,,K. Middleton makes 2-pt jump shot from 12 ft,36,43
2,6:52.0,Shooting foul by D. Wilson (drawn by K. Faried),,36,43
2,6:52.0,,Milwaukee full timeout,36,43
2,6:52.0,J. Harris enters the game for D. Carroll,,36,43
2,6:52.0,K. Faried makes free throw 1 of 2,,37,43
2,6:52.0,K. Faried makes free throw 2 of 2,,38,43
2,6:35.0,,K. Middleton makes 2-pt jump shot from 9 ft,38,45
2,6:19.0,R. Kurucs misses 2-pt layup from 5 ft,,38,45
2,6:17.0,Offensive rebound by K. Faried,,38,45
2,6:17.0,K. Faried misses 2-pt layup from 2 ft,,38,45
2,6:17.0,Offensive rebound by K. Faried,,38,45
2,6:12.0,K. Faried misses 2-pt layup at rim,,38,45
2,6:11.0,,Defensive rebound by D. Wilson,38,45
2,6:08.0,,B. Lopez misses 3-pt jump shot from 26 ft,38,45
2,6:05.0,Defensive rebound by T. Pinson,,38,45
2,6:00.0,T. Pinson misses 3-pt jump shot from 27 ft,,38,45
2,5:57.0,,Defensive rebound by D. Wilson,38,45
2,5:51.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,38,45
2,5:48.0,,Offensive rebound by Team,38,45
2,5:39.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),38,48
2,5:39.0,Brooklyn full timeout,,38,48
2,5:39.0,J. Allen enters the game for K. Faried,,38,48
2,5:39.0,J. Dudley enters the game for R. Kurucs,,38,48
2,5:39.0,S. Napier enters the game for T. Pinson,,38,48
2,5:29.0,Def 3 sec tech foul by Team,,38,48
2,5:29.0,J. Harris makes technical free throw,,39,48
2,5:18.0,Shooting foul by S. Brown (drawn by S. Napier),,39,48
2,5:18.0,S. Napier makes free throw 1 of 2,,40,48
2,5:18.0,S. Napier makes free throw 2 of 2,,41,48
2,5:04.0,,S. Brown misses 2-pt jump shot from 12 ft,41,48
2,5:01.0,Defensive rebound by J. Allen,,41,48
2,5:01.0,Turnover by J. Allen (bad pass),,41,48
2,4:48.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),41,50
2,4:34.0,J. Allen makes 2-pt dunk from 2 ft (assist by J. Dudley),,43,50
2,4:21.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),43,53
2,4:05.0,Personal foul by S. Brown (drawn by S. Napier),,43,53
2,4:05.0,S. Napier makes free throw 1 of 2,,44,53
2,4:05.0,,G. Antetokounmpo enters the game for S. Brown,44,53
2,4:05.0,,G. Hill enters the game for D. Wilson,44,53
2,4:05.0,S. Napier misses free throw 2 of 2,,44,53
2,4:02.0,,Defensive rebound by G. Antetokounmpo,44,53
2,3:48.0,,Turnover by E. Bledsoe (bad pass; steal by J. Dudley),44,53
2,3:42.0,J. Dudley makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,47,53
2,3:28.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),47,56
2,3:13.0,S. Napier misses 3-pt jump shot from 27 ft,,47,56
2,3:10.0,,Defensive rebound by G. Antetokounmpo,47,56
2,3:02.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Hill),47,59
2,2:50.0,S. Napier makes 3-pt jump shot from 25 ft (assist by J. Harris),,50,59
2,2:38.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),50,62
2,2:38.0,Brooklyn full timeout,,50,62
2,2:38.0,D. Carroll enters the game for J. Dudley,,50,62
2,2:38.0,,M. Brogdon enters the game for E. Bledsoe,50,62
2,2:19.0,S. Napier makes 2-pt jump shot from 15 ft (assist by S. Dinwiddie),,52,62
2,2:08.0,,B. Lopez misses 3-pt jump shot from 25 ft,52,62
2,2:05.0,Defensive rebound by S. Napier,,52,62
2,1:51.0,J. Allen misses 2-pt dunk from 2 ft (block by B. Lopez),,52,62
2,1:49.0,,Defensive rebound by K. Middleton,52,62
2,1:26.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),52,64
2,1:02.0,J. Allen misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,52,64
2,1:00.0,,Defensive rebound by B. Lopez,52,64
2,1:00.0,,Personal foul by S. Napier (drawn by G. Antetokounmpo),52,64
2,1:00.0,,D. Wilson enters the game for B. Lopez,52,64
2,0:54.0,,K. Middleton makes 2-pt jump shot from 1 ft (assist by G. Antetokounmpo),52,66
2,0:43.0,J. Harris misses 2-pt jump shot from 4 ft,,52,66
2,0:43.0,,Defensive rebound by M. Brogdon,52,66
2,0:37.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by M. Brogdon),52,69
2,0:24.0,S. Dinwiddie misses 2-pt layup from 1 ft,,52,69
2,0:21.0,,Defensive rebound by K. Middleton,52,69
2,0:00.0,,D. Wilson makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),52,71
3,11:49.0,Personal foul by E. Bledsoe (drawn by J. Allen),,52,71
3,11:42.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Carroll),,55,71
3,11:21.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),55,73
3,11:07.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Carroll),,58,73
3,10:59.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,58,73
3,10:55.0,Defensive rebound by J. Harris,,58,73
3,10:42.0,Turnover by S. Dinwiddie (bad pass; steal by K. Middleton),,58,73
3,10:40.0,,Shooting foul by J. Harris (drawn by G. Antetokounmpo),58,73
3,10:40.0,,Technical foul by K. Atkinson,58,73
3,10:40.0,,K. Middleton makes technical free throw,58,74
3,10:40.0,,G. Antetokounmpo misses free throw 1 of 2,58,74
3,10:40.0,,Offensive rebound by Team,58,74
3,10:40.0,,G. Antetokounmpo makes free throw 2 of 2,58,75
3,10:23.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,61,75
3,10:23.0,Shooting foul by G. Antetokounmpo (drawn by D. Carroll),,61,75
3,10:23.0,D. Carroll makes free throw 1 of 1,,62,75
3,10:11.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,62,75
3,10:09.0,Defensive rebound by D. Carroll,,62,75
3,10:03.0,Personal foul by E. Bledsoe (drawn by S. Dinwiddie),,62,75
3,9:47.0,S. Dinwiddie makes 2-pt jump shot from 11 ft,,64,75
3,9:47.0,,Milwaukee full timeout,64,75
3,9:47.0,,Technical foul by E. Bledsoe,64,75
3,9:47.0,Technical foul by J. Allen,,64,75
3,9:32.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Middleton),64,78
3,9:16.0,R. Kurucs misses 3-pt jump shot from 27 ft,,64,78
3,9:14.0,,Defensive rebound by G. Antetokounmpo,64,78
3,9:07.0,,Turnover by G. Antetokounmpo (bad pass; steal by S. Dinwiddie),64,78
3,9:03.0,Turnover by S. Dinwiddie (bad pass; steal by B. Lopez),,64,78
3,8:57.0,,Shooting foul by S. Dinwiddie (drawn by E. Bledsoe),64,78
3,8:57.0,,E. Bledsoe makes free throw 1 of 2,64,79
3,8:57.0,,E. Bledsoe makes free throw 2 of 2,64,80
3,8:42.0,R. Kurucs misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,64,80
3,8:40.0,,Defensive rebound by M. Brogdon,64,80
3,8:32.0,,B. Lopez misses 3-pt jump shot from 29 ft,64,80
3,8:28.0,Defensive rebound by J. Allen,,64,80
3,8:22.0,Shooting foul by E. Bledsoe (drawn by S. Dinwiddie),,64,80
3,8:22.0,S. Dinwiddie misses free throw 1 of 2,,64,80
3,8:22.0,Offensive rebound by Team,,64,80
3,8:22.0,J. Dudley enters the game for R. Kurucs,,64,80
3,8:22.0,S. Dinwiddie makes free throw 2 of 2,,65,80
3,8:10.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),65,82
3,8:00.0,J. Dudley misses 3-pt jump shot from 26 ft,,65,82
3,7:58.0,,Defensive rebound by K. Middleton,65,82
3,7:52.0,,B. Lopez misses 3-pt jump shot from 27 ft,65,82
3,7:51.0,,Offensive rebound by Team,65,82
3,7:51.0,,Personal foul by S. Dinwiddie (drawn by G. Antetokounmpo),65,82
3,7:51.0,S. Napier enters the game for S. Dinwiddie,,65,82
3,7:51.0,,S. Brown enters the game for E. Bledsoe,65,82
3,7:44.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),65,85
3,7:29.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,67,85
3,7:13.0,,M. Brogdon misses 2-pt jump shot from 6 ft,67,85
3,7:11.0,,Offensive rebound by G. Antetokounmpo,67,85
3,7:11.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,67,87
3,6:57.0,Turnover by J. Harris (bad pass),,67,87
3,6:39.0,,Turnover by G. Antetokounmpo (lost ball; steal by J. Dudley),67,87
3,6:33.0,J. Harris misses 3-pt jump shot from 26 ft,,67,87
3,6:29.0,Offensive rebound by J. Dudley,,67,87
3,6:16.0,S. Napier misses 2-pt layup from 2 ft,,67,87
3,6:16.0,Offensive rebound by Team,,67,87
3,6:16.0,Turnover by Team (shot clock),,67,87
3,6:16.0,K. Faried enters the game for J. Allen,,67,87
3,6:16.0,T. Pinson enters the game for J. Harris,,67,87
3,6:09.0,,M. Brogdon misses 3-pt jump shot from 26 ft,67,87
3,6:07.0,Defensive rebound by Team,,67,87
3,6:06.0,,Loose ball foul by S. Brown (drawn by J. Dudley),67,87
3,6:06.0,J. Dudley misses free throw 1 of 2,,67,87
3,6:06.0,Offensive rebound by Team,,67,87
3,6:06.0,,D. Wilson enters the game for G. Antetokounmpo,67,87
3,6:06.0,J. Dudley misses free throw 2 of 2,,67,87
3,6:02.0,,Defensive rebound by D. Wilson,67,87
3,5:50.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by S. Brown),67,90
3,5:36.0,S. Napier makes 2-pt jump shot from 14 ft,,69,90
3,5:23.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by M. Brogdon),69,93
3,5:10.0,Turnover by K. Faried (bad pass; steal by M. Brogdon),,69,93
3,5:06.0,,Shooting foul by J. Dudley (drawn by M. Brogdon),69,93
3,5:06.0,,M. Brogdon makes free throw 1 of 2,69,94
3,5:06.0,,G. Hill enters the game for K. Middleton,69,94
3,5:06.0,,M. Brogdon makes free throw 2 of 2,69,95
3,4:56.0,Shooting foul by S. Brown (drawn by D. Carroll),,69,95
3,4:56.0,D. Carroll misses free throw 1 of 2,,69,95
3,4:56.0,Offensive rebound by Team,,69,95
3,4:56.0,,K. Middleton enters the game for M. Brogdon,69,95
3,4:56.0,D. Carroll makes free throw 2 of 2,,70,95
3,4:39.0,,B. Lopez misses 3-pt jump shot from 25 ft,70,95
3,4:36.0,Defensive rebound by J. Dudley,,70,95
3,4:32.0,K. Faried makes 2-pt dunk from 1 ft (assist by S. Napier),,72,95
3,4:17.0,,B. Lopez misses 3-pt jump shot from 28 ft,72,95
3,4:15.0,Defensive rebound by T. Pinson,,72,95
3,4:03.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by S. Napier),,75,95
3,3:55.0,,Shooting foul by D. Carroll (drawn by K. Middleton),75,95
3,3:55.0,,K. Middleton makes free throw 1 of 2,75,96
3,3:55.0,,T. Maker enters the game for B. Lopez,75,96
3,3:55.0,,K. Middleton makes free throw 2 of 2,75,97
3,3:40.0,T. Pinson makes 2-pt layup from 1 ft,,77,97
3,3:29.0,,K. Middleton makes 2-pt layup from 1 ft,77,99
3,3:11.0,K. Faried makes 2-pt dunk from 1 ft (assist by J. Dudley),,79,99
3,2:54.0,,G. Hill misses 2-pt layup from 3 ft,79,99
3,2:52.0,Defensive rebound by S. Napier,,79,99
3,2:48.0,D. Carroll misses 3-pt jump shot from 28 ft,,79,99
3,2:45.0,,Defensive rebound by G. Hill,79,99
3,2:31.0,,S. Brown misses 2-pt layup from 3 ft,79,99
3,2:27.0,Defensive rebound by K. Faried,,79,99
3,2:22.0,J. Dudley misses 3-pt jump shot from 26 ft,,79,99
3,2:19.0,,Defensive rebound by S. Brown,79,99
3,2:05.0,,Shooting foul by T. Pinson (drawn by D. Wilson),79,99
3,2:05.0,Brooklyn full timeout,,79,99
3,2:05.0,R. Kurucs enters the game for D. Carroll,,79,99
3,2:05.0,,E. Bledsoe enters the game for S. Brown,79,99
3,2:05.0,,T. Snell enters the game for K. Middleton,79,99
3,2:05.0,,D. Wilson makes free throw 1 of 2,79,100
3,2:05.0,,D. Wilson makes free throw 2 of 2,79,101
3,1:44.0,K. Faried misses 3-pt jump shot from 25 ft,,79,101
3,1:41.0,,Defensive rebound by D. Wilson,79,101
3,1:22.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,79,101
3,1:19.0,Defensive rebound by T. Pinson,,79,101
3,1:16.0,T. Pinson misses 2-pt hook shot from 3 ft,,79,101
3,1:13.0,,Defensive rebound by E. Bledsoe,79,101
3,1:11.0,,Turnover by E. Bledsoe (lost ball; steal by J. Dudley),79,101
3,1:08.0,K. Faried misses 2-pt dunk from 1 ft (block by G. Hill),,79,101
3,1:07.0,Offensive rebound by Team,,79,101
3,1:07.0,,G. Antetokounmpo enters the game for D. Wilson,79,101
3,1:00.0,S. Napier makes 2-pt jump shot from 16 ft,,81,101
3,0:49.0,,G. Hill makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),81,104
3,0:33.0,K. Faried makes 2-pt layup at rim (assist by S. Napier),,83,104
3,0:33.0,Shooting foul by T. Maker (drawn by K. Faried),,83,104
3,0:33.0,K. Faried misses free throw 1 of 1,,83,104
3,0:30.0,,Defensive rebound by G. Antetokounmpo,83,104
3,0:23.0,,E. Bledsoe makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),83,106
3,0:02.0,S. Napier makes 3-pt jump shot from 28 ft (assist by T. Pinson),,86,106
3,0:00.0,,G. Hill misses 3-pt jump shot from 44 ft,86,106
3,0:00.0,,Offensive rebound by Team,86,106
4,11:43.0,,G. Antetokounmpo makes 2-pt jump shot from 4 ft,86,108
4,11:43.0,,Shooting foul by K. Faried (drawn by G. Antetokounmpo),86,108
4,11:43.0,,G. Antetokounmpo makes free throw 1 of 1,86,109
4,11:25.0,K. Faried makes 2-pt dunk from 2 ft (assist by D. Carroll),,88,109
4,11:15.0,,T. Snell misses 3-pt jump shot from 26 ft,88,109
4,11:15.0,Defensive rebound by Team,,88,109
4,10:59.0,D. Carroll misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,88,109
4,10:55.0,,Defensive rebound by E. Bledsoe,88,109
4,10:48.0,,T. Snell misses 3-pt jump shot from 24 ft,88,109
4,10:45.0,Defensive rebound by K. Faried,,88,109
4,10:34.0,Turnover by T. Pinson (bad pass; steal by G. Antetokounmpo),,88,109
4,10:30.0,,Turnover by E. Bledsoe (bad pass; steal by S. Napier),88,109
4,10:11.0,T. Pinson makes 2-pt layup from 1 ft,,90,109
4,9:55.0,,T. Maker misses 3-pt jump shot from 26 ft,90,109
4,9:52.0,Defensive rebound by T. Pinson,,90,109
4,9:44.0,D. Carroll misses 3-pt jump shot from 24 ft,,90,109
4,9:44.0,,Defensive rebound by Team,90,109
4,9:44.0,Loose ball foul by K. Faried (drawn by T. Maker),,90,109
4,9:44.0,,D. Wilson enters the game for T. Maker,90,109
4,9:29.0,,G. Hill misses 3-pt jump shot from 26 ft,90,109
4,9:26.0,Defensive rebound by S. Napier,,90,109
4,9:12.0,K. Faried makes 2-pt layup from 1 ft (assist by S. Napier),,92,109
4,9:03.0,,Offensive foul by G. Antetokounmpo (drawn by D. Carroll),92,109
4,9:03.0,,Turnover by G. Antetokounmpo (offensive foul),92,109
4,9:03.0,,M. Brogdon enters the game for E. Bledsoe,92,109
4,8:55.0,Shooting foul by M. Brogdon (drawn by S. Napier),,92,109
4,8:55.0,S. Napier makes free throw 1 of 2,,93,109
4,8:55.0,S. Napier makes free throw 2 of 2,,94,109
4,8:35.0,,M. Brogdon misses 2-pt layup from 4 ft,94,109
4,8:34.0,Defensive rebound by K. Faried,,94,109
4,8:34.0,Technical foul by M. Budenholzer,,94,109
4,8:34.0,S. Napier makes technical free throw,,95,109
4,8:34.0,J. Dudley enters the game for R. Kurucs,,95,109
4,8:25.0,K. Faried makes 2-pt layup from 1 ft (assist by S. Napier),,97,109
4,8:24.0,,Milwaukee full timeout,97,109
4,8:24.0,,K. Middleton enters the game for G. Hill,97,109
4,8:17.0,,Personal foul by K. Faried (drawn by G. Antetokounmpo),97,109
