QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,0:19.0,,J. Embiid makes 2-pt dunk at rim (assist by B. Simmons),23,38
1,0:03.0,C. LeVert misses 2-pt layup from 4 ft (block by S. Milton),,23,38
1,0:03.0,Offensive rebound by Team,,23,38
1,0:00.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,23,38
1,0:00.0,Offensive rebound by Team,,23,38
2,11:45.0,D. Russell misses 3-pt jump shot from 27 ft,,23,38
2,11:42.0,,Defensive rebound by J. Embiid,23,38
2,11:25.0,,S. Milton makes 2-pt layup from 1 ft (assist by T. Harris),23,40
2,11:16.0,Personal foul by S. Milton (drawn by D. Russell),,23,40
2,11:03.0,Turnover by D. Russell (bad pass),,23,40
2,10:51.0,,Personal foul by J. Dudley (drawn by T. Harris),23,40
2,10:39.0,,B. Simmons misses 2-pt jump shot from 13 ft,23,40
2,10:34.0,,Offensive rebound by J. Embiid,23,40
2,10:34.0,,J. Embiid makes 2-pt layup at rim,23,42
2,10:24.0,C. LeVert makes 3-pt jump shot from 27 ft,,26,42
2,10:06.0,,J. Embiid misses 2-pt jump shot from 10 ft,26,42
2,10:04.0,Defensive rebound by E. Davis,,26,42
2,9:54.0,Turnover by D. Russell (lost ball; steal by B. Simmons),,26,42
2,9:48.0,,S. Milton misses 3-pt jump shot from 26 ft,26,42
2,9:44.0,Defensive rebound by E. Davis,,26,42
2,9:30.0,C. LeVert misses 2-pt layup from 2 ft,,26,42
2,9:27.0,,Defensive rebound by T. Harris,26,42
2,9:21.0,,Personal foul by E. Davis (drawn by J. Embiid),26,42
2,9:12.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),26,44
2,8:53.0,D. Russell misses 3-pt jump shot from 25 ft,,26,44
2,8:50.0,,Defensive rebound by B. Simmons,26,44
2,8:43.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Simmons),26,46
2,8:43.0,Brooklyn full timeout,,26,46
2,8:43.0,S. Dinwiddie enters the game for J. Dudley,,26,46
2,8:32.0,C. LeVert misses 2-pt layup from 4 ft (block by J. Embiid),,26,46
2,8:26.0,Offensive rebound by E. Davis,,26,46
2,8:26.0,E. Davis makes 2-pt dunk from 1 ft,,28,46
2,8:13.0,,B. Simmons makes 2-pt jump shot from 2 ft (assist by J. Embiid),28,48
2,7:56.0,Personal foul by T. Harris (drawn by E. Davis),,28,48
2,7:56.0,,J. Butler enters the game for J. Embiid,28,48
2,7:56.0,,B. Marjanović enters the game for S. Milton,28,48
2,7:56.0,,T. McConnell enters the game for J. Redick,28,48
2,7:56.0,,M. Scott enters the game for B. Simmons,28,48
2,7:49.0,D. Russell misses 2-pt jump shot from 19 ft,,28,48
2,7:46.0,,Defensive rebound by B. Marjanović,28,48
2,7:32.0,,T. McConnell misses 2-pt jump shot from 6 ft,28,48
2,7:29.0,,Offensive rebound by T. Harris,28,48
2,7:17.0,,T. Harris misses 2-pt jump shot from 9 ft,28,48
2,7:14.0,Defensive rebound by D. Russell,,28,48
2,7:04.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by E. Davis),,31,48
2,6:36.0,,Turnover by Team (shot clock),31,48
2,6:36.0,J. Harris enters the game for E. Davis,,31,48
2,6:36.0,R. Hollis-Jefferson enters the game for D. Russell,,31,48
2,6:17.0,Personal foul by J. Butler (drawn by D. Carroll),,31,48
2,6:11.0,Shooting foul by B. Marjanović (drawn by R. Hollis-Jefferson),,31,48
2,6:11.0,R. Hollis-Jefferson misses free throw 1 of 2,,31,48
2,6:11.0,Offensive rebound by Team,,31,48
2,6:11.0,R. Hollis-Jefferson makes free throw 2 of 2,,32,48
2,5:59.0,,B. Marjanović misses 3-pt jump shot from 24 ft,32,48
2,5:56.0,Defensive rebound by R. Hollis-Jefferson,,32,48
2,5:52.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,34,48
2,5:52.0,Shooting foul by M. Scott (drawn by R. Hollis-Jefferson),,34,48
2,5:52.0,R. Hollis-Jefferson makes free throw 1 of 1,,35,48
2,5:36.0,,T. Harris makes 2-pt layup from 2 ft,35,50
2,5:27.0,R. Hollis-Jefferson makes 2-pt jump shot from 20 ft (assist by S. Dinwiddie),,37,50
2,5:14.0,,M. Scott misses 2-pt layup from 3 ft,37,50
2,5:12.0,Defensive rebound by R. Hollis-Jefferson,,37,50
2,5:06.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,37,50
2,5:03.0,Offensive rebound by C. LeVert,,37,50
2,5:03.0,C. LeVert makes 2-pt layup from 1 ft,,39,50
2,5:03.0,,Philadelphia full timeout,39,50
2,5:03.0,S. Napier enters the game for D. Carroll,,39,50
2,4:43.0,,J. Butler misses 2-pt jump shot from 2 ft,39,50
2,4:42.0,Defensive rebound by C. LeVert,,39,50
2,4:42.0,Personal foul by B. Marjanović (drawn by C. LeVert),,39,50
2,4:42.0,C. LeVert makes free throw 1 of 2,,40,50
2,4:42.0,,J. Redick enters the game for T. Harris,40,50
2,4:42.0,,B. Simmons enters the game for T. McConnell,40,50
2,4:42.0,C. LeVert makes free throw 2 of 2,,41,50
2,4:23.0,,Personal foul by S. Dinwiddie (drawn by J. Butler),41,50
2,4:15.0,,B. Marjanović makes 2-pt jump shot from 9 ft (assist by B. Simmons),41,52
2,4:03.0,C. LeVert misses 3-pt jump shot from 26 ft,,41,52
2,3:59.0,,Defensive rebound by J. Butler,41,52
2,3:53.0,,J. Butler misses 2-pt jump shot from 7 ft,41,52
2,3:49.0,Defensive rebound by R. Hollis-Jefferson,,41,52
2,3:45.0,S. Napier misses 3-pt jump shot from 23 ft,,41,52
2,3:42.0,,Defensive rebound by B. Marjanović,41,52
2,3:32.0,,Turnover by B. Simmons (bad pass; steal by S. Dinwiddie),41,52
2,3:27.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,41,52
2,3:27.0,Offensive rebound by Team,,41,52
2,3:27.0,,Loose ball foul by J. Butler (drawn by C. LeVert),41,52
2,3:27.0,C. LeVert misses free throw 1 of 2,,41,52
2,3:27.0,Offensive rebound by Team,,41,52
2,3:27.0,,J. Embiid enters the game for B. Marjanović,41,52
2,3:27.0,C. LeVert makes free throw 2 of 2,,42,52
2,3:18.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),42,55
2,3:03.0,Turnover by S. Dinwiddie (bad pass; steal by J. Embiid),,42,55
2,2:57.0,,B. Simmons makes 2-pt layup from 2 ft,42,57
2,2:33.0,Shooting foul by J. Embiid (drawn by S. Dinwiddie),,42,57
2,2:33.0,,Technical foul by J. Butler,42,57
2,2:33.0,S. Dinwiddie makes technical free throw,,43,57
2,2:33.0,S. Dinwiddie makes free throw 1 of 2,,44,57
2,2:33.0,R. Kurucs enters the game for C. LeVert,,44,57
2,2:33.0,S. Dinwiddie makes free throw 2 of 2,,45,57
2,2:21.0,,J. Embiid misses 2-pt jump shot from 18 ft,45,57
2,2:19.0,Defensive rebound by J. Harris,,45,57
2,2:08.0,S. Dinwiddie makes 2-pt layup at rim,,47,57
2,2:01.0,,Offensive foul by J. Embiid (drawn by R. Hollis-Jefferson),47,57
2,2:01.0,,Turnover by J. Embiid (offensive foul),47,57
2,1:52.0,Shooting foul by J. Embiid (drawn by R. Hollis-Jefferson),,47,57
2,1:52.0,R. Hollis-Jefferson makes free throw 1 of 2,,48,57
2,1:52.0,,B. Marjanović enters the game for J. Embiid,48,57
2,1:52.0,,Technical foul by J. Embiid,48,57
2,1:52.0,J. Harris makes technical free throw,,49,57
2,1:52.0,R. Hollis-Jefferson makes free throw 2 of 2,,50,57
2,1:45.0,,Personal foul by S. Dinwiddie (drawn by B. Simmons),50,57
2,1:45.0,D. Carroll enters the game for S. Napier,,50,57
2,1:41.0,Technical foul by D. Russell,,50,57
2,1:41.0,,J. Redick makes technical free throw,50,58
2,1:33.0,,B. Marjanović makes 2-pt jump shot from 20 ft (assist by M. Scott),50,60
2,1:21.0,J. Harris makes 2-pt jump shot from 8 ft (assist by S. Dinwiddie),,52,60
2,1:13.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),52,63
2,0:54.0,S. Dinwiddie makes 2-pt jump shot from 8 ft,,54,63
2,0:45.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Marjanović),54,66
2,0:30.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,56,66
2,0:22.0,,Personal foul by S. Dinwiddie (drawn by B. Simmons),56,66
2,0:22.0,,B. Simmons makes free throw 1 of 2,56,67
2,0:22.0,,T. Harris enters the game for B. Marjanović,56,67
2,0:22.0,,B. Simmons makes free throw 2 of 2,56,68
2,0:03.0,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft (assist by J. Harris),,58,68
2,0:00.0,,J. Redick misses 3-pt jump shot from 27 ft (block by D. Carroll),58,68
2,0:00.0,,Offensive rebound by Team,58,68
3,11:45.0,J. Harris misses 2-pt layup from 2 ft,,58,68
3,11:40.0,Offensive rebound by R. Hollis-Jefferson,,58,68
3,11:40.0,R. Hollis-Jefferson misses 2-pt layup at rim,,58,68
3,11:40.0,Offensive rebound by R. Hollis-Jefferson,,58,68
3,11:36.0,R. Hollis-Jefferson misses 2-pt layup from 4 ft,,58,68
3,11:33.0,,Defensive rebound by J. Redick,58,68
3,11:24.0,,B. Simmons misses 2-pt jump shot from 5 ft,58,68
3,11:24.0,,Offensive rebound by Team,58,68
3,11:17.0,,J. Embiid makes 2-pt jump shot from 8 ft,58,70
3,11:07.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,61,70
3,10:52.0,,Turnover by J. Embiid (lost ball; steal by R. Hollis-Jefferson),61,70
3,10:47.0,Turnover by D. Russell (bad pass; steal by J. Embiid),,61,70
3,10:47.0,,Personal foul by J. Harris (drawn by T. Harris),61,70
3,10:32.0,,B. Simmons misses 2-pt jump shot from 16 ft,61,70
3,10:29.0,Defensive rebound by D. Carroll,,61,70
3,10:25.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by D. Carroll),,63,70
3,10:17.0,,J. Redick misses 3-pt jump shot from 26 ft,63,70
3,10:14.0,Defensive rebound by R. Kurucs,,63,70
3,10:07.0,D. Russell misses 3-pt jump shot from 25 ft,,63,70
3,10:04.0,,Defensive rebound by J. Redick,63,70
3,9:57.0,,Personal foul by D. Carroll (drawn by J. Redick),63,70
3,9:49.0,,Def 3 sec tech foul by Team,63,70
3,9:49.0,,J. Redick makes technical free throw,63,71
3,9:41.0,,Turnover by T. Harris (traveling),63,71
3,9:33.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,65,71
3,9:33.0,,Philadelphia full timeout,65,71
3,9:24.0,,J. Redick misses 3-pt jump shot from 25 ft,65,71
3,9:20.0,Defensive rebound by D. Carroll,,65,71
3,9:18.0,Shooting foul by B. Simmons (drawn by R. Kurucs),,65,71
3,9:18.0,R. Kurucs misses free throw 1 of 2,,65,71
3,9:18.0,Offensive rebound by Team,,65,71
3,9:18.0,R. Kurucs misses free throw 2 of 2,,65,71
3,9:16.0,,Defensive rebound by B. Simmons,65,71
3,9:10.0,,T. Harris misses 3-pt jump shot from 24 ft,65,71
3,9:06.0,Defensive rebound by R. Hollis-Jefferson,,65,71
3,9:03.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Redick),,65,71
3,8:58.0,,J. Redick misses 3-pt jump shot from 26 ft,65,71
3,8:55.0,Defensive rebound by Team,,65,71
3,8:41.0,J. Harris misses 3-pt jump shot from 27 ft,,65,71
3,8:37.0,,Defensive rebound by J. Embiid,65,71
3,8:26.0,,Shooting foul by J. Harris (drawn by J. Embiid),65,71
3,8:26.0,,J. Embiid misses free throw 1 of 2,65,71
3,8:26.0,,Offensive rebound by Team,65,71
3,8:26.0,,J. Embiid makes free throw 2 of 2,65,72
3,8:10.0,Turnover by D. Russell (bad pass; steal by J. Butler),,65,72
3,7:58.0,,Shooting foul by J. Harris (drawn by J. Embiid),65,72
3,7:58.0,,J. Embiid makes free throw 1 of 2,65,73
3,7:58.0,,J. Embiid makes free throw 2 of 2,65,74
3,7:49.0,D. Russell misses 2-pt layup from 3 ft,,65,74
3,7:47.0,,Defensive rebound by J. Embiid,65,74
3,7:41.0,,Personal foul by R. Hollis-Jefferson (drawn by J. Embiid),65,74
3,7:41.0,,J. Embiid misses free throw 1 of 2,65,74
3,7:41.0,,Offensive rebound by Team,65,74
3,7:41.0,S. Dinwiddie enters the game for D. Russell,,65,74
3,7:41.0,,J. Embiid makes free throw 2 of 2,65,75
3,7:32.0,Offensive foul by R. Kurucs (drawn by T. Harris),,65,75
3,7:32.0,Turnover by R. Kurucs (offensive foul),,65,75
3,7:24.0,,T. Harris makes 2-pt dunk from 2 ft (assist by J. Redick),65,77
3,7:10.0,S. Dinwiddie misses 2-pt jump shot from 3 ft,,65,77
3,7:08.0,Offensive rebound by R. Hollis-Jefferson,,65,77
3,7:08.0,R. Hollis-Jefferson misses 2-pt jump shot from 2 ft,,65,77
3,7:08.0,,Defensive rebound by Team,65,77
3,7:08.0,,B. Marjanović enters the game for J. Embiid,65,77
3,7:08.0,,T. McConnell enters the game for J. Redick,65,77
3,7:08.0,,M. Scott enters the game for B. Simmons,65,77
3,6:52.0,,J. Butler misses 2-pt jump shot from 15 ft,65,77
3,6:48.0,Defensive rebound by D. Carroll,,65,77
3,6:44.0,R. Kurucs misses 3-pt jump shot from 23 ft,,65,77
3,6:41.0,,Defensive rebound by T. Harris,65,77
3,6:31.0,,T. Harris makes 2-pt jump shot from 2 ft,65,79
3,6:31.0,Brooklyn full timeout,,65,79
3,6:31.0,J. Dudley enters the game for D. Carroll,,65,79
3,6:31.0,C. LeVert enters the game for R. Kurucs,,65,79
3,6:14.0,J. Harris misses 3-pt jump shot from 26 ft,,65,79
3,6:10.0,,Defensive rebound by T. McConnell,65,79
3,5:54.0,,T. McConnell misses 2-pt jump shot from 9 ft,65,79
3,5:54.0,Defensive rebound by Team,,65,79
3,5:54.0,,Loose ball foul by B. Marjanović (drawn by C. LeVert),65,79
3,5:32.0,Turnover by S. Dinwiddie (bad pass; steal by T. Harris),,65,79
3,5:23.0,,B. Marjanović makes 2-pt jump shot from 1 ft (assist by T. Harris),65,81
3,5:02.0,Shooting foul by B. Marjanović (drawn by R. Hollis-Jefferson),,65,81
3,5:02.0,R. Hollis-Jefferson makes free throw 1 of 2,,66,81
3,5:02.0,S. Napier enters the game for J. Harris,,66,81
3,5:02.0,R. Hollis-Jefferson misses free throw 2 of 2,,66,81
3,5:00.0,,Defensive rebound by T. Harris,66,81
3,4:40.0,,M. Scott misses 2-pt jump shot from 23 ft,66,81
3,4:36.0,,Offensive rebound by J. Butler,66,81
3,4:36.0,,J. Butler makes 2-pt layup at rim,66,83
3,4:18.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Napier),,68,83
3,3:58.0,,B. Marjanović makes 2-pt hook shot from 7 ft,68,85
3,3:50.0,C. LeVert makes 3-pt jump shot from 26 ft,,71,85
3,3:35.0,,M. Scott misses 2-pt jump shot from 20 ft,71,85
3,3:34.0,Defensive rebound by C. LeVert,,71,85
3,3:23.0,C. LeVert makes 2-pt layup at rim,,73,85
3,3:02.0,,T. Harris misses 2-pt jump shot from 4 ft,73,85
3,2:59.0,Defensive rebound by S. Dinwiddie,,73,85
3,2:51.0,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,,73,85
3,2:48.0,,Defensive rebound by T. Harris,73,85
3,2:39.0,,B. Marjanović makes 2-pt jump shot from 12 ft (assist by T. Harris),73,87
3,2:27.0,S. Napier makes 2-pt jump shot from 19 ft,,75,87
3,2:10.0,,Personal foul by S. Dinwiddie (drawn by J. Butler),75,87
3,2:10.0,,J. Butler makes free throw 1 of 2,75,88
3,2:10.0,E. Davis enters the game for R. Hollis-Jefferson,,75,88
3,2:10.0,,J. Embiid enters the game for T. Harris,75,88
3,2:10.0,,S. Milton enters the game for B. Marjanović,75,88
3,2:10.0,,B. Simmons enters the game for T. McConnell,75,88
3,2:10.0,,J. Butler makes free throw 2 of 2,75,89
3,1:46.0,S. Napier misses 2-pt jump shot from 15 ft,,75,89
3,1:43.0,Offensive rebound by S. Napier,,75,89
3,1:34.0,J. Dudley makes 3-pt jump shot from 27 ft (assist by C. LeVert),,78,89
3,1:11.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),78,91
3,1:02.0,Shooting foul by B. Simmons (drawn by J. Dudley),,78,91
3,1:02.0,J. Dudley makes free throw 1 of 2,,79,91
3,1:02.0,,J. Redick enters the game for J. Butler,79,91
3,1:02.0,J. Dudley makes free throw 2 of 2,,80,91
3,0:55.0,,Shooting foul by J. Dudley (drawn by J. Embiid),80,91
3,0:55.0,,J. Embiid makes free throw 1 of 2,80,92
3,0:55.0,,J. Embiid makes free throw 2 of 2,80,93
3,0:42.0,C. LeVert makes 2-pt layup from 1 ft (assist by E. Davis),,82,93
3,0:35.0,,Shooting foul by E. Davis (drawn by J. Embiid),82,93
3,0:35.0,,J. Embiid makes free throw 1 of 2,82,94
3,0:35.0,,J. Embiid makes free throw 2 of 2,82,95
3,0:28.0,S. Napier misses 3-pt jump shot from 26 ft,,82,95
3,0:25.0,,Defensive rebound by J. Embiid,82,95
3,0:07.0,,M. Scott makes 3-pt jump shot from 28 ft (assist by J. Redick),82,98
3,0:00.0,S. Dinwiddie misses 3-pt jump shot from 30 ft,,82,98
3,0:00.0,Offensive rebound by Team,,82,98
4,11:46.0,,Personal foul by E. Davis (drawn by J. Embiid),82,98
4,11:34.0,,J. Redick misses 3-pt jump shot from 27 ft,82,98
4,11:31.0,Defensive rebound by E. Davis,,82,98
4,11:23.0,C. LeVert misses 2-pt jump shot from 9 ft,,82,98
4,11:21.0,,Defensive rebound by J. Embiid,82,98
4,11:08.0,,J. Embiid misses 2-pt jump shot from 20 ft,82,98
4,11:05.0,Defensive rebound by E. Davis,,82,98
4,10:54.0,D. Russell misses 2-pt jump shot from 19 ft,,82,98
4,10:51.0,,Defensive rebound by J. Redick,82,98
4,10:46.0,,B. Simmons makes 2-pt layup from 2 ft,82,100
4,10:24.0,D. Russell makes 2-pt layup from 3 ft (assist by J. Dudley),,84,100
4,10:24.0,,Violation by Team (def goaltending),84,100
4,10:14.0,,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),84,102
4,10:03.0,C. LeVert misses 2-pt layup from 2 ft,,84,102
4,9:59.0,Offensive rebound by E. Davis,,84,102
4,9:59.0,E. Davis makes 2-pt layup at rim,,86,102
4,9:54.0,,J. Embiid misses 3-pt jump shot from 26 ft,86,102
4,9:50.0,Defensive rebound by E. Davis,,86,102
4,9:46.0,Personal foul by J. Redick (drawn by J. Harris),,86,102
4,9:46.0,R. Hollis-Jefferson enters the game for E. Davis,,86,102
4,9:46.0,R. Kurucs enters the game for J. Dudley,,86,102
4,9:38.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,86,102
4,9:35.0,,Defensive rebound by M. Scott,86,102
4,9:26.0,,Turnover by B. Simmons (bad pass; steal by C. LeVert),86,102
4,9:20.0,D. Russell makes 3-pt jump shot from 27 ft (assist by C. LeVert),,89,102
4,9:08.0,,J. Redick misses 2-pt jump shot from 21 ft,89,102
4,9:08.0,Defensive rebound by R. Kurucs,,89,102
4,9:07.0,Turnover by D. Russell (palming),,89,102
4,9:07.0,,J. Butler enters the game for J. Redick,89,102
4,9:07.0,,T. Harris enters the game for M. Scott,89,102
4,8:57.0,,J. Embiid misses 2-pt jump shot from 19 ft,89,102
4,8:53.0,Defensive rebound by C. LeVert,,89,102
4,8:45.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,89,102
4,8:45.0,,Defensive rebound by J. Embiid,89,102
4,8:34.0,,B. Simmons misses 2-pt layup from 1 ft,89,102
4,8:34.0,Defensive rebound by R. Hollis-Jefferson,,89,102
4,8:34.0,Personal foul by B. Simmons (drawn by R. Hollis-Jefferson),,89,102
4,8:30.0,J. Harris makes 2-pt layup at rim (assist by D. Russell),,91,102
4,8:17.0,,B. Simmons makes 2-pt layup from 1 ft,91,104
4,8:00.0,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,94,104
