QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
1,0:31.0,J. Ennis makes 2-pt jump shot from 3 ft (assist by J. Redick),,30,39
1,0:31.0,Shooting foul by F. VanVleet (drawn by J. Ennis),,30,39
1,0:31.0,J. Ennis makes free throw 1 of 1,,31,39
1,0:16.0,,Shooting foul by J. Embiid (drawn by F. VanVleet),31,39
1,0:16.0,,F. VanVleet misses free throw 1 of 2,31,39
1,0:16.0,,Offensive rebound by Team,31,39
1,0:16.0,,F. VanVleet misses free throw 2 of 2,31,39
1,0:14.0,Defensive rebound by B. Simmons,,31,39
1,0:00.0,J. Embiid misses 2-pt jump shot from 12 ft,,31,39
1,0:00.0,Offensive rebound by Team,,31,39
2,11:47.0,Shooting foul by S. Ibaka (drawn by J. Embiid),,31,39
2,11:47.0,J. Embiid makes free throw 1 of 2,,32,39
2,11:47.0,J. Embiid makes free throw 2 of 2,,33,39
2,11:37.0,,P. Siakam makes 2-pt jump shot from 6 ft (assist by K. Lowry),33,41
2,11:24.0,J. Redick misses 3-pt jump shot from 26 ft,,33,41
2,11:21.0,,Defensive rebound by N. Powell,33,41
2,11:17.0,,Turnover by N. Powell (out of bounds lost ball),33,41
2,11:06.0,Personal foul by F. VanVleet (drawn by B. Simmons),,33,41
2,11:02.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),,35,41
2,10:41.0,,S. Ibaka misses 2-pt jump shot from 13 ft,35,41
2,10:39.0,Defensive rebound by T. Harris,,35,41
2,10:35.0,T. Harris misses 3-pt jump shot from 28 ft,,35,41
2,10:32.0,Offensive rebound by T. Harris,,35,41
2,10:25.0,J. Redick misses 3-pt jump shot from 26 ft,,35,41
2,10:23.0,,Defensive rebound by P. Siakam,35,41
2,10:18.0,,Shooting foul by B. Simmons (drawn by P. Siakam),35,41
2,10:18.0,,P. Siakam misses free throw 1 of 2,35,41
2,10:18.0,,Offensive rebound by Team,35,41
2,10:18.0,,D. Green enters the game for N. Powell,35,41
2,10:18.0,,P. Siakam makes free throw 2 of 2,35,42
2,9:58.0,J. Embiid misses 2-pt hook shot from 5 ft,,35,42
2,9:55.0,Offensive rebound by J. Embiid,,35,42
2,9:54.0,J. Embiid misses 2-pt layup from 4 ft,,35,42
2,9:53.0,,Defensive rebound by D. Green,35,42
2,9:48.0,,S. Ibaka misses 2-pt layup from 1 ft,35,42
2,9:48.0,,Offensive rebound by S. Ibaka,35,42
2,9:46.0,,S. Ibaka misses 2-pt layup at rim,35,42
2,9:46.0,Defensive rebound by Team,,35,42
2,9:46.0,,K. Leonard enters the game for P. Siakam,35,42
2,9:23.0,B. Simmons misses 2-pt jump shot from 5 ft,,35,42
2,9:23.0,Offensive rebound by B. Simmons,,35,42
2,9:23.0,,Loose ball foul by K. Lowry (drawn by B. Simmons),35,42
2,9:11.0,T. Harris misses 2-pt jump shot from 8 ft,,35,42
2,9:08.0,,Defensive rebound by S. Ibaka,35,42
2,8:56.0,,K. Lowry misses 2-pt layup from 2 ft,35,42
2,8:54.0,Defensive rebound by J. Embiid,,35,42
2,8:49.0,T. Harris makes 2-pt jump shot from 6 ft (assist by B. Simmons),,37,42
2,8:34.0,,Turnover by K. Lowry (bad pass; steal by T. Harris),37,42
2,8:29.0,J. Redick misses 3-pt jump shot from 23 ft,,37,42
2,8:27.0,Offensive rebound by J. Embiid,,37,42
2,8:26.0,J. Embiid makes 2-pt layup from 2 ft,,39,42
2,8:26.0,,Toronto full timeout,39,42
2,8:26.0,J. Ennis enters the game for J. Butler,,39,42
2,8:26.0,B. Marjanović enters the game for J. Embiid,,39,42
2,8:14.0,,K. Leonard misses 2-pt jump shot from 16 ft,39,42
2,8:12.0,Defensive rebound by B. Marjanović,,39,42
2,8:02.0,T. Harris makes 2-pt jump shot from 18 ft,,41,42
2,7:51.0,,S. Ibaka misses 3-pt jump shot from 27 ft,41,42
2,7:48.0,Defensive rebound by T. Harris,,41,42
2,7:40.0,B. Marjanović misses 2-pt jump shot from 12 ft,,41,42
2,7:39.0,,Defensive rebound by K. Leonard,41,42
2,7:39.0,,Personal foul by B. Marjanović (drawn by K. Leonard),41,42
2,7:39.0,,M. Gasol enters the game for S. Ibaka,41,42
2,7:19.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Lowry),41,45
2,7:03.0,Turnover by T. Harris (traveling),,41,45
2,6:55.0,,Shooting foul by B. Simmons (drawn by K. Leonard),41,45
2,6:55.0,,K. Leonard makes free throw 1 of 2,41,46
2,6:55.0,J. Butler enters the game for B. Simmons,,41,46
2,6:55.0,,K. Leonard makes free throw 2 of 2,41,47
2,6:40.0,J. Butler misses 2-pt jump shot from 12 ft,,41,47
2,6:37.0,,Defensive rebound by K. Leonard,41,47
2,6:31.0,,K. Leonard makes 2-pt layup from 1 ft,41,49
2,6:31.0,Philadelphia full timeout,,41,49
2,6:10.0,J. Ennis misses 3-pt jump shot from 27 ft,,41,49
2,6:06.0,Offensive rebound by T. Harris,,41,49
2,6:00.0,T. Harris misses 2-pt jump shot from 5 ft,,41,49
2,5:58.0,Offensive rebound by T. Harris,,41,49
2,5:52.0,Turnover by J. Ennis (out of bounds lost ball),,41,49
2,5:44.0,,Shooting foul by J. Butler (drawn by K. Leonard),41,49
2,5:44.0,,K. Leonard makes free throw 1 of 2,41,50
2,5:44.0,,K. Leonard makes free throw 2 of 2,41,51
2,5:22.0,B. Marjanović makes 2-pt layup from 3 ft (assist by T. Harris),,43,51
2,5:12.0,,K. Lowry makes 2-pt layup from 1 ft (assist by M. Gasol),43,53
2,4:58.0,T. Harris makes 2-pt jump shot from 12 ft,,45,53
2,4:33.0,,M. Gasol misses 3-pt jump shot from 26 ft,45,53
2,4:29.0,Defensive rebound by T. Harris,,45,53
2,4:28.0,Offensive foul by T. Harris (drawn by K. Lowry),,45,53
2,4:28.0,Turnover by T. Harris (offensive foul),,45,53
2,4:28.0,J. Embiid enters the game for B. Marjanović,,45,53
2,4:28.0,B. Simmons enters the game for J. Redick,,45,53
2,4:28.0,,P. Siakam enters the game for F. VanVleet,45,53
2,4:18.0,,D. Green misses 3-pt jump shot from 25 ft,45,53
2,4:14.0,Defensive rebound by J. Embiid,,45,53
2,4:02.0,Personal foul by M. Gasol (drawn by J. Embiid),,45,53
2,4:02.0,J. Bolden enters the game for T. Harris,,45,53
2,3:53.0,J. Bolden misses 3-pt jump shot from 27 ft,,45,53
2,3:50.0,Offensive rebound by B. Simmons,,45,53
2,3:49.0,Personal foul by D. Green (drawn by J. Embiid),,45,53
2,3:49.0,J. Embiid misses free throw 1 of 2,,45,53
2,3:49.0,Offensive rebound by Team,,45,53
2,3:49.0,J. Embiid makes free throw 2 of 2,,46,53
2,3:34.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by M. Gasol),46,55
2,3:12.0,Offensive foul by J. Bolden (drawn by K. Lowry),,46,55
2,3:12.0,Turnover by J. Bolden (offensive foul),,46,55
2,2:58.0,,M. Gasol misses 2-pt jump shot from 20 ft,46,55
2,2:56.0,Defensive rebound by J. Embiid,,46,55
2,2:51.0,J. Bolden misses 2-pt jump shot from 3 ft,,46,55
2,2:49.0,,Defensive rebound by K. Leonard,46,55
2,2:45.0,,K. Leonard makes 2-pt jump shot from 7 ft,46,57
2,2:21.0,J. Embiid misses 3-pt jump shot from 27 ft,,46,57
2,2:17.0,,Defensive rebound by K. Lowry,46,57
2,2:14.0,,K. Lowry misses 3-pt jump shot from 25 ft,46,57
2,2:14.0,Defensive rebound by J. Embiid,,46,57
2,1:51.0,J. Embiid misses 2-pt hook shot from 6 ft,,46,57
2,1:47.0,Offensive rebound by B. Simmons,,46,57
2,1:47.0,B. Simmons makes 2-pt layup from 1 ft,,48,57
2,1:33.0,,P. Siakam makes 2-pt jump shot from 10 ft (assist by K. Lowry),48,59
2,1:23.0,B. Simmons makes 2-pt layup from 1 ft,,50,59
2,1:09.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by K. Leonard),50,61
2,0:40.0,J. Embiid misses 2-pt hook shot from 11 ft,,50,61
2,0:38.0,,Defensive rebound by K. Leonard,50,61
2,0:33.0,,Offensive foul by K. Leonard (drawn by J. Ennis),50,61
2,0:33.0,,Turnover by K. Leonard (offensive foul),50,61
2,0:33.0,T. Harris enters the game for J. Bolden,,50,61
2,0:33.0,J. Redick enters the game for J. Ennis,,50,61
2,0:19.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),,52,61
2,0:02.0,,K. Leonard misses 3-pt jump shot from 26 ft,52,61
2,0:02.0,,Offensive rebound by K. Lowry,52,61
2,0:00.0,,K. Lowry misses 2-pt jump shot from 11 ft,52,61
2,0:00.0,,Offensive rebound by Team,52,61
3,11:45.0,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Butler),,55,61
3,11:25.0,,K. Leonard makes 2-pt jump shot from 9 ft,55,63
3,11:13.0,Personal foul by K. Lowry (drawn by J. Redick),,55,63
3,11:00.0,T. Harris misses 2-pt jump shot from 20 ft (block by M. Gasol),,55,63
3,10:59.0,Offensive rebound by J. Redick,,55,63
3,10:58.0,Turnover by Team (shot clock),,55,63
3,10:42.0,,K. Leonard misses 3-pt jump shot from 26 ft,55,63
3,10:39.0,Defensive rebound by T. Harris,,55,63
3,10:32.0,J. Redick misses 3-pt jump shot from 25 ft,,55,63
3,10:29.0,,Defensive rebound by D. Green,55,63
3,10:27.0,,Personal foul by J. Redick (drawn by K. Leonard),55,63
3,10:18.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by D. Green),55,66
3,10:07.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,58,66
3,9:53.0,,P. Siakam makes 2-pt hook shot from 11 ft,58,68
3,9:30.0,Turnover by T. Harris (traveling),,58,68
3,9:14.0,,Turnover by K. Leonard (lost ball; steal by B. Simmons),58,68
3,9:10.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Butler),,61,68
3,9:00.0,,Offensive foul by D. Green (drawn by J. Redick),61,68
3,9:00.0,,Turnover by D. Green (offensive foul),61,68
3,8:48.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),,64,68
3,8:31.0,,K. Lowry makes 2-pt jump shot from 21 ft,64,70
3,8:08.0,Turnover by J. Redick (out of bounds lost ball),,64,70
3,7:50.0,,M. Gasol makes 3-pt jump shot from 27 ft (assist by K. Lowry),64,73
3,7:32.0,Turnover by B. Simmons (lost ball; steal by K. Lowry),,64,73
3,7:21.0,,Shooting foul by J. Redick (drawn by D. Green),64,73
3,7:21.0,Technical foul by J. Redick,,64,73
3,7:21.0,,K. Leonard makes technical free throw,64,74
3,7:21.0,,D. Green makes free throw 1 of 2,64,75
3,7:21.0,,D. Green makes free throw 2 of 2,64,76
3,7:09.0,Offensive foul by T. Harris (drawn by K. Lowry),,64,76
3,7:09.0,Turnover by T. Harris (offensive foul),,64,76
3,7:09.0,J. Ennis enters the game for J. Redick,,64,76
3,7:09.0,F. Korkmaz enters the game for B. Simmons,,64,76
3,6:59.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),64,78
3,6:59.0,Philadelphia full timeout,,64,78
3,6:41.0,Personal foul by M. Gasol (drawn by J. Embiid),,64,78
3,6:29.0,J. Embiid misses 2-pt hook shot from 4 ft,,64,78
3,6:27.0,,Defensive rebound by M. Gasol,64,78
3,6:11.0,,Personal foul by F. Korkmaz (drawn by M. Gasol),64,78
3,6:02.0,,K. Leonard makes 3-pt jump shot from 26 ft,64,81
3,5:48.0,J. Butler makes 2-pt layup from 1 ft,,66,81
3,5:37.0,,M. Gasol misses 3-pt jump shot from 28 ft,66,81
3,5:35.0,Defensive rebound by T. Harris,,66,81
3,5:18.0,Shooting foul by K. Lowry (drawn by J. Ennis),,66,81
3,5:18.0,J. Ennis misses free throw 1 of 3,,66,81
3,5:18.0,Offensive rebound by Team,,66,81
3,5:18.0,J. Ennis makes free throw 2 of 3,,67,81
3,5:18.0,B. Marjanović enters the game for J. Embiid,,67,81
3,5:18.0,J. Ennis misses free throw 3 of 3,,67,81
3,5:16.0,,Defensive rebound by P. Siakam,67,81
3,5:03.0,,K. Lowry misses 3-pt jump shot from 31 ft,67,81
3,5:00.0,Defensive rebound by J. Butler,,67,81
3,4:50.0,T. Harris misses 2-pt jump shot from 8 ft,,67,81
3,4:48.0,Offensive rebound by T. Harris,,67,81
3,4:45.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by F. Korkmaz),,70,81
3,4:38.0,,Personal foul by J. Ennis (drawn by K. Lowry),70,81
3,4:38.0,,F. VanVleet enters the game for K. Lowry,70,81
3,4:34.0,,Turnover by P. Siakam (bad pass),70,81
3,4:16.0,F. Korkmaz misses 2-pt jump shot from 11 ft (block by F. VanVleet),,70,81
3,4:15.0,,Defensive rebound by Team,70,81
3,3:58.0,,M. Gasol misses 2-pt jump shot from 20 ft,70,81
3,3:55.0,Defensive rebound by T. Harris,,70,81
3,3:51.0,T. Harris misses 2-pt layup from 5 ft (block by K. Leonard),,70,81
3,3:47.0,,Defensive rebound by F. VanVleet,70,81
3,3:46.0,,P. Siakam makes 2-pt dunk from 2 ft (assist by F. VanVleet),70,83
3,3:36.0,J. Butler misses 3-pt jump shot from 25 ft,,70,83
3,3:36.0,,Defensive rebound by M. Gasol,70,83
3,3:18.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),70,86
3,3:17.0,Philadelphia full timeout,,70,86
3,3:17.0,J. Embiid enters the game for J. Ennis,,70,86
3,3:17.0,J. Redick enters the game for F. Korkmaz,,70,86
3,3:17.0,B. Simmons enters the game for B. Marjanović,,70,86
3,3:17.0,,S. Ibaka enters the game for M. Gasol,70,86
3,3:06.0,J. Redick misses 3-pt jump shot from 25 ft,,70,86
3,3:03.0,,Defensive rebound by P. Siakam,70,86
3,2:52.0,,P. Siakam misses 2-pt hook shot from 6 ft,70,86
3,2:50.0,Defensive rebound by J. Embiid,,70,86
3,2:31.0,J. Butler misses 3-pt jump shot from 25 ft,,70,86
3,2:27.0,,Defensive rebound by K. Leonard,70,86
3,2:23.0,,Shooting foul by J. Embiid (drawn by K. Leonard),70,86
3,2:23.0,,K. Leonard misses free throw 1 of 2,70,86
3,2:23.0,,Offensive rebound by Team,70,86
3,2:23.0,,K. Leonard makes free throw 2 of 2,70,87
3,2:09.0,T. Harris misses 2-pt jump shot from 15 ft,,70,87
3,2:05.0,,Defensive rebound by F. VanVleet,70,87
3,1:57.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by F. VanVleet),70,89
3,1:44.0,B. Simmons makes 2-pt layup at rim,,72,89
3,1:34.0,,K. Leonard makes 2-pt jump shot from 5 ft,72,91
3,1:23.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Butler),,75,91
3,1:12.0,,Toronto full timeout,75,91
3,1:12.0,,N. Powell enters the game for K. Leonard,75,91
3,1:04.0,,D. Green misses 3-pt jump shot from 26 ft,75,91
3,1:02.0,Defensive rebound by B. Simmons,,75,91
3,0:48.0,Shooting foul by D. Green (drawn by J. Butler),,75,91
3,0:48.0,J. Butler makes free throw 1 of 3,,76,91
3,0:48.0,J. Butler makes free throw 2 of 3,,77,91
3,0:48.0,J. Butler misses free throw 3 of 3,,77,91
3,0:47.0,,Defensive rebound by P. Siakam,77,91
3,0:36.0,,Personal foul by B. Simmons (drawn by F. VanVleet),77,91
3,0:36.0,,F. VanVleet misses free throw 1 of 2,77,91
3,0:36.0,,Offensive rebound by Team,77,91
3,0:36.0,,F. VanVleet makes free throw 2 of 2,77,92
3,0:20.0,J. Embiid misses 2-pt jump shot from 9 ft,,77,92
3,0:18.0,,Defensive rebound by S. Ibaka,77,92
3,0:16.0,,D. Green misses 3-pt jump shot from 26 ft,77,92
3,0:13.0,Defensive rebound by J. Redick,,77,92
3,0:00.0,B. Simmons makes 2-pt hook shot from 4 ft,,79,92
3,0:00.0,Shooting foul by P. Siakam (drawn by B. Simmons),,79,92
3,0:00.0,B. Simmons misses free throw 1 of 1,,79,92
3,0:00.0,Offensive rebound by Team,,79,92
3,0:00.0,,Loose ball foul by S. Ibaka (drawn by J. Embiid),79,92
3,0:00.0,J. Embiid makes free throw 1 of 2,,80,92
3,0:00.0,J. Embiid makes free throw 2 of 2,,81,92
4,11:46.0,,F. VanVleet makes 2-pt jump shot from 17 ft,81,94
4,11:22.0,J. Butler misses 2-pt layup from 5 ft (block by K. Lowry),,81,94
4,11:22.0,,Defensive rebound by N. Powell,81,94
4,11:18.0,,S. Ibaka makes 2-pt dunk from 3 ft (assist by F. VanVleet),81,96
4,11:18.0,Philadelphia full timeout,,81,96
4,10:54.0,J. Embiid makes 2-pt jump shot from 12 ft (assist by J. Butler),,83,96
4,10:25.0,,S. Ibaka misses 2-pt hook shot from 10 ft,83,96
4,10:22.0,Defensive rebound by B. Simmons,,83,96
4,10:12.0,J. Redick misses 3-pt jump shot from 25 ft,,83,96
4,10:09.0,,Defensive rebound by S. Ibaka,83,96
4,10:09.0,J. Ennis enters the game for J. Butler,,83,96
4,10:09.0,,K. Leonard enters the game for P. Siakam,83,96
4,9:59.0,,F. VanVleet misses 3-pt jump shot from 26 ft,83,96
4,9:54.0,Defensive rebound by T. Harris,,83,96
4,9:40.0,T. Harris makes 2-pt jump shot from 8 ft,,85,96
4,9:29.0,,N. Powell misses 2-pt jump shot from 15 ft,85,96
4,9:27.0,Defensive rebound by B. Simmons,,85,96
4,9:17.0,J. Embiid misses 3-pt jump shot from 27 ft,,85,96
4,9:14.0,Offensive rebound by Team,,85,96
4,9:04.0,J. Embiid misses 2-pt jump shot from 5 ft,,85,96
4,9:02.0,,Defensive rebound by S. Ibaka,85,96
4,9:01.0,,Toronto full timeout,85,96
4,8:47.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),85,98
4,8:26.0,T. Harris misses 2-pt jump shot from 17 ft,,85,98
4,8:23.0,,Defensive rebound by K. Lowry,85,98
4,8:14.0,,S. Ibaka misses 3-pt jump shot from 27 ft,85,98
4,8:10.0,Defensive rebound by T. Harris,,85,98
4,8:06.0,Turnover by T. Harris (out of bounds lost ball),,85,98
4,8:06.0,J. Butler enters the game for J. Embiid,,85,98
4,7:46.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by N. Powell),85,101
4,7:20.0,T. Harris misses 3-pt jump shot from 26 ft,,85,101
4,7:15.0,,Defensive rebound by S. Ibaka,85,101
4,7:06.0,,K. Leonard makes 2-pt jump shot from 14 ft,85,103
4,7:05.0,Philadelphia full timeout,,85,103
4,7:05.0,J. Bolden enters the game for J. Ennis,,85,103
4,6:48.0,J. Butler misses 2-pt layup from 1 ft,,85,103
4,6:47.0,,Defensive rebound by K. Leonard,85,103
4,6:44.0,,K. Leonard misses 3-pt jump shot from 26 ft,85,103
4,6:43.0,Defensive rebound by Team,,85,103
4,6:43.0,,Loose ball foul by S. Ibaka (drawn by J. Bolden),85,103
4,6:35.0,Personal foul by K. Lowry (drawn by J. Butler),,85,103
4,6:20.0,T. Harris misses 2-pt jump shot from 2 ft (block by S. Ibaka),,85,103
4,6:18.0,Offensive rebound by J. Bolden,,85,103
4,6:18.0,Turnover by Team (shot clock),,85,103
4,5:58.0,,K. Lowry misses 3-pt jump shot from 27 ft,85,103
4,5:54.0,Defensive rebound by J. Butler,,85,103
4,5:48.0,J. Redick makes 2-pt jump shot from 22 ft (assist by T. Harris),,87,103
4,5:28.0,,K. Lowry misses 3-pt jump shot from 24 ft,87,103
4,5:25.0,Defensive rebound by T. Harris,,87,103
4,5:11.0,T. Harris misses 2-pt jump shot from 11 ft (block by S. Ibaka),,87,103
4,5:10.0,Offensive rebound by Team,,87,103
4,5:10.0,,P. Siakam enters the game for N. Powell,87,103
4,5:06.0,J. Butler misses 2-pt jump shot from 16 ft,,87,103
4,5:03.0,,Defensive rebound by P. Siakam,87,103
4,5:00.0,,Turnover by P. Siakam (bad pass; steal by B. Simmons),87,103
4,4:50.0,J. Bolden misses 3-pt jump shot from 26 ft,,87,103
4,4:50.0,,Defensive rebound by K. Leonard,87,103
4,4:45.0,,Shooting foul by J. Redick (drawn by K. Leonard),87,103
4,4:45.0,,K. Leonard makes free throw 1 of 2,87,104
4,4:45.0,,K. Leonard makes free throw 2 of 2,87,105
4,4:27.0,Turnover by J. Bolden (bad pass; steal by K. Leonard),,87,105
4,4:25.0,,Personal foul by B. Simmons (drawn by K. Leonard),87,105
4,4:17.0,,K. Leonard makes 2-pt jump shot from 9 ft,87,107
4,4:10.0,Philadelphia full timeout,,87,107
4,4:10.0,F. Korkmaz enters the game for J. Butler,,87,107
4,4:10.0,T. McConnell enters the game for T. Harris,,87,107
4,4:10.0,G. Monroe enters the game for J. Redick,,87,107
4,4:10.0,Z. Smith enters the game for B. Simmons,,87,107
4,4:06.0,Shooting foul by S. Ibaka (drawn by G. Monroe),,87,107
4,4:06.0,G. Monroe misses free throw 1 of 2,,87,107
4,4:06.0,Offensive rebound by Team,,87,107
4,4:06.0,G. Monroe makes free throw 2 of 2,,88,107
4,3:53.0,,Turnover by P. Siakam (traveling),88,107
4,3:40.0,G. Monroe misses 2-pt hook shot from 4 ft,,88,107
4,3:38.0,,Defensive rebound by K. Leonard,88,107
4,3:22.0,,K. Leonard misses 3-pt jump shot from 26 ft,88,107
4,3:19.0,Defensive rebound by F. Korkmaz,,88,107
