QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,2:29.0,,Defensive rebound by S. Ibaka,32,27
1,2:10.0,,M. Gasol misses 2-pt jump shot from 13 ft,32,27
1,2:08.0,Defensive rebound by J. Isaac,,32,27
1,1:59.0,T. Ross misses 3-pt jump shot from 25 ft,,32,27
1,1:56.0,Offensive rebound by M. Carter-Williams,,32,27
1,1:49.0,Turnover by K. Birch (out of bounds lost ball),,32,27
1,1:49.0,,J. Lin enters the game for M. Gasol,32,27
1,1:49.0,,P. Siakam enters the game for D. Green,32,27
1,1:36.0,,P. Siakam misses 2-pt jump shot from 4 ft,32,27
1,1:33.0,Defensive rebound by M. Carter-Williams,,32,27
1,1:28.0,M. Carter-Williams makes 2-pt jump shot from 14 ft,,34,27
1,1:11.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by F. VanVleet),34,29
1,0:55.0,K. Birch makes 2-pt jump shot from 9 ft (assist by M. Carter-Williams),,36,29
1,0:43.0,,S. Ibaka misses 2-pt jump shot from 9 ft,36,29
1,0:40.0,Defensive rebound by M. Carter-Williams,,36,29
1,0:37.0,T. Ross misses 3-pt jump shot from 28 ft,,36,29
1,0:32.0,Offensive rebound by W. Iwundu,,36,29
1,0:28.0,T. Ross misses 3-pt jump shot from 25 ft,,36,29
1,0:25.0,,Defensive rebound by J. Lin,36,29
1,0:07.0,,F. VanVleet misses 3-pt jump shot from 28 ft,36,29
1,0:03.0,Defensive rebound by J. Isaac,,36,29
1,0:01.0,Personal take foul by N. Powell (drawn by M. Carter-Williams),,36,29
1,0:00.0,Turnover by W. Iwundu (bad pass; steal by N. Powell),,36,29
2,11:47.0,,S. Ibaka makes 2-pt jump shot from 22 ft (assist by F. VanVleet),36,31
2,11:37.0,Personal foul by P. Siakam (drawn by J. Isaac),,36,31
2,11:32.0,E. Fournier makes 2-pt jump shot from 20 ft (assist by J. Isaac),,38,31
2,11:05.0,,Turnover by F. VanVleet (bad pass; steal by J. Isaac),38,31
2,11:02.0,K. Birch makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),,40,31
2,10:37.0,,S. Ibaka misses 2-pt dunk from 3 ft (block by J. Isaac),40,31
2,10:37.0,,Offensive rebound by Team,40,31
2,10:35.0,,N. Powell misses 3-pt jump shot from 24 ft,40,31
2,10:31.0,Defensive rebound by J. Isaac,,40,31
2,10:22.0,E. Fournier makes 2-pt jump shot from 14 ft,,42,31
2,10:03.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by F. VanVleet),42,34
2,9:44.0,E. Fournier misses 2-pt layup from 2 ft,,42,34
2,9:42.0,,Defensive rebound by S. Ibaka,42,34
2,9:40.0,,Shooting foul by M. Carter-Williams (drawn by F. VanVleet),42,34
2,9:40.0,,F. VanVleet makes free throw 1 of 2,42,35
2,9:40.0,,K. Lowry enters the game for J. Lin,42,35
2,9:40.0,,F. VanVleet makes free throw 2 of 2,42,36
2,9:25.0,M. Carter-Williams misses 3-pt jump shot from 26 ft,,42,36
2,9:24.0,,Defensive rebound by Team,42,36
2,9:13.0,,Turnover by N. Powell (bad pass),42,36
2,9:09.0,T. Ross makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,45,36
2,8:53.0,,Personal foul by T. Ross (drawn by N. Powell),45,36
2,8:46.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by S. Ibaka),45,39
2,8:25.0,T. Ross misses 2-pt jump shot from 14 ft,,45,39
2,8:23.0,,Defensive rebound by K. Lowry,45,39
2,8:20.0,,K. Lowry misses 3-pt jump shot from 28 ft,45,39
2,8:15.0,Defensive rebound by T. Ross,,45,39
2,8:09.0,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),,47,39
2,7:44.0,,F. VanVleet makes 2-pt layup from 1 ft,47,41
2,7:27.0,E. Fournier misses 2-pt hook shot from 4 ft,,47,41
2,7:24.0,Offensive rebound by E. Fournier,,47,41
2,7:23.0,E. Fournier misses 2-pt layup from 1 ft,,47,41
2,7:23.0,,Defensive rebound by S. Ibaka,47,41
2,7:09.0,,P. Siakam misses 2-pt layup from 5 ft (block by J. Isaac),47,41
2,7:08.0,,Offensive rebound by P. Siakam,47,41
2,7:06.0,,P. Siakam makes 2-pt layup from 2 ft,47,43
2,6:59.0,Orlando full timeout,,47,43
2,6:59.0,D. Augustin enters the game for K. Birch,,47,43
2,6:59.0,A. Gordon enters the game for M. Carter-Williams,,47,43
2,6:59.0,W. Iwundu enters the game for E. Fournier,,47,43
2,6:59.0,N. Vučević enters the game for J. Isaac,,47,43
2,6:59.0,,D. Green enters the game for N. Powell,47,43
2,6:59.0,,K. Leonard enters the game for P. Siakam,47,43
2,6:44.0,N. Vučević misses 2-pt jump shot from 19 ft,,47,43
2,6:41.0,,Defensive rebound by D. Green,47,43
2,6:38.0,,Personal foul by D. Augustin (drawn by K. Lowry),47,43
2,6:22.0,,K. Leonard misses 2-pt layup from 2 ft (block by A. Gordon),47,43
2,6:22.0,Defensive rebound by Team,,47,43
2,6:08.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,50,43
2,5:56.0,,Shooting foul by W. Iwundu (drawn by K. Lowry),50,43
2,5:56.0,,K. Lowry misses free throw 1 of 2,50,43
2,5:56.0,,Offensive rebound by Team,50,43
2,5:56.0,,M. Gasol enters the game for S. Ibaka,50,43
2,5:56.0,,K. Lowry makes free throw 2 of 2,50,44
2,5:39.0,N. Vučević misses 2-pt jump shot from 15 ft,,50,44
2,5:35.0,,Defensive rebound by K. Leonard,50,44
2,5:29.0,,K. Leonard misses 2-pt jump shot from 9 ft,50,44
2,5:26.0,Defensive rebound by N. Vučević,,50,44
2,5:14.0,N. Vučević misses 2-pt layup from 5 ft (block by D. Green),,50,44
2,5:14.0,Offensive rebound by W. Iwundu,,50,44
2,5:14.0,D. Augustin misses 3-pt jump shot from 24 ft,,50,44
2,5:11.0,,Defensive rebound by K. Leonard,50,44
2,5:04.0,,K. Leonard misses 2-pt layup from 5 ft,50,44
2,5:03.0,,Offensive rebound by K. Leonard,50,44
2,5:00.0,,K. Leonard makes 2-pt layup from 1 ft,50,46
2,5:00.0,,Shooting foul by N. Vučević (drawn by K. Leonard),50,46
2,5:00.0,,K. Leonard makes free throw 1 of 1,50,47
2,4:46.0,D. Augustin misses 2-pt layup from 2 ft,,50,47
2,4:44.0,,Defensive rebound by D. Green,50,47
2,4:41.0,,Turnover by D. Green (bad pass),50,47
2,4:22.0,Turnover by D. Augustin (bad pass; steal by F. VanVleet),,50,47
2,4:18.0,,Turnover by D. Green (bad pass; steal by T. Ross),50,47
2,4:11.0,Turnover by W. Iwundu (bad pass; steal by K. Lowry),,50,47
2,4:02.0,,D. Green misses 3-pt jump shot from 23 ft,50,47
2,3:58.0,Defensive rebound by A. Gordon,,50,47
2,3:52.0,Turnover by A. Gordon (lost ball; steal by D. Green),,50,47
2,3:41.0,,Turnover by D. Green (traveling),50,47
2,3:41.0,E. Fournier enters the game for W. Iwundu,,50,47
2,3:18.0,D. Augustin misses 2-pt layup from 5 ft,,50,47
2,3:15.0,Offensive rebound by N. Vučević,,50,47
2,3:15.0,N. Vučević misses 2-pt layup from 1 ft,,50,47
2,3:15.0,,Defensive rebound by Team,50,47
2,3:15.0,,Toronto full timeout,50,47
2,3:15.0,J. Isaac enters the game for T. Ross,,50,47
2,2:58.0,,D. Green makes 2-pt jump shot from 16 ft (assist by M. Gasol),50,49
2,2:45.0,Offensive foul by D. Augustin (drawn by M. Gasol),,50,49
2,2:45.0,Turnover by D. Augustin (offensive foul),,50,49
2,2:29.0,,K. Leonard misses 2-pt layup from 4 ft,50,49
2,2:27.0,Defensive rebound by A. Gordon,,50,49
2,2:25.0,Personal foul by K. Lowry (drawn by A. Gordon),,50,49
2,2:22.0,Personal foul by K. Lowry (drawn by J. Isaac),,50,49
2,2:22.0,M. Carter-Williams enters the game for D. Augustin,,50,49
2,2:14.0,A. Gordon misses 2-pt jump shot from 7 ft,,50,49
2,2:10.0,,Defensive rebound by K. Lowry,50,49
2,1:54.0,,F. VanVleet misses 3-pt jump shot from 26 ft,50,49
2,1:51.0,,Offensive rebound by K. Leonard,50,49
2,1:49.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Leonard),50,52
2,1:49.0,,Shooting foul by N. Vučević (drawn by M. Gasol),50,52
2,1:49.0,K. Birch enters the game for N. Vučević,,50,52
2,1:49.0,,M. Gasol makes free throw 1 of 1,50,53
2,1:30.0,Turnover by E. Fournier (lost ball; steal by D. Green),,50,53
2,1:26.0,,K. Leonard makes 2-pt layup from 1 ft (assist by D. Green),50,55
2,1:07.0,J. Isaac misses 3-pt jump shot from 26 ft,,50,55
2,1:03.0,,Defensive rebound by M. Gasol,50,55
2,0:49.0,Violation by Team (kicked ball),,50,55
2,0:42.0,,Shooting foul by K. Birch (drawn by K. Leonard),50,55
2,0:42.0,,K. Leonard makes free throw 1 of 2,50,56
2,0:42.0,T. Ross enters the game for J. Isaac,,50,56
2,0:42.0,,K. Leonard makes free throw 2 of 2,50,57
2,0:31.0,E. Fournier makes 2-pt jump shot from 2 ft (assist by M. Carter-Williams),,52,57
2,0:27.0,,K. Lowry makes 3-pt jump shot from 25 ft,52,60
2,0:08.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,52,60
2,0:04.0,,Defensive rebound by K. Lowry,52,60
2,0:04.0,,Personal foul by M. Carter-Williams (drawn by K. Lowry),52,60
2,0:04.0,,K. Lowry makes free throw 1 of 2,52,61
2,0:04.0,,K. Lowry makes free throw 2 of 2,52,62
2,0:00.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,52,62
2,0:00.0,Offensive rebound by Team,,52,62
3,11:48.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Gasol),52,65
3,11:37.0,Personal foul by P. Siakam (drawn by J. Isaac),,52,65
3,11:31.0,E. Fournier misses 3-pt jump shot from 28 ft,,52,65
3,11:28.0,,Defensive rebound by M. Gasol,52,65
3,11:17.0,,Shooting foul by J. Isaac (drawn by P. Siakam),52,65
3,11:17.0,,P. Siakam misses free throw 1 of 2,52,65
3,11:17.0,,Offensive rebound by Team,52,65
3,11:17.0,,P. Siakam makes free throw 2 of 2,52,66
3,11:02.0,N. Vučević misses 2-pt layup from 3 ft,,52,66
3,11:00.0,,Defensive rebound by M. Gasol,52,66
3,10:53.0,,Turnover by P. Siakam (bad pass; steal by J. Isaac),52,66
3,10:53.0,Personal foul by K. Leonard (drawn by D. Augustin),,52,66
3,10:40.0,E. Fournier misses 2-pt hook shot from 7 ft,,52,66
3,10:37.0,,Defensive rebound by K. Lowry,52,66
3,10:30.0,,Personal foul by J. Isaac (drawn by M. Gasol),52,66
3,10:24.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by P. Siakam),52,68
3,10:11.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),,55,68
3,9:57.0,,P. Siakam misses 2-pt jump shot from 4 ft,55,68
3,9:53.0,Defensive rebound by N. Vučević,,55,68
3,9:31.0,A. Gordon misses 3-pt jump shot from 27 ft,,55,68
3,9:28.0,,Defensive rebound by K. Leonard,55,68
3,9:28.0,,Personal foul by D. Augustin (drawn by K. Leonard),55,68
3,9:09.0,,D. Green misses 3-pt jump shot from 24 ft,55,68
3,9:06.0,Defensive rebound by N. Vučević,,55,68
3,8:56.0,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),,57,68
3,8:40.0,,P. Siakam misses 3-pt jump shot from 24 ft,57,68
3,8:38.0,Defensive rebound by N. Vučević,,57,68
3,8:32.0,J. Isaac makes 2-pt dunk at rim (assist by D. Augustin),,59,68
3,8:17.0,,D. Green makes 2-pt layup from 4 ft,59,70
3,8:02.0,J. Isaac misses 3-pt jump shot from 26 ft,,59,70
3,7:58.0,,Defensive rebound by P. Siakam,59,70
3,7:43.0,,D. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),59,73
3,7:42.0,Orlando full timeout,,59,73
3,7:20.0,N. Vučević misses 2-pt hook shot from 12 ft,,59,73
3,7:17.0,,Defensive rebound by D. Green,59,73
3,7:09.0,,D. Green misses 2-pt layup from 3 ft,59,73
3,7:08.0,,Offensive rebound by K. Lowry,59,73
3,7:06.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),59,76
3,6:55.0,Turnover by D. Augustin (lost ball; steal by K. Leonard),,59,76
3,6:55.0,,Personal foul by E. Fournier (drawn by K. Leonard),59,76
3,6:41.0,,M. Gasol misses 3-pt jump shot from 25 ft,59,76
3,6:36.0,Defensive rebound by E. Fournier,,59,76
3,6:28.0,Shooting foul by D. Green (drawn by E. Fournier),,59,76
3,6:28.0,E. Fournier makes free throw 1 of 2,,60,76
3,6:28.0,E. Fournier makes free throw 2 of 2,,61,76
3,6:20.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by K. Lowry),61,78
3,5:53.0,D. Augustin misses 3-pt jump shot from 27 ft,,61,78
3,5:50.0,,Defensive rebound by D. Green,61,78
3,5:45.0,,D. Green makes 3-pt jump shot from 27 ft (assist by P. Siakam),61,81
3,5:43.0,Orlando full timeout,,61,81
3,5:43.0,W. Iwundu enters the game for J. Isaac,,61,81
3,5:23.0,Personal foul by M. Gasol (drawn by D. Augustin),,61,81
3,5:13.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by W. Iwundu),,64,81
3,4:48.0,,K. Lowry misses 3-pt jump shot from 28 ft,64,81
3,4:44.0,Defensive rebound by A. Gordon,,64,81
3,4:43.0,Shooting foul by K. Lowry (drawn by E. Fournier),,64,81
3,4:43.0,E. Fournier makes free throw 1 of 2,,65,81
3,4:43.0,E. Fournier makes free throw 2 of 2,,66,81
3,4:31.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Gasol),66,84
3,4:11.0,A. Gordon misses 3-pt jump shot from 25 ft,,66,84
3,4:09.0,,Defensive rebound by D. Green,66,84
3,4:04.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Siakam),66,87
3,3:38.0,A. Gordon misses 2-pt jump shot from 13 ft (block by K. Lowry),,66,87
3,3:38.0,Offensive rebound by Team,,66,87
3,3:38.0,M. Carter-Williams enters the game for D. Augustin,,66,87
3,3:38.0,T. Ross enters the game for E. Fournier,,66,87
3,3:38.0,,F. VanVleet enters the game for K. Lowry,66,87
3,3:36.0,T. Ross misses 2-pt jump shot from 21 ft (block by F. VanVleet),,66,87
3,3:36.0,,Defensive rebound by Team,66,87
3,3:24.0,,Shooting foul by W. Iwundu (drawn by M. Gasol),66,87
3,3:24.0,,M. Gasol makes free throw 1 of 2,66,88
3,3:24.0,,M. Gasol makes free throw 2 of 2,66,89
3,3:24.0,,S. Ibaka enters the game for M. Gasol,66,89
3,3:04.0,T. Ross misses 3-pt jump shot from 23 ft (block by D. Green),,66,89
3,3:04.0,Offensive rebound by Team,,66,89
3,2:59.0,N. Vučević misses 2-pt jump shot from 23 ft,,66,89
3,2:57.0,,Defensive rebound by K. Leonard,66,89
3,2:37.0,,K. Leonard misses 3-pt jump shot from 26 ft,66,89
3,2:34.0,Defensive rebound by N. Vučević,,66,89
3,2:29.0,M. Carter-Williams makes 2-pt layup from 2 ft,,68,89
3,2:17.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by P. Siakam),68,92
3,2:06.0,T. Ross misses 3-pt jump shot from 26 ft,,68,92
3,2:03.0,,Defensive rebound by P. Siakam,68,92
3,1:44.0,,K. Leonard misses 3-pt jump shot from 28 ft,68,92
3,1:40.0,Defensive rebound by N. Vučević,,68,92
3,1:34.0,W. Iwundu makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,70,92
3,1:16.0,,Turnover by F. VanVleet (bad pass; steal by T. Ross),70,92
3,1:12.0,A. Gordon makes 2-pt layup from 1 ft (assist by T. Ross),,72,92
3,1:12.0,,Toronto full timeout,72,92
3,1:12.0,K. Birch enters the game for A. Gordon,,72,92
3,1:12.0,J. Isaac enters the game for N. Vučević,,72,92
3,1:12.0,,J. Lin enters the game for D. Green,72,92
3,1:12.0,,N. Powell enters the game for K. Leonard,72,92
3,0:50.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by F. VanVleet),72,95
3,0:38.0,K. Birch makes 2-pt layup from 2 ft (assist by T. Ross),,74,95
3,0:38.0,Shooting foul by J. Lin (drawn by K. Birch),,74,95
3,0:38.0,K. Birch makes free throw 1 of 1,,75,95
3,0:33.0,,N. Powell misses 3-pt jump shot from 28 ft,75,95
3,0:29.0,Defensive rebound by K. Birch,,75,95
3,0:19.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,75,95
3,0:16.0,,Defensive rebound by N. Powell,75,95
3,0:01.0,,Turnover by N. Powell (out of bounds lost ball),75,95
4,11:48.0,K. Birch makes 2-pt dunk from 1 ft (assist by E. Fournier),,77,95
4,11:36.0,,Offensive foul by S. Ibaka (drawn by M. Carter-Williams),77,95
4,11:36.0,,Turnover by S. Ibaka (offensive foul),77,95
4,11:26.0,E. Fournier makes 2-pt jump shot from 10 ft (assist by K. Birch),,79,95
4,11:15.0,,Offensive foul by S. Ibaka (drawn by K. Birch),79,95
4,11:15.0,,Turnover by S. Ibaka (offensive foul),79,95
4,11:04.0,E. Fournier makes 2-pt jump shot from 14 ft (assist by K. Birch),,81,95
4,10:52.0,,Personal foul by M. Carter-Williams (drawn by F. VanVleet),81,95
4,10:42.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),81,97
4,10:23.0,K. Birch misses 2-pt hook shot from 4 ft,,81,97
4,10:21.0,,Defensive rebound by S. Ibaka,81,97
4,10:12.0,,S. Ibaka misses 2-pt hook shot from 6 ft,81,97
4,10:08.0,Defensive rebound by M. Carter-Williams,,81,97
4,9:57.0,E. Fournier misses 2-pt layup from 4 ft,,81,97
4,9:56.0,Offensive rebound by K. Birch,,81,97
4,9:55.0,K. Birch misses 2-pt layup from 3 ft (block by F. VanVleet),,81,97
4,9:55.0,Offensive rebound by K. Birch,,81,97
4,9:47.0,K. Birch misses 2-pt layup from 2 ft (block by S. Ibaka),,81,97
4,9:47.0,,Defensive rebound by J. Lin,81,97
4,9:44.0,,J. Lin misses 2-pt layup from 3 ft,81,97
4,9:41.0,Defensive rebound by E. Fournier,,81,97
4,9:28.0,Turnover by J. Isaac (lost ball; steal by F. VanVleet),,81,97
4,9:27.0,,Personal foul by M. Carter-Williams (drawn by N. Powell),81,97
4,9:13.0,,J. Lin misses 2-pt jump shot from 13 ft,81,97
4,9:12.0,,Offensive rebound by S. Ibaka,81,97
4,9:12.0,,S. Ibaka makes 2-pt layup from 2 ft,81,99
4,9:12.0,,Shooting foul by J. Isaac (drawn by S. Ibaka),81,99
4,9:12.0,,S. Ibaka misses free throw 1 of 1,81,99
4,9:09.0,Defensive rebound by T. Ross,,81,99
4,9:02.0,Turnover by T. Ross (traveling),,81,99
4,8:53.0,,J. Meeks makes 2-pt jump shot from 6 ft (assist by F. VanVleet),81,101
4,8:50.0,Orlando full timeout,,81,101
4,8:40.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,84,101
4,8:23.0,,S. Ibaka makes 2-pt hook shot from 2 ft (assist by J. Meeks),84,103
4,8:09.0,J. Isaac misses 2-pt jump shot from 21 ft,,84,103
4,8:07.0,,Defensive rebound by Team,84,103
4,7:57.0,,J. Meeks misses 2-pt jump shot from 17 ft,84,103
4,7:55.0,Defensive rebound by K. Birch,,84,103
4,7:46.0,M. Carter-Williams makes 2-pt jump shot from 5 ft,,86,103
4,7:28.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by N. Powell),86,105
4,7:14.0,E. Fournier misses 2-pt jump shot from 17 ft,,86,105
4,7:14.0,,Defensive rebound by S. Ibaka,86,105
4,7:07.0,,F. VanVleet misses 2-pt layup from 2 ft (block by K. Birch),86,105
4,7:02.0,Defensive rebound by J. Isaac,,86,105
4,6:53.0,M. Carter-Williams makes 2-pt jump shot from 6 ft (assist by E. Fournier),,88,105
4,6:38.0,,J. Lin makes 2-pt layup from 2 ft,88,107
4,6:29.0,Personal foul by F. VanVleet (drawn by E. Fournier),,88,107
4,6:29.0,D. Augustin enters the game for K. Birch,,88,107
4,6:29.0,A. Gordon enters the game for M. Carter-Williams,,88,107
4,6:29.0,N. Vučević enters the game for J. Isaac,,88,107
4,6:22.0,Turnover by N. Vučević (bad pass),,88,107
4,6:12.0,,Personal foul by E. Fournier (drawn by J. Lin),88,107
4,6:06.0,,N. Powell misses 3-pt jump shot from 26 ft,88,107
4,6:02.0,Defensive rebound by N. Vučević,,88,107
4,5:49.0,D. Augustin misses 2-pt jump shot from 13 ft (block by J. Lin),,88,107
4,5:45.0,,Defensive rebound by J. Lin,88,107
4,5:45.0,,Shooting foul by E. Fournier (drawn by J. Lin),88,107
4,5:45.0,Orlando full timeout,,88,107
4,5:45.0,M. Carter-Williams enters the game for D. Augustin,,88,107
4,5:45.0,J. Grant enters the game for E. Fournier,,88,107
4,5:45.0,W. Iwundu enters the game for A. Gordon,,88,107
4,5:45.0,A. Jefferson enters the game for T. Ross,,88,107
4,5:45.0,J. Martin enters the game for N. Vučević,,88,107
4,5:45.0,,J. Lin makes free throw 1 of 2,88,108
4,5:45.0,,J. Lin misses free throw 2 of 2,88,108
4,5:43.0,Defensive rebound by A. Jefferson,,88,108
4,5:29.0,J. Grant makes 2-pt jump shot from 15 ft,,90,108
4,5:12.0,,N. Powell makes 2-pt layup from 2 ft,90,110
4,4:53.0,W. Iwundu makes 3-pt jump shot from 26 ft (assist by A. Jefferson),,93,110
4,4:38.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by F. VanVleet),93,112
4,4:24.0,J. Martin misses 3-pt jump shot from 24 ft,,93,112
4,4:21.0,,Defensive rebound by J. Meeks,93,112
4,4:07.0,,Turnover by S. Ibaka (offensive foul),93,112
4,4:07.0,,Offensive foul by S. Ibaka (drawn by J. Martin),93,112
4,4:07.0,,C. Boucher enters the game for S. Ibaka,93,112
4,4:07.0,,J. Loyd enters the game for N. Powell,93,112
4,4:07.0,,M. Miller enters the game for F. VanVleet,93,112
4,3:58.0,Shooting foul by M. Miller (drawn by J. Grant),,93,112
4,3:58.0,J. Grant misses free throw 1 of 2,,93,112
4,3:58.0,Offensive rebound by Team,,93,112
4,3:58.0,J. Grant misses free throw 2 of 2,,93,112
4,3:55.0,,Defensive rebound by M. Miller,93,112
4,3:45.0,,J. Lin misses 2-pt layup from 6 ft,93,112
