QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
1,4:37.0,,Defensive rebound by J. Nurkić,16,17
1,4:31.0,,C. McCollum misses 3-pt jump shot from 25 ft,16,17
1,4:29.0,Defensive rebound by R. Rubio,,16,17
1,4:17.0,K. Korver misses 3-pt jump shot from 23 ft,,16,17
1,4:15.0,,Defensive rebound by J. Nurkić,16,17
1,4:03.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by E. Turner),16,19
1,3:41.0,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),,18,19
1,3:19.0,,D. Lillard makes 3-pt jump shot from 32 ft,18,22
1,3:18.0,Utah full timeout,,18,22
1,3:18.0,D. Exum enters the game for R. Gobert,,18,22
1,3:18.0,D. Favors enters the game for D. Mitchell,,18,22
1,3:18.0,J. Ingles enters the game for R. Rubio,,18,22
1,3:18.0,,Z. Collins enters the game for A. Aminu,18,22
1,3:18.0,,S. Curry enters the game for C. McCollum,18,22
1,3:18.0,,M. Leonard enters the game for J. Nurkić,18,22
1,3:10.0,K. Korver makes 2-pt jump shot from 15 ft (assist by D. Exum),,20,22
1,2:44.0,,Turnover by D. Lillard (out of bounds lost ball),20,22
1,2:31.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,22
1,2:28.0,,Defensive rebound by M. Leonard,20,22
1,2:12.0,,E. Turner misses 2-pt jump shot from 12 ft,20,22
1,2:10.0,Defensive rebound by Team,,20,22
1,1:57.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),,22,22
1,1:31.0,,Turnover by D. Lillard (bad pass; steal by K. Korver),22,22
1,1:26.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by K. Korver),,25,22
1,1:11.0,,Personal foul by D. Exum (drawn by M. Leonard),25,22
1,1:11.0,,N. Stauskas enters the game for D. Lillard,25,22
1,1:03.0,,E. Turner makes 2-pt jump shot from 17 ft (assist by M. Leonard),25,24
1,0:56.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),,28,24
1,0:40.0,,E. Turner makes 2-pt jump shot from 19 ft (assist by N. Stauskas),28,26
1,0:32.0,D. Exum makes 2-pt layup from 2 ft,,30,26
1,0:32.0,,Violation by Team (def goaltending),30,26
1,0:15.0,,Turnover by E. Turner (bad pass; steal by D. Exum),30,26
1,0:00.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Exum),,33,26
2,11:48.0,J. Crowder misses 3-pt jump shot from 25 ft,,33,26
2,11:45.0,,Defensive rebound by E. Turner,33,26
2,11:35.0,,Z. Collins makes 2-pt jump shot from 4 ft,33,28
2,11:24.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Exum),,36,28
2,10:59.0,,Z. Collins misses 2-pt jump shot from 14 ft,36,28
2,10:58.0,Defensive rebound by J. Ingles,,36,28
2,10:46.0,D. Exum misses 2-pt layup from 1 ft,,36,28
2,10:45.0,,Defensive rebound by M. Leonard,36,28
2,10:39.0,,S. Curry misses 3-pt jump shot from 28 ft,36,28
2,10:36.0,Defensive rebound by D. Exum,,36,28
2,10:28.0,Turnover by J. Ingles (bad pass),,36,28
2,10:08.0,,M. Leonard misses 3-pt jump shot from 25 ft,36,28
2,10:05.0,,Offensive rebound by Z. Collins,36,28
2,10:04.0,,Z. Collins makes 2-pt layup from 1 ft,36,30
2,9:52.0,J. Crowder makes 2-pt layup from 2 ft (assist by D. Exum),,38,30
2,9:52.0,Shooting foul by Z. Collins (drawn by J. Crowder),,38,30
2,9:52.0,R. O'Neale enters the game for J. Ingles,,38,30
2,9:52.0,J. Crowder misses free throw 1 of 1,,38,30
2,9:50.0,,Defensive rebound by E. Turner,38,30
2,9:42.0,,M. Leonard makes 3-pt jump shot from 26 ft (assist by E. Turner),38,33
2,9:25.0,D. Favors makes 2-pt dunk from 1 ft (assist by D. Exum),,40,33
2,9:10.0,,N. Stauskas misses 2-pt jump shot from 16 ft,40,33
2,9:08.0,Defensive rebound by K. Korver,,40,33
2,8:55.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. O'Neale),,43,33
2,8:32.0,,Turnover by M. Leonard (bad pass),43,33
2,8:32.0,T. Sefolosha enters the game for J. Crowder,,43,33
2,8:23.0,D. Exum makes 2-pt dunk from 1 ft,,45,33
2,8:23.0,,Portland full timeout,45,33
2,8:07.0,,N. Stauskas makes 2-pt jump shot from 14 ft,45,35
2,7:50.0,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Exum),,48,35
2,7:30.0,,Z. Collins misses 3-pt jump shot from 24 ft,48,35
2,7:28.0,Defensive rebound by K. Korver,,48,35
2,7:20.0,Shooting foul by E. Turner (drawn by D. Favors),,48,35
2,7:20.0,D. Favors makes free throw 1 of 2,,49,35
2,7:20.0,D. Mitchell enters the game for D. Exum,,49,35
2,7:20.0,R. Rubio enters the game for K. Korver,,49,35
2,7:20.0,,A. Aminu enters the game for Z. Collins,49,35
2,7:20.0,,M. Harkless enters the game for S. Curry,49,35
2,7:20.0,,D. Lillard enters the game for M. Leonard,49,35
2,7:20.0,,C. McCollum enters the game for N. Stauskas,49,35
2,7:20.0,,J. Nurkić enters the game for E. Turner,49,35
2,7:20.0,D. Favors misses free throw 2 of 2,,49,35
2,7:17.0,,Defensive rebound by M. Harkless,49,35
2,7:02.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),49,37
2,6:49.0,Turnover by D. Mitchell (out of bounds lost ball),,49,37
2,6:38.0,,Shooting foul by T. Sefolosha (drawn by J. Nurkić),49,37
2,6:38.0,,J. Nurkić misses free throw 1 of 2,49,37
2,6:38.0,,Offensive rebound by Team,49,37
2,6:38.0,R. Gobert enters the game for D. Favors,,49,37
2,6:38.0,,J. Nurkić misses free throw 2 of 2,49,37
2,6:36.0,Defensive rebound by R. O'Neale,,49,37
2,6:23.0,Turnover by R. Rubio (bad pass; steal by D. Lillard),,49,37
2,6:18.0,,M. Harkless misses 2-pt layup from 2 ft,49,37
2,6:16.0,Defensive rebound by D. Mitchell,,49,37
2,6:01.0,D. Mitchell misses 3-pt jump shot from 26 ft,,49,37
2,5:58.0,,Defensive rebound by D. Lillard,49,37
2,5:56.0,,D. Lillard misses 3-pt jump shot from 27 ft (block by R. Rubio),49,37
2,5:56.0,,Offensive rebound by D. Lillard,49,37
2,5:44.0,,A. Aminu misses 2-pt jump shot from 20 ft,49,37
2,5:41.0,Defensive rebound by D. Mitchell,,49,37
2,5:37.0,R. Rubio misses 2-pt layup from 1 ft (block by D. Lillard),,49,37
2,5:37.0,Offensive rebound by Team,,49,37
2,5:27.0,Turnover by R. Rubio (lost ball; steal by D. Lillard),,49,37
2,5:25.0,,Personal take foul by T. Sefolosha (drawn by D. Lillard),49,37
2,5:19.0,,C. McCollum makes 2-pt jump shot from 15 ft,49,39
2,5:02.0,D. Mitchell makes 2-pt jump shot from 6 ft,,51,39
2,4:44.0,,C. McCollum misses 3-pt jump shot from 26 ft,51,39
2,4:42.0,Defensive rebound by R. Gobert,,51,39
2,4:35.0,Shooting foul by J. Nurkić (drawn by R. Gobert),,51,39
2,4:35.0,R. Gobert makes free throw 1 of 2,,52,39
2,4:35.0,J. Crowder enters the game for R. O'Neale,,52,39
2,4:35.0,J. Ingles enters the game for T. Sefolosha,,52,39
2,4:35.0,R. Gobert makes free throw 2 of 2,,53,39
2,4:23.0,,D. Lillard misses 3-pt jump shot from 26 ft,53,39
2,4:20.0,,Offensive rebound by D. Lillard,53,39
2,4:16.0,,D. Lillard makes 3-pt jump shot from 22 ft (assist by J. Nurkić),53,42
2,3:51.0,J. Ingles misses 3-pt jump shot from 24 ft,,53,42
2,3:47.0,,Defensive rebound by C. McCollum,53,42
2,3:40.0,,D. Lillard misses 2-pt layup from 2 ft (block by R. Gobert),53,42
2,3:40.0,,Offensive rebound by Team,53,42
2,3:33.0,,C. McCollum makes 2-pt jump shot from 17 ft (assist by M. Harkless),53,44
2,3:15.0,Utah full timeout,,53,44
2,3:15.0,D. Exum enters the game for R. Rubio,,53,44
2,3:08.0,R. Gobert misses 2-pt jump shot from 11 ft (block by J. Nurkić),,53,44
2,3:06.0,,Defensive rebound by J. Nurkić,53,44
2,2:53.0,,C. McCollum misses 2-pt jump shot from 15 ft,53,44
2,2:51.0,Defensive rebound by Team,,53,44
2,2:51.0,,Violation by Team (kicked ball),53,44
2,2:38.0,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),,55,44
2,2:22.0,,Shooting foul by J. Ingles (drawn by M. Harkless),55,44
2,2:22.0,,M. Harkless misses free throw 1 of 2,55,44
2,2:22.0,,Offensive rebound by Team,55,44
2,2:22.0,,M. Harkless makes free throw 2 of 2,55,45
2,2:10.0,J. Ingles misses 3-pt jump shot from 26 ft,,55,45
2,2:07.0,,Defensive rebound by J. Nurkić,55,45
2,1:59.0,,Offensive foul by A. Aminu (drawn by J. Ingles),55,45
2,1:59.0,,Turnover by A. Aminu (offensive foul),55,45
2,1:44.0,R. Gobert misses 2-pt layup from 2 ft,,55,45
2,1:44.0,,Defensive rebound by C. McCollum,55,45
2,1:44.0,,Personal foul by J. Crowder (drawn by C. McCollum),55,45
2,1:31.0,,A. Aminu misses 3-pt jump shot from 26 ft,55,45
2,1:28.0,Defensive rebound by R. Gobert,,55,45
2,1:24.0,D. Mitchell misses 2-pt layup from 2 ft (block by J. Nurkić),,55,45
2,1:24.0,Offensive rebound by Team,,55,45
2,1:17.0,Turnover by D. Mitchell (bad pass; steal by C. McCollum),,55,45
2,1:09.0,,D. Lillard makes 2-pt layup from 1 ft,55,47
2,0:53.0,J. Ingles misses 3-pt jump shot from 28 ft,,55,47
2,0:51.0,,Defensive rebound by C. McCollum,55,47
2,0:43.0,,Turnover by J. Nurkić (lost ball; steal by J. Crowder),55,47
2,0:38.0,D. Mitchell misses 3-pt jump shot from 25 ft,,55,47
2,0:34.0,Offensive rebound by J. Crowder,,55,47
2,0:31.0,Turnover by J. Crowder (lost ball; steal by D. Lillard),,55,47
2,0:18.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by C. McCollum),55,49
2,0:02.0,D. Mitchell misses 3-pt jump shot from 25 ft,,55,49
2,0:02.0,,Defensive rebound by M. Harkless,55,49
3,11:47.0,R. Gobert misses 2-pt hook shot from 3 ft,,55,49
3,11:39.0,,Defensive rebound by A. Aminu,55,49
3,11:37.0,,C. McCollum makes 2-pt dunk from 1 ft (assist by J. Nurkić),55,51
3,11:20.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,57,51
3,11:09.0,,Turnover by C. McCollum (traveling),57,51
3,11:00.0,Shooting foul by J. Nurkić (drawn by D. Mitchell),,57,51
3,11:00.0,D. Mitchell makes free throw 1 of 2,,58,51
3,11:00.0,D. Mitchell misses free throw 2 of 2,,58,51
3,10:57.0,,Defensive rebound by J. Nurkić,58,51
3,10:50.0,,A. Aminu misses 2-pt layup from 1 ft,58,51
3,10:48.0,Defensive rebound by D. Favors,,58,51
3,10:44.0,R. Rubio makes 3-pt jump shot from 24 ft,,61,51
3,10:23.0,,C. McCollum makes 2-pt layup from 1 ft,61,53
3,10:03.0,D. Mitchell misses 2-pt jump shot from 3 ft,,61,53
3,10:01.0,,Defensive rebound by J. Nurkić,61,53
3,9:47.0,,M. Harkless misses 3-pt jump shot from 24 ft,61,53
3,9:44.0,Defensive rebound by R. Gobert,,61,53
3,9:34.0,R. Rubio makes 2-pt layup from 2 ft,,63,53
3,9:23.0,,C. McCollum misses 2-pt jump shot from 16 ft,63,53
3,9:21.0,Defensive rebound by R. Gobert,,63,53
3,9:13.0,Turnover by R. Rubio (bad pass; steal by C. McCollum),,63,53
3,9:09.0,,A. Aminu misses 3-pt jump shot from 27 ft,63,53
3,9:05.0,Defensive rebound by D. Mitchell,,63,53
3,8:53.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,65,53
3,8:52.0,,Portland full timeout,65,53
3,8:35.0,,A. Aminu misses 3-pt jump shot from 23 ft,65,53
3,8:32.0,Defensive rebound by R. Rubio,,65,53
3,8:22.0,Turnover by D. Mitchell (bad pass; steal by C. McCollum),,65,53
3,8:14.0,,A. Aminu misses 2-pt hook shot from 1 ft (block by D. Mitchell),65,53
3,8:12.0,Defensive rebound by D. Mitchell,,65,53
3,8:08.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,67,53
3,7:50.0,,Personal foul by D. Favors (drawn by A. Aminu),67,53
3,7:43.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by J. Nurkić),67,56
3,7:25.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),,69,56
3,7:11.0,,J. Nurkić misses 2-pt jump shot from 15 ft,69,56
3,7:08.0,Defensive rebound by D. Mitchell,,69,56
3,7:03.0,D. Mitchell misses 3-pt jump shot from 26 ft,,69,56
3,7:01.0,,Defensive rebound by J. Nurkić,69,56
3,6:52.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),69,58
3,6:33.0,R. Rubio makes 2-pt jump shot from 8 ft,,71,58
3,6:22.0,,Personal foul by D. Mitchell (drawn by C. McCollum),71,58
3,6:22.0,J. Crowder enters the game for D. Favors,,71,58
3,6:22.0,K. Korver enters the game for J. Ingles,,71,58
3,6:16.0,,D. Lillard misses 3-pt jump shot from 28 ft,71,58
3,6:16.0,Defensive rebound by Team,,71,58
3,5:53.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Rubio),,74,58
3,5:28.0,,C. McCollum misses 2-pt jump shot from 16 ft,74,58
3,5:26.0,Defensive rebound by K. Korver,,74,58
3,5:21.0,K. Korver misses 3-pt jump shot from 30 ft,,74,58
3,5:18.0,,Defensive rebound by J. Nurkić,74,58
3,5:15.0,,Shooting foul by K. Korver (drawn by M. Harkless),74,58
3,5:15.0,,M. Harkless misses free throw 1 of 2,74,58
3,5:15.0,,Offensive rebound by Team,74,58
3,5:15.0,,Z. Collins enters the game for A. Aminu,74,58
3,5:15.0,,M. Leonard enters the game for J. Nurkić,74,58
3,5:15.0,,M. Harkless misses free throw 2 of 2,74,58
3,5:12.0,Defensive rebound by R. Gobert,,74,58
3,4:56.0,D. Mitchell misses 2-pt jump shot from 4 ft,,74,58
3,4:50.0,Offensive rebound by D. Mitchell,,74,58
3,4:49.0,D. Mitchell misses 2-pt layup from 2 ft,,74,58
3,4:49.0,Offensive rebound by R. Gobert,,74,58
3,4:49.0,R. Gobert makes 2-pt layup from 2 ft,,76,58
3,4:36.0,,D. Lillard misses 2-pt dunk from 1 ft,76,58
3,4:34.0,,Offensive rebound by M. Leonard,76,58
3,4:25.0,,D. Lillard misses 2-pt jump shot from 23 ft,76,58
3,4:23.0,,Offensive rebound by D. Lillard,76,58
3,4:22.0,,Turnover by D. Lillard (bad pass),76,58
3,4:22.0,,E. Turner enters the game for M. Harkless,76,58
3,4:07.0,K. Korver misses 3-pt jump shot from 23 ft,,76,58
3,4:05.0,Offensive rebound by R. Gobert,,76,58
3,4:01.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by R. Gobert),,79,58
3,4:01.0,,Portland full timeout,79,58
3,4:01.0,J. Ingles enters the game for D. Mitchell,,79,58
3,3:45.0,,D. Lillard makes 2-pt jump shot from 14 ft (assist by M. Leonard),79,60
3,3:27.0,Offensive foul by R. Gobert (drawn by C. McCollum),,79,60
3,3:27.0,Turnover by R. Gobert (offensive foul),,79,60
3,3:08.0,,C. McCollum misses 2-pt jump shot from 9 ft,79,60
3,3:05.0,Defensive rebound by J. Ingles,,79,60
3,2:57.0,R. Gobert misses 2-pt jump shot from 2 ft,,79,60
3,2:55.0,,Defensive rebound by Z. Collins,79,60
3,2:40.0,,M. Leonard makes 3-pt jump shot from 26 ft,79,63
3,2:25.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,81,63
3,2:15.0,,C. McCollum misses 2-pt jump shot from 5 ft,81,63
3,2:13.0,,Offensive rebound by Z. Collins,81,63
3,2:09.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by Z. Collins),81,66
3,1:43.0,Turnover by R. Gobert (bad pass),,81,66
3,1:43.0,D. Exum enters the game for R. Gobert,,81,66
3,1:43.0,D. Favors enters the game for R. Rubio,,81,66
3,1:43.0,,S. Curry enters the game for C. McCollum,81,66
3,1:24.0,,E. Turner makes 2-pt jump shot from 10 ft,81,68
3,1:07.0,D. Favors misses 2-pt jump shot from 19 ft,,81,68
3,1:04.0,,Defensive rebound by Z. Collins,81,68
3,0:55.0,,Offensive foul by Z. Collins (drawn by J. Crowder),81,68
3,0:55.0,,Turnover by Z. Collins (offensive foul),81,68
3,0:41.0,J. Ingles misses 2-pt hook shot from 3 ft,,81,68
3,0:41.0,,Defensive rebound by Team,81,68
3,0:41.0,Loose ball foul by D. Favors (drawn by M. Leonard),,81,68
3,0:31.0,,Z. Collins misses 3-pt jump shot from 26 ft,81,68
3,0:28.0,Defensive rebound by D. Favors,,81,68
3,0:10.0,D. Favors makes 2-pt dunk at rim,,83,68
3,0:00.0,,D. Lillard misses 2-pt jump shot from 22 ft,83,68
3,0:00.0,,Offensive rebound by Team,83,68
4,11:47.0,,S. Curry makes 3-pt jump shot from 25 ft,83,71
4,11:33.0,Shooting foul by Z. Collins (drawn by D. Favors),,83,71
4,11:33.0,D. Favors misses free throw 1 of 2,,83,71
4,11:33.0,Offensive rebound by Team,,83,71
4,11:33.0,D. Favors makes free throw 2 of 2,,84,71
4,11:23.0,,M. Leonard misses 3-pt jump shot from 26 ft,84,71
4,11:20.0,Defensive rebound by J. Ingles,,84,71
4,11:12.0,J. Crowder misses 3-pt jump shot from 24 ft,,84,71
4,11:10.0,,Defensive rebound by N. Stauskas,84,71
4,10:52.0,,Turnover by M. Leonard (bad pass; steal by J. Ingles),84,71
4,10:45.0,D. Exum makes 2-pt jump shot from 2 ft (assist by J. Ingles),,86,71
4,10:34.0,,Personal foul by D. Exum (drawn by S. Curry),86,71
4,10:19.0,,S. Curry misses 3-pt jump shot from 25 ft,86,71
4,10:17.0,Defensive rebound by D. Favors,,86,71
4,10:09.0,J. Ingles makes 2-pt layup from 2 ft,,88,71
4,10:09.0,Shooting foul by S. Curry (drawn by J. Ingles),,88,71
4,10:09.0,J. Ingles misses free throw 1 of 1,,88,71
4,10:07.0,,Defensive rebound by E. Turner,88,71
4,9:55.0,,Turnover by E. Turner (bad pass),88,71
4,9:55.0,T. Sefolosha enters the game for J. Crowder,,88,71
4,9:41.0,D. Favors makes 2-pt jump shot from 15 ft (assist by J. Ingles),,90,71
4,9:40.0,,Portland full timeout,90,71
4,9:40.0,,D. Lillard enters the game for Z. Collins,90,71
4,9:40.0,,C. McCollum enters the game for M. Leonard,90,71
4,9:40.0,,J. Nurkić enters the game for N. Stauskas,90,71
4,9:19.0,,Personal foul by T. Sefolosha (drawn by E. Turner),90,71
4,9:10.0,,J. Nurkić makes 2-pt hook shot from 5 ft,90,73
4,8:54.0,K. Korver misses 2-pt jump shot from 22 ft,,90,73
4,8:52.0,,Defensive rebound by E. Turner,90,73
4,8:37.0,,J. Nurkić misses 2-pt layup from 2 ft (block by D. Favors),90,73
4,8:35.0,,Offensive rebound by E. Turner,90,73
4,8:34.0,,E. Turner misses 2-pt layup from 4 ft (block by D. Favors),90,73
4,8:31.0,,Offensive rebound by E. Turner,90,73
4,8:30.0,,E. Turner makes 2-pt layup from 2 ft,90,75
4,8:23.0,D. Exum misses 2-pt layup from 6 ft (block by D. Lillard),,90,75
4,8:23.0,,Defensive rebound by C. McCollum,90,75
4,8:15.0,,D. Lillard makes 3-pt jump shot from 30 ft,90,78
4,8:14.0,Utah full timeout,,90,78
4,8:14.0,R. Gobert enters the game for D. Exum,,90,78
4,8:14.0,D. Mitchell enters the game for D. Favors,,90,78
4,8:14.0,R. Rubio enters the game for J. Ingles,,90,78
4,7:59.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,93,78
4,7:43.0,,D. Lillard misses 2-pt layup from 2 ft,93,78
4,7:41.0,Defensive rebound by K. Korver,,93,78
4,7:28.0,Personal foul by C. McCollum (drawn by D. Mitchell),,93,78
4,7:21.0,K. Korver makes 2-pt jump shot from 18 ft (assist by R. Rubio),,95,78
4,7:21.0,Shooting foul by C. McCollum (drawn by K. Korver),,95,78
4,7:21.0,K. Korver makes free throw 1 of 1,,96,78
4,7:12.0,,J. Nurkić misses 2-pt jump shot from 6 ft,96,78
4,7:10.0,Defensive rebound by D. Mitchell,,96,78
4,7:05.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,99,78
4,6:52.0,,C. McCollum makes 2-pt jump shot from 19 ft,99,80
4,6:32.0,R. Rubio makes 2-pt jump shot from 16 ft,,101,80
4,6:21.0,,D. Lillard misses 3-pt jump shot from 25 ft,101,80
4,6:20.0,Defensive rebound by R. Gobert,,101,80
4,6:10.0,R. Rubio misses 2-pt jump shot from 15 ft,,101,80
4,6:08.0,Offensive rebound by Team,,101,80
4,6:05.0,K. Korver makes 2-pt jump shot from 19 ft (assist by D. Mitchell),,103,80
4,5:52.0,,Turnover by D. Lillard (bad pass; steal by R. Rubio),103,80
4,5:47.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by K. Korver),,105,80
4,5:47.0,,Portland full timeout,105,80
4,5:47.0,,W. Baldwin enters the game for S. Curry,105,80
4,5:47.0,,Z. Collins enters the game for D. Lillard,105,80
4,5:47.0,,J. Layman enters the game for C. McCollum,105,80
4,5:47.0,,N. Stauskas enters the game for J. Nurkić,105,80
4,5:47.0,,C. Swanigan enters the game for E. Turner,105,80
4,5:28.0,,N. Stauskas makes 2-pt hook shot from 11 ft,105,82
4,5:11.0,K. Korver misses 3-pt jump shot from 22 ft,,105,82
4,5:10.0,,Defensive rebound by Team,105,82
4,5:10.0,Loose ball foul by R. Gobert (drawn by Z. Collins),,105,82
4,4:56.0,,N. Stauskas misses 2-pt jump shot from 16 ft (block by R. Gobert),105,82
4,4:54.0,Defensive rebound by T. Sefolosha,,105,82
4,4:50.0,Turnover by D. Mitchell (bad pass),,105,82
4,4:50.0,R. O'Neale enters the game for K. Korver,,105,82
4,4:32.0,,Z. Collins misses 3-pt jump shot from 25 ft,105,82
4,4:30.0,Defensive rebound by R. Gobert,,105,82
4,4:19.0,R. Gobert makes 2-pt layup from 2 ft (assist by R. Rubio),,107,82
4,4:19.0,Shooting foul by C. Swanigan (drawn by R. Gobert),,107,82
4,4:19.0,D. Exum enters the game for D. Mitchell,,107,82
4,4:19.0,R. Neto enters the game for R. Rubio,,107,82
4,4:19.0,R. Gobert makes free throw 1 of 1,,108,82
4,4:18.0,,Personal take foul by D. Exum (drawn by C. Swanigan),108,82
4,4:18.0,G. Niang enters the game for R. Gobert,,108,82
4,4:18.0,E. Udoh enters the game for T. Sefolosha,,108,82
4,4:02.0,,W. Baldwin makes 2-pt jump shot from 3 ft (assist by C. Swanigan),108,84
4,3:55.0,Personal foul by W. Baldwin (drawn by R. Neto),,108,84
4,3:55.0,R. Neto makes free throw 1 of 2,,109,84
