QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
1,4:38.0,K. Koufos enters the game for W. Cauley-Stein,,23,20
1,4:38.0,,K. Caldwell-Pope enters the game for L. Ball,23,20
1,4:38.0,I. Shumpert makes free throw 2 of 2,,24,20
1,4:24.0,,Personal foul by B. Hield (drawn by T. Chandler),24,20
1,4:20.0,,Shooting foul by I. Shumpert (drawn by B. Ingram),24,20
1,4:20.0,,B. Ingram makes free throw 1 of 2,24,21
1,4:20.0,Y. Ferrell enters the game for I. Shumpert,,24,21
1,4:20.0,,B. Ingram misses free throw 2 of 2,24,21
1,4:17.0,Defensive rebound by K. Koufos,,24,21
1,4:07.0,Personal foul by K. Caldwell-Pope (drawn by K. Koufos),,24,21
1,4:03.0,B. Bogdanović misses 2-pt jump shot from 24 ft,,24,21
1,4:00.0,,Defensive rebound by B. Ingram,24,21
1,3:54.0,,B. Ingram misses 2-pt layup from 1 ft,24,21
1,3:50.0,,Offensive rebound by T. Chandler,24,21
1,3:50.0,,T. Chandler makes 2-pt layup from 1 ft,24,23
1,3:48.0,Personal foul by J. Hart (drawn by Y. Ferrell),,24,23
1,3:39.0,Turnover by B. Hield (bad pass; steal by J. Hart),,24,23
1,3:31.0,,J. Hart misses 3-pt jump shot from 26 ft,24,23
1,3:28.0,,Offensive rebound by T. Chandler,24,23
1,3:26.0,,Turnover by B. Ingram (discontinued dribble),24,23
1,3:26.0,B. McLemore enters the game for B. Hield,,24,23
1,3:10.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,24,23
1,3:06.0,Offensive rebound by K. Koufos,,24,23
1,3:04.0,K. Koufos makes 2-pt hook shot from 5 ft,,26,23
1,2:51.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by K. Kuzma),26,26
1,2:51.0,,Shooting foul by B. McLemore (drawn by J. Hart),26,26
1,2:51.0,Sacramento full timeout,,26,26
1,2:51.0,,L. Stephenson enters the game for K. Kuzma,26,26
1,2:51.0,,J. Hart makes free throw 1 of 1,26,27
1,2:38.0,Turnover by B. Bogdanović (out of bounds lost ball),,26,27
1,2:30.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by B. Ingram),26,29
1,2:09.0,K. Koufos makes 2-pt hook shot from 7 ft,,28,29
1,1:52.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,28,29
1,1:50.0,,Offensive rebound by T. Chandler,28,29
1,1:45.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),28,32
1,1:34.0,Def 3 sec tech foul by Team,,28,32
1,1:34.0,Y. Ferrell makes technical free throw,,29,32
1,1:27.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,29,32
1,1:26.0,,Defensive rebound by Team,29,32
1,1:12.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by T. Chandler),29,34
1,1:03.0,Y. Ferrell misses 2-pt jump shot from 13 ft,,29,34
1,1:00.0,Offensive rebound by K. Koufos,,29,34
1,0:57.0,Y. Ferrell makes 2-pt jump shot from 21 ft (assist by K. Koufos),,31,34
1,0:45.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by J. Hart),31,37
1,0:32.0,K. Koufos misses 2-pt layup from 1 ft (block by T. Chandler),,31,37
1,0:29.0,,Defensive rebound by T. Chandler,31,37
1,0:26.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,31,37
1,0:22.0,Defensive rebound by K. Koufos,,31,37
1,0:02.0,Turnover by B. Bogdanović (lost ball; steal by K. Caldwell-Pope),,31,37
1,0:00.0,,T. Chandler misses 3-pt jump shot from 24 ft,31,37
1,0:00.0,,Offensive rebound by Team,31,37
2,11:45.0,N. Bjelica misses 3-pt jump shot from 26 ft,,31,37
2,11:39.0,Offensive rebound by B. McLemore,,31,37
2,11:38.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. McLemore),,34,37
2,11:20.0,,L. Stephenson makes 2-pt jump shot from 20 ft,34,39
2,11:10.0,D. Fox makes 2-pt layup from 2 ft,,36,39
2,11:10.0,Shooting foul by L. Stephenson (drawn by D. Fox),,36,39
2,11:10.0,,J. Williams enters the game for J. McGee,36,39
2,11:10.0,D. Fox misses free throw 1 of 1,,36,39
2,11:07.0,,Defensive rebound by K. Caldwell-Pope,36,39
2,10:53.0,,L. Ball misses 3-pt jump shot from 26 ft,36,39
2,10:52.0,Defensive rebound by Team,,36,39
2,10:46.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Fox),,38,39
2,10:26.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by B. Bogdanović),38,39
2,10:23.0,Defensive rebound by B. Bogdanović,,38,39
2,10:21.0,B. McLemore makes 3-pt jump shot from 25 ft,,41,39
2,10:21.0,,LA Lakers full timeout,41,39
2,10:00.0,,L. Stephenson misses 3-pt jump shot from 25 ft,41,39
2,9:56.0,,Offensive rebound by L. Stephenson,41,39
2,9:53.0,,L. Stephenson makes 2-pt layup from 1 ft,41,41
2,9:33.0,D. Fox misses 2-pt jump shot from 21 ft,,41,41
2,9:31.0,,Defensive rebound by L. Stephenson,41,41
2,9:22.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,41,43
2,8:54.0,D. Fox misses 2-pt layup from 4 ft (block by J. Williams),,41,43
2,8:52.0,Offensive rebound by J. Jackson,,41,43
2,8:52.0,Shooting foul by J. Williams (drawn by J. Jackson),,41,43
2,8:52.0,J. Jackson makes free throw 1 of 2,,42,43
2,8:52.0,J. Jackson makes free throw 2 of 2,,43,43
2,8:42.0,,Personal foul by D. Fox (drawn by L. Ball),43,43
2,8:38.0,,L. Ball makes 2-pt jump shot from 4 ft (assist by L. Stephenson),43,45
2,8:22.0,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Bogdanović),,45,45
2,7:55.0,,J. Williams misses 2-pt hook shot from 6 ft,45,45
2,7:53.0,Defensive rebound by N. Bjelica,,45,45
2,7:49.0,B. McLemore makes 2-pt dunk from 2 ft (assist by D. Fox),,47,45
2,7:31.0,,L. Ball makes 2-pt layup from 2 ft,47,47
2,7:14.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,50,47
2,7:00.0,,Personal foul by B. McLemore (drawn by K. Kuzma),50,47
2,7:00.0,,J. Hart enters the game for L. Stephenson,50,47
2,7:00.0,,B. Ingram enters the game for J. Williams,50,47
2,6:54.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by B. Ingram),50,50
2,6:42.0,N. Bjelica misses 2-pt hook shot from 6 ft,,50,50
2,6:39.0,,Defensive rebound by K. Kuzma,50,50
2,6:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,50,50
2,6:26.0,Defensive rebound by N. Bjelica,,50,50
2,6:20.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Fox),,52,50
2,6:14.0,,Offensive foul by K. Caldwell-Pope (drawn by B. McLemore),52,50
2,6:14.0,,Turnover by K. Caldwell-Pope (offensive foul),52,50
2,6:14.0,W. Cauley-Stein enters the game for N. Bjelica,,52,50
2,6:14.0,B. Hield enters the game for J. Jackson,,52,50
2,6:14.0,,J. McGee enters the game for K. Caldwell-Pope,52,50
2,5:55.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,52,50
2,5:52.0,,Defensive rebound by J. McGee,52,50
2,5:37.0,,Personal foul by B. McLemore (drawn by B. Ingram),52,50
2,5:37.0,I. Shumpert enters the game for B. Bogdanović,,52,50
2,5:32.0,,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),52,52
2,5:32.0,,Shooting foul by B. McLemore (drawn by J. Hart),52,52
2,5:32.0,,J. Hart misses free throw 1 of 1,52,52
2,5:29.0,,Offensive rebound by J. McGee,52,52
2,5:27.0,,J. McGee misses 2-pt hook shot from 4 ft,52,52
2,5:26.0,Defensive rebound by D. Fox,,52,52
2,5:22.0,W. Cauley-Stein makes 2-pt jump shot from 2 ft (assist by D. Fox),,54,52
2,5:22.0,Shooting foul by J. McGee (drawn by W. Cauley-Stein),,54,52
2,5:22.0,W. Cauley-Stein makes free throw 1 of 1,,55,52
2,5:06.0,,K. Kuzma misses 2-pt jump shot from 14 ft,55,52
2,5:03.0,Defensive rebound by B. McLemore,,55,52
2,4:57.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,55,52
2,4:54.0,,Defensive rebound by B. Ingram,55,52
2,4:49.0,,B. Ingram makes 2-pt layup from 1 ft (assist by L. Ball),55,54
2,4:45.0,Turnover by D. Fox (bad pass),,55,54
2,4:35.0,,J. Hart makes 2-pt dunk from 1 ft (assist by K. Kuzma),55,56
2,4:27.0,Sacramento full timeout,,55,56
2,4:14.0,Turnover by B. McLemore (bad pass; steal by J. McGee),,55,56
2,4:10.0,,B. Ingram misses 2-pt layup from 2 ft (block by W. Cauley-Stein),55,56
2,4:06.0,Defensive rebound by D. Fox,,55,56
2,4:04.0,D. Fox makes 2-pt layup from 3 ft,,57,56
2,3:55.0,,Turnover by K. Kuzma (bad pass; steal by B. McLemore),57,56
2,3:43.0,W. Cauley-Stein misses 2-pt layup from 5 ft,,57,56
2,3:40.0,,Defensive rebound by J. Hart,57,56
2,3:39.0,,Turnover by J. Hart (bad pass; steal by D. Fox),57,56
2,3:35.0,D. Fox makes 2-pt dunk from 2 ft,,59,56
2,3:22.0,,L. Ball misses 2-pt dunk from 2 ft,59,56
2,3:18.0,Defensive rebound by B. Hield,,59,56
2,3:17.0,Turnover by B. Hield (bad pass),,59,56
2,3:17.0,B. Bogdanović enters the game for B. McLemore,,59,56
2,3:04.0,,L. Ball makes 2-pt layup from 2 ft (assist by K. Kuzma),59,58
2,2:50.0,I. Shumpert misses 3-pt jump shot from 25 ft,,59,58
2,2:47.0,,Defensive rebound by K. Kuzma,59,58
2,2:38.0,,K. Kuzma makes 2-pt hook shot from 6 ft (assist by J. Hart),59,60
2,2:24.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by I. Shumpert),,61,60
2,2:02.0,,J. McGee makes 2-pt hook shot from 10 ft (assist by B. Ingram),61,62
2,1:52.0,D. Fox makes 2-pt jump shot from 7 ft,,63,62
2,1:39.0,,Turnover by K. Kuzma (lost ball; steal by B. Bogdanović),63,62
2,1:35.0,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,66,62
2,1:33.0,,LA Lakers full timeout,66,62
2,1:33.0,,K. Caldwell-Pope enters the game for K. Kuzma,66,62
2,1:33.0,,T. Chandler enters the game for J. McGee,66,62
2,1:17.0,,Turnover by L. Ball (bad pass; steal by I. Shumpert),66,62
2,1:07.0,D. Fox makes 2-pt jump shot from 9 ft,,68,62
2,0:54.0,,B. Ingram makes 2-pt layup from 2 ft (assist by L. Ball),68,64
2,0:40.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,68,64
2,0:35.0,,Defensive rebound by J. Hart,68,64
2,0:28.0,,Shooting foul by W. Cauley-Stein (drawn by L. Ball),68,64
2,0:28.0,,L. Ball misses free throw 1 of 2,68,64
2,0:28.0,,Offensive rebound by Team,68,64
2,0:28.0,N. Bjelica enters the game for W. Cauley-Stein,,68,64
2,0:28.0,,K. Kuzma enters the game for T. Chandler,68,64
2,0:28.0,,L. Ball misses free throw 2 of 2,68,64
2,0:26.0,Defensive rebound by I. Shumpert,,68,64
2,0:10.0,Personal take foul by K. Kuzma (drawn by D. Fox),,68,64
2,0:05.0,B. Hield misses 2-pt layup from 2 ft,,68,64
2,0:03.0,,Defensive rebound by K. Caldwell-Pope,68,64
2,0:00.0,,L. Ball misses 3-pt jump shot from 43 ft,68,64
2,0:00.0,,Offensive rebound by Team,68,64
3,11:39.0,D. Fox misses 3-pt jump shot from 23 ft,,68,64
3,11:36.0,,Defensive rebound by L. Ball,68,64
3,11:21.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),68,66
3,11:03.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by J. McGee),,68,66
3,10:59.0,,Defensive rebound by K. Kuzma,68,66
3,10:53.0,,Personal foul by D. Fox (drawn by L. Ball),68,66
3,10:39.0,,J. McGee misses 2-pt jump shot from 13 ft,68,66
3,10:36.0,Defensive rebound by N. Bjelica,,68,66
3,10:31.0,B. Hield makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,70,66
3,10:19.0,,L. Ball makes 2-pt layup from 1 ft,70,68
3,10:08.0,D. Fox makes 3-pt jump shot from 25 ft,,73,68
3,9:51.0,,Turnover by J. McGee (lost ball; steal by D. Fox),73,68
3,9:46.0,B. Hield misses 3-pt jump shot from 22 ft,,73,68
3,9:41.0,,Defensive rebound by B. Ingram,73,68
3,9:37.0,,J. Hart makes 2-pt layup from 2 ft (assist by B. Ingram),73,70
3,9:26.0,Turnover by D. Fox (bad pass; steal by J. McGee),,73,70
3,9:21.0,,K. Kuzma misses 3-pt jump shot from 24 ft,73,70
3,9:17.0,Defensive rebound by N. Bjelica,,73,70
3,9:11.0,I. Shumpert misses 2-pt jump shot from 17 ft,,73,70
3,9:08.0,,Defensive rebound by J. Hart,73,70
3,8:50.0,,L. Ball misses 3-pt jump shot from 26 ft,73,70
3,8:47.0,Defensive rebound by W. Cauley-Stein,,73,70
3,8:42.0,B. Hield makes 2-pt dunk from 1 ft (assist by I. Shumpert),,75,70
3,8:32.0,,Turnover by L. Ball (out of bounds lost ball),75,70
3,8:22.0,I. Shumpert misses 3-pt jump shot from 24 ft,,75,70
3,8:17.0,,Defensive rebound by J. Hart,75,70
3,8:09.0,,Personal foul by D. Fox (drawn by L. Ball),75,70
3,8:07.0,,Shooting foul by D. Fox (drawn by L. Ball),75,70
3,8:07.0,,L. Ball misses free throw 1 of 2,75,70
3,8:07.0,,Offensive rebound by Team,75,70
3,8:07.0,B. Bogdanović enters the game for W. Cauley-Stein,,75,70
3,8:07.0,Y. Ferrell enters the game for D. Fox,,75,70
3,8:07.0,,T. Chandler enters the game for J. McGee,75,70
3,8:07.0,,L. Ball misses free throw 2 of 2,75,70
3,8:04.0,Defensive rebound by B. Bogdanović,,75,70
3,7:58.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Hield),,78,70
3,7:46.0,,B. Ingram misses 3-pt jump shot from 26 ft,78,70
3,7:44.0,Defensive rebound by N. Bjelica,,78,70
3,7:33.0,B. Hield misses 3-pt jump shot from 25 ft,,78,70
3,7:30.0,,Defensive rebound by J. Hart,78,70
3,7:18.0,,Turnover by T. Chandler (bad pass; steal by N. Bjelica),78,70
3,7:03.0,I. Shumpert misses 3-pt jump shot from 26 ft,,78,70
3,6:58.0,,Defensive rebound by K. Kuzma,78,70
3,6:52.0,,L. Ball makes 2-pt layup from 1 ft (assist by B. Ingram),78,72
3,6:38.0,Y. Ferrell makes 3-pt jump shot from 23 ft (assist by I. Shumpert),,81,72
3,6:37.0,,LA Lakers full timeout,81,72
3,6:37.0,,K. Caldwell-Pope enters the game for L. Ball,81,72
3,6:37.0,,S. Mykhailiuk enters the game for T. Chandler,81,72
3,6:24.0,,B. Ingram makes 2-pt jump shot from 6 ft,81,74
3,6:11.0,B. Bogdanović makes 2-pt layup from 1 ft,,83,74
3,5:59.0,,Personal foul by I. Shumpert (drawn by K. Kuzma),83,74
3,5:54.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,83,74
3,5:52.0,Defensive rebound by N. Bjelica,,83,74
3,5:35.0,Y. Ferrell makes 2-pt layup from 2 ft,,85,74
3,5:20.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by K. Kuzma),85,76
3,5:20.0,,Shooting foul by Y. Ferrell (drawn by K. Caldwell-Pope),85,76
3,5:20.0,,K. Caldwell-Pope makes free throw 1 of 1,85,77
3,5:00.0,Turnover by B. Hield (bad pass; steal by J. Hart),,85,77
3,4:48.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by K. Kuzma),85,80
3,4:47.0,Sacramento full timeout,,85,80
3,4:47.0,J. Jackson enters the game for B. Hield,,85,80
3,4:27.0,I. Shumpert misses 2-pt jump shot from 14 ft,,85,80
3,4:23.0,Offensive rebound by N. Bjelica,,85,80
3,4:23.0,N. Bjelica misses 2-pt hook shot from 1 ft,,85,80
3,4:23.0,,Defensive rebound by K. Kuzma,85,80
3,4:23.0,,Personal foul by N. Bjelica (drawn by K. Kuzma),85,80
3,4:23.0,,K. Kuzma makes free throw 1 of 2,85,81
3,4:23.0,,K. Kuzma makes free throw 2 of 2,85,82
3,4:10.0,Y. Ferrell misses 2-pt layup from 1 ft (block by B. Ingram),,85,82
3,4:07.0,Offensive rebound by N. Bjelica,,85,82
3,4:06.0,Personal foul by K. Kuzma (drawn by N. Bjelica),,85,82
3,4:06.0,W. Cauley-Stein enters the game for N. Bjelica,,85,82
3,4:06.0,B. McLemore enters the game for Y. Ferrell,,85,82
3,4:06.0,,T. Chandler enters the game for S. Mykhailiuk,85,82
3,3:51.0,Turnover by Team (shot clock),,85,82
3,3:36.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by B. Ingram),85,85
3,3:26.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,85,85
3,3:21.0,,Defensive rebound by J. Hart,85,85
3,3:16.0,,J. Hart misses 3-pt jump shot from 25 ft,85,85
3,3:10.0,Defensive rebound by I. Shumpert,,85,85
3,3:10.0,Personal foul by J. Hart (drawn by I. Shumpert),,85,85
3,3:10.0,B. Hield enters the game for I. Shumpert,,85,85
3,3:03.0,W. Cauley-Stein misses 2-pt jump shot from 18 ft,,85,85
3,3:00.0,,Defensive rebound by B. Ingram,85,85
3,2:54.0,,Shooting foul by B. McLemore (drawn by B. Ingram),85,85
3,2:54.0,,B. Ingram misses free throw 1 of 2,85,85
3,2:54.0,,Offensive rebound by Team,85,85
3,2:54.0,,S. Mykhailiuk enters the game for J. Hart,85,85
3,2:54.0,,B. Ingram makes free throw 2 of 2,85,86
3,2:39.0,B. Hield makes 3-pt jump shot from 25 ft,,88,86
3,2:25.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),88,89
3,2:13.0,B. Bogdanović makes 2-pt jump shot from 5 ft,,90,89
3,2:02.0,,Offensive foul by T. Chandler (drawn by B. Hield),90,89
3,2:02.0,,Turnover by T. Chandler (offensive foul),90,89
3,1:50.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,90,89
3,1:47.0,,Defensive rebound by T. Chandler,90,89
3,1:31.0,,K. Kuzma misses 3-pt jump shot from 25 ft,90,89
3,1:27.0,Defensive rebound by J. Jackson,,90,89
3,1:23.0,B. Hield misses 3-pt jump shot from 25 ft,,90,89
3,1:21.0,,Defensive rebound by Team,90,89
3,1:11.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,90,89
3,1:09.0,Defensive rebound by W. Cauley-Stein,,90,89
3,1:00.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,93,89
3,0:51.0,,Offensive foul by T. Chandler (drawn by B. Hield),93,89
3,0:51.0,,Turnover by T. Chandler (offensive foul),93,89
3,0:42.0,Offensive foul by B. Bogdanović (drawn by B. Ingram),,93,89
3,0:42.0,Turnover by B. Bogdanović (offensive foul),,93,89
3,0:42.0,Violation by Team (delay of game),,93,89
3,0:31.0,,K. Kuzma misses 3-pt jump shot from 23 ft,93,89
3,0:28.0,,Offensive rebound by T. Chandler,93,89
3,0:26.0,,K. Caldwell-Pope makes 3-pt jump shot from 28 ft (assist by T. Chandler),93,92
3,0:08.0,Personal foul by K. Caldwell-Pope (drawn by B. Bogdanović),,93,92
3,0:08.0,N. Bjelica enters the game for W. Cauley-Stein,,93,92
3,0:08.0,,J. Hart enters the game for T. Chandler,93,92
3,0:05.0,B. Bogdanović makes 3-pt jump shot from 30 ft,,96,92
3,0:01.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,96,92
3,0:00.0,,Offensive rebound by Team,96,92
4,11:47.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,96,92
4,11:45.0,Defensive rebound by W. Cauley-Stein,,96,92
4,11:29.0,B. Hield makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,99,92
4,11:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,99,92
4,11:07.0,,Offensive rebound by J. McGee,99,92
4,11:05.0,,J. Hart misses 3-pt jump shot from 25 ft,99,92
4,11:05.0,,Offensive rebound by Team,99,92
4,11:05.0,Loose ball foul by B. Hield (drawn by K. Caldwell-Pope),,99,92
4,10:54.0,,J. McGee makes 2-pt hook shot from 6 ft (assist by S. Mykhailiuk),99,94
4,10:43.0,D. Fox makes 2-pt layup from 2 ft,,101,94
4,10:31.0,,L. Ball makes 3-pt jump shot from 25 ft,101,97
4,10:18.0,W. Cauley-Stein misses 2-pt dunk from 1 ft,,101,97
4,10:13.0,Offensive rebound by B. Bogdanović,,101,97
4,10:10.0,J. Jackson misses 3-pt jump shot from 26 ft,,101,97
4,10:06.0,,Defensive rebound by J. McGee,101,97
4,9:56.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. Ball),101,100
4,9:41.0,Turnover by D. Fox (lost ball; steal by K. Caldwell-Pope),,101,100
4,9:37.0,,K. Caldwell-Pope misses 2-pt dunk from 1 ft,101,100
4,9:33.0,Defensive rebound by B. Bogdanović,,101,100
4,9:30.0,Turnover by W. Cauley-Stein (bad pass),,101,100
4,9:27.0,,Shooting foul by B. Bogdanović (drawn by J. Hart),101,100
4,9:27.0,,J. Hart makes free throw 1 of 2,101,101
4,9:27.0,,J. Hart misses free throw 2 of 2,101,101
4,9:25.0,Defensive rebound by W. Cauley-Stein,,101,101
4,9:10.0,W. Cauley-Stein makes 2-pt layup from 2 ft,,103,101
4,8:57.0,,J. Hart misses 3-pt jump shot from 27 ft,103,101
4,8:53.0,Defensive rebound by J. Jackson,,103,101
4,8:49.0,B. Hield misses 3-pt jump shot from 23 ft,,103,101
4,8:45.0,,Defensive rebound by J. Hart,103,101
4,8:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,103,101
4,8:38.0,Defensive rebound by B. Bogdanović,,103,101
4,8:26.0,Turnover by B. Bogdanović (bad pass),,103,101
4,8:13.0,,Turnover by J. Hart (lost ball; steal by D. Fox),103,101
4,8:10.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,105,101
4,8:10.0,,LA Lakers full timeout,105,101
4,8:10.0,,T. Chandler enters the game for K. Caldwell-Pope,105,101
4,8:10.0,,B. Ingram enters the game for J. McGee,105,101
4,8:10.0,,K. Kuzma enters the game for S. Mykhailiuk,105,101
4,7:50.0,,Personal foul by B. Hield (drawn by B. Ingram),105,101
4,7:39.0,,B. Ingram misses 3-pt jump shot from 24 ft,105,101
4,7:36.0,Defensive rebound by W. Cauley-Stein,,105,101
4,7:26.0,D. Fox makes 2-pt jump shot from 8 ft,,107,101
4,7:26.0,Shooting foul by J. Hart (drawn by D. Fox),,107,101
4,7:26.0,D. Fox makes free throw 1 of 1,,108,101
4,7:16.0,,B. Ingram makes 2-pt jump shot from 14 ft,108,103
4,7:00.0,B. Bogdanović misses 2-pt jump shot from 17 ft (block by B. Ingram),,108,103
4,6:58.0,,Defensive rebound by K. Kuzma,108,103
4,6:46.0,,L. Ball misses 3-pt jump shot from 29 ft,108,103
4,6:42.0,Defensive rebound by W. Cauley-Stein,,108,103
4,6:34.0,J. Jackson misses 3-pt jump shot from 25 ft,,108,103
4,6:30.0,,Defensive rebound by L. Ball,108,103
