QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
4,3:39.0,,J. Ennis makes free throw 2 of 2,105,115
4,3:24.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by I. Smith),,108,115
4,3:00.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by C. Paul),108,118
4,2:39.0,Shooting foul by C. Paul (drawn by A. Drummond),,108,118
4,2:39.0,A. Drummond misses free throw 1 of 2,,108,118
4,2:39.0,Offensive rebound by Team,,108,118
4,2:39.0,A. Drummond misses free throw 2 of 2,,108,118
4,2:39.0,Offensive rebound by B. Griffin,,108,118
4,2:32.0,Personal foul by J. Ennis (drawn by B. Griffin),,108,118
4,2:32.0,B. Griffin makes free throw 1 of 2,,109,118
4,2:32.0,B. Griffin makes free throw 2 of 2,,110,118
4,2:21.0,,Turnover by J. Harden (traveling),110,118
4,2:10.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by R. Bullock),,113,118
4,1:44.0,,J. Harden makes 2-pt layup from 1 ft,113,120
4,1:44.0,Violation by Team (def goaltending),,113,120
4,1:26.0,B. Griffin makes 3-pt jump shot from 22 ft,,116,120
4,1:03.0,,J. Harden misses 3-pt jump shot from 26 ft,116,120
4,1:03.0,Defensive rebound by L. Galloway,,116,120
4,0:55.0,Turnover by B. Griffin (bad pass; steal by J. Harden),,116,120
4,0:32.0,,J. Harden misses 3-pt jump shot from 27 ft,116,120
4,0:31.0,Defensive rebound by A. Drummond,,116,120
4,0:28.0,Detroit full timeout,,116,120
4,0:21.0,Offensive foul by B. Griffin (drawn by J. Ennis),,116,120
4,0:21.0,Turnover by B. Griffin (offensive foul),,116,120
4,0:19.0,,Personal foul by I. Smith (drawn by J. Harden),116,120
4,0:19.0,,J. Harden makes free throw 1 of 2,116,121
4,0:19.0,,J. Harden makes free throw 2 of 2,116,122
4,0:19.0,Detroit full timeout,,116,122
4,0:19.0,J. Calderón enters the game for L. Galloway,,116,122
4,0:09.0,I. Smith makes 3-pt jump shot from 26 ft (assist by R. Bullock),,119,122
4,0:09.0,,Houston full timeout,119,122
4,0:09.0,L. Galloway enters the game for J. Calderón,,119,122
4,0:09.0,,G. Clark enters the game for C. Capela,119,122
4,0:08.0,,Personal foul by A. Drummond (drawn by J. Harden),119,122
4,0:08.0,,J. Harden makes free throw 1 of 2,119,123
4,0:08.0,,J. Harden makes free throw 2 of 2,119,124
4,0:03.0,Shooting foul by C. Paul (drawn by B. Griffin),,119,124
4,0:03.0,B. Griffin makes free throw 1 of 3,,120,124
4,0:03.0,B. Griffin makes free throw 2 of 3,,121,124
4,0:03.0,,C. Capela enters the game for G. Clark,121,124
4,0:03.0,B. Griffin misses free throw 3 of 3,,121,124
4,0:03.0,,Defensive rebound by J. Harden,121,124
4,0:02.0,,Personal foul by B. Griffin (drawn by J. Harden),121,124
4,0:02.0,,J. Harden makes free throw 1 of 2,121,125
4,0:02.0,,J. Harden makes free throw 2 of 2,121,126
4,0:00.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by A. Drummond),,124,126
