QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
1,6:50.0,,Defensive rebound by B. Hield,14,5
1,6:43.0,,Shooting foul by K. Olynyk (drawn by N. Bjelica),14,5
1,6:43.0,,N. Bjelica makes free throw 1 of 2,14,6
1,6:43.0,,N. Bjelica makes free throw 2 of 2,14,7
1,6:36.0,Shooting foul by D. Fox (drawn by J. Winslow),,14,7
1,6:36.0,J. Winslow misses free throw 1 of 2,,14,7
1,6:36.0,Offensive rebound by Team,,14,7
1,6:36.0,,M. Bagley enters the game for N. Bjelica,14,7
1,6:36.0,J. Winslow makes free throw 2 of 2,,15,7
1,6:20.0,,M. Bagley misses 2-pt jump shot from 15 ft,15,7
1,6:16.0,Defensive rebound by H. Whiteside,,15,7
1,6:04.0,H. Whiteside makes 2-pt layup from 2 ft (assist by K. Olynyk),,17,7
1,5:57.0,,Turnover by M. Bagley (out of bounds lost ball),17,7
1,5:57.0,D. Wade enters the game for J. Richardson,,17,7
1,5:44.0,D. Waiters misses 3-pt jump shot from 25 ft,,17,7
1,5:42.0,Offensive rebound by H. Whiteside,,17,7
1,5:41.0,H. Whiteside misses 2-pt jump shot from 3 ft,,17,7
1,5:41.0,,Defensive rebound by H. Barnes,17,7
1,5:36.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),17,10
1,5:12.0,Turnover by J. Winslow (bad pass; steal by D. Fox),,17,10
1,5:08.0,,D. Fox makes 2-pt dunk from 1 ft,17,12
1,4:53.0,Personal foul by M. Bagley (drawn by K. Olynyk),,17,12
1,4:43.0,J. Winslow misses 3-pt jump shot from 26 ft,,17,12
1,4:36.0,,Defensive rebound by B. Hield,17,12
1,4:35.0,,Turnover by B. Hield (bad pass; steal by H. Whiteside),17,12
1,4:31.0,H. Whiteside makes 2-pt hook shot from 1 ft,,19,12
1,4:22.0,,D. Fox misses 2-pt jump shot from 8 ft,19,12
1,4:19.0,Defensive rebound by D. Wade,,19,12
1,4:13.0,K. Olynyk misses 3-pt jump shot from 25 ft,,19,12
1,4:13.0,,Defensive rebound by W. Cauley-Stein,19,12
1,4:06.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Barnes),19,15
1,4:05.0,Miami full timeout,,19,15
1,4:05.0,B. Adebayo enters the game for H. Whiteside,,19,15
1,4:05.0,,B. Bogdanović enters the game for H. Barnes,19,15
1,4:05.0,,H. Giles enters the game for W. Cauley-Stein,19,15
1,3:51.0,K. Olynyk makes 2-pt layup from 2 ft (assist by D. Wade),,21,15
1,3:42.0,,Offensive foul by M. Bagley (drawn by K. Olynyk),21,15
1,3:42.0,,Turnover by M. Bagley (offensive foul),21,15
1,3:29.0,D. Waiters misses 3-pt jump shot from 24 ft,,21,15
1,3:25.0,,Defensive rebound by M. Bagley,21,15
1,3:10.0,,M. Bagley misses 2-pt jump shot from 16 ft,21,15
1,3:06.0,Defensive rebound by J. Winslow,,21,15
1,2:44.0,D. Wade misses 2-pt jump shot from 18 ft,,21,15
1,2:39.0,,Defensive rebound by M. Bagley,21,15
1,2:36.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,21,15
1,2:31.0,,Offensive rebound by H. Giles,21,15
1,2:31.0,,H. Giles misses 2-pt layup at rim,21,15
1,2:30.0,Defensive rebound by D. Waiters,,21,15
1,2:22.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Wade),,23,15
1,2:22.0,Shooting foul by H. Giles (drawn by B. Adebayo),,23,15
1,2:22.0,J. Johnson enters the game for K. Olynyk,,23,15
1,2:22.0,R. McGruder enters the game for D. Waiters,,23,15
1,2:22.0,J. Richardson enters the game for J. Winslow,,23,15
1,2:22.0,,A. Burks enters the game for D. Fox,23,15
1,2:22.0,,Y. Ferrell enters the game for B. Hield,23,15
1,2:22.0,B. Adebayo misses free throw 1 of 1,,23,15
1,2:20.0,,Defensive rebound by M. Bagley,23,15
1,1:59.0,,M. Bagley misses 2-pt hook shot from 7 ft,23,15
1,1:54.0,Defensive rebound by J. Johnson,,23,15
1,1:49.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by R. McGruder),,26,15
1,1:31.0,,Y. Ferrell misses 2-pt jump shot from 12 ft,26,15
1,1:29.0,,Offensive rebound by Team,26,15
1,1:20.0,,A. Burks misses 3-pt jump shot from 26 ft,26,15
1,1:19.0,,Offensive rebound by B. Bogdanović,26,15
1,1:13.0,,A. Burks makes 2-pt layup from 2 ft (assist by Y. Ferrell),26,17
1,1:00.0,R. McGruder misses 3-pt jump shot from 23 ft,,26,17
1,0:58.0,Offensive rebound by B. Adebayo,,26,17
1,0:56.0,B. Adebayo misses 2-pt layup from 3 ft,,26,17
1,0:54.0,,Defensive rebound by Y. Ferrell,26,17
1,0:46.0,,H. Giles misses 2-pt jump shot from 18 ft,26,17
1,0:43.0,Defensive rebound by D. Wade,,26,17
1,0:38.0,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),,28,17
1,0:33.0,,Offensive foul by Y. Ferrell (drawn by J. Richardson),28,17
1,0:33.0,,Turnover by Y. Ferrell (offensive foul),28,17
1,0:18.0,D. Wade misses 2-pt jump shot from 12 ft,,28,17
1,0:14.0,,Defensive rebound by A. Burks,28,17
1,0:14.0,U. Haslem enters the game for D. Wade,,28,17
1,0:01.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,28,17
1,0:01.0,Defensive rebound by U. Haslem,,28,17
2,11:42.0,,B. Bogdanović makes 2-pt jump shot from 11 ft,28,19
2,11:26.0,Turnover by J. Johnson (bad pass; steal by H. Giles),,28,19
2,11:19.0,,A. Burks makes 2-pt layup from 3 ft (assist by Y. Ferrell),28,21
2,11:19.0,,Shooting foul by B. Adebayo (drawn by A. Burks),28,21
2,11:19.0,,A. Burks makes free throw 1 of 1,28,22
2,11:06.0,D. Robinson makes 2-pt jump shot from 20 ft (assist by J. Richardson),,30,22
2,10:55.0,,B. Bogdanović makes 2-pt jump shot from 13 ft,30,24
2,10:40.0,Shooting foul by M. Bagley (drawn by J. Johnson),,30,24
2,10:40.0,J. Johnson misses free throw 1 of 2,,30,24
2,10:40.0,Offensive rebound by Team,,30,24
2,10:40.0,,H. Barnes enters the game for M. Bagley,30,24
2,10:40.0,J. Johnson misses free throw 2 of 2,,30,24
2,10:38.0,,Defensive rebound by H. Barnes,30,24
2,10:29.0,,Y. Ferrell makes 2-pt jump shot from 2 ft,30,26
2,10:12.0,J. Richardson makes 2-pt jump shot from 11 ft,,32,26
2,10:06.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,32,26
2,10:06.0,Defensive rebound by R. McGruder,,32,26
2,9:56.0,Shooting foul by B. Bogdanović (drawn by J. Johnson),,32,26
2,9:56.0,J. Johnson makes free throw 1 of 2,,33,26
2,9:56.0,J. Johnson makes free throw 2 of 2,,34,26
2,9:41.0,,Turnover by H. Giles (traveling),34,26
2,9:30.0,J. Richardson misses 2-pt jump shot from 10 ft,,34,26
2,9:26.0,,Defensive rebound by H. Barnes,34,26
2,9:21.0,,Shooting foul by J. Richardson (drawn by H. Giles),34,26
2,9:21.0,,H. Giles makes free throw 1 of 2,34,27
2,9:21.0,,H. Giles makes free throw 2 of 2,34,28
2,9:09.0,R. McGruder makes 2-pt dunk from 2 ft (assist by J. Johnson),,36,28
2,8:55.0,Violation by Team (kicked ball),,36,28
2,8:41.0,,Turnover by B. Bogdanović (traveling),36,28
2,8:35.0,J. Richardson makes 2-pt layup from 5 ft (assist by J. Johnson),,38,28
2,8:35.0,Shooting foul by Y. Ferrell (drawn by J. Richardson),,38,28
2,8:35.0,,Sacramento full timeout,38,28
2,8:35.0,J. Richardson makes free throw 1 of 1,,39,28
2,8:16.0,,Shooting foul by R. McGruder (drawn by B. Bogdanović),39,28
2,8:16.0,,B. Bogdanović makes free throw 1 of 2,39,29
2,8:16.0,,B. Bogdanović misses free throw 2 of 2,39,29
2,8:14.0,Defensive rebound by B. Adebayo,,39,29
2,8:02.0,Turnover by R. McGruder (traveling),,39,29
2,8:02.0,,B. Hield enters the game for A. Burks,39,29
2,7:47.0,,Turnover by H. Giles (out of bounds lost ball),39,29
2,7:42.0,Personal foul by H. Barnes (drawn by J. Johnson),,39,29
2,7:31.0,Turnover by J. Richardson (bad pass; steal by Y. Ferrell),,39,29
2,7:25.0,,H. Giles makes 2-pt layup from 2 ft (assist by Y. Ferrell),39,31
2,7:25.0,H. Whiteside enters the game for B. Adebayo,,39,31
2,7:25.0,J. Winslow enters the game for J. Richardson,,39,31
2,7:06.0,Offensive foul by J. Johnson (drawn by B. Bogdanović),,39,31
2,7:06.0,Turnover by J. Johnson (offensive foul),,39,31
2,6:51.0,,Personal foul by J. Winslow (drawn by H. Giles),39,31
2,6:44.0,,H. Giles makes 2-pt dunk at rim (assist by Y. Ferrell),39,33
2,6:44.0,Miami full timeout,,39,33
2,6:44.0,D. Waiters enters the game for D. Robinson,,39,33
2,6:22.0,R. McGruder makes 2-pt layup from 3 ft,,41,33
2,6:01.0,,Turnover by H. Giles (bad pass; steal by J. Johnson),41,33
2,5:44.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Waiters),,44,33
2,5:30.0,,B. Hield makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),44,36
2,5:08.0,D. Waiters misses 2-pt jump shot from 14 ft,,44,36
2,5:04.0,,Defensive rebound by B. Hield,44,36
2,5:01.0,,B. Bogdanović misses 2-pt layup from 1 ft,44,36
2,4:57.0,,Offensive rebound by H. Giles,44,36
2,4:57.0,,H. Giles makes 2-pt layup at rim,44,38
2,4:48.0,Turnover by D. Waiters (out of bounds lost ball),,44,38
2,4:48.0,,W. Cauley-Stein enters the game for Y. Ferrell,44,38
2,4:48.0,,D. Fox enters the game for H. Giles,44,38
2,4:35.0,,Shooting foul by J. Johnson (drawn by H. Barnes),44,38
2,4:35.0,,H. Barnes makes free throw 1 of 2,44,39
2,4:35.0,D. Wade enters the game for J. Johnson,,44,39
2,4:35.0,,H. Barnes makes free throw 2 of 2,44,40
2,4:21.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,46,40
2,4:07.0,,B. Hield misses 2-pt layup from 4 ft,46,40
2,4:04.0,Defensive rebound by H. Whiteside,,46,40
2,3:54.0,H. Whiteside misses 2-pt hook shot from 6 ft (block by B. Hield),,46,40
2,3:51.0,Offensive rebound by J. Winslow,,46,40
2,3:48.0,R. McGruder misses 3-pt jump shot from 25 ft,,46,40
2,3:44.0,Offensive rebound by J. Winslow,,46,40
2,3:43.0,Shooting foul by B. Hield (drawn by H. Whiteside),,46,40
2,3:43.0,H. Whiteside makes free throw 1 of 2,,47,40
2,3:43.0,J. Richardson enters the game for R. McGruder,,47,40
2,3:43.0,H. Whiteside makes free throw 2 of 2,,48,40
2,3:30.0,,D. Fox misses 2-pt jump shot from 8 ft,48,40
2,3:30.0,Defensive rebound by Team,,48,40
2,3:14.0,D. Wade makes 3-pt jump shot from 25 ft,,51,40
2,3:00.0,,B. Bogdanović misses 2-pt layup from 2 ft,51,40
2,2:58.0,,Offensive rebound by B. Hield,51,40
2,2:56.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by B. Hield),51,43
2,2:31.0,J. Richardson misses 3-pt jump shot from 26 ft,,51,43
2,2:27.0,,Defensive rebound by B. Hield,51,43
2,2:19.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),51,45
2,2:19.0,,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),51,45
2,2:19.0,R. McGruder enters the game for J. Winslow,,51,45
2,2:19.0,,W. Cauley-Stein misses free throw 1 of 1,51,45
2,2:16.0,Defensive rebound by H. Whiteside,,51,45
2,1:53.0,H. Whiteside misses 2-pt hook shot from 9 ft,,51,45
2,1:51.0,,Defensive rebound by B. Bogdanović,51,45
2,1:44.0,,W. Cauley-Stein misses 2-pt layup from 4 ft,51,45
2,1:41.0,Defensive rebound by H. Whiteside,,51,45
2,1:38.0,D. Wade makes 3-pt jump shot from 25 ft,,54,45
2,1:30.0,,D. Fox misses 2-pt jump shot from 21 ft,54,45
2,1:30.0,Defensive rebound by H. Whiteside,,54,45
2,1:19.0,D. Wade makes 3-pt jump shot from 23 ft,,57,45
2,1:00.0,,H. Barnes makes 3-pt jump shot from 25 ft,57,48
2,0:42.0,R. McGruder misses 3-pt jump shot from 23 ft,,57,48
2,0:38.0,,Defensive rebound by D. Fox,57,48
2,0:35.0,,D. Fox makes 2-pt jump shot from 4 ft,57,50
2,0:19.0,D. Wade makes 2-pt jump shot from 6 ft,,59,50
2,0:19.0,Shooting foul by W. Cauley-Stein (drawn by D. Wade),,59,50
2,0:19.0,B. Adebayo enters the game for D. Waiters,,59,50
2,0:19.0,U. Haslem enters the game for H. Whiteside,,59,50
2,0:19.0,D. Wade misses free throw 1 of 1,,59,50
2,0:17.0,,Defensive rebound by W. Cauley-Stein,59,50
2,0:00.0,,D. Fox misses 3-pt jump shot from 25 ft,59,50
2,0:00.0,,Offensive rebound by Team,59,50
3,11:48.0,,B. Hield misses 3-pt jump shot from 26 ft,59,50
3,11:45.0,Defensive rebound by H. Whiteside,,59,50
3,11:28.0,D. Waiters misses 3-pt jump shot from 25 ft,,59,50
3,11:26.0,,Defensive rebound by W. Cauley-Stein,59,50
3,11:06.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),59,53
3,10:47.0,H. Whiteside makes 2-pt layup from 3 ft (assist by K. Olynyk),,61,53
3,10:42.0,,D. Fox makes 2-pt dunk from 2 ft,61,55
3,10:31.0,J. Richardson misses 3-pt jump shot from 23 ft,,61,55
3,10:27.0,,Defensive rebound by B. Bogdanović,61,55
3,10:18.0,,D. Fox misses 2-pt layup from 4 ft (block by J. Richardson),61,55
3,10:14.0,Defensive rebound by H. Whiteside,,61,55
3,10:03.0,Turnover by D. Waiters (out of bounds lost ball),,61,55
3,9:49.0,,B. Hield misses 3-pt jump shot from 23 ft,61,55
3,9:47.0,Defensive rebound by Team,,61,55
3,9:32.0,Turnover by J. Winslow (lost ball; steal by D. Fox),,61,55
3,9:23.0,,H. Barnes misses 3-pt jump shot from 23 ft,61,55
3,9:22.0,Defensive rebound by Team,,61,55
3,9:09.0,J. Winslow misses 2-pt hook shot from 10 ft,,61,55
3,9:05.0,Offensive rebound by H. Whiteside,,61,55
3,9:05.0,H. Whiteside misses 2-pt layup at rim,,61,55
3,9:04.0,Offensive rebound by J. Winslow,,61,55
3,9:02.0,J. Winslow makes 2-pt jump shot from 1 ft,,63,55
3,8:49.0,,D. Fox misses 2-pt layup from 4 ft (block by J. Richardson),63,55
3,8:49.0,,Offensive rebound by Team,63,55
3,8:42.0,,W. Cauley-Stein misses 2-pt layup from 4 ft,63,55
3,8:39.0,Defensive rebound by H. Whiteside,,63,55
3,8:34.0,Shooting foul by W. Cauley-Stein (drawn by K. Olynyk),,63,55
3,8:34.0,K. Olynyk makes free throw 1 of 2,,64,55
3,8:34.0,K. Olynyk makes free throw 2 of 2,,65,55
3,8:18.0,,H. Barnes misses 2-pt hook shot from 9 ft (block by K. Olynyk),65,55
3,8:13.0,Defensive rebound by H. Whiteside,,65,55
3,8:07.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Winslow),,68,55
3,8:06.0,,Sacramento full timeout,68,55
3,7:45.0,,D. Fox misses 3-pt jump shot from 23 ft,68,55
3,7:42.0,Defensive rebound by H. Whiteside,,68,55
3,7:30.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,70,55
3,7:19.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by H. Barnes),70,57
3,7:19.0,,M. Bagley enters the game for W. Cauley-Stein,70,57
3,6:52.0,D. Waiters misses 3-pt jump shot from 26 ft,,70,57
3,6:52.0,Offensive rebound by Team,,70,57
3,6:52.0,Turnover by Team (shot clock),,70,57
3,6:48.0,,Turnover by B. Bogdanović (traveling),70,57
3,6:38.0,Shooting foul by B. Hield (drawn by H. Whiteside),,70,57
3,6:38.0,H. Whiteside misses free throw 1 of 2,,70,57
3,6:38.0,Offensive rebound by Team,,70,57
3,6:38.0,H. Whiteside makes free throw 2 of 2,,71,57
3,6:22.0,,D. Fox makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),71,60
3,6:06.0,Turnover by D. Waiters (bad pass; steal by B. Bogdanović),,71,60
3,6:00.0,,Turnover by B. Hield (bad pass; steal by H. Whiteside),71,60
3,5:47.0,J. Richardson misses 2-pt jump shot from 17 ft,,71,60
3,5:47.0,,Defensive rebound by Team,71,60
3,5:47.0,Loose ball foul by H. Whiteside (drawn by M. Bagley),,71,60
3,5:47.0,D. Wade enters the game for J. Richardson,,71,60
3,5:47.0,,N. Bjelica enters the game for H. Barnes,71,60
3,5:36.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,71,62
3,5:36.0,Miami full timeout,,71,62
3,5:21.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by D. Wade),,74,62
3,5:04.0,,M. Bagley misses 2-pt layup from 3 ft,74,62
3,5:00.0,Defensive rebound by J. Winslow,,74,62
3,4:47.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,77,62
3,4:38.0,,D. Fox misses 2-pt jump shot from 15 ft,77,62
3,4:35.0,Defensive rebound by J. Winslow,,77,62
3,4:24.0,J. Winslow makes 2-pt layup from 3 ft,,79,62
3,4:08.0,,B. Hield misses 3-pt jump shot from 23 ft,79,62
3,4:05.0,Defensive rebound by H. Whiteside,,79,62
3,3:48.0,Turnover by K. Olynyk (bad pass; steal by M. Bagley),,79,62
3,3:43.0,,N. Bjelica misses 3-pt jump shot from 23 ft,79,62
3,3:40.0,Defensive rebound by D. Wade,,79,62
3,3:21.0,Personal foul by D. Fox (drawn by D. Waiters),,79,62
3,3:21.0,B. Adebayo enters the game for K. Olynyk,,79,62
3,3:21.0,J. Johnson enters the game for H. Whiteside,,79,62
3,3:21.0,,Y. Ferrell enters the game for D. Fox,79,62
3,3:07.0,J. Johnson misses 2-pt layup from 2 ft,,79,62
3,3:02.0,,Defensive rebound by M. Bagley,79,62
3,3:02.0,,M. Bagley makes 2-pt jump shot from 7 ft,79,64
3,3:02.0,,Shooting foul by B. Adebayo (drawn by M. Bagley),79,64
3,3:02.0,,M. Bagley makes free throw 1 of 1,79,65
3,2:42.0,J. Winslow misses 3-pt jump shot from 24 ft,,79,65
3,2:39.0,,Defensive rebound by M. Bagley,79,65
3,2:28.0,,B. Hield makes 2-pt jump shot from 22 ft,79,67
3,2:28.0,R. McGruder enters the game for D. Waiters,,79,67
3,2:28.0,J. Richardson enters the game for J. Winslow,,79,67
3,2:28.0,,A. Burks enters the game for B. Hield,79,67
3,2:13.0,Turnover by D. Wade (bad pass; steal by A. Burks),,79,67
3,1:51.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,79,67
3,1:48.0,Defensive rebound by R. McGruder,,79,67
3,1:45.0,Personal foul by B. Bogdanović (drawn by B. Adebayo),,79,67
3,1:40.0,Turnover by B. Adebayo (bad pass; steal by B. Bogdanović),,79,67
3,1:35.0,,B. Bogdanović misses 2-pt layup from 2 ft,79,67
3,1:32.0,,Offensive rebound by A. Burks,79,67
3,1:32.0,,A. Burks makes 2-pt layup from 1 ft,79,69
3,1:18.0,J. Johnson makes 2-pt layup from 2 ft (assist by J. Richardson),,81,69
3,1:04.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by N. Bjelica),81,72
3,0:43.0,D. Wade makes 2-pt jump shot from 21 ft,,83,72
3,0:35.0,,B. Bogdanović misses 2-pt layup from 2 ft,83,72
3,0:32.0,Defensive rebound by B. Adebayo,,83,72
3,0:29.0,D. Wade misses 3-pt jump shot from 25 ft,,83,72
3,0:26.0,,Defensive rebound by N. Bjelica,83,72
3,0:05.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),83,75
3,0:00.0,R. McGruder misses 3-pt jump shot from 27 ft,,83,75
3,0:00.0,Offensive rebound by Team,,83,75
4,11:46.0,R. McGruder misses 3-pt jump shot from 25 ft,,83,75
4,11:46.0,,Defensive rebound by Team,83,75
4,11:46.0,Loose ball foul by B. Adebayo (drawn by M. Bagley),,83,75
4,11:32.0,,Turnover by H. Barnes (bad pass; steal by J. Johnson),83,75
4,11:26.0,J. Johnson misses 2-pt layup from 3 ft,,83,75
4,11:24.0,Offensive rebound by D. Wade,,83,75
4,11:22.0,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Wade),,85,75
4,10:57.0,,H. Giles misses 2-pt jump shot from 17 ft,85,75
4,10:50.0,Defensive rebound by R. McGruder,,85,75
4,10:44.0,D. Wade misses 3-pt jump shot from 25 ft,,85,75
4,10:41.0,,Defensive rebound by A. Burks,85,75
4,10:36.0,,H. Giles makes 2-pt jump shot from 10 ft (assist by A. Burks),85,77
4,10:17.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),,88,77
4,10:04.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,88,77
4,10:02.0,,Offensive rebound by M. Bagley,88,77
4,10:00.0,,M. Bagley misses 2-pt hook shot from 2 ft,88,77
4,9:58.0,Defensive rebound by B. Adebayo,,88,77
4,9:47.0,Turnover by J. Johnson (bad pass),,88,77
4,9:33.0,,Y. Ferrell makes 2-pt jump shot from 17 ft,88,79
4,9:14.0,D. Wade misses 2-pt jump shot from 16 ft,,88,79
4,9:09.0,Offensive rebound by B. Adebayo,,88,79
4,9:09.0,B. Adebayo misses 2-pt layup at rim,,88,79
4,9:08.0,,Defensive rebound by A. Burks,88,79
4,9:02.0,,A. Burks makes 2-pt layup from 4 ft,88,81
4,8:35.0,J. Richardson misses 2-pt jump shot from 17 ft,,88,81
4,8:32.0,,Defensive rebound by M. Bagley,88,81
4,8:28.0,,Shooting foul by J. Richardson (drawn by Y. Ferrell),88,81
4,8:28.0,,Y. Ferrell makes free throw 1 of 2,88,82
4,8:28.0,,Y. Ferrell makes free throw 2 of 2,88,83
4,8:28.0,Miami full timeout,,88,83
4,8:10.0,D. Wade misses 2-pt jump shot from 13 ft,,88,83
4,8:06.0,,Defensive rebound by H. Giles,88,83
4,7:53.0,,H. Barnes misses 3-pt jump shot from 25 ft,88,83
4,7:50.0,Defensive rebound by B. Adebayo,,88,83
4,7:36.0,J. Richardson makes 2-pt jump shot from 2 ft (assist by J. Johnson),,90,83
4,7:13.0,,H. Giles misses 2-pt hook shot from 10 ft,90,83
4,7:10.0,Defensive rebound by J. Johnson,,90,83
4,7:04.0,D. Wade makes 2-pt layup from 2 ft,,92,83
4,6:50.0,,Turnover by H. Giles (bad pass; steal by B. Adebayo),92,83
4,6:46.0,Shooting foul by H. Barnes (drawn by B. Adebayo),,92,83
4,6:46.0,B. Adebayo misses free throw 1 of 2,,92,83
4,6:46.0,Offensive rebound by Team,,92,83
4,6:46.0,J. Winslow enters the game for D. Wade,,92,83
4,6:46.0,,B. Hield enters the game for M. Bagley,92,83
4,6:46.0,B. Adebayo misses free throw 2 of 2,,92,83
4,6:43.0,,Defensive rebound by H. Barnes,92,83
4,6:34.0,,H. Giles misses 2-pt layup from 3 ft (block by J. Richardson),92,83
4,6:31.0,Defensive rebound by J. Johnson,,92,83
4,6:29.0,J. Richardson makes 2-pt layup from 2 ft (assist by J. Winslow),,94,83
4,6:29.0,,Violation by Team (def goaltending),94,83
4,6:29.0,,Sacramento full timeout,94,83
4,6:29.0,H. Whiteside enters the game for B. Adebayo,,94,83
4,6:29.0,,W. Cauley-Stein enters the game for Y. Ferrell,94,83
4,6:29.0,,D. Fox enters the game for H. Giles,94,83
4,6:19.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),94,85
4,5:58.0,J. Winslow misses 2-pt layup from 5 ft (block by W. Cauley-Stein),,94,85
4,5:55.0,Offensive rebound by J. Winslow,,94,85
4,5:55.0,Miami full timeout,,94,85
4,5:55.0,D. Waiters enters the game for R. McGruder,,94,85
4,5:55.0,,B. Bogdanović enters the game for A. Burks,94,85
4,5:54.0,J. Johnson misses 2-pt jump shot from 8 ft,,94,85
4,5:52.0,Offensive rebound by Team,,94,85
4,5:51.0,Turnover by Team (shot clock),,94,85
4,5:41.0,,Shooting foul by H. Whiteside (drawn by H. Barnes),94,85
4,5:41.0,,H. Barnes makes free throw 1 of 2,94,86
