QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
1,3:17.0,,T. Bryant makes 2-pt layup from 1 ft,24,25
1,3:17.0,,Shooting foul by M. Plumlee (drawn by T. Bryant),24,25
1,3:17.0,T. Craig enters the game for G. Harris,,24,25
1,3:17.0,P. Millsap enters the game for N. Jokić,,24,25
1,3:17.0,,C. Randle enters the game for T. Satoranský,24,25
1,3:17.0,,T. Bryant misses free throw 1 of 1,24,25
1,3:14.0,Defensive rebound by M. Beasley,,24,25
1,2:59.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by M. Morris),,27,25
1,2:47.0,,J. Parker makes 2-pt jump shot from 16 ft (assist by C. Randle),27,27
1,2:28.0,Personal foul by B. Beal (drawn by M. Plumlee),,27,27
1,2:28.0,,W. Johnson enters the game for B. Beal,27,27
1,2:16.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by T. Craig),,30,27
1,1:58.0,,J. Green misses 2-pt jump shot from 16 ft (block by T. Craig),30,27
1,1:55.0,Defensive rebound by M. Plumlee,,30,27
1,1:52.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),,32,27
1,1:29.0,,J. Parker misses 3-pt jump shot from 26 ft,32,27
1,1:27.0,Defensive rebound by P. Millsap,,32,27
1,1:14.0,T. Craig misses 3-pt jump shot from 27 ft,,32,27
1,1:09.0,,Defensive rebound by W. Johnson,32,27
1,0:51.0,,Shooting foul by M. Morris (drawn by W. Johnson),32,27
1,0:51.0,,W. Johnson makes free throw 1 of 3,32,28
1,0:51.0,,W. Johnson makes free throw 2 of 3,32,29
1,0:51.0,,W. Johnson makes free throw 3 of 3,32,30
1,0:35.0,Shooting foul by W. Johnson (drawn by M. Morris),,32,30
1,0:35.0,M. Morris makes free throw 1 of 2,,33,30
1,0:35.0,M. Morris misses free throw 2 of 2,,33,30
1,0:33.0,,Defensive rebound by J. Parker,33,30
1,0:26.0,,J. Parker misses 3-pt jump shot from 25 ft,33,30
1,0:23.0,Defensive rebound by M. Beasley,,33,30
1,0:02.0,T. Craig misses 2-pt layup from 5 ft,,33,30
1,0:01.0,,Defensive rebound by J. Parker,33,30
2,11:39.0,M. Beasley misses 3-pt jump shot from 26 ft,,33,30
2,11:36.0,Offensive rebound by M. Plumlee,,33,30
2,11:23.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by M. Morris),,35,30
2,11:07.0,,J. Parker makes 2-pt hook shot from 1 ft (assist by B. Portis),35,32
2,10:44.0,M. Beasley misses 2-pt layup from 3 ft,,35,32
2,10:40.0,,Defensive rebound by J. Green,35,32
2,10:31.0,,Shooting foul by T. Craig (drawn by B. Portis),35,32
2,10:31.0,,B. Portis makes free throw 1 of 2,35,33
2,10:31.0,,B. Portis makes free throw 2 of 2,35,34
2,10:15.0,T. Craig makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,38,34
2,9:52.0,,B. Portis makes 2-pt layup from 1 ft (assist by J. Parker),38,36
2,9:34.0,M. Beasley misses 3-pt jump shot from 27 ft,,38,36
2,9:30.0,,Defensive rebound by J. Green,38,36
2,9:27.0,,B. Portis makes 2-pt layup from 1 ft (assist by J. Green),38,38
2,9:27.0,Denver full timeout,,38,38
2,9:27.0,N. Jokić enters the game for P. Millsap,,38,38
2,9:15.0,Def 3 sec tech foul by Team,,38,38
2,9:15.0,N. Jokić makes technical free throw,,39,38
2,9:09.0,Offensive foul by M. Plumlee (drawn by J. Parker),,39,38
2,9:09.0,Turnover by M. Plumlee (offensive foul),,39,38
2,8:53.0,,J. Parker misses 2-pt jump shot from 18 ft,39,38
2,8:52.0,,Offensive rebound by Team,39,38
2,8:52.0,J. Murray enters the game for M. Beasley,,39,38
2,8:50.0,,W. Johnson misses 2-pt jump shot from 19 ft,39,38
2,8:46.0,Defensive rebound by M. Plumlee,,39,38
2,8:28.0,T. Craig misses 2-pt jump shot from 15 ft,,39,38
2,8:24.0,,Defensive rebound by B. Portis,39,38
2,8:14.0,,J. Parker misses 3-pt jump shot from 26 ft,39,38
2,8:11.0,Defensive rebound by M. Plumlee,,39,38
2,7:57.0,J. Murray misses 3-pt jump shot from 27 ft,,39,38
2,7:53.0,,Defensive rebound by J. Parker,39,38
2,7:49.0,,Personal foul by T. Craig (drawn by B. Portis),39,38
2,7:49.0,W. Barton enters the game for T. Craig,,39,38
2,7:49.0,G. Harris enters the game for M. Morris,,39,38
2,7:49.0,,B. Beal enters the game for W. Johnson,39,38
2,7:40.0,,B. Beal makes 2-pt layup from 1 ft,39,40
2,7:18.0,,Violation by Team (kicked ball),39,40
2,7:10.0,G. Harris misses 2-pt layup from 3 ft,,39,40
2,7:08.0,,Defensive rebound by J. Parker,39,40
2,6:52.0,,Turnover by J. Parker (bad pass; steal by M. Plumlee),39,40
2,6:45.0,Shooting foul by B. Portis (drawn by W. Barton),,39,40
2,6:45.0,W. Barton makes free throw 1 of 2,,40,40
2,6:45.0,P. Millsap enters the game for M. Plumlee,,40,40
2,6:45.0,,T. Satoranský enters the game for C. Randle,40,40
2,6:45.0,W. Barton makes free throw 2 of 2,,41,40
2,6:32.0,,J. Parker misses 2-pt layup from 3 ft,41,40
2,6:30.0,,Offensive rebound by J. Parker,41,40
2,6:29.0,,J. Parker makes 2-pt hook shot from 3 ft,41,42
2,6:07.0,W. Barton makes 2-pt jump shot from 6 ft (assist by J. Murray),,43,42
2,5:52.0,,J. Parker misses 2-pt layup from 2 ft,43,42
2,5:50.0,Defensive rebound by W. Barton,,43,42
2,5:40.0,Personal foul by B. Portis (drawn by N. Jokić),,43,42
2,5:40.0,,T. Brown enters the game for J. Parker,43,42
2,5:40.0,,T. Bryant enters the game for B. Portis,43,42
2,5:33.0,J. Murray misses 2-pt jump shot from 17 ft,,43,42
2,5:31.0,Offensive rebound by N. Jokić,,43,42
2,5:29.0,N. Jokić misses 2-pt layup from 3 ft,,43,42
2,5:28.0,Offensive rebound by N. Jokić,,43,42
2,5:25.0,J. Murray makes 2-pt layup from 5 ft (assist by N. Jokić),,45,42
2,5:14.0,,J. Green makes 3-pt jump shot from 27 ft (assist by T. Satoranský),45,45
2,4:58.0,W. Barton misses 2-pt jump shot from 19 ft,,45,45
2,4:54.0,,Defensive rebound by T. Bryant,45,45
2,4:39.0,,T. Satoranský makes 2-pt jump shot from 19 ft,45,47
2,4:23.0,N. Jokić makes 2-pt hook shot from 9 ft,,47,47
2,4:06.0,,Turnover by T. Satoranský (lost ball; steal by G. Harris),47,47
2,4:02.0,W. Barton makes 2-pt layup from 2 ft,,49,47
2,3:50.0,,Personal foul by W. Barton (drawn by T. Brown),49,47
2,3:50.0,T. Craig enters the game for W. Barton,,49,47
2,3:43.0,,T. Brown misses 3-pt jump shot from 25 ft,49,47
2,3:40.0,Defensive rebound by J. Murray,,49,47
2,3:32.0,G. Harris makes 2-pt dunk from 3 ft (assist by N. Jokić),,51,47
2,3:32.0,,Washington full timeout,51,47
2,3:32.0,,J. Parker enters the game for J. Green,51,47
2,3:13.0,,B. Beal misses 2-pt layup from 1 ft,51,47
2,3:09.0,Defensive rebound by N. Jokić,,51,47
2,3:03.0,G. Harris makes 2-pt layup from 1 ft,,53,47
2,2:51.0,,T. Satoranský makes 2-pt jump shot from 5 ft,53,49
2,2:39.0,,Violation by Team (kicked ball),53,49
2,2:31.0,J. Murray makes 2-pt layup from 2 ft (assist by P. Millsap),,55,49
2,2:22.0,,Turnover by T. Brown (out of bounds lost ball),55,49
2,2:02.0,Turnover by P. Millsap (bad pass; steal by B. Beal),,55,49
2,1:47.0,,T. Brown misses 2-pt layup from 14 ft (block by J. Murray),55,49
2,1:44.0,Defensive rebound by G. Harris,,55,49
2,1:44.0,G. Harris makes 2-pt dunk from 1 ft (assist by T. Craig),,57,49
2,1:43.0,,Washington full timeout,57,49
2,1:33.0,,Personal foul by G. Harris (drawn by T. Satoranský),57,49
2,1:25.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),57,51
2,1:04.0,N. Jokić misses 2-pt jump shot from 11 ft,,57,51
2,1:00.0,Offensive rebound by N. Jokić,,57,51
2,1:00.0,N. Jokić makes 2-pt layup from 1 ft,,59,51
2,0:45.0,,T. Brown misses 3-pt jump shot from 26 ft,59,51
2,0:41.0,Defensive rebound by J. Murray,,59,51
2,0:34.0,J. Murray makes 2-pt jump shot from 10 ft,,61,51
2,0:13.0,,Shooting foul by J. Murray (drawn by B. Beal),61,51
2,0:13.0,,B. Beal makes free throw 1 of 2,61,52
2,0:13.0,,B. Beal makes free throw 2 of 2,61,53
2,0:08.0,Personal take foul by T. Satoranský (drawn by J. Murray),,61,53
2,0:01.0,J. Murray misses 3-pt jump shot from 26 ft,,61,53
2,0:01.0,Offensive rebound by Team,,61,53
3,11:50.0,W. Barton misses 2-pt jump shot from 4 ft,,61,53
3,11:48.0,Offensive rebound by W. Barton,,61,53
3,11:47.0,W. Barton makes 2-pt layup from 7 ft,,63,53
3,11:33.0,,T. Bryant misses 2-pt hook shot from 5 ft,63,53
3,11:31.0,Defensive rebound by P. Millsap,,63,53
3,11:24.0,P. Millsap makes 2-pt jump shot from 2 ft,,65,53
3,11:12.0,,T. Satoranský misses 2-pt jump shot from 8 ft,65,53
3,11:09.0,,Offensive rebound by T. Satoranský,65,53
3,11:05.0,,B. Beal misses 3-pt jump shot from 26 ft,65,53
3,11:02.0,Defensive rebound by J. Murray,,65,53
3,10:57.0,J. Murray makes 2-pt jump shot from 11 ft,,67,53
3,10:42.0,,T. Satoranský makes 3-pt jump shot from 26 ft (assist by B. Beal),67,56
3,10:28.0,W. Barton misses 2-pt jump shot from 9 ft,,67,56
3,10:26.0,Offensive rebound by G. Harris,,67,56
3,10:17.0,J. Murray misses 2-pt hook shot from 1 ft,,67,56
3,10:14.0,,Defensive rebound by B. Portis,67,56
3,10:07.0,,B. Beal makes 2-pt jump shot from 11 ft,67,58
3,10:07.0,,Shooting foul by G. Harris (drawn by B. Beal),67,58
3,10:07.0,,B. Beal makes free throw 1 of 1,67,59
3,9:53.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,70,59
3,9:37.0,,T. Bryant makes 2-pt layup from 5 ft (assist by T. Brown),70,61
3,9:12.0,Personal foul by B. Portis (drawn by P. Millsap),,70,61
3,9:07.0,Turnover by J. Murray (traveling),,70,61
3,8:50.0,,T. Brown makes 2-pt layup from 1 ft (assist by T. Satoranský),70,63
3,8:25.0,Turnover by P. Millsap (3 sec),,70,63
3,8:11.0,,T. Brown makes 2-pt jump shot from 7 ft,70,65
3,8:11.0,Denver full timeout,,70,65
3,7:54.0,N. Jokić makes 2-pt hook shot from 7 ft,,72,65
3,7:27.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),72,67
3,7:12.0,G. Harris misses 3-pt jump shot from 26 ft,,72,67
3,7:10.0,,Defensive rebound by T. Satoranský,72,67
3,7:04.0,,T. Bryant makes 2-pt hook shot from 2 ft (assist by T. Satoranský),72,69
3,6:49.0,Turnover by P. Millsap (lost ball; steal by T. Satoranský),,72,69
3,6:42.0,,B. Beal makes 3-pt jump shot from 26 ft,72,72
3,6:16.0,N. Jokić misses 2-pt hook shot from 5 ft (block by T. Bryant),,72,72
3,6:13.0,,Defensive rebound by T. Brown,72,72
3,6:13.0,,T. Brown makes 2-pt jump shot from 7 ft,72,74
3,6:13.0,,Shooting foul by J. Murray (drawn by T. Brown),72,74
3,6:13.0,M. Morris enters the game for P. Millsap,,72,74
3,6:13.0,M. Plumlee enters the game for J. Murray,,72,74
3,6:13.0,,T. Brown makes free throw 1 of 1,72,75
3,5:56.0,G. Harris misses 3-pt jump shot from 30 ft,,72,75
3,5:55.0,,Defensive rebound by B. Portis,72,75
3,5:42.0,,B. Portis misses 2-pt jump shot from 22 ft,72,75
3,5:40.0,Defensive rebound by W. Barton,,72,75
3,5:23.0,G. Harris misses 2-pt jump shot from 18 ft,,72,75
3,5:20.0,,Defensive rebound by B. Beal,72,75
3,5:16.0,,B. Beal makes 3-pt jump shot from 28 ft (assist by T. Satoranský),72,78
3,4:55.0,N. Jokić makes 3-pt jump shot from 30 ft (assist by M. Plumlee),,75,78
3,4:39.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),75,80
3,4:26.0,Turnover by M. Morris (bad pass; steal by B. Beal),,75,80
3,4:20.0,,T. Brown makes 2-pt dunk from 1 ft (assist by B. Beal),75,82
3,3:56.0,Turnover by W. Barton (bad pass),,75,82
3,3:56.0,M. Beasley enters the game for W. Barton,,75,82
3,3:56.0,T. Craig enters the game for G. Harris,,75,82
3,3:36.0,,B. Beal misses 3-pt jump shot from 26 ft,75,82
3,3:32.0,,Offensive rebound by T. Brown,75,82
3,3:27.0,,B. Beal misses 3-pt jump shot from 25 ft,75,82
3,3:23.0,Defensive rebound by M. Plumlee,,75,82
3,3:05.0,M. Plumlee misses 2-pt hook shot from 7 ft,,75,82
3,3:02.0,,Defensive rebound by T. Brown,75,82
3,2:43.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by T. Brown),75,85
3,2:23.0,T. Craig makes 3-pt jump shot from 23 ft (assist by N. Jokić),,78,85
3,2:22.0,,Washington full timeout,78,85
3,2:22.0,P. Millsap enters the game for N. Jokić,,78,85
3,2:22.0,,J. Parker enters the game for B. Beal,78,85
3,2:22.0,,C. Randle enters the game for B. Portis,78,85
3,2:09.0,,Turnover by T. Satoranský (bad pass),78,85
3,1:58.0,M. Morris misses 2-pt jump shot from 5 ft,,78,85
3,1:54.0,,Defensive rebound by T. Bryant,78,85
3,1:47.0,,Turnover by T. Brown (bad pass; steal by M. Morris),78,85
3,1:43.0,M. Morris makes 2-pt layup from 1 ft,,80,85
3,1:22.0,,Turnover by J. Parker (bad pass; steal by P. Millsap),80,85
3,1:18.0,M. Beasley makes 2-pt layup from 1 ft (assist by T. Craig),,82,85
3,1:00.0,,Personal foul by M. Beasley (drawn by J. Parker),82,85
3,1:00.0,,J. Green enters the game for T. Bryant,82,85
3,0:57.0,,J. Parker misses 2-pt jump shot from 17 ft,82,85
3,0:54.0,Defensive rebound by P. Millsap,,82,85
3,0:40.0,Shooting foul by J. Parker (drawn by P. Millsap),,82,85
3,0:40.0,P. Millsap makes free throw 1 of 2,,83,85
3,0:40.0,P. Millsap misses free throw 2 of 2,,83,85
3,0:38.0,,Defensive rebound by J. Parker,83,85
3,0:33.0,,Turnover by T. Satoranský (lost ball; steal by M. Beasley),83,85
3,0:14.0,M. Morris makes 2-pt jump shot from 18 ft,,85,85
3,0:01.0,,T. Satoranský misses 3-pt jump shot from 27 ft,85,85
3,0:00.0,,Offensive rebound by Team,85,85
4,11:47.0,,Shooting foul by T. Craig (drawn by J. Green),85,85
4,11:47.0,,J. Green makes free throw 1 of 2,85,86
4,11:47.0,,J. Green makes free throw 2 of 2,85,87
4,11:34.0,Personal foul by J. Parker (drawn by P. Millsap),,85,87
4,11:22.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,88,87
4,11:03.0,,C. Randle misses 2-pt jump shot from 7 ft,88,87
4,11:02.0,Defensive rebound by M. Plumlee,,88,87
4,10:50.0,P. Millsap misses 2-pt layup from 2 ft,,88,87
4,10:47.0,,Defensive rebound by B. Portis,88,87
4,10:45.0,,Turnover by C. Randle (bad pass; steal by T. Craig),88,87
4,10:41.0,T. Craig makes 2-pt layup from 1 ft,,90,87
4,10:24.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by T. Satoranský),90,90
4,9:56.0,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Morris),,93,90
4,9:47.0,,C. Randle misses 3-pt jump shot from 26 ft,93,90
4,9:43.0,Defensive rebound by M. Plumlee,,93,90
4,9:29.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Beasley),,95,90
4,9:28.0,,Washington full timeout,95,90
4,9:28.0,,B. Beal enters the game for T. Satoranský,95,90
4,9:07.0,,J. Green misses 2-pt hook shot from 9 ft,95,90
4,9:05.0,Defensive rebound by M. Plumlee,,95,90
4,8:51.0,P. Millsap misses 2-pt hook shot from 1 ft,,95,90
4,8:47.0,,Defensive rebound by J. Parker,95,90
4,8:30.0,,C. Randle misses 3-pt jump shot from 27 ft,95,90
4,8:27.0,,Offensive rebound by J. Parker,95,90
4,8:22.0,,B. Beal misses 2-pt layup from 2 ft,95,90
4,8:20.0,Defensive rebound by P. Millsap,,95,90
4,8:04.0,T. Craig misses 3-pt jump shot from 25 ft,,95,90
4,8:01.0,,Defensive rebound by B. Portis,95,90
4,7:47.0,,J. Green misses 3-pt jump shot from 26 ft,95,90
4,7:43.0,Defensive rebound by T. Craig,,95,90
4,7:27.0,T. Craig makes 2-pt dunk from 2 ft (assist by P. Millsap),,97,90
4,7:16.0,,J. Parker misses 2-pt layup from 4 ft (block by P. Millsap),97,90
4,7:15.0,,Offensive rebound by Team,97,90
4,7:15.0,N. Jokić enters the game for P. Millsap,,97,90
4,7:15.0,,T. Brown enters the game for C. Randle,97,90
4,7:05.0,,B. Portis misses 3-pt jump shot from 27 ft,97,90
4,7:02.0,Defensive rebound by M. Plumlee,,97,90
4,7:00.0,Personal foul by B. Portis (drawn by N. Jokić),,97,90
4,6:48.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,100,90
4,6:47.0,,Washington full timeout,100,90
4,6:47.0,,T. Bryant enters the game for J. Parker,100,90
4,6:27.0,,T. Bryant makes 2-pt layup from 2 ft,100,92
4,5:58.0,N. Jokić misses 3-pt jump shot from 30 ft,,100,92
4,5:54.0,,Defensive rebound by T. Brown,100,92
4,5:50.0,,Shooting foul by T. Craig (drawn by T. Bryant),100,92
4,5:50.0,,T. Bryant makes free throw 1 of 2,100,93
4,5:50.0,J. Murray enters the game for M. Morris,,100,93
4,5:50.0,,T. Bryant makes free throw 2 of 2,100,94
4,5:36.0,M. Beasley misses 2-pt layup from 3 ft (block by T. Bryant),,100,94
4,5:36.0,,Defensive rebound by Team,100,94
4,5:19.0,,T. Brown misses 2-pt layup from 6 ft (block by J. Murray),100,94
4,5:18.0,Defensive rebound by N. Jokić,,100,94
4,5:15.0,M. Beasley makes 2-pt dunk from 2 ft (assist by N. Jokić),,102,94
4,4:57.0,,J. Green misses 3-pt jump shot from 25 ft,102,94
4,4:54.0,Defensive rebound by M. Plumlee,,102,94
4,4:44.0,M. Beasley misses 3-pt jump shot from 26 ft,,102,94
4,4:42.0,,Defensive rebound by T. Bryant,102,94
4,4:38.0,,Personal foul by J. Murray (drawn by B. Portis),102,94
4,4:38.0,G. Harris enters the game for M. Beasley,,102,94
4,4:25.0,,Turnover by B. Beal (bad pass),102,94
4,4:25.0,,T. Satoranský enters the game for J. Green,102,94
4,4:16.0,N. Jokić misses 3-pt jump shot from 26 ft,,102,94
4,4:11.0,,Defensive rebound by B. Beal,102,94
4,4:08.0,,B. Beal makes 2-pt layup from 2 ft,102,96
4,4:07.0,Denver full timeout,,102,96
4,4:07.0,P. Millsap enters the game for M. Plumlee,,102,96
4,3:57.0,Personal foul by T. Bryant (drawn by N. Jokić),,102,96
4,3:49.0,T. Craig misses 3-pt jump shot from 25 ft,,102,96
4,3:46.0,,Defensive rebound by T. Satoranský,102,96
4,3:37.0,,B. Beal makes 2-pt layup from 1 ft,102,98
4,3:22.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,104,98
4,2:59.0,,T. Bryant makes 2-pt jump shot from 13 ft (assist by B. Beal),104,100
4,2:36.0,J. Murray misses 3-pt jump shot from 26 ft,,104,100
4,2:33.0,,Defensive rebound by B. Portis,104,100
4,2:24.0,,Turnover by B. Beal (lost ball; steal by P. Millsap),104,100
4,2:20.0,J. Murray makes 2-pt layup from 2 ft (assist by T. Craig),,106,100
4,2:07.0,,Shooting foul by G. Harris (drawn by T. Satoranský),106,100
4,2:07.0,,T. Satoranský makes free throw 1 of 2,106,101
4,2:07.0,W. Barton enters the game for T. Craig,,106,101
4,2:07.0,,T. Satoranský makes free throw 2 of 2,106,102
4,1:57.0,Turnover by N. Jokić (lost ball; steal by B. Beal),,106,102
4,1:53.0,,B. Beal makes 2-pt dunk from 2 ft,106,104
4,1:53.0,Denver full timeout,,106,104
4,1:41.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,108,104
4,1:26.0,,B. Beal misses 2-pt jump shot from 15 ft,108,104
4,1:20.0,Defensive rebound by W. Barton,,108,104
4,1:05.0,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),,111,104
4,0:58.0,,Shooting foul by W. Barton (drawn by T. Satoranský),111,104
4,0:58.0,,T. Satoranský makes free throw 1 of 2,111,105
4,0:58.0,,T. Satoranský makes free throw 2 of 2,111,106
4,0:41.0,J. Murray misses 2-pt jump shot from 10 ft,,111,106
4,0:41.0,,Defensive rebound by Team,111,106
4,0:41.0,Loose ball foul by N. Jokić (drawn by T. Bryant),,111,106
4,0:41.0,,T. Bryant makes free throw 1 of 2,111,107
4,0:41.0,,T. Bryant makes free throw 2 of 2,111,108
4,0:23.0,G. Harris misses 2-pt layup from 3 ft,,111,108
4,0:19.0,,Defensive rebound by T. Bryant,111,108
4,0:12.0,,T. Bryant misses 3-pt jump shot from 29 ft,111,108
4,0:10.0,Defensive rebound by J. Murray,,111,108
4,0:10.0,Personal take foul by T. Satoranský (drawn by J. Murray),,111,108
4,0:09.0,Personal take foul by T. Bryant (drawn by G. Harris),,111,108
4,0:09.0,Offensive rebound by Team,,111,108
4,0:09.0,G. Harris misses free throw 1 of 2,,111,108
4,0:09.0,G. Harris misses free throw 2 of 2,,111,108
4,0:07.0,Offensive rebound by G. Harris,,111,108
4,0:07.0,Personal take foul by B. Beal (drawn by G. Harris),,111,108
4,0:07.0,G. Harris makes free throw 1 of 2,,112,108
4,0:07.0,G. Harris makes free throw 2 of 2,,113,108
4,0:07.0,,Washington full timeout,113,108
4,0:07.0,T. Craig enters the game for N. Jokić,,113,108
4,0:07.0,M. Plumlee enters the game for J. Murray,,113,108
4,0:05.0,,B. Beal misses 3-pt jump shot from 27 ft,113,108
4,0:03.0,,Offensive rebound by T. Satoranský,113,108
4,0:02.0,,Turnover by T. Satoranský (bad pass; steal by P. Millsap),113,108
