QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
2,3:32.0,Defensive rebound by N. Vučević,,39,45
2,3:24.0,N. Vučević misses 3-pt jump shot from 28 ft,,39,45
2,3:21.0,,Defensive rebound by L. James,39,45
2,3:18.0,,Personal foul by A. Gordon (drawn by L. James),39,45
2,3:13.0,,Offensive foul by L. James (drawn by D. Augustin),39,45
2,3:13.0,,Turnover by L. James (offensive foul),39,45
2,3:03.0,Turnover by T. Ross (bad pass),,39,45
2,2:52.0,,K. Kuzma makes 2-pt dunk from 3 ft (assist by L. James),39,47
2,2:41.0,Personal foul by K. Kuzma (drawn by D. Augustin),,39,47
2,2:36.0,E. Fournier misses 2-pt layup from 3 ft (block by J. McGee),,39,47
2,2:32.0,,Defensive rebound by K. Kuzma,39,47
2,2:27.0,,K. Kuzma misses 2-pt jump shot from 5 ft,39,47
2,2:24.0,Defensive rebound by N. Vučević,,39,47
2,2:20.0,N. Vučević makes 2-pt dunk from 3 ft (assist by D. Augustin),,41,47
2,2:09.0,,Turnover by L. Stephenson (bad pass),41,47
2,2:09.0,J. Simmons enters the game for E. Fournier,,41,47
2,1:59.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,44,47
2,1:44.0,,L. James misses 2-pt layup from 2 ft,44,47
2,1:39.0,,Offensive rebound by L. Stephenson,44,47
2,1:39.0,,Shooting foul by A. Gordon (drawn by L. Stephenson),44,47
2,1:39.0,,L. Stephenson misses free throw 1 of 2,44,47
2,1:39.0,,Offensive rebound by Team,44,47
2,1:39.0,J. Martin enters the game for A. Gordon,,44,47
2,1:39.0,,T. Chandler enters the game for J. McGee,44,47
2,1:39.0,,L. Stephenson makes free throw 2 of 2,44,48
2,1:18.0,D. Augustin makes 2-pt jump shot from 23 ft (assist by J. Simmons),,46,48
2,1:04.0,,Shooting foul by J. Martin (drawn by L. James),46,48
2,1:04.0,,L. James misses free throw 1 of 2,46,48
2,1:04.0,,Offensive rebound by Team,46,48
2,1:04.0,,L. James makes free throw 2 of 2,46,49
2,0:53.0,D. Augustin makes 3-pt jump shot from 28 ft,,49,49
2,0:33.0,,L. Stephenson misses 2-pt jump shot from 21 ft,49,49
2,0:31.0,Defensive rebound by D. Augustin,,49,49
2,0:23.0,J. Simmons makes 2-pt layup from 2 ft (assist by N. Vučević),,51,49
2,0:01.0,,L. James makes 3-pt jump shot from 26 ft,51,52
3,11:38.0,A. Gordon misses 2-pt dunk from 2 ft (block by J. McGee),,51,52
3,11:34.0,Offensive rebound by A. Gordon,,51,52
3,11:33.0,A. Gordon makes 2-pt layup from 2 ft,,53,52
3,11:15.0,,B. Ingram makes 2-pt jump shot from 4 ft,53,54
3,10:55.0,D. Augustin misses 3-pt jump shot from 25 ft,,53,54
3,10:52.0,,Defensive rebound by L. Ball,53,54
3,10:37.0,,B. Ingram misses 2-pt jump shot from 12 ft,53,54
3,10:33.0,Defensive rebound by N. Vučević,,53,54
3,10:27.0,N. Vučević misses 3-pt jump shot from 26 ft,,53,54
3,10:24.0,Offensive rebound by A. Gordon,,53,54
3,10:22.0,A. Gordon misses 3-pt jump shot from 25 ft,,53,54
3,10:19.0,,Defensive rebound by B. Ingram,53,54
3,10:17.0,,Turnover by B. Ingram (bad pass; steal by A. Gordon),53,54
3,9:59.0,A. Gordon makes 2-pt hook shot from 14 ft,,55,54
3,9:48.0,,L. Ball misses 2-pt jump shot from 10 ft,55,54
3,9:45.0,Defensive rebound by N. Vučević,,55,54
3,9:33.0,E. Fournier misses 2-pt layup from 2 ft,,55,54
3,9:28.0,,Defensive rebound by L. James,55,54
3,9:26.0,,Shooting foul by J. Simmons (drawn by K. Kuzma),55,54
3,9:26.0,,K. Kuzma misses free throw 1 of 2,55,54
3,9:26.0,,Offensive rebound by Team,55,54
3,9:26.0,,K. Kuzma makes free throw 2 of 2,55,55
3,9:10.0,Shooting foul by L. Ball (drawn by E. Fournier),,55,55
3,9:10.0,E. Fournier misses free throw 1 of 2,,55,55
3,9:10.0,Offensive rebound by Team,,55,55
3,9:10.0,E. Fournier makes free throw 2 of 2,,56,55
3,8:52.0,,K. Kuzma misses 2-pt jump shot from 16 ft,56,55
3,8:49.0,Defensive rebound by E. Fournier,,56,55
3,8:45.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by J. Simmons),,59,55
3,8:34.0,,Shooting foul by A. Gordon (drawn by J. McGee),59,55
3,8:34.0,,J. McGee makes free throw 1 of 2,59,56
3,8:34.0,,J. McGee makes free throw 2 of 2,59,57
3,8:20.0,E. Fournier misses 2-pt layup from 4 ft (block by L. James),,59,57
3,8:20.0,Offensive rebound by Team,,59,57
3,8:15.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,61,57
3,7:59.0,,K. Kuzma misses 2-pt layup from 7 ft,61,57
3,7:55.0,,Offensive rebound by K. Kuzma,61,57
3,7:55.0,,K. Kuzma misses 2-pt layup at rim,61,57
3,7:54.0,Defensive rebound by N. Vučević,,61,57
3,7:51.0,D. Augustin misses 3-pt jump shot from 26 ft,,61,57
3,7:48.0,,Defensive rebound by J. McGee,61,57
3,7:38.0,,J. McGee misses 3-pt jump shot from 26 ft,61,57
3,7:35.0,Defensive rebound by N. Vučević,,61,57
3,7:30.0,A. Gordon misses 2-pt layup from 1 ft,,61,57
3,7:27.0,,Defensive rebound by J. McGee,61,57
3,7:26.0,,Shooting foul by N. Vučević (drawn by B. Ingram),61,57
3,7:26.0,,B. Ingram misses free throw 1 of 2,61,57
3,7:26.0,,Offensive rebound by Team,61,57
3,7:26.0,,T. Chandler enters the game for K. Kuzma,61,57
3,7:26.0,,J. Hart enters the game for J. McGee,61,57
3,7:26.0,,B. Ingram makes free throw 2 of 2,61,58
3,7:08.0,Personal foul by B. Ingram (drawn by D. Augustin),,61,58
3,7:04.0,Shooting foul by J. Hart (drawn by J. Simmons),,61,58
3,7:04.0,J. Simmons makes free throw 1 of 2,,62,58
3,7:04.0,J. Simmons makes free throw 2 of 2,,63,58
3,6:48.0,,B. Ingram misses 3-pt jump shot from 27 ft,63,58
3,6:43.0,Defensive rebound by N. Vučević,,63,58
3,6:38.0,J. Simmons makes 2-pt dunk from 3 ft (assist by D. Augustin),,65,58
3,6:28.0,,B. Ingram misses 2-pt jump shot from 12 ft,65,58
3,6:25.0,Defensive rebound by J. Simmons,,65,58
3,6:19.0,J. Simmons misses 2-pt layup from 2 ft,,65,58
3,6:17.0,,Defensive rebound by L. James,65,58
3,6:14.0,,L. James misses 3-pt jump shot from 27 ft,65,58
3,6:10.0,Defensive rebound by N. Vučević,,65,58
3,6:03.0,Shooting foul by L. James (drawn by N. Vučević),,65,58
3,6:03.0,,LA Lakers full timeout,65,58
3,6:03.0,J. Isaac enters the game for J. Simmons,,65,58
3,6:03.0,,K. Caldwell-Pope enters the game for B. Ingram,65,58
3,6:03.0,N. Vučević makes free throw 1 of 2,,66,58
3,6:03.0,N. Vučević makes free throw 2 of 2,,67,58
3,5:50.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by T. Chandler),67,61
3,5:30.0,D. Augustin misses 2-pt layup from 2 ft,,67,61
3,5:29.0,Offensive rebound by J. Isaac,,67,61
3,5:29.0,J. Isaac makes 2-pt dunk from 1 ft,,69,61
3,5:17.0,,Turnover by L. James (traveling),69,61
3,5:07.0,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),,71,61
3,4:49.0,,L. James misses 3-pt jump shot from 27 ft,71,61
3,4:46.0,Defensive rebound by D. Augustin,,71,61
3,4:41.0,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),,73,61
3,4:41.0,,LA Lakers full timeout,73,61
3,4:41.0,J. Grant enters the game for D. Augustin,,73,61
3,4:41.0,T. Ross enters the game for E. Fournier,,73,61
3,4:41.0,,S. Mykhailiuk enters the game for T. Chandler,73,61
3,4:41.0,,L. Stephenson enters the game for J. Hart,73,61
3,4:24.0,,L. Ball misses 3-pt jump shot from 27 ft,73,61
3,4:19.0,Defensive rebound by T. Ross,,73,61
3,4:05.0,N. Vučević misses 2-pt jump shot from 12 ft,,73,61
3,4:03.0,,Defensive rebound by L. Ball,73,61
3,3:57.0,,L. Stephenson makes 3-pt jump shot from 26 ft (assist by L. James),73,64
3,3:41.0,J. Isaac makes 2-pt jump shot from 11 ft (assist by J. Grant),,75,64
3,3:28.0,,L. Stephenson makes 3-pt jump shot from 25 ft,75,67
3,3:17.0,Personal foul by L. James (drawn by N. Vučević),,75,67
3,3:17.0,N. Vučević makes free throw 1 of 2,,76,67
3,3:17.0,N. Vučević makes free throw 2 of 2,,77,67
3,2:59.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,77,67
3,2:55.0,Defensive rebound by J. Isaac,,77,67
3,2:42.0,N. Vučević makes 2-pt dunk at rim (assist by J. Grant),,79,67
3,2:42.0,J. Simmons enters the game for A. Gordon,,79,67
3,2:26.0,,S. Mykhailiuk misses 2-pt jump shot from 8 ft (block by N. Vučević),79,67
3,2:22.0,Defensive rebound by T. Ross,,79,67
3,2:17.0,J. Grant makes 3-pt jump shot from 27 ft (assist by N. Vučević),,82,67
3,1:56.0,,Shooting foul by J. Isaac (drawn by L. James),82,67
3,1:56.0,,L. James misses free throw 1 of 2,82,67
3,1:56.0,,Offensive rebound by Team,82,67
3,1:56.0,,J. McGee enters the game for L. Ball,82,67
3,1:56.0,,L. James makes free throw 2 of 2,82,68
3,1:38.0,N. Vučević misses 2-pt jump shot from 16 ft,,82,68
3,1:35.0,,Defensive rebound by L. Stephenson,82,68
3,1:31.0,,L. Stephenson misses 2-pt jump shot from 14 ft,82,68
3,1:27.0,Defensive rebound by N. Vučević,,82,68
3,1:05.0,J. Isaac makes 2-pt layup from 3 ft (assist by J. Grant),,84,68
3,0:54.0,,L. Stephenson makes 3-pt jump shot from 23 ft (assist by L. James),84,71
3,0:42.0,Personal foul by J. McGee (drawn by N. Vučević),,84,71
3,0:42.0,N. Vučević makes free throw 1 of 2,,85,71
3,0:42.0,N. Vučević makes free throw 2 of 2,,86,71
3,0:33.0,,L. Stephenson misses 3-pt jump shot from 26 ft,86,71
3,0:30.0,Defensive rebound by J. Simmons,,86,71
3,0:14.0,T. Ross misses 3-pt jump shot from 22 ft (block by K. Caldwell-Pope),,86,71
3,0:11.0,,Defensive rebound by J. McGee,86,71
3,0:01.0,,L. Stephenson misses 3-pt jump shot from 27 ft,86,71
3,0:01.0,,Offensive rebound by Team,86,71
4,11:48.0,,B. Ingram makes 2-pt layup from 2 ft,86,73
4,11:48.0,,Shooting foul by M. Bamba (drawn by B. Ingram),86,73
4,11:48.0,,B. Ingram makes free throw 1 of 1,86,74
4,11:32.0,J. Simmons makes 2-pt dunk from 2 ft (assist by J. Isaac),,88,74
4,11:04.0,,Shooting foul by J. Isaac (drawn by K. Kuzma),88,74
4,11:04.0,,K. Kuzma makes free throw 1 of 2,88,75
4,11:04.0,,K. Kuzma makes free throw 2 of 2,88,76
4,10:50.0,Turnover by J. Grant (bad pass; steal by K. Caldwell-Pope),,88,76
4,10:45.0,,Shooting foul by M. Bamba (drawn by K. Caldwell-Pope),88,76
4,10:45.0,,K. Caldwell-Pope makes free throw 1 of 2,88,77
4,10:45.0,,K. Caldwell-Pope makes free throw 2 of 2,88,78
4,10:33.0,J. Simmons makes 2-pt layup from 2 ft,,90,78
4,10:17.0,,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,90,78
4,10:16.0,,Offensive rebound by K. Caldwell-Pope,90,78
4,10:14.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,90,78
4,10:14.0,Defensive rebound by Team,,90,78
4,9:57.0,M. Bamba misses 2-pt jump shot from 18 ft,,90,78
4,9:57.0,,Defensive rebound by Team,90,78
4,9:57.0,Loose ball foul by J. Isaac (drawn by K. Kuzma),,90,78
4,9:57.0,A. Gordon enters the game for J. Isaac,,90,78
4,9:46.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),90,81
4,9:28.0,J. Simmons misses 3-pt jump shot from 27 ft,,90,81
4,9:25.0,,Defensive rebound by J. Hart,90,81
4,9:13.0,,K. Kuzma misses 3-pt jump shot from 27 ft,90,81
4,9:11.0,Defensive rebound by T. Ross,,90,81
4,9:01.0,Turnover by T. Ross (bad pass; steal by S. Mykhailiuk),,90,81
4,8:58.0,,S. Mykhailiuk misses 2-pt layup from 3 ft (block by J. Simmons),90,81
4,8:58.0,,Offensive rebound by Team,90,81
4,8:43.0,,B. Ingram makes 2-pt jump shot from 13 ft,90,83
4,8:19.0,T. Ross misses 2-pt jump shot from 17 ft,,90,83
4,8:19.0,,Defensive rebound by Team,90,83
4,8:19.0,Loose ball foul by A. Gordon (drawn by S. Mykhailiuk),,90,83
4,8:19.0,,S. Mykhailiuk makes free throw 1 of 2,90,84
4,8:19.0,,S. Mykhailiuk misses free throw 2 of 2,90,84
4,8:17.0,Defensive rebound by J. Simmons,,90,84
4,8:03.0,J. Simmons misses 2-pt jump shot from 19 ft,,90,84
4,8:01.0,,Defensive rebound by B. Ingram,90,84
4,7:53.0,,Turnover by B. Ingram (lost ball; steal by M. Bamba),90,84
4,7:49.0,J. Grant makes 2-pt layup from 2 ft,,92,84
4,7:43.0,,B. Ingram makes 2-pt jump shot from 6 ft (assist by S. Mykhailiuk),92,86
4,7:43.0,,Shooting foul by A. Gordon (drawn by B. Ingram),92,86
4,7:43.0,E. Fournier enters the game for A. Gordon,,92,86
4,7:43.0,J. Isaac enters the game for J. Simmons,,92,86
4,7:43.0,,L. James enters the game for S. Mykhailiuk,92,86
4,7:43.0,,B. Ingram makes free throw 1 of 1,92,87
4,7:32.0,Personal foul by K. Caldwell-Pope (drawn by T. Ross),,92,87
4,7:32.0,N. Vučević enters the game for M. Bamba,,92,87
4,7:32.0,,J. McGee enters the game for K. Caldwell-Pope,92,87
4,7:32.0,Away from play foul by L. James (drawn by J. Isaac),,92,87
4,7:32.0,E. Fournier makes free throw 1 of 1,,93,87
4,7:25.0,N. Vučević makes 2-pt jump shot from 6 ft (assist by E. Fournier),,95,87
4,7:25.0,,Violation by Team (def goaltending),95,87
4,7:14.0,,B. Ingram makes 2-pt jump shot from 17 ft (assist by J. Hart),95,89
4,7:01.0,T. Ross makes 3-pt jump shot from 27 ft (assist by J. Grant),,98,89
4,6:55.0,,Shooting foul by E. Fournier (drawn by L. James),98,89
4,6:55.0,,LA Lakers full timeout,98,89
4,6:55.0,D. Augustin enters the game for J. Grant,,98,89
4,6:55.0,,K. Caldwell-Pope enters the game for J. Hart,98,89
4,6:55.0,,L. James misses free throw 1 of 2,98,89
4,6:55.0,,Offensive rebound by Team,98,89
4,6:55.0,,L. James makes free throw 2 of 2,98,90
4,6:37.0,N. Vučević makes 2-pt layup from 2 ft,,100,90
4,6:13.0,,L. James makes 3-pt jump shot from 27 ft (assist by K. Kuzma),100,93
4,6:02.0,Personal foul by B. Ingram (drawn by D. Augustin),,100,93
4,5:51.0,Turnover by E. Fournier (bad pass; steal by K. Caldwell-Pope),,100,93
4,5:43.0,,J. McGee misses 2-pt layup from 2 ft,100,93
4,5:38.0,Defensive rebound by N. Vučević,,100,93
4,5:30.0,D. Augustin makes 2-pt layup from 1 ft,,102,93
