QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
2,6:18.0,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),,45,50
2,6:18.0,Shooting foul by J. Simmons (drawn by S. Curry),,45,50
2,6:18.0,,M. Scott enters the game for J. Bolden,45,50
2,6:18.0,S. Curry makes free throw 1 of 1,,46,50
2,6:00.0,,B. Simmons makes 2-pt hook shot from 9 ft (assist by T. Harris),46,52
2,5:45.0,Turnover by S. Curry (traveling),,46,52
2,5:45.0,J. Bell enters the game for D. Green,,46,52
2,5:23.0,,Shooting foul by D. Lee (drawn by J. Simmons),46,52
2,5:23.0,,J. Simmons makes free throw 1 of 2,46,53
2,5:23.0,,J. Simmons misses free throw 2 of 2,46,53
2,5:20.0,,Offensive rebound by M. Scott,46,53
2,5:20.0,,M. Scott makes 2-pt layup from 1 ft,46,55
2,5:04.0,S. Curry misses 3-pt jump shot from 26 ft,,46,55
2,5:00.0,,Defensive rebound by T. Harris,46,55
2,4:54.0,,T. Harris makes 2-pt layup from 2 ft (assist by J. Simmons),46,57
2,4:33.0,S. Curry misses 2-pt jump shot from 7 ft,,46,57
2,4:31.0,Offensive rebound by S. Curry,,46,57
2,4:30.0,S. Curry makes 2-pt layup from 3 ft,,48,57
2,4:20.0,,T. Harris makes 2-pt jump shot from 19 ft,48,59
2,4:04.0,K. Durant misses 2-pt layup from 2 ft,,48,59
2,4:02.0,,Defensive rebound by M. Scott,48,59
2,3:58.0,,J. Simmons misses 2-pt layup from 2 ft,48,59
2,3:55.0,Defensive rebound by S. Livingston,,48,59
2,3:53.0,S. Livingston makes 2-pt jump shot from 2 ft,,50,59
2,3:53.0,Shooting foul by J. Simmons (drawn by S. Livingston),,50,59
2,3:53.0,D. Green enters the game for J. Bell,,50,59
2,3:53.0,A. Iguodala enters the game for D. Lee,,50,59
2,3:53.0,,J. Butler enters the game for J. Simmons,50,59
2,3:53.0,S. Livingston makes free throw 1 of 1,,51,59
2,3:31.0,,T. Harris misses 3-pt jump shot from 26 ft,51,59
2,3:27.0,Defensive rebound by K. Durant,,51,59
2,3:20.0,K. Durant misses 2-pt jump shot from 7 ft,,51,59
2,3:17.0,,Defensive rebound by J. Butler,51,59
2,3:03.0,,M. Scott misses 2-pt jump shot from 8 ft,51,59
2,3:00.0,Defensive rebound by A. Iguodala,,51,59
2,2:56.0,Shooting foul by M. Scott (drawn by K. Durant),,51,59
2,2:56.0,K. Durant misses free throw 1 of 2,,51,59
2,2:56.0,Offensive rebound by Team,,51,59
2,2:56.0,J. Bell enters the game for S. Livingston,,51,59
2,2:56.0,,T. McConnell enters the game for T. Harris,51,59
2,2:56.0,K. Durant makes free throw 2 of 2,,52,59
2,2:47.0,,J. Redick misses 2-pt jump shot from 21 ft,52,59
2,2:44.0,Defensive rebound by D. Green,,52,59
2,2:40.0,Shooting foul by M. Scott (drawn by J. Bell),,52,59
2,2:40.0,,Technical foul by M. Scott,52,59
2,2:40.0,Technical foul by J. Bell,,52,59
2,2:40.0,J. Bell misses free throw 1 of 2,,52,59
2,2:40.0,Offensive rebound by Team,,52,59
2,2:40.0,J. Bell makes free throw 2 of 2,,53,59
2,2:18.0,,T. McConnell makes 2-pt jump shot from 16 ft,53,61
2,1:48.0,Turnover by Team (shot clock),,53,61
2,1:38.0,,Offensive foul by B. Simmons (drawn by D. Green),53,61
2,1:38.0,,Turnover by B. Simmons (offensive foul),53,61
2,1:38.0,,Violation by Team (delay of game),53,61
2,1:38.0,,T. Harris enters the game for T. McConnell,53,61
2,1:30.0,A. Iguodala misses 3-pt jump shot from 28 ft,,53,61
2,1:27.0,,Defensive rebound by B. Simmons,53,61
2,1:16.0,,Personal foul by S. Curry (drawn by J. Butler),53,61
2,1:16.0,,J. Butler makes free throw 1 of 2,53,62
2,1:16.0,,J. Butler makes free throw 2 of 2,53,63
2,1:03.0,K. Durant makes 2-pt jump shot from 11 ft,,55,63
2,0:36.0,,J. Butler misses 2-pt jump shot from 5 ft,55,63
2,0:35.0,,Offensive rebound by B. Simmons,55,63
2,0:35.0,,B. Simmons makes 2-pt layup from 1 ft,55,65
2,0:28.0,S. Curry misses 3-pt jump shot from 28 ft,,55,65
2,0:24.0,,Defensive rebound by B. Simmons,55,65
2,0:23.0,,Personal foul by J. Bell (drawn by B. Simmons),55,65
2,0:23.0,,B. Simmons makes free throw 1 of 2,55,66
2,0:23.0,Q. Cook enters the game for J. Bell,,55,66
2,0:23.0,,J. Simmons enters the game for J. Redick,55,66
2,0:23.0,,B. Simmons makes free throw 2 of 2,55,67
2,0:02.0,K. Durant misses 2-pt jump shot from 16 ft,,55,67
2,0:01.0,,Defensive rebound by T. Harris,55,67
3,11:49.0,K. Durant makes 2-pt jump shot from 13 ft (assist by D. Green),,57,67
3,11:36.0,,J. Redick makes 2-pt jump shot from 12 ft (assist by B. Simmons),57,69
3,11:23.0,D. Cousins misses 2-pt layup from 2 ft (block by J. Bolden),,57,69
3,11:21.0,Offensive rebound by D. Lee,,57,69
3,11:21.0,D. Lee misses 2-pt layup from 5 ft,,57,69
3,11:21.0,,Defensive rebound by Team,57,69
3,11:21.0,Loose ball foul by D. Lee (drawn by J. Butler),,57,69
3,11:07.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),57,71
3,10:46.0,D. Lee makes 3-pt jump shot from 22 ft (assist by D. Green),,60,71
3,10:38.0,,Turnover by B. Simmons (bad pass; steal by S. Curry),60,71
3,10:31.0,K. Durant misses 3-pt jump shot from 23 ft,,60,71
3,10:28.0,,Defensive rebound by T. Harris,60,71
3,10:24.0,,T. Harris misses 2-pt jump shot from 16 ft,60,71
3,10:22.0,Defensive rebound by D. Green,,60,71
3,10:15.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Green),,63,71
3,9:49.0,,B. Simmons misses 2-pt hook shot from 4 ft,63,71
3,9:48.0,Defensive rebound by D. Cousins,,63,71
3,9:39.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,66,71
3,9:37.0,,Philadelphia full timeout,66,71
3,9:20.0,,J. Bolden misses 3-pt jump shot from 27 ft,66,71
3,9:17.0,Defensive rebound by D. Green,,66,71
3,9:09.0,Shooting foul by J. Bolden (drawn by D. Cousins),,66,71
3,9:09.0,D. Cousins makes free throw 1 of 2,,67,71
3,9:09.0,D. Cousins makes free throw 2 of 2,,68,71
3,8:56.0,,Turnover by B. Simmons (bad pass; steal by S. Curry),68,71
3,8:50.0,D. Lee misses 3-pt jump shot from 25 ft,,68,71
3,8:47.0,,Defensive rebound by B. Simmons,68,71
3,8:40.0,,T. Harris misses 2-pt jump shot from 11 ft,68,71
3,8:38.0,Defensive rebound by D. Green,,68,71
3,8:32.0,K. Durant makes 2-pt layup from 2 ft,,70,71
3,8:15.0,,Personal foul by S. Curry (drawn by J. Redick),70,71
3,8:15.0,Q. Cook enters the game for S. Curry,,70,71
3,8:07.0,,B. Simmons misses 2-pt layup from 2 ft,70,71
3,8:05.0,Defensive rebound by D. Cousins,,70,71
3,7:59.0,Shooting foul by T. Harris (drawn by K. Durant),,70,71
3,7:59.0,K. Durant makes free throw 1 of 2,,71,71
3,7:59.0,K. Durant makes free throw 2 of 2,,72,71
3,7:40.0,,J. Redick misses 2-pt layup from 4 ft (block by D. Cousins),72,71
3,7:40.0,,Offensive rebound by Team,72,71
3,7:38.0,,J. Redick misses 2-pt jump shot from 18 ft,72,71
3,7:34.0,,Offensive rebound by B. Simmons,72,71
3,7:33.0,,Turnover by B. Simmons (bad pass),72,71
3,7:23.0,Shooting foul by J. Bolden (drawn by D. Cousins),,72,71
3,7:23.0,D. Cousins misses free throw 1 of 2,,72,71
3,7:23.0,Offensive rebound by Team,,72,71
3,7:23.0,,M. Scott enters the game for J. Bolden,72,71
3,7:23.0,D. Cousins makes free throw 2 of 2,,73,71
3,7:02.0,,J. Butler makes 2-pt jump shot from 19 ft,73,73
3,6:55.0,K. Durant misses 3-pt jump shot from 27 ft,,73,73
3,6:51.0,,Defensive rebound by B. Simmons,73,73
3,6:45.0,,M. Scott makes 3-pt jump shot from 28 ft (assist by B. Simmons),73,76
3,6:43.0,Golden State full timeout,,73,76
3,6:36.0,D. Green makes 2-pt layup from 1 ft,,75,76
3,6:21.0,,J. Butler misses 2-pt jump shot from 17 ft,75,76
3,6:17.0,Defensive rebound by K. Durant,,75,76
3,6:01.0,K. Durant misses 3-pt jump shot from 24 ft,,75,76
3,5:58.0,,Defensive rebound by T. Harris,75,76
3,5:52.0,,Turnover by B. Simmons (bad pass; steal by D. Lee),75,76
3,5:42.0,D. Cousins misses 3-pt jump shot from 26 ft,,75,76
3,5:39.0,,Defensive rebound by J. Redick,75,76
3,5:33.0,,B. Simmons misses 2-pt layup from 2 ft,75,76
3,5:31.0,,Offensive rebound by J. Butler,75,76
3,5:31.0,,Shooting foul by D. Lee (drawn by J. Butler),75,76
3,5:31.0,,J. Butler misses free throw 1 of 2,75,76
3,5:31.0,,Offensive rebound by Team,75,76
3,5:31.0,J. Bell enters the game for D. Green,,75,76
3,5:31.0,,T. McConnell enters the game for J. Redick,75,76
3,5:31.0,,J. Butler makes free throw 2 of 2,75,77
3,5:26.0,D. Lee makes 3-pt jump shot from 24 ft (assist by K. Durant),,78,77
3,5:03.0,,Personal foul by J. Bell (drawn by B. Simmons),78,77
3,4:56.0,,M. Scott makes 3-pt jump shot from 27 ft (assist by B. Simmons),78,80
3,4:39.0,K. Durant misses 2-pt layup from 1 ft,,78,80
3,4:37.0,,Defensive rebound by B. Simmons,78,80
3,4:35.0,,M. Scott makes 3-pt jump shot from 27 ft (assist by B. Simmons),78,83
3,4:32.0,Golden State full timeout,,78,83
3,4:32.0,,Technical foul by S. Kerr,78,83
3,4:32.0,,T. Harris makes technical free throw,78,84
3,4:32.0,A. Iguodala enters the game for D. Cousins,,78,84
3,4:12.0,K. Durant makes 3-pt jump shot from 30 ft,,81,84
3,3:45.0,,M. Scott misses 3-pt jump shot from 28 ft,81,84
3,3:42.0,Defensive rebound by K. Durant,,81,84
3,3:40.0,Turnover by K. Durant (bad pass),,81,84
3,3:40.0,,J. Simmons enters the game for J. Butler,81,84
3,3:15.0,,B. Simmons makes 2-pt hook shot from 8 ft (assist by J. Simmons),81,86
3,3:02.0,Shooting foul by J. Simmons (drawn by K. Durant),,81,86
3,3:02.0,K. Durant makes free throw 1 of 2,,82,86
3,3:02.0,K. Durant misses free throw 2 of 2,,82,86
3,3:00.0,,Defensive rebound by B. Simmons,82,86
3,2:48.0,,T. Harris misses 2-pt layup from 2 ft (block by J. Bell),82,86
3,2:46.0,Defensive rebound by Q. Cook,,82,86
3,2:43.0,D. Lee makes 3-pt jump shot from 23 ft (assist by J. Bell),,85,86
3,2:24.0,,Shooting foul by Q. Cook (drawn by T. McConnell),85,86
3,2:24.0,,T. McConnell makes free throw 1 of 2,85,87
3,2:24.0,,T. McConnell makes free throw 2 of 2,85,88
3,2:13.0,Q. Cook makes 3-pt jump shot from 27 ft,,88,88
3,1:49.0,,Offensive foul by T. Harris (drawn by D. Lee),88,88
3,1:49.0,,Turnover by T. Harris (offensive foul),88,88
3,1:36.0,Q. Cook misses 3-pt jump shot from 26 ft,,88,88
3,1:32.0,,Defensive rebound by T. Harris,88,88
3,1:28.0,,Turnover by T. McConnell (bad pass),88,88
3,1:10.0,K. Durant misses 2-pt jump shot from 21 ft,,88,88
3,1:07.0,,Defensive rebound by B. Simmons,88,88
3,0:56.0,,T. Harris misses 3-pt jump shot from 24 ft,88,88
3,0:53.0,Defensive rebound by D. Lee,,88,88
3,0:45.0,K. Durant makes 2-pt jump shot from 11 ft,,90,88
3,0:30.0,,B. Simmons makes 2-pt layup from 6 ft,90,90
3,0:12.0,A. Iguodala makes 3-pt jump shot from 25 ft (assist by K. Durant),,93,90
4,11:48.0,,T. Harris misses 2-pt jump shot from 8 ft,93,90
4,11:44.0,Defensive rebound by D. Cousins,,93,90
4,11:32.0,D. Cousins makes 2-pt dunk from 1 ft (assist by D. Green),,95,90
4,11:11.0,,M. Scott misses 2-pt layup from 5 ft,95,90
4,11:09.0,Defensive rebound by D. Cousins,,95,90
4,11:02.0,Offensive foul by S. Livingston (drawn by T. McConnell),,95,90
4,11:02.0,Turnover by S. Livingston (offensive foul),,95,90
4,10:50.0,,J. Butler makes 3-pt jump shot from 26 ft,95,93
4,10:50.0,,Shooting foul by S. Livingston (drawn by J. Butler),95,93
4,10:50.0,,J. Butler makes free throw 1 of 1,95,94
4,10:32.0,D. Green misses 2-pt jump shot from 16 ft,,95,94
4,10:29.0,,Defensive rebound by J. Bolden,95,94
4,10:22.0,,J. Butler misses 2-pt layup from 12 ft (block by A. Iguodala),95,94
4,10:22.0,,Offensive rebound by Team,95,94
4,10:20.0,,J. Bolden makes 3-pt jump shot from 25 ft (assist by T. McConnell),95,97
4,10:01.0,D. Cousins makes 2-pt layup from 2 ft (assist by D. Green),,97,97
4,9:42.0,,M. Scott makes 3-pt jump shot from 27 ft (assist by J. Bolden),97,100
4,9:32.0,Turnover by S. Curry (bad pass; steal by T. McConnell),,97,100
4,9:24.0,,Turnover by J. Butler (bad pass; steal by A. Iguodala),97,100
4,9:13.0,S. Curry misses 3-pt jump shot from 27 ft,,97,100
4,9:09.0,,Defensive rebound by T. Harris,97,100
4,9:00.0,,T. McConnell misses 2-pt jump shot from 7 ft,97,100
4,9:00.0,,Offensive rebound by J. Butler,97,100
4,9:00.0,,Shooting foul by D. Cousins (drawn by J. Butler),97,100
4,9:00.0,,J. Butler makes free throw 1 of 2,97,101
4,9:00.0,,J. Butler misses free throw 2 of 2,97,101
4,8:58.0,Defensive rebound by D. Cousins,,97,101
4,8:44.0,Personal foul by J. Bolden (drawn by D. Cousins),,97,101
4,8:44.0,,B. Simmons enters the game for J. Bolden,97,101
4,8:38.0,S. Curry makes 2-pt jump shot from 19 ft (assist by A. Iguodala),,99,101
4,8:22.0,,J. Butler misses 2-pt jump shot from 21 ft,99,101
4,8:19.0,Defensive rebound by S. Curry,,99,101
4,8:15.0,S. Curry misses 3-pt jump shot from 27 ft,,99,101
4,8:12.0,Offensive rebound by D. Cousins,,99,101
4,8:12.0,D. Cousins makes 2-pt layup from 1 ft,,101,101
4,8:12.0,,Philadelphia full timeout,101,101
4,8:12.0,,J. Redick enters the game for T. McConnell,101,101
4,7:54.0,,M. Scott misses 3-pt jump shot from 27 ft,101,101
4,7:50.0,Defensive rebound by S. Livingston,,101,101
4,7:35.0,S. Curry misses 3-pt jump shot from 23 ft,,101,101
4,7:33.0,,Defensive rebound by T. Harris,101,101
4,7:18.0,,Turnover by T. Harris (lost ball; steal by D. Cousins),101,101
4,7:15.0,Shooting foul by J. Butler (drawn by A. Iguodala),,101,101
4,7:15.0,A. Iguodala misses free throw 1 of 2,,101,101
4,7:15.0,Offensive rebound by Team,,101,101
4,7:15.0,A. Iguodala makes free throw 2 of 2,,102,101
4,6:55.0,,J. Butler misses 2-pt jump shot from 11 ft (block by A. Iguodala),102,101
4,6:53.0,,Offensive rebound by J. Butler,102,101
4,6:53.0,,M. Scott misses 2-pt jump shot from 7 ft (block by S. Livingston),102,101
4,6:53.0,,Offensive rebound by Team,102,101
4,6:53.0,K. Durant enters the game for A. Iguodala,,102,101
4,6:52.0,,Turnover by B. Simmons (bad pass; steal by D. Green),102,101
4,6:47.0,Shooting foul by B. Simmons (drawn by K. Durant),,102,101
4,6:47.0,K. Durant misses free throw 1 of 2,,102,101
4,6:47.0,Offensive rebound by Team,,102,101
4,6:47.0,K. Durant makes free throw 2 of 2,,103,101
4,6:37.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by B. Simmons),103,104
4,6:20.0,D. Cousins makes 2-pt layup from 3 ft,,105,104
4,6:10.0,,Turnover by J. Redick (lost ball; steal by D. Green),105,104
4,6:04.0,S. Curry misses 3-pt jump shot from 25 ft,,105,104
4,6:03.0,Offensive rebound by Team,,105,104
4,6:03.0,,Loose ball foul by M. Scott (drawn by D. Cousins),105,104
4,5:59.0,Personal foul by J. Butler (drawn by D. Cousins),,105,104
4,5:59.0,D. Cousins misses free throw 1 of 2,,105,104
4,5:59.0,Offensive rebound by Team,,105,104
4,5:59.0,D. Cousins makes free throw 2 of 2,,106,104
4,5:42.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Butler),106,107
4,5:26.0,K. Durant makes 2-pt jump shot from 18 ft,,108,107
4,5:03.0,,Turnover by M. Scott (bad pass; steal by D. Green),108,107
4,5:03.0,D. Lee enters the game for S. Livingston,,108,107
4,4:50.0,Shooting foul by T. Harris (drawn by D. Cousins),,108,107
4,4:50.0,D. Cousins misses free throw 1 of 2,,108,107
4,4:50.0,Offensive rebound by Team,,108,107
4,4:50.0,J. Bell enters the game for D. Green,,108,107
4,4:50.0,D. Cousins misses free throw 2 of 2,,108,107
4,4:48.0,,Defensive rebound by B. Simmons,108,107
4,4:35.0,,M. Scott misses 2-pt layup from 4 ft (block by J. Bell),108,107
4,4:34.0,Defensive rebound by Team,,108,107
