QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
1,5:34.0,J. Jackson makes 2-pt dunk from 4 ft (assist by M. Gasol),,14,16
1,5:18.0,,J. Tatum misses 3-pt jump shot from 26 ft,14,16
1,5:17.0,Defensive rebound by J. Holiday,,14,16
1,5:05.0,M. Gasol misses 2-pt layup from 2 ft,,14,16
1,5:03.0,,Defensive rebound by J. Tatum,14,16
1,4:55.0,,Offensive foul by G. Hayward (drawn by J. Holiday),14,16
1,4:55.0,,Turnover by G. Hayward (offensive foul),14,16
1,4:55.0,J. Green enters the game for J. Jackson,,14,16
1,4:39.0,J. Holiday misses 2-pt jump shot from 19 ft,,14,16
1,4:37.0,,Defensive rebound by M. Morris,14,16
1,4:24.0,,M. Morris misses 2-pt layup from 3 ft (block by J. Green),14,16
1,4:23.0,Defensive rebound by S. Mack,,14,16
1,4:18.0,O. Casspi makes 2-pt dunk from 2 ft (assist by S. Mack),,16,16
1,4:01.0,,J. Tatum misses 2-pt layup from 3 ft (block by O. Casspi),16,16
1,3:59.0,,Offensive rebound by K. Irving,16,16
1,3:53.0,,Turnover by J. Tatum (bad pass; steal by J. Holiday),16,16
1,3:39.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Holiday),,19,16
1,3:25.0,,G. Hayward misses 3-pt jump shot from 25 ft,19,16
1,3:24.0,Defensive rebound by M. Gasol,,19,16
1,3:18.0,O. Casspi makes 3-pt jump shot from 28 ft (assist by S. Mack),,22,16
1,3:15.0,,Boston full timeout,22,16
1,3:15.0,J. Carter enters the game for J. Holiday,,22,16
1,3:15.0,,A. Baynes enters the game for A. Horford,22,16
1,3:15.0,,J. Brown enters the game for M. Morris,22,16
1,3:15.0,,T. Rozier enters the game for J. Tatum,22,16
1,3:01.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by G. Hayward),22,18
1,2:42.0,Turnover by J. Green (step out of bounds),,22,18
1,2:42.0,J. Jackson enters the game for M. Gasol,,22,18
1,2:30.0,,K. Irving makes 2-pt jump shot from 10 ft (assist by G. Hayward),22,20
1,2:30.0,,Shooting foul by J. Jackson (drawn by K. Irving),22,20
1,2:30.0,,K. Irving makes free throw 1 of 1,22,21
1,2:15.0,S. Mack misses 2-pt jump shot from 11 ft,,22,21
1,2:13.0,,Defensive rebound by A. Baynes,22,21
1,2:06.0,Violation by Team (kicked ball),,22,21
1,1:57.0,,G. Hayward misses 3-pt jump shot from 25 ft,22,21
1,1:56.0,,Offensive rebound by A. Baynes,22,21
1,1:54.0,,A. Baynes misses 2-pt layup from 2 ft,22,21
1,1:53.0,,Offensive rebound by A. Baynes,22,21
1,1:53.0,,A. Baynes makes 2-pt layup from 2 ft,22,23
1,1:46.0,Shooting foul by J. Brown (drawn by J. Jackson),,22,23
1,1:46.0,J. Jackson makes free throw 1 of 2,,23,23
1,1:46.0,,M. Smart enters the game for K. Irving,23,23
1,1:46.0,J. Jackson makes free throw 2 of 2,,24,23
1,1:30.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),24,26
1,1:17.0,Turnover by S. Mack (bad pass; steal by M. Smart),,24,26
1,1:12.0,,Shooting foul by J. Jackson (drawn by J. Brown),24,26
1,1:12.0,,J. Brown makes free throw 1 of 2,24,27
1,1:12.0,M. Conley enters the game for J. Carter,,24,27
1,1:12.0,J. Noah enters the game for J. Jackson,,24,27
1,1:12.0,,J. Brown makes free throw 2 of 2,24,28
1,0:59.0,Turnover by J. Noah (lost ball; steal by G. Hayward),,24,28
1,0:54.0,,J. Brown misses 3-pt jump shot from 25 ft,24,28
1,0:53.0,,Offensive rebound by Team,24,28
1,0:53.0,Loose ball foul by J. Noah (drawn by A. Baynes),,24,28
1,0:53.0,,A. Baynes makes free throw 1 of 2,24,29
1,0:53.0,,A. Baynes makes free throw 2 of 2,24,30
1,0:46.0,S. Mack misses 2-pt layup from 3 ft (block by A. Baynes),,24,30
1,0:45.0,,Defensive rebound by M. Smart,24,30
1,0:42.0,,J. Brown makes 2-pt dunk from 1 ft (assist by T. Rozier),24,32
1,0:30.0,M. Conley misses 3-pt jump shot from 24 ft,,24,32
1,0:28.0,,Defensive rebound by A. Baynes,24,32
1,0:22.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Rozier),24,35
1,0:03.0,M. Conley misses 2-pt jump shot from 9 ft,,24,35
1,0:02.0,,Defensive rebound by A. Baynes,24,35
2,11:45.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),24,38
2,11:45.0,,Shooting foul by M. Conley (drawn by T. Rozier),24,38
2,11:45.0,,T. Rozier makes free throw 1 of 1,24,39
2,11:37.0,Personal foul by T. Rozier (drawn by S. Mack),,24,39
2,11:32.0,M. Conley makes 2-pt layup from 4 ft (assist by S. Mack),,26,39
2,11:17.0,,Personal foul by S. Mack (drawn by T. Rozier),26,39
2,11:08.0,,T. Rozier misses 2-pt jump shot from 7 ft,26,39
2,11:07.0,Defensive rebound by J. Noah,,26,39
2,10:58.0,O. Casspi misses 2-pt layup from 11 ft (block by M. Smart),,26,39
2,10:56.0,,Defensive rebound by J. Brown,26,39
2,10:44.0,,Turnover by T. Rozier (bad pass; steal by J. Noah),26,39
2,10:38.0,M. Conley misses 2-pt layup from 6 ft,,26,39
2,10:37.0,,Defensive rebound by M. Smart,26,39
2,10:28.0,,J. Brown misses 3-pt jump shot from 24 ft,26,39
2,10:27.0,Defensive rebound by J. Noah,,26,39
2,10:15.0,J. Green misses 2-pt jump shot from 20 ft,,26,39
2,10:13.0,,Defensive rebound by T. Rozier,26,39
2,10:00.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Rozier),26,42
2,9:44.0,S. Mack misses 2-pt jump shot from 13 ft,,26,42
2,9:43.0,Offensive rebound by J. Noah,,26,42
2,9:42.0,J. Noah misses 2-pt layup from 2 ft,,26,42
2,9:40.0,,Defensive rebound by M. Smart,26,42
2,9:30.0,,M. Smart misses 3-pt jump shot from 25 ft,26,42
2,9:29.0,Defensive rebound by O. Casspi,,26,42
2,9:19.0,O. Casspi makes 2-pt layup from 4 ft (assist by J. Noah),,28,42
2,8:53.0,,T. Rozier misses 3-pt jump shot from 25 ft,28,42
2,8:52.0,,Offensive rebound by A. Baynes,28,42
2,8:40.0,,Turnover by A. Baynes (lost ball; steal by J. Noah),28,42
2,8:36.0,S. Mack makes 2-pt layup from 5 ft (assist by J. Noah),,30,42
2,8:21.0,,G. Hayward makes 2-pt jump shot from 17 ft (assist by M. Smart),30,44
2,7:59.0,J. Green makes 3-pt jump shot from 27 ft (assist by S. Mack),,33,44
2,7:43.0,,Turnover by G. Hayward (lost ball; steal by J. Noah),33,44
2,7:38.0,S. Mack makes 2-pt layup from 4 ft,,35,44
2,7:38.0,Shooting foul by A. Baynes (drawn by S. Mack),,35,44
2,7:38.0,G. Temple enters the game for O. Casspi,,35,44
2,7:38.0,,J. Tatum enters the game for G. Hayward,35,44
2,7:38.0,S. Mack makes free throw 1 of 1,,36,44
2,7:34.0,,Boston full timeout,36,44
2,7:34.0,J. Holiday enters the game for S. Mack,,36,44
2,7:34.0,,A. Horford enters the game for A. Baynes,36,44
2,7:28.0,,Turnover by J. Brown (lost ball; steal by J. Green),36,44
2,7:09.0,G. Temple misses 3-pt jump shot from 24 ft,,36,44
2,7:04.0,Offensive rebound by G. Temple,,36,44
2,6:57.0,Personal foul by T. Rozier (drawn by J. Green),,36,44
2,6:51.0,Shooting foul by M. Smart (drawn by J. Green),,36,44
2,6:51.0,J. Green makes free throw 1 of 2,,37,44
2,6:51.0,J. Green makes free throw 2 of 2,,38,44
2,6:41.0,,Offensive foul by M. Smart (drawn by M. Conley),38,44
2,6:41.0,,Turnover by M. Smart (offensive foul),38,44
2,6:41.0,,K. Irving enters the game for M. Smart,38,44
2,6:19.0,J. Green misses 2-pt hook shot from 6 ft,,38,44
2,6:18.0,,Defensive rebound by J. Tatum,38,44
2,6:13.0,,Personal foul by M. Conley (drawn by K. Irving),38,44
2,6:13.0,M. Gasol enters the game for J. Green,,38,44
2,6:13.0,J. Jackson enters the game for J. Noah,,38,44
2,6:03.0,,Turnover by K. Irving (bad pass),38,44
2,5:45.0,Turnover by J. Jackson (out of bounds lost ball),,38,44
2,5:33.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by K. Irving),38,47
2,5:15.0,J. Jackson makes 2-pt hook shot from 7 ft (assist by M. Conley),,40,47
2,5:02.0,,K. Irving misses 2-pt layup from 5 ft,40,47
2,5:00.0,Defensive rebound by G. Temple,,40,47
2,4:53.0,Offensive foul by J. Jackson (drawn by J. Brown),,40,47
2,4:53.0,Turnover by J. Jackson (offensive foul),,40,47
2,4:53.0,J. Green enters the game for J. Jackson,,40,47
2,4:53.0,,M. Morris enters the game for T. Rozier,40,47
2,4:42.0,,Turnover by M. Morris (bad pass),40,47
2,4:27.0,M. Conley makes 3-pt jump shot from 27 ft (assist by M. Gasol),,43,47
2,4:14.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Irving),43,49
2,3:50.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,46,49
2,3:50.0,,G. Hayward enters the game for J. Brown,46,49
2,3:26.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),46,51
2,3:13.0,Personal foul by M. Morris (drawn by M. Conley),,46,51
2,3:13.0,M. Conley makes free throw 1 of 2,,47,51
2,3:13.0,M. Conley makes free throw 2 of 2,,48,51
2,2:59.0,,K. Irving misses 2-pt jump shot from 11 ft,48,51
2,2:57.0,Defensive rebound by J. Green,,48,51
2,2:45.0,M. Conley misses 3-pt jump shot from 25 ft,,48,51
2,2:44.0,,Defensive rebound by K. Irving,48,51
2,2:35.0,,Shooting foul by M. Gasol (drawn by K. Irving),48,51
2,2:35.0,Memphis full timeout,,48,51
2,2:35.0,,K. Irving makes free throw 1 of 2,48,52
2,2:35.0,,K. Irving misses free throw 2 of 2,48,52
2,2:35.0,Defensive rebound by J. Green,,48,52
2,2:12.0,J. Holiday misses 2-pt layup from 4 ft,,48,52
2,2:11.0,Offensive rebound by J. Green,,48,52
2,2:09.0,J. Green makes 2-pt layup from 3 ft,,50,52
2,1:50.0,,G. Hayward misses 2-pt layup from 4 ft (block by J. Green),50,52
2,1:50.0,Defensive rebound by M. Gasol,,50,52
2,1:40.0,J. Green makes 2-pt layup from 3 ft (assist by M. Gasol),,52,52
2,1:27.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),52,54
2,1:13.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Conley),,55,54
2,1:03.0,Violation by Team (kicked ball),,55,54
2,0:57.0,,M. Morris misses 3-pt jump shot from 25 ft,55,54
2,0:55.0,Defensive rebound by M. Gasol,,55,54
2,0:44.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Gasol),,58,54
2,0:36.0,,K. Irving makes 2-pt layup from 2 ft,58,56
2,0:30.0,Personal foul by K. Irving (drawn by J. Holiday),,58,56
2,0:30.0,J. Holiday makes free throw 1 of 2,,59,56
2,0:30.0,S. Mack enters the game for G. Temple,,59,56
2,0:30.0,J. Holiday makes free throw 2 of 2,,60,56
2,0:20.0,,K. Irving makes 2-pt layup from 2 ft,60,58
2,0:01.0,M. Conley makes 2-pt layup from 4 ft,,62,58
2,0:00.0,,M. Morris misses 3-pt jump shot from 62 ft,62,58
2,0:00.0,,Offensive rebound by Team,62,58
3,11:43.0,,K. Irving makes 2-pt layup from 4 ft (assist by J. Tatum),62,60
3,11:43.0,,Shooting foul by J. Holiday (drawn by K. Irving),62,60
3,11:43.0,,K. Irving misses free throw 1 of 1,62,60
3,11:43.0,Defensive rebound by G. Temple,,62,60
3,11:23.0,J. Jackson misses 2-pt hook shot from 6 ft,,62,60
3,11:20.0,,Defensive rebound by K. Irving,62,60
3,11:10.0,,M. Morris makes 2-pt layup from 2 ft (assist by M. Smart),62,62
3,10:55.0,M. Gasol misses 3-pt jump shot from 25 ft,,62,62
3,10:54.0,,Defensive rebound by J. Tatum,62,62
3,10:48.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),62,65
3,10:47.0,Memphis full timeout,,62,65
3,10:29.0,G. Temple misses 3-pt jump shot from 23 ft,,62,65
3,10:28.0,Offensive rebound by M. Gasol,,62,65
3,10:24.0,M. Conley makes 3-pt jump shot from 26 ft (assist by M. Gasol),,65,65
3,10:09.0,,K. Irving misses 2-pt jump shot from 9 ft (block by G. Temple),65,65
3,10:08.0,,Offensive rebound by J. Tatum,65,65
3,10:04.0,,M. Morris misses 3-pt jump shot from 23 ft,65,65
3,10:03.0,Defensive rebound by M. Gasol,,65,65
3,9:47.0,M. Conley makes 3-pt jump shot from 23 ft (assist by G. Temple),,68,65
3,9:29.0,,J. Tatum misses 2-pt jump shot from 10 ft,68,65
3,9:26.0,Defensive rebound by M. Gasol,,68,65
3,9:16.0,J. Jackson misses 3-pt jump shot from 22 ft,,68,65
3,9:15.0,,Defensive rebound by A. Horford,68,65
3,8:58.0,,J. Tatum misses 2-pt jump shot from 15 ft,68,65
3,8:56.0,,Offensive rebound by Team,68,65
3,8:41.0,,A. Horford makes 3-pt jump shot from 22 ft (assist by K. Irving),68,68
3,8:27.0,Shooting foul by K. Irving (drawn by M. Gasol),,68,68
3,8:27.0,M. Gasol makes free throw 1 of 2,,69,68
3,8:27.0,,A. Baynes enters the game for M. Morris,69,68
3,8:27.0,M. Gasol makes free throw 2 of 2,,70,68
3,8:14.0,,K. Irving makes 2-pt jump shot from 14 ft,70,70
3,8:14.0,,Shooting foul by G. Temple (drawn by K. Irving),70,70
3,8:14.0,,K. Irving makes free throw 1 of 1,70,71
3,7:52.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Holiday),,73,71
3,7:37.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Baynes),73,74
3,7:21.0,J. Jackson misses 2-pt hook shot from 8 ft,,73,74
3,7:20.0,,Defensive rebound by J. Tatum,73,74
3,7:11.0,,A. Baynes misses 3-pt jump shot from 27 ft,73,74
3,7:10.0,Defensive rebound by M. Gasol,,73,74
3,6:58.0,J. Holiday misses 3-pt jump shot from 24 ft,,73,74
3,6:57.0,,Defensive rebound by M. Smart,73,74
3,6:51.0,,Offensive foul by J. Tatum (drawn by M. Gasol),73,74
3,6:51.0,,Turnover by J. Tatum (offensive foul),73,74
3,6:51.0,S. Mack enters the game for M. Conley,,73,74
3,6:34.0,G. Temple makes 2-pt layup from 2 ft (assist by M. Gasol),,75,74
3,6:22.0,,K. Irving makes 2-pt jump shot from 14 ft,75,76
3,6:00.0,M. Gasol misses 2-pt jump shot from 7 ft,,75,76
3,5:59.0,,Defensive rebound by A. Baynes,75,76
3,5:52.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),75,79
3,5:27.0,S. Mack makes 3-pt jump shot from 26 ft (assist by M. Gasol),,78,79
3,5:10.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by K. Irving),78,82
3,4:45.0,J. Holiday makes 2-pt jump shot from 18 ft (assist by S. Mack),,80,82
3,4:19.0,,A. Horford makes 2-pt jump shot from 10 ft,80,84
3,3:57.0,J. Jackson misses 2-pt jump shot from 6 ft,,80,84
3,3:56.0,Offensive rebound by J. Jackson,,80,84
3,3:55.0,J. Jackson misses 2-pt jump shot from 7 ft (block by A. Baynes),,80,84
3,3:54.0,,Defensive rebound by K. Irving,80,84
3,3:50.0,,Turnover by K. Irving (lost ball; steal by J. Holiday),80,84
3,3:42.0,Turnover by J. Holiday (bad pass; steal by M. Smart),,80,84
3,3:39.0,,Personal foul by G. Temple (drawn by A. Baynes),80,84
3,3:39.0,O. Casspi enters the game for M. Gasol,,80,84
3,3:39.0,M. Conley enters the game for J. Holiday,,80,84
3,3:39.0,J. Noah enters the game for G. Temple,,80,84
3,3:39.0,,G. Hayward enters the game for A. Horford,80,84
3,3:39.0,,G. Yabusele enters the game for J. Tatum,80,84
3,3:27.0,,Personal foul by S. Mack (drawn by K. Irving),80,84
3,3:27.0,,Technical foul by K. Irving,80,84
3,3:27.0,Technical foul by S. Mack,,80,84
3,3:19.0,,M. Smart misses 3-pt jump shot from 26 ft,80,84
3,3:18.0,,Offensive rebound by G. Yabusele,80,84
3,3:08.0,,K. Irving misses 3-pt jump shot from 27 ft,80,84
3,3:07.0,,Offensive rebound by A. Baynes,80,84
3,3:07.0,,A. Baynes makes 2-pt layup from 2 ft,80,86
3,2:55.0,Shooting foul by A. Baynes (drawn by J. Noah),,80,86
3,2:55.0,,Boston full timeout,80,86
3,2:55.0,J. Noah makes free throw 1 of 2,,81,86
3,2:55.0,J. Green enters the game for J. Jackson,,81,86
3,2:55.0,,T. Rozier enters the game for M. Smart,81,86
3,2:55.0,J. Noah makes free throw 2 of 2,,82,86
3,2:34.0,,G. Hayward misses 2-pt jump shot from 22 ft,82,86
3,2:33.0,,Offensive rebound by A. Baynes,82,86
3,2:33.0,,A. Baynes misses 2-pt layup at rim,82,86
3,2:31.0,,Offensive rebound by A. Baynes,82,86
3,2:27.0,,T. Rozier misses 3-pt jump shot from 23 ft,82,86
3,2:25.0,Defensive rebound by S. Mack,,82,86
3,2:20.0,M. Conley makes 3-pt jump shot from 25 ft (assist by S. Mack),,85,86
3,2:13.0,,Personal foul by S. Mack (drawn by K. Irving),85,86
3,2:13.0,,K. Irving makes free throw 1 of 2,85,87
3,2:13.0,,J. Brown enters the game for G. Yabusele,85,87
3,2:13.0,,K. Irving makes free throw 2 of 2,85,88
3,1:57.0,O. Casspi misses 2-pt layup from 4 ft,,85,88
3,1:54.0,,Defensive rebound by K. Irving,85,88
3,1:50.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by K. Irving),85,91
3,1:50.0,,Loose ball foul by A. Baynes (drawn by J. Noah),85,91
3,1:28.0,S. Mack misses 3-pt jump shot from 26 ft,,85,91
3,1:26.0,Offensive rebound by J. Green,,85,91
3,1:22.0,S. Mack makes 2-pt jump shot from 6 ft (assist by J. Green),,87,91
3,1:12.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by T. Rozier),87,94
3,0:55.0,J. Noah misses 2-pt hook shot from 6 ft (block by A. Baynes),,87,94
3,0:54.0,,Defensive rebound by J. Brown,87,94
3,0:48.0,,K. Irving makes 2-pt layup from 3 ft (assist by J. Brown),87,96
3,0:38.0,M. Conley makes 2-pt jump shot from 9 ft,,89,96
3,0:30.0,,K. Irving misses 2-pt layup from 2 ft,89,96
3,0:28.0,Defensive rebound by J. Noah,,89,96
3,0:07.0,S. Mack makes 2-pt layup from 2 ft,,91,96
3,0:02.0,,T. Rozier misses 3-pt jump shot from 27 ft,91,96
3,0:01.0,Defensive rebound by J. Noah,,91,96
4,11:38.0,O. Casspi makes 2-pt jump shot from 6 ft (assist by M. Gasol),,93,96
4,11:18.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by G. Hayward),93,99
4,11:18.0,J. Holiday enters the game for M. Conley,,93,99
4,11:03.0,S. Mack misses 2-pt jump shot from 8 ft,,93,99
4,11:02.0,,Defensive rebound by J. Brown,93,99
4,11:01.0,,Turnover by J. Brown (lost ball; steal by O. Casspi),93,99
4,10:50.0,J. Holiday misses 2-pt layup from 5 ft,,93,99
4,10:49.0,,Defensive rebound by D. Theis,93,99
4,10:29.0,,Turnover by J. Brown (bad pass; steal by J. Holiday),93,99
4,10:25.0,Turnover by J. Holiday (bad pass; steal by M. Morris),,93,99
4,10:22.0,,T. Rozier misses 3-pt jump shot from 26 ft,93,99
4,10:21.0,,Offensive rebound by Team,93,99
4,10:21.0,Loose ball foul by O. Casspi (drawn by G. Hayward),,93,99
4,10:12.0,,Turnover by G. Hayward (bad pass; steal by O. Casspi),93,99
4,10:00.0,Personal foul by D. Theis (drawn by M. Gasol),,93,99
4,9:47.0,S. Mack misses 2-pt layup from 5 ft (block by J. Brown),,93,99
4,9:46.0,,Defensive rebound by G. Hayward,93,99
4,9:41.0,,G. Hayward misses 2-pt jump shot from 17 ft,93,99
4,9:40.0,Defensive rebound by M. Gasol,,93,99
4,9:38.0,Personal foul by D. Theis (drawn by M. Gasol),,93,99
4,9:38.0,Memphis full timeout,,93,99
4,9:38.0,,A. Baynes enters the game for D. Theis,93,99
4,9:25.0,M. Gasol misses 3-pt jump shot from 25 ft,,93,99
4,9:24.0,,Defensive rebound by J. Brown,93,99
4,9:06.0,,M. Morris misses 2-pt layup from 4 ft,93,99
4,9:05.0,,Offensive rebound by A. Baynes,93,99
4,9:05.0,,A. Baynes misses 2-pt dunk from 2 ft,93,99
4,9:04.0,Defensive rebound by O. Casspi,,93,99
4,8:57.0,S. Mack makes 3-pt jump shot from 24 ft (assist by O. Casspi),,96,99
4,8:39.0,,M. Morris makes 2-pt jump shot from 16 ft,96,101
4,8:12.0,O. Casspi makes 3-pt jump shot from 27 ft (assist by M. Gasol),,99,101
4,7:56.0,,G. Hayward makes 2-pt jump shot from 19 ft,99,103
4,7:42.0,M. Gasol misses 3-pt jump shot from 26 ft,,99,103
4,7:39.0,,Defensive rebound by G. Hayward,99,103
4,7:33.0,,Personal foul by M. Gasol (drawn by G. Hayward),99,103
4,7:33.0,J. Jackson enters the game for O. Casspi,,99,103
4,7:33.0,G. Temple enters the game for J. Green,,99,103
4,7:33.0,,K. Irving enters the game for T. Rozier,99,103
4,7:27.0,,M. Morris misses 2-pt jump shot from 22 ft,99,103
4,7:26.0,Defensive rebound by G. Temple,,99,103
4,7:03.0,M. Gasol misses 2-pt jump shot from 11 ft,,99,103
4,7:02.0,,Defensive rebound by M. Morris,99,103
4,6:56.0,,K. Irving misses 2-pt jump shot from 24 ft,99,103
4,6:55.0,Defensive rebound by S. Mack,,99,103
4,6:44.0,S. Mack misses 2-pt jump shot from 4 ft,,99,103
4,6:43.0,,Defensive rebound by A. Baynes,99,103
4,6:41.0,,Turnover by A. Baynes (lost ball; steal by S. Mack),99,103
4,6:39.0,J. Jackson makes 2-pt layup from 2 ft (assist by S. Mack),,101,103
4,6:39.0,Shooting foul by A. Baynes (drawn by J. Jackson),,101,103
4,6:39.0,M. Conley enters the game for S. Mack,,101,103
4,6:39.0,,A. Horford enters the game for A. Baynes,101,103
4,6:39.0,,M. Smart enters the game for G. Hayward,101,103
4,6:39.0,J. Jackson misses free throw 1 of 1,,101,103
4,6:39.0,,Defensive rebound by J. Brown,101,103
4,6:22.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by K. Irving),101,106
4,6:04.0,J. Holiday misses 3-pt jump shot from 25 ft,,101,106
4,6:03.0,,Defensive rebound by J. Brown,101,106
4,5:43.0,,J. Brown misses 2-pt jump shot from 12 ft,101,106
4,5:42.0,Defensive rebound by J. Holiday,,101,106
4,5:21.0,J. Jackson misses 2-pt hook shot from 5 ft (block by J. Brown),,101,106
4,5:20.0,,Defensive rebound by M. Morris,101,106
4,5:16.0,,Turnover by M. Smart (bad pass),101,106
4,4:53.0,M. Conley makes 2-pt jump shot from 6 ft (assist by M. Gasol),,103,106
4,4:53.0,Shooting foul by A. Horford (drawn by M. Conley),,103,106
4,4:53.0,,J. Tatum enters the game for J. Brown,103,106
4,4:53.0,M. Conley makes free throw 1 of 1,,104,106
4,4:48.0,,Boston full timeout,104,106
4,4:33.0,,K. Irving makes 2-pt jump shot from 13 ft,104,108
4,4:13.0,J. Jackson misses 2-pt layup from 4 ft (block by K. Irving),,104,108
4,4:12.0,Offensive rebound by Team,,104,108
4,4:12.0,,A. Baynes enters the game for M. Morris,104,108
