QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
3,5:39.0,,B. Simmons misses free throw 1 of 2,69,66
3,5:39.0,,Offensive rebound by Team,69,66
3,5:39.0,,J. Ennis enters the game for J. Butler,69,66
3,5:39.0,,M. Scott enters the game for J. Redick,69,66
3,5:39.0,,B. Simmons misses free throw 2 of 2,69,66
3,5:32.0,,Offensive rebound by A. Johnson,69,66
3,5:32.0,,A. Johnson misses 2-pt layup from 1 ft,69,66
3,5:31.0,Defensive rebound by T. Young,,69,66
3,5:21.0,D. Collison misses 2-pt jump shot from 22 ft,,69,66
3,5:18.0,,Defensive rebound by T. Harris,69,66
3,5:12.0,,T. Harris misses 2-pt layup from 3 ft,69,66
3,5:09.0,Defensive rebound by M. Turner,,69,66
3,5:05.0,W. Matthews misses 3-pt jump shot from 26 ft,,69,66
3,5:02.0,,Defensive rebound by T. Harris,69,66
3,4:55.0,,B. Simmons misses 2-pt jump shot from 8 ft,69,66
3,4:52.0,Defensive rebound by D. Collison,,69,66
3,4:39.0,M. Turner misses 3-pt jump shot from 26 ft,,69,66
3,4:37.0,,Defensive rebound by T. Harris,69,66
3,4:26.0,,T. Harris misses 2-pt layup from 3 ft (block by M. Turner),69,66
3,4:24.0,Defensive rebound by T. Young,,69,66
3,4:24.0,Personal take foul by M. Scott (drawn by B. Bogdanović),,69,66
3,4:07.0,T. Young misses 2-pt hook shot from 6 ft,,69,66
3,4:04.0,,Defensive rebound by A. Johnson,69,66
3,3:59.0,,T. Harris misses 3-pt jump shot from 25 ft,69,66
3,3:58.0,Defensive rebound by Team,,69,66
3,3:58.0,,Loose ball foul by J. Ennis (drawn by D. Collison),69,66
3,3:44.0,Turnover by B. Bogdanović (bad pass; steal by J. Ennis),,69,66
3,3:41.0,,Shooting foul by W. Matthews (drawn by J. Ennis),69,66
3,3:41.0,,J. Ennis makes free throw 1 of 2,69,67
3,3:41.0,C. Joseph enters the game for B. Bogdanović,,69,67
3,3:41.0,D. Sabonis enters the game for M. Turner,,69,67
3,3:41.0,,J. Ennis misses free throw 2 of 2,69,67
3,3:38.0,Defensive rebound by W. Matthews,,69,67
3,3:26.0,Shooting foul by A. Johnson (drawn by D. Collison),,69,67
3,3:26.0,D. Collison misses free throw 1 of 2,,69,67
3,3:26.0,Offensive rebound by Team,,69,67
3,3:26.0,D. Collison makes free throw 2 of 2,,70,67
3,3:16.0,,T. Harris makes 2-pt dunk at rim (assist by B. Simmons),70,69
3,2:55.0,D. Collison misses 2-pt layup from 3 ft,,70,69
3,2:53.0,,Defensive rebound by M. Scott,70,69
3,2:52.0,,Philadelphia full timeout,70,69
3,2:52.0,,J. Butler enters the game for J. Ennis,70,69
3,2:52.0,,J. Embiid enters the game for T. Harris,70,69
3,2:52.0,,J. Redick enters the game for A. Johnson,70,69
3,2:42.0,,J. Butler misses 2-pt jump shot from 6 ft,70,69
3,2:39.0,Defensive rebound by W. Matthews,,70,69
3,2:25.0,D. Sabonis misses 2-pt jump shot from 19 ft,,70,69
3,2:22.0,,Defensive rebound by J. Redick,70,69
3,2:05.0,,J. Embiid misses 2-pt jump shot from 9 ft,70,69
3,2:03.0,Defensive rebound by D. Sabonis,,70,69
3,1:41.0,Shooting foul by B. Simmons (drawn by D. Sabonis),,70,69
3,1:41.0,D. Sabonis misses free throw 1 of 2,,70,69
3,1:41.0,Offensive rebound by Team,,70,69
3,1:41.0,D. McDermott enters the game for D. Collison,,70,69
3,1:41.0,,T. McConnell enters the game for B. Simmons,70,69
3,1:41.0,D. Sabonis misses free throw 2 of 2,,70,69
3,1:38.0,,Defensive rebound by J. Embiid,70,69
3,1:23.0,,J. Embiid misses 2-pt layup from 3 ft,70,69
3,1:21.0,,Offensive rebound by Team,70,69
3,1:21.0,T. Leaf enters the game for T. Young,,70,69
3,1:09.0,,J. Embiid misses 2-pt jump shot from 5 ft (block by T. Leaf),70,69
3,1:06.0,Defensive rebound by C. Joseph,,70,69
3,0:58.0,T. Leaf misses 2-pt jump shot from 15 ft,,70,69
3,0:56.0,,Defensive rebound by J. Embiid,70,69
3,0:37.0,,Turnover by T. McConnell (step out of bounds),70,69
3,0:37.0,A. Holiday enters the game for W. Matthews,,70,69
3,0:31.0,C. Joseph misses 2-pt jump shot from 10 ft,,70,69
3,0:28.0,Offensive rebound by T. Leaf,,70,69
3,0:17.0,C. Joseph misses 2-pt jump shot from 7 ft,,70,69
3,0:16.0,,Defensive rebound by Team,70,69
3,0:16.0,Loose ball foul by C. Joseph (drawn by J. Embiid),,70,69
3,0:16.0,,J. Embiid makes free throw 1 of 2,70,70
3,0:16.0,B. Bogdanović enters the game for T. Leaf,,70,70
3,0:16.0,,J. Ennis enters the game for J. Redick,70,70
3,0:16.0,,J. Embiid misses free throw 2 of 2,70,70
3,0:16.0,,Offensive rebound by Team,70,70
3,0:16.0,Loose ball foul by C. Joseph (drawn by J. Ennis),,70,70
3,0:16.0,,J. Ennis makes free throw 1 of 2,70,71
3,0:16.0,,A. Johnson enters the game for J. Embiid,70,71
3,0:16.0,,J. Ennis makes free throw 2 of 2,70,72
3,0:03.0,B. Bogdanović misses 2-pt layup from 3 ft,,70,72
3,0:01.0,,Defensive rebound by J. Ennis,70,72
3,0:00.0,,T. McConnell misses 3-pt jump shot from 25 ft,70,72
3,0:00.0,,Offensive rebound by Team,70,72
4,11:40.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Butler),70,74
4,11:23.0,D. McDermott misses 2-pt jump shot from 19 ft,,70,74
4,11:23.0,Offensive rebound by Team,,70,74
4,11:23.0,,Loose ball foul by M. Scott (drawn by D. Sabonis),70,74
4,11:21.0,Turnover by D. McDermott (bad pass; steal by T. McConnell),,70,74
4,11:13.0,,Shooting foul by C. Joseph (drawn by J. Embiid),70,74
4,11:13.0,,J. Embiid makes free throw 1 of 2,70,75
4,11:13.0,,J. Embiid makes free throw 2 of 2,70,76
4,10:55.0,A. Holiday misses 2-pt layup from 3 ft,,70,76
4,10:50.0,Offensive rebound by D. Sabonis,,70,76
4,10:50.0,D. Sabonis misses 2-pt layup at rim (block by J. Butler),,70,76
4,10:48.0,,Defensive rebound by T. McConnell,70,76
4,10:47.0,,J. Butler makes 2-pt jump shot from 8 ft (assist by T. McConnell),70,78
4,10:47.0,Indiana full timeout,,70,78
4,10:47.0,D. Collison enters the game for B. Bogdanović,,70,78
4,10:47.0,T. Young enters the game for A. Holiday,,70,78
4,10:36.0,Personal foul by T. McConnell (drawn by C. Joseph),,70,78
4,10:26.0,C. Joseph misses 2-pt jump shot from 20 ft,,70,78
4,10:20.0,,Defensive rebound by M. Scott,70,78
4,10:08.0,,Shooting foul by T. Young (drawn by J. Butler),70,78
