QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
1,7:48.0,,L. Ball misses 3-pt jump shot from 25 ft,7,4
1,7:44.0,Defensive rebound by S. Gilgeous-Alexander,,7,4
1,7:42.0,Personal foul by I. Zubac (drawn by B. Marjanović),,7,4
1,7:42.0,,T. Chandler enters the game for I. Zubac,7,4
1,7:27.0,B. Marjanović makes 2-pt hook shot from 8 ft (assist by A. Bradley),,9,4
1,7:13.0,,J. Hart misses 2-pt jump shot from 13 ft,9,4
1,7:10.0,Defensive rebound by T. Harris,,9,4
1,7:01.0,B. Marjanović misses 2-pt layup from 3 ft,,9,4
1,6:59.0,,Defensive rebound by T. Chandler,9,4
1,6:57.0,,Shooting foul by S. Gilgeous-Alexander (drawn by B. Ingram),9,4
1,6:57.0,,LA Lakers full timeout,9,4
1,6:57.0,P. Beverley enters the game for S. Gilgeous-Alexander,,9,4
1,6:57.0,M. Harrell enters the game for B. Marjanović,,9,4
1,6:57.0,,B. Ingram makes free throw 1 of 2,9,5
1,6:57.0,,B. Ingram misses free throw 2 of 2,9,5
1,6:55.0,Defensive rebound by D. Gallinari,,9,5
1,6:43.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by D. Gallinari),,11,5
1,6:32.0,,Personal foul by A. Bradley (drawn by B. Ingram),11,5
1,6:21.0,,L. Ball makes 2-pt layup from 1 ft,11,7
1,6:11.0,,Violation by Team (kicked ball),11,7
1,6:04.0,M. Harrell misses 2-pt hook shot from 8 ft,,11,7
1,6:02.0,,Defensive rebound by B. Ingram,11,7
1,5:51.0,,Shooting foul by A. Bradley (drawn by B. Ingram),11,7
1,5:51.0,,B. Ingram makes free throw 1 of 2,11,8
1,5:51.0,L. Williams enters the game for A. Bradley,,11,8
1,5:51.0,,B. Ingram misses free throw 2 of 2,11,8
1,5:49.0,Defensive rebound by T. Harris,,11,8
1,5:38.0,Turnover by L. Williams (bad pass; steal by J. Hart),,11,8
1,5:33.0,,L. Ball misses 3-pt jump shot from 25 ft,11,8
1,5:31.0,Defensive rebound by P. Beverley,,11,8
1,5:24.0,T. Harris misses 2-pt jump shot from 8 ft,,11,8
1,5:22.0,,Defensive rebound by B. Ingram,11,8
1,5:12.0,,B. Ingram misses 2-pt jump shot from 14 ft,11,8
1,5:09.0,Defensive rebound by L. Williams,,11,8
1,5:05.0,Personal foul by L. Ball (drawn by D. Gallinari),,11,8
1,4:55.0,Shooting foul by K. Kuzma (drawn by D. Gallinari),,11,8
1,4:55.0,D. Gallinari makes free throw 1 of 2,,12,8
1,4:55.0,D. Gallinari misses free throw 2 of 2,,12,8
1,4:53.0,,Defensive rebound by K. Kuzma,12,8
1,4:40.0,,Personal foul by M. Harrell (drawn by T. Chandler),12,8
1,4:40.0,,T. Chandler misses free throw 1 of 2,12,8
1,4:40.0,,Offensive rebound by Team,12,8
1,4:40.0,,K. Caldwell-Pope enters the game for L. Ball,12,8
1,4:40.0,,T. Chandler misses free throw 2 of 2,12,8
1,4:38.0,Defensive rebound by T. Harris,,12,8
1,4:24.0,L. Williams misses 2-pt jump shot from 19 ft,,12,8
1,4:21.0,Offensive rebound by P. Beverley,,12,8
1,4:12.0,M. Harrell makes 2-pt layup from 1 ft,,14,8
1,3:56.0,,K. Kuzma makes 2-pt jump shot from 6 ft (assist by T. Chandler),14,10
1,3:46.0,Personal foul by B. Ingram (drawn by D. Gallinari),,14,10
1,3:46.0,D. Gallinari makes free throw 1 of 2,,15,10
1,3:46.0,,L. Stephenson enters the game for K. Kuzma,15,10
1,3:46.0,D. Gallinari makes free throw 2 of 2,,16,10
1,3:36.0,,B. Ingram makes 2-pt dunk at rim,16,12
1,3:20.0,D. Gallinari misses 2-pt layup from 4 ft (block by T. Chandler),,16,12
1,3:20.0,Offensive rebound by Team,,16,12
1,3:20.0,LA Clippers full timeout,,16,12
1,3:20.0,M. Scott enters the game for D. Gallinari,,16,12
1,3:18.0,M. Scott misses 2-pt jump shot from 15 ft,,16,12
1,3:15.0,,Defensive rebound by T. Chandler,16,12
1,3:02.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by T. Chandler),16,14
1,2:52.0,P. Beverley makes 3-pt jump shot from 26 ft,,19,14
1,2:39.0,,Shooting foul by P. Beverley (drawn by B. Ingram),19,14
1,2:39.0,,B. Ingram makes free throw 1 of 2,19,15
1,2:39.0,,B. Ingram misses free throw 2 of 2,19,15
1,2:37.0,Defensive rebound by T. Harris,,19,15
1,2:37.0,Personal foul by L. Stephenson (drawn by P. Beverley),,19,15
1,2:37.0,P. Beverley makes free throw 1 of 2,,20,15
1,2:37.0,P. Beverley misses free throw 2 of 2,,20,15
1,2:35.0,,Defensive rebound by T. Chandler,20,15
1,2:26.0,,B. Ingram misses 2-pt layup from 2 ft,20,15
1,2:24.0,Defensive rebound by M. Scott,,20,15
1,2:09.0,M. Scott misses 2-pt hook shot from 7 ft,,20,15
1,2:09.0,Offensive rebound by Team,,20,15
1,1:58.0,M. Scott misses 2-pt jump shot from 16 ft,,20,15
1,1:55.0,,Defensive rebound by T. Chandler,20,15
1,1:44.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by J. Hart),20,18
1,1:33.0,Shooting foul by B. Ingram (drawn by L. Williams),,20,18
1,1:33.0,L. Williams makes free throw 1 of 2,,21,18
1,1:33.0,T. Wallace enters the game for T. Harris,,21,18
1,1:33.0,,L. Ball enters the game for B. Ingram,21,18
1,1:33.0,L. Williams makes free throw 2 of 2,,22,18
1,1:24.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,22,18
1,1:20.0,,Offensive rebound by T. Chandler,22,18
1,1:17.0,,L. Stephenson misses 2-pt jump shot from 18 ft,22,18
1,1:13.0,Defensive rebound by L. Williams,,22,18
1,1:04.0,L. Williams makes 2-pt layup from 1 ft,,24,18
1,0:56.0,,Shooting foul by M. Scott (drawn by K. Caldwell-Pope),24,18
1,0:56.0,,K. Caldwell-Pope makes free throw 1 of 2,24,19
1,0:56.0,,K. Caldwell-Pope makes free throw 2 of 2,24,20
1,0:47.0,L. Williams misses 2-pt jump shot from 18 ft,,24,20
1,0:45.0,,Defensive rebound by J. Hart,24,20
1,0:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,24,20
1,0:38.0,Defensive rebound by M. Harrell,,24,20
1,0:28.0,T. Wallace makes 2-pt layup from 1 ft (assist by M. Scott),,26,20
1,0:06.0,,L. Stephenson makes 3-pt jump shot from 28 ft,26,23
1,0:01.0,P. Beverley misses 2-pt layup from 3 ft,,26,23
1,0:01.0,Offensive rebound by M. Harrell,,26,23
1,0:01.0,M. Harrell makes 2-pt layup at rim,,28,23
2,11:48.0,,K. Kuzma misses 3-pt jump shot from 25 ft,28,23
2,11:43.0,Defensive rebound by L. Williams,,28,23
2,11:38.0,L. Williams misses 2-pt jump shot from 16 ft,,28,23
2,11:36.0,,Defensive rebound by L. Stephenson,28,23
2,11:33.0,,Turnover by L. Stephenson (bad pass),28,23
2,11:23.0,Def 3 sec tech foul by Team,,28,23
2,11:23.0,L. Williams makes technical free throw,,29,23
2,11:15.0,T. Wallace makes 2-pt jump shot from 11 ft (assist by M. Scott),,31,23
2,11:03.0,,Shooting foul by T. Wallace (drawn by L. Ball),31,23
2,11:03.0,,L. Ball makes free throw 1 of 2,31,24
2,11:03.0,,L. Ball makes free throw 2 of 2,31,25
2,10:56.0,Offensive foul by M. Harrell (drawn by K. Caldwell-Pope),,31,25
2,10:56.0,Turnover by M. Harrell (offensive foul),,31,25
2,10:49.0,,Shooting foul by M. Harrell (drawn by I. Zubac),31,25
2,10:49.0,,I. Zubac makes free throw 1 of 2,31,26
2,10:49.0,D. Gallinari enters the game for M. Harrell,,31,26
2,10:49.0,,I. Zubac makes free throw 2 of 2,31,27
2,10:37.0,D. Gallinari makes 2-pt jump shot from 18 ft (assist by T. Wallace),,33,27
2,10:18.0,,K. Kuzma makes 2-pt jump shot from 12 ft (assist by L. Ball),33,29
2,9:59.0,D. Gallinari makes 2-pt dunk at rim,,35,29
2,9:48.0,,I. Zubac makes 2-pt layup from 1 ft (assist by L. Stephenson),35,31
2,9:48.0,,Shooting foul by M. Scott (drawn by I. Zubac),35,31
2,9:48.0,,I. Zubac makes free throw 1 of 1,35,32
2,9:28.0,Shooting foul by L. Stephenson (drawn by D. Gallinari),,35,32
2,9:28.0,D. Gallinari makes free throw 1 of 2,,36,32
2,9:28.0,D. Gallinari makes free throw 2 of 2,,37,32
2,9:10.0,,Shooting foul by M. Scott (drawn by I. Zubac),37,32
2,9:10.0,,I. Zubac makes free throw 1 of 2,37,33
2,9:10.0,,I. Zubac makes free throw 2 of 2,37,34
2,8:58.0,P. Beverley misses 3-pt jump shot from 26 ft,,37,34
2,8:54.0,,Defensive rebound by K. Caldwell-Pope,37,34
2,8:52.0,,L. Ball misses 2-pt layup from 2 ft,37,34
2,8:49.0,Defensive rebound by M. Scott,,37,34
2,8:37.0,D. Gallinari misses 2-pt layup from 1 ft,,37,34
2,8:36.0,,Defensive rebound by K. Caldwell-Pope,37,34
2,8:31.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),37,36
2,8:22.0,L. Williams makes 2-pt layup from 2 ft,,39,36
2,8:22.0,Shooting foul by K. Kuzma (drawn by L. Williams),,39,36
2,8:22.0,S. Gilgeous-Alexander enters the game for M. Scott,,39,36
2,8:22.0,B. Marjanović enters the game for T. Wallace,,39,36
2,8:22.0,L. Williams makes free throw 1 of 1,,40,36
2,7:58.0,,I. Zubac misses 2-pt hook shot from 3 ft (block by B. Marjanović),40,36
2,7:55.0,Defensive rebound by L. Williams,,40,36
2,7:49.0,D. Gallinari misses 3-pt jump shot from 26 ft,,40,36
2,7:44.0,,Defensive rebound by K. Kuzma,40,36
2,7:44.0,T. Harris enters the game for P. Beverley,,40,36
2,7:32.0,,Turnover by K. Kuzma (lost ball; steal by D. Gallinari),40,36
2,7:23.0,L. Williams makes 2-pt jump shot from 21 ft,,42,36
2,7:06.0,,L. Stephenson misses 2-pt jump shot from 15 ft,42,36
2,7:04.0,Defensive rebound by D. Gallinari,,42,36
2,6:53.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,42,36
2,6:48.0,,Defensive rebound by K. Kuzma,42,36
2,6:45.0,,K. Kuzma makes 2-pt layup from 3 ft,42,38
2,6:29.0,B. Marjanović makes 2-pt layup from 1 ft (assist by L. Williams),,44,38
2,6:28.0,,LA Lakers full timeout,44,38
2,6:28.0,A. Bradley enters the game for L. Williams,,44,38
2,6:28.0,,T. Chandler enters the game for L. Stephenson,44,38
2,6:28.0,,B. Ingram enters the game for I. Zubac,44,38
2,6:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,44,38
2,6:11.0,Defensive rebound by D. Gallinari,,44,38
2,6:11.0,,J. Hart enters the game for K. Caldwell-Pope,44,38
2,6:01.0,T. Harris misses 2-pt jump shot from 14 ft,,44,38
2,5:58.0,,Defensive rebound by K. Kuzma,44,38
2,5:53.0,,B. Ingram misses 2-pt layup from 2 ft,44,38
2,5:49.0,Defensive rebound by B. Marjanović,,44,38
2,5:29.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,,44,38
2,5:27.0,,Defensive rebound by T. Chandler,44,38
2,5:16.0,,Personal foul by S. Gilgeous-Alexander (drawn by K. Kuzma),44,38
2,5:16.0,,K. Kuzma makes free throw 1 of 2,44,39
2,5:16.0,P. Beverley enters the game for S. Gilgeous-Alexander,,44,39
2,5:16.0,,K. Kuzma makes free throw 2 of 2,44,40
2,5:03.0,T. Harris misses 2-pt jump shot from 6 ft,,44,40
2,5:01.0,,Defensive rebound by T. Chandler,44,40
2,4:45.0,,L. Ball misses 3-pt jump shot from 26 ft,44,40
2,4:41.0,Defensive rebound by T. Harris,,44,40
2,4:25.0,D. Gallinari misses 2-pt layup from 5 ft,,44,40
2,4:24.0,,Defensive rebound by K. Kuzma,44,40
2,4:18.0,,Turnover by K. Kuzma (lost ball; steal by T. Harris),44,40
2,4:14.0,A. Bradley misses 3-pt jump shot from 23 ft,,44,40
2,4:11.0,,Defensive rebound by K. Kuzma,44,40
2,4:11.0,,Personal take foul by B. Marjanović (drawn by K. Kuzma),44,40
2,4:11.0,LA Clippers full timeout,,44,40
2,4:11.0,,K. Kuzma makes free throw 1 of 2,44,41
2,4:11.0,,K. Kuzma makes free throw 2 of 2,44,42
2,3:47.0,Turnover by Team (shot clock),,44,42
2,3:36.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by T. Chandler),44,45
2,3:15.0,Turnover by B. Marjanović (bad pass; steal by J. Hart),,44,45
2,3:11.0,,K. Kuzma misses 3-pt jump shot from 23 ft,44,45
2,3:06.0,Defensive rebound by T. Harris,,44,45
2,2:59.0,Turnover by P. Beverley (bad pass; steal by L. Ball),,44,45
2,2:55.0,,L. Ball misses 2-pt layup from 3 ft,44,45
2,2:53.0,Defensive rebound by D. Gallinari,,44,45
2,2:49.0,A. Bradley misses 3-pt jump shot from 25 ft,,44,45
2,2:46.0,,Defensive rebound by T. Chandler,44,45
2,2:29.0,,K. Kuzma misses 2-pt jump shot from 16 ft,44,45
2,2:26.0,Defensive rebound by T. Harris,,44,45
2,2:23.0,Offensive foul by B. Marjanović (drawn by J. Hart),,44,45
2,2:23.0,Turnover by B. Marjanović (offensive foul),,44,45
2,2:23.0,M. Scott enters the game for P. Beverley,,44,45
2,2:23.0,L. Williams enters the game for B. Marjanović,,44,45
2,2:06.0,,B. Ingram makes 2-pt jump shot from 13 ft (assist by K. Kuzma),44,47
2,1:47.0,D. Gallinari makes 2-pt jump shot from 20 ft,,46,47
2,1:36.0,,B. Ingram misses 2-pt jump shot from 17 ft,46,47
2,1:33.0,Defensive rebound by D. Gallinari,,46,47
2,1:25.0,D. Gallinari makes 2-pt jump shot from 4 ft,,48,47
2,1:07.0,,T. Chandler makes 2-pt dunk at rim (assist by K. Kuzma),48,49
2,0:50.0,D. Gallinari misses 2-pt jump shot from 19 ft,,48,49
2,0:47.0,,Defensive rebound by T. Chandler,48,49
2,0:37.0,,T. Chandler makes 2-pt dunk at rim (assist by L. Ball),48,51
2,0:27.0,M. Scott misses 3-pt jump shot from 26 ft,,48,51
2,0:23.0,,Defensive rebound by B. Ingram,48,51
2,0:03.0,,L. Ball makes 3-pt jump shot from 30 ft,48,54
2,0:00.0,L. Williams makes 3-pt jump shot from 34 ft,,51,54
3,11:42.0,,B. Ingram misses 2-pt jump shot from 11 ft,51,54
3,11:36.0,Defensive rebound by T. Harris,,51,54
3,11:21.0,B. Marjanović misses 2-pt hook shot from 6 ft,,51,54
3,11:19.0,,Defensive rebound by J. Hart,51,54
3,11:05.0,,J. Hart misses 2-pt jump shot from 19 ft,51,54
3,11:01.0,,Offensive rebound by L. Ball,51,54
3,10:56.0,,L. Ball makes 2-pt jump shot from 8 ft,51,56
3,10:46.0,Turnover by B. Marjanović (bad pass),,51,56
3,10:30.0,,L. Ball misses 2-pt jump shot from 17 ft,51,56
3,10:26.0,Defensive rebound by D. Gallinari,,51,56
3,10:16.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,,51,56
3,10:12.0,,Defensive rebound by J. Hart,51,56
3,10:06.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by J. Hart),51,59
3,10:06.0,LA Clippers full timeout,,51,59
3,10:06.0,M. Gortat enters the game for B. Marjanović,,51,59
3,9:48.0,Personal foul by B. Ingram (drawn by M. Gortat),,51,59
3,9:45.0,Offensive foul by M. Gortat (drawn by J. Hart),,51,59
3,9:45.0,Turnover by M. Gortat (offensive foul),,51,59
3,9:33.0,,Turnover by K. Kuzma (lost ball; steal by M. Gortat),51,59
3,9:31.0,Turnover by M. Gortat (bad pass; steal by J. Hart),,51,59
3,9:26.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by J. Hart),51,61
3,9:10.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by M. Gortat),,54,61
3,8:57.0,,J. Hart makes 2-pt dunk from 1 ft (assist by I. Zubac),54,63
3,8:43.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by M. Gortat),,56,63
3,8:32.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by I. Zubac),56,66
3,8:13.0,M. Gortat makes 2-pt jump shot from 3 ft (assist by D. Gallinari),,58,66
3,8:03.0,,Offensive foul by B. Ingram (drawn by S. Gilgeous-Alexander),58,66
3,8:03.0,,Turnover by B. Ingram (offensive foul),58,66
3,8:03.0,,K. Caldwell-Pope enters the game for B. Ingram,58,66
3,7:55.0,S. Gilgeous-Alexander misses 2-pt layup from 4 ft (block by I. Zubac),,58,66
3,7:51.0,,Defensive rebound by L. Ball,58,66
3,7:49.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by D. Gallinari),58,66
3,7:49.0,,Offensive rebound by Team,58,66
3,7:47.0,,K. Kuzma misses 3-pt jump shot from 24 ft,58,66
3,7:44.0,Defensive rebound by M. Gortat,,58,66
3,7:38.0,D. Gallinari misses 3-pt jump shot from 27 ft,,58,66
3,7:35.0,,Defensive rebound by L. Ball,58,66
3,7:30.0,,J. Hart makes 2-pt layup from 1 ft (assist by L. Ball),58,68
3,7:18.0,Shooting foul by L. Ball (drawn by S. Gilgeous-Alexander),,58,68
3,7:18.0,S. Gilgeous-Alexander makes free throw 1 of 2,,59,68
3,7:18.0,S. Gilgeous-Alexander makes free throw 2 of 2,,60,68
3,7:11.0,,Personal foul by A. Bradley (drawn by L. Ball),60,68
3,7:02.0,,J. Hart makes 2-pt jump shot from 15 ft (assist by I. Zubac),60,70
3,6:51.0,T. Harris misses 3-pt jump shot from 25 ft,,60,70
3,6:46.0,,Defensive rebound by K. Kuzma,60,70
3,6:40.0,,Turnover by I. Zubac (off goaltending),60,70
3,6:30.0,A. Bradley makes 2-pt layup from 1 ft (assist by M. Gortat),,62,70
3,6:15.0,,K. Kuzma misses 2-pt layup from 4 ft (block by M. Gortat),62,70
3,6:15.0,,Offensive rebound by Team,62,70
3,6:08.0,,Turnover by K. Caldwell-Pope (lost ball; steal by S. Gilgeous-Alexander),62,70
3,6:07.0,Turnover by T. Harris (bad pass),,62,70
3,5:56.0,,Turnover by L. Ball (out of bounds lost ball),62,70
3,5:44.0,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft (assist by M. Gortat),,64,70
3,5:42.0,,LA Lakers full timeout,64,70
3,5:27.0,,J. Hart misses 2-pt jump shot from 18 ft,64,70
3,5:23.0,Defensive rebound by D. Gallinari,,64,70
3,5:10.0,S. Gilgeous-Alexander misses 2-pt jump shot from 4 ft,,64,70
3,5:08.0,,Defensive rebound by K. Caldwell-Pope,64,70
3,5:01.0,,L. Ball misses 3-pt jump shot from 27 ft,64,70
3,4:58.0,Defensive rebound by A. Bradley,,64,70
3,4:58.0,P. Beverley enters the game for D. Gallinari,,64,70
3,4:58.0,L. Williams enters the game for S. Gilgeous-Alexander,,64,70
3,4:58.0,,T. Chandler enters the game for I. Zubac,64,70
3,4:39.0,L. Williams makes 3-pt jump shot from 27 ft,,67,70
3,4:20.0,,K. Kuzma misses 3-pt jump shot from 25 ft,67,70
3,4:17.0,Defensive rebound by M. Gortat,,67,70
3,4:09.0,A. Bradley misses 2-pt jump shot from 5 ft,,67,70
3,4:08.0,Offensive rebound by M. Gortat,,67,70
3,4:06.0,M. Gortat misses 2-pt hook shot from 10 ft,,67,70
3,4:06.0,,Defensive rebound by K. Kuzma,67,70
3,3:49.0,,T. Chandler misses 2-pt layup from 2 ft,67,70
3,3:45.0,,Offensive rebound by T. Chandler,67,70
3,3:44.0,,T. Chandler misses 2-pt layup from 2 ft,67,70
3,3:41.0,,Offensive rebound by L. Ball,67,70
3,3:41.0,,L. Ball makes 2-pt layup at rim,67,72
3,3:33.0,L. Williams makes 2-pt jump shot from 19 ft (assist by M. Gortat),,69,72
3,3:16.0,,Shooting foul by T. Harris (drawn by K. Kuzma),69,72
3,3:16.0,,K. Kuzma makes free throw 1 of 2,69,73
3,3:16.0,,K. Kuzma makes free throw 2 of 2,69,74
3,3:11.0,Shooting foul by L. Ball (drawn by L. Williams),,69,74
3,3:11.0,L. Williams makes free throw 1 of 2,,70,74
3,3:11.0,L. Williams makes free throw 2 of 2,,71,74
3,2:57.0,,K. Kuzma makes 2-pt jump shot from 17 ft,71,76
3,2:46.0,L. Williams misses 2-pt jump shot from 18 ft,,71,76
3,2:44.0,,Defensive rebound by T. Chandler,71,76
3,2:35.0,,Shooting foul by M. Gortat (drawn by T. Chandler),71,76
3,2:35.0,,T. Chandler misses free throw 1 of 2,71,76
3,2:35.0,,Offensive rebound by Team,71,76
3,2:35.0,M. Harrell enters the game for M. Gortat,,71,76
3,2:35.0,S. Thornwell enters the game for T. Harris,,71,76
3,2:35.0,,L. Stephenson enters the game for J. Hart,71,76
3,2:35.0,,T. Chandler makes free throw 2 of 2,71,77
3,2:26.0,L. Williams makes 2-pt layup from 1 ft,,73,77
3,2:13.0,,L. Stephenson makes 3-pt jump shot from 27 ft (assist by K. Kuzma),73,80
3,1:59.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,75,80
3,1:40.0,,Turnover by K. Kuzma (bad pass; steal by M. Harrell),75,80
3,1:36.0,S. Thornwell makes 2-pt layup from 4 ft (assist by P. Beverley),,77,80
3,1:36.0,Shooting foul by L. Ball (drawn by S. Thornwell),,77,80
3,1:36.0,S. Thornwell makes free throw 1 of 1,,78,80
3,1:26.0,,Turnover by L. Ball (bad pass),78,80
3,1:26.0,,A. Caruso enters the game for L. Ball,78,80
3,1:21.0,Personal foul by A. Caruso (drawn by P. Beverley),,78,80
3,1:21.0,P. Beverley makes free throw 1 of 2,,79,80
3,1:21.0,P. Beverley makes free throw 2 of 2,,80,80
3,1:21.0,T. Wallace enters the game for A. Bradley,,80,80
3,1:07.0,,K. Kuzma misses 2-pt jump shot from 9 ft,80,80
3,1:06.0,Defensive rebound by P. Beverley,,80,80
3,1:06.0,Personal foul by T. Chandler (drawn by P. Beverley),,80,80
3,1:06.0,P. Beverley makes free throw 1 of 2,,81,80
3,1:06.0,P. Beverley makes free throw 2 of 2,,82,80
3,0:48.0,,Turnover by L. Stephenson (bad pass; steal by M. Harrell),82,80
3,0:26.0,L. Williams misses 2-pt jump shot from 22 ft,,82,80
3,0:23.0,,Defensive rebound by T. Chandler,82,80
3,0:06.0,,Personal foul by S. Thornwell (drawn by K. Kuzma),82,80
3,0:06.0,A. Bradley enters the game for L. Williams,,82,80
3,0:02.0,,K. Kuzma misses 2-pt jump shot from 13 ft,82,80
3,0:00.0,Defensive rebound by A. Bradley,,82,80
3,0:00.0,A. Bradley misses 3-pt jump shot from 45 ft,,82,80
3,0:00.0,Offensive rebound by Team,,82,80
4,11:49.0,L. Williams makes 2-pt jump shot from 8 ft,,84,80
4,11:34.0,,Personal foul by S. Thornwell (drawn by J. Hart),84,80
4,11:24.0,,B. Ingram misses 2-pt layup from 5 ft,84,80
4,11:24.0,,Offensive rebound by Team,84,80
4,11:24.0,Loose ball foul by S. Thornwell (drawn by I. Zubac),,84,80
4,11:22.0,,Turnover by L. Stephenson (bad pass; steal by T. Wallace),84,80
4,11:16.0,T. Wallace makes 2-pt hook shot from 10 ft (assist by P. Beverley),,86,80
4,11:15.0,,LA Lakers full timeout,86,80
4,11:15.0,,L. Ball enters the game for L. Stephenson,86,80
4,11:06.0,,Personal foul by P. Beverley (drawn by L. Ball),86,80
4,10:56.0,,I. Zubac misses 2-pt hook shot from 9 ft,86,80
4,10:52.0,Defensive rebound by L. Williams,,86,80
4,10:47.0,L. Williams makes 2-pt layup from 2 ft,,88,80
4,10:41.0,,Offensive foul by I. Zubac (drawn by P. Beverley),88,80
4,10:41.0,,Turnover by I. Zubac (offensive foul),88,80
4,10:34.0,Shooting foul by J. Hart (drawn by L. Williams),,88,80
4,10:34.0,L. Williams makes free throw 1 of 3,,89,80
4,10:34.0,L. Williams makes free throw 2 of 3,,90,80
4,10:34.0,L. Williams makes free throw 3 of 3,,91,80
4,10:25.0,,J. Hart misses 3-pt jump shot from 25 ft,91,80
4,10:21.0,Defensive rebound by T. Wallace,,91,80
4,10:06.0,M. Harrell makes 2-pt hook shot from 9 ft,,93,80
4,9:48.0,,Turnover by J. Hart (lost ball; steal by T. Wallace),93,80
4,9:45.0,Shooting foul by K. Caldwell-Pope (drawn by S. Thornwell),,93,80
4,9:45.0,S. Thornwell makes free throw 1 of 2,,94,80
4,9:45.0,,LA Lakers full timeout,94,80
4,9:45.0,,T. Chandler enters the game for K. Caldwell-Pope,94,80
