QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
1,5:03.0,,Personal foul by Á. Abrines (drawn by D. Finney-Smith),16,11
1,5:03.0,,D. Finney-Smith makes free throw 1 of 2,16,12
1,5:03.0,,D. Finney-Smith misses free throw 2 of 2,16,12
1,5:00.0,,Offensive rebound by M. Kleber,16,12
1,4:48.0,,M. Kleber misses 3-pt jump shot from 24 ft,16,12
1,4:46.0,Defensive rebound by P. George,,16,12
1,4:34.0,S. Adams misses 2-pt layup from 1 ft (block by M. Kleber),,16,12
1,4:31.0,Offensive rebound by S. Adams,,16,12
1,4:31.0,S. Adams makes 2-pt layup at rim,,18,12
1,4:23.0,,J. Barea makes 2-pt jump shot from 14 ft,18,14
1,4:08.0,Á. Abrines misses 3-pt jump shot from 26 ft,,18,14
1,4:05.0,,Defensive rebound by D. Jordan,18,14
1,3:57.0,,M. Kleber misses 3-pt jump shot from 23 ft,18,14
1,3:54.0,Defensive rebound by P. George,,18,14
1,3:42.0,Personal foul by J. Barea (drawn by D. Schröder),,18,14
1,3:42.0,,D. Powell enters the game for D. Jordan,18,14
1,3:35.0,D. Schröder misses 2-pt jump shot from 17 ft,,18,14
1,3:32.0,,Defensive rebound by D. Finney-Smith,18,14
1,3:21.0,,J. Barea makes 3-pt jump shot from 23 ft (assist by M. Kleber),18,17
1,3:10.0,Á. Abrines misses 2-pt layup from 5 ft (block by M. Kleber),,18,17
1,3:08.0,,Defensive rebound by J. Barea,18,17
1,2:51.0,,L. Dončić misses 2-pt layup from 2 ft,18,17
1,2:49.0,Defensive rebound by P. Patterson,,18,17
1,2:44.0,S. Adams misses 2-pt dunk from 2 ft (block by M. Kleber),,18,17
1,2:42.0,,Defensive rebound by J. Barea,18,17
1,2:31.0,,Offensive foul by D. Powell (drawn by P. George),18,17
1,2:31.0,,Turnover by D. Powell (offensive foul),18,17
1,2:31.0,R. Felton enters the game for S. Adams,,18,17
1,2:31.0,N. Noel enters the game for D. Schröder,,18,17
1,2:31.0,,W. Matthews enters the game for L. Dončić,18,17
1,2:22.0,Personal foul by J. Barea (drawn by P. George),,18,17
1,2:22.0,P. George makes free throw 1 of 2,,19,17
1,2:22.0,P. George misses free throw 2 of 2,,19,17
1,2:20.0,,Defensive rebound by M. Kleber,19,17
1,2:12.0,,Turnover by J. Barea (bad pass; steal by P. George),19,17
1,2:08.0,Á. Abrines misses 2-pt layup from 3 ft,,19,17
1,2:05.0,,Defensive rebound by D. Finney-Smith,19,17
1,1:52.0,,J. Barea makes 2-pt layup from 1 ft,19,19
1,1:39.0,Offensive foul by P. Patterson (drawn by J. Barea),,19,19
1,1:39.0,Turnover by P. Patterson (offensive foul),,19,19
1,1:26.0,,M. Kleber misses 3-pt jump shot from 26 ft,19,19
1,1:23.0,Defensive rebound by N. Noel,,19,19
1,1:12.0,P. Patterson misses 3-pt jump shot from 23 ft,,19,19
1,1:08.0,Offensive rebound by P. George,,19,19
1,1:04.0,P. George makes 3-pt jump shot from 24 ft (assist by R. Felton),,22,19
1,0:50.0,,J. Barea makes 2-pt layup from 1 ft (assist by M. Kleber),22,21
1,0:41.0,Turnover by N. Noel (out of bounds lost ball),,22,21
1,0:34.0,,J. Barea misses 2-pt layup from 2 ft,22,21
1,0:31.0,Defensive rebound by N. Noel,,22,21
1,0:18.0,P. George misses 2-pt jump shot from 18 ft,,22,21
1,0:15.0,,Defensive rebound by D. Finney-Smith,22,21
1,0:01.0,,Shooting foul by R. Felton (drawn by J. Barea),22,21
1,0:01.0,,J. Barea makes free throw 1 of 2,22,22
1,0:01.0,,J. Barea makes free throw 2 of 2,22,23
1,0:00.0,R. Felton misses 3-pt jump shot from 68 ft,,22,23
1,0:00.0,Offensive rebound by Team,,22,23
2,11:39.0,,Turnover by W. Matthews (bad pass),22,23
2,11:25.0,R. Felton misses 2-pt jump shot from 19 ft,,22,23
2,11:22.0,,Defensive rebound by M. Kleber,22,23
2,11:08.0,,D. Harris makes 2-pt layup at rim (assist by W. Matthews),22,25
2,10:48.0,Turnover by N. Noel (lost ball; steal by D. Powell),,22,25
2,10:43.0,,D. Powell misses 3-pt jump shot from 26 ft,22,25
2,10:41.0,Defensive rebound by R. Felton,,22,25
2,10:32.0,R. Felton misses 2-pt jump shot from 6 ft,,22,25
2,10:31.0,Offensive rebound by H. Diallo,,22,25
2,10:30.0,H. Diallo misses 2-pt layup at rim,,22,25
2,10:27.0,Offensive rebound by R. Felton,,22,25
2,10:20.0,R. Felton misses 2-pt jump shot from 9 ft,,22,25
2,10:17.0,,Defensive rebound by D. Powell,22,25
2,10:11.0,,Personal foul by H. Diallo (drawn by J. Barea),22,25
2,10:09.0,,Personal foul by N. Noel (drawn by D. Powell),22,25
2,10:09.0,,Technical foul by B. Donovan,22,25
2,10:09.0,,J. Barea misses technical free throw,22,25
2,10:09.0,,Offensive rebound by Team,22,25
2,10:01.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),22,27
2,9:45.0,R. Felton misses 3-pt jump shot from 25 ft,,22,27
2,9:42.0,,Defensive rebound by D. Harris,22,27
2,9:38.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Harris),22,30
2,9:30.0,Offensive foul by N. Noel (drawn by J. Barea),,22,30
2,9:30.0,Turnover by N. Noel (offensive foul),,22,30
2,9:18.0,,Turnover by J. Barea (bad pass; steal by N. Noel),22,30
2,9:10.0,Oklahoma City full timeout,,22,30
2,9:01.0,Turnover by Á. Abrines (lost ball; steal by D. Harris),,22,30
2,8:37.0,,J. Barea misses 2-pt jump shot from 9 ft,22,30
2,8:35.0,Defensive rebound by P. Patterson,,22,30
2,8:29.0,P. Patterson misses 3-pt jump shot from 26 ft,,22,30
2,8:28.0,Offensive rebound by Team,,22,30
