QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
1,8:27.0,,L. Aldridge misses 2-pt jump shot from 18 ft,4,8
1,8:23.0,Defensive rebound by K. Towns,,4,8
1,8:19.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Towns),,6,8
1,8:18.0,,San Antonio full timeout,6,8
1,7:57.0,,R. Gay makes 2-pt jump shot from 14 ft,6,10
1,7:41.0,J. Butler misses 3-pt jump shot from 25 ft,,6,10
1,7:39.0,,Defensive rebound by D. DeRozan,6,10
1,7:30.0,,D. DeRozan misses 2-pt layup from 1 ft,6,10
1,7:25.0,,Offensive rebound by J. Poeltl,6,10
1,7:25.0,,J. Poeltl makes 2-pt dunk from 1 ft,6,12
1,7:20.0,Shooting foul by J. Poeltl (drawn by J. Teague),,6,12
1,7:20.0,J. Teague makes free throw 1 of 2,,7,12
1,7:20.0,,P. Gasol enters the game for J. Poeltl,7,12
1,7:20.0,J. Teague makes free throw 2 of 2,,8,12
1,7:04.0,,L. Aldridge misses 2-pt layup from 2 ft,8,12
1,7:02.0,Defensive rebound by A. Wiggins,,8,12
1,6:53.0,A. Wiggins misses 2-pt jump shot from 17 ft,,8,12
1,6:53.0,Offensive rebound by Team,,8,12
1,6:53.0,,Loose ball foul by R. Gay (drawn by J. Butler),8,12
1,6:43.0,Turnover by J. Teague (bad pass; steal by B. Forbes),,8,12
1,6:38.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Forbes),8,14
1,6:27.0,A. Wiggins misses 2-pt layup from 3 ft (block by R. Gay),,8,14
1,6:27.0,,Defensive rebound by Team,8,14
1,6:27.0,,P. Mills enters the game for B. Forbes,8,14
1,6:05.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by L. Aldridge),8,17
1,5:59.0,Minnesota full timeout,,8,17
1,5:59.0,D. Rose enters the game for J. Butler,,8,17
1,5:59.0,,M. Belinelli enters the game for R. Gay,8,17
1,5:51.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,10,17
1,5:30.0,,D. DeRozan misses 2-pt jump shot from 18 ft,10,17
1,5:27.0,Defensive rebound by T. Gibson,,10,17
1,5:21.0,K. Towns misses 2-pt jump shot from 15 ft,,10,17
1,5:17.0,,Defensive rebound by L. Aldridge,10,17
1,5:06.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by M. Belinelli),10,20
1,4:58.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,12,20
1,4:40.0,,L. Aldridge misses 2-pt jump shot from 18 ft,12,20
1,4:38.0,Defensive rebound by K. Towns,,12,20
1,4:28.0,J. Teague makes 2-pt layup from 2 ft,,14,20
1,4:08.0,,P. Gasol misses 2-pt layup from 1 ft,14,20
1,4:07.0,,Offensive rebound by P. Gasol,14,20
1,4:04.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Gasol),14,22
1,3:50.0,A. Wiggins misses 2-pt jump shot from 13 ft,,14,22
1,3:48.0,,Defensive rebound by L. Aldridge,14,22
1,3:37.0,,Shooting foul by T. Gibson (drawn by L. Aldridge),14,22
1,3:37.0,,L. Aldridge misses free throw 1 of 2,14,22
1,3:37.0,,Offensive rebound by Team,14,22
1,3:37.0,G. Dieng enters the game for T. Gibson,,14,22
1,3:37.0,T. Jones enters the game for J. Teague,,14,22
1,3:37.0,,R. Gay enters the game for D. DeRozan,14,22
1,3:37.0,,L. Aldridge makes free throw 2 of 2,14,23
1,3:23.0,Def 3 sec tech foul by Team,,14,23
1,3:23.0,K. Towns makes technical free throw,,15,23
1,3:10.0,K. Towns misses 2-pt hook shot from 10 ft,,15,23
1,3:07.0,,Defensive rebound by R. Gay,15,23
1,3:00.0,,L. Aldridge makes 2-pt layup at rim (assist by P. Gasol),15,25
1,3:00.0,,Shooting foul by K. Towns (drawn by L. Aldridge),15,25
1,3:00.0,,L. Aldridge makes free throw 1 of 1,15,26
1,2:47.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by G. Dieng),,18,26
1,2:34.0,,P. Gasol misses 2-pt jump shot from 20 ft,18,26
1,2:32.0,Defensive rebound by G. Dieng,,18,26
1,2:20.0,D. Rose misses 3-pt jump shot from 25 ft,,18,26
1,2:16.0,,Defensive rebound by P. Gasol,18,26
1,2:11.0,,L. Aldridge misses 2-pt jump shot from 18 ft,18,26
1,2:08.0,Defensive rebound by K. Towns,,18,26
1,1:59.0,T. Jones misses 2-pt jump shot from 2 ft,,18,26
1,1:57.0,Offensive rebound by T. Jones,,18,26
1,1:50.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Jones),,21,26
1,1:37.0,,Personal foul by G. Dieng (drawn by R. Gay),21,26
1,1:37.0,,R. Gay misses free throw 1 of 2,21,26
1,1:37.0,,Offensive rebound by Team,21,26
1,1:37.0,A. Tolliver enters the game for K. Towns,,21,26
1,1:37.0,,D. Cunningham enters the game for L. Aldridge,21,26
1,1:37.0,,R. Gay makes free throw 2 of 2,21,27
1,1:23.0,D. Rose misses 2-pt layup from 1 ft,,21,27
1,1:22.0,Offensive rebound by G. Dieng,,21,27
1,1:16.0,A. Wiggins misses 2-pt layup from 1 ft,,21,27
1,1:16.0,Offensive rebound by D. Rose,,21,27
1,1:11.0,D. Rose misses 2-pt layup at rim,,21,27
1,1:10.0,,Defensive rebound by R. Gay,21,27
1,1:09.0,,Turnover by R. Gay (lost ball; steal by A. Wiggins),21,27
1,0:59.0,Shooting foul by D. Cunningham (drawn by D. Rose),,21,27
1,0:59.0,D. Rose makes free throw 1 of 2,,22,27
1,0:59.0,D. Rose makes free throw 2 of 2,,23,27
1,0:42.0,,R. Gay makes 2-pt jump shot from 5 ft (assist by D. Cunningham),23,29
1,0:31.0,T. Jones misses 2-pt layup from 3 ft,,23,29
1,0:31.0,,Defensive rebound by Team,23,29
1,0:09.0,,Personal foul by D. Rose (drawn by M. Belinelli),23,29
1,0:09.0,,M. Belinelli makes free throw 1 of 2,23,30
1,0:09.0,,L. Aldridge enters the game for P. Gasol,23,30
1,0:09.0,,M. Belinelli makes free throw 2 of 2,23,31
1,0:01.0,T. Jones misses 2-pt jump shot from 19 ft,,23,31
1,0:01.0,,Defensive rebound by M. Belinelli,23,31
2,11:46.0,,P. Gasol misses 2-pt layup from 2 ft,23,31
2,11:43.0,Defensive rebound by D. Rose,,23,31
2,11:35.0,G. Dieng makes 2-pt jump shot from 11 ft (assist by A. Tolliver),,25,31
2,11:20.0,,Turnover by B. Forbes (bad pass; steal by G. Dieng),25,31
2,11:13.0,J. Butler misses 2-pt layup from 4 ft,,25,31
2,11:11.0,,Defensive rebound by D. Cunningham,25,31
2,11:05.0,,D. Cunningham misses 2-pt jump shot from 19 ft,25,31
2,11:03.0,Defensive rebound by J. Butler,,25,31
2,10:44.0,G. Dieng makes 2-pt jump shot from 8 ft (assist by A. Tolliver),,27,31
2,10:36.0,,Personal foul by D. Rose (drawn by M. Belinelli),27,31
2,10:36.0,,D. DeRozan enters the game for M. Belinelli,27,31
2,10:27.0,,Turnover by D. DeRozan (lost ball; steal by G. Dieng),27,31
2,10:20.0,Personal foul by D. DeRozan (drawn by G. Dieng),,27,31
2,10:08.0,Turnover by T. Jones (bad pass),,27,31
2,9:46.0,,Turnover by D. Cunningham (bad pass; steal by J. Butler),27,31
2,9:43.0,J. Butler makes 2-pt dunk from 1 ft,,29,31
2,9:42.0,,San Antonio full timeout,29,31
2,9:42.0,,L. Aldridge enters the game for D. Cunningham,29,31
2,9:42.0,,M. Belinelli enters the game for P. Gasol,29,31
2,9:34.0,,Personal foul by T. Jones (drawn by L. Aldridge),29,31
2,9:29.0,,Turnover by M. Belinelli (traveling),29,31
2,9:18.0,J. Butler misses 2-pt layup from 9 ft,,29,31
2,9:13.0,Offensive rebound by J. Butler,,29,31
2,9:13.0,J. Butler misses 2-pt layup at rim,,29,31
2,9:12.0,,Defensive rebound by B. Forbes,29,31
2,9:06.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),29,34
2,8:47.0,D. Rose misses 3-pt jump shot from 23 ft,,29,34
2,8:44.0,,Defensive rebound by D. DeRozan,29,34
2,8:29.0,,L. Aldridge misses 2-pt jump shot from 15 ft,29,34
2,8:25.0,Defensive rebound by A. Tolliver,,29,34
2,8:21.0,Shooting foul by B. Forbes (drawn by J. Butler),,29,34
2,8:21.0,J. Butler makes free throw 1 of 2,,30,34
2,8:21.0,J. Butler misses free throw 2 of 2,,30,34
2,8:18.0,,Defensive rebound by L. Aldridge,30,34
2,8:00.0,,L. Aldridge misses 2-pt hook shot from 6 ft,30,34
2,7:57.0,,Offensive rebound by L. Aldridge,30,34
2,7:56.0,,Turnover by L. Aldridge (lost ball; steal by J. Butler),30,34
2,7:42.0,J. Butler misses 2-pt layup from 5 ft,,30,34
2,7:40.0,Offensive rebound by D. Rose,,30,34
2,7:36.0,G. Dieng misses 2-pt jump shot from 20 ft,,30,34
2,7:36.0,,Defensive rebound by M. Belinelli,30,34
2,7:25.0,,M. Belinelli makes 3-pt jump shot from 25 ft,30,37
2,7:10.0,T. Jones makes 2-pt jump shot from 16 ft,,32,37
2,6:51.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by B. Forbes),32,40
2,6:43.0,T. Jones misses 2-pt layup from 4 ft (block by L. Aldridge),,32,40
2,6:43.0,Offensive rebound by Team,,32,40
2,6:43.0,J. Teague enters the game for T. Jones,,32,40
2,6:43.0,,P. Mills enters the game for B. Forbes,32,40
2,6:37.0,G. Dieng misses 2-pt layup from 3 ft,,32,40
2,6:36.0,Offensive rebound by J. Butler,,32,40
2,6:34.0,J. Butler misses 2-pt layup from 3 ft,,32,40
2,6:32.0,,Defensive rebound by L. Aldridge,32,40
2,6:21.0,,D. DeRozan misses 2-pt jump shot from 13 ft,32,40
2,6:19.0,,Offensive rebound by L. Aldridge,32,40
2,6:17.0,,L. Aldridge makes 2-pt jump shot from 12 ft,32,42
2,6:08.0,Minnesota full timeout,,32,42
2,6:08.0,K. Towns enters the game for G. Dieng,,32,42
2,6:08.0,A. Wiggins enters the game for D. Rose,,32,42
2,6:08.0,,R. Gay enters the game for D. Bertāns,32,42
2,5:54.0,K. Towns misses 3-pt jump shot from 26 ft,,32,42
2,5:52.0,,Defensive rebound by R. Gay,32,42
2,5:36.0,,R. Gay misses 2-pt jump shot from 17 ft,32,42
2,5:34.0,Defensive rebound by J. Butler,,32,42
2,5:29.0,J. Butler makes 2-pt layup from 3 ft,,34,42
2,5:15.0,,D. DeRozan misses 2-pt jump shot from 17 ft,34,42
2,5:13.0,Defensive rebound by A. Tolliver,,34,42
2,5:11.0,Personal foul by L. Aldridge (drawn by K. Towns),,34,42
2,5:07.0,J. Butler misses 3-pt jump shot from 25 ft,,34,42
2,5:07.0,,Defensive rebound by M. Belinelli,34,42
2,4:48.0,,R. Gay makes 2-pt jump shot from 17 ft,34,44
2,4:28.0,J. Butler makes 2-pt layup from 2 ft (assist by J. Teague),,36,44
2,4:28.0,Shooting foul by R. Gay (drawn by J. Butler),,36,44
2,4:28.0,,D. Bertāns enters the game for M. Belinelli,36,44
2,4:28.0,J. Butler makes free throw 1 of 1,,37,44
2,4:16.0,,Turnover by P. Mills (lost ball; steal by J. Teague),37,44
2,4:12.0,J. Teague makes 2-pt dunk from 1 ft,,39,44
2,3:53.0,,P. Mills misses 3-pt jump shot from 25 ft,39,44
2,3:51.0,,Offensive rebound by R. Gay,39,44
2,3:40.0,,L. Aldridge misses 2-pt jump shot from 10 ft,39,44
2,3:34.0,,Offensive rebound by R. Gay,39,44
2,3:34.0,,R. Gay makes 2-pt layup from 1 ft,39,46
2,3:26.0,A. Wiggins misses 3-pt jump shot from 27 ft,,39,46
2,3:23.0,Offensive rebound by K. Towns,,39,46
2,3:20.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,41,46
2,3:10.0,,Personal foul by K. Towns (drawn by L. Aldridge),41,46
2,3:10.0,D. Rose enters the game for J. Butler,,41,46
2,3:04.0,,R. Gay misses 2-pt layup from 1 ft,41,46
2,3:02.0,Defensive rebound by A. Wiggins,,41,46
2,2:55.0,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,44,46
2,2:37.0,,Shooting foul by A. Tolliver (drawn by D. DeRozan),44,46
2,2:37.0,,D. DeRozan makes free throw 1 of 2,44,47
2,2:37.0,,B. Forbes enters the game for R. Gay,44,47
2,2:37.0,,D. DeRozan makes free throw 2 of 2,44,48
2,2:25.0,A. Wiggins makes 2-pt jump shot from 13 ft,,46,48
2,2:09.0,,D. DeRozan makes 2-pt layup from 6 ft,46,50
2,2:09.0,,Shooting foul by K. Towns (drawn by D. DeRozan),46,50
2,2:09.0,G. Dieng enters the game for K. Towns,,46,50
2,2:09.0,,P. Gasol enters the game for D. Bertāns,46,50
2,2:09.0,,D. DeRozan misses free throw 1 of 1,46,50
2,2:09.0,,Offensive rebound by L. Aldridge,46,50
2,1:56.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),46,52
2,1:43.0,Turnover by A. Wiggins (out of bounds lost ball),,46,52
2,1:29.0,,B. Forbes makes 2-pt jump shot from 20 ft (assist by D. DeRozan),46,54
2,1:23.0,Personal foul by P. Mills (drawn by A. Wiggins),,46,54
2,1:23.0,A. Wiggins makes free throw 1 of 2,,47,54
2,1:23.0,A. Wiggins makes free throw 2 of 2,,48,54
2,1:10.0,,Turnover by B. Forbes (bad pass; steal by J. Teague),48,54
2,1:01.0,J. Teague makes 2-pt layup from 7 ft,,50,54
2,0:36.0,,B. Forbes misses 3-pt jump shot from 25 ft,50,54
2,0:35.0,,Offensive rebound by L. Aldridge,50,54
2,0:31.0,,P. Mills misses 3-pt jump shot from 25 ft,50,54
2,0:30.0,,Offensive rebound by P. Gasol,50,54
2,0:28.0,,D. DeRozan makes 2-pt jump shot from 12 ft (assist by P. Gasol),50,56
2,0:06.0,A. Wiggins misses 2-pt jump shot from 20 ft,,50,56
2,0:06.0,Offensive rebound by Team,,50,56
2,0:06.0,,D. Cunningham enters the game for P. Gasol,50,56
2,0:00.0,D. Rose makes 2-pt hook shot from 2 ft,,52,56
3,11:45.0,,B. Forbes misses 3-pt jump shot from 24 ft,52,56
3,11:41.0,Defensive rebound by A. Wiggins,,52,56
3,11:29.0,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,55,56
3,11:03.0,,L. Aldridge misses 3-pt jump shot from 26 ft,55,56
3,11:02.0,,Offensive rebound by J. Poeltl,55,56
3,10:57.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by J. Poeltl),55,59
3,10:45.0,Personal foul by J. Poeltl (drawn by K. Towns),,55,59
3,10:35.0,K. Towns makes 2-pt jump shot from 15 ft (assist by J. Teague),,57,59
3,10:12.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),57,61
3,9:57.0,T. Gibson misses 2-pt layup from 3 ft (block by L. Aldridge),,57,61
3,9:53.0,Offensive rebound by T. Gibson,,57,61
3,9:52.0,T. Gibson makes 2-pt jump shot from 12 ft,,59,61
3,9:42.0,,Personal foul by T. Gibson (drawn by L. Aldridge),59,61
3,9:28.0,,R. Gay misses 2-pt jump shot from 16 ft,59,61
3,9:26.0,,Offensive rebound by J. Poeltl,59,61
3,9:10.0,,J. Poeltl misses 2-pt jump shot from 12 ft,59,61
3,9:08.0,Defensive rebound by T. Gibson,,59,61
3,9:01.0,J. Teague makes 2-pt layup from 2 ft,,61,61
3,8:48.0,,Shooting foul by J. Teague (drawn by B. Forbes),61,61
3,8:48.0,,B. Forbes makes free throw 1 of 2,61,62
3,8:48.0,,M. Belinelli enters the game for R. Gay,61,62
3,8:48.0,,P. Gasol enters the game for J. Poeltl,61,62
3,8:48.0,,B. Forbes makes free throw 2 of 2,61,63
3,8:41.0,J. Teague makes 2-pt layup from 3 ft,,63,63
3,8:41.0,Shooting foul by B. Forbes (drawn by J. Teague),,63,63
3,8:41.0,J. Teague makes free throw 1 of 1,,64,63
3,8:22.0,,D. DeRozan misses 3-pt jump shot from 23 ft,64,63
3,8:19.0,Defensive rebound by J. Teague,,64,63
3,8:18.0,Shooting foul by B. Forbes (drawn by J. Teague),,64,63
3,8:18.0,J. Teague makes free throw 1 of 2,,65,63
3,8:18.0,J. Teague makes free throw 2 of 2,,66,63
3,7:57.0,,D. DeRozan makes 2-pt layup from 2 ft,66,65
3,7:46.0,Offensive foul by K. Towns (drawn by D. DeRozan),,66,65
3,7:46.0,Turnover by K. Towns (offensive foul),,66,65
3,7:46.0,G. Dieng enters the game for K. Towns,,66,65
3,7:38.0,,Turnover by D. DeRozan (traveling),66,65
3,7:14.0,G. Dieng misses 3-pt jump shot from 27 ft,,66,65
3,7:12.0,,Defensive rebound by L. Aldridge,66,65
3,7:03.0,,D. DeRozan makes 2-pt jump shot from 17 ft,66,67
3,7:03.0,Minnesota full timeout,,66,67
3,7:03.0,,P. Mills enters the game for B. Forbes,66,67
3,6:48.0,J. Butler makes 2-pt layup from 2 ft,,68,67
3,6:32.0,,M. Belinelli makes 2-pt jump shot from 16 ft,68,69
3,6:18.0,J. Butler makes 2-pt jump shot from 8 ft,,70,69
3,6:00.0,,L. Aldridge misses 2-pt jump shot from 17 ft,70,69
3,5:58.0,Defensive rebound by T. Gibson,,70,69
3,5:48.0,Personal foul by D. DeRozan (drawn by J. Butler),,70,69
3,5:48.0,D. Rose enters the game for J. Butler,,70,69
3,5:41.0,J. Teague misses 2-pt jump shot from 9 ft,,70,69
3,5:40.0,Offensive rebound by G. Dieng,,70,69
3,5:40.0,Shooting foul by L. Aldridge (drawn by G. Dieng),,70,69
3,5:40.0,G. Dieng misses free throw 1 of 2,,70,69
3,5:40.0,Offensive rebound by Team,,70,69
3,5:40.0,G. Dieng makes free throw 2 of 2,,71,69
3,5:28.0,,Personal foul by A. Wiggins (drawn by D. DeRozan),71,69
3,5:28.0,,D. Cunningham enters the game for L. Aldridge,71,69
3,5:20.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),71,69
3,5:20.0,,D. DeRozan misses free throw 1 of 2,71,69
3,5:20.0,,Offensive rebound by Team,71,69
3,5:20.0,,D. DeRozan makes free throw 2 of 2,71,70
3,5:10.0,J. Teague makes 2-pt jump shot from 8 ft,,73,70
3,4:52.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by P. Gasol),73,73
3,4:35.0,A. Wiggins misses 2-pt jump shot from 18 ft,,73,73
3,4:33.0,,Defensive rebound by M. Belinelli,73,73
3,4:17.0,,M. Belinelli misses 3-pt jump shot from 23 ft,73,73
3,4:15.0,,Offensive rebound by P. Gasol,73,73
3,4:13.0,,M. Belinelli misses 2-pt layup from 2 ft,73,73
3,4:11.0,Defensive rebound by A. Wiggins,,73,73
3,4:04.0,Shooting foul by P. Mills (drawn by J. Teague),,73,73
3,4:04.0,J. Teague makes free throw 1 of 2,,74,73
3,4:04.0,J. Teague makes free throw 2 of 2,,75,73
3,3:46.0,,Shooting foul by G. Dieng (drawn by P. Gasol),75,73
3,3:46.0,,P. Gasol makes free throw 1 of 2,75,74
3,3:46.0,,P. Gasol makes free throw 2 of 2,75,75
3,3:25.0,J. Teague misses 2-pt jump shot from 8 ft,,75,75
3,3:23.0,,Defensive rebound by P. Gasol,75,75
3,3:12.0,,D. Cunningham misses 2-pt layup from 2 ft,75,75
3,3:12.0,Defensive rebound by G. Dieng,,75,75
3,2:58.0,G. Dieng misses 3-pt jump shot from 26 ft,,75,75
3,2:54.0,,Defensive rebound by P. Gasol,75,75
3,2:53.0,,San Antonio full timeout,75,75
3,2:53.0,T. Jones enters the game for J. Teague,,75,75
3,2:53.0,,L. Aldridge enters the game for D. Cunningham,75,75
3,2:43.0,,L. Aldridge misses 2-pt jump shot from 10 ft,75,75
3,2:40.0,Defensive rebound by T. Gibson,,75,75
3,2:27.0,Shooting foul by P. Gasol (drawn by G. Dieng),,75,75
3,2:27.0,G. Dieng makes free throw 1 of 2,,76,75
3,2:27.0,,B. Forbes enters the game for M. Belinelli,76,75
3,2:27.0,,R. Gay enters the game for D. DeRozan,76,75
3,2:27.0,G. Dieng makes free throw 2 of 2,,77,75
3,2:15.0,,Personal foul by G. Dieng (drawn by L. Aldridge),77,75
3,2:15.0,,L. Aldridge misses free throw 1 of 2,77,75
3,2:15.0,,Offensive rebound by Team,77,75
3,2:15.0,,L. Aldridge makes free throw 2 of 2,77,76
3,2:00.0,D. Rose makes 2-pt jump shot from 14 ft,,79,76
3,1:43.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by L. Aldridge),79,79
3,1:28.0,D. Rose misses 2-pt jump shot from 11 ft,,79,79
3,1:27.0,Offensive rebound by G. Dieng,,79,79
3,1:18.0,T. Jones misses 2-pt jump shot from 12 ft,,79,79
3,1:17.0,,Defensive rebound by P. Gasol,79,79
3,1:14.0,,P. Mills misses 2-pt layup from 3 ft,79,79
3,1:12.0,Defensive rebound by A. Wiggins,,79,79
3,1:06.0,A. Wiggins makes 2-pt jump shot from 5 ft,,81,79
3,0:50.0,,L. Aldridge misses 2-pt layup from 2 ft (block by G. Dieng),81,79
3,0:50.0,Defensive rebound by A. Wiggins,,81,79
3,0:45.0,T. Gibson makes 2-pt layup from 2 ft,,83,79
3,0:35.0,Violation by Team (kicked ball),,83,79
3,0:26.0,,R. Gay makes 2-pt layup from 3 ft,83,81
3,0:26.0,Violation by Team (def goaltending),,83,81
3,0:03.0,D. Rose misses 2-pt hook shot from 7 ft,,83,81
3,0:03.0,,Defensive rebound by P. Mills,83,81
3,0:00.0,,P. Mills misses 3-pt jump shot from 25 ft,83,81
3,0:00.0,,Offensive rebound by Team,83,81
4,11:42.0,D. Rose misses 2-pt jump shot from 16 ft,,83,81
4,11:40.0,,Defensive rebound by R. Gay,83,81
4,11:32.0,,Turnover by L. Aldridge (3 sec),83,81
4,11:17.0,J. Butler misses 2-pt jump shot from 14 ft,,83,81
4,11:15.0,,Defensive rebound by P. Mills,83,81
4,11:04.0,,R. Gay misses 2-pt jump shot from 19 ft,83,81
4,11:02.0,Defensive rebound by J. Butler,,83,81
4,10:58.0,G. Dieng makes 2-pt layup from 2 ft (assist by D. Rose),,85,81
4,10:46.0,,Turnover by P. Gasol (bad pass; steal by J. Butler),85,81
4,10:43.0,Turnover by D. Rose (bad pass),,85,81
4,10:32.0,,B. Forbes makes 2-pt jump shot from 20 ft (assist by P. Gasol),85,83
4,10:12.0,Shooting foul by P. Gasol (drawn by G. Dieng),,85,83
4,10:12.0,G. Dieng misses free throw 1 of 2,,85,83
4,10:12.0,Offensive rebound by Team,,85,83
4,10:12.0,G. Dieng makes free throw 2 of 2,,86,83
4,9:54.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by P. Gasol),86,86
4,9:39.0,Personal foul by B. Forbes (drawn by J. Butler),,86,86
4,9:39.0,,D. Bertāns enters the game for P. Gasol,86,86
4,9:39.0,,D. DeRozan enters the game for P. Mills,86,86
4,9:36.0,Personal foul by R. Gay (drawn by G. Dieng),,86,86
4,9:29.0,J. Butler misses 2-pt layup from 2 ft,,86,86
4,9:29.0,Offensive rebound by Team,,86,86
4,9:29.0,,Loose ball foul by B. Forbes (drawn by G. Dieng),86,86
4,9:21.0,T. Jones makes 2-pt jump shot from 7 ft (assist by G. Dieng),,88,86
4,9:03.0,,B. Forbes misses 3-pt jump shot from 24 ft,88,86
4,8:58.0,,Offensive rebound by L. Aldridge,88,86
4,8:58.0,,L. Aldridge misses 2-pt layup at rim,88,86
4,8:58.0,,Offensive rebound by L. Aldridge,88,86
4,8:55.0,,L. Aldridge makes 2-pt layup at rim,88,88
4,8:41.0,G. Dieng makes 2-pt jump shot from 18 ft (assist by J. Butler),,90,88
4,8:26.0,,Turnover by D. DeRozan (bad pass; steal by J. Butler),90,88
4,8:17.0,A. Tolliver misses 2-pt layup from 2 ft,,90,88
4,8:15.0,,Defensive rebound by D. DeRozan,90,88
4,8:05.0,,B. Forbes misses 2-pt jump shot from 21 ft,90,88
4,8:05.0,,Offensive rebound by Team,90,88
4,8:05.0,Loose ball foul by T. Jones (drawn by L. Aldridge),,90,88
4,8:05.0,K. Towns enters the game for G. Dieng,,90,88
4,7:50.0,,R. Gay makes 2-pt jump shot from 20 ft,90,90
4,7:30.0,D. Rose misses 2-pt layup from 8 ft (block by L. Aldridge),,90,90
4,7:28.0,Offensive rebound by D. Rose,,90,90
4,7:24.0,J. Butler misses 3-pt jump shot from 25 ft,,90,90
4,7:21.0,,Defensive rebound by B. Forbes,90,90
4,7:19.0,,San Antonio full timeout,90,90
4,7:19.0,J. Teague enters the game for T. Jones,,90,90
4,7:19.0,A. Wiggins enters the game for D. Rose,,90,90
4,7:19.0,,M. Belinelli enters the game for B. Forbes,90,90
4,7:19.0,,P. Mills enters the game for R. Gay,90,90
4,7:15.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),90,93
4,6:50.0,A. Wiggins misses 3-pt jump shot from 26 ft,,90,93
4,6:45.0,Offensive rebound by K. Towns,,90,93
4,6:45.0,K. Towns misses 2-pt layup from 1 ft,,90,93
4,6:45.0,Offensive rebound by J. Butler,,90,93
4,6:41.0,J. Butler misses 2-pt layup from 1 ft,,90,93
4,6:41.0,,Defensive rebound by L. Aldridge,90,93
