QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
2,3:51.0,C. Boucher makes 2-pt layup from 2 ft (assist by P. Siakam),,55,42
2,3:44.0,,Minnesota full timeout,55,42
2,3:44.0,M. Gasol enters the game for C. Boucher,,55,42
2,3:44.0,F. VanVleet enters the game for J. Meeks,,55,42
2,3:33.0,,Turnover by M. Creek (bad pass; steal by P. Siakam),55,42
2,3:33.0,Personal foul by G. Dieng (drawn by P. Siakam),,55,42
2,3:33.0,,K. Bates-Diop enters the game for M. Creek,55,42
2,3:19.0,D. Green misses 3-pt jump shot from 23 ft,,55,42
2,3:17.0,,Defensive rebound by A. Wiggins,55,42
2,3:08.0,,J. Okogie misses 2-pt jump shot from 7 ft,55,42
2,3:05.0,Defensive rebound by K. Leonard,,55,42
2,2:57.0,K. Leonard makes 2-pt layup from 1 ft,,57,42
2,2:44.0,,K. Bates-Diop misses 3-pt jump shot from 25 ft,57,42
2,2:41.0,Defensive rebound by D. Green,,57,42
2,2:34.0,F. VanVleet makes 2-pt layup at rim,,59,42
2,2:24.0,,T. Jones misses 3-pt jump shot from 25 ft,59,42
2,2:22.0,Defensive rebound by D. Green,,59,42
2,2:17.0,F. VanVleet makes 2-pt layup from 2 ft (assist by D. Green),,61,42
2,2:16.0,,Minnesota full timeout,61,42
2,2:00.0,,J. Okogie makes 3-pt jump shot from 24 ft (assist by T. Jones),61,45
2,1:47.0,P. Siakam makes 2-pt layup from 2 ft,,63,45
2,1:42.0,,Shooting foul by P. Siakam (drawn by K. Bates-Diop),63,45
2,1:42.0,,K. Bates-Diop makes free throw 1 of 2,63,46
2,1:42.0,O. Anunoby enters the game for P. Siakam,,63,46
2,1:42.0,,K. Bates-Diop makes free throw 2 of 2,63,47
2,1:30.0,Offensive foul by O. Anunoby (drawn by T. Jones),,63,47
2,1:30.0,Turnover by O. Anunoby (offensive foul),,63,47
2,1:10.0,,Turnover by T. Jones (bad pass; steal by F. VanVleet),63,47
2,1:02.0,Personal foul by J. Okogie (drawn by D. Green),,63,47
2,1:02.0,D. Green makes free throw 1 of 2,,64,47
2,1:02.0,D. Green makes free throw 2 of 2,,65,47
2,0:53.0,,A. Wiggins misses 3-pt jump shot from 25 ft,65,47
2,0:51.0,Defensive rebound by M. Gasol,,65,47
2,0:28.0,F. VanVleet makes 2-pt jump shot from 20 ft (assist by D. Green),,67,47
2,0:18.0,,A. Wiggins misses 2-pt jump shot from 8 ft,67,47
2,0:17.0,Defensive rebound by Team,,67,47
2,0:02.0,M. Gasol makes 2-pt layup from 3 ft (assist by F. VanVleet),,69,47
2,0:02.0,,Violation by Team (def goaltending),69,47
3,11:47.0,Violation by Team (kicked ball),,69,47
3,11:39.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Okogie),69,49
3,11:20.0,Turnover by K. Leonard (bad pass; steal by J. Okogie),,69,49
3,11:16.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),69,52
3,11:01.0,Personal foul by J. Okogie (drawn by M. Gasol),,69,52
3,10:51.0,F. VanVleet misses 2-pt jump shot from 11 ft,,69,52
3,10:48.0,,Defensive rebound by D. Šarić,69,52
3,10:35.0,,G. Dieng makes 2-pt layup from 1 ft (assist by A. Wiggins),69,54
3,10:12.0,K. Leonard makes 3-pt jump shot from 25 ft,,72,54
3,9:53.0,,A. Wiggins misses 2-pt jump shot from 6 ft,72,54
3,9:49.0,Defensive rebound by K. Leonard,,72,54
3,9:44.0,M. Gasol misses 3-pt jump shot from 26 ft,,72,54
3,9:41.0,,Defensive rebound by G. Dieng,72,54
3,9:32.0,,G. Dieng makes 2-pt jump shot from 15 ft (assist by T. Jones),72,56
3,9:21.0,P. Siakam makes 2-pt layup from 1 ft,,74,56
3,9:08.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by G. Dieng),74,58
3,8:49.0,Shooting foul by J. Okogie (drawn by M. Gasol),,74,58
3,8:49.0,M. Gasol misses free throw 1 of 2,,74,58
3,8:49.0,Offensive rebound by Team,,74,58
3,8:49.0,M. Gasol makes free throw 2 of 2,,75,58
3,8:31.0,,J. Okogie misses 3-pt jump shot from 26 ft,75,58
3,8:26.0,Defensive rebound by K. Leonard,,75,58
3,8:22.0,K. Leonard makes 3-pt jump shot from 26 ft,,78,58
3,8:02.0,,A. Wiggins makes 3-pt jump shot from 26 ft (assist by G. Dieng),78,61
3,7:48.0,K. Leonard misses 3-pt jump shot from 23 ft,,78,61
3,7:46.0,,Defensive rebound by D. Šarić,78,61
3,7:41.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by T. Jones),78,63
3,7:29.0,Offensive foul by P. Siakam (drawn by J. Okogie),,78,63
3,7:29.0,Turnover by P. Siakam (offensive foul),,78,63
3,7:29.0,N. Powell enters the game for P. Siakam,,78,63
3,7:16.0,,Turnover by D. Šarić (lost ball; steal by D. Green),78,63
3,7:14.0,Shooting foul by J. Okogie (drawn by F. VanVleet),,78,63
3,7:14.0,F. VanVleet makes free throw 1 of 2,,79,63
3,7:14.0,,C. Reynolds enters the game for J. Okogie,79,63
3,7:14.0,F. VanVleet makes free throw 2 of 2,,80,63
3,6:58.0,,Turnover by G. Dieng (lost ball; steal by F. VanVleet),80,63
3,6:52.0,F. VanVleet misses 2-pt layup from 2 ft (block by A. Wiggins),,80,63
3,6:50.0,Offensive rebound by M. Gasol,,80,63
3,6:45.0,K. Leonard misses 3-pt jump shot from 25 ft,,80,63
3,6:42.0,,Defensive rebound by A. Wiggins,80,63
3,6:25.0,,C. Reynolds misses 2-pt jump shot from 10 ft,80,63
3,6:24.0,,Offensive rebound by Team,80,63
3,6:24.0,Loose ball foul by N. Powell (drawn by D. Šarić),,80,63
3,6:24.0,,Minnesota full timeout,80,63
3,6:24.0,,A. Tolliver enters the game for D. Šarić,80,63
3,6:19.0,,Turnover by A. Wiggins (lost ball; steal by K. Leonard),80,63
3,6:16.0,M. Gasol misses 2-pt layup from 2 ft (block by A. Wiggins),,80,63
3,6:16.0,Offensive rebound by Team,,80,63
3,6:08.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Leonard),,83,63
3,5:54.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by A. Wiggins),83,66
3,5:29.0,N. Powell makes 3-pt jump shot from 23 ft (assist by D. Green),,86,66
3,5:08.0,,T. Jones misses 3-pt jump shot from 25 ft,86,66
3,5:05.0,Defensive rebound by K. Leonard,,86,66
3,4:54.0,Turnover by M. Gasol (bad pass),,86,66
3,4:43.0,,C. Reynolds misses 3-pt jump shot from 25 ft,86,66
3,4:40.0,Defensive rebound by M. Gasol,,86,66
3,4:32.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by M. Gasol),,89,66
3,4:20.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by T. Jones),89,69
3,4:05.0,F. VanVleet misses 2-pt jump shot from 16 ft,,89,69
3,4:03.0,,Defensive rebound by A. Tolliver,89,69
3,3:58.0,,C. Reynolds makes 3-pt jump shot from 26 ft (assist by A. Wiggins),89,72
3,3:39.0,M. Gasol makes 3-pt jump shot from 25 ft,,92,72
3,3:17.0,,T. Jones makes 2-pt jump shot from 13 ft (assist by G. Dieng),92,74
3,3:07.0,K. Leonard makes 3-pt jump shot from 25 ft,,95,74
3,2:57.0,Toronto full timeout,,95,74
3,2:57.0,O. Anunoby enters the game for M. Gasol,,95,74
3,2:57.0,C. Boucher enters the game for D. Green,,95,74
3,2:57.0,J. Lin enters the game for K. Leonard,,95,74
3,2:57.0,,K. Bates-Diop enters the game for G. Dieng,95,74
3,2:57.0,,D. Šarić enters the game for T. Jones,95,74
3,2:57.0,,J. Terrell enters the game for A. Wiggins,95,74
3,2:51.0,,C. Reynolds misses 3-pt jump shot from 25 ft,95,74
3,2:47.0,Defensive rebound by C. Boucher,,95,74
3,2:30.0,J. Lin misses 3-pt jump shot from 25 ft,,95,74
3,2:26.0,,Defensive rebound by D. Šarić,95,74
3,2:19.0,,J. Terrell makes 2-pt jump shot from 14 ft,95,76
3,2:04.0,N. Powell misses 2-pt layup from 2 ft (block by K. Bates-Diop),,95,76
3,2:01.0,,Defensive rebound by D. Šarić,95,76
3,1:58.0,,J. Terrell misses 3-pt jump shot from 22 ft,95,76
3,1:55.0,,Offensive rebound by D. Šarić,95,76
3,1:54.0,,K. Bates-Diop misses 3-pt jump shot from 25 ft,95,76
3,1:50.0,Defensive rebound by C. Boucher,,95,76
3,1:43.0,F. VanVleet misses 3-pt jump shot from 25 ft,,95,76
3,1:39.0,,Defensive rebound by A. Tolliver,95,76
3,1:28.0,,D. Šarić misses 3-pt jump shot from 25 ft,95,76
3,1:24.0,Defensive rebound by O. Anunoby,,95,76
3,1:11.0,N. Powell misses 3-pt jump shot from 26 ft,,95,76
3,1:08.0,,Defensive rebound by A. Tolliver,95,76
3,0:57.0,,Turnover by K. Bates-Diop (lost ball; steal by F. VanVleet),95,76
3,0:52.0,J. Lin misses 3-pt jump shot from 25 ft,,95,76
3,0:49.0,,Defensive rebound by D. Šarić,95,76
3,0:34.0,,C. Reynolds misses 3-pt jump shot from 24 ft,95,76
3,0:32.0,Defensive rebound by N. Powell,,95,76
3,0:23.0,N. Powell misses 2-pt jump shot from 18 ft,,95,76
3,0:23.0,Offensive rebound by Team,,95,76
3,0:23.0,,Loose ball foul by A. Tolliver (drawn by C. Boucher),95,76
3,0:23.0,J. Meeks enters the game for F. VanVleet,,95,76
3,0:14.0,J. Lin makes 2-pt layup from 5 ft,,97,76
3,0:14.0,Shooting foul by K. Bates-Diop (drawn by J. Lin),,97,76
3,0:14.0,J. Lin makes free throw 1 of 1,,98,76
3,0:03.0,,J. Terrell makes 2-pt jump shot from 20 ft,98,78
3,0:00.0,J. Lin misses 3-pt jump shot from 30 ft,,98,78
3,0:00.0,Offensive rebound by Team,,98,78
4,11:47.0,C. Boucher makes 2-pt dunk from 2 ft (assist by N. Powell),,100,78
4,11:32.0,,Turnover by J. Terrell (bad pass; steal by N. Powell),100,78
4,11:29.0,N. Powell makes 2-pt dunk at rim,,102,78
4,11:15.0,,J. Terrell misses 2-pt jump shot from 19 ft,102,78
4,11:12.0,Defensive rebound by O. Anunoby,,102,78
4,11:06.0,O. Anunoby makes 2-pt layup from 3 ft,,104,78
4,10:48.0,Violation by Team (kicked ball),,104,78
4,10:40.0,,D. Šarić misses 3-pt jump shot from 25 ft,104,78
4,10:37.0,Defensive rebound by N. Powell,,104,78
4,10:30.0,C. Boucher misses 3-pt jump shot from 26 ft,,104,78
4,10:25.0,Offensive rebound by J. Lin,,104,78
4,10:21.0,C. Boucher misses 2-pt jump shot from 3 ft (block by A. Tolliver),,104,78
4,10:18.0,,Defensive rebound by C. Williams,104,78
4,10:10.0,,D. Šarić misses 2-pt layup from 2 ft,104,78
4,10:08.0,Defensive rebound by C. Boucher,,104,78
4,10:02.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by C. Boucher),,107,78
4,10:02.0,,Minnesota full timeout,107,78
4,10:02.0,,G. Dieng enters the game for K. Bates-Diop,107,78
4,10:02.0,,T. Jones enters the game for D. Šarić,107,78
4,10:02.0,,A. Wiggins enters the game for J. Terrell,107,78
4,9:50.0,,Personal foul by N. Powell (drawn by G. Dieng),107,78
4,9:41.0,,G. Dieng misses 2-pt jump shot from 15 ft,107,78
4,9:38.0,Defensive rebound by J. Lin,,107,78
4,9:25.0,N. Powell misses 2-pt layup from 3 ft (block by A. Tolliver),,107,78
4,9:22.0,,Defensive rebound by C. Williams,107,78
4,9:21.0,,C. Williams makes 2-pt layup from 2 ft (assist by T. Jones),107,80
4,9:21.0,,Shooting foul by J. Lin (drawn by C. Williams),107,80
4,9:21.0,,C. Williams misses free throw 1 of 1,107,80
