QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
2,9:20.0,,Offensive foul by D. Cousins (drawn by A. Baynes),43,27
2,9:20.0,,Turnover by D. Cousins (offensive foul),43,27
2,9:20.0,,J. Jerebko enters the game for D. Cousins,43,27
2,9:06.0,Personal foul by D. Green (drawn by J. Brown),,43,27
2,8:53.0,J. Tatum makes 2-pt jump shot from 20 ft,,45,27
2,8:40.0,,J. Jerebko misses 3-pt jump shot from 23 ft,45,27
2,8:38.0,,Offensive rebound by J. Evans,45,27
2,8:34.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),45,30
2,8:28.0,Turnover by J. Tatum (bad pass; steal by D. Green),,45,30
2,8:12.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by D. Green),45,32
2,8:00.0,Shooting foul by J. Jerebko (drawn by G. Hayward),,45,32
2,8:00.0,G. Hayward makes free throw 1 of 2,,46,32
2,8:00.0,A. Horford enters the game for A. Baynes,,46,32
2,8:00.0,,A. McKinnie enters the game for A. Iguodala,46,32
2,8:00.0,G. Hayward makes free throw 2 of 2,,47,32
2,7:47.0,,S. Curry misses 2-pt jump shot from 11 ft,47,32
2,7:46.0,Defensive rebound by G. Hayward,,47,32
2,7:29.0,J. Brown makes 2-pt dunk from 2 ft (assist by A. Horford),,49,32
2,7:10.0,,Turnover by D. Green (bad pass; steal by J. Tatum),49,32
2,7:08.0,Offensive foul by J. Brown (drawn by S. Curry),,49,32
2,7:08.0,Turnover by J. Brown (offensive foul),,49,32
2,7:08.0,M. Morris enters the game for G. Hayward,,49,32
2,7:08.0,,K. Durant enters the game for J. Evans,49,32
2,6:59.0,,Shooting foul by T. Rozier (drawn by K. Durant),49,32
2,6:59.0,,Golden State full timeout,49,32
2,6:59.0,,K. Durant makes free throw 1 of 2,49,33
2,6:59.0,,K. Durant makes free throw 2 of 2,49,34
2,6:48.0,J. Brown makes 2-pt layup from 2 ft (assist by M. Morris),,51,34
2,6:33.0,,Turnover by J. Jerebko (bad pass; steal by A. Horford),51,34
2,6:27.0,J. Tatum misses 2-pt layup from 3 ft (block by J. Jerebko),,51,34
2,6:26.0,Offensive rebound by Team,,51,34
2,6:14.0,T. Rozier misses 2-pt layup from 5 ft,,51,34
2,6:13.0,,Defensive rebound by J. Jerebko,51,34
2,6:04.0,,Personal foul by M. Morris (drawn by K. Durant),51,34
2,6:04.0,K. Irving enters the game for J. Brown,,51,34
2,6:04.0,M. Smart enters the game for T. Rozier,,51,34
2,6:04.0,,D. Lee enters the game for A. McKinnie,51,34
2,5:59.0,,S. Curry misses 3-pt jump shot from 27 ft,51,34
2,5:57.0,Defensive rebound by A. Horford,,51,34
2,5:44.0,M. Morris misses 3-pt jump shot from 27 ft,,51,34
2,5:42.0,,Defensive rebound by Team,51,34
2,5:42.0,Loose ball foul by A. Horford (drawn by J. Jerebko),,51,34
2,5:42.0,,J. Jerebko makes free throw 1 of 2,51,35
2,5:42.0,,J. Jerebko makes free throw 2 of 2,51,36
2,5:30.0,A. Horford makes 2-pt hook shot from 7 ft (assist by K. Irving),,53,36
2,5:20.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by J. Jerebko),53,39
2,5:08.0,K. Irving misses 2-pt jump shot from 18 ft,,53,39
2,5:07.0,,Defensive rebound by J. Jerebko,53,39
2,5:00.0,,K. Durant misses 3-pt jump shot from 27 ft,53,39
2,4:58.0,Defensive rebound by M. Morris,,53,39
2,4:48.0,Shooting foul by D. Green (drawn by J. Tatum),,53,39
2,4:48.0,J. Tatum makes free throw 1 of 2,,54,39
2,4:48.0,D. Theis enters the game for A. Horford,,54,39
2,4:48.0,,J. Bell enters the game for J. Jerebko,54,39
2,4:48.0,J. Tatum makes free throw 2 of 2,,55,39
2,4:41.0,,Shooting foul by D. Theis (drawn by K. Durant),55,39
2,4:41.0,,K. Durant misses free throw 1 of 2,55,39
2,4:41.0,,Offensive rebound by Team,55,39
2,4:41.0,,K. Durant makes free throw 2 of 2,55,40
2,4:25.0,Personal foul by S. Curry (drawn by K. Irving),,55,40
2,4:25.0,K. Irving makes free throw 1 of 2,,56,40
2,4:25.0,K. Irving makes free throw 2 of 2,,57,40
2,4:08.0,,K. Durant misses 2-pt layup from 3 ft,57,40
2,4:07.0,,Offensive rebound by D. Green,57,40
2,4:07.0,,D. Green makes 2-pt layup at rim,57,42
2,4:00.0,K. Irving makes 2-pt jump shot from 19 ft,,59,42
2,3:53.0,,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),59,44
2,3:53.0,Boston full timeout,,59,44
2,3:53.0,G. Hayward enters the game for J. Tatum,,59,44
2,3:42.0,K. Irving misses 2-pt jump shot from 17 ft,,59,44
2,3:41.0,,Defensive rebound by D. Green,59,44
2,3:34.0,,Turnover by K. Durant (bad pass; steal by G. Hayward),59,44
2,3:28.0,M. Morris misses 2-pt jump shot from 15 ft,,59,44
2,3:27.0,Offensive rebound by D. Theis,,59,44
2,3:22.0,G. Hayward makes 3-pt jump shot from 28 ft (assist by D. Theis),,62,44
2,3:06.0,,Offensive foul by K. Durant (drawn by M. Smart),62,44
2,3:06.0,,Turnover by K. Durant (offensive foul),62,44
2,3:06.0,J. Brown enters the game for M. Morris,,62,44
2,2:54.0,Turnover by D. Theis (traveling),,62,44
2,2:49.0,,Turnover by S. Curry (bad pass; steal by M. Smart),62,44
2,2:40.0,G. Hayward makes 2-pt layup from 2 ft (assist by M. Smart),,64,44
2,2:30.0,,Shooting foul by J. Brown (drawn by S. Curry),64,44
2,2:30.0,,S. Curry makes free throw 1 of 3,64,45
2,2:30.0,,S. Curry makes free throw 2 of 3,64,46
2,2:30.0,M. Morris enters the game for J. Brown,,64,46
2,2:30.0,,S. Curry makes free throw 3 of 3,64,47
2,2:21.0,K. Irving misses 2-pt jump shot from 14 ft,,64,47
2,2:20.0,,Defensive rebound by D. Green,64,47
2,2:13.0,,J. Bell misses 2-pt dunk from 2 ft,64,47
2,2:12.0,Defensive rebound by M. Smart,,64,47
2,2:06.0,M. Morris makes 3-pt jump shot from 23 ft (assist by G. Hayward),,67,47
2,1:51.0,,S. Curry misses 3-pt jump shot from 27 ft,67,47
2,1:49.0,Defensive rebound by K. Irving,,67,47
2,1:37.0,G. Hayward makes 2-pt layup from 3 ft (assist by M. Smart),,69,47
2,1:21.0,,K. Durant misses 2-pt jump shot from 13 ft,69,47
2,1:20.0,,Offensive rebound by J. Bell,69,47
2,1:14.0,,Turnover by J. Bell (bad pass),69,47
2,1:04.0,Offensive foul by M. Morris (drawn by J. Bell),,69,47
2,1:04.0,Turnover by M. Morris (offensive foul),,69,47
2,1:04.0,S. Ojeleye enters the game for M. Morris,,69,47
2,0:51.0,,Personal foul by G. Hayward (drawn by K. Durant),69,47
2,0:51.0,,K. Durant makes free throw 1 of 2,69,48
2,0:51.0,,K. Durant misses free throw 2 of 2,69,48
2,0:50.0,Defensive rebound by G. Hayward,,69,48
2,0:37.0,M. Smart misses 3-pt jump shot from 23 ft,,69,48
2,0:34.0,Offensive rebound by D. Theis,,69,48
2,0:28.0,K. Irving makes 2-pt jump shot from 18 ft,,71,48
2,0:08.0,,D. Lee misses 3-pt jump shot from 25 ft,71,48
2,0:07.0,Defensive rebound by D. Theis,,71,48
2,0:02.0,M. Smart makes 2-pt jump shot from 23 ft (assist by D. Theis),,73,48
2,0:00.0,,S. Curry misses 3-pt jump shot from 54 ft,73,48
2,0:00.0,,Offensive rebound by Team,73,48
3,11:44.0,,D. Cousins misses 2-pt hook shot from 7 ft (block by J. Tatum),73,48
3,11:42.0,Defensive rebound by K. Irving,,73,48
3,11:38.0,M. Smart misses 3-pt jump shot from 23 ft,,73,48
3,11:36.0,,Defensive rebound by D. Cousins,73,48
3,11:31.0,,K. Durant misses 3-pt jump shot from 29 ft,73,48
3,11:29.0,,Offensive rebound by A. McKinnie,73,48
3,11:23.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Cousins),73,50
3,11:12.0,J. Tatum makes 2-pt dunk from 1 ft (assist by M. Smart),,75,50
3,11:00.0,,Turnover by D. Green (bad pass),75,50
3,10:45.0,Turnover by K. Irving (bad pass; steal by A. McKinnie),,75,50
3,10:40.0,,Personal take foul by K. Irving (drawn by A. McKinnie),75,50
3,10:27.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by D. Cousins),75,52
3,10:12.0,Personal foul by A. McKinnie (drawn by A. Horford),,75,52
3,9:58.0,M. Morris misses 3-pt jump shot from 27 ft,,75,52
3,9:56.0,,Defensive rebound by A. McKinnie,75,52
3,9:44.0,,D. Cousins misses 3-pt jump shot from 26 ft,75,52
3,9:40.0,Defensive rebound by M. Smart,,75,52
3,9:33.0,Personal foul by D. Cousins (drawn by J. Tatum),,75,52
3,9:30.0,K. Irving misses 3-pt jump shot from 26 ft,,75,52
3,9:28.0,,Defensive rebound by K. Durant,75,52
3,9:25.0,,Shooting foul by J. Tatum (drawn by K. Durant),75,52
3,9:25.0,,K. Durant makes free throw 1 of 2,75,53
3,9:25.0,,K. Durant makes free throw 2 of 2,75,54
3,9:16.0,Personal foul by A. McKinnie (drawn by M. Smart),,75,54
3,9:05.0,J. Tatum misses 3-pt jump shot from 25 ft,,75,54
3,9:03.0,,Defensive rebound by S. Curry,75,54
3,8:54.0,,D. Cousins makes 2-pt layup from 3 ft (assist by A. McKinnie),75,56
3,8:30.0,M. Smart misses 2-pt jump shot from 18 ft,,75,56
3,8:29.0,Offensive rebound by K. Irving,,75,56
3,8:23.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,78,56
3,8:14.0,,S. Curry misses 2-pt layup from 2 ft,78,56
3,8:13.0,Defensive rebound by A. Horford,,78,56
3,8:06.0,J. Tatum misses 3-pt jump shot from 23 ft,,78,56
3,8:04.0,,Defensive rebound by S. Curry,78,56
3,7:59.0,,A. McKinnie makes 2-pt layup from 3 ft (assist by S. Curry),78,58
3,7:59.0,,Shooting foul by M. Smart (drawn by A. McKinnie),78,58
3,7:59.0,,A. McKinnie makes free throw 1 of 1,78,59
3,7:42.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),,81,59
3,7:28.0,,A. McKinnie misses 3-pt jump shot from 23 ft,81,59
3,7:26.0,Defensive rebound by J. Tatum,,81,59
3,7:20.0,J. Tatum makes 2-pt layup from 2 ft,,83,59
3,7:20.0,Shooting foul by D. Green (drawn by J. Tatum),,83,59
3,7:20.0,J. Tatum makes free throw 1 of 1,,84,59
3,7:15.0,,Golden State full timeout,84,59
3,6:58.0,,D. Cousins makes 2-pt jump shot from 5 ft,84,61
3,6:49.0,Offensive foul by M. Morris (drawn by D. Green),,84,61
3,6:49.0,Turnover by M. Morris (offensive foul),,84,61
3,6:41.0,,S. Curry misses 3-pt jump shot from 32 ft,84,61
3,6:39.0,,Offensive rebound by D. Green,84,61
3,6:27.0,,S. Curry makes 2-pt jump shot from 23 ft (assist by D. Cousins),84,63
3,6:09.0,M. Morris misses 3-pt jump shot from 23 ft,,84,63
3,6:07.0,,Defensive rebound by D. Cousins,84,63
3,6:03.0,,K. Durant misses 2-pt layup from 3 ft (block by J. Tatum),84,63
3,6:02.0,Defensive rebound by J. Tatum,,84,63
3,5:58.0,Personal take foul by D. Green (drawn by K. Irving),,84,63
3,5:58.0,K. Irving misses free throw 1 of 2,,84,63
3,5:58.0,Offensive rebound by Team,,84,63
3,5:58.0,A. Baynes enters the game for A. Horford,,84,63
3,5:58.0,J. Brown enters the game for M. Morris,,84,63
3,5:58.0,G. Hayward enters the game for J. Tatum,,84,63
3,5:58.0,,J. Bell enters the game for D. Green,84,63
3,5:58.0,K. Irving makes free throw 2 of 2,,85,63
3,5:48.0,,K. Durant makes 2-pt jump shot from 11 ft,85,65
3,5:31.0,M. Smart misses 3-pt jump shot from 23 ft,,85,65
3,5:29.0,,Defensive rebound by K. Durant,85,65
3,5:24.0,,A. McKinnie makes 2-pt dunk from 2 ft (assist by K. Durant),85,67
3,5:19.0,K. Irving makes 2-pt layup from 10 ft (assist by J. Brown),,87,67
3,5:10.0,,Turnover by S. Curry (lost ball; steal by M. Smart),87,67
3,5:07.0,K. Irving misses 2-pt layup from 8 ft,,87,67
3,5:06.0,Offensive rebound by J. Brown,,87,67
3,5:06.0,J. Brown misses 2-pt layup at rim,,87,67
3,5:05.0,,Defensive rebound by D. Cousins,87,67
3,5:00.0,,Shooting foul by A. Baynes (drawn by D. Cousins),87,67
3,5:00.0,,D. Cousins misses free throw 1 of 2,87,67
3,5:00.0,,Offensive rebound by Team,87,67
3,5:00.0,,A. Iguodala enters the game for A. McKinnie,87,67
3,5:00.0,,D. Cousins makes free throw 2 of 2,87,68
3,4:43.0,J. Brown misses 2-pt jump shot from 16 ft,,87,68
3,4:42.0,,Defensive rebound by D. Cousins,87,68
3,4:35.0,,J. Bell makes 2-pt layup from 1 ft (assist by S. Curry),87,70
3,4:33.0,Boston full timeout,,87,70
3,4:25.0,G. Hayward misses 3-pt jump shot from 27 ft,,87,70
3,4:23.0,,Defensive rebound by S. Curry,87,70
3,4:17.0,,K. Durant misses 3-pt jump shot from 27 ft,87,70
3,4:08.0,Defensive rebound by J. Brown,,87,70
3,3:58.0,G. Hayward makes 2-pt jump shot from 22 ft (assist by K. Irving),,89,70
3,3:46.0,,Turnover by S. Curry (lost ball; steal by K. Irving),89,70
3,3:42.0,K. Irving misses 2-pt jump shot from 11 ft,,89,70
3,3:38.0,,Defensive rebound by A. Iguodala,89,70
3,3:37.0,,K. Durant makes 2-pt dunk from 2 ft (assist by A. Iguodala),89,72
3,3:24.0,M. Smart makes 2-pt jump shot from 14 ft,,91,72
3,3:12.0,,D. Cousins misses 3-pt jump shot from 26 ft,91,72
3,3:10.0,,Offensive rebound by J. Bell,91,72
3,3:00.0,,J. Bell makes 2-pt layup from 2 ft (assist by K. Durant),91,74
3,2:36.0,J. Brown makes 2-pt jump shot from 19 ft (assist by G. Hayward),,93,74
3,2:22.0,,Shooting foul by K. Irving (drawn by A. Iguodala),93,74
3,2:22.0,,A. Iguodala makes free throw 1 of 2,93,75
3,2:22.0,A. Horford enters the game for A. Baynes,,93,75
3,2:22.0,T. Rozier enters the game for M. Smart,,93,75
3,2:22.0,,D. Lee enters the game for D. Cousins,93,75
3,2:22.0,,A. Iguodala makes free throw 2 of 2,93,76
3,2:08.0,J. Brown misses 2-pt jump shot from 8 ft,,93,76
3,2:07.0,,Defensive rebound by A. Iguodala,93,76
3,1:55.0,,Turnover by K. Durant (bad pass; steal by G. Hayward),93,76
3,1:52.0,G. Hayward makes 2-pt dunk from 1 ft,,95,76
3,1:46.0,,D. Lee misses 3-pt jump shot from 26 ft,95,76
3,1:44.0,Defensive rebound by A. Horford,,95,76
3,1:36.0,J. Brown makes 2-pt layup from 2 ft (assist by K. Irving),,97,76
3,1:17.0,,J. Bell misses 2-pt jump shot from 10 ft,97,76
3,1:16.0,Defensive rebound by T. Rozier,,97,76
3,1:13.0,Turnover by T. Rozier (lost ball; steal by S. Curry),,97,76
3,1:09.0,,S. Curry misses 3-pt jump shot from 25 ft,97,76
3,1:07.0,Defensive rebound by G. Hayward,,97,76
3,0:59.0,G. Hayward makes 2-pt jump shot from 12 ft (assist by K. Irving),,99,76
3,0:48.0,,K. Durant misses 3-pt jump shot from 27 ft,99,76
3,0:47.0,Defensive rebound by G. Hayward,,99,76
3,0:40.0,K. Irving makes 3-pt jump shot from 23 ft (assist by T. Rozier),,102,76
3,0:33.0,,Offensive foul by S. Curry (drawn by K. Irving),102,76
3,0:33.0,,Turnover by S. Curry (offensive foul),102,76
3,0:33.0,,Q. Cook enters the game for S. Curry,102,76
3,0:16.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by K. Irving),,105,76
4,11:50.0,T. Rozier makes 2-pt layup from 2 ft (assist by G. Hayward),,107,76
4,11:50.0,Shooting foul by Q. Cook (drawn by T. Rozier),,107,76
4,11:50.0,T. Rozier makes free throw 1 of 1,,108,76
4,11:31.0,,D. Cousins makes 2-pt jump shot from 10 ft,108,78
4,11:31.0,,Shooting foul by A. Horford (drawn by D. Cousins),108,78
4,11:31.0,,D. Cousins makes free throw 1 of 1,108,79
4,11:11.0,J. Brown misses 2-pt jump shot from 14 ft,,108,79
4,11:10.0,,Defensive rebound by D. Lee,108,79
4,10:53.0,,D. Lee misses 2-pt jump shot from 16 ft,108,79
4,10:52.0,Defensive rebound by T. Rozier,,108,79
4,10:46.0,J. Brown misses 3-pt jump shot from 25 ft,,108,79
4,10:44.0,,Defensive rebound by J. Evans,108,79
4,10:44.0,A. Baynes enters the game for A. Horford,,108,79
4,10:28.0,,D. Cousins misses 3-pt jump shot from 27 ft,108,79
4,10:26.0,Defensive rebound by J. Tatum,,108,79
4,10:20.0,G. Hayward misses 2-pt layup from 4 ft,,108,79
4,10:19.0,,Defensive rebound by D. Lee,108,79
4,10:12.0,,Turnover by D. Lee (bad pass; steal by T. Rozier),108,79
4,10:10.0,G. Hayward makes 2-pt dunk from 1 ft (assist by T. Rozier),,110,79
4,9:45.0,,Q. Cook misses 2-pt layup from 3 ft,110,79
4,9:43.0,Defensive rebound by A. Baynes,,110,79
4,9:31.0,J. Tatum misses 2-pt jump shot from 20 ft,,110,79
4,9:30.0,,Defensive rebound by J. Jerebko,110,79
4,9:15.0,,Q. Cook makes 3-pt jump shot from 25 ft (assist by J. Evans),110,82
4,8:58.0,G. Hayward misses 2-pt jump shot from 18 ft,,110,82
4,8:56.0,,Defensive rebound by Q. Cook,110,82
4,8:44.0,,Offensive foul by D. Cousins (drawn by A. Baynes),110,82
4,8:44.0,,Turnover by D. Cousins (offensive foul),110,82
4,8:44.0,Technical foul by T. Rozier,,110,82
4,8:44.0,,Technical foul by D. Cousins,110,82
4,8:32.0,T. Rozier misses 3-pt jump shot from 30 ft,,110,82
4,8:30.0,,Defensive rebound by J. Jerebko,110,82
4,8:29.0,,Personal take foul by T. Rozier (drawn by D. Cousins),110,82
4,8:14.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by J. Jerebko),110,85
4,7:48.0,J. Brown makes 2-pt jump shot from 13 ft,,112,85
4,7:36.0,,Q. Cook misses 2-pt layup from 2 ft (block by T. Rozier),112,85
4,7:35.0,,Offensive rebound by Team,112,85
4,7:26.0,,D. Cousins misses 2-pt layup from 2 ft,112,85
4,7:26.0,Defensive rebound by A. Baynes,,112,85
4,7:12.0,J. Tatum misses 2-pt jump shot from 8 ft,,112,85
4,7:11.0,,Defensive rebound by D. Cousins,112,85
4,7:06.0,,Personal foul by J. Tatum (drawn by J. Jerebko),112,85
4,7:06.0,D. Theis enters the game for A. Baynes,,112,85
4,7:06.0,,J. Bell enters the game for D. Cousins,112,85
4,6:47.0,,J. Bell misses 2-pt jump shot from 11 ft,112,85
4,6:47.0,,Offensive rebound by Team,112,85
4,6:47.0,,Turnover by Team (shot clock),112,85
4,6:47.0,,Golden State full timeout,112,85
4,6:34.0,T. Rozier misses 3-pt jump shot from 27 ft,,112,85
4,6:30.0,Offensive rebound by G. Hayward,,112,85
4,6:27.0,D. Theis misses 3-pt jump shot from 27 ft,,112,85
4,6:24.0,,Defensive rebound by D. Lee,112,85
4,6:06.0,,Turnover by J. Bell (lost ball; steal by J. Tatum),112,85
4,5:52.0,J. Brown misses 2-pt jump shot from 13 ft,,112,85
4,5:48.0,,Defensive rebound by J. Bell,112,85
4,5:36.0,,J. Evans makes 2-pt jump shot from 14 ft (assist by Q. Cook),112,87
4,5:20.0,J. Tatum misses 2-pt jump shot from 17 ft,,112,87
4,5:15.0,Offensive rebound by D. Theis,,112,87
4,5:13.0,J. Brown makes 3-pt jump shot from 27 ft (assist by D. Theis),,115,87
4,5:01.0,,Q. Cook misses 3-pt jump shot from 26 ft,115,87
4,5:00.0,Defensive rebound by Team,,115,87
4,5:00.0,S. Ojeleye enters the game for G. Hayward,,115,87
4,5:00.0,B. Wanamaker enters the game for J. Tatum,,115,87
