QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
1,4:20.0,,T. Young misses 2-pt jump shot from 11 ft,19,21
1,4:18.0,Defensive rebound by N. Vučević,,19,21
1,4:13.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),,22,21
1,3:48.0,,O. Spellman misses 3-pt jump shot from 23 ft,22,21
1,3:46.0,Defensive rebound by W. Iwundu,,22,21
1,3:41.0,J. Isaac misses 3-pt jump shot from 25 ft,,22,21
1,3:38.0,,Defensive rebound by D. Dedmon,22,21
1,3:28.0,,Turnover by T. Young (bad pass),22,21
1,3:28.0,T. Ross enters the game for E. Fournier,,22,21
1,3:28.0,,A. Len enters the game for D. Dedmon,22,21
1,3:28.0,,J. Lin enters the game for T. Young,22,21
1,3:15.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by W. Iwundu),,24,21
1,3:00.0,,Shooting foul by J. Isaac (drawn by A. Len),24,21
1,3:00.0,,A. Len makes free throw 1 of 2,24,22
1,3:00.0,K. Birch enters the game for J. Isaac,,24,22
1,3:00.0,A. Gordon enters the game for N. Vučević,,24,22
1,3:00.0,,K. Bazemore enters the game for T. Prince,24,22
1,3:00.0,,A. Len makes free throw 2 of 2,24,23
1,2:44.0,Turnover by T. Ross (bad pass; steal by O. Spellman),,24,23
1,2:32.0,,Offensive foul by A. Len (drawn by I. Briscoe),24,23
1,2:32.0,,Turnover by A. Len (offensive foul),24,23
1,2:32.0,,Atlanta full timeout,24,23
1,2:23.0,T. Ross misses 2-pt jump shot from 20 ft,,24,23
1,2:19.0,,Defensive rebound by O. Spellman,24,23
1,2:07.0,,D. Bembry makes 2-pt dunk from 1 ft (assist by J. Lin),24,25
1,1:54.0,Offensive foul by I. Briscoe (drawn by J. Lin),,24,25
1,1:54.0,Turnover by I. Briscoe (offensive foul),,24,25
1,1:46.0,,Personal foul by I. Briscoe (drawn by J. Lin),24,25
1,1:40.0,,A. Len misses 2-pt jump shot from 6 ft (block by K. Birch),24,25
1,1:37.0,Defensive rebound by A. Gordon,,24,25
1,1:32.0,I. Briscoe makes 2-pt layup from 1 ft (assist by A. Gordon),,26,25
1,1:06.0,,D. Bembry misses 3-pt jump shot from 23 ft,26,25
1,1:02.0,Defensive rebound by K. Birch,,26,25
1,0:58.0,A. Gordon misses 3-pt jump shot from 25 ft,,26,25
1,0:54.0,,Defensive rebound by D. Bembry,26,25
1,0:45.0,,K. Bazemore misses 3-pt jump shot from 25 ft,26,25
1,0:43.0,,Offensive rebound by O. Spellman,26,25
1,0:41.0,,D. Bembry misses 2-pt layup at rim,26,25
1,0:38.0,Defensive rebound by K. Birch,,26,25
1,0:30.0,I. Briscoe misses 2-pt layup from 2 ft,,26,25
1,0:28.0,,Defensive rebound by A. Len,26,25
1,0:14.0,,A. Len misses 2-pt dunk from 1 ft (block by A. Gordon),26,25
1,0:11.0,Defensive rebound by T. Ross,,26,25
1,0:01.0,Personal foul by A. Len (drawn by W. Iwundu),,26,25
1,0:00.0,I. Briscoe misses 3-pt jump shot from 23 ft,,26,25
1,0:00.0,Offensive rebound by Team,,26,25
2,11:48.0,Shooting foul by D. Bembry (drawn by T. Ross),,26,25
2,11:48.0,T. Ross makes free throw 1 of 3,,27,25
2,11:48.0,T. Ross makes free throw 2 of 3,,28,25
2,11:48.0,T. Ross makes free throw 3 of 3,,29,25
2,11:35.0,,J. Lin misses 2-pt jump shot from 7 ft,29,25
2,11:31.0,Defensive rebound by K. Birch,,29,25
2,11:27.0,T. Ross misses 3-pt jump shot from 25 ft,,29,25
2,11:24.0,Offensive rebound by W. Iwundu,,29,25
2,11:22.0,W. Iwundu makes 2-pt layup from 1 ft,,31,25
2,11:05.0,,Shooting foul by A. Gordon (drawn by A. Len),31,25
2,11:05.0,,A. Len misses free throw 1 of 2,31,25
2,11:05.0,,Offensive rebound by Team,31,25
2,11:05.0,,A. Len misses free throw 2 of 2,31,25
2,11:02.0,Defensive rebound by W. Iwundu,,31,25
2,10:47.0,T. Ross makes 2-pt jump shot from 16 ft (assist by A. Gordon),,33,25
2,10:36.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by A. Len),33,27
2,10:24.0,Personal foul by O. Spellman (drawn by A. Gordon),,33,27
2,10:14.0,T. Ross misses 3-pt jump shot from 25 ft,,33,27
2,10:13.0,,Defensive rebound by Team,33,27
2,10:05.0,,Turnover by K. Bazemore (bad pass),33,27
2,9:49.0,I. Briscoe misses 2-pt layup from 3 ft (block by A. Len),,33,27
2,9:49.0,,Defensive rebound by Team,33,27
2,9:31.0,,K. Bazemore makes 2-pt jump shot from 17 ft,33,29
2,9:13.0,W. Iwundu makes 2-pt jump shot from 20 ft (assist by T. Ross),,35,29
2,9:02.0,,Shooting foul by A. Gordon (drawn by J. Lin),35,29
2,9:02.0,,J. Lin makes free throw 1 of 2,35,30
2,9:02.0,J. Isaac enters the game for A. Gordon,,35,30
2,9:02.0,,J. Lin makes free throw 2 of 2,35,31
2,8:51.0,Personal foul by D. Bembry (drawn by T. Ross),,35,31
2,8:51.0,,K. Huerter enters the game for D. Bembry,35,31
2,8:43.0,J. Isaac makes 2-pt layup from 2 ft,,37,31
2,8:31.0,,J. Lin makes 2-pt jump shot from 9 ft,37,33
2,8:19.0,J. Isaac misses 3-pt jump shot from 26 ft,,37,33
2,8:16.0,,Defensive rebound by K. Huerter,37,33
2,8:09.0,,K. Huerter misses 3-pt jump shot from 25 ft,37,33
2,8:06.0,Defensive rebound by K. Birch,,37,33
2,8:00.0,T. Ross misses 3-pt jump shot from 25 ft,,37,33
2,7:56.0,Offensive rebound by K. Birch,,37,33
2,7:54.0,Turnover by K. Birch (lost ball; steal by K. Bazemore),,37,33
2,7:52.0,,Offensive foul by J. Lin (drawn by I. Briscoe),37,33
2,7:52.0,,Turnover by J. Lin (offensive foul),37,33
2,7:52.0,E. Fournier enters the game for T. Ross,,37,33
2,7:52.0,,J. Collins enters the game for J. Lin,37,33
2,7:52.0,,T. Young enters the game for O. Spellman,37,33
2,7:37.0,I. Briscoe misses 3-pt jump shot from 24 ft,,37,33
2,7:32.0,,Defensive rebound by K. Huerter,37,33
2,7:23.0,,K. Bazemore misses 2-pt layup from 11 ft,37,33
2,7:20.0,Defensive rebound by W. Iwundu,,37,33
2,7:17.0,W. Iwundu misses 2-pt layup from 6 ft,,37,33
2,7:14.0,Offensive rebound by J. Isaac,,37,33
2,7:10.0,Shooting foul by A. Len (drawn by W. Iwundu),,37,33
2,7:10.0,W. Iwundu makes free throw 1 of 2,,38,33
2,7:10.0,D. Augustin enters the game for K. Birch,,38,33
2,7:10.0,N. Vučević enters the game for I. Briscoe,,38,33
2,7:10.0,W. Iwundu makes free throw 2 of 2,,39,33
2,6:47.0,,K. Huerter misses 2-pt layup from 1 ft (block by J. Isaac),39,33
2,6:45.0,Defensive rebound by N. Vučević,,39,33
2,6:29.0,Shooting foul by A. Len (drawn by J. Isaac),,39,33
2,6:29.0,,Atlanta full timeout,39,33
2,6:29.0,,D. Dedmon enters the game for K. Bazemore,39,33
2,6:29.0,,T. Prince enters the game for A. Len,39,33
2,6:29.0,J. Isaac makes free throw 1 of 2,,40,33
2,6:29.0,J. Isaac makes free throw 2 of 2,,41,33
2,6:18.0,,J. Collins misses 2-pt layup from 1 ft (block by J. Isaac),41,33
2,6:15.0,,Offensive rebound by J. Collins,41,33
2,6:14.0,,J. Collins misses 2-pt layup from 1 ft (block by J. Isaac),41,33
2,6:12.0,,Offensive rebound by T. Young,41,33
2,6:08.0,,J. Collins misses 2-pt layup from 1 ft (block by J. Isaac),41,33
2,6:05.0,Defensive rebound by J. Isaac,,41,33
2,6:00.0,D. Augustin misses 3-pt jump shot from 26 ft,,41,33
2,5:56.0,,Defensive rebound by K. Huerter,41,33
2,5:53.0,,Personal foul by W. Iwundu (drawn by T. Young),41,33
2,5:47.0,,Turnover by T. Young (lost ball; steal by J. Isaac),41,33
2,5:37.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by D. Augustin),,44,33
2,5:14.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Collins),44,36
2,4:58.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by D. Augustin),,47,36
2,4:36.0,,T. Young makes 2-pt jump shot from 17 ft (assist by T. Prince),47,38
2,4:19.0,N. Vučević misses 2-pt jump shot from 12 ft,,47,38
2,4:15.0,,Defensive rebound by T. Young,47,38
2,4:13.0,,Personal foul by W. Iwundu (drawn by T. Young),47,38
2,4:13.0,J. Martin enters the game for J. Isaac,,47,38
2,4:13.0,T. Ross enters the game for W. Iwundu,,47,38
2,4:10.0,,J. Collins misses 3-pt jump shot from 25 ft,47,38
2,4:07.0,Defensive rebound by T. Ross,,47,38
2,4:00.0,D. Augustin makes 2-pt layup from 1 ft,,49,38
2,3:45.0,,Shooting foul by N. Vučević (drawn by J. Collins),49,38
2,3:45.0,,J. Collins makes free throw 1 of 2,49,39
2,3:45.0,,J. Collins makes free throw 2 of 2,49,40
2,3:27.0,J. Martin misses 3-pt jump shot from 23 ft,,49,40
2,3:24.0,,Defensive rebound by D. Dedmon,49,40
2,3:18.0,,T. Prince misses 3-pt jump shot from 23 ft,49,40
2,3:14.0,Defensive rebound by J. Martin,,49,40
2,2:57.0,J. Martin makes 3-pt jump shot from 23 ft (assist by T. Ross),,52,40
2,2:35.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Prince),52,42
2,2:35.0,,Shooting foul by J. Martin (drawn by J. Collins),52,42
2,2:35.0,Orlando full timeout,,52,42
2,2:35.0,,J. Collins makes free throw 1 of 1,52,43
2,2:22.0,E. Fournier misses 2-pt layup from 2 ft,,52,43
2,2:19.0,,Defensive rebound by J. Collins,52,43
2,2:15.0,,K. Huerter makes 3-pt jump shot from 30 ft (assist by T. Young),52,46
2,1:52.0,E. Fournier misses 3-pt jump shot from 25 ft,,52,46
2,1:49.0,Offensive rebound by N. Vučević,,52,46
2,1:41.0,T. Ross misses 3-pt jump shot from 25 ft,,52,46
2,1:35.0,Offensive rebound by N. Vučević,,52,46
2,1:35.0,N. Vučević makes 2-pt layup at rim,,54,46
2,1:20.0,,Turnover by K. Huerter (bad pass),54,46
2,1:12.0,Personal foul by D. Dedmon (drawn by E. Fournier),,54,46
2,1:12.0,E. Fournier makes free throw 1 of 2,,55,46
2,1:12.0,E. Fournier makes free throw 2 of 2,,56,46
2,0:56.0,,Turnover by J. Collins (3 sec),56,46
2,0:43.0,J. Martin makes 3-pt jump shot from 24 ft (assist by D. Augustin),,59,46
2,0:34.0,,T. Young misses 3-pt jump shot from 25 ft,59,46
2,0:31.0,Defensive rebound by T. Ross,,59,46
2,0:24.0,Shooting foul by J. Collins (drawn by N. Vučević),,59,46
2,0:24.0,N. Vučević makes free throw 1 of 2,,60,46
2,0:24.0,N. Vučević makes free throw 2 of 2,,61,46
2,0:05.0,,Shooting foul by D. Augustin (drawn by T. Young),61,46
2,0:05.0,,T. Young makes free throw 1 of 2,61,47
2,0:05.0,,T. Young makes free throw 2 of 2,61,48
2,0:01.0,D. Augustin makes 2-pt layup from 1 ft,,63,48
3,11:36.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),,65,48
3,11:15.0,,T. Young misses 2-pt jump shot from 19 ft,65,48
3,11:12.0,Defensive rebound by N. Vučević,,65,48
3,11:07.0,Shooting foul by T. Young (drawn by D. Augustin),,65,48
3,11:07.0,D. Augustin misses free throw 1 of 2,,65,48
3,11:07.0,Offensive rebound by Team,,65,48
3,11:07.0,D. Augustin makes free throw 2 of 2,,66,48
3,10:59.0,,T. Young misses 2-pt jump shot from 13 ft,66,48
3,10:55.0,Defensive rebound by D. Augustin,,66,48
3,10:52.0,D. Augustin misses 2-pt layup from 1 ft (block by T. Prince),,66,48
3,10:49.0,,Defensive rebound by D. Dedmon,66,48
3,10:44.0,,Turnover by D. Dedmon (bad pass),66,48
3,10:31.0,E. Fournier makes 2-pt dunk from 1 ft (assist by N. Vučević),,68,48
3,10:31.0,,Atlanta full timeout,68,48
3,10:20.0,,K. Huerter misses 2-pt jump shot from 12 ft,68,48
3,10:17.0,Defensive rebound by N. Vučević,,68,48
3,10:06.0,A. Gordon misses 3-pt jump shot from 23 ft,,68,48
3,10:01.0,,Defensive rebound by T. Young,68,48
3,9:51.0,,K. Huerter misses 3-pt jump shot from 25 ft,68,48
3,9:47.0,Defensive rebound by E. Fournier,,68,48
3,9:32.0,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),,70,48
3,9:18.0,,D. Dedmon misses 3-pt jump shot from 25 ft,70,48
3,9:14.0,Defensive rebound by D. Augustin,,70,48
3,9:11.0,Personal foul by T. Young (drawn by D. Augustin),,70,48
3,9:05.0,A. Gordon misses 2-pt jump shot from 22 ft,,70,48
3,9:01.0,,Defensive rebound by D. Dedmon,70,48
3,8:54.0,,D. Dedmon misses 3-pt jump shot from 25 ft,70,48
3,8:50.0,Defensive rebound by D. Augustin,,70,48
3,8:37.0,N. Vučević misses 2-pt jump shot from 12 ft,,70,48
3,8:33.0,,Defensive rebound by T. Prince,70,48
3,8:14.0,,D. Dedmon makes 2-pt dunk from 2 ft (assist by K. Huerter),70,50
3,7:56.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by D. Augustin),,73,50
3,7:42.0,,Turnover by T. Prince (bad pass; steal by E. Fournier),73,50
3,7:38.0,J. Isaac makes 2-pt dunk from 1 ft (assist by E. Fournier),,75,50
3,7:38.0,,Atlanta full timeout,75,50
3,7:38.0,,K. Bazemore enters the game for J. Collins,75,50
3,7:38.0,,D. Bembry enters the game for D. Dedmon,75,50
3,7:38.0,,A. Len enters the game for K. Huerter,75,50
3,7:38.0,,J. Lin enters the game for T. Prince,75,50
3,7:38.0,,O. Spellman enters the game for T. Young,75,50
3,7:19.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by O. Spellman),75,53
3,6:58.0,E. Fournier makes 2-pt jump shot from 23 ft,,77,53
3,6:47.0,,J. Lin misses 2-pt jump shot from 9 ft,77,53
3,6:43.0,Defensive rebound by N. Vučević,,77,53
3,6:34.0,D. Augustin makes 2-pt jump shot from 14 ft,,79,53
3,6:13.0,,Shooting foul by N. Vučević (drawn by A. Len),79,53
3,6:13.0,,A. Len makes free throw 1 of 2,79,54
3,6:13.0,,A. Len makes free throw 2 of 2,79,55
3,5:59.0,A. Gordon misses 3-pt jump shot from 25 ft,,79,55
3,5:55.0,,Defensive rebound by J. Lin,79,55
3,5:55.0,,Personal foul by E. Fournier (drawn by J. Lin),79,55
3,5:55.0,W. Iwundu enters the game for A. Gordon,,79,55
3,5:35.0,,A. Len makes 2-pt dunk from 1 ft (assist by K. Bazemore),79,57
3,5:25.0,Personal foul by J. Lin (drawn by D. Augustin),,79,57
3,5:12.0,J. Isaac makes 3-pt jump shot from 26 ft (assist by W. Iwundu),,82,57
3,4:58.0,,A. Len makes 3-pt jump shot from 26 ft (assist by K. Bazemore),82,60
3,4:41.0,J. Isaac misses 3-pt jump shot from 26 ft,,82,60
3,4:39.0,,Defensive rebound by A. Len,82,60
3,4:34.0,,Turnover by K. Bazemore (bad pass; steal by D. Augustin),82,60
3,4:29.0,D. Augustin misses 2-pt layup at rim,,82,60
3,4:27.0,Offensive rebound by W. Iwundu,,82,60
3,4:27.0,W. Iwundu misses 2-pt layup from 1 ft (block by D. Bembry),,82,60
3,4:27.0,Offensive rebound by W. Iwundu,,82,60
3,4:27.0,Shooting foul by K. Bazemore (drawn by W. Iwundu),,82,60
3,4:27.0,W. Iwundu makes free throw 1 of 2,,83,60
3,4:27.0,I. Briscoe enters the game for D. Augustin,,83,60
3,4:27.0,W. Iwundu makes free throw 2 of 2,,84,60
3,4:09.0,,J. Lin misses 2-pt jump shot from 13 ft,84,60
3,4:09.0,Defensive rebound by N. Vučević,,84,60
3,3:58.0,Personal foul by J. Lin (drawn by E. Fournier),,84,60
3,3:58.0,E. Fournier makes free throw 1 of 2,,85,60
3,3:58.0,E. Fournier makes free throw 2 of 2,,86,60
3,3:46.0,,O. Spellman misses 2-pt layup from 3 ft (block by J. Isaac),86,60
3,3:42.0,Defensive rebound by N. Vučević,,86,60
3,3:37.0,Turnover by W. Iwundu (bad pass; steal by K. Bazemore),,86,60
3,3:32.0,,J. Lin makes 3-pt jump shot from 23 ft (assist by K. Bazemore),86,63
3,3:32.0,T. Ross enters the game for E. Fournier,,86,63
3,3:04.0,W. Iwundu makes 2-pt jump shot from 22 ft,,88,63
3,2:53.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by J. Lin),88,66
3,2:40.0,Personal foul by K. Bazemore (drawn by T. Ross),,88,66
3,2:40.0,T. Ross makes free throw 1 of 2,,89,66
3,2:40.0,K. Birch enters the game for J. Isaac,,89,66
3,2:40.0,A. Gordon enters the game for N. Vučević,,89,66
3,2:40.0,T. Ross makes free throw 2 of 2,,90,66
3,2:29.0,,A. Len makes 3-pt jump shot from 24 ft (assist by K. Bazemore),90,69
3,2:10.0,T. Ross makes 3-pt jump shot from 25 ft,,93,69
3,2:01.0,,Personal foul by W. Iwundu (drawn by K. Bazemore),93,69
3,1:54.0,,O. Spellman misses 3-pt jump shot from 23 ft,93,69
3,1:50.0,Defensive rebound by T. Ross,,93,69
3,1:36.0,Personal foul by D. Bembry (drawn by A. Gordon),,93,69
3,1:36.0,A. Gordon misses free throw 1 of 2,,93,69
3,1:36.0,Offensive rebound by Team,,93,69
3,1:36.0,A. Gordon makes free throw 2 of 2,,94,69
3,1:24.0,,Shooting foul by A. Gordon (drawn by K. Bazemore),94,69
3,1:24.0,,K. Bazemore misses free throw 1 of 2,94,69
3,1:24.0,,Offensive rebound by Team,94,69
3,1:24.0,,J. Anderson enters the game for A. Len,94,69
3,1:24.0,,K. Bazemore makes free throw 2 of 2,94,70
3,1:08.0,Personal foul by K. Bazemore (drawn by T. Ross),,94,70
3,1:08.0,T. Ross makes free throw 1 of 2,,95,70
3,1:08.0,T. Ross makes free throw 2 of 2,,96,70
3,0:54.0,,K. Bazemore misses 2-pt jump shot from 12 ft (block by W. Iwundu),96,70
3,0:50.0,,Offensive rebound by O. Spellman,96,70
3,0:50.0,,O. Spellman makes 2-pt hook shot from 1 ft,96,72
3,0:34.0,T. Ross misses 3-pt jump shot from 26 ft,,96,72
3,0:31.0,,Defensive rebound by J. Anderson,96,72
3,0:28.0,,J. Lin misses 3-pt jump shot from 25 ft,96,72
3,0:24.0,Defensive rebound by W. Iwundu,,96,72
3,0:07.0,K. Birch makes 2-pt dunk from 1 ft (assist by I. Briscoe),,98,72
3,0:00.0,,K. Bazemore makes 2-pt layup from 1 ft,98,74
4,11:46.0,,Shooting foul by I. Briscoe (drawn by T. Young),98,74
4,11:46.0,,T. Young makes free throw 1 of 3,98,75
4,11:46.0,,T. Young makes free throw 2 of 3,98,76
4,11:46.0,,T. Young makes free throw 3 of 3,98,77
4,11:31.0,I. Briscoe misses 3-pt jump shot from 24 ft,,98,77
4,11:28.0,,Defensive rebound by T. Young,98,77
4,11:21.0,,J. Collins makes 2-pt layup from 4 ft (assist by T. Young),98,79
4,11:00.0,Shooting foul by J. Collins (drawn by K. Birch),,98,79
4,11:00.0,K. Birch makes free throw 1 of 2,,99,79
4,11:00.0,K. Birch makes free throw 2 of 2,,100,79
4,10:47.0,,K. Huerter makes 2-pt layup from 2 ft,100,81
4,10:29.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by I. Briscoe),,103,81
4,10:17.0,,O. Spellman misses 3-pt jump shot from 25 ft,103,81
4,10:14.0,,Offensive rebound by J. Collins,103,81
4,10:12.0,,O. Spellman makes 2-pt layup from 1 ft (assist by J. Collins),103,83
4,10:12.0,Violation by Team (def goaltending),,103,83
4,9:57.0,E. Fournier makes 2-pt jump shot from 18 ft,,105,83
4,9:49.0,,T. Young makes 3-pt jump shot from 25 ft,105,86
4,9:33.0,E. Fournier makes 2-pt jump shot from 13 ft,,107,86
4,9:09.0,,K. Huerter misses 3-pt jump shot from 24 ft,107,86
4,9:04.0,Defensive rebound by A. Gordon,,107,86
4,8:53.0,T. Ross misses 2-pt layup from 1 ft,,107,86
4,8:51.0,Offensive rebound by Team,,107,86
4,8:51.0,,D. Dedmon enters the game for O. Spellman,107,86
4,8:47.0,E. Fournier misses 2-pt jump shot from 19 ft,,107,86
4,8:43.0,Offensive rebound by K. Birch,,107,86
4,8:33.0,E. Fournier misses 3-pt jump shot from 24 ft,,107,86
4,8:30.0,,Defensive rebound by J. Anderson,107,86
4,8:21.0,,T. Young misses 2-pt layup from 2 ft,107,86
4,8:19.0,Defensive rebound by A. Gordon,,107,86
4,8:15.0,K. Birch makes 2-pt layup from 1 ft (assist by E. Fournier),,109,86
4,8:15.0,,Atlanta full timeout,109,86
4,8:15.0,J. Isaac enters the game for A. Gordon,,109,86
4,8:15.0,,T. Prince enters the game for J. Anderson,109,86
4,8:01.0,,Personal foul by E. Fournier (drawn by K. Huerter),109,86
4,7:51.0,,J. Collins misses 3-pt jump shot from 23 ft,109,86
4,7:47.0,Defensive rebound by K. Birch,,109,86
4,7:33.0,T. Ross makes 2-pt jump shot from 17 ft (assist by E. Fournier),,111,86
4,7:19.0,,T. Young misses 3-pt jump shot from 23 ft,111,86
4,7:16.0,Defensive rebound by T. Ross,,111,86
4,7:09.0,T. Ross misses 2-pt jump shot from 19 ft,,111,86
4,7:05.0,,Defensive rebound by D. Dedmon,111,86
4,6:56.0,,J. Collins makes 2-pt layup from 1 ft,111,88
4,6:41.0,T. Ross makes 3-pt jump shot from 26 ft (assist by E. Fournier),,114,88
4,6:41.0,Shooting foul by T. Prince (drawn by T. Ross),,114,88
4,6:41.0,D. Augustin enters the game for K. Birch,,114,88
4,6:41.0,N. Vučević enters the game for I. Briscoe,,114,88
4,6:41.0,,J. Lin enters the game for J. Collins,114,88
4,6:41.0,,O. Spellman enters the game for T. Young,114,88
4,6:41.0,T. Ross makes free throw 1 of 1,,115,88
4,6:28.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Huerter),115,91
4,6:05.0,J. Isaac misses 3-pt jump shot from 23 ft,,115,91
4,6:02.0,,Defensive rebound by Team,115,91
4,5:48.0,,Shooting foul by E. Fournier (drawn by K. Huerter),115,91
4,5:48.0,,K. Huerter misses free throw 1 of 2,115,91
4,5:48.0,,Offensive rebound by Team,115,91
4,5:48.0,,K. Huerter makes free throw 2 of 2,115,92
4,5:27.0,Turnover by E. Fournier (lost ball; steal by K. Huerter),,115,92
4,5:23.0,,T. Prince misses 2-pt layup from 2 ft,115,92
4,5:17.0,Defensive rebound by J. Isaac,,115,92
4,5:03.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by D. Augustin),,117,92
4,4:50.0,,J. Lin makes 2-pt jump shot from 18 ft (assist by O. Spellman),117,94
4,4:35.0,D. Augustin makes 2-pt layup from 1 ft,,119,94
4,4:25.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by J. Lin),119,96
4,4:09.0,J. Isaac misses 2-pt layup from 1 ft (block by J. Lin),,119,96
4,4:09.0,,Defensive rebound by J. Lin,119,96
4,4:09.0,,Personal foul by J. Isaac (drawn by J. Lin),119,96
4,4:09.0,,J. Anderson enters the game for D. Dedmon,119,96
4,4:09.0,,D. Bembry enters the game for K. Huerter,119,96
4,4:09.0,,A. Len enters the game for T. Prince,119,96
4,4:02.0,,J. Lin misses 2-pt jump shot from 17 ft,119,96
4,3:58.0,Defensive rebound by T. Ross,,119,96
4,3:45.0,D. Augustin makes 2-pt layup from 6 ft,,121,96
4,3:27.0,,J. Anderson makes 2-pt jump shot from 7 ft (assist by D. Bembry),121,98
4,3:27.0,Orlando full timeout,,121,98
4,3:27.0,I. Briscoe enters the game for D. Augustin,,121,98
4,3:27.0,M. Frazier enters the game for E. Fournier,,121,98
