QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
1,3:43.0,,E. Mudiay misses 3-pt jump shot from 26 ft,21,21
1,3:40.0,Defensive rebound by R. Hollis-Jefferson,,21,21
1,3:35.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,21,21
1,3:33.0,Offensive rebound by D. Carroll,,21,21
1,3:20.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,23,21
1,2:59.0,,Turnover by E. Mudiay (out of bounds lost ball),23,21
1,2:59.0,Brooklyn full timeout,,23,21
1,2:59.0,R. Kurucs enters the game for A. Crabbe,,23,21
1,2:59.0,D. Russell enters the game for R. Hollis-Jefferson,,23,21
1,2:59.0,,M. Robinson enters the game for E. Freedom,23,21
1,2:59.0,,A. Trier enters the game for E. Mudiay,23,21
1,2:36.0,Turnover by S. Dinwiddie (out of bounds lost ball),,23,21
1,2:23.0,,K. Knox misses 2-pt jump shot from 19 ft,23,21
1,2:19.0,Defensive rebound by S. Dinwiddie,,23,21
1,2:15.0,S. Dinwiddie makes 2-pt layup from 1 ft,,25,21
1,2:04.0,,A. Trier makes 2-pt layup from 1 ft,25,23
1,1:58.0,R. Kurucs misses 3-pt jump shot from 24 ft,,25,23
1,1:56.0,Offensive rebound by E. Davis,,25,23
1,1:56.0,Shooting foul by M. Robinson (drawn by E. Davis),,25,23
1,1:56.0,E. Davis misses free throw 1 of 2,,25,23
1,1:56.0,Offensive rebound by Team,,25,23
1,1:56.0,,C. Lee enters the game for M. Hezonja,25,23
1,1:56.0,E. Davis makes free throw 2 of 2,,26,23
1,1:36.0,,Turnover by K. Knox (traveling),26,23
1,1:22.0,D. Carroll makes 2-pt jump shot from 22 ft (assist by S. Dinwiddie),,28,23
1,0:59.0,,K. Knox misses 2-pt jump shot from 16 ft (block by R. Kurucs),28,23
1,0:55.0,Defensive rebound by D. Russell,,28,23
1,0:52.0,D. Carroll misses 3-pt jump shot from 26 ft,,28,23
1,0:51.0,Offensive rebound by E. Davis,,28,23
1,0:51.0,E. Davis makes 2-pt layup from 1 ft,,30,23
1,0:51.0,,New York full timeout,30,23
1,0:41.0,,Turnover by A. Trier (lost ball; steal by S. Dinwiddie),30,23
1,0:27.0,D. Russell misses 2-pt jump shot from 18 ft,,30,23
1,0:23.0,,Defensive rebound by K. Knox,30,23
1,0:04.0,,A. Trier misses 2-pt jump shot from 22 ft,30,23
1,0:04.0,Defensive rebound by R. Kurucs,,30,23
1,0:00.0,R. Kurucs misses 3-pt jump shot from 36 ft,,30,23
1,0:00.0,Offensive rebound by Team,,30,23
2,11:46.0,,Turnover by T. Hardaway (traveling),30,23
2,11:25.0,D. Carroll misses 3-pt jump shot from 23 ft,,30,23
2,11:22.0,,Defensive rebound by T. Hardaway,30,23
2,11:21.0,,Personal foul by D. Russell (drawn by C. Lee),30,23
2,11:10.0,,C. Lee misses 2-pt jump shot from 18 ft,30,23
2,11:08.0,,Offensive rebound by M. Robinson,30,23
2,11:06.0,,M. Robinson misses 2-pt layup from 1 ft (block by J. Dudley),30,23
2,11:05.0,Defensive rebound by Team,,30,23
2,10:44.0,D. Russell misses 2-pt jump shot from 6 ft,,30,23
2,10:42.0,Offensive rebound by E. Davis,,30,23
2,10:42.0,E. Davis misses 2-pt layup from 1 ft,,30,23
2,10:38.0,Offensive rebound by D. Carroll,,30,23
2,10:38.0,D. Carroll makes 2-pt layup from 1 ft,,32,23
2,10:31.0,,T. Hardaway makes 2-pt jump shot from 20 ft,32,25
2,10:31.0,,Shooting foul by R. Kurucs (drawn by T. Hardaway),32,25
2,10:31.0,,N. Vonleh enters the game for C. Lee,32,25
2,10:31.0,,T. Hardaway makes free throw 1 of 1,32,26
2,10:20.0,J. Dudley misses 3-pt jump shot from 26 ft,,32,26
2,10:18.0,Offensive rebound by D. Carroll,,32,26
2,10:12.0,D. Russell misses 3-pt jump shot from 28 ft,,32,26
2,10:08.0,Offensive rebound by J. Dudley,,32,26
2,10:07.0,J. Dudley makes 2-pt layup from 1 ft,,34,26
2,9:54.0,,T. Hardaway misses 3-pt jump shot from 26 ft,34,26
2,9:51.0,Defensive rebound by E. Davis,,34,26
2,9:44.0,D. Russell makes 2-pt jump shot from 3 ft,,36,26
2,9:43.0,,New York full timeout,36,26
2,9:43.0,,E. Freedom enters the game for M. Robinson,36,26
2,9:35.0,,Personal foul by R. Kurucs (drawn by T. Hardaway),36,26
2,9:24.0,,N. Vonleh misses 3-pt jump shot from 25 ft,36,26
2,9:21.0,Defensive rebound by D. Carroll,,36,26
2,9:10.0,R. Kurucs misses 2-pt layup from 1 ft,,36,26
2,9:10.0,,Defensive rebound by A. Trier,36,26
2,9:05.0,,A. Trier misses 2-pt layup from 1 ft,36,26
2,9:05.0,Defensive rebound by Team,,36,26
2,9:05.0,,Loose ball foul by N. Vonleh (drawn by D. Carroll),36,26
2,8:47.0,D. Carroll misses 2-pt layup from 1 ft,,36,26
2,8:45.0,,Defensive rebound by E. Freedom,36,26
2,8:34.0,,Shooting foul by R. Kurucs (drawn by A. Trier),36,26
2,8:34.0,,A. Trier makes free throw 1 of 2,36,27
2,8:34.0,S. Dinwiddie enters the game for R. Kurucs,,36,27
2,8:34.0,,E. Mudiay enters the game for D. Dotson,36,27
2,8:34.0,,A. Trier makes free throw 2 of 2,36,28
2,8:18.0,D. Russell makes 2-pt layup from 2 ft,,38,28
2,7:55.0,,E. Freedom makes 2-pt jump shot from 3 ft (assist by E. Mudiay),38,30
2,7:44.0,Turnover by D. Russell (bad pass; steal by N. Vonleh),,38,30
2,7:38.0,,A. Trier makes 2-pt layup from 1 ft,38,32
2,7:38.0,Brooklyn full timeout,,38,32
2,7:38.0,,M. Hezonja enters the game for T. Hardaway,38,32
2,7:21.0,S. Dinwiddie misses 2-pt layup at rim,,38,32
2,7:18.0,,Defensive rebound by E. Freedom,38,32
2,7:07.0,,Turnover by A. Trier (bad pass; steal by D. Russell),38,32
2,7:04.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by D. Russell),,40,32
2,6:37.0,,Turnover by Team (shot clock),40,32
2,6:30.0,Personal foul by E. Mudiay (drawn by S. Dinwiddie),,40,32
2,6:21.0,D. Russell misses 2-pt jump shot from 16 ft,,40,32
2,6:18.0,,Defensive rebound by N. Vonleh,40,32
2,6:09.0,,M. Hezonja makes 2-pt jump shot from 22 ft (assist by N. Vonleh),40,34
2,5:58.0,Shooting foul by E. Freedom (drawn by E. Davis),,40,34
2,5:58.0,E. Davis makes free throw 1 of 2,,41,34
2,5:58.0,J. Harris enters the game for D. Russell,,41,34
2,5:58.0,E. Davis misses free throw 2 of 2,,41,34
2,5:56.0,,Defensive rebound by E. Freedom,41,34
2,5:44.0,,E. Freedom makes 2-pt layup at rim (assist by E. Mudiay),41,36
2,5:44.0,,Shooting foul by D. Carroll (drawn by E. Freedom),41,36
2,5:44.0,J. Allen enters the game for E. Davis,,41,36
2,5:44.0,,E. Freedom misses free throw 1 of 1,41,36
2,5:44.0,Defensive rebound by J. Dudley,,41,36
2,5:33.0,J. Dudley makes 2-pt jump shot from 20 ft (assist by J. Harris),,43,36
2,5:12.0,,E. Mudiay makes 3-pt jump shot from 22 ft (assist by N. Vonleh),43,39
2,4:59.0,Shooting foul by E. Freedom (drawn by J. Harris),,43,39
2,4:59.0,A. Crabbe enters the game for D. Carroll,,43,39
2,4:59.0,R. Hollis-Jefferson enters the game for J. Dudley,,43,39
2,4:59.0,,T. Hardaway enters the game for A. Trier,43,39
2,4:59.0,J. Harris misses free throw 1 of 2,,43,39
2,4:59.0,Offensive rebound by Team,,43,39
2,4:59.0,J. Harris makes free throw 2 of 2,,44,39
2,4:50.0,,T. Hardaway misses 3-pt jump shot from 25 ft,44,39
2,4:47.0,Defensive rebound by J. Harris,,44,39
2,4:41.0,J. Harris misses 3-pt jump shot from 26 ft,,44,39
2,4:37.0,,Defensive rebound by E. Freedom,44,39
2,4:31.0,,E. Mudiay misses 3-pt jump shot from 26 ft,44,39
2,4:23.0,Defensive rebound by J. Allen,,44,39
2,4:17.0,R. Hollis-Jefferson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,47,39
2,3:59.0,,N. Vonleh misses 3-pt jump shot from 23 ft,47,39
2,3:56.0,Defensive rebound by A. Crabbe,,47,39
2,3:49.0,A. Crabbe makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,50,39
2,3:48.0,,New York full timeout,50,39
2,3:33.0,,Turnover by N. Vonleh (bad pass; steal by A. Crabbe),50,39
2,3:28.0,Turnover by S. Dinwiddie (bad pass; steal by N. Vonleh),,50,39
2,3:26.0,,Shooting foul by S. Dinwiddie (drawn by E. Mudiay),50,39
2,3:26.0,,E. Mudiay misses free throw 1 of 2,50,39
2,3:26.0,,Offensive rebound by Team,50,39
2,3:26.0,,D. Dotson enters the game for N. Vonleh,50,39
2,3:26.0,,E. Mudiay makes free throw 2 of 2,50,40
2,3:12.0,J. Harris misses 2-pt layup at rim,,50,40
2,3:10.0,,Defensive rebound by E. Freedom,50,40
2,2:56.0,,M. Hezonja misses 2-pt jump shot from 15 ft,50,40
2,2:53.0,Defensive rebound by A. Crabbe,,50,40
2,2:46.0,Shooting foul by M. Hezonja (drawn by S. Dinwiddie),,50,40
2,2:46.0,S. Dinwiddie makes free throw 1 of 2,,51,40
2,2:46.0,S. Dinwiddie misses free throw 2 of 2,,51,40
2,2:44.0,,Defensive rebound by M. Hezonja,51,40
2,2:22.0,,D. Dotson misses 2-pt jump shot from 11 ft,51,40
2,2:17.0,Defensive rebound by R. Hollis-Jefferson,,51,40
2,2:12.0,J. Harris makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,54,40
2,2:02.0,,T. Hardaway misses 2-pt jump shot from 3 ft,54,40
2,1:58.0,Defensive rebound by J. Allen,,54,40
2,1:50.0,J. Allen misses 2-pt hook shot from 9 ft,,54,40
2,1:48.0,,Defensive rebound by E. Freedom,54,40
2,1:31.0,,E. Freedom misses 2-pt layup from 1 ft (block by J. Allen),54,40
2,1:29.0,Defensive rebound by J. Allen,,54,40
2,1:24.0,J. Harris misses 2-pt layup from 2 ft,,54,40
2,1:22.0,,Defensive rebound by E. Mudiay,54,40
2,1:19.0,,Shooting foul by S. Dinwiddie (drawn by M. Hezonja),54,40
2,1:19.0,,M. Hezonja misses free throw 1 of 2,54,40
2,1:19.0,,Offensive rebound by Team,54,40
2,1:19.0,,M. Hezonja makes free throw 2 of 2,54,41
2,1:03.0,J. Allen misses 2-pt layup at rim,,54,41
2,1:02.0,Offensive rebound by J. Allen,,54,41
2,1:02.0,J. Allen makes 2-pt hook shot from 3 ft,,56,41
2,0:45.0,,E. Freedom misses 2-pt hook shot from 5 ft,56,41
2,0:42.0,Defensive rebound by S. Dinwiddie,,56,41
2,0:36.0,Turnover by J. Harris (bad pass; steal by T. Hardaway),,56,41
2,0:33.0,,Shooting foul by R. Hollis-Jefferson (drawn by T. Hardaway),56,41
2,0:33.0,,N. Vonleh enters the game for E. Freedom,56,41
2,0:33.0,,T. Hardaway makes free throw 1 of 2,56,42
2,0:33.0,,T. Hardaway makes free throw 2 of 2,56,43
2,0:18.0,Personal foul by E. Mudiay (drawn by S. Dinwiddie),,56,43
2,0:18.0,S. Dinwiddie misses free throw 1 of 2,,56,43
2,0:18.0,Offensive rebound by Team,,56,43
2,0:18.0,S. Dinwiddie misses free throw 2 of 2,,56,43
2,0:16.0,,Defensive rebound by M. Hezonja,56,43
2,0:06.0,,E. Mudiay makes 2-pt jump shot from 17 ft,56,45
2,0:00.0,A. Crabbe misses 2-pt jump shot from 18 ft,,56,45
2,0:00.0,Offensive rebound by Team,,56,45
3,11:43.0,,E. Freedom misses 2-pt layup from 2 ft,56,45
3,11:39.0,Defensive rebound by R. Hollis-Jefferson,,56,45
3,11:30.0,J. Allen makes 2-pt layup from 1 ft (assist by J. Harris),,58,45
3,11:30.0,Shooting foul by E. Mudiay (drawn by J. Allen),,58,45
3,11:30.0,J. Allen makes free throw 1 of 1,,59,45
3,11:12.0,,N. Vonleh makes 2-pt hook shot from 6 ft,59,47
3,11:03.0,J. Allen makes 2-pt layup from 7 ft (assist by D. Russell),,61,47
3,11:03.0,Shooting foul by N. Vonleh (drawn by J. Allen),,61,47
3,11:03.0,J. Allen makes free throw 1 of 1,,62,47
3,10:49.0,,M. Hezonja misses 2-pt layup from 10 ft (block by J. Allen),62,47
3,10:46.0,Defensive rebound by J. Allen,,62,47
3,10:38.0,J. Allen misses 2-pt hook shot from 4 ft,,62,47
3,10:34.0,Offensive rebound by J. Allen,,62,47
3,10:34.0,J. Allen misses 2-pt layup at rim,,62,47
3,10:33.0,,Defensive rebound by M. Hezonja,62,47
3,10:29.0,,T. Hardaway misses 3-pt jump shot from 29 ft,62,47
3,10:25.0,Defensive rebound by J. Allen,,62,47
3,10:16.0,J. Harris misses 2-pt layup from 3 ft,,62,47
3,10:13.0,,Defensive rebound by E. Freedom,62,47
3,10:08.0,,T. Hardaway misses 2-pt jump shot from 17 ft,62,47
3,10:05.0,Defensive rebound by J. Allen,,62,47
3,9:53.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by T. Hardaway),,62,47
3,9:52.0,Offensive rebound by Team,,62,47
3,9:51.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,62,47
3,9:38.0,,Turnover by N. Vonleh (lost ball; steal by R. Hollis-Jefferson),62,47
3,9:26.0,D. Russell misses 2-pt jump shot from 4 ft,,62,47
3,9:24.0,,Defensive rebound by N. Vonleh,62,47
3,9:18.0,,Shooting foul by J. Allen (drawn by N. Vonleh),62,47
3,9:18.0,,N. Vonleh makes free throw 1 of 2,62,48
3,9:18.0,,N. Vonleh makes free throw 2 of 2,62,49
3,9:02.0,D. Russell makes 2-pt jump shot from 10 ft,,64,49
3,8:47.0,,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),64,51
3,8:34.0,Turnover by J. Harris (step out of bounds),,64,51
3,8:27.0,,T. Hardaway makes 2-pt jump shot from 18 ft,64,53
3,8:09.0,R. Hollis-Jefferson makes 2-pt jump shot from 1 ft (assist by A. Crabbe),,66,53
3,7:51.0,,Shooting foul by J. Harris (drawn by E. Mudiay),66,53
3,7:51.0,,E. Mudiay makes free throw 1 of 2,66,54
3,7:51.0,,E. Mudiay makes free throw 2 of 2,66,55
3,7:33.0,J. Harris makes 3-pt jump shot from 30 ft (assist by D. Russell),,69,55
3,7:13.0,,E. Freedom makes 2-pt layup from 1 ft (assist by N. Vonleh),69,57
3,6:54.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),,72,57
3,6:42.0,,T. Hardaway misses 3-pt jump shot from 25 ft,72,57
3,6:37.0,Defensive rebound by D. Russell,,72,57
3,6:33.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by D. Russell),,75,57
3,6:31.0,,New York full timeout,75,57
3,6:31.0,,D. Dotson enters the game for N. Vonleh,75,57
3,6:16.0,,E. Mudiay misses 2-pt jump shot from 9 ft,75,57
3,6:12.0,,Offensive rebound by E. Freedom,75,57
3,6:11.0,,E. Freedom makes 2-pt layup from 2 ft,75,59
3,6:01.0,Personal foul by D. Dotson (drawn by A. Crabbe),,75,59
3,6:01.0,S. Dinwiddie enters the game for D. Russell,,75,59
3,5:52.0,J. Harris misses 3-pt jump shot from 25 ft,,75,59
3,5:51.0,,Defensive rebound by E. Freedom,75,59
3,5:38.0,,T. Hardaway misses 2-pt jump shot from 10 ft,75,59
3,5:34.0,,Offensive rebound by E. Freedom,75,59
3,5:34.0,,E. Freedom makes 2-pt layup from 1 ft,75,61
3,5:21.0,Shooting foul by E. Freedom (drawn by J. Allen),,75,61
3,5:21.0,D. Carroll enters the game for J. Harris,,75,61
3,5:21.0,,A. Trier enters the game for T. Hardaway,75,61
3,5:21.0,J. Allen makes free throw 1 of 2,,76,61
3,5:21.0,J. Allen makes free throw 2 of 2,,77,61
3,5:01.0,,Shooting foul by J. Allen (drawn by E. Freedom),77,61
3,5:01.0,E. Davis enters the game for J. Allen,,77,61
3,5:01.0,,E. Freedom makes free throw 1 of 2,77,62
3,5:01.0,,E. Freedom misses free throw 2 of 2,77,62
3,4:59.0,Defensive rebound by Team,,77,62
3,4:46.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,79,62
3,4:46.0,Shooting foul by M. Hezonja (drawn by R. Hollis-Jefferson),,79,62
3,4:46.0,R. Hollis-Jefferson makes free throw 1 of 1,,80,62
3,4:30.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by E. Freedom),80,65
3,4:09.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,80,65
3,4:07.0,,Defensive rebound by E. Freedom,80,65
3,4:03.0,,E. Mudiay misses 2-pt layup from 2 ft,80,65
3,4:01.0,Defensive rebound by S. Dinwiddie,,80,65
3,3:57.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,80,65
3,3:54.0,,Defensive rebound by D. Dotson,80,65
3,3:51.0,,A. Trier misses 3-pt jump shot from 24 ft,80,65
3,3:47.0,Defensive rebound by A. Crabbe,,80,65
3,3:43.0,Brooklyn full timeout,,80,65
3,3:43.0,,F. Ntilikina enters the game for E. Freedom,80,65
3,3:43.0,,M. Robinson enters the game for E. Mudiay,80,65
3,3:40.0,Shooting foul by M. Robinson (drawn by R. Hollis-Jefferson),,80,65
3,3:40.0,R. Hollis-Jefferson makes free throw 1 of 2,,81,65
3,3:40.0,R. Hollis-Jefferson makes free throw 2 of 2,,82,65
3,3:31.0,,Personal foul by A. Crabbe (drawn by M. Robinson),82,65
3,3:31.0,R. Kurucs enters the game for A. Crabbe,,82,65
3,3:31.0,D. Russell enters the game for R. Hollis-Jefferson,,82,65
3,3:22.0,,D. Dotson misses 2-pt jump shot from 19 ft,82,65
3,3:19.0,Defensive rebound by E. Davis,,82,65
3,3:04.0,Turnover by D. Carroll (bad pass; steal by M. Robinson),,82,65
3,3:03.0,,Personal foul by D. Russell (drawn by D. Dotson),82,65
3,3:03.0,,D. Dotson misses free throw 1 of 2,82,65
3,3:03.0,,Offensive rebound by Team,82,65
3,3:03.0,,K. Knox enters the game for M. Hezonja,82,65
3,3:03.0,,D. Dotson misses free throw 2 of 2,82,65
3,2:59.0,,Offensive rebound by K. Knox,82,65
3,2:57.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by K. Knox),82,68
3,2:36.0,S. Dinwiddie misses 2-pt layup from 2 ft,,82,68
3,2:31.0,Offensive rebound by E. Davis,,82,68
3,2:31.0,E. Davis makes 2-pt layup at rim,,84,68
3,2:27.0,,D. Dotson makes 3-pt jump shot from 27 ft (assist by F. Ntilikina),84,71
3,2:07.0,D. Russell makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,87,71
3,1:54.0,,D. Dotson makes 2-pt jump shot from 19 ft,87,73
3,1:42.0,Shooting foul by M. Robinson (drawn by S. Dinwiddie),,87,73
3,1:42.0,S. Dinwiddie misses free throw 1 of 2,,87,73
3,1:42.0,Offensive rebound by Team,,87,73
3,1:42.0,S. Dinwiddie makes free throw 2 of 2,,88,73
3,1:31.0,,M. Robinson makes 2-pt layup from 1 ft (assist by F. Ntilikina),88,75
3,1:09.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,88,75
3,1:08.0,Offensive rebound by Team,,88,75
3,1:01.0,S. Dinwiddie makes 2-pt dunk from 2 ft (assist by E. Davis),,90,75
3,0:51.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,90,75
3,0:48.0,Defensive rebound by Team,,90,75
3,0:30.0,S. Dinwiddie makes 2-pt layup from 1 ft,,92,75
3,0:13.0,,D. Dotson makes 2-pt jump shot from 16 ft,92,77
3,0:01.0,S. Dinwiddie makes 2-pt layup from 2 ft,,94,77
3,0:00.0,,F. Ntilikina misses 3-pt jump shot from 81 ft,94,77
3,0:00.0,,Offensive rebound by Team,94,77
3,0:00.0,Technical foul by E. Davis,,94,77
3,0:00.0,,Technical foul by M. Robinson,94,77
4,11:40.0,Shooting foul by M. Robinson (drawn by S. Dinwiddie),,94,77
4,11:40.0,S. Dinwiddie makes free throw 1 of 2,,95,77
4,11:40.0,S. Dinwiddie makes free throw 2 of 2,,96,77
4,11:26.0,,D. Dotson makes 2-pt layup from 2 ft (assist by M. Robinson),96,79
4,11:11.0,D. Russell misses 2-pt jump shot from 15 ft,,96,79
4,11:10.0,,Defensive rebound by D. Dotson,96,79
4,11:10.0,Loose ball foul by R. Kurucs (drawn by D. Dotson),,96,79
4,10:54.0,,D. Dotson misses 2-pt jump shot from 14 ft,96,79
4,10:51.0,Defensive rebound by E. Davis,,96,79
4,10:42.0,Turnover by S. Dinwiddie (bad pass; steal by M. Robinson),,96,79
4,10:37.0,,A. Trier makes 2-pt layup from 1 ft (assist by D. Dotson),96,81
4,10:08.0,D. Russell misses 2-pt layup from 2 ft,,96,81
4,10:05.0,,Defensive rebound by F. Ntilikina,96,81
4,10:03.0,,Turnover by F. Ntilikina (bad pass),96,81
4,9:46.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by D. Russell),,98,81
4,9:33.0,,A. Trier makes 2-pt layup from 2 ft,98,83
4,9:22.0,D. Russell misses 2-pt jump shot from 4 ft,,98,83
4,9:18.0,,Defensive rebound by K. Knox,98,83
4,9:18.0,,K. Knox makes 2-pt layup from 2 ft,98,85
4,9:18.0,,Shooting foul by R. Kurucs (drawn by K. Knox),98,85
4,9:18.0,Brooklyn full timeout,,98,85
4,9:18.0,A. Crabbe enters the game for R. Kurucs,,98,85
4,9:18.0,R. Hollis-Jefferson enters the game for D. Russell,,98,85
4,9:18.0,,K. Knox misses free throw 1 of 1,98,85
4,9:18.0,Defensive rebound by R. Hollis-Jefferson,,98,85
4,8:53.0,S. Dinwiddie misses 2-pt jump shot from 2 ft,,98,85
4,8:52.0,,Defensive rebound by K. Knox,98,85
4,8:46.0,,K. Knox makes 2-pt layup from 1 ft (assist by F. Ntilikina),98,87
4,8:21.0,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft (assist by D. Carroll),,100,87
4,7:54.0,,A. Trier makes 2-pt layup from 2 ft,100,89
4,7:48.0,Turnover by D. Carroll (out of bounds lost ball),,100,89
4,7:48.0,J. Allen enters the game for E. Davis,,100,89
4,7:34.0,,K. Knox makes 2-pt jump shot from 20 ft (assist by M. Robinson),100,91
4,7:04.0,D. Carroll misses 3-pt jump shot from 25 ft,,100,91
4,7:00.0,,Defensive rebound by D. Dotson,100,91
4,6:51.0,,A. Trier misses 3-pt jump shot from 28 ft,100,91
4,6:48.0,,Offensive rebound by M. Robinson,100,91
4,6:45.0,,Shooting foul by J. Allen (drawn by K. Knox),100,91
4,6:45.0,J. Harris enters the game for D. Carroll,,100,91
4,6:45.0,D. Russell enters the game for S. Dinwiddie,,100,91
4,6:45.0,,K. Knox misses free throw 1 of 2,100,91
4,6:45.0,,Offensive rebound by Team,100,91
4,6:45.0,,K. Knox makes free throw 2 of 2,100,92
