QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
4,0:45.0,,Turnover by N. Vučević (offensive foul),91,91
4,0:45.0,Chicago full timeout,,91,91
4,0:45.0,,J. Simmons enters the game for T. Ross,91,91
4,0:33.0,Offensive foul by K. Dunn (drawn by D. Augustin),,91,91
4,0:33.0,Turnover by K. Dunn (offensive foul),,91,91
4,0:33.0,,Orlando full timeout,91,91
4,0:33.0,,T. Ross enters the game for J. Simmons,91,91
4,0:28.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Fournier),91,93
4,0:17.0,Z. LaVine misses 2-pt jump shot from 9 ft,,91,93
4,0:15.0,,Defensive rebound by N. Vučević,91,93
4,0:09.0,,Personal take foul by J. Holiday (drawn by D. Augustin),91,93
4,0:09.0,,D. Augustin makes free throw 1 of 2,91,94
4,0:09.0,,D. Augustin makes free throw 2 of 2,91,95
4,0:08.0,Turnover by Z. LaVine (step out of bounds),,91,95
4,0:07.0,,Personal take foul by K. Dunn (drawn by D. Augustin),91,95
4,0:07.0,,D. Augustin makes free throw 1 of 2,91,96
4,0:07.0,,D. Augustin makes free throw 2 of 2,91,97
4,0:01.0,Z. LaVine misses 2-pt jump shot from 4 ft (block by J. Isaac),,91,97
4,0:00.0,,Defensive rebound by N. Vučević,91,97
