QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
1,1:34.0,M. Robinson makes 2-pt layup from 2 ft (assist by E. Mudiay),,25,29
1,1:25.0,,N. Bjelica misses 3-pt jump shot from 25 ft,25,29
1,1:22.0,Defensive rebound by M. Robinson,,25,29
1,1:13.0,E. Mudiay misses 2-pt jump shot from 18 ft,,25,29
1,1:09.0,,Defensive rebound by N. Bjelica,25,29
1,0:57.0,,Y. Ferrell makes 2-pt jump shot from 8 ft,25,31
1,0:47.0,Personal foul by Y. Ferrell (drawn by E. Mudiay),,25,31
1,0:47.0,A. Trier enters the game for D. Dotson,,25,31
1,0:47.0,,C. Brewer enters the game for H. Barnes,25,31
1,0:35.0,Turnover by H. Ellenson (lost ball; steal by B. Hield),,25,31
1,0:28.0,,B. Hield makes 2-pt layup from 3 ft (assist by N. Bjelica),25,33
1,0:28.0,,Shooting foul by M. Robinson (drawn by B. Hield),25,33
1,0:28.0,,B. Hield makes free throw 1 of 1,25,34
1,0:09.0,H. Ellenson misses 3-pt jump shot from 24 ft,,25,34
1,0:05.0,Offensive rebound by Team,,25,34
1,0:00.0,E. Mudiay misses 3-pt jump shot from 24 ft,,25,34
1,0:00.0,,Defensive rebound by H. Giles,25,34
2,11:47.0,A. Trier makes 2-pt layup from 2 ft,,27,34
2,11:25.0,,B. Bogdanović misses 2-pt jump shot from 22 ft,27,34
2,11:23.0,Defensive rebound by H. Ellenson,,27,34
2,11:20.0,Personal foul by H. Giles (drawn by M. Robinson),,27,34
2,11:09.0,L. Thomas misses 2-pt hook shot from 11 ft,,27,34
2,11:08.0,,Defensive rebound by Team,27,34
2,10:56.0,,Turnover by N. Bjelica (bad pass; steal by A. Trier),27,34
2,10:53.0,A. Trier misses 2-pt layup from 3 ft (block by C. Brewer),,27,34
2,10:53.0,Offensive rebound by M. Robinson,,27,34
2,10:51.0,M. Robinson makes 2-pt layup from 2 ft,,29,34
2,10:51.0,Shooting foul by B. Bogdanović (drawn by M. Robinson),,29,34
2,10:51.0,M. Robinson misses free throw 1 of 1,,29,34
2,10:47.0,,Defensive rebound by H. Giles,29,34
2,10:31.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),29,37
2,10:17.0,Turnover by E. Mudiay (lost ball; steal by C. Brewer),,29,37
2,10:11.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,29,37
2,10:08.0,Defensive rebound by M. Robinson,,29,37
2,10:05.0,Personal foul by Y. Ferrell (drawn by A. Trier),,29,37
2,9:48.0,Shooting foul by N. Bjelica (drawn by L. Thomas),,29,37
2,9:48.0,L. Thomas makes free throw 1 of 2,,30,37
2,9:48.0,L. Thomas misses free throw 2 of 2,,30,37
2,9:44.0,,Defensive rebound by H. Giles,30,37
2,9:36.0,,B. Bogdanović misses 2-pt hook shot from 4 ft,30,37
2,9:33.0,Defensive rebound by M. Robinson,,30,37
2,9:28.0,A. Trier misses 3-pt jump shot from 26 ft,,30,37
2,9:21.0,,Defensive rebound by C. Brewer,30,37
2,9:20.0,,H. Giles makes 2-pt dunk from 1 ft (assist by C. Brewer),30,39
2,9:09.0,Offensive foul by M. Robinson (drawn by H. Giles),,30,39
2,9:09.0,Turnover by M. Robinson (offensive foul),,30,39
2,9:09.0,N. Vonleh enters the game for M. Robinson,,30,39
2,8:54.0,,Turnover by H. Giles (bad pass; steal by H. Ellenson),30,39
2,8:45.0,L. Thomas misses 3-pt jump shot from 23 ft,,30,39
2,8:42.0,Offensive rebound by A. Trier,,30,39
2,8:42.0,A. Trier makes 2-pt layup from 1 ft,,32,39
2,8:42.0,,Sacramento full timeout,32,39
2,8:28.0,,Personal foul by E. Mudiay (drawn by H. Giles),32,39
2,8:16.0,,H. Giles makes 2-pt layup from 1 ft (assist by B. Bogdanović),32,41
2,8:02.0,Offensive foul by L. Thomas (drawn by B. Bogdanović),,32,41
2,8:02.0,Turnover by L. Thomas (offensive foul),,32,41
2,8:02.0,L. Kornet enters the game for L. Thomas,,32,41
2,7:48.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,32,41
2,7:44.0,Defensive rebound by E. Mudiay,,32,41
2,7:41.0,Turnover by E. Mudiay (bad pass; steal by B. Bogdanović),,32,41
2,7:33.0,,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by N. Bjelica),32,43
2,7:25.0,New York full timeout,,32,43
2,7:25.0,K. Knox enters the game for H. Ellenson,,32,43
2,7:25.0,,H. Barnes enters the game for N. Bjelica,32,43
2,7:07.0,E. Mudiay misses 2-pt layup from 3 ft,,32,43
2,7:05.0,,Defensive rebound by H. Barnes,32,43
2,7:01.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,32,43
2,6:57.0,Defensive rebound by L. Kornet,,32,43
2,6:52.0,K. Knox makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,35,43
2,6:38.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,35,43
2,6:34.0,Defensive rebound by A. Trier,,35,43
2,6:23.0,A. Trier makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,38,43
2,6:01.0,,H. Barnes misses 2-pt jump shot from 19 ft,38,43
2,5:59.0,,Offensive rebound by H. Giles,38,43
2,5:56.0,,Turnover by H. Giles (lost ball; steal by K. Knox),38,43
2,5:47.0,Def 3 sec tech foul by Team,,38,43
2,5:47.0,A. Trier makes technical free throw,,39,43
2,5:47.0,,D. Fox enters the game for C. Brewer,39,43
2,5:47.0,,B. Hield enters the game for Y. Ferrell,39,43
2,5:33.0,N. Vonleh makes 2-pt hook shot from 8 ft,,41,43
2,5:14.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by H. Giles),41,45
2,4:52.0,E. Mudiay misses 3-pt jump shot from 25 ft,,41,45
2,4:49.0,,Defensive rebound by H. Barnes,41,45
2,4:44.0,,Shooting foul by L. Kornet (drawn by H. Giles),41,45
2,4:44.0,,H. Giles misses free throw 1 of 2,41,45
2,4:44.0,,Offensive rebound by Team,41,45
2,4:44.0,D. Smith enters the game for E. Mudiay,,41,45
2,4:44.0,,H. Giles makes free throw 2 of 2,41,46
2,4:36.0,Personal foul by H. Giles (drawn by N. Vonleh),,41,46
2,4:36.0,N. Vonleh misses free throw 1 of 2,,41,46
2,4:36.0,Offensive rebound by Team,,41,46
2,4:36.0,,W. Cauley-Stein enters the game for H. Giles,41,46
2,4:36.0,N. Vonleh makes free throw 2 of 2,,42,46
2,4:27.0,,B. Hield misses 3-pt jump shot from 24 ft,42,46
2,4:24.0,Defensive rebound by A. Trier,,42,46
2,4:20.0,A. Trier misses 2-pt layup from 3 ft,,42,46
2,4:18.0,Offensive rebound by D. Smith,,42,46
2,4:17.0,A. Trier makes 2-pt layup from 2 ft (assist by D. Smith),,44,46
2,4:04.0,,Def 3 sec tech foul by Team,44,46
2,4:04.0,,B. Hield makes technical free throw,44,47
2,3:50.0,,H. Barnes misses 3-pt jump shot from 23 ft,44,47
2,3:50.0,Defensive rebound by Team,,44,47
2,3:35.0,Turnover by N. Vonleh (3 sec),,44,47
2,3:20.0,,D. Fox makes 2-pt layup from 2 ft (assist by B. Hield),44,49
2,2:58.0,D. Smith misses 2-pt jump shot from 15 ft,,44,49
2,2:54.0,Offensive rebound by N. Vonleh,,44,49
2,2:52.0,N. Vonleh misses 2-pt hook shot from 5 ft,,44,49
2,2:52.0,,Defensive rebound by H. Barnes,44,49
2,2:48.0,,Shooting foul by D. Smith (drawn by D. Fox),44,49
2,2:48.0,,D. Fox makes free throw 1 of 2,44,50
2,2:48.0,,D. Fox makes free throw 2 of 2,44,51
2,2:36.0,A. Trier makes 3-pt jump shot from 25 ft,,47,51
2,2:20.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),47,53
2,2:06.0,L. Kornet misses 3-pt jump shot from 25 ft,,47,53
2,2:02.0,,Defensive rebound by W. Cauley-Stein,47,53
2,1:51.0,,H. Barnes makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),47,55
2,1:42.0,New York full timeout,,47,55
2,1:42.0,H. Ellenson enters the game for K. Knox,,47,55
2,1:42.0,L. Thomas enters the game for L. Kornet,,47,55
2,1:25.0,D. Smith misses 2-pt jump shot from 20 ft,,47,55
2,1:21.0,,Defensive rebound by H. Barnes,47,55
2,1:09.0,,H. Barnes misses 3-pt jump shot from 26 ft,47,55
2,1:05.0,Defensive rebound by A. Trier,,47,55
2,0:57.0,H. Ellenson misses 2-pt jump shot from 12 ft,,47,55
2,0:54.0,,Defensive rebound by D. Fox,47,55
2,0:50.0,,D. Fox misses 2-pt jump shot from 6 ft,47,55
2,0:45.0,Defensive rebound by H. Ellenson,,47,55
2,0:33.0,L. Thomas makes 2-pt layup from 1 ft (assist by N. Vonleh),,49,55
2,0:29.0,,B. Hield misses 3-pt jump shot from 25 ft,49,55
2,0:29.0,Defensive rebound by N. Vonleh,,49,55
2,0:05.0,D. Smith makes 2-pt layup from 2 ft,,51,55
2,0:00.0,,B. Hield misses 2-pt jump shot from 7 ft,51,55
2,0:00.0,,Offensive rebound by Team,51,55
3,11:48.0,D. Smith misses 2-pt layup from 2 ft,,51,55
3,11:46.0,,Defensive rebound by D. Fox,51,55
3,11:33.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,51,55
3,11:29.0,Defensive rebound by N. Vonleh,,51,55
3,11:14.0,N. Vonleh misses 2-pt layup from 4 ft,,51,55
3,11:12.0,,Defensive rebound by W. Cauley-Stein,51,55
3,11:08.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by D. Smith),51,55
3,11:08.0,,Offensive rebound by Team,51,55
3,11:08.0,,Away from play foul by N. Vonleh (drawn by B. Bogdanović),51,55
3,11:08.0,,B. Bogdanović makes free throw 1 of 1,51,56
3,10:57.0,,Offensive foul by B. Bogdanović (drawn by N. Vonleh),51,56
3,10:57.0,,Turnover by B. Bogdanović (offensive foul),51,56
3,10:46.0,Shooting foul by B. Hield (drawn by D. Dotson),,51,56
3,10:46.0,D. Dotson makes free throw 1 of 2,,52,56
3,10:46.0,D. Dotson makes free throw 2 of 2,,53,56
3,10:38.0,,D. Fox misses 2-pt layup from 8 ft,53,56
3,10:35.0,Defensive rebound by K. Knox,,53,56
3,10:23.0,D. Smith misses 2-pt layup from 3 ft (block by B. Bogdanović),,53,56
3,10:21.0,,Defensive rebound by W. Cauley-Stein,53,56
3,10:16.0,,Turnover by B. Bogdanović (bad pass; steal by K. Knox),53,56
3,10:05.0,K. Knox makes 2-pt jump shot from 7 ft,,55,56
3,9:53.0,,H. Barnes makes 2-pt dunk from 2 ft (assist by B. Hield),55,58
3,9:31.0,K. Knox misses 2-pt jump shot from 11 ft,,55,58
3,9:28.0,Offensive rebound by N. Vonleh,,55,58
3,9:27.0,N. Vonleh misses 2-pt layup from 3 ft,,55,58
3,9:25.0,,Defensive rebound by B. Hield,55,58
3,9:12.0,,B. Hield makes 3-pt jump shot from 25 ft,55,61
3,8:50.0,D. Dotson misses 3-pt jump shot from 24 ft,,55,61
3,8:48.0,,Defensive rebound by H. Barnes,55,61
3,8:47.0,,Shooting foul by L. Kornet (drawn by D. Fox),55,61
3,8:47.0,,D. Fox makes free throw 1 of 2,55,62
3,8:47.0,,D. Fox misses free throw 2 of 2,55,62
3,8:44.0,Defensive rebound by N. Vonleh,,55,62
3,8:28.0,Turnover by N. Vonleh (3 sec),,55,62
3,8:12.0,,Turnover by B. Hield (lost ball; steal by D. Smith),55,62
3,8:09.0,D. Smith makes 2-pt dunk from 1 ft,,57,62
3,7:51.0,,H. Barnes misses 3-pt jump shot from 29 ft,57,62
3,7:47.0,Defensive rebound by D. Dotson,,57,62
3,7:43.0,D. Dotson makes 2-pt layup from 2 ft,,59,62
3,7:43.0,,Sacramento full timeout,59,62
3,7:43.0,,N. Bjelica enters the game for B. Bogdanović,59,62
3,7:30.0,,N. Bjelica misses 2-pt jump shot from 11 ft,59,62
3,7:25.0,Defensive rebound by N. Vonleh,,59,62
3,7:21.0,Turnover by D. Smith (bad pass; steal by D. Fox),,59,62
3,7:17.0,,Personal foul by D. Smith (drawn by D. Fox),59,62
3,7:08.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by N. Bjelica),59,65
3,6:51.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),,62,65
3,6:41.0,,B. Hield makes 2-pt layup from 2 ft,62,67
3,6:29.0,D. Smith misses 2-pt layup from 2 ft,,62,67
3,6:28.0,,Defensive rebound by W. Cauley-Stein,62,67
3,6:22.0,,N. Bjelica misses 3-pt jump shot from 28 ft,62,67
3,6:18.0,Defensive rebound by D. Dotson,,62,67
3,6:06.0,Turnover by N. Vonleh (lost ball; steal by D. Fox),,62,67
3,6:01.0,,D. Fox misses 2-pt jump shot from 8 ft,62,67
3,5:57.0,,Offensive rebound by N. Bjelica,62,67
3,5:55.0,,B. Hield misses 2-pt jump shot from 6 ft,62,67
3,5:55.0,Defensive rebound by D. Smith,,62,67
3,5:32.0,D. Smith makes 2-pt jump shot from 6 ft,,64,67
3,5:25.0,,Shooting foul by D. Dotson (drawn by B. Hield),64,67
3,5:25.0,,B. Hield makes free throw 1 of 2,64,68
3,5:25.0,E. Mudiay enters the game for K. Knox,,64,68
3,5:25.0,M. Robinson enters the game for D. Smith,,64,68
3,5:25.0,A. Trier enters the game for N. Vonleh,,64,68
3,5:25.0,,H. Giles enters the game for W. Cauley-Stein,64,68
3,5:25.0,,B. Hield makes free throw 2 of 2,64,69
3,5:10.0,Turnover by D. Dotson (bad pass; steal by D. Fox),,64,69
3,5:04.0,,D. Fox makes 2-pt dunk from 2 ft,64,71
3,5:00.0,New York full timeout,,64,71
3,4:47.0,D. Dotson makes 2-pt layup from 1 ft,,66,71
3,4:28.0,,H. Giles makes 2-pt jump shot from 20 ft,66,73
3,4:15.0,Offensive foul by M. Robinson (drawn by D. Fox),,66,73
3,4:15.0,Turnover by M. Robinson (offensive foul),,66,73
3,4:15.0,H. Ellenson enters the game for L. Kornet,,66,73
3,3:54.0,,H. Giles misses 2-pt jump shot from 20 ft,66,73
3,3:51.0,Defensive rebound by A. Trier,,66,73
3,3:43.0,Personal foul by D. Fox (drawn by E. Mudiay),,66,73
3,3:33.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by D. Dotson),,69,73
3,3:16.0,,Shooting foul by M. Robinson (drawn by B. Hield),69,73
3,3:16.0,,B. Hield makes free throw 1 of 3,69,74
3,3:16.0,,B. Hield makes free throw 2 of 3,69,75
3,3:16.0,,B. Hield makes free throw 3 of 3,69,76
3,3:05.0,E. Mudiay makes 2-pt layup from 2 ft,,71,76
3,2:52.0,,Shooting foul by A. Trier (drawn by H. Barnes),71,76
3,2:52.0,,H. Barnes makes free throw 1 of 2,71,77
3,2:52.0,L. Thomas enters the game for D. Dotson,,71,77
3,2:52.0,,H. Barnes makes free throw 2 of 2,71,78
3,2:42.0,H. Ellenson makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,74,78
3,2:25.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),74,81
3,2:15.0,Shooting foul by B. Hield (drawn by A. Trier),,74,81
3,2:15.0,A. Trier misses free throw 1 of 2,,74,81
3,2:15.0,Offensive rebound by Team,,74,81
3,2:15.0,A. Trier misses free throw 2 of 2,,74,81
3,2:10.0,,Defensive rebound by N. Bjelica,74,81
3,2:02.0,,Shooting foul by H. Ellenson (drawn by D. Fox),74,81
3,2:02.0,,D. Fox makes free throw 1 of 2,74,82
3,2:02.0,,B. Bogdanović enters the game for B. Hield,74,82
3,2:02.0,,D. Fox misses free throw 2 of 2,74,82
3,2:01.0,Defensive rebound by H. Ellenson,,74,82
3,2:01.0,Personal foul by N. Bjelica (drawn by H. Ellenson),,74,82
3,1:41.0,E. Mudiay misses 2-pt jump shot from 12 ft,,74,82
3,1:38.0,Offensive rebound by H. Ellenson,,74,82
3,1:34.0,H. Ellenson misses 2-pt jump shot from 5 ft,,74,82
3,1:31.0,,Defensive rebound by H. Barnes,74,82
3,1:22.0,,H. Barnes makes 2-pt layup from 1 ft (assist by H. Giles),74,84
3,1:21.0,New York full timeout,,74,84
3,1:09.0,Shooting foul by D. Fox (drawn by A. Trier),,74,84
3,1:09.0,A. Trier makes free throw 1 of 2,,75,84
3,1:09.0,A. Trier makes free throw 2 of 2,,76,84
3,0:57.0,,Personal foul by A. Trier (drawn by H. Barnes),76,84
3,0:57.0,,H. Barnes makes free throw 1 of 2,76,85
3,0:57.0,,C. Brewer enters the game for D. Fox,76,85
3,0:57.0,,H. Barnes makes free throw 2 of 2,76,86
3,0:39.0,E. Mudiay misses 3-pt jump shot from 23 ft,,76,86
3,0:35.0,,Defensive rebound by C. Brewer,76,86
3,0:30.0,,C. Brewer misses 2-pt layup from 5 ft (block by M. Robinson),76,86
3,0:26.0,Defensive rebound by M. Robinson,,76,86
3,0:22.0,A. Trier makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,79,86
3,0:03.0,,Turnover by H. Giles (3 sec),79,86
3,0:00.0,Shooting foul by C. Brewer (drawn by A. Trier),,79,86
3,0:00.0,A. Trier makes free throw 1 of 2,,80,86
3,0:00.0,N. Vonleh enters the game for M. Robinson,,80,86
3,0:00.0,A. Trier misses free throw 2 of 2,,80,86
3,0:00.0,,Defensive rebound by H. Giles,80,86
4,11:44.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),80,88
4,11:43.0,H. Ellenson misses 3-pt jump shot from 26 ft,,80,88
4,11:19.0,,Defensive rebound by Team,80,88
4,11:01.0,,H. Giles makes 2-pt hook shot from 8 ft (assist by B. Bogdanović),80,90
4,10:41.0,L. Thomas misses 2-pt jump shot from 7 ft,,80,90
4,10:37.0,,Defensive rebound by C. Brewer,80,90
4,10:32.0,,C. Brewer misses 3-pt jump shot from 25 ft,80,90
4,10:26.0,,Offensive rebound by N. Bjelica,80,90
4,10:26.0,,N. Bjelica makes 2-pt layup from 1 ft,80,92
4,10:11.0,A. Trier misses 2-pt layup from 3 ft,,80,92
4,10:07.0,,Defensive rebound by H. Giles,80,92
4,10:04.0,,Shooting foul by M. Robinson (drawn by C. Brewer),80,92
4,10:04.0,,C. Brewer makes free throw 1 of 2,80,93
4,10:04.0,,C. Brewer makes free throw 2 of 2,80,94
4,10:04.0,D. Dotson enters the game for L. Thomas,,80,94
4,9:43.0,Shooting foul by N. Bjelica (drawn by E. Mudiay),,80,94
4,9:43.0,E. Mudiay misses free throw 1 of 2,,80,94
4,9:43.0,Offensive rebound by Team,,80,94
4,9:43.0,N. Vonleh enters the game for H. Ellenson,,80,94
4,9:43.0,E. Mudiay makes free throw 2 of 2,,81,94
4,9:29.0,,Turnover by B. Bogdanović (bad pass),81,94
4,9:13.0,A. Trier misses 2-pt jump shot from 20 ft,,81,94
4,9:10.0,Offensive rebound by M. Robinson,,81,94
4,9:08.0,E. Mudiay makes 2-pt jump shot from 7 ft,,83,94
4,8:50.0,,B. Bogdanović misses 2-pt layup from 5 ft (block by M. Robinson),83,94
4,8:46.0,Defensive rebound by M. Robinson,,83,94
4,8:40.0,Turnover by E. Mudiay (lost ball; steal by B. Bogdanović),,83,94
4,8:34.0,,H. Giles makes 2-pt dunk from 2 ft (assist by N. Bjelica),83,96
4,8:11.0,Shooting foul by Y. Ferrell (drawn by A. Trier),,83,96
4,8:11.0,A. Trier makes free throw 1 of 2,,84,96
4,8:11.0,D. Smith enters the game for E. Mudiay,,84,96
4,8:11.0,A. Trier misses free throw 2 of 2,,84,96
4,8:08.0,,Defensive rebound by N. Bjelica,84,96
4,7:54.0,,Shooting foul by D. Smith (drawn by H. Giles),84,96
4,7:54.0,,H. Giles makes free throw 1 of 2,84,97
4,7:54.0,,H. Giles makes free throw 2 of 2,84,98
4,7:37.0,N. Vonleh makes 2-pt hook shot from 7 ft,,86,98
4,7:25.0,,H. Giles makes 2-pt dunk from 2 ft (assist by N. Bjelica),86,100
4,7:03.0,D. Smith makes 2-pt layup from 1 ft,,88,100
4,6:55.0,,N. Bjelica misses 3-pt jump shot from 31 ft,88,100
4,6:51.0,Defensive rebound by A. Trier,,88,100
4,6:50.0,A. Trier makes 2-pt dunk from 1 ft,,90,100
4,6:49.0,,Sacramento full timeout,90,100
4,6:49.0,,D. Fox enters the game for C. Brewer,90,100
4,6:49.0,,B. Hield enters the game for Y. Ferrell,90,100
4,6:38.0,,Turnover by D. Fox (bad pass; steal by D. Smith),90,100
4,6:33.0,A. Trier makes 2-pt layup from 1 ft (assist by D. Smith),,92,100
4,6:33.0,,H. Barnes enters the game for N. Bjelica,92,100
4,6:18.0,,Personal foul by A. Trier (drawn by B. Bogdanović),92,100
4,6:10.0,,H. Giles misses 2-pt layup from 3 ft,92,100
4,6:04.0,,Offensive rebound by B. Hield,92,100
4,6:04.0,,B. Hield makes 2-pt dunk from 1 ft,92,102
4,5:48.0,D. Dotson misses 3-pt jump shot from 25 ft,,92,102
4,5:44.0,,Defensive rebound by H. Giles,92,102
4,5:37.0,,Personal foul by M. Robinson (drawn by H. Barnes),92,102
