QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
1,0:51.0,D. Lee misses 3-pt jump shot from 25 ft,,25,33
1,0:48.0,,Defensive rebound by J. Poeltl,25,33
1,0:37.0,,R. Gay misses 2-pt jump shot from 13 ft (block by K. Durant),25,33
1,0:33.0,Defensive rebound by Q. Cook,,25,33
1,0:29.0,Shooting foul by R. Gay (drawn by K. Durant),,25,33
1,0:29.0,K. Durant makes free throw 1 of 2,,26,33
1,0:29.0,J. Evans enters the game for Q. Cook,,26,33
1,0:29.0,K. Durant makes free throw 2 of 2,,27,33
1,0:11.0,,R. Gay misses 2-pt jump shot from 17 ft,27,33
1,0:08.0,Defensive rebound by K. Durant,,27,33
1,0:02.0,J. Evans misses 3-pt jump shot from 23 ft,,27,33
1,0:02.0,Offensive rebound by D. Jones,,27,33
1,0:00.0,D. Jones misses 2-pt jump shot from 11 ft,,27,33
1,0:00.0,Offensive rebound by Team,,27,33
2,12:00.0,Violation by Team (delay of game),,27,33
2,11:46.0,K. Thompson misses 3-pt jump shot from 25 ft,,27,33
2,11:44.0,,Defensive rebound by D. DeRozan,27,33
2,11:41.0,,Personal foul by Q. Cook (drawn by J. Poeltl),27,33
2,11:23.0,,M. Belinelli misses 2-pt jump shot from 20 ft,27,33
2,11:18.0,,Offensive rebound by J. Poeltl,27,33
2,11:15.0,,P. Mills misses 3-pt jump shot from 25 ft,27,33
2,11:13.0,,Offensive rebound by Team,27,33
2,11:13.0,Loose ball foul by J. Jerebko (drawn by J. Poeltl),,27,33
2,11:13.0,,Technical foul by S. Kerr,27,33
2,11:13.0,,D. DeRozan makes technical free throw,27,34
2,11:08.0,,D. White misses 3-pt jump shot from 25 ft,27,34
2,11:05.0,,Offensive rebound by J. Poeltl,27,34
2,11:05.0,,Shooting foul by J. Bell (drawn by J. Poeltl),27,34
2,11:05.0,,J. Poeltl misses free throw 1 of 2,27,34
2,11:05.0,,Offensive rebound by Team,27,34
2,11:05.0,,J. Poeltl misses free throw 2 of 2,27,34
2,11:03.0,Defensive rebound by J. Jerebko,,27,34
2,10:54.0,S. Livingston misses 2-pt jump shot from 11 ft,,27,34
2,10:52.0,,Defensive rebound by P. Mills,27,34
2,10:42.0,,D. DeRozan misses 2-pt jump shot from 19 ft,27,34
2,10:38.0,Defensive rebound by Q. Cook,,27,34
2,10:27.0,K. Thompson misses 2-pt jump shot from 18 ft,,27,34
2,10:24.0,,Defensive rebound by D. DeRozan,27,34
2,10:16.0,,P. Mills misses 3-pt jump shot from 26 ft,27,34
2,10:13.0,Defensive rebound by Q. Cook,,27,34
2,10:06.0,Q. Cook makes 2-pt jump shot from 19 ft,,29,34
2,10:06.0,,San Antonio full timeout,29,34
2,10:06.0,,B. Forbes enters the game for M. Belinelli,29,34
2,10:06.0,,R. Gay enters the game for P. Mills,29,34
2,9:52.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),29,37
2,9:33.0,K. Thompson makes 2-pt jump shot from 13 ft,,31,37
2,9:19.0,,D. DeRozan misses 2-pt jump shot from 7 ft,31,37
2,9:18.0,,Offensive rebound by J. Poeltl,31,37
2,9:08.0,,R. Gay misses 2-pt jump shot from 16 ft,31,37
2,9:03.0,Defensive rebound by J. Jerebko,,31,37
2,8:50.0,J. Bell misses 2-pt jump shot from 16 ft,,31,37
2,8:47.0,,Defensive rebound by R. Gay,31,37
2,8:41.0,,B. Forbes misses 2-pt jump shot from 12 ft (block by S. Livingston),31,37
2,8:37.0,Defensive rebound by S. Livingston,,31,37
2,8:31.0,Q. Cook makes 2-pt jump shot from 15 ft,,33,37
2,8:30.0,,San Antonio full timeout,33,37
2,8:30.0,,L. Aldridge enters the game for R. Gay,33,37
2,8:30.0,,D. Cunningham enters the game for J. Poeltl,33,37
2,8:19.0,,D. DeRozan misses 2-pt jump shot from 7 ft,33,37
2,8:17.0,Defensive rebound by J. Bell,,33,37
2,8:04.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by Q. Cook),,36,37
2,7:43.0,,D. Cunningham misses 2-pt layup from 6 ft,36,37
2,7:41.0,Defensive rebound by Q. Cook,,36,37
2,7:30.0,K. Thompson makes 2-pt layup from 1 ft (assist by J. Jerebko),,38,37
2,7:13.0,,D. White makes 2-pt jump shot from 6 ft (assist by D. DeRozan),38,39
2,7:01.0,Q. Cook misses 3-pt jump shot from 25 ft,,38,39
2,7:01.0,,Defensive rebound by D. Cunningham,38,39
2,6:54.0,,B. Forbes misses 3-pt jump shot from 25 ft,38,39
2,6:51.0,,Offensive rebound by L. Aldridge,38,39
2,6:49.0,,D. White misses 3-pt jump shot from 25 ft,38,39
2,6:47.0,Defensive rebound by J. Jerebko,,38,39
2,6:34.0,K. Thompson misses 3-pt jump shot from 26 ft,,38,39
2,6:34.0,,Defensive rebound by D. White,38,39
2,6:23.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. White),38,41
2,6:13.0,Golden State full timeout,,38,41
2,6:13.0,K. Durant enters the game for J. Bell,,38,41
2,6:13.0,A. Iguodala enters the game for Q. Cook,,38,41
2,6:13.0,K. Looney enters the game for S. Livingston,,38,41
2,6:13.0,,M. Belinelli enters the game for D. DeRozan,38,41
2,6:00.0,K. Thompson misses 2-pt jump shot from 22 ft,,38,41
2,5:58.0,,Defensive rebound by L. Aldridge,38,41
2,5:52.0,,B. Forbes makes 2-pt layup from 1 ft,38,43
2,5:43.0,K. Thompson makes 2-pt layup from 1 ft (assist by K. Looney),,40,43
2,5:43.0,Shooting foul by D. White (drawn by K. Thompson),,40,43
2,5:43.0,D. Lee enters the game for J. Jerebko,,40,43
2,5:43.0,K. Thompson misses free throw 1 of 1,,40,43
2,5:43.0,,Defensive rebound by L. Aldridge,40,43
2,5:22.0,,L. Aldridge misses 3-pt jump shot from 25 ft,40,43
2,5:17.0,Defensive rebound by K. Durant,,40,43
2,5:10.0,K. Thompson misses 2-pt jump shot from 9 ft,,40,43
2,5:08.0,,Defensive rebound by B. Forbes,40,43
2,4:57.0,,M. Belinelli misses 2-pt layup from 1 ft,40,43
2,4:52.0,Defensive rebound by D. Lee,,40,43
2,4:46.0,K. Looney makes 2-pt dunk from 1 ft (assist by A. Iguodala),,42,43
2,4:32.0,,M. Belinelli misses 2-pt jump shot from 17 ft,42,43
2,4:32.0,,Offensive rebound by Team,42,43
2,4:32.0,Loose ball foul by D. Lee (drawn by L. Aldridge),,42,43
2,4:32.0,Q. Cook enters the game for K. Thompson,,42,43
2,4:32.0,,D. DeRozan enters the game for D. Cunningham,42,43
2,4:32.0,,R. Gay enters the game for D. White,42,43
2,4:30.0,,Personal foul by K. Looney (drawn by L. Aldridge),42,43
2,4:30.0,,L. Aldridge makes free throw 1 of 2,42,44
2,4:30.0,D. Jones enters the game for K. Looney,,42,44
2,4:30.0,,L. Aldridge makes free throw 2 of 2,42,45
2,4:16.0,Personal foul by D. DeRozan (drawn by K. Durant),,42,45
2,4:08.0,Q. Cook makes 2-pt jump shot from 12 ft (assist by A. Iguodala),,44,45
2,3:55.0,,Turnover by D. DeRozan (lost ball; steal by A. Iguodala),44,45
2,3:47.0,Shooting foul by B. Forbes (drawn by A. Iguodala),,44,45
2,3:47.0,A. Iguodala makes free throw 1 of 2,,45,45
2,3:47.0,,P. Mills enters the game for B. Forbes,45,45
2,3:47.0,A. Iguodala makes free throw 2 of 2,,46,45
2,3:23.0,,P. Mills misses 2-pt jump shot from 18 ft,46,45
2,3:20.0,Defensive rebound by Q. Cook,,46,45
2,3:13.0,Q. Cook misses 2-pt jump shot from 9 ft,,46,45
2,3:11.0,,Defensive rebound by P. Mills,46,45
2,2:51.0,,R. Gay misses 2-pt jump shot from 6 ft,46,45
2,2:47.0,,Offensive rebound by L. Aldridge,46,45
2,2:47.0,,L. Aldridge makes 2-pt layup from 1 ft,46,47
2,2:35.0,K. Durant misses 2-pt jump shot from 17 ft,,46,47
2,2:32.0,Offensive rebound by K. Durant,,46,47
2,2:31.0,Turnover by K. Durant (out of bounds lost ball),,46,47
2,2:31.0,K. Thompson enters the game for D. Lee,,46,47
2,2:22.0,,M. Belinelli misses 3-pt jump shot from 24 ft,46,47
2,2:19.0,Defensive rebound by K. Durant,,46,47
2,2:12.0,K. Durant misses 3-pt jump shot from 26 ft,,46,47
2,2:08.0,,Defensive rebound by D. DeRozan,46,47
2,2:00.0,,M. Belinelli makes 2-pt hook shot from 6 ft (assist by D. DeRozan),46,49
2,1:44.0,K. Durant misses 2-pt jump shot from 15 ft,,46,49
2,1:42.0,,Defensive rebound by P. Mills,46,49
2,1:33.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),46,51
2,1:20.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Durant),,48,51
2,1:06.0,,D. DeRozan makes 2-pt jump shot from 14 ft,48,53
2,0:53.0,K. Durant misses 2-pt jump shot from 16 ft,,48,53
2,0:51.0,,Defensive rebound by L. Aldridge,48,53
2,0:34.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by M. Belinelli),48,56
2,0:21.0,K. Thompson misses 3-pt jump shot from 26 ft,,48,56
2,0:19.0,,Defensive rebound by R. Gay,48,56
2,0:03.0,,Offensive foul by R. Gay (drawn by Q. Cook),48,56
2,0:03.0,,Turnover by R. Gay (offensive foul),48,56
2,0:03.0,D. Lee enters the game for D. Jones,,48,56
2,0:03.0,Personal take foul by M. Belinelli (drawn by K. Thompson),,48,56
3,11:45.0,K. Durant misses 2-pt jump shot from 17 ft (block by R. Gay),,48,56
3,11:41.0,,Defensive rebound by B. Forbes,48,56
3,11:38.0,Technical foul by K. Durant,,48,56
3,11:38.0,,D. DeRozan misses technical free throw,48,56
3,11:38.0,,Offensive rebound by Team,48,56
3,11:35.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by D. Cunningham),48,58
3,11:19.0,K. Durant misses 2-pt jump shot from 11 ft,,48,58
3,11:15.0,,Defensive rebound by L. Aldridge,48,58
3,11:05.0,,Turnover by D. DeRozan (bad pass; steal by K. Durant),48,58
3,10:59.0,K. Thompson misses 2-pt jump shot from 16 ft,,48,58
3,10:54.0,,Defensive rebound by D. Cunningham,48,58
3,10:41.0,,L. Aldridge makes 2-pt jump shot from 13 ft,48,60
3,10:34.0,Golden State full timeout,,48,60
3,10:26.0,K. Durant makes 2-pt jump shot from 15 ft (assist by K. Thompson),,50,60
3,10:07.0,,B. Forbes misses 2-pt jump shot from 15 ft,50,60
3,10:05.0,Defensive rebound by K. Looney,,50,60
3,9:59.0,K. Durant makes 2-pt jump shot from 17 ft,,52,60
3,9:35.0,,L. Aldridge makes 2-pt jump shot from 14 ft,52,62
3,9:19.0,K. Thompson misses 3-pt jump shot from 25 ft,,52,62
3,9:15.0,,Defensive rebound by D. Cunningham,52,62
3,9:03.0,,D. DeRozan misses 2-pt jump shot from 17 ft,52,62
3,9:01.0,Defensive rebound by K. Durant,,52,62
3,8:57.0,K. Durant misses 3-pt jump shot from 26 ft,,52,62
3,8:53.0,,Defensive rebound by B. Forbes,52,62
3,8:45.0,,L. Aldridge misses 2-pt jump shot from 21 ft,52,62
3,8:44.0,Defensive rebound by Team,,52,62
3,8:23.0,K. Durant misses 2-pt hook shot from 11 ft,,52,62
3,8:23.0,Offensive rebound by K. Looney,,52,62
3,8:23.0,K. Looney misses 2-pt layup from 1 ft,,52,62
3,8:23.0,Offensive rebound by Team,,52,62
3,8:20.0,Turnover by K. Thompson (bad pass),,52,62
3,8:01.0,,L. Aldridge misses 2-pt jump shot from 16 ft,52,62
3,7:59.0,Defensive rebound by J. Jerebko,,52,62
3,7:49.0,K. Looney misses 2-pt layup from 1 ft,,52,62
3,7:47.0,,Defensive rebound by L. Aldridge,52,62
3,7:40.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by R. Gay),52,64
3,7:27.0,Turnover by J. Jerebko (out of bounds lost ball),,52,64
3,7:27.0,,P. Mills enters the game for B. Forbes,52,64
3,7:07.0,,P. Mills misses 2-pt jump shot from 14 ft,52,64
3,7:04.0,Defensive rebound by K. Durant,,52,64
3,6:52.0,A. Iguodala misses 2-pt layup from 2 ft,,52,64
3,6:51.0,Offensive rebound by J. Jerebko,,52,64
3,6:50.0,J. Jerebko makes 2-pt dunk from 1 ft,,54,64
3,6:49.0,,San Antonio full timeout,54,64
3,6:49.0,D. Jones enters the game for K. Looney,,54,64
3,6:33.0,,Shooting foul by K. Durant (drawn by R. Gay),54,64
3,6:33.0,,R. Gay makes free throw 1 of 3,54,65
3,6:33.0,,R. Gay makes free throw 2 of 3,54,66
3,6:33.0,,R. Gay makes free throw 3 of 3,54,67
3,6:15.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by D. Jones),,56,67
3,6:03.0,,D. DeRozan misses 2-pt jump shot from 15 ft,56,67
3,6:03.0,Defensive rebound by D. Jones,,56,67
3,5:53.0,K. Thompson misses 3-pt jump shot from 25 ft,,56,67
3,5:49.0,,Defensive rebound by D. DeRozan,56,67
3,5:47.0,,P. Mills makes 2-pt layup from 1 ft (assist by D. DeRozan),56,69
3,5:44.0,Golden State full timeout,,56,69
3,5:44.0,Q. Cook enters the game for A. Iguodala,,56,69
3,5:44.0,,M. Belinelli enters the game for R. Gay,56,69
3,5:25.0,Turnover by K. Thompson (bad pass; steal by P. Mills),,56,69
3,5:20.0,,P. Mills makes 3-pt jump shot from 26 ft,56,72
3,5:05.0,Q. Cook misses 3-pt jump shot from 24 ft,,56,72
3,5:01.0,Offensive rebound by J. Jerebko,,56,72
3,4:59.0,K. Thompson misses 3-pt jump shot from 26 ft,,56,72
3,4:56.0,,Defensive rebound by L. Aldridge,56,72
3,4:50.0,Violation by Team (kicked ball),,56,72
3,4:50.0,D. Lee enters the game for J. Jerebko,,56,72
3,4:46.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),56,74
3,4:32.0,K. Durant makes 3-pt jump shot from 26 ft,,59,74
3,4:18.0,,Personal foul by D. Jones (drawn by L. Aldridge),59,74
3,4:10.0,,D. Cunningham misses 3-pt jump shot from 23 ft,59,74
3,4:08.0,Defensive rebound by Q. Cook,,59,74
3,3:56.0,K. Durant makes 2-pt jump shot from 11 ft,,61,74
3,3:40.0,,P. Mills misses 2-pt jump shot from 19 ft,61,74
3,3:37.0,,Offensive rebound by L. Aldridge,61,74
3,3:26.0,,M. Belinelli makes 2-pt jump shot from 22 ft (assist by P. Mills),61,76
3,3:09.0,D. Lee misses 2-pt jump shot from 11 ft,,61,76
3,3:05.0,,Defensive rebound by D. DeRozan,61,76
3,3:01.0,,Personal foul by Q. Cook (drawn by D. DeRozan),61,76
3,3:01.0,S. Livingston enters the game for K. Thompson,,61,76
3,3:01.0,,R. Gay enters the game for D. Cunningham,61,76
3,3:01.0,,D. White enters the game for D. DeRozan,61,76
3,2:53.0,,Shooting foul by D. Jones (drawn by L. Aldridge),61,76
3,2:53.0,,L. Aldridge makes free throw 1 of 2,61,77
3,2:53.0,,L. Aldridge makes free throw 2 of 2,61,78
3,2:29.0,D. Jones misses 2-pt layup from 1 ft (block by R. Gay),,61,78
3,2:29.0,Offensive rebound by Team,,61,78
3,2:29.0,Turnover by Team (shot clock),,61,78
3,2:17.0,,Offensive foul by L. Aldridge (drawn by D. Jones),61,78
3,2:17.0,,Turnover by L. Aldridge (offensive foul),61,78
3,2:03.0,Q. Cook makes 2-pt jump shot from 21 ft (assist by K. Durant),,63,78
3,1:43.0,,M. Belinelli misses 2-pt layup from 2 ft,63,78
3,1:40.0,Defensive rebound by K. Durant,,63,78
3,1:38.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by K. Durant),,66,78
3,1:17.0,,L. Aldridge misses 2-pt layup from 2 ft,66,78
3,1:15.0,Defensive rebound by K. Durant,,66,78
3,1:08.0,Q. Cook makes 2-pt layup from 1 ft (assist by K. Durant),,68,78
3,0:45.0,,D. White misses 2-pt jump shot from 8 ft,68,78
3,0:43.0,Defensive rebound by D. Jones,,68,78
3,0:32.0,K. Durant makes 2-pt layup from 2 ft (assist by Q. Cook),,70,78
3,0:15.0,,Personal foul by Q. Cook (drawn by R. Gay),70,78
3,0:15.0,,R. Gay misses free throw 1 of 2,70,78
3,0:15.0,,Offensive rebound by Team,70,78
3,0:15.0,K. Thompson enters the game for S. Livingston,,70,78
3,0:15.0,,D. Cunningham enters the game for L. Aldridge,70,78
3,0:15.0,,J. Poeltl enters the game for M. Belinelli,70,78
3,0:15.0,,R. Gay makes free throw 2 of 2,70,79
3,0:01.0,Turnover by Q. Cook (out of bounds lost ball),,70,79
4,11:46.0,,Turnover by J. Poeltl (bad pass; steal by S. Livingston),70,79
4,11:44.0,Shooting foul by M. Belinelli (drawn by Q. Cook),,70,79
4,11:44.0,Q. Cook misses free throw 1 of 2,,70,79
4,11:44.0,Offensive rebound by Team,,70,79
4,11:44.0,Q. Cook makes free throw 2 of 2,,71,79
4,11:29.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by D. DeRozan),71,81
4,11:15.0,Turnover by K. Thompson (bad pass),,71,81
4,11:05.0,,Turnover by P. Mills (lost ball; steal by Q. Cook),71,81
4,10:52.0,Turnover by K. Looney (bad pass; steal by J. Poeltl),,71,81
4,10:30.0,,J. Poeltl makes 2-pt layup from 1 ft,71,83
4,10:12.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Livingston),,73,83
4,9:52.0,,M. Belinelli misses 3-pt jump shot from 26 ft,73,83
4,9:52.0,Defensive rebound by Q. Cook,,73,83
4,9:46.0,Personal foul by M. Belinelli (drawn by K. Looney),,73,83
4,9:46.0,,B. Forbes enters the game for P. Mills,73,83
4,9:36.0,K. Thompson misses 3-pt jump shot from 27 ft,,73,83
4,9:32.0,,Defensive rebound by D. Cunningham,73,83
4,9:20.0,,B. Forbes misses 2-pt layup from 9 ft,73,83
4,9:18.0,Defensive rebound by K. Looney,,73,83
4,9:12.0,Q. Cook makes 2-pt jump shot from 19 ft,,75,83
4,9:11.0,,San Antonio full timeout,75,83
4,9:11.0,,L. Aldridge enters the game for D. Cunningham,75,83
4,9:11.0,,D. White enters the game for J. Poeltl,75,83
4,8:53.0,,B. Forbes misses 2-pt layup from 5 ft,75,83
4,8:50.0,Defensive rebound by D. Lee,,75,83
4,8:38.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Livingston),,78,83
4,8:23.0,,D. DeRozan misses 2-pt layup from 7 ft,78,83
4,8:21.0,Defensive rebound by D. Lee,,78,83
4,8:17.0,Personal foul by D. DeRozan (drawn by D. Lee),,78,83
4,8:12.0,Q. Cook misses 2-pt jump shot from 20 ft,,78,83
4,8:08.0,,Defensive rebound by L. Aldridge,78,83
4,7:59.0,,D. DeRozan makes 2-pt jump shot from 19 ft,78,85
4,7:40.0,K. Thompson makes 2-pt jump shot from 14 ft,,80,85
4,7:18.0,,M. Belinelli misses 3-pt jump shot from 23 ft,80,85
4,7:13.0,Defensive rebound by K. Looney,,80,85
4,7:11.0,Turnover by S. Livingston (bad pass),,80,85
4,7:11.0,K. Durant enters the game for S. Livingston,,80,85
4,7:11.0,,D. Cunningham enters the game for M. Belinelli,80,85
4,6:48.0,,D. White misses 2-pt layup from 1 ft,80,85
4,6:45.0,,Offensive rebound by L. Aldridge,80,85
4,6:36.0,,L. Aldridge makes 2-pt jump shot from 11 ft,80,87
4,6:11.0,K. Durant makes 2-pt jump shot from 16 ft (assist by K. Looney),,82,87
4,5:44.0,,D. DeRozan makes 2-pt jump shot from 8 ft (assist by B. Forbes),82,89
4,5:34.0,Golden State full timeout,,82,89
4,5:34.0,A. Iguodala enters the game for D. Lee,,82,89
4,5:34.0,J. Jerebko enters the game for K. Looney,,82,89
4,5:34.0,D. Jones enters the game for K. Thompson,,82,89
4,5:34.0,,R. Gay enters the game for D. White,82,89
4,5:27.0,K. Durant misses 2-pt jump shot from 8 ft,,82,89
4,5:23.0,Offensive rebound by J. Jerebko,,82,89
4,5:23.0,J. Jerebko makes 2-pt layup from 1 ft,,84,89
4,5:10.0,,D. DeRozan misses 2-pt jump shot from 13 ft,84,89
4,5:05.0,Defensive rebound by K. Durant,,84,89
4,4:54.0,K. Durant misses 3-pt jump shot from 26 ft,,84,89
4,4:52.0,,Defensive rebound by D. Cunningham,84,89
4,4:37.0,,D. DeRozan makes 2-pt layup from 1 ft,84,91
4,4:25.0,Shooting foul by B. Forbes (drawn by D. Jones),,84,91
4,4:25.0,D. Jones misses free throw 1 of 2,,84,91
4,4:25.0,Offensive rebound by Team,,84,91
4,4:25.0,D. Jones makes free throw 2 of 2,,85,91
4,4:06.0,,D. DeRozan misses 2-pt jump shot from 15 ft,85,91
4,4:04.0,Defensive rebound by A. Iguodala,,85,91
4,4:02.0,Personal foul by R. Gay (drawn by K. Durant),,85,91
4,4:02.0,K. Durant makes free throw 1 of 2,,86,91
4,4:02.0,K. Thompson enters the game for Q. Cook,,86,91
4,4:02.0,K. Durant makes free throw 2 of 2,,87,91
