QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
1,3:08.0,Defensive rebound by K. Koufos,,23,21
1,2:58.0,J. Jackson misses 3-pt jump shot from 26 ft,,23,21
1,2:54.0,,Defensive rebound by D. Sabonis,23,21
1,2:49.0,,C. Joseph misses 3-pt jump shot from 29 ft,23,21
1,2:45.0,Defensive rebound by B. Bogdanović,,23,21
1,2:36.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,23,21
1,2:34.0,,Defensive rebound by M. Turner,23,21
1,2:22.0,,M. Turner misses 3-pt jump shot from 28 ft,23,21
1,2:20.0,Defensive rebound by B. Bogdanović,,23,21
1,2:15.0,Shooting foul by C. Joseph (drawn by F. Mason),,23,21
1,2:15.0,F. Mason makes free throw 1 of 2,,24,21
1,2:15.0,,A. Holiday enters the game for B. Bogdanović,24,21
1,2:15.0,,T. Leaf enters the game for D. Collison,24,21
1,2:15.0,,D. McDermott enters the game for M. Turner,24,21
1,2:15.0,F. Mason makes free throw 2 of 2,,25,21
1,2:04.0,,A. Holiday misses 2-pt jump shot from 20 ft,25,21
1,2:01.0,Defensive rebound by B. Bogdanović,,25,21
1,1:56.0,Personal foul by T. Leaf (drawn by M. Bagley),,25,21
1,1:53.0,Personal foul by C. Joseph (drawn by B. Bogdanović),,25,21
1,1:53.0,B. Bogdanović misses free throw 1 of 2,,25,21
1,1:53.0,Offensive rebound by Team,,25,21
1,1:53.0,B. Bogdanović makes free throw 2 of 2,,26,21
1,1:41.0,,Turnover by D. McDermott (lost ball; steal by F. Mason),26,21
1,1:38.0,F. Mason makes 2-pt layup from 2 ft,,28,21
1,1:27.0,Violation by Team (kicked ball),,28,21
1,1:22.0,,Turnover by D. Sabonis (off goaltending),28,21
1,1:07.0,M. Bagley makes 2-pt jump shot from 8 ft,,30,21
1,0:48.0,,D. Sabonis makes 2-pt jump shot from 6 ft (assist by C. Joseph),30,23
1,0:39.0,Shooting foul by A. Holiday (drawn by B. Bogdanović),,30,23
1,0:39.0,B. Bogdanović misses free throw 1 of 2,,30,23
1,0:39.0,Offensive rebound by Team,,30,23
1,0:39.0,B. Bogdanović makes free throw 2 of 2,,31,23
1,0:29.0,,C. Joseph misses 3-pt jump shot from 26 ft,31,23
1,0:27.0,,Offensive rebound by Team,31,23
1,0:19.0,,Shooting foul by M. Bagley (drawn by T. Leaf),31,23
1,0:19.0,,T. Leaf makes free throw 1 of 2,31,24
1,0:19.0,,D. Collison enters the game for C. Joseph,31,24
1,0:19.0,,T. Leaf misses free throw 2 of 2,31,24
1,0:17.0,Defensive rebound by J. Jackson,,31,24
1,0:00.0,B. Bogdanović misses 2-pt layup from 2 ft,,31,24
1,0:00.0,Offensive rebound by Team,,31,24
2,11:43.0,,D. McDermott misses 3-pt jump shot from 26 ft,31,24
2,11:39.0,Defensive rebound by B. Bogdanović,,31,24
2,11:18.0,M. Bagley makes 2-pt jump shot from 10 ft,,33,24
2,11:10.0,,Personal foul by M. Bagley (drawn by T. Young),33,24
2,11:10.0,N. Bjelica enters the game for M. Bagley,,33,24
2,11:04.0,,D. McDermott misses 3-pt jump shot from 24 ft,33,24
2,11:01.0,Defensive rebound by K. Koufos,,33,24
2,10:48.0,Turnover by F. Mason (out of bounds lost ball),,33,24
2,10:35.0,,D. Sabonis misses 2-pt jump shot from 7 ft,33,24
2,10:32.0,Defensive rebound by N. Bjelica,,33,24
2,10:18.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by K. Koufos),,36,24
2,10:12.0,,Personal foul by B. Bogdanović (drawn by C. Joseph),36,24
2,10:12.0,B. Hield enters the game for B. Bogdanović,,36,24
2,10:00.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),36,26
2,9:49.0,F. Mason makes 2-pt layup from 2 ft (assist by J. Jackson),,38,26
2,9:49.0,Shooting foul by A. Holiday (drawn by F. Mason),,38,26
2,9:49.0,F. Mason misses free throw 1 of 1,,38,26
2,9:49.0,,Defensive rebound by T. Young,38,26
2,9:37.0,,D. Sabonis misses 2-pt jump shot from 14 ft,38,26
2,9:35.0,Defensive rebound by N. Bjelica,,38,26
2,9:24.0,Turnover by N. Bjelica (out of bounds lost ball),,38,26
2,9:24.0,W. Cauley-Stein enters the game for K. Koufos,,38,26
2,9:10.0,,D. McDermott misses 3-pt jump shot from 23 ft,38,26
2,9:08.0,,Offensive rebound by Team,38,26
2,9:05.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. McDermott),38,28
2,8:50.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by D. Sabonis),,38,28
2,8:47.0,,Defensive rebound by T. Young,38,28
2,8:40.0,,D. Sabonis makes 2-pt hook shot from 6 ft,38,30
2,8:32.0,Sacramento full timeout,,38,30
2,8:32.0,D. Fox enters the game for J. Jackson,,38,30
2,8:32.0,T. Williams enters the game for F. Mason,,38,30
2,8:21.0,W. Cauley-Stein misses 2-pt jump shot from 18 ft,,38,30
2,8:17.0,,Defensive rebound by C. Joseph,38,30
2,7:59.0,,A. Holiday misses 2-pt layup at rim,38,30
2,7:55.0,Defensive rebound by D. Fox,,38,30
2,7:46.0,N. Bjelica misses 3-pt jump shot from 29 ft,,38,30
2,7:44.0,,Defensive rebound by D. Sabonis,38,30
2,7:25.0,,D. Sabonis misses 2-pt jump shot from 18 ft,38,30
2,7:23.0,Defensive rebound by T. Williams,,38,30
2,7:17.0,T. Williams misses 3-pt jump shot from 26 ft,,38,30
2,7:15.0,,Defensive rebound by C. Joseph,38,30
2,7:08.0,,T. Young makes 2-pt dunk from 1 ft (assist by C. Joseph),38,32
2,6:54.0,B. Hield makes 2-pt jump shot from 19 ft (assist by D. Fox),,40,32
2,6:44.0,,C. Joseph makes 2-pt layup at rim,40,34
2,6:34.0,Shooting foul by D. Sabonis (drawn by N. Bjelica),,40,34
2,6:34.0,N. Bjelica makes free throw 1 of 2,,41,34
2,6:34.0,,B. Bogdanović enters the game for A. Holiday,41,34
2,6:34.0,,D. Collison enters the game for D. McDermott,41,34
2,6:34.0,,M. Turner enters the game for D. Sabonis,41,34
2,6:34.0,N. Bjelica makes free throw 2 of 2,,42,34
2,6:24.0,,D. Collison makes 2-pt layup from 1 ft (assist by C. Joseph),42,36
2,6:23.0,Sacramento full timeout,,42,36
2,6:09.0,Turnover by D. Fox (bad pass),,42,36
2,5:51.0,,Turnover by M. Turner (bad pass),42,36
2,5:41.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),,44,36
2,5:26.0,,Personal foul by T. Williams (drawn by B. Bogdanović),44,36
2,5:26.0,,T. Evans enters the game for C. Joseph,44,36
2,5:20.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,44,36
2,5:18.0,,Offensive rebound by D. Collison,44,36
2,5:10.0,,D. Collison misses 3-pt jump shot from 28 ft,44,36
2,5:06.0,Defensive rebound by N. Bjelica,,44,36
2,4:53.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,44,36
2,4:51.0,,Defensive rebound by M. Turner,44,36
2,4:47.0,,B. Bogdanović makes 2-pt layup at rim (assist by D. Collison),44,38
2,4:41.0,T. Williams misses 2-pt layup from 2 ft,,44,38
2,4:38.0,,Defensive rebound by M. Turner,44,38
2,4:35.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),44,41
2,4:10.0,B. Hield misses 3-pt jump shot from 25 ft,,44,41
2,4:06.0,Offensive rebound by T. Williams,,44,41
2,4:06.0,T. Williams makes 2-pt dunk at rim,,46,41
2,3:55.0,,D. Collison makes 2-pt layup from 2 ft,46,43
2,3:35.0,D. Fox makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),,48,43
2,3:16.0,,M. Turner makes 2-pt dunk from 1 ft (assist by D. Collison),48,45
2,3:08.0,N. Bjelica misses 3-pt jump shot from 26 ft,,48,45
2,3:06.0,,Defensive rebound by M. Turner,48,45
2,3:02.0,Violation by Team (kicked ball),,48,45
2,3:02.0,B. Bogdanović enters the game for N. Bjelica,,48,45
2,3:02.0,K. Koufos enters the game for W. Cauley-Stein,,48,45
2,2:54.0,,Shooting foul by B. Hield (drawn by T. Young),48,45
2,2:54.0,,T. Young makes free throw 1 of 2,48,46
2,2:54.0,,T. Young makes free throw 2 of 2,48,47
2,2:35.0,T. Williams misses 3-pt jump shot from 28 ft,,48,47
2,2:31.0,,Defensive rebound by M. Turner,48,47
2,2:23.0,,Turnover by T. Young (bad pass; steal by T. Williams),48,47
2,2:20.0,Turnover by B. Hield (bad pass),,48,47
2,2:04.0,,Turnover by T. Young (out of bounds lost ball),48,47
2,1:56.0,Personal foul by B. Bogdanović (drawn by B. Bogdanović),,48,47
2,1:49.0,Turnover by B. Bogdanović (bad pass; steal by T. Evans),,48,47
2,1:45.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by B. Bogdanović),48,47
2,1:45.0,,Offensive rebound by Team,48,47
2,1:43.0,,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by T. Evans),48,49
2,1:29.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,48,49
2,1:26.0,Offensive rebound by B. Hield,,48,49
2,1:17.0,B. Bogdanović makes 2-pt layup from 2 ft,,50,49
2,0:51.0,,T. Evans misses 3-pt jump shot from 23 ft,50,49
2,0:49.0,,Offensive rebound by T. Evans,50,49
2,0:42.0,,T. Evans makes 2-pt jump shot from 3 ft,50,51
2,0:42.0,,Shooting foul by B. Hield (drawn by T. Evans),50,51
2,0:42.0,,T. Evans makes free throw 1 of 1,50,52
2,0:37.0,D. Fox makes 2-pt jump shot from 13 ft,,52,52
2,0:29.0,,D. Collison misses 2-pt layup at rim,52,52
2,0:27.0,Defensive rebound by K. Koufos,,52,52
2,0:21.0,B. Hield misses 3-pt jump shot from 22 ft,,52,52
2,0:19.0,Offensive rebound by T. Williams,,52,52
2,0:05.0,D. Fox misses 2-pt layup from 4 ft,,52,52
2,0:02.0,,Defensive rebound by T. Young,52,52
2,0:00.0,,D. Collison makes 2-pt jump shot from 19 ft,52,54
3,11:39.0,,Turnover by M. Turner (bad pass; steal by B. Bogdanović),52,54
3,11:36.0,D. Fox makes 2-pt layup from 1 ft (assist by B. Bogdanović),,54,54
3,11:12.0,,T. Evans misses 2-pt layup from 2 ft,54,54
3,11:10.0,,Offensive rebound by M. Turner,54,54
3,11:09.0,,T. Young misses 3-pt jump shot from 25 ft,54,54
3,11:05.0,,Offensive rebound by T. Evans,54,54
3,11:04.0,,T. Evans makes 2-pt layup from 2 ft,54,56
3,10:42.0,B. Hield misses 2-pt jump shot from 18 ft,,54,56
3,10:38.0,,Defensive rebound by D. Collison,54,56
3,10:31.0,,D. Collison misses 3-pt jump shot from 27 ft,54,56
3,10:29.0,,Offensive rebound by B. Bogdanović,54,56
3,10:15.0,,Turnover by Team (shot clock),54,56
3,10:02.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Bogdanović),,56,56
3,9:49.0,,Turnover by T. Young (bad pass; steal by N. Bjelica),56,56
3,9:41.0,W. Cauley-Stein misses 2-pt layup from 4 ft (block by M. Turner),,56,56
3,9:38.0,,Defensive rebound by T. Evans,56,56
3,9:26.0,,D. Collison makes 3-pt jump shot from 28 ft (assist by M. Turner),56,59
3,9:12.0,B. Bogdanović makes 2-pt layup from 1 ft,,58,59
3,8:55.0,,T. Young misses 3-pt jump shot from 23 ft,58,59
3,8:51.0,Defensive rebound by W. Cauley-Stein,,58,59
3,8:47.0,,Violation by Team (kicked ball),58,59
3,8:42.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,58,59
3,8:39.0,,Defensive rebound by T. Evans,58,59
3,8:27.0,,Turnover by T. Evans (bad pass; steal by B. Bogdanović),58,59
3,8:23.0,B. Hield makes 2-pt layup from 1 ft (assist by B. Bogdanović),,60,59
3,8:23.0,,Indiana full timeout,60,59
3,8:02.0,,D. Collison misses 3-pt jump shot from 23 ft,60,59
3,7:58.0,Defensive rebound by N. Bjelica,,60,59
3,7:55.0,Shooting foul by T. Evans (drawn by D. Fox),,60,59
3,7:55.0,D. Fox makes free throw 1 of 2,,61,59
3,7:55.0,D. Fox makes free throw 2 of 2,,62,59
3,7:45.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),62,61
3,7:45.0,,Shooting foul by B. Bogdanović (drawn by B. Bogdanović),62,61
3,7:45.0,,B. Bogdanović makes free throw 1 of 1,62,62
3,7:38.0,Personal foul by B. Bogdanović (drawn by B. Bogdanović),,62,62
3,7:30.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,64,62
3,7:11.0,,D. Collison misses 2-pt layup from 2 ft (block by D. Fox),64,62
3,7:07.0,Defensive rebound by N. Bjelica,,64,62
3,7:01.0,Turnover by D. Fox (bad pass; steal by T. Evans),,64,62
3,6:43.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,64,62
3,6:39.0,Defensive rebound by N. Bjelica,,64,62
3,6:30.0,D. Fox misses 3-pt jump shot from 24 ft,,64,62
3,6:28.0,,Defensive rebound by B. Bogdanović,64,62
3,6:21.0,,Turnover by T. Evans (bad pass),64,62
3,6:14.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,64,62
3,6:11.0,,Defensive rebound by T. Young,64,62
3,6:01.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,64,62
3,5:57.0,Defensive rebound by B. Hield,,64,62
3,5:53.0,B. Hield misses 3-pt jump shot from 27 ft,,64,62
3,5:51.0,,Defensive rebound by T. Evans,64,62
3,5:44.0,,Indiana full timeout,64,62
3,5:44.0,M. Bagley enters the game for N. Bjelica,,64,62
3,5:44.0,,C. Joseph enters the game for B. Bogdanović,64,62
3,5:44.0,,D. Sabonis enters the game for T. Young,64,62
3,5:28.0,,C. Joseph misses 3-pt jump shot from 26 ft,64,62
3,5:25.0,Defensive rebound by W. Cauley-Stein,,64,62
3,5:11.0,D. Fox makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),,66,62
3,4:53.0,,T. Evans misses 2-pt layup from 2 ft (block by M. Bagley),66,62
3,4:50.0,Defensive rebound by M. Bagley,,66,62
3,4:47.0,Turnover by M. Bagley (offensive foul),,66,62
3,4:47.0,Offensive foul by M. Bagley (drawn by C. Joseph),,66,62
3,4:47.0,J. Jackson enters the game for B. Bogdanović,,66,62
3,4:47.0,,D. McDermott enters the game for T. Evans,66,62
3,4:36.0,,Personal foul by M. Bagley (drawn by D. Sabonis),66,62
3,4:36.0,K. Koufos enters the game for M. Bagley,,66,62
3,4:26.0,,Turnover by M. Turner (lost ball; steal by D. Fox),66,62
3,4:21.0,D. Fox makes 2-pt layup from 1 ft,,68,62
3,4:19.0,Violation by Team (delay of game),,68,62
3,4:06.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),68,65
3,3:51.0,Personal foul by D. Collison (drawn by D. Fox),,68,65
3,3:47.0,B. Hield misses 3-pt jump shot from 28 ft,,68,65
3,3:43.0,Offensive rebound by K. Koufos,,68,65
3,3:33.0,B. Hield misses 3-pt jump shot from 27 ft,,68,65
3,3:30.0,,Defensive rebound by D. McDermott,68,65
3,3:17.0,,D. McDermott makes 2-pt dunk from 2 ft (assist by D. Sabonis),68,67
3,3:06.0,K. Koufos misses 2-pt hook shot from 9 ft,,68,67
3,3:04.0,,Defensive rebound by M. Turner,68,67
3,2:59.0,Violation by Team (kicked ball),,68,67
3,2:53.0,,C. Joseph misses 2-pt jump shot from 16 ft,68,67
3,2:51.0,,Offensive rebound by D. Sabonis,68,67
3,2:50.0,,D. Sabonis makes 2-pt layup from 1 ft,68,69
3,2:33.0,W. Cauley-Stein misses 2-pt jump shot from 4 ft (block by M. Turner),,68,69
3,2:31.0,Offensive rebound by W. Cauley-Stein,,68,69
3,2:30.0,K. Koufos misses 2-pt hook shot from 3 ft,,68,69
3,2:27.0,,Defensive rebound by M. Turner,68,69
3,2:26.0,,Turnover by M. Turner (bad pass; steal by W. Cauley-Stein),68,69
3,2:21.0,Turnover by W. Cauley-Stein (bad pass; steal by C. Joseph),,68,69
3,2:18.0,,C. Joseph makes 2-pt layup from 2 ft,68,71
3,2:18.0,Sacramento full timeout,,68,71
3,2:18.0,N. Bjelica enters the game for W. Cauley-Stein,,68,71
3,2:18.0,B. Bogdanović enters the game for B. Hield,,68,71
3,2:02.0,D. Fox makes 2-pt jump shot from 18 ft,,70,71
3,1:43.0,,M. Turner misses 2-pt jump shot from 21 ft,70,71
3,1:41.0,,Offensive rebound by D. Collison,70,71
3,1:31.0,,M. Turner misses 2-pt jump shot from 7 ft,70,71
3,1:28.0,Defensive rebound by K. Koufos,,70,71
3,1:12.0,K. Koufos misses 2-pt hook shot from 5 ft,,70,71
3,1:10.0,,Defensive rebound by D. Sabonis,70,71
3,1:01.0,,D. Sabonis makes 2-pt hook shot from 6 ft (assist by D. Collison),70,73
3,0:36.0,Turnover by Team (shot clock),,70,73
3,0:36.0,T. Williams enters the game for D. Fox,,70,73
3,0:24.0,,Personal foul by J. Jackson (drawn by D. Collison),70,73
3,0:24.0,,T. Young enters the game for M. Turner,70,73
3,0:19.0,,D. Sabonis misses 2-pt jump shot from 9 ft,70,73
3,0:16.0,Defensive rebound by N. Bjelica,,70,73
3,0:03.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,70,73
3,0:00.0,,Defensive rebound by D. McDermott,70,73
3,0:00.0,,D. McDermott misses 3-pt jump shot from 53 ft,70,73
3,0:00.0,,Offensive rebound by Team,70,73
4,11:49.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,70,73
4,11:44.0,,Defensive rebound by A. Holiday,70,73
4,11:32.0,,D. McDermott misses 2-pt layup from 1 ft (block by J. Jackson),70,73
4,11:27.0,,Offensive rebound by D. McDermott,70,73
4,11:27.0,,D. McDermott makes 2-pt layup at rim,70,75
4,11:17.0,Personal foul by C. Joseph (drawn by F. Mason),,70,75
4,11:08.0,J. Jackson misses 3-pt jump shot from 23 ft,,70,75
4,11:03.0,,Defensive rebound by A. Holiday,70,75
4,10:59.0,,C. Joseph makes 2-pt layup from 2 ft (assist by A. Holiday),70,77
4,10:38.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,73,77
4,10:20.0,,Shooting foul by B. Bogdanović (drawn by D. Sabonis),73,77
4,10:20.0,,D. Sabonis makes free throw 1 of 2,73,78
4,10:20.0,,D. Sabonis makes free throw 2 of 2,73,79
4,10:09.0,B. Bogdanović makes 2-pt jump shot from 5 ft (assist by F. Mason),,75,79
4,9:52.0,,T. Young makes 2-pt hook shot from 7 ft (assist by A. Holiday),75,81
4,9:47.0,F. Mason misses 2-pt jump shot from 12 ft (block by A. Holiday),,75,81
4,9:44.0,Offensive rebound by Team,,75,81
4,9:42.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by T. Williams),,78,81
4,9:24.0,,A. Holiday misses 2-pt jump shot from 6 ft (block by K. Koufos),78,81
4,9:23.0,,Offensive rebound by T. Young,78,81
4,9:23.0,,T. Young misses 2-pt layup from 4 ft,78,81
4,9:22.0,Defensive rebound by T. Williams,,78,81
4,9:16.0,F. Mason makes 2-pt jump shot from 18 ft (assist by T. Williams),,80,81
4,8:59.0,,Turnover by D. Sabonis (bad pass; steal by T. Williams),80,81
4,8:54.0,T. Williams misses 2-pt layup from 2 ft,,80,81
4,8:51.0,,Defensive rebound by A. Holiday,80,81
4,8:51.0,M. Bagley enters the game for T. Williams,,80,81
4,8:42.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by C. Joseph),80,84
4,8:18.0,M. Bagley misses 2-pt layup from 2 ft (block by T. Young),,80,84
4,8:16.0,Offensive rebound by M. Bagley,,80,84
4,8:13.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Bagley),,83,84
4,8:08.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),83,87
4,7:54.0,Personal foul by A. Holiday (drawn by K. Koufos),,83,87
4,7:54.0,W. Cauley-Stein enters the game for K. Koufos,,83,87
4,7:44.0,Turnover by F. Mason (bad pass; steal by D. Sabonis),,83,87
4,7:38.0,,A. Holiday misses 3-pt jump shot from 28 ft,83,87
4,7:36.0,Defensive rebound by W. Cauley-Stein,,83,87
4,7:28.0,M. Bagley misses 2-pt layup from 1 ft,,83,87
4,7:26.0,,Defensive rebound by C. Joseph,83,87
4,7:12.0,,D. Sabonis makes 2-pt hook shot from 10 ft,83,89
4,7:12.0,Sacramento full timeout,,83,89
4,7:12.0,D. Fox enters the game for F. Mason,,83,89
4,6:59.0,Turnover by B. Bogdanović (lost ball; steal by A. Holiday),,83,89
4,6:54.0,,T. Young misses 2-pt layup from 6 ft (block by D. Fox),83,89
4,6:51.0,,Offensive rebound by C. Joseph,83,89
4,6:44.0,,T. Young misses 2-pt jump shot from 2 ft,83,89
4,6:41.0,Defensive rebound by W. Cauley-Stein,,83,89
4,6:31.0,Turnover by M. Bagley (bad pass; steal by A. Holiday),,83,89
4,6:10.0,,C. Joseph makes 2-pt jump shot from 11 ft,83,91
4,5:51.0,D. Fox misses 2-pt layup from 2 ft,,83,91
4,5:47.0,Offensive rebound by W. Cauley-Stein,,83,91
4,5:47.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,85,91
4,5:28.0,,D. McDermott misses 2-pt layup from 3 ft,85,91
4,5:26.0,,Offensive rebound by D. Sabonis,85,91
4,5:18.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),85,93
4,5:18.0,,Shooting foul by M. Bagley (drawn by T. Young),85,93
4,5:18.0,N. Bjelica enters the game for M. Bagley,,85,93
4,5:18.0,B. Hield enters the game for B. Bogdanović,,85,93
4,5:18.0,,B. Bogdanović enters the game for D. McDermott,85,93
4,5:18.0,,T. Young makes free throw 1 of 1,85,94
4,5:11.0,Turnover by D. Fox (bad pass; steal by A. Holiday),,85,94
4,5:05.0,,T. Young makes 2-pt layup from 1 ft (assist by B. Bogdanović),85,96
