QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
2,5:37.0,,L. Aldridge misses 2-pt jump shot from 15 ft,49,42
2,5:35.0,Defensive rebound by G. Antetokounmpo,,49,42
2,5:32.0,Shooting foul by D. DeRozan (drawn by G. Antetokounmpo),,49,42
2,5:32.0,G. Antetokounmpo makes free throw 1 of 2,,50,42
2,5:32.0,N. Mirotić enters the game for D. DiVincenzo,,50,42
2,5:32.0,,D. Bertāns enters the game for D. Cunningham,50,42
2,5:32.0,G. Antetokounmpo makes free throw 2 of 2,,51,42
2,5:17.0,,M. Belinelli misses 3-pt jump shot from 27 ft,51,42
2,5:13.0,Defensive rebound by E. Bledsoe,,51,42
2,5:08.0,K. Middleton misses 3-pt jump shot from 25 ft,,51,42
2,5:05.0,,Defensive rebound by D. White,51,42
2,4:58.0,,D. Bertāns misses 3-pt jump shot from 26 ft,51,42
2,4:55.0,Defensive rebound by N. Mirotić,,51,42
2,4:47.0,G. Antetokounmpo makes 2-pt layup from 4 ft (assist by N. Mirotić),,53,42
2,4:38.0,,D. White makes 2-pt jump shot from 12 ft,53,44
2,4:27.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,53,44
2,4:24.0,,Defensive rebound by L. Aldridge,53,44
2,4:14.0,,M. Belinelli misses 2-pt jump shot from 14 ft,53,44
2,4:12.0,Defensive rebound by B. Lopez,,53,44
2,4:09.0,Milwaukee full timeout,,53,44
2,4:09.0,D. DiVincenzo enters the game for G. Antetokounmpo,,53,44
2,4:09.0,P. Gasol enters the game for B. Lopez,,53,44
2,4:09.0,,P. Mills enters the game for D. White,53,44
2,4:01.0,Personal foul by M. Belinelli (drawn by N. Mirotić),,53,44
2,4:01.0,N. Mirotić makes free throw 1 of 2,,54,44
2,4:01.0,N. Mirotić makes free throw 2 of 2,,55,44
2,3:44.0,,Shooting foul by K. Middleton (drawn by D. DeRozan),55,44
2,3:44.0,,D. DeRozan makes free throw 1 of 2,55,45
2,3:44.0,,D. DeRozan misses free throw 2 of 2,55,45
2,3:41.0,Defensive rebound by N. Mirotić,,55,45
2,3:34.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,55,45
2,3:31.0,Offensive rebound by D. DiVincenzo,,55,45
2,3:17.0,N. Mirotić misses 2-pt jump shot from 13 ft,,55,45
2,3:14.0,,Defensive rebound by L. Aldridge,55,45
2,3:08.0,,P. Mills misses 2-pt layup from 2 ft,55,45
2,3:03.0,,Offensive rebound by L. Aldridge,55,45
2,3:03.0,,L. Aldridge misses 2-pt layup at rim,55,45
2,3:02.0,Defensive rebound by K. Middleton,,55,45
2,2:59.0,K. Middleton makes 2-pt layup from 4 ft,,57,45
2,2:40.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by P. Mills),57,47
2,2:27.0,K. Middleton misses 2-pt jump shot from 11 ft,,57,47
2,2:26.0,,Defensive rebound by M. Belinelli,57,47
2,2:17.0,,L. Aldridge makes 2-pt jump shot from 7 ft,57,49
2,2:01.0,E. Bledsoe makes 3-pt jump shot from 25 ft,,60,49
2,1:40.0,,L. Aldridge misses 2-pt jump shot from 10 ft,60,49
2,1:39.0,Defensive rebound by N. Mirotić,,60,49
2,1:23.0,Turnover by E. Bledsoe (bad pass; steal by D. Bertāns),,60,49
2,1:17.0,,Personal foul by N. Mirotić (drawn by L. Aldridge),60,49
2,1:17.0,G. Antetokounmpo enters the game for E. Bledsoe,,60,49
2,1:17.0,M. Brogdon enters the game for D. DiVincenzo,,60,49
2,1:17.0,,B. Forbes enters the game for M. Belinelli,60,49
2,1:08.0,,Shooting foul by M. Brogdon (drawn by P. Mills),60,49
2,1:08.0,,P. Mills misses free throw 1 of 3,60,49
2,1:08.0,,Offensive rebound by Team,60,49
2,1:08.0,,P. Mills makes free throw 2 of 3,60,50
2,1:08.0,,P. Mills makes free throw 3 of 3,60,51
2,0:48.0,N. Mirotić misses 3-pt jump shot from 30 ft,,60,51
2,0:44.0,,Defensive rebound by B. Forbes,60,51
2,0:32.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. Bertāns),60,54
2,0:18.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by L. Aldridge),,60,54
2,0:14.0,,Defensive rebound by D. Bertāns,60,54
2,0:00.0,,P. Mills misses 2-pt jump shot from 17 ft,60,54
2,0:00.0,,Offensive rebound by Team,60,54
3,11:46.0,,D. DeRozan misses 2-pt jump shot from 18 ft,60,54
3,11:42.0,Defensive rebound by E. Bledsoe,,60,54
3,11:37.0,Turnover by M. Brogdon (out of bounds lost ball),,60,54
3,11:25.0,,D. DeRozan makes 2-pt jump shot from 15 ft,60,56
3,11:04.0,K. Middleton misses 2-pt jump shot from 10 ft,,60,56
3,11:02.0,,Defensive rebound by L. Aldridge,60,56
3,10:48.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by L. Aldridge),60,58
3,10:36.0,Shooting foul by D. White (drawn by B. Lopez),,60,58
3,10:36.0,B. Lopez makes free throw 1 of 2,,61,58
3,10:36.0,B. Lopez makes free throw 2 of 2,,62,58
3,10:25.0,,D. DeRozan misses 2-pt layup from 2 ft (block by G. Antetokounmpo),62,58
3,10:20.0,,Offensive rebound by J. Poeltl,62,58
3,10:20.0,,J. Poeltl makes 2-pt layup from 1 ft,62,60
3,10:17.0,Personal foul by J. Poeltl (drawn by B. Lopez),,62,60
3,10:06.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,64,60
3,10:06.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,64,60
3,10:06.0,G. Antetokounmpo misses free throw 1 of 1,,64,60
3,10:04.0,Offensive rebound by G. Antetokounmpo,,64,60
3,9:59.0,B. Lopez misses 3-pt jump shot from 24 ft,,64,60
3,9:57.0,,Defensive rebound by J. Poeltl,64,60
3,9:53.0,,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),64,62
3,9:28.0,B. Lopez misses 2-pt layup from 4 ft,,64,62
3,9:28.0,Offensive rebound by Team,,64,62
3,9:28.0,,Loose ball foul by J. Poeltl (drawn by B. Lopez),64,62
3,9:19.0,K. Middleton misses 2-pt jump shot from 8 ft,,64,62
3,9:17.0,,Defensive rebound by D. DeRozan,64,62
3,9:14.0,,B. Forbes makes 2-pt layup from 9 ft (assist by D. DeRozan),64,64
3,8:54.0,B. Lopez misses 2-pt jump shot from 17 ft,,64,64
3,8:52.0,,Defensive rebound by B. Forbes,64,64
3,8:41.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. DeRozan),64,67
3,8:41.0,Milwaukee full timeout,,64,67
3,8:27.0,Turnover by K. Middleton (bad pass; steal by D. DeRozan),,64,67
3,8:06.0,,J. Poeltl makes 2-pt jump shot from 7 ft (assist by D. White),64,69
3,7:58.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,64,69
3,7:55.0,,Defensive rebound by J. Poeltl,64,69
3,7:45.0,,L. Aldridge makes 2-pt jump shot from 13 ft,64,71
3,7:23.0,G. Antetokounmpo misses 2-pt layup from 5 ft (block by L. Aldridge),,64,71
3,7:19.0,,Defensive rebound by B. Forbes,64,71
3,7:16.0,,B. Forbes misses 3-pt jump shot from 26 ft,64,71
3,7:14.0,Defensive rebound by K. Middleton,,64,71
3,7:12.0,Shooting foul by B. Forbes (drawn by E. Bledsoe),,64,71
3,7:12.0,E. Bledsoe misses free throw 1 of 2,,64,71
3,7:12.0,Offensive rebound by Team,,64,71
3,7:12.0,N. Mirotić enters the game for M. Brogdon,,64,71
3,7:12.0,E. Bledsoe misses free throw 2 of 2,,64,71
3,7:10.0,,Defensive rebound by D. DeRozan,64,71
3,6:55.0,,D. DeRozan misses 2-pt layup from 4 ft,64,71
3,6:53.0,Defensive rebound by B. Lopez,,64,71
3,6:46.0,Shooting foul by D. White (drawn by B. Lopez),,64,71
3,6:46.0,B. Lopez makes free throw 1 of 2,,65,71
3,6:46.0,P. Connaughton enters the game for E. Bledsoe,,65,71
3,6:46.0,B. Lopez makes free throw 2 of 2,,66,71
3,6:34.0,,L. Aldridge misses 2-pt jump shot from 19 ft,66,71
3,6:32.0,Defensive rebound by G. Antetokounmpo,,66,71
3,6:26.0,P. Connaughton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,69,71
3,6:11.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. White),69,73
3,6:00.0,K. Middleton misses 2-pt layup from 3 ft,,69,73
3,5:56.0,Offensive rebound by G. Antetokounmpo,,69,73
3,5:56.0,G. Antetokounmpo makes 2-pt dunk at rim,,71,73
3,5:37.0,,L. Aldridge misses 2-pt layup from 1 ft,71,73
3,5:34.0,Defensive rebound by N. Mirotić,,71,73
3,5:31.0,N. Mirotić makes 3-pt jump shot from 27 ft,,74,73
3,5:30.0,,San Antonio full timeout,74,73
3,5:30.0,E. Bledsoe enters the game for K. Middleton,,74,73
3,5:30.0,,M. Belinelli enters the game for B. Forbes,74,73
3,5:30.0,,D. Bertāns enters the game for J. Poeltl,74,73
3,5:30.0,,P. Mills enters the game for D. White,74,73
3,5:12.0,,Personal foul by G. Antetokounmpo (drawn by D. DeRozan),74,73
3,5:01.0,,D. Bertāns misses 3-pt jump shot from 26 ft,74,73
3,4:57.0,Defensive rebound by B. Lopez,,74,73
3,4:52.0,N. Mirotić misses 3-pt jump shot from 26 ft,,74,73
3,4:48.0,,Defensive rebound by L. Aldridge,74,73
3,4:45.0,,Personal foul by N. Mirotić (drawn by D. DeRozan),74,73
3,4:37.0,,M. Belinelli misses 2-pt jump shot from 11 ft,74,73
3,4:34.0,Defensive rebound by B. Lopez,,74,73
3,4:27.0,Turnover by B. Lopez (lost ball; steal by L. Aldridge),,74,73
3,4:21.0,,M. Belinelli misses 2-pt dunk at rim,74,73
3,4:19.0,,Offensive rebound by D. Bertāns,74,73
3,4:10.0,,D. Bertāns misses 2-pt hook shot from 2 ft,74,73
3,4:10.0,,Offensive rebound by Team,74,73
3,4:10.0,Violation by Team (delay of game),,74,73
3,4:10.0,K. Middleton enters the game for G. Antetokounmpo,,74,73
3,3:57.0,,L. Aldridge misses 2-pt jump shot from 16 ft,74,73
3,3:55.0,Defensive rebound by K. Middleton,,74,73
3,3:47.0,E. Bledsoe makes 2-pt layup from 1 ft,,76,73
3,3:32.0,,M. Belinelli misses 3-pt jump shot from 25 ft,76,73
3,3:30.0,,Offensive rebound by L. Aldridge,76,73
3,3:26.0,,D. Bertāns makes 2-pt jump shot from 16 ft (assist by P. Mills),76,75
3,3:26.0,P. Gasol enters the game for B. Lopez,,76,75
3,3:26.0,,J. Poeltl enters the game for L. Aldridge,76,75
3,3:02.0,K. Middleton misses 2-pt jump shot from 11 ft,,76,75
3,3:02.0,,Defensive rebound by Team,76,75
3,3:02.0,T. Snell enters the game for K. Middleton,,76,75
3,2:44.0,,D. DeRozan makes 2-pt jump shot from 9 ft,76,77
3,2:30.0,P. Connaughton makes 3-pt jump shot from 26 ft (assist by P. Gasol),,79,77
3,2:09.0,,D. DeRozan makes 2-pt jump shot from 8 ft,79,79
3,1:57.0,E. Bledsoe makes 2-pt layup from 2 ft,,81,79
3,1:46.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by J. Poeltl),81,82
3,1:35.0,Offensive foul by N. Mirotić (drawn by D. Bertāns),,81,82
3,1:35.0,Turnover by N. Mirotić (offensive foul),,81,82
3,1:22.0,,Shooting foul by T. Snell (drawn by D. DeRozan),81,82
3,1:22.0,,D. DeRozan makes free throw 1 of 2,81,83
3,1:22.0,M. Brogdon enters the game for E. Bledsoe,,81,83
3,1:22.0,,D. DeRozan makes free throw 2 of 2,81,84
3,1:09.0,N. Mirotić misses 2-pt jump shot from 14 ft,,81,84
3,1:05.0,,Defensive rebound by P. Mills,81,84
3,1:02.0,Violation by Team (kicked ball),,81,84
3,0:56.0,,D. DeRozan misses 2-pt jump shot from 17 ft,81,84
3,0:53.0,Defensive rebound by P. Connaughton,,81,84
3,0:39.0,P. Connaughton makes 2-pt jump shot from 19 ft,,83,84
3,0:26.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),83,87
3,0:04.0,Turnover by M. Brogdon (bad pass; steal by D. DeRozan),,83,87
3,0:00.0,,M. Belinelli misses 3-pt jump shot from 25 ft,83,87
3,0:00.0,,Offensive rebound by Team,83,87
4,11:43.0,M. Brogdon misses 3-pt jump shot from 25 ft,,83,87
4,11:39.0,,Defensive rebound by P. Mills,83,87
4,11:32.0,,P. Mills makes 3-pt jump shot from 25 ft,83,90
4,11:20.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,83,90
4,11:16.0,,Defensive rebound by J. Poeltl,83,90
4,11:06.0,,Shooting foul by P. Connaughton (drawn by D. White),83,90
4,11:06.0,,D. White misses free throw 1 of 2,83,90
4,11:06.0,,Offensive rebound by Team,83,90
4,11:06.0,,D. White makes free throw 2 of 2,83,91
4,10:46.0,P. Gasol misses 2-pt jump shot from 8 ft,,83,91
4,10:43.0,,Defensive rebound by J. Poeltl,83,91
4,10:38.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by M. Belinelli),83,93
4,10:38.0,Milwaukee full timeout,,83,93
4,10:38.0,B. Lopez enters the game for P. Gasol,,83,93
4,10:21.0,Turnover by D. DiVincenzo (off goaltending),,83,93
4,10:05.0,,D. White misses 2-pt layup from 5 ft,83,93
4,10:02.0,,Offensive rebound by J. Poeltl,83,93
4,10:00.0,,Turnover by J. Poeltl (lost ball; steal by B. Lopez),83,93
4,9:53.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,83,93
4,9:53.0,Offensive rebound by G. Antetokounmpo,,83,93
4,9:53.0,Shooting foul by D. White (drawn by G. Antetokounmpo),,83,93
4,9:53.0,G. Antetokounmpo misses free throw 1 of 2,,83,93
4,9:53.0,Offensive rebound by Team,,83,93
4,9:53.0,,L. Aldridge enters the game for D. Bertāns,83,93
4,9:53.0,G. Antetokounmpo makes free throw 2 of 2,,84,93
4,9:33.0,,P. Mills misses 3-pt jump shot from 26 ft,84,93
4,9:33.0,,Offensive rebound by J. Poeltl,84,93
4,9:21.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. White),84,95
4,9:12.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,84,95
4,9:09.0,,Defensive rebound by L. Aldridge,84,95
4,8:56.0,,L. Aldridge misses 2-pt jump shot from 17 ft,84,95
4,8:53.0,Defensive rebound by M. Brogdon,,84,95
4,8:43.0,M. Brogdon misses 3-pt jump shot from 25 ft,,84,95
4,8:43.0,Offensive rebound by Team,,84,95
4,8:43.0,K. Middleton enters the game for P. Connaughton,,84,95
4,8:43.0,,B. Forbes enters the game for P. Mills,84,95
4,8:28.0,M. Brogdon misses 2-pt layup from 2 ft,,84,95
4,8:26.0,,Defensive rebound by L. Aldridge,84,95
4,8:12.0,,L. Aldridge makes 2-pt hook shot from 5 ft,84,97
4,7:50.0,K. Middleton makes 2-pt jump shot from 10 ft,,86,97
4,7:29.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by J. Poeltl),86,100
4,7:29.0,Milwaukee full timeout,,86,100
4,7:29.0,E. Bledsoe enters the game for M. Brogdon,,86,100
4,7:29.0,P. Connaughton enters the game for D. DiVincenzo,,86,100
4,7:18.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,88,100
4,7:02.0,,D. White makes 2-pt jump shot from 18 ft,88,102
4,6:42.0,K. Middleton misses 3-pt jump shot from 27 ft,,88,102
4,6:40.0,,Defensive rebound by L. Aldridge,88,102
4,6:28.0,,D. White misses 2-pt jump shot from 15 ft,88,102
4,6:26.0,Defensive rebound by G. Antetokounmpo,,88,102
4,6:22.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,90,102
4,6:22.0,Shooting foul by M. Belinelli (drawn by E. Bledsoe),,90,102
4,6:22.0,E. Bledsoe makes free throw 1 of 1,,91,102
4,5:58.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by L. Aldridge),91,105
4,5:48.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,91,105
4,5:44.0,Offensive rebound by K. Middleton,,91,105
