QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
1,6:16.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft (block by M. Gasol),13,10
1,6:16.0,,Offensive rebound by Team,13,10
1,6:16.0,J. Green enters the game for J. Jackson,,13,10
1,6:12.0,,D. Gallinari misses 2-pt jump shot from 16 ft,13,10
1,6:07.0,Defensive rebound by M. Gasol,,13,10
1,5:57.0,M. Gasol misses 2-pt jump shot from 10 ft,,13,10
1,5:54.0,,Defensive rebound by Team,13,10
1,5:41.0,,A. Bradley misses 3-pt jump shot from 23 ft,13,10
1,5:39.0,Defensive rebound by J. Green,,13,10
1,5:29.0,J. Green misses 2-pt jump shot from 17 ft,,13,10
1,5:27.0,,Defensive rebound by T. Harris,13,10
1,5:16.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,13,10
1,5:13.0,Defensive rebound by J. Green,,13,10
1,5:00.0,M. Conley misses 3-pt jump shot from 26 ft,,13,10
1,4:57.0,,Defensive rebound by D. Gallinari,13,10
1,4:51.0,,T. Harris makes 2-pt jump shot from 16 ft,13,12
1,4:27.0,K. Anderson misses 2-pt layup from 3 ft (block by D. Gallinari),,13,12
1,4:24.0,,Defensive rebound by M. Gortat,13,12
1,4:22.0,,D. Gallinari makes 2-pt dunk at rim (assist by T. Harris),13,14
1,4:21.0,Memphis full timeout,,13,14
1,4:21.0,S. Mack enters the game for M. Conley,,13,14
1,4:21.0,W. Selden enters the game for G. Temple,,13,14
1,4:09.0,M. Gasol misses 2-pt hook shot from 9 ft,,13,14
1,4:06.0,,Defensive rebound by T. Harris,13,14
1,3:51.0,,D. Gallinari misses 2-pt jump shot from 8 ft,13,14
1,3:48.0,Defensive rebound by M. Gasol,,13,14
1,3:48.0,O. Casspi enters the game for K. Anderson,,13,14
1,3:48.0,,M. Harrell enters the game for A. Bradley,13,14
1,3:48.0,,L. Williams enters the game for M. Gortat,13,14
1,3:26.0,S. Mack makes 3-pt jump shot from 26 ft (assist by M. Gasol),,16,14
1,3:15.0,,T. Harris misses 3-pt jump shot from 25 ft,16,14
1,3:15.0,Defensive rebound by J. Green,,16,14
1,2:52.0,M. Gasol misses 2-pt jump shot from 12 ft,,16,14
1,2:46.0,,Defensive rebound by D. Gallinari,16,14
1,2:41.0,,L. Williams misses 2-pt jump shot from 21 ft,16,14
1,2:37.0,Defensive rebound by O. Casspi,,16,14
1,2:25.0,W. Selden makes 2-pt jump shot from 19 ft (assist by S. Mack),,18,14
1,2:25.0,J. Jackson enters the game for M. Gasol,,18,14
1,2:25.0,,M. Scott enters the game for D. Gallinari,18,14
1,2:04.0,,T. Harris makes 2-pt jump shot from 1 ft,18,16
1,1:44.0,S. Mack misses 2-pt jump shot from 6 ft,,18,16
1,1:41.0,,Defensive rebound by M. Scott,18,16
1,1:41.0,,P. Beverley enters the game for S. Gilgeous-Alexander,18,16
1,1:32.0,,T. Harris misses 2-pt jump shot from 10 ft,18,16
1,1:29.0,Defensive rebound by S. Mack,,18,16
1,1:23.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by S. Mack),,20,16
1,1:14.0,,Personal foul by W. Selden (drawn by L. Williams),20,16
1,1:14.0,,B. Marjanović enters the game for T. Harris,20,16
1,1:04.0,,P. Beverley misses 3-pt jump shot from 22 ft,20,16
1,1:02.0,Defensive rebound by O. Casspi,,20,16
1,0:54.0,W. Selden misses 2-pt jump shot from 7 ft (block by B. Marjanović),,20,16
1,0:50.0,,Defensive rebound by M. Harrell,20,16
1,0:41.0,,M. Harrell misses 2-pt jump shot from 4 ft,20,16
1,0:39.0,,Offensive rebound by B. Marjanović,20,16
1,0:38.0,,B. Marjanović misses 2-pt layup from 1 ft (block by J. Green),20,16
1,0:35.0,,Offensive rebound by M. Scott,20,16
1,0:34.0,,Turnover by M. Scott (bad pass; steal by S. Mack),20,16
1,0:25.0,O. Casspi makes 2-pt jump shot from 7 ft,,22,16
1,0:02.0,,L. Williams misses 2-pt jump shot from 10 ft (block by W. Selden),22,16
1,0:02.0,Defensive rebound by J. Jackson,,22,16
1,0:00.0,Turnover by J. Jackson (bad pass; steal by P. Beverley),,22,16
2,11:51.0,,Personal foul by J. Green (drawn by M. Harrell),22,16
2,11:41.0,,P. Beverley misses 2-pt jump shot from 9 ft,22,16
2,11:39.0,,Offensive rebound by M. Harrell,22,16
2,11:39.0,,M. Harrell misses 2-pt layup from 1 ft,22,16
2,11:39.0,,Offensive rebound by B. Marjanović,22,16
2,11:39.0,,B. Marjanović misses 2-pt layup from 2 ft,22,16
2,11:39.0,Defensive rebound by Team,,22,16
2,11:29.0,Turnover by S. Mack (bad pass; steal by P. Beverley),,22,16
2,11:20.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by L. Williams),22,18
2,11:03.0,J. Jackson misses 2-pt layup from 3 ft,,22,18
2,11:00.0,,Defensive rebound by M. Harrell,22,18
2,10:59.0,,Shooting foul by O. Casspi (drawn by M. Harrell),22,18
2,10:59.0,,M. Harrell makes free throw 1 of 2,22,19
2,10:59.0,,M. Harrell makes free throw 2 of 2,22,20
2,10:42.0,Personal foul by B. Marjanović (drawn by J. Jackson),,22,20
2,10:34.0,W. Selden misses 2-pt jump shot from 17 ft,,22,20
2,10:30.0,,Defensive rebound by L. Williams,22,20
2,10:25.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by P. Beverley),22,23
2,10:25.0,M. Conley enters the game for S. Mack,,22,23
2,10:10.0,J. Jackson makes 2-pt jump shot from 15 ft (assist by M. Conley),,24,23
2,9:46.0,,B. Marjanović makes 2-pt layup from 2 ft (assist by P. Beverley),24,25
2,9:21.0,M. Conley misses 2-pt jump shot from 10 ft,,24,25
2,9:20.0,Offensive rebound by Team,,24,25
2,9:11.0,Turnover by J. Jackson (bad pass),,24,25
2,9:02.0,,Shooting foul by O. Casspi (drawn by L. Williams),24,25
2,9:02.0,,L. Williams makes free throw 1 of 2,24,26
2,9:02.0,,L. Williams makes free throw 2 of 2,24,27
2,8:48.0,M. Conley misses 3-pt jump shot from 25 ft,,24,27
2,8:41.0,Offensive rebound by W. Selden,,24,27
2,8:41.0,W. Selden makes 2-pt layup at rim,,26,27
2,8:28.0,,Turnover by M. Harrell (lost ball; steal by J. Green),26,27
2,8:23.0,O. Casspi makes 2-pt layup from 2 ft (assist by M. Conley),,28,27
2,8:07.0,,M. Scott misses 2-pt layup from 1 ft (block by J. Jackson),28,27
2,8:04.0,,Offensive rebound by M. Scott,28,27
2,8:00.0,,Turnover by P. Beverley (bad pass),28,27
2,7:49.0,Offensive foul by M. Conley (drawn by P. Beverley),,28,27
2,7:49.0,Turnover by M. Conley (offensive foul),,28,27
2,7:49.0,,D. Gallinari enters the game for B. Marjanović,28,27
2,7:27.0,,M. Scott misses 2-pt jump shot from 18 ft,28,27
2,7:22.0,Defensive rebound by J. Jackson,,28,27
2,7:11.0,Personal foul by L. Williams (drawn by J. Jackson),,28,27
2,7:11.0,K. Anderson enters the game for O. Casspi,,28,27
2,7:11.0,G. Temple enters the game for W. Selden,,28,27
2,6:58.0,M. Conley makes 3-pt jump shot from 25 ft,,31,27
2,6:39.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),31,29
2,6:10.0,K. Anderson misses 2-pt layup from 2 ft,,31,29
2,6:08.0,,Defensive rebound by M. Harrell,31,29
2,6:05.0,,M. Scott misses 3-pt jump shot from 25 ft,31,29
2,6:01.0,Defensive rebound by J. Jackson,,31,29
2,5:57.0,J. Green misses 2-pt jump shot from 22 ft,,31,29
2,5:53.0,,Defensive rebound by M. Harrell,31,29
2,5:46.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),31,31
2,5:46.0,,Shooting foul by K. Anderson (drawn by M. Harrell),31,31
2,5:46.0,M. Gasol enters the game for J. Green,,31,31
2,5:46.0,,A. Bradley enters the game for M. Scott,31,31
2,5:46.0,,M. Harrell misses free throw 1 of 1,31,31
2,5:46.0,Defensive rebound by M. Gasol,,31,31
2,5:23.0,J. Jackson makes 2-pt dunk from 2 ft (assist by M. Conley),,33,31
2,5:08.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by L. Williams),33,34
2,5:02.0,Personal foul by D. Gallinari (drawn by J. Jackson),,33,34
2,4:50.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),,35,34
2,4:35.0,,P. Beverley misses 2-pt hook shot from 7 ft,35,34
2,4:32.0,Defensive rebound by G. Temple,,35,34
2,4:25.0,K. Anderson makes 2-pt jump shot from 6 ft (assist by M. Conley),,37,34
2,4:14.0,,L. Williams makes 2-pt jump shot from 16 ft,37,36
2,3:55.0,J. Jackson makes 2-pt dunk at rim (assist by M. Gasol),,39,36
2,3:41.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by L. Williams),39,39
2,3:25.0,M. Conley makes 2-pt jump shot from 4 ft,,41,39
2,3:19.0,,L. Williams misses 2-pt jump shot from 13 ft,41,39
2,3:16.0,Defensive rebound by K. Anderson,,41,39
2,3:04.0,J. Jackson misses 2-pt jump shot from 6 ft,,41,39
2,3:02.0,,Defensive rebound by D. Gallinari,41,39
2,2:57.0,,M. Harrell misses 2-pt layup from 2 ft (block by K. Anderson),41,39
2,2:55.0,Defensive rebound by M. Conley,,41,39
2,2:37.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,43,39
2,2:19.0,,M. Harrell makes 2-pt layup from 2 ft,43,41
2,2:19.0,,Shooting foul by M. Gasol (drawn by M. Harrell),43,41
2,2:19.0,Memphis full timeout,,43,41
2,2:19.0,J. Green enters the game for J. Jackson,,43,41
2,2:19.0,,M. Harrell makes free throw 1 of 1,43,42
2,1:59.0,M. Gasol makes 2-pt dunk from 2 ft (assist by M. Conley),,45,42
2,1:37.0,,D. Gallinari misses 2-pt jump shot from 14 ft,45,42
2,1:34.0,Defensive rebound by M. Gasol,,45,42
2,1:23.0,K. Anderson makes 2-pt layup from 5 ft (assist by M. Conley),,47,42
2,1:10.0,,M. Harrell misses 2-pt hook shot from 8 ft,47,42
2,1:08.0,Defensive rebound by J. Green,,47,42
2,1:01.0,K. Anderson misses 2-pt jump shot from 4 ft,,47,42
2,1:01.0,,Defensive rebound by Team,47,42
2,1:01.0,Loose ball foul by J. Green (drawn by P. Beverley),,47,42
2,1:01.0,,P. Beverley makes free throw 1 of 2,47,43
2,1:01.0,,S. Gilgeous-Alexander enters the game for M. Harrell,47,43
2,1:01.0,,T. Harris enters the game for L. Williams,47,43
2,1:01.0,,P. Beverley makes free throw 2 of 2,47,44
2,0:51.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,49,44
2,0:39.0,,T. Harris misses 3-pt jump shot from 28 ft,49,44
2,0:36.0,Defensive rebound by K. Anderson,,49,44
2,0:30.0,M. Conley misses 3-pt jump shot from 27 ft,,49,44
2,0:29.0,Offensive rebound by Team,,49,44
2,0:22.0,Personal foul by P. Beverley (drawn by M. Gasol),,49,44
2,0:16.0,M. Gasol makes 2-pt layup from 4 ft (assist by M. Conley),,51,44
2,0:16.0,Shooting foul by P. Beverley (drawn by M. Gasol),,51,44
2,0:16.0,M. Gasol makes free throw 1 of 1,,52,44
2,0:01.0,,S. Gilgeous-Alexander misses 2-pt layup from 4 ft,52,44
2,0:00.0,Defensive rebound by M. Gasol,,52,44
3,11:48.0,,A. Bradley misses 2-pt jump shot from 18 ft,52,44
3,11:43.0,Defensive rebound by M. Gasol,,52,44
3,11:24.0,K. Anderson misses 3-pt jump shot from 22 ft,,52,44
3,11:20.0,,Defensive rebound by D. Gallinari,52,44
3,11:12.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,52,46
3,10:59.0,Turnover by M. Conley (lost ball; steal by S. Gilgeous-Alexander),,52,46
3,10:56.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,52,48
3,10:33.0,K. Anderson misses 2-pt jump shot from 19 ft,,52,48
3,10:29.0,,Defensive rebound by M. Gortat,52,48
3,10:17.0,,Turnover by T. Harris (traveling),52,48
3,10:01.0,J. Jackson misses 3-pt jump shot from 26 ft,,52,48
3,9:59.0,,Defensive rebound by M. Gortat,52,48
3,9:50.0,,M. Gortat makes 2-pt jump shot from 7 ft (assist by S. Gilgeous-Alexander),52,50
3,9:48.0,Memphis full timeout,,52,50
3,9:23.0,M. Gasol makes 2-pt jump shot from 10 ft,,54,50
3,9:08.0,,Offensive foul by M. Gortat (drawn by K. Anderson),54,50
3,9:08.0,,Turnover by M. Gortat (offensive foul),54,50
3,8:53.0,G. Temple misses 3-pt jump shot from 24 ft,,54,50
3,8:49.0,,Defensive rebound by M. Gortat,54,50
3,8:40.0,,T. Harris makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),54,52
3,8:15.0,M. Gasol misses 3-pt jump shot from 25 ft,,54,52
3,8:12.0,,Defensive rebound by T. Harris,54,52
3,8:06.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,54,52
3,8:01.0,,Offensive rebound by M. Gortat,54,52
3,7:59.0,,D. Gallinari misses 3-pt jump shot from 26 ft,54,52
3,7:58.0,,Offensive rebound by S. Gilgeous-Alexander,54,52
3,7:58.0,,S. Gilgeous-Alexander misses 2-pt layup at rim,54,52
3,7:58.0,,Offensive rebound by Team,54,52
3,7:58.0,J. Green enters the game for J. Jackson,,54,52
3,7:43.0,,A. Bradley makes 2-pt jump shot from 6 ft (assist by S. Gilgeous-Alexander),54,54
3,7:29.0,Shooting foul by A. Bradley (drawn by M. Conley),,54,54
3,7:29.0,M. Conley makes free throw 1 of 2,,55,54
3,7:29.0,M. Conley makes free throw 2 of 2,,56,54
3,7:21.0,,Personal foul by M. Conley (drawn by S. Gilgeous-Alexander),56,54
3,7:08.0,,T. Harris makes 2-pt dunk from 2 ft,56,56
3,6:44.0,J. Green misses 2-pt hook shot from 11 ft,,56,56
3,6:41.0,,Defensive rebound by M. Gortat,56,56
3,6:34.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,56,56
3,6:29.0,Defensive rebound by M. Conley,,56,56
3,6:19.0,M. Conley makes 2-pt layup from 2 ft,,58,56
3,6:06.0,,A. Bradley makes 2-pt jump shot from 18 ft,58,58
3,5:52.0,M. Gasol misses 3-pt jump shot from 25 ft,,58,58
3,5:45.0,Offensive rebound by J. Green,,58,58
3,5:45.0,J. Green makes 2-pt layup from 1 ft,,60,58
3,5:33.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Harris),60,60
3,5:14.0,M. Conley makes 2-pt jump shot from 18 ft (assist by M. Gasol),,62,60
3,4:53.0,,Turnover by D. Gallinari (bad pass; steal by G. Temple),62,60
3,4:35.0,J. Green makes 2-pt layup from 1 ft (assist by K. Anderson),,64,60
3,4:24.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),64,63
3,4:17.0,Memphis full timeout,,64,63
3,4:17.0,S. Mack enters the game for M. Conley,,64,63
3,4:17.0,W. Selden enters the game for G. Temple,,64,63
3,3:59.0,J. Green misses 3-pt jump shot from 25 ft,,64,63
3,3:57.0,,Defensive rebound by T. Harris,64,63
3,3:52.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,64,63
3,3:49.0,Defensive rebound by J. Green,,64,63
3,3:41.0,M. Gasol makes 2-pt layup from 2 ft (assist by K. Anderson),,66,63
3,3:25.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by T. Harris),66,65
3,3:17.0,W. Selden misses 3-pt jump shot from 24 ft,,66,65
3,3:11.0,,Defensive rebound by S. Gilgeous-Alexander,66,65
3,3:05.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by A. Bradley),66,68
3,2:53.0,S. Mack makes 2-pt layup from 2 ft (assist by K. Anderson),,68,68
3,2:52.0,,LA Clippers full timeout,68,68
3,2:52.0,O. Casspi enters the game for K. Anderson,,68,68
3,2:52.0,,P. Beverley enters the game for A. Bradley,68,68
3,2:52.0,,M. Harrell enters the game for S. Gilgeous-Alexander,68,68
3,2:52.0,,L. Williams enters the game for M. Gortat,68,68
3,2:32.0,,T. Harris misses 2-pt jump shot from 16 ft,68,68
3,2:23.0,,Offensive rebound by M. Harrell,68,68
3,2:23.0,,M. Harrell misses 2-pt layup at rim,68,68
3,2:22.0,Defensive rebound by M. Gasol,,68,68
3,2:13.0,S. Mack misses 2-pt jump shot from 20 ft,,68,68
3,2:10.0,,Defensive rebound by D. Gallinari,68,68
3,2:10.0,,Personal foul by J. Green (drawn by D. Gallinari),68,68
3,2:10.0,J. Jackson enters the game for M. Gasol,,68,68
3,2:10.0,,M. Scott enters the game for D. Gallinari,68,68
3,2:00.0,,T. Harris misses 2-pt layup from 2 ft (block by J. Jackson),68,68
3,1:57.0,Defensive rebound by J. Jackson,,68,68
3,1:51.0,W. Selden misses 2-pt layup from 2 ft,,68,68
3,1:48.0,,Defensive rebound by M. Harrell,68,68
3,1:39.0,,Shooting foul by J. Jackson (drawn by M. Harrell),68,68
3,1:39.0,,M. Harrell makes free throw 1 of 2,68,69
3,1:39.0,,M. Harrell makes free throw 2 of 2,68,70
3,1:19.0,W. Selden makes 2-pt jump shot from 7 ft (assist by J. Jackson),,70,70
3,1:04.0,,Shooting foul by O. Casspi (drawn by M. Harrell),70,70
3,1:04.0,,M. Harrell makes free throw 1 of 2,70,71
3,1:04.0,,M. Harrell makes free throw 2 of 2,70,72
3,0:52.0,Personal foul by M. Harrell (drawn by J. Jackson),,70,72
3,0:45.0,W. Selden misses 2-pt jump shot from 18 ft,,70,72
3,0:44.0,,Defensive rebound by P. Beverley,70,72
3,0:33.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by P. Beverley),70,75
3,0:22.0,Offensive foul by S. Mack (drawn by P. Beverley),,70,75
3,0:22.0,Turnover by S. Mack (offensive foul),,70,75
3,0:02.0,,M. Scott misses 3-pt jump shot from 28 ft,70,75
3,0:00.0,Defensive rebound by W. Selden,,70,75
4,11:51.0,Personal foul by P. Beverley (drawn by S. Mack),,70,75
4,11:46.0,Turnover by M. Conley (offensive foul),,70,75
4,11:46.0,Offensive foul by M. Conley (drawn by A. Bradley),,70,75
4,11:35.0,,Personal foul by J. Green (drawn by M. Scott),70,75
4,11:35.0,,Personal foul by J. Jackson (drawn by M. Harrell),70,75
4,11:29.0,,Turnover by M. Harrell (lost ball; steal by S. Mack),70,75
4,11:27.0,S. Mack misses 2-pt layup from 1 ft,,70,75
4,11:26.0,Offensive rebound by J. Jackson,,70,75
4,11:26.0,J. Jackson makes 2-pt dunk from 1 ft,,72,75
4,11:10.0,,L. Williams misses 2-pt jump shot from 22 ft,72,75
4,11:10.0,Defensive rebound by Team,,72,75
4,11:10.0,,Loose ball foul by M. Harrell (drawn by O. Casspi),72,75
4,11:00.0,Offensive foul by M. Conley (drawn by L. Williams),,72,75
4,11:00.0,Turnover by M. Conley (offensive foul),,72,75
4,10:59.0,,Technical foul by M. Harrell,72,75
4,10:59.0,,Technical foul by,72,75
4,10:47.0,,L. Williams misses 2-pt layup from 2 ft,72,75
4,10:45.0,Defensive rebound by O. Casspi,,72,75
4,10:42.0,Turnover by M. Conley (bad pass; steal by A. Bradley),,72,75
4,10:39.0,,Turnover by M. Harrell (discontinued dribble),72,75
4,10:21.0,M. Conley makes 3-pt jump shot from 26 ft,,75,75
4,10:07.0,,Personal foul by M. Conley (drawn by P. Beverley),75,75
4,10:07.0,G. Temple enters the game for M. Conley,,75,75
4,9:57.0,,A. Bradley misses 2-pt jump shot from 21 ft,75,75
4,9:54.0,Defensive rebound by J. Green,,75,75
4,9:42.0,J. Jackson misses 2-pt jump shot from 9 ft,,75,75
4,9:41.0,Offensive rebound by J. Green,,75,75
4,9:40.0,J. Green misses 2-pt layup from 8 ft (block by M. Harrell),,75,75
4,9:38.0,Offensive rebound by Team,,75,75
4,9:38.0,,S. Gilgeous-Alexander enters the game for A. Bradley,75,75
4,9:37.0,Turnover by G. Temple (step out of bounds),,75,75
4,9:37.0,K. Anderson enters the game for O. Casspi,,75,75
4,9:28.0,,L. Williams misses 3-pt jump shot from 29 ft,75,75
4,9:26.0,Defensive rebound by K. Anderson,,75,75
4,9:24.0,Personal foul by M. Harrell (drawn by J. Jackson),,75,75
4,9:16.0,K. Anderson misses 2-pt jump shot from 9 ft,,75,75
4,9:13.0,,Defensive rebound by L. Williams,75,75
4,9:07.0,,Turnover by P. Beverley (bad pass; steal by G. Temple),75,75
4,9:01.0,S. Mack misses 2-pt layup from 1 ft,,75,75
4,8:54.0,Offensive rebound by K. Anderson,,75,75
4,8:54.0,K. Anderson misses 2-pt layup from 1 ft,,75,75
4,8:54.0,,Defensive rebound by M. Scott,75,75
4,8:46.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by M. Harrell),75,78
4,8:29.0,Personal foul by P. Beverley (drawn by S. Mack),,75,78
4,8:22.0,G. Temple makes 3-pt jump shot from 24 ft (assist by S. Mack),,78,78
4,8:10.0,,L. Williams misses 2-pt jump shot from 9 ft,78,78
4,8:10.0,Defensive rebound by Team,,78,78
4,8:10.0,,Loose ball foul by M. Harrell (drawn by S. Mack),78,78
4,8:10.0,S. Mack makes free throw 1 of 2,,79,78
4,8:10.0,S. Mack misses free throw 2 of 2,,79,78
4,8:07.0,,Defensive rebound by M. Harrell,79,78
4,8:00.0,,P. Beverley misses 3-pt jump shot from 22 ft,79,78
4,7:57.0,Defensive rebound by J. Jackson,,79,78
4,7:53.0,G. Temple makes 3-pt jump shot from 23 ft (assist by K. Anderson),,82,78
4,7:51.0,,LA Clippers full timeout,82,78
4,7:40.0,,Turnover by M. Scott (lost ball; steal by K. Anderson),82,78
4,7:27.0,G. Temple misses 3-pt jump shot from 25 ft,,82,78
4,7:23.0,,Defensive rebound by P. Beverley,82,78
4,7:12.0,,L. Williams misses 3-pt jump shot from 25 ft,82,78
4,7:09.0,Defensive rebound by J. Green,,82,78
4,6:53.0,J. Jackson misses 2-pt layup from 4 ft (block by M. Harrell),,82,78
4,6:53.0,,Defensive rebound by Team,82,78
4,6:53.0,M. Gasol enters the game for J. Green,,82,78
4,6:53.0,,D. Gallinari enters the game for M. Scott,82,78
4,6:53.0,,T. Harris enters the game for L. Williams,82,78
4,6:35.0,,M. Harrell misses 2-pt jump shot from 7 ft,82,78
4,6:32.0,Defensive rebound by S. Mack,,82,78
4,6:27.0,J. Jackson makes 2-pt hook shot from 4 ft (assist by M. Gasol),,84,78
4,6:27.0,Shooting foul by D. Gallinari (drawn by J. Jackson),,84,78
4,6:27.0,J. Jackson misses free throw 1 of 1,,84,78
4,6:25.0,,Defensive rebound by T. Harris,84,78
4,6:11.0,,Shooting foul by J. Jackson (drawn by T. Harris),84,78
4,6:11.0,,T. Harris makes free throw 1 of 2,84,79
4,6:11.0,,A. Bradley enters the game for P. Beverley,84,79
4,6:11.0,,T. Harris makes free throw 2 of 2,84,80
4,5:47.0,M. Gasol misses 2-pt jump shot from 18 ft,,84,80
4,5:43.0,,Defensive rebound by T. Harris,84,80
4,5:34.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,84,80
4,5:31.0,Defensive rebound by K. Anderson,,84,80
4,5:19.0,Shooting foul by D. Gallinari (drawn by J. Jackson),,84,80
4,5:19.0,J. Jackson makes free throw 1 of 2,,85,80
4,5:19.0,M. Conley enters the game for S. Mack,,85,80
4,5:19.0,J. Jackson makes free throw 2 of 2,,86,80
4,5:10.0,,D. Gallinari misses 3-pt jump shot from 26 ft,86,80
4,5:06.0,Defensive rebound by J. Jackson,,86,80
4,4:53.0,M. Gasol misses 2-pt jump shot from 13 ft,,86,80
4,4:50.0,,Defensive rebound by A. Bradley,86,80
4,4:43.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by T. Harris),86,82
4,4:28.0,Shooting foul by A. Bradley (drawn by M. Conley),,86,82
4,4:28.0,M. Conley makes free throw 1 of 2,,87,82
4,4:28.0,M. Conley makes free throw 2 of 2,,88,82
4,4:19.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),88,85
4,3:51.0,M. Gasol makes 2-pt jump shot from 9 ft,,90,85
4,3:40.0,,Turnover by S. Gilgeous-Alexander (offensive foul),90,85
4,3:40.0,,Offensive foul by S. Gilgeous-Alexander (drawn by M. Conley),90,85
4,3:40.0,J. Green enters the game for J. Jackson,,90,85
4,3:26.0,M. Conley makes 3-pt jump shot from 25 ft,,93,85
4,3:26.0,,LA Clippers full timeout,93,85
4,3:26.0,Memphis full timeout,,93,85
4,3:10.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,93,85
4,3:07.0,Defensive rebound by M. Gasol,,93,85
4,2:51.0,Offensive foul by M. Conley (drawn by A. Bradley),,93,85
4,2:51.0,Turnover by M. Conley (offensive foul),,93,85
4,2:51.0,S. Mack enters the game for M. Conley,,93,85
4,2:51.0,,P. Beverley enters the game for A. Bradley,93,85
