QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
2,10:38.0,,W. Selden misses 3-pt jump shot from 27 ft,37,38
2,10:31.0,Defensive rebound by D. Wright,,37,38
2,10:21.0,B. Caboclo makes 3-pt jump shot from 24 ft (assist by M. Conley),,40,38
2,10:02.0,,C. Felício misses 2-pt layup from 2 ft,40,38
2,10:02.0,,Offensive rebound by C. Felício,40,38
2,10:02.0,,C. Felício makes 2-pt layup from 1 ft,40,40
2,10:02.0,,Shooting foul by J. Noah (drawn by C. Felício),40,40
2,10:02.0,,C. Felício makes free throw 1 of 1,40,41
2,9:43.0,D. Wright makes 2-pt layup from 1 ft,,42,41
2,9:24.0,,Shooting foul by J. Noah (drawn by C. Felício),42,41
2,9:24.0,,C. Felício misses free throw 1 of 2,42,41
2,9:24.0,,Offensive rebound by Team,42,41
2,9:24.0,J. Carter enters the game for M. Conley,,42,41
2,9:24.0,J. Valančiūnas enters the game for J. Noah,,42,41
2,9:24.0,,C. Felício makes free throw 2 of 2,42,42
2,9:15.0,Turnover by J. Carter (out of bounds lost ball),,42,42
2,9:02.0,,Turnover by S. Harrison (lost ball; steal by J. Carter),42,42
2,8:58.0,J. Carter makes 2-pt layup from 1 ft,,44,42
2,8:54.0,,Chicago full timeout,44,42
2,8:54.0,,Z. LaVine enters the game for W. Selden,44,42
2,8:39.0,,Turnover by O. Porter (bad pass; steal by D. Wright),44,42
2,8:32.0,C. Miles misses 2-pt layup from 2 ft,,44,42
2,8:30.0,,Defensive rebound by C. Felício,44,42
2,8:23.0,,T. Luwawu-Cabarrot misses 2-pt layup from 5 ft (block by J. Valančiūnas),44,42
2,8:23.0,Defensive rebound by B. Caboclo,,44,42
2,8:11.0,J. Carter misses 3-pt jump shot from 23 ft,,44,42
2,8:08.0,,Defensive rebound by O. Porter,44,42
2,8:03.0,,O. Porter makes 2-pt layup from 4 ft,44,44
2,7:42.0,D. Wright makes 3-pt jump shot from 24 ft (assist by J. Carter),,47,44
2,7:19.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,47,44
2,7:16.0,Defensive rebound by J. Valančiūnas,,47,44
2,7:13.0,Shooting foul by O. Porter (drawn by J. Carter),,47,44
2,7:13.0,J. Carter makes free throw 1 of 2,,48,44
2,7:13.0,J. Holiday enters the game for C. Miles,,48,44
2,7:13.0,,R. Lopez enters the game for C. Felício,48,44
2,7:13.0,J. Carter misses free throw 2 of 2,,48,44
2,7:09.0,,Defensive rebound by O. Porter,48,44
2,6:49.0,,O. Porter misses 2-pt jump shot from 21 ft,48,44
2,6:45.0,Defensive rebound by J. Valančiūnas,,48,44
2,6:39.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,48,44
2,6:39.0,,Defensive rebound by Z. LaVine,48,44
2,6:29.0,,Z. LaVine misses 2-pt jump shot from 7 ft,48,44
2,6:28.0,,Offensive rebound by Z. LaVine,48,44
2,6:28.0,,Z. LaVine makes 2-pt layup from 2 ft,48,46
2,6:28.0,,Shooting foul by J. Valančiūnas (drawn by Z. LaVine),48,46
2,6:28.0,,R. Arcidiacono enters the game for S. Harrison,48,46
2,6:28.0,,Z. LaVine makes free throw 1 of 1,48,47
2,6:14.0,D. Wright makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),,51,47
2,5:55.0,,R. Lopez misses 2-pt hook shot from 6 ft,51,47
2,5:54.0,,Offensive rebound by R. Lopez,51,47
2,5:54.0,,R. Lopez misses 2-pt layup from 1 ft,51,47
2,5:52.0,,Offensive rebound by O. Porter,51,47
2,5:47.0,,Shooting foul by B. Caboclo (drawn by Z. LaVine),51,47
2,5:47.0,,Z. LaVine makes free throw 1 of 2,51,48
2,5:47.0,J. Jackson enters the game for B. Caboclo,,51,48
2,5:47.0,,L. Markkanen enters the game for T. Luwawu-Cabarrot,51,48
2,5:47.0,,Z. LaVine makes free throw 2 of 2,51,49
2,5:36.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,54,49
2,5:19.0,,Turnover by Z. LaVine (lost ball; steal by D. Wright),54,49
2,5:19.0,Personal foul by Z. LaVine (drawn by D. Wright),,54,49
2,5:05.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. Wright),,56,49
2,4:56.0,,Personal foul by J. Holiday (drawn by L. Markkanen),56,49
2,4:56.0,,L. Markkanen makes free throw 1 of 2,56,50
2,4:56.0,M. Conley enters the game for D. Wright,,56,50
2,4:56.0,,L. Markkanen makes free throw 2 of 2,56,51
2,4:47.0,M. Conley misses 2-pt jump shot from 22 ft,,56,51
2,4:42.0,,Defensive rebound by Z. LaVine,56,51
2,4:33.0,,O. Porter makes 2-pt jump shot from 21 ft,56,53
2,4:11.0,J. Jackson misses 3-pt jump shot from 22 ft (block by O. Porter),,56,53
2,4:11.0,Offensive rebound by Team,,56,53
2,4:08.0,M. Conley misses 3-pt jump shot from 25 ft,,56,53
2,4:07.0,Offensive rebound by Team,,56,53
2,4:07.0,Turnover by Team (shot clock),,56,53
2,3:56.0,,Turnover by O. Porter (bad pass; steal by J. Carter),56,53
2,3:56.0,Personal foul by R. Arcidiacono (drawn by J. Carter),,56,53
2,3:56.0,A. Bradley enters the game for J. Holiday,,56,53
2,3:48.0,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by M. Conley),,58,53
2,3:39.0,,Turnover by R. Lopez (offensive foul),58,53
2,3:39.0,,Offensive foul by R. Lopez (drawn by J. Valančiūnas),58,53
2,3:26.0,M. Conley misses 2-pt jump shot from 8 ft,,58,53
2,3:24.0,Offensive rebound by J. Carter,,58,53
2,3:11.0,A. Bradley misses 2-pt jump shot from 23 ft,,58,53
2,3:06.0,,Defensive rebound by O. Porter,58,53
2,2:59.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),58,56
2,2:31.0,J. Carter misses 2-pt jump shot from 19 ft,,58,56
2,2:28.0,,Defensive rebound by O. Porter,58,56
2,2:28.0,,Personal foul by M. Conley (drawn by O. Porter),58,56
2,2:28.0,Memphis full timeout,,58,56
2,2:28.0,C. Miles enters the game for J. Carter,,58,56
2,2:28.0,,O. Porter makes free throw 1 of 2,58,57
2,2:28.0,,O. Porter makes free throw 2 of 2,58,58
2,2:12.0,J. Jackson misses 2-pt hook shot from 5 ft (block by R. Lopez),,58,58
2,2:09.0,,Defensive rebound by R. Lopez,58,58
2,2:06.0,,O. Porter makes 2-pt jump shot from 19 ft (assist by Z. LaVine),58,60
2,1:48.0,J. Valančiūnas misses 2-pt jump shot from 11 ft,,58,60
2,1:44.0,,Defensive rebound by L. Markkanen,58,60
2,1:26.0,,Shooting foul by J. Jackson (drawn by L. Markkanen),58,60
2,1:26.0,,L. Markkanen makes free throw 1 of 2,58,61
2,1:26.0,J. Holiday enters the game for J. Jackson,,58,61
2,1:26.0,,L. Markkanen makes free throw 2 of 2,58,62
2,1:12.0,M. Conley misses 3-pt jump shot from 25 ft,,58,62
2,1:08.0,,Defensive rebound by Z. LaVine,58,62
2,0:56.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by R. Arcidiacono),58,64
2,0:46.0,C. Miles makes 2-pt jump shot from 11 ft (assist by J. Valančiūnas),,60,64
2,0:38.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by Z. LaVine),60,67
2,0:33.0,Shooting foul by Z. LaVine (drawn by M. Conley),,60,67
2,0:33.0,M. Conley makes free throw 1 of 2,,61,67
2,0:33.0,M. Conley makes free throw 2 of 2,,62,67
2,0:18.0,,L. Markkanen misses 3-pt jump shot from 25 ft,62,67
2,0:14.0,Defensive rebound by C. Miles,,62,67
2,0:14.0,Turnover by C. Miles (bad pass),,62,67
2,0:03.0,,Turnover by Z. LaVine (bad pass; steal by J. Holiday),62,67
3,11:41.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,62,67
3,11:37.0,,Defensive rebound by O. Porter,62,67
3,11:19.0,,O. Porter makes 2-pt jump shot from 14 ft (assist by R. Arcidiacono),62,69
3,11:03.0,A. Bradley misses 2-pt jump shot from 15 ft,,62,69
3,11:01.0,,Defensive rebound by L. Markkanen,62,69
3,10:59.0,,L. Markkanen misses 3-pt jump shot from 29 ft,62,69
3,10:57.0,Defensive rebound by A. Bradley,,62,69
3,10:47.0,Turnover by J. Valančiūnas (bad pass),,62,69
3,10:32.0,,L. Markkanen misses 2-pt layup from 4 ft (block by J. Jackson),62,69
3,10:27.0,Defensive rebound by M. Conley,,62,69
3,10:14.0,J. Valančiūnas makes 2-pt jump shot from 18 ft (assist by M. Conley),,64,69
3,10:00.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by R. Arcidiacono),64,71
3,9:48.0,M. Conley misses 2-pt layup from 2 ft,,64,71
3,9:45.0,,Defensive rebound by L. Markkanen,64,71
3,9:41.0,,O. Porter makes 2-pt dunk at rim (assist by L. Markkanen),64,73
3,9:23.0,A. Bradley makes 2-pt layup from 2 ft (assist by J. Valančiūnas),,66,73
3,9:03.0,,Shooting foul by J. Jackson (drawn by L. Markkanen),66,73
3,9:03.0,,L. Markkanen makes free throw 1 of 2,66,74
3,9:03.0,,L. Markkanen makes free throw 2 of 2,66,75
3,8:39.0,J. Valančiūnas misses 2-pt hook shot from 4 ft,,66,75
3,8:37.0,,Defensive rebound by L. Markkanen,66,75
3,8:31.0,,Turnover by R. Lopez (3 sec),66,75
3,8:22.0,M. Conley misses 2-pt jump shot from 19 ft,,66,75
3,8:18.0,,Defensive rebound by R. Arcidiacono,66,75
3,8:08.0,,Shooting foul by J. Valančiūnas (drawn by R. Lopez),66,75
3,8:08.0,,R. Lopez makes free throw 1 of 2,66,76
3,8:08.0,,R. Lopez makes free throw 2 of 2,66,77
3,7:44.0,J. Jackson misses 2-pt layup from 4 ft,,66,77
3,7:40.0,,Defensive rebound by L. Markkanen,66,77
3,7:34.0,,O. Porter misses 3-pt jump shot from 23 ft,66,77
3,7:32.0,Defensive rebound by J. Valančiūnas,,66,77
3,7:25.0,M. Conley misses 3-pt jump shot from 23 ft,,66,77
3,7:23.0,,Defensive rebound by O. Porter,66,77
3,7:21.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by O. Porter),66,79
3,7:21.0,,Shooting foul by A. Bradley (drawn by Z. LaVine),66,79
3,7:21.0,J. Noah enters the game for J. Holiday,,66,79
3,7:21.0,D. Wright enters the game for J. Valančiūnas,,66,79
3,7:21.0,,Z. LaVine makes free throw 1 of 1,66,80
3,7:11.0,Personal foul by O. Porter (drawn by M. Conley),,66,80
3,7:00.0,M. Conley makes 2-pt jump shot from 12 ft (assist by D. Wright),,68,80
3,6:37.0,,R. Lopez misses 2-pt hook shot from 4 ft,68,80
3,6:35.0,Defensive rebound by J. Jackson,,68,80
3,6:22.0,A. Bradley makes 2-pt jump shot from 22 ft (assist by D. Wright),,70,80
3,6:20.0,,Chicago full timeout,70,80
3,6:20.0,C. Miles enters the game for M. Conley,,70,80
3,6:20.0,,W. Selden enters the game for O. Porter,70,80
3,6:03.0,,Z. LaVine makes 2-pt layup from 2 ft,70,82
3,5:48.0,J. Noah makes 2-pt dunk from 1 ft (assist by D. Wright),,72,82
3,5:28.0,,Shooting foul by J. Noah (drawn by R. Lopez),72,82
3,5:28.0,,R. Lopez makes free throw 1 of 2,72,83
3,5:28.0,,R. Lopez makes free throw 2 of 2,72,84
3,5:14.0,C. Miles makes 3-pt jump shot from 25 ft (assist by A. Bradley),,75,84
3,4:59.0,,R. Lopez makes 2-pt layup from 1 ft (assist by R. Arcidiacono),75,86
3,4:48.0,Personal foul by W. Selden (drawn by J. Noah),,75,86
3,4:32.0,J. Noah misses 2-pt layup from 3 ft,,75,86
3,4:29.0,,Defensive rebound by R. Lopez,75,86
3,4:20.0,,R. Lopez misses 3-pt jump shot from 26 ft,75,86
3,4:16.0,Defensive rebound by D. Wright,,75,86
3,4:15.0,Personal foul by R. Arcidiacono (drawn by D. Wright),,75,86
3,4:15.0,I. Rabb enters the game for J. Jackson,,75,86
3,4:07.0,J. Noah misses 2-pt jump shot from 18 ft,,75,86
3,4:04.0,,Defensive rebound by W. Selden,75,86
3,3:54.0,,R. Lopez makes 2-pt layup from 1 ft (assist by L. Markkanen),75,88
3,3:40.0,Personal foul by R. Arcidiacono (drawn by I. Rabb),,75,88
3,3:40.0,T. Dorsey enters the game for A. Bradley,,75,88
3,3:40.0,,C. Felício enters the game for R. Lopez,75,88
3,3:35.0,C. Miles misses 3-pt jump shot from 26 ft,,75,88
3,3:31.0,,Defensive rebound by L. Markkanen,75,88
3,3:15.0,,Z. LaVine misses 2-pt layup from 2 ft,75,88
3,3:15.0,,Offensive rebound by C. Felício,75,88
3,3:15.0,,Shooting foul by C. Miles (drawn by C. Felício),75,88
3,3:15.0,,C. Felício misses free throw 1 of 2,75,88
3,3:15.0,,Offensive rebound by Team,75,88
3,3:15.0,,S. Harrison enters the game for R. Arcidiacono,75,88
3,3:15.0,,C. Felício makes free throw 2 of 2,75,89
3,2:59.0,I. Rabb misses 2-pt layup from 2 ft,,75,89
3,2:57.0,Offensive rebound by T. Dorsey,,75,89
3,2:51.0,D. Wright makes 2-pt layup from 3 ft (assist by C. Miles),,77,89
3,2:26.0,,C. Felício misses 2-pt hook shot from 7 ft,77,89
3,2:24.0,Defensive rebound by T. Dorsey,,77,89
3,2:15.0,D. Wright misses 3-pt jump shot from 25 ft,,77,89
3,2:12.0,,Defensive rebound by Z. LaVine,77,89
3,2:06.0,,Personal foul by T. Dorsey (drawn by W. Selden),77,89
3,2:06.0,Memphis full timeout,,77,89
3,2:06.0,,T. Luwawu-Cabarrot enters the game for Z. LaVine,77,89
3,2:06.0,,Offensive rebound by Team,77,89
3,2:06.0,,W. Selden misses free throw 1 of 2,77,89
3,2:06.0,,W. Selden makes free throw 2 of 2,77,90
3,1:45.0,T. Dorsey makes 2-pt jump shot from 6 ft,,79,90
3,1:25.0,,Turnover by W. Selden (lost ball; steal by I. Rabb),79,90
3,1:18.0,D. Wright misses 2-pt layup from 7 ft,,79,90
3,1:16.0,,Defensive rebound by L. Markkanen,79,90
3,1:07.0,,L. Markkanen makes 2-pt jump shot from 4 ft,79,92
3,0:49.0,Shooting foul by L. Markkanen (drawn by J. Noah),,79,92
3,0:49.0,Offensive rebound by Team,,79,92
3,0:49.0,J. Noah misses free throw 1 of 2,,79,92
3,0:49.0,M. Conley enters the game for I. Rabb,,79,92
3,0:49.0,J. Noah makes free throw 2 of 2,,80,92
3,0:40.0,,L. Markkanen misses 2-pt jump shot from 17 ft,80,92
3,0:37.0,Defensive rebound by M. Conley,,80,92
3,0:32.0,T. Dorsey misses 3-pt jump shot from 24 ft,,80,92
3,0:28.0,Offensive rebound by T. Dorsey,,80,92
3,0:23.0,C. Miles makes 3-pt jump shot from 29 ft (assist by D. Wright),,83,92
3,0:02.0,,L. Markkanen misses 2-pt jump shot from 21 ft,83,92
3,0:02.0,Defensive rebound by J. Noah,,83,92
4,11:43.0,,O. Porter makes 2-pt jump shot from 10 ft,83,94
4,11:30.0,Shooting foul by S. Harrison (drawn by M. Conley),,83,94
4,11:30.0,M. Conley makes free throw 1 of 2,,84,94
4,11:30.0,M. Conley makes free throw 2 of 2,,85,94
4,11:13.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by O. Porter),85,97
4,10:54.0,T. Dorsey makes 2-pt layup from 1 ft (assist by C. Miles),,87,97
4,10:40.0,,S. Harrison makes 2-pt layup from 1 ft,87,99
4,10:29.0,Personal foul by W. Selden (drawn by M. Conley),,87,99
4,10:23.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Noah),,87,99
4,10:23.0,J. Noah misses free throw 1 of 2,,87,99
4,10:23.0,Offensive rebound by Team,,87,99
4,10:23.0,J. Noah makes free throw 2 of 2,,88,99
4,10:06.0,,S. Harrison misses 2-pt layup from 6 ft,88,99
4,9:58.0,,S. Harrison makes 2-pt layup from 1 ft,88,101
4,9:58.0,,Offensive rebound by S. Harrison,88,101
4,9:44.0,T. Dorsey misses 3-pt jump shot from 25 ft,,88,101
4,9:41.0,,Defensive rebound by S. Harrison,88,101
4,9:32.0,,Personal foul by D. Wright (drawn by O. Porter),88,101
4,9:32.0,J. Carter enters the game for M. Conley,,88,101
4,9:27.0,,W. Selden makes 2-pt jump shot from 21 ft,88,103
4,9:14.0,J. Noah makes 2-pt layup from 1 ft (assist by T. Dorsey),,90,103
4,8:56.0,,O. Porter makes 2-pt jump shot from 19 ft,90,105
4,8:41.0,C. Miles misses 2-pt jump shot from 12 ft,,90,105
4,8:39.0,,Defensive rebound by S. Harrison,90,105
4,8:26.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 5 ft (block by J. Noah),90,105
4,8:22.0,Defensive rebound by J. Carter,,90,105
4,8:22.0,C. Miles misses 3-pt jump shot from 24 ft,,90,105
4,8:20.0,,Defensive rebound by Team,90,105
4,8:20.0,A. Bradley enters the game for T. Dorsey,,90,105
4,8:20.0,J. Holiday enters the game for D. Wright,,90,105
4,8:01.0,,W. Selden misses 2-pt layup from 3 ft (block by J. Noah),90,105
4,8:01.0,,Offensive rebound by Team,90,105
4,8:01.0,,R. Arcidiacono enters the game for S. Harrison,90,105
4,7:55.0,,W. Selden misses 2-pt jump shot from 19 ft,90,105
4,7:51.0,Defensive rebound by C. Miles,,90,105
4,7:42.0,J. Holiday makes 2-pt jump shot from 20 ft (assist by J. Carter),,92,105
4,7:42.0,,Chicago full timeout,92,105
4,7:42.0,J. Jackson enters the game for C. Miles,,92,105
4,7:42.0,,R. Lopez enters the game for C. Felício,92,105
4,7:23.0,,O. Porter misses 3-pt jump shot from 26 ft,92,105
4,7:21.0,Defensive rebound by J. Noah,,92,105
4,7:10.0,Def 3 sec tech foul by Team,,92,105
4,7:10.0,J. Holiday makes technical free throw,,93,105
4,7:04.0,A. Bradley misses 2-pt jump shot from 21 ft,,93,105
4,7:03.0,,Defensive rebound by Team,93,105
4,6:53.0,,Personal foul by J. Carter (drawn by R. Arcidiacono),93,105
4,6:53.0,,Z. LaVine enters the game for T. Luwawu-Cabarrot,93,105
4,6:53.0,,L. Markkanen enters the game for W. Selden,93,105
4,6:41.0,,Turnover by Z. LaVine (bad pass; steal by J. Holiday),93,105
4,6:33.0,J. Holiday misses 2-pt layup from 4 ft,,93,105
4,6:31.0,,Defensive rebound by R. Lopez,93,105
4,6:22.0,,O. Porter misses 2-pt jump shot from 18 ft,93,105
4,6:20.0,Defensive rebound by J. Carter,,93,105
4,6:18.0,Flagrant foul type 1 by R. Arcidiacono (drawn by J. Noah),,93,105
4,6:18.0,J. Noah makes flagrant free throw 1 of 2,,94,105
4,6:18.0,J. Noah makes flagrant free throw 2 of 2,,95,105
4,6:10.0,J. Jackson makes 2-pt jump shot from 16 ft (assist by J. Carter),,97,105
4,5:43.0,,L. Markkanen misses 2-pt layup from 2 ft,97,105
4,5:42.0,,Offensive rebound by O. Porter,97,105
4,5:31.0,,R. Lopez misses 2-pt layup from 6 ft,97,105
4,5:27.0,,Offensive rebound by O. Porter,97,105
4,5:26.0,,O. Porter makes 2-pt jump shot from 7 ft,97,107
4,5:19.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by J. Noah),,99,107
4,4:59.0,,L. Markkanen makes 2-pt jump shot from 12 ft,99,109
4,4:48.0,A. Bradley makes 2-pt jump shot from 8 ft (assist by J. Noah),,101,109
4,4:28.0,,O. Porter makes 2-pt jump shot from 18 ft (assist by L. Markkanen),101,111
4,4:10.0,J. Jackson misses 3-pt jump shot from 25 ft,,101,111
4,4:06.0,,Defensive rebound by R. Arcidiacono,101,111
4,3:50.0,,L. Markkanen misses 2-pt layup from 3 ft,101,111
4,3:50.0,,Offensive rebound by R. Lopez,101,111
4,3:50.0,,R. Lopez makes 2-pt layup from 1 ft,101,113
4,3:50.0,Memphis full timeout,,101,113
4,3:50.0,M. Conley enters the game for J. Carter,,101,113
4,3:50.0,J. Valančiūnas enters the game for J. Noah,,101,113
4,3:36.0,A. Bradley misses 3-pt jump shot from 26 ft,,101,113
4,3:32.0,,Defensive rebound by O. Porter,101,113
4,3:19.0,,O. Porter makes 2-pt jump shot from 22 ft,101,115
4,3:03.0,J. Valančiūnas misses 2-pt layup from 3 ft,,101,115
