QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
4,8:35.0,,Defensive rebound by J. Ingles,92,101
4,8:29.0,,J. Ingles misses 3-pt jump shot from 26 ft,92,101
4,8:25.0,Defensive rebound by D. Powell,,92,101
4,8:12.0,Turnover by J. Brunson (bad pass; steal by D. Mitchell),,92,101
4,8:01.0,,D. Mitchell misses 3-pt jump shot from 27 ft,92,101
4,7:57.0,Defensive rebound by M. Kleber,,92,101
4,7:44.0,D. Powell misses 2-pt jump shot from 24 ft,,92,101
4,7:40.0,,Defensive rebound by R. Rubio,92,101
4,7:37.0,,Personal foul by M. Kleber (drawn by R. Rubio),92,101
4,7:37.0,H. Barnes enters the game for J. Barea,,92,101
4,7:37.0,L. Dončić enters the game for J. Brunson,,92,101
4,7:37.0,D. Jordan enters the game for D. Finney-Smith,,92,101
4,7:37.0,W. Matthews enters the game for M. Kleber,,92,101
4,7:37.0,D. Smith enters the game for D. Powell,,92,101
4,7:37.0,,R. Gobert enters the game for E. Udoh,92,101
4,7:25.0,,Turnover by R. Rubio (step out of bounds),92,101
4,7:25.0,Technical foul by D. Smith,,92,101
4,7:25.0,,Technical foul by R. Rubio,92,101
4,7:12.0,H. Barnes misses 2-pt jump shot from 10 ft,,92,101
4,7:06.0,Offensive rebound by D. Smith,,92,101
4,7:06.0,Offensive foul by D. Smith (drawn by R. Rubio),,92,101
4,7:06.0,Turnover by D. Smith (offensive foul),,92,101
4,7:06.0,,J. Crowder enters the game for G. Niang,92,101
4,6:47.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by R. Rubio),92,103
4,6:32.0,D. Jordan makes 2-pt hook shot from 3 ft (assist by W. Matthews),,94,103
4,6:17.0,,Shooting foul by D. Smith (drawn by D. Mitchell),94,103
4,6:17.0,,D. Mitchell makes free throw 1 of 2,94,104
4,6:17.0,,D. Mitchell makes free throw 2 of 2,94,105
4,6:08.0,L. Dončić misses 2-pt jump shot from 22 ft,,94,105
4,6:06.0,,Defensive rebound by J. Crowder,94,105
4,5:48.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by D. Mitchell),94,107
4,5:46.0,Dallas full timeout,,94,107
4,5:33.0,Turnover by H. Barnes (bad pass; steal by D. Mitchell),,94,107
4,5:28.0,,J. Crowder misses 3-pt jump shot from 23 ft,94,107
4,5:23.0,Defensive rebound by D. Jordan,,94,107
4,5:12.0,D. Smith misses 2-pt jump shot from 8 ft,,94,107
4,5:12.0,,Defensive rebound by Team,94,107
4,5:12.0,Loose ball foul by D. Jordan (drawn by R. Gobert),,94,107
4,4:57.0,,R. Rubio misses 2-pt jump shot from 10 ft,94,107
4,4:53.0,Defensive rebound by D. Jordan,,94,107
4,4:47.0,Shooting foul by R. Rubio (drawn by L. Dončić),,94,107
4,4:47.0,L. Dončić makes free throw 1 of 2,,95,107
4,4:47.0,L. Dončić makes free throw 2 of 2,,96,107
4,4:27.0,,D. Mitchell misses 3-pt jump shot from 23 ft,96,107
4,4:24.0,Defensive rebound by D. Smith,,96,107
4,4:17.0,Offensive foul by D. Jordan (drawn by D. Mitchell),,96,107
4,4:17.0,Turnover by D. Jordan (offensive foul),,96,107
4,4:00.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),96,109
4,3:47.0,Offensive foul by H. Barnes (drawn by R. Gobert),,96,109
4,3:47.0,Turnover by H. Barnes (offensive foul),,96,109
4,3:30.0,,R. Gobert misses 2-pt layup from 2 ft,96,109
4,3:27.0,Defensive rebound by L. Dončić,,96,109
4,3:16.0,Shooting foul by R. Gobert (drawn by D. Jordan),,96,109
4,3:16.0,,Utah full timeout,96,109
4,3:16.0,,D. Favors enters the game for R. Gobert,96,109
4,3:16.0,D. Jordan makes free throw 1 of 2,,97,109
4,3:16.0,D. Jordan makes free throw 2 of 2,,98,109
4,3:00.0,,J. Ingles misses 3-pt jump shot from 25 ft,98,109
4,2:56.0,Defensive rebound by H. Barnes,,98,109
4,2:45.0,Turnover by D. Jordan (bad pass; steal by J. Crowder),,98,109
4,2:39.0,,R. Rubio misses 3-pt jump shot from 24 ft,98,109
4,2:36.0,,Offensive rebound by D. Favors,98,109
4,2:32.0,,Offensive foul by J. Crowder (drawn by D. Jordan),98,109
4,2:32.0,,Turnover by J. Crowder (offensive foul),98,109
4,2:21.0,W. Matthews misses 3-pt jump shot from 24 ft,,98,109
4,2:18.0,,Defensive rebound by R. Rubio,98,109
4,2:15.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Rubio),98,112
4,2:13.0,Dallas full timeout,,98,112
4,2:01.0,Turnover by L. Dončić (traveling),,98,112
4,1:43.0,,J. Crowder misses 3-pt jump shot from 24 ft,98,112
4,1:40.0,,Offensive rebound by D. Favors,98,112
4,1:40.0,,D. Favors makes 2-pt dunk from 1 ft,98,114
4,1:36.0,Personal foul by R. Rubio (drawn by D. Smith),,98,114
4,1:36.0,D. Smith makes free throw 1 of 2,,99,114
4,1:36.0,D. Smith makes free throw 2 of 2,,100,114
4,1:21.0,,R. Rubio misses 2-pt layup from 2 ft,100,114
4,1:18.0,Defensive rebound by D. Jordan,,100,114
4,1:18.0,Turnover by D. Jordan (bad pass; steal by J. Ingles),,100,114
4,1:15.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Ingles),100,117
4,1:03.0,Turnover by D. Smith (bad pass; steal by D. Favors),,100,117
4,0:48.0,,J. Ingles misses 3-pt jump shot from 24 ft,100,117
4,0:46.0,Defensive rebound by D. Jordan,,100,117
4,0:39.0,W. Matthews makes 2-pt jump shot from 9 ft,,102,117
4,0:18.0,,R. Rubio misses 3-pt jump shot from 27 ft,102,117
4,0:16.0,Defensive rebound by L. Dončić,,102,117
