QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
1,3:49.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,21,20
1,3:45.0,,Defensive rebound by N. Jokić,21,20
1,3:38.0,,Shooting foul by E. İlyasova (drawn by P. Millsap),21,20
1,3:38.0,,P. Millsap makes free throw 1 of 2,21,21
1,3:38.0,Milwaukee full timeout,,21,21
1,3:38.0,M. Brogdon enters the game for E. Bledsoe,,21,21
1,3:38.0,,M. Beasley enters the game for N. Jokić,21,21
1,3:38.0,,T. Lyles enters the game for J. Murray,21,21
1,3:38.0,,P. Millsap misses free throw 2 of 2,21,21
1,3:35.0,,Offensive rebound by P. Millsap,21,21
1,3:31.0,,M. Morris misses 3-pt jump shot from 24 ft,21,21
1,3:26.0,Defensive rebound by E. İlyasova,,21,21
1,3:14.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,24,21
1,3:00.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),24,24
1,2:40.0,M. Brogdon makes 2-pt layup from 3 ft,,26,24
1,2:23.0,,M. Beasley makes 2-pt jump shot from 18 ft (assist by P. Millsap),26,26
1,2:09.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by D. DiVincenzo),,28,26
1,1:55.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),28,29
1,1:41.0,Turnover by M. Brogdon (bad pass; steal by J. Hernangómez),,28,29
1,1:39.0,,J. Hernangómez makes 2-pt dunk from 1 ft,28,31
1,1:21.0,K. Middleton makes 3-pt jump shot from 25 ft,,31,31
1,1:00.0,,P. Millsap misses 2-pt jump shot from 14 ft,31,31
1,0:58.0,Defensive rebound by M. Brogdon,,31,31
1,0:50.0,E. İlyasova makes 2-pt layup from 4 ft (assist by M. Brogdon),,33,31
1,0:34.0,,T. Lyles makes 2-pt jump shot from 12 ft,33,33
1,0:13.0,Offensive foul by K. Middleton (drawn by T. Lyles),,33,33
1,0:13.0,Turnover by K. Middleton (offensive foul),,33,33
1,0:13.0,G. Antetokounmpo enters the game for E. İlyasova,,33,33
1,0:13.0,T. Snell enters the game for K. Middleton,,33,33
1,0:13.0,,M. Plumlee enters the game for P. Millsap,33,33
1,0:02.0,,M. Morris makes 2-pt jump shot from 12 ft,33,35
2,11:38.0,J. Henson misses 3-pt jump shot from 25 ft,,33,35
2,11:36.0,,Defensive rebound by Team,33,35
2,11:21.0,,J. Murray makes 2-pt jump shot from 16 ft,33,37
2,11:00.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,35,37
2,11:00.0,P. Connaughton enters the game for D. DiVincenzo,,35,37
2,11:00.0,B. Lopez enters the game for J. Henson,,35,37
2,10:37.0,,Turnover by J. Murray (bad pass; steal by B. Lopez),35,37
2,10:25.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,37,37
2,10:12.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Morris),37,40
2,9:54.0,B. Lopez misses 3-pt jump shot from 25 ft,,37,40
2,9:54.0,,Defensive rebound by M. Beasley,37,40
2,9:45.0,,T. Lyles misses 3-pt jump shot from 24 ft,37,40
2,9:42.0,Defensive rebound by Team,,37,40
2,9:28.0,M. Brogdon misses 2-pt layup from 5 ft (block by M. Morris),,37,40
2,9:26.0,,Defensive rebound by M. Morris,37,40
2,9:04.0,,T. Lyles misses 3-pt jump shot from 23 ft,37,40
2,9:02.0,Defensive rebound by M. Brogdon,,37,40
2,8:55.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,39,40
2,8:38.0,,J. Murray misses 2-pt jump shot from 19 ft (block by P. Connaughton),39,40
2,8:35.0,,Offensive rebound by J. Murray,39,40
2,8:33.0,,Turnover by J. Murray (lost ball; steal by T. Snell),39,40
2,8:30.0,Personal foul by T. Lyles (drawn by G. Antetokounmpo),,39,40
2,8:30.0,E. Bledsoe enters the game for M. Brogdon,,39,40
2,8:30.0,Milwaukee full timeout,,39,40
2,8:24.0,P. Connaughton misses 3-pt jump shot from 26 ft,,39,40
2,8:21.0,,Defensive rebound by Team,39,40
2,8:00.0,,T. Lyles makes 2-pt jump shot from 6 ft,39,42
2,7:44.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft,,41,42
2,7:26.0,,M. Beasley misses 3-pt jump shot from 22 ft,41,42
2,7:24.0,Defensive rebound by E. Bledsoe,,41,42
2,7:24.0,,G. Harris enters the game for J. Murray,41,42
2,7:04.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,41,42
2,7:01.0,,Defensive rebound by M. Beasley,41,42
2,6:40.0,,M. Morris misses 2-pt jump shot from 7 ft (block by B. Lopez),41,42
2,6:40.0,,Offensive rebound by Team,41,42
2,6:40.0,,N. Jokić enters the game for M. Plumlee,41,42
2,6:38.0,,N. Jokić misses 3-pt jump shot from 29 ft,41,42
2,6:35.0,Defensive rebound by G. Antetokounmpo,,41,42
2,6:26.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,44,42
2,6:25.0,,Denver full timeout,44,42
2,6:25.0,E. İlyasova enters the game for B. Lopez,,44,42
2,6:25.0,,J. Hernangómez enters the game for M. Beasley,44,42
2,6:25.0,,P. Millsap enters the game for T. Lyles,44,42
2,6:05.0,,G. Harris misses 3-pt jump shot from 25 ft,44,42
2,6:03.0,,Offensive rebound by P. Millsap,44,42
2,5:52.0,,Shooting foul by G. Antetokounmpo (drawn by P. Millsap),44,42
2,5:52.0,,P. Millsap makes free throw 1 of 2,44,43
2,5:52.0,,P. Millsap makes free throw 2 of 2,44,44
2,5:44.0,Personal foul by P. Millsap (drawn by P. Connaughton),,44,44
2,5:36.0,Personal foul by N. Jokić (drawn by E. Bledsoe),,44,44
2,5:29.0,E. İlyasova makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),,46,44
2,5:09.0,,G. Harris makes 2-pt jump shot from 13 ft,46,46
2,4:42.0,P. Connaughton misses 3-pt jump shot from 24 ft,,46,46
2,4:40.0,Offensive rebound by E. İlyasova,,46,46
2,4:36.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. İlyasova),,48,46
2,4:36.0,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),,48,46
2,4:36.0,B. Lopez enters the game for E. İlyasova,,48,46
2,4:36.0,K. Middleton enters the game for T. Snell,,48,46
2,4:36.0,,J. Murray enters the game for M. Morris,48,46
2,4:36.0,G. Antetokounmpo misses free throw 1 of 1,,48,46
2,4:36.0,,Defensive rebound by P. Millsap,48,46
2,4:21.0,,G. Harris misses 3-pt jump shot from 25 ft,48,46
2,4:17.0,,Offensive rebound by J. Murray,48,46
2,4:14.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Hernangómez),48,49
2,3:59.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,51,49
2,3:43.0,,G. Harris makes 2-pt jump shot from 12 ft (assist by N. Jokić),51,51
2,3:21.0,Turnover by G. Antetokounmpo (bad pass),,51,51
2,3:21.0,E. İlyasova enters the game for G. Antetokounmpo,,51,51
2,3:09.0,,Shooting foul by B. Lopez (drawn by P. Millsap),51,51
2,3:09.0,,P. Millsap makes free throw 1 of 2,51,52
2,3:09.0,M. Brogdon enters the game for E. Bledsoe,,51,52
2,3:09.0,,P. Millsap makes free throw 2 of 2,51,53
2,2:53.0,E. İlyasova misses 3-pt jump shot from 25 ft,,51,53
2,2:50.0,,Defensive rebound by J. Hernangómez,51,53
2,2:42.0,,Shooting foul by E. İlyasova (drawn by P. Millsap),51,53
2,2:42.0,,P. Millsap misses free throw 1 of 2,51,53
2,2:42.0,,Offensive rebound by Team,51,53
2,2:42.0,,P. Millsap makes free throw 2 of 2,51,54
2,2:26.0,K. Middleton misses 2-pt jump shot from 6 ft,,51,54
2,2:24.0,,Defensive rebound by P. Millsap,51,54
2,2:17.0,,P. Millsap misses 2-pt jump shot from 6 ft,51,54
2,2:15.0,Defensive rebound by Team,,51,54
2,2:05.0,M. Brogdon makes 2-pt layup from 2 ft,,53,54
2,2:05.0,Shooting foul by J. Murray (drawn by M. Brogdon),,53,54
2,2:05.0,M. Brogdon makes free throw 1 of 1,,54,54
2,1:56.0,,J. Murray misses 2-pt jump shot from 15 ft,54,54
2,1:53.0,Defensive rebound by P. Connaughton,,54,54
2,1:41.0,E. İlyasova makes 2-pt jump shot from 14 ft (assist by P. Connaughton),,56,54
2,1:22.0,,G. Harris misses 2-pt jump shot from 5 ft,56,54
2,1:20.0,Defensive rebound by E. İlyasova,,56,54
2,1:14.0,M. Brogdon misses 2-pt layup from 2 ft,,56,54
2,1:13.0,,Defensive rebound by P. Millsap,56,54
2,1:05.0,,Shooting foul by E. İlyasova (drawn by P. Millsap),56,54
2,1:05.0,,P. Millsap makes free throw 1 of 3,56,55
2,1:05.0,,P. Millsap misses free throw 2 of 3,56,55
2,1:05.0,,Offensive rebound by Team,56,55
2,1:05.0,G. Antetokounmpo enters the game for E. İlyasova,,56,55
2,1:05.0,,M. Morris enters the game for G. Harris,56,55
2,1:05.0,,P. Millsap makes free throw 3 of 3,56,56
2,0:49.0,B. Lopez makes 2-pt hook shot from 8 ft (assist by M. Brogdon),,58,56
2,0:41.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),58,59
2,0:32.0,K. Middleton makes 2-pt jump shot from 18 ft,,60,59
2,0:18.0,,M. Morris misses 2-pt jump shot from 9 ft,60,59
2,0:15.0,Defensive rebound by G. Antetokounmpo,,60,59
2,0:00.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by P. Connaughton),,63,59
3,11:49.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft,,65,59
3,11:28.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by P. Millsap),65,62
3,11:15.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,68,62
3,11:02.0,,N. Jokić misses 3-pt jump shot from 26 ft,68,62
3,10:59.0,Defensive rebound by M. Brogdon,,68,62
3,10:47.0,M. Brogdon misses 2-pt layup from 4 ft,,68,62
3,10:45.0,,Defensive rebound by N. Jokić,68,62
3,10:30.0,,J. Murray misses 3-pt jump shot from 22 ft,68,62
3,10:27.0,,Offensive rebound by P. Millsap,68,62
3,10:21.0,,P. Millsap misses 2-pt jump shot from 10 ft,68,62
3,10:20.0,Defensive rebound by B. Lopez,,68,62
3,9:58.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,68,62
3,9:55.0,,Defensive rebound by J. Murray,68,62
3,9:49.0,,J. Murray misses 2-pt layup from 2 ft,68,62
3,9:49.0,,Offensive rebound by N. Jokić,68,62
3,9:47.0,,N. Jokić makes 2-pt layup from 2 ft,68,64
3,9:31.0,Turnover by M. Brogdon (bad pass; steal by G. Harris),,68,64
3,9:28.0,,G. Harris makes 2-pt layup from 4 ft,68,66
3,9:28.0,,Shooting foul by K. Middleton (drawn by G. Harris),68,66
3,9:28.0,,G. Harris makes free throw 1 of 1,68,67
3,9:09.0,K. Middleton makes 2-pt jump shot from 18 ft,,70,67
3,8:43.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by P. Millsap),70,70
3,8:28.0,B. Lopez misses 3-pt jump shot from 23 ft,,70,70
3,8:27.0,,Defensive rebound by Team,70,70
3,8:19.0,,J. Murray makes 2-pt jump shot from 14 ft,70,72
3,7:53.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by N. Jokić),,70,72
3,7:53.0,Offensive rebound by Team,,70,72
3,7:50.0,B. Lopez misses 2-pt hook shot from 5 ft (block by P. Millsap),,70,72
3,7:45.0,,Defensive rebound by N. Jokić,70,72
3,7:44.0,,Shooting foul by M. Brogdon (drawn by N. Jokić),70,72
3,7:44.0,Milwaukee full timeout,,70,72
3,7:44.0,,N. Jokić makes free throw 1 of 2,70,73
3,7:44.0,,N. Jokić makes free throw 2 of 2,70,74
3,7:29.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,73,74
3,7:12.0,,N. Jokić misses 3-pt jump shot from 25 ft,73,74
3,7:09.0,Defensive rebound by E. Bledsoe,,73,74
3,7:00.0,B. Lopez makes 3-pt jump shot from 25 ft,,76,74
3,6:44.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,76,74
3,6:40.0,Defensive rebound by G. Antetokounmpo,,76,74
3,6:31.0,M. Brogdon makes 2-pt layup from 1 ft,,78,74
3,6:18.0,,J. Murray misses 2-pt layup from 1 ft,78,74
3,6:15.0,Defensive rebound by E. Bledsoe,,78,74
3,6:14.0,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),,78,74
3,6:14.0,G. Antetokounmpo misses free throw 1 of 2,,78,74
3,6:14.0,Offensive rebound by Team,,78,74
3,6:14.0,E. İlyasova enters the game for M. Brogdon,,78,74
3,6:14.0,G. Antetokounmpo misses free throw 2 of 2,,78,74
3,6:12.0,,Defensive rebound by P. Millsap,78,74
3,5:57.0,,P. Millsap misses 2-pt jump shot from 6 ft (block by G. Antetokounmpo),78,74
3,5:52.0,Defensive rebound by E. Bledsoe,,78,74
3,5:51.0,E. Bledsoe makes 3-pt jump shot from 25 ft,,81,74
3,5:49.0,,Denver full timeout,81,74
3,5:49.0,,M. Morris enters the game for J. Murray,81,74
3,5:29.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by P. Millsap),81,77
3,5:16.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by K. Middleton),,84,77
3,4:59.0,,Personal foul by K. Middleton (drawn by G. Harris),84,77
3,4:59.0,D. DiVincenzo enters the game for G. Antetokounmpo,,84,77
3,4:54.0,,G. Harris misses 2-pt jump shot from 2 ft,84,77
3,4:53.0,,Offensive rebound by G. Harris,84,77
3,4:42.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),84,80
3,4:26.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. İlyasova),,87,80
3,4:13.0,,P. Millsap misses 3-pt jump shot from 25 ft,87,80
3,4:09.0,Defensive rebound by K. Middleton,,87,80
3,4:01.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,87,80
3,3:58.0,,Defensive rebound by J. Hernangómez,87,80
3,3:58.0,,T. Lyles enters the game for P. Millsap,87,80
3,3:35.0,,G. Harris misses 2-pt layup from 3 ft,87,80
3,3:33.0,Defensive rebound by D. DiVincenzo,,87,80
3,3:30.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,,87,80
3,3:26.0,Offensive rebound by E. İlyasova,,87,80
3,3:20.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by D. DiVincenzo),,90,80
3,3:20.0,M. Brogdon enters the game for E. Bledsoe,,90,80
3,3:06.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),90,83
3,2:56.0,Offensive foul by E. İlyasova (drawn by N. Jokić),,90,83
3,2:56.0,Turnover by E. İlyasova (offensive foul),,90,83
3,2:56.0,,M. Plumlee enters the game for N. Jokić,90,83
3,2:36.0,,G. Harris misses 2-pt jump shot from 20 ft,90,83
3,2:32.0,Defensive rebound by B. Lopez,,90,83
3,2:27.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by K. Middleton),,93,83
3,2:12.0,,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by M. Morris),93,86
3,1:49.0,Turnover by K. Middleton (bad pass; steal by G. Harris),,93,86
3,1:43.0,,Shooting foul by B. Lopez (drawn by G. Harris),93,86
3,1:43.0,G. Antetokounmpo enters the game for E. İlyasova,,93,86
3,1:43.0,T. Snell enters the game for K. Middleton,,93,86
3,1:43.0,,G. Harris makes free throw 1 of 2,93,87
3,1:43.0,,G. Harris misses free throw 2 of 2,93,87
3,1:41.0,Defensive rebound by G. Antetokounmpo,,93,87
3,1:30.0,M. Brogdon misses 2-pt jump shot from 17 ft,,93,87
3,1:25.0,Offensive rebound by M. Brogdon,,93,87
3,1:12.0,M. Brogdon misses 2-pt layup from 2 ft,,93,87
3,1:11.0,,Defensive rebound by M. Plumlee,93,87
3,0:57.0,,Turnover by J. Hernangómez (lost ball; steal by T. Snell),93,87
3,0:54.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,95,87
3,0:41.0,,Personal foul by B. Lopez (drawn by M. Plumlee),95,87
3,0:41.0,,M. Plumlee misses free throw 1 of 2,95,87
3,0:41.0,,Offensive rebound by Team,95,87
3,0:41.0,P. Connaughton enters the game for B. Lopez,,95,87
3,0:41.0,,M. Beasley enters the game for J. Hernangómez,95,87
3,0:41.0,,M. Plumlee makes free throw 2 of 2,95,88
3,0:31.0,T. Snell makes 2-pt layup from 4 ft (assist by G. Antetokounmpo),,97,88
3,0:18.0,,G. Harris misses 3-pt jump shot from 25 ft (block by P. Connaughton),97,88
3,0:13.0,Defensive rebound by G. Antetokounmpo,,97,88
3,0:07.0,Personal take foul by M. Plumlee (drawn by G. Antetokounmpo),,97,88
3,0:07.0,,J. Hernangómez enters the game for G. Harris,97,88
3,0:01.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,99,88
3,0:00.0,,M. Plumlee misses 3-pt jump shot from 59 ft,99,88
3,0:00.0,,Offensive rebound by Team,99,88
4,11:47.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Morris),99,91
4,11:31.0,Personal foul by M. Morris (drawn by D. DiVincenzo),,99,91
4,11:26.0,D. DiVincenzo makes 2-pt dunk from 1 ft (assist by J. Henson),,101,91
4,11:05.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Morris),101,94
4,10:48.0,D. DiVincenzo misses 3-pt jump shot from 23 ft,,101,94
4,10:47.0,,Defensive rebound by M. Morris,101,94
4,10:38.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Plumlee),101,97
4,10:26.0,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo),,101,97
4,10:26.0,G. Antetokounmpo misses free throw 1 of 2,,101,97
4,10:26.0,Offensive rebound by Team,,101,97
4,10:26.0,G. Antetokounmpo misses free throw 2 of 2,,101,97
4,10:24.0,,Defensive rebound by T. Lyles,101,97
4,10:13.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Morris),101,99
4,10:12.0,Milwaukee full timeout,,101,99
4,10:12.0,P. Connaughton enters the game for D. DiVincenzo,,101,99
4,10:12.0,B. Lopez enters the game for J. Henson,,101,99
4,9:53.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,101,99
4,9:49.0,,Defensive rebound by T. Lyles,101,99
4,9:36.0,,M. Beasley misses 3-pt jump shot from 25 ft,101,99
4,9:31.0,Defensive rebound by P. Connaughton,,101,99
4,9:23.0,M. Brogdon misses 2-pt layup from 6 ft (block by M. Plumlee),,101,99
4,9:20.0,,Defensive rebound by M. Morris,101,99
4,9:16.0,,T. Lyles makes 2-pt dunk at rim (assist by M. Morris),101,101
4,9:06.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,103,101
4,8:44.0,,M. Beasley misses 2-pt jump shot from 8 ft,103,101
4,8:42.0,Defensive rebound by B. Lopez,,103,101
4,8:37.0,B. Lopez misses 3-pt jump shot from 25 ft,,103,101
4,8:32.0,,Defensive rebound by M. Beasley,103,101
4,8:12.0,,J. Murray makes 2-pt jump shot from 23 ft,103,103
4,8:01.0,Turnover by G. Antetokounmpo (traveling),,103,103
4,8:01.0,K. Middleton enters the game for T. Snell,,103,103
4,7:52.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by M. Morris),103,105
4,7:36.0,Personal foul by M. Beasley (drawn by K. Middleton),,103,105
4,7:36.0,E. Bledsoe enters the game for M. Brogdon,,103,105
4,7:31.0,Turnover by B. Lopez (bad pass; steal by M. Beasley),,103,105
4,7:10.0,,T. Lyles misses 2-pt jump shot from 3 ft,103,105
4,7:08.0,,Offensive rebound by T. Lyles,103,105
4,7:06.0,,M. Morris misses 2-pt jump shot from 5 ft,103,105
4,7:04.0,Defensive rebound by K. Middleton,,103,105
4,6:52.0,K. Middleton misses 2-pt jump shot from 6 ft,,103,105
4,6:50.0,Offensive rebound by K. Middleton,,103,105
4,6:49.0,K. Middleton makes 2-pt jump shot from 2 ft,,105,105
4,6:24.0,,J. Murray misses 2-pt jump shot from 7 ft (block by P. Connaughton),105,105
4,6:20.0,,Offensive rebound by J. Murray,105,105
4,6:19.0,,J. Murray misses 2-pt layup from 2 ft,105,105
4,6:19.0,Defensive rebound by G. Antetokounmpo,,105,105
4,6:15.0,Personal foul by J. Murray (drawn by G. Antetokounmpo),,105,105
4,6:15.0,E. İlyasova enters the game for G. Antetokounmpo,,105,105
4,6:15.0,,G. Harris enters the game for J. Murray,105,105
4,6:07.0,K. Middleton misses 3-pt jump shot from 24 ft,,105,105
4,6:03.0,,Defensive rebound by M. Beasley,105,105
4,5:56.0,,M. Beasley makes 2-pt dunk from 2 ft (assist by M. Plumlee),105,107
4,5:41.0,Turnover by P. Connaughton (bad pass; steal by G. Harris),,105,107
4,5:38.0,,G. Harris misses 2-pt layup from 3 ft,105,107
4,5:36.0,,Offensive rebound by T. Lyles,105,107
4,5:36.0,,T. Lyles makes 2-pt layup from 1 ft,105,109
4,5:36.0,Milwaukee full timeout,,105,109
4,5:36.0,,N. Jokić enters the game for M. Plumlee,105,109
4,5:18.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,105,109
4,5:15.0,,Defensive rebound by T. Lyles,105,109
4,5:05.0,,T. Lyles misses 3-pt jump shot from 25 ft,105,109
4,5:00.0,Defensive rebound by E. Bledsoe,,105,109
4,4:53.0,E. İlyasova misses 3-pt jump shot from 23 ft,,105,109
4,4:51.0,,Defensive rebound by N. Jokić,105,109
4,4:41.0,,Turnover by G. Harris (bad pass; steal by E. Bledsoe),105,109
4,4:36.0,E. Bledsoe makes 2-pt layup from 1 ft,,107,109
4,4:34.0,,Denver full timeout,107,109
4,4:34.0,G. Antetokounmpo enters the game for B. Lopez,,107,109
4,4:34.0,,P. Millsap enters the game for T. Lyles,107,109
4,4:34.0,,J. Murray enters the game for M. Morris,107,109
4,4:19.0,,J. Murray misses 2-pt jump shot from 12 ft (block by E. Bledsoe),107,109
4,4:17.0,Defensive rebound by P. Connaughton,,107,109
4,4:16.0,E. Bledsoe makes 2-pt layup from 2 ft,,109,109
4,4:16.0,Shooting foul by M. Beasley (drawn by E. Bledsoe),,109,109
4,4:16.0,E. Bledsoe makes free throw 1 of 1,,110,109
4,3:57.0,,Personal foul by G. Antetokounmpo (drawn by P. Millsap),110,109
4,3:52.0,,Shooting foul by E. İlyasova (drawn by G. Harris),110,109
4,3:52.0,,G. Harris misses free throw 1 of 2,110,109
4,3:52.0,,Offensive rebound by Team,110,109
4,3:52.0,,G. Harris makes free throw 2 of 2,110,110
4,3:37.0,E. Bledsoe misses 2-pt layup from 4 ft (block by P. Millsap),,110,110
4,3:33.0,,Defensive rebound by J. Murray,110,110
4,3:31.0,,Personal foul by E. İlyasova (drawn by N. Jokić),110,110
4,3:31.0,M. Brogdon enters the game for P. Connaughton,,110,110
4,3:31.0,B. Lopez enters the game for E. İlyasova,,110,110
4,3:24.0,,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),110,112
4,3:11.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Murray),,110,112
