QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
1,1:07.0,,J. Richardson makes 2-pt jump shot from 15 ft,30,25
1,0:56.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by N. Powell),,32,25
1,0:39.0,,D. Jones misses 2-pt layup from 1 ft (block by P. Siakam),32,25
1,0:39.0,,Offensive rebound by Team,32,25
1,0:32.0,,Turnover by Team (shot clock),32,25
1,0:21.0,M. Gasol misses 2-pt jump shot from 14 ft,,32,25
1,0:17.0,,Defensive rebound by H. Whiteside,32,25
1,0:05.0,,Personal foul by J. Lin (drawn by G. Dragić),32,25
1,0:01.0,,H. Whiteside makes 2-pt hook shot from 8 ft (assist by D. Wade),32,27
2,11:49.0,N. Powell makes 3-pt jump shot from 22 ft (assist by K. Lowry),,35,27
2,11:32.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by D. Wade),35,29
2,11:32.0,,Shooting foul by O. Anunoby (drawn by H. Whiteside),35,29
2,11:32.0,,H. Whiteside misses free throw 1 of 1,35,29
2,11:29.0,Defensive rebound by M. Gasol,,35,29
2,11:20.0,K. Lowry misses 3-pt jump shot from 23 ft,,35,29
2,11:17.0,,Defensive rebound by H. Whiteside,35,29
2,11:01.0,,Turnover by D. Jones (bad pass; steal by J. Lin),35,29
2,10:56.0,O. Anunoby misses 2-pt layup from 1 ft,,35,29
2,10:54.0,,Defensive rebound by J. Richardson,35,29
2,10:47.0,,J. Richardson misses 2-pt jump shot from 11 ft,35,29
2,10:44.0,Defensive rebound by K. Lowry,,35,29
2,10:42.0,Turnover by K. Lowry (bad pass; steal by D. Wade),,35,29
2,10:39.0,,D. Wade makes 2-pt dunk from 1 ft,35,31
2,10:21.0,M. Gasol makes 2-pt hook shot from 9 ft (assist by N. Powell),,37,31
2,10:11.0,,Personal foul by N. Powell (drawn by J. Richardson),37,31
2,10:01.0,,Turnover by D. Wade (bad pass; steal by M. Gasol),37,31
2,9:53.0,O. Anunoby makes 2-pt layup from 1 ft (assist by N. Powell),,39,31
2,9:33.0,,D. Jones makes 2-pt dunk from 2 ft (assist by H. Whiteside),39,33
2,9:18.0,Shooting foul by D. Wade (drawn by O. Anunoby),,39,33
2,9:18.0,O. Anunoby makes free throw 1 of 2,,40,33
2,9:18.0,O. Anunoby makes free throw 2 of 2,,41,33
2,8:55.0,,J. Richardson misses 2-pt hook shot from 11 ft,41,33
2,8:54.0,,Offensive rebound by H. Whiteside,41,33
2,8:53.0,,H. Whiteside misses 2-pt layup at rim,41,33
2,8:52.0,,Offensive rebound by H. Whiteside,41,33
2,8:52.0,,H. Whiteside misses 2-pt layup at rim,41,33
2,8:52.0,,Offensive rebound by Team,41,33
2,8:45.0,,D. Wade makes 2-pt layup from 1 ft,41,35
2,8:35.0,M. Gasol misses 3-pt jump shot from 25 ft,,41,35
2,8:33.0,,Defensive rebound by G. Dragić,41,35
2,8:28.0,,Turnover by G. Dragić (bad pass; steal by O. Anunoby),41,35
2,8:26.0,Personal foul by G. Dragić (drawn by J. Lin),,41,35
2,8:18.0,N. Powell makes 2-pt layup from 1 ft (assist by K. Lowry),,43,35
2,8:06.0,,G. Dragić makes 2-pt layup from 2 ft (assist by H. Whiteside),43,37
2,7:51.0,M. Gasol makes 2-pt jump shot from 8 ft (assist by N. Powell),,45,37
2,7:38.0,,Personal foul by K. Lowry (drawn by H. Whiteside),45,37
2,7:38.0,,B. Adebayo enters the game for D. Jones,45,37
2,7:38.0,,R. McGruder enters the game for D. Wade,45,37
2,7:38.0,,J. Winslow enters the game for H. Whiteside,45,37
2,7:35.0,,Offensive foul by G. Dragić (drawn by J. Lin),45,37
2,7:35.0,,Turnover by G. Dragić (offensive foul),45,37
2,7:22.0,K. Lowry misses 3-pt jump shot from 26 ft,,45,37
2,7:18.0,Offensive rebound by O. Anunoby,,45,37
2,7:18.0,Turnover by O. Anunoby (bad pass),,45,37
2,7:11.0,,G. Dragić misses 2-pt layup from 1 ft (block by J. Lin),45,37
2,7:11.0,,Offensive rebound by Team,45,37
2,7:11.0,D. Green enters the game for M. Gasol,,45,37
2,7:11.0,S. Ibaka enters the game for J. Lin,,45,37
2,7:11.0,,K. Olynyk enters the game for J. Richardson,45,37
2,6:56.0,,Shooting foul by O. Anunoby (drawn by R. McGruder),45,37
2,6:56.0,,Miami full timeout,45,37
2,6:56.0,,R. McGruder misses free throw 1 of 2,45,37
2,6:56.0,,Offensive rebound by Team,45,37
2,6:56.0,,R. McGruder makes free throw 2 of 2,45,38
2,6:39.0,Shooting foul by J. Winslow (drawn by S. Ibaka),,45,38
2,6:39.0,S. Ibaka misses free throw 1 of 2,,45,38
2,6:39.0,Offensive rebound by Team,,45,38
2,6:39.0,S. Ibaka makes free throw 2 of 2,,46,38
2,6:21.0,,J. Winslow misses 2-pt jump shot from 11 ft,46,38
2,6:20.0,,Offensive rebound by B. Adebayo,46,38
2,6:18.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by B. Adebayo),46,41
2,5:59.0,S. Ibaka makes 2-pt dunk from 3 ft (assist by D. Green),,48,41
2,5:50.0,,B. Adebayo misses 2-pt layup from 2 ft,48,41
2,5:50.0,Defensive rebound by S. Ibaka,,48,41
2,5:35.0,N. Powell misses 3-pt jump shot from 25 ft,,48,41
2,5:33.0,,Defensive rebound by B. Adebayo,48,41
2,5:23.0,,K. Olynyk misses 2-pt hook shot from 6 ft,48,41
2,5:21.0,Defensive rebound by S. Ibaka,,48,41
2,5:16.0,K. Lowry misses 3-pt jump shot from 26 ft,,48,41
2,5:13.0,Offensive rebound by O. Anunoby,,48,41
2,5:12.0,Turnover by O. Anunoby (bad pass; steal by B. Adebayo),,48,41
2,5:07.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Olynyk),48,43
2,5:07.0,,Technical foul by B. Adebayo,48,43
2,5:07.0,K. Lowry misses technical free throw,,48,43
2,5:07.0,Offensive rebound by Team,,48,43
2,5:07.0,P. McCaw enters the game for O. Anunoby,,48,43
2,5:07.0,P. Siakam enters the game for N. Powell,,48,43
2,5:07.0,,D. Waiters enters the game for G. Dragić,48,43
2,4:57.0,Shooting foul by K. Olynyk (drawn by K. Lowry),,48,43
2,4:57.0,K. Lowry makes free throw 1 of 2,,49,43
2,4:57.0,K. Lowry makes free throw 2 of 2,,50,43
2,4:48.0,,Turnover by J. Winslow (bad pass; steal by P. Siakam),50,43
2,4:38.0,Turnover by P. McCaw (bad pass; steal by K. Olynyk),,50,43
2,4:34.0,,K. Olynyk misses 2-pt layup from 1 ft (block by S. Ibaka),50,43
2,4:33.0,Defensive rebound by D. Green,,50,43
2,4:23.0,D. Green misses 3-pt jump shot from 26 ft,,50,43
2,4:21.0,,Defensive rebound by J. Winslow,50,43
2,4:08.0,,J. Winslow makes 2-pt jump shot from 18 ft,50,45
2,3:53.0,Turnover by K. Lowry (lost ball; steal by J. Winslow),,50,45
2,3:48.0,,Shooting foul by K. Lowry (drawn by J. Winslow),50,45
2,3:48.0,Technical foul by K. Lowry,,50,45
2,3:48.0,,K. Olynyk makes technical free throw,50,46
2,3:48.0,,J. Winslow misses free throw 1 of 2,50,46
2,3:48.0,,Offensive rebound by Team,50,46
2,3:48.0,,J. Winslow makes free throw 2 of 2,50,47
2,3:43.0,Toronto full timeout,,50,47
2,3:33.0,Personal foul by B. Adebayo (drawn by P. Siakam),,50,47
2,3:33.0,P. Siakam makes free throw 1 of 2,,51,47
2,3:33.0,P. Siakam makes free throw 2 of 2,,52,47
2,3:18.0,,B. Adebayo makes 2-pt jump shot from 9 ft (assist by J. Winslow),52,49
2,3:08.0,K. Lowry makes 2-pt layup from 1 ft,,54,49
2,2:58.0,,J. Winslow misses 2-pt jump shot from 6 ft,54,49
2,2:57.0,,Offensive rebound by B. Adebayo,54,49
2,2:56.0,,B. Adebayo makes 2-pt layup at rim,54,51
2,2:33.0,P. Siakam makes 2-pt jump shot from 12 ft (assist by K. Lowry),,56,51
2,2:19.0,,J. Winslow misses 2-pt layup from 2 ft,56,51
2,2:17.0,Defensive rebound by D. Green,,56,51
2,2:14.0,D. Green makes 3-pt jump shot from 25 ft,,59,51
2,1:55.0,,Turnover by B. Adebayo (bad pass),59,51
2,1:55.0,,J. Richardson enters the game for B. Adebayo,59,51
2,1:55.0,,D. Wade enters the game for R. McGruder,59,51
2,1:55.0,,H. Whiteside enters the game for K. Olynyk,59,51
2,1:47.0,P. Siakam misses 2-pt jump shot from 7 ft,,59,51
2,1:45.0,,Defensive rebound by D. Waiters,59,51
2,1:32.0,,Personal foul by D. Green (drawn by D. Waiters),59,51
2,1:32.0,,D. Waiters misses free throw 1 of 2,59,51
2,1:32.0,,Offensive rebound by Team,59,51
2,1:32.0,,R. McGruder enters the game for J. Winslow,59,51
2,1:32.0,,D. Waiters misses free throw 2 of 2,59,51
2,1:28.0,Defensive rebound by S. Ibaka,,59,51
2,1:14.0,P. McCaw makes 3-pt jump shot from 24 ft (assist by K. Lowry),,62,51
2,0:45.0,,D. Waiters misses 3-pt jump shot from 26 ft,62,51
2,0:44.0,,Offensive rebound by H. Whiteside,62,51
2,0:43.0,,H. Whiteside misses 2-pt layup at rim,62,51
2,0:42.0,Defensive rebound by S. Ibaka,,62,51
2,0:35.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by P. Siakam),,65,51
2,0:20.0,,D. Wade misses 2-pt jump shot from 11 ft,65,51
2,0:19.0,Defensive rebound by D. Green,,65,51
2,0:14.0,P. McCaw makes 3-pt jump shot from 23 ft (assist by D. Green),,68,51
2,0:00.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by D. Waiters),68,54
3,11:40.0,P. Siakam misses 2-pt jump shot from 10 ft,,68,54
3,11:38.0,,Defensive rebound by K. Olynyk,68,54
3,11:29.0,,Turnover by J. Richardson (out of bounds lost ball),68,54
3,11:16.0,P. Siakam makes 2-pt dunk from 2 ft (assist by K. Lowry),,70,54
3,10:57.0,,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),70,56
3,10:52.0,Personal foul by J. Winslow (drawn by P. McCaw),,70,56
3,10:47.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by P. Siakam),,73,56
3,10:25.0,,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Richardson),73,59
3,10:04.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by P. Siakam),,76,59
3,9:39.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Richardson),76,62
3,9:27.0,Turnover by D. Green (traveling),,76,62
3,9:14.0,,D. Waiters makes 2-pt layup from 1 ft,76,64
3,9:11.0,Turnover by K. Lowry (bad pass; steal by J. Richardson),,76,64
3,9:00.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),76,66
3,8:39.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),,79,66
3,8:27.0,Violation by Team (kicked ball),,79,66
3,8:17.0,,J. Winslow misses 2-pt jump shot from 6 ft,79,66
3,8:16.0,Defensive rebound by D. Green,,79,66
3,8:11.0,P. McCaw makes 3-pt jump shot from 25 ft (assist by D. Green),,82,66
3,8:11.0,,Miami full timeout,82,66
3,7:58.0,,Personal foul by P. McCaw (drawn by J. Richardson),82,66
3,7:48.0,,J. Winslow makes 2-pt layup from 2 ft (assist by B. Adebayo),82,68
3,7:32.0,D. Green misses 3-pt jump shot from 23 ft,,82,68
3,7:29.0,,Defensive rebound by J. Winslow,82,68
3,7:25.0,,K. Olynyk misses 3-pt jump shot from 25 ft,82,68
3,7:23.0,Defensive rebound by S. Ibaka,,82,68
3,7:14.0,K. Lowry misses 3-pt jump shot from 26 ft,,82,68
3,7:11.0,,Defensive rebound by K. Olynyk,82,68
3,7:03.0,,J. Winslow misses 3-pt jump shot from 24 ft,82,68
3,7:02.0,Defensive rebound by Team,,82,68
3,6:51.0,Turnover by D. Green (lost ball; steal by K. Olynyk),,82,68
3,6:51.0,,Personal foul by D. Green (drawn by K. Olynyk),82,68
3,6:35.0,,J. Richardson misses 3-pt jump shot from 24 ft,82,68
3,6:32.0,Defensive rebound by P. Siakam,,82,68
3,6:28.0,S. Ibaka misses 3-pt jump shot from 28 ft,,82,68
3,6:24.0,,Defensive rebound by D. Waiters,82,68
3,6:24.0,,D. Wade enters the game for J. Richardson,82,68
3,6:07.0,,K. Olynyk misses 3-pt jump shot from 27 ft,82,68
3,6:05.0,Defensive rebound by K. Lowry,,82,68
3,5:56.0,P. Siakam makes 2-pt layup from 1 ft,,84,68
3,5:56.0,Shooting foul by D. Wade (drawn by P. Siakam),,84,68
3,5:56.0,P. Siakam misses free throw 1 of 1,,84,68
3,5:53.0,,Defensive rebound by K. Olynyk,84,68
3,5:42.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Waiters),84,70
3,5:17.0,Turnover by Team (shot clock),,84,70
3,4:54.0,,D. Waiters misses 3-pt jump shot from 26 ft,84,70
3,4:52.0,Defensive rebound by S. Ibaka,,84,70
3,4:37.0,S. Ibaka misses 2-pt jump shot from 19 ft,,84,70
3,4:35.0,,Defensive rebound by D. Wade,84,70
3,4:16.0,,B. Adebayo misses 2-pt jump shot from 10 ft,84,70
3,4:14.0,Defensive rebound by D. Green,,84,70
3,4:11.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,86,70
3,3:55.0,,K. Olynyk misses 2-pt layup from 1 ft (block by S. Ibaka),86,70
3,3:50.0,Defensive rebound by P. McCaw,,86,70
3,3:50.0,Turnover by K. Lowry (bad pass),,86,70
3,3:50.0,M. Gasol enters the game for S. Ibaka,,86,70
3,3:50.0,J. Lin enters the game for K. Lowry,,86,70
3,3:50.0,,G. Dragić enters the game for B. Adebayo,86,70
3,3:50.0,,R. McGruder enters the game for D. Waiters,86,70
3,3:50.0,,H. Whiteside enters the game for J. Winslow,86,70
3,3:33.0,,D. Wade misses 3-pt jump shot from 23 ft,86,70
3,3:32.0,Defensive rebound by P. McCaw,,86,70
3,3:25.0,Shooting foul by G. Dragić (drawn by P. McCaw),,86,70
3,3:25.0,P. McCaw misses free throw 1 of 2,,86,70
3,3:25.0,Offensive rebound by Team,,86,70
3,3:25.0,P. McCaw makes free throw 2 of 2,,87,70
3,3:06.0,,K. Olynyk misses 3-pt jump shot from 26 ft,87,70
3,3:05.0,Defensive rebound by J. Lin,,87,70
3,2:45.0,J. Lin misses 3-pt jump shot from 26 ft,,87,70
3,2:43.0,,Defensive rebound by R. McGruder,87,70
3,2:37.0,,Personal foul by J. Lin (drawn by R. McGruder),87,70
3,2:37.0,Toronto full timeout,,87,70
3,2:37.0,O. Anunoby enters the game for D. Green,,87,70
3,2:37.0,N. Powell enters the game for P. McCaw,,87,70
3,2:37.0,,D. Jones enters the game for K. Olynyk,87,70
3,2:27.0,,D. Wade makes 2-pt layup from 2 ft,87,72
3,2:14.0,Turnover by M. Gasol (lost ball; steal by D. Wade),,87,72
3,2:11.0,,G. Dragić makes 2-pt layup from 1 ft (assist by D. Wade),87,74
3,2:11.0,,Shooting foul by J. Lin (drawn by G. Dragić),87,74
3,2:11.0,,G. Dragić misses free throw 1 of 1,87,74
3,2:08.0,Defensive rebound by P. Siakam,,87,74
3,2:00.0,Turnover by N. Powell (traveling),,87,74
3,1:48.0,,D. Wade misses 2-pt jump shot from 15 ft,87,74
3,1:46.0,Defensive rebound by P. Siakam,,87,74
3,1:40.0,P. Siakam misses 2-pt layup at rim,,87,74
3,1:38.0,,Defensive rebound by H. Whiteside,87,74
3,1:34.0,,R. McGruder makes 2-pt layup from 1 ft (assist by G. Dragić),87,76
3,1:07.0,N. Powell misses 2-pt layup from 1 ft,,87,76
3,1:05.0,Offensive rebound by N. Powell,,87,76
3,1:02.0,J. Lin misses 3-pt jump shot from 28 ft,,87,76
3,1:00.0,,Defensive rebound by R. McGruder,87,76
3,0:52.0,,Shooting foul by P. Siakam (drawn by R. McGruder),87,76
3,0:52.0,,R. McGruder misses free throw 1 of 2,87,76
3,0:52.0,,Offensive rebound by Team,87,76
3,0:52.0,,R. McGruder makes free throw 2 of 2,87,77
3,0:32.0,P. Siakam makes 2-pt layup from 1 ft,,89,77
3,0:32.0,,Violation by Team (def goaltending),89,77
3,0:17.0,,D. Wade makes 2-pt jump shot from 12 ft,89,79
3,0:05.0,J. Lin makes 2-pt layup from 2 ft,,91,79
3,0:01.0,,D. Wade misses 3-pt jump shot from 28 ft (block by M. Gasol),91,79
3,0:00.0,,Offensive rebound by Team,91,79
4,11:45.0,,G. Dragić makes 3-pt jump shot from 28 ft (assist by D. Wade),91,82
4,11:31.0,Shooting foul by H. Whiteside (drawn by O. Anunoby),,91,82
4,11:31.0,O. Anunoby makes free throw 1 of 2,,92,82
4,11:31.0,O. Anunoby makes free throw 2 of 2,,93,82
4,11:17.0,,H. Whiteside misses 2-pt layup from 4 ft (block by J. Lin),93,82
4,11:16.0,,Offensive rebound by Team,93,82
4,11:12.0,,Turnover by D. Wade (bad pass; steal by J. Lin),93,82
4,11:11.0,Personal foul by H. Whiteside (drawn by J. Lin),,93,82
4,11:04.0,K. Lowry makes 2-pt jump shot from 21 ft,,95,82
4,10:47.0,,G. Dragić misses 2-pt layup from 1 ft,95,82
4,10:46.0,Defensive rebound by O. Anunoby,,95,82
4,10:39.0,Shooting foul by D. Jones (drawn by O. Anunoby),,95,82
4,10:39.0,O. Anunoby makes free throw 1 of 2,,96,82
4,10:39.0,O. Anunoby misses free throw 2 of 2,,96,82
4,10:37.0,,Defensive rebound by G. Dragić,96,82
4,10:20.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by D. Jones),96,85
4,10:04.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by M. Gasol),,99,85
4,10:04.0,,Miami full timeout,99,85
4,9:44.0,,R. McGruder makes 2-pt layup from 2 ft,99,87
4,9:33.0,Personal foul by D. Wade (drawn by M. Gasol),,99,87
4,9:30.0,Turnover by J. Lin (traveling),,99,87
4,9:16.0,Loose ball foul by O. Anunoby (drawn by D. Wade),,99,87
4,9:08.0,,D. Wade misses 2-pt jump shot from 4 ft,99,87
4,9:07.0,,Offensive rebound by H. Whiteside,99,87
4,9:05.0,,H. Whiteside misses 2-pt layup from 2 ft (block by O. Anunoby),99,87
4,9:05.0,Defensive rebound by Team,,99,87
4,8:55.0,J. Lin misses 2-pt layup from 2 ft,,99,87
4,8:52.0,,Defensive rebound by R. McGruder,99,87
4,8:49.0,,D. Wade makes 2-pt layup from 1 ft (assist by R. McGruder),99,89
4,8:30.0,J. Lin makes 3-pt jump shot from 24 ft (assist by K. Lowry),,102,89
4,8:17.0,,Personal foul by M. Gasol (drawn by H. Whiteside),102,89
4,8:17.0,,K. Olynyk enters the game for G. Dragić,102,89
4,8:17.0,,J. Richardson enters the game for D. Wade,102,89
4,8:17.0,,J. Winslow enters the game for H. Whiteside,102,89
4,8:08.0,,R. McGruder misses 3-pt jump shot from 26 ft,102,89
4,8:06.0,Defensive rebound by K. Lowry,,102,89
4,8:05.0,Turnover by N. Powell (offensive foul),,102,89
4,8:05.0,Offensive foul by N. Powell (drawn by J. Richardson),,102,89
4,7:52.0,,J. Richardson misses 3-pt jump shot from 26 ft,102,89
4,7:50.0,,Offensive rebound by J. Richardson,102,89
4,7:37.0,,R. McGruder misses 3-pt jump shot from 24 ft,102,89
4,7:35.0,Defensive rebound by M. Gasol,,102,89
4,7:30.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by M. Gasol),,105,89
4,7:29.0,,Miami full timeout,105,89
4,7:29.0,,G. Dragić enters the game for R. McGruder,105,89
4,7:20.0,,Personal foul by J. Lin (drawn by K. Olynyk),105,89
4,7:19.0,,Personal foul by O. Anunoby (drawn by J. Richardson),105,89
4,7:08.0,,J. Winslow misses 2-pt layup from 1 ft,105,89
4,7:06.0,Defensive rebound by K. Lowry,,105,89
4,7:02.0,Personal foul by J. Winslow (drawn by J. Lin),,105,89
4,7:02.0,J. Lin makes free throw 1 of 2,,106,89
4,7:02.0,J. Lin makes free throw 2 of 2,,107,89
4,6:54.0,,G. Dragić misses 3-pt jump shot from 25 ft,107,89
4,6:51.0,Defensive rebound by M. Gasol,,107,89
4,6:41.0,O. Anunoby makes 2-pt dunk at rim (assist by M. Gasol),,109,89
4,6:24.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Winslow),109,91
4,6:15.0,K. Lowry misses 3-pt jump shot from 26 ft,,109,91
4,6:13.0,,Defensive rebound by J. Winslow,109,91
4,5:51.0,,J. Winslow misses 2-pt jump shot from 6 ft,109,91
4,5:49.0,Defensive rebound by M. Gasol,,109,91
4,5:38.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by J. Lin),,111,91
4,5:37.0,,Miami full timeout,111,91
4,5:37.0,,B. Adebayo enters the game for K. Olynyk,111,91
4,5:31.0,,Offensive foul by D. Jones (drawn by O. Anunoby),111,91
4,5:31.0,,Turnover by D. Jones (offensive foul),111,91
4,5:08.0,N. Powell misses 3-pt jump shot from 25 ft,,111,91
4,5:06.0,Offensive rebound by K. Lowry,,111,91
4,4:58.0,Shooting foul by J. Winslow (drawn by J. Lin),,111,91
4,4:58.0,J. Lin makes free throw 1 of 2,,112,91
4,4:58.0,,R. McGruder enters the game for G. Dragić,112,91
4,4:58.0,J. Lin makes free throw 2 of 2,,113,91
4,4:52.0,,Personal foul by N. Powell (drawn by J. Richardson),113,91
4,4:52.0,,J. Richardson makes free throw 1 of 2,113,92
4,4:52.0,,J. Richardson makes free throw 2 of 2,113,93
4,4:35.0,O. Anunoby misses 3-pt jump shot from 23 ft,,113,93
