QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
1,3:46.0,,E. Gordon misses 3-pt jump shot from 25 ft,15,24
1,3:44.0,Defensive rebound by J. Bolden,,15,24
1,3:33.0,J. Butler makes 2-pt layup from 2 ft (assist by J. Bolden),,17,24
1,3:32.0,,Houston full timeout,17,24
1,3:32.0,J. Ennis enters the game for J. Butler,,17,24
1,3:32.0,M. Scott enters the game for J. Redick,,17,24
1,3:32.0,,G. Green enters the game for C. Capela,17,24
1,3:32.0,,N. Hilário enters the game for E. Gordon,17,24
1,3:24.0,,Shooting foul by J. Bolden (drawn by J. Harden),17,24
1,3:24.0,,J. Harden makes free throw 1 of 2,17,25
1,3:24.0,,J. Harden misses free throw 2 of 2,17,25
1,3:24.0,Defensive rebound by T. Harris,,17,25
1,3:01.0,T. Harris misses 3-pt jump shot from 26 ft,,17,25
1,2:58.0,,Defensive rebound by J. Harden,17,25
1,2:52.0,,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),17,27
1,2:44.0,Turnover by B. Simmons (bad pass; steal by P. Tucker),,17,27
1,2:40.0,,Shooting foul by B. Simmons (drawn by J. Harden),17,27
1,2:40.0,,J. Harden makes free throw 1 of 2,17,28
1,2:40.0,T. McConnell enters the game for B. Simmons,,17,28
1,2:40.0,,I. Shumpert enters the game for P. Tucker,17,28
1,2:40.0,,J. Harden makes free throw 2 of 2,17,29
1,2:26.0,T. Harris misses 2-pt layup from 3 ft,,17,29
1,2:24.0,Offensive rebound by J. Bolden,,17,29
1,2:19.0,T. Harris makes 2-pt jump shot from 16 ft (assist by J. Bolden),,19,29
1,1:56.0,,Shooting foul by J. Ennis (drawn by J. Harden),19,29
1,1:56.0,,J. Harden makes free throw 1 of 2,19,30
1,1:56.0,,J. Harden makes free throw 2 of 2,19,31
1,1:41.0,T. Harris misses 2-pt jump shot from 10 ft,,19,31
1,1:39.0,,Defensive rebound by A. Rivers,19,31
1,1:30.0,,G. Green makes 3-pt jump shot from 25 ft,19,34
1,1:17.0,M. Scott misses 3-pt jump shot from 26 ft,,19,34
1,1:16.0,Offensive rebound by T. Harris,,19,34
1,1:14.0,T. Harris misses 2-pt layup from 3 ft,,19,34
1,1:12.0,,Defensive rebound by N. Hilário,19,34
1,0:53.0,,J. Harden misses 3-pt jump shot from 26 ft,19,34
1,0:50.0,Defensive rebound by J. Ennis,,19,34
1,0:42.0,T. McConnell makes 2-pt jump shot from 5 ft,,21,34
1,0:26.0,,J. Harden makes 3-pt jump shot from 23 ft,21,37
1,0:08.0,Turnover by T. McConnell (lost ball; steal by A. Rivers),,21,37
1,0:04.0,,A. Rivers misses 2-pt layup from 1 ft,21,37
1,0:02.0,Defensive rebound by T. Harris,,21,37
2,11:39.0,M. Scott misses 2-pt jump shot from 19 ft,,21,37
2,11:37.0,,Defensive rebound by C. Paul,21,37
2,11:30.0,,C. Paul misses 2-pt jump shot from 11 ft,21,37
2,11:29.0,Defensive rebound by J. Redick,,21,37
2,11:19.0,T. McConnell misses 2-pt jump shot from 16 ft,,21,37
2,11:17.0,Offensive rebound by J. Butler,,21,37
2,11:17.0,Shooting foul by I. Shumpert (drawn by J. Butler),,21,37
2,11:17.0,J. Butler misses free throw 1 of 2,,21,37
2,11:17.0,Offensive rebound by Team,,21,37
2,11:17.0,J. Butler makes free throw 2 of 2,,22,37
2,11:01.0,,G. Green misses 3-pt jump shot from 23 ft,22,37
2,11:00.0,Defensive rebound by M. Scott,,22,37
2,10:48.0,J. Redick misses 3-pt jump shot from 26 ft,,22,37
2,10:47.0,,Defensive rebound by C. Paul,22,37
2,10:42.0,,A. Rivers makes 2-pt layup from 2 ft (assist by C. Paul),22,39
2,10:30.0,M. Scott misses 3-pt jump shot from 24 ft,,22,39
2,10:26.0,Offensive rebound by J. Butler,,22,39
2,10:20.0,Turnover by J. Butler (out of bounds lost ball),,22,39
2,9:58.0,,C. Paul makes 2-pt jump shot from 6 ft,22,41
2,9:40.0,T. McConnell misses 2-pt jump shot from 13 ft,,22,41
2,9:36.0,,Defensive rebound by N. Hilário,22,41
2,9:32.0,,Turnover by I. Shumpert (bad pass),22,41
2,9:32.0,T. Harris enters the game for M. Scott,,22,41
2,9:14.0,J. Redick misses 3-pt jump shot from 26 ft,,22,41
2,9:12.0,,Defensive rebound by G. Green,22,41
2,8:59.0,,C. Paul misses 3-pt jump shot from 24 ft,22,41
2,8:56.0,,Offensive rebound by N. Hilário,22,41
2,8:55.0,,I. Shumpert misses 3-pt jump shot from 25 ft,22,41
2,8:52.0,Defensive rebound by T. McConnell,,22,41
2,8:48.0,T. McConnell makes 2-pt jump shot from 14 ft,,24,41
2,8:31.0,,A. Rivers misses 2-pt layup from 3 ft,24,41
2,8:29.0,Defensive rebound by T. Harris,,24,41
2,8:24.0,T. McConnell misses 2-pt jump shot from 10 ft,,24,41
2,8:21.0,,Defensive rebound by I. Shumpert,24,41
2,8:18.0,,A. Rivers misses 3-pt jump shot from 24 ft,24,41
2,8:15.0,Defensive rebound by J. Butler,,24,41
2,8:06.0,J. Butler makes 2-pt jump shot from 19 ft,,26,41
2,8:01.0,,Personal foul by J. Patton (drawn by A. Rivers),26,41
2,8:01.0,J. Ennis enters the game for T. McConnell,,26,41
2,8:01.0,B. Simmons enters the game for J. Redick,,26,41
2,8:01.0,,C. Capela enters the game for N. Hilário,26,41
2,8:01.0,,E. Gordon enters the game for A. Rivers,26,41
2,7:47.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),26,44
2,7:45.0,Philadelphia full timeout,,26,44
2,7:19.0,T. Harris makes 2-pt jump shot from 12 ft,,28,44
2,6:54.0,,G. Green misses 3-pt jump shot from 25 ft,28,44
2,6:52.0,Defensive rebound by J. Ennis,,28,44
2,6:46.0,B. Simmons misses 2-pt jump shot from 7 ft,,28,44
2,6:42.0,Offensive rebound by J. Butler,,28,44
2,6:42.0,J. Butler misses 2-pt layup at rim,,28,44
2,6:41.0,Offensive rebound by J. Ennis,,28,44
2,6:37.0,T. Harris misses 3-pt jump shot from 25 ft,,28,44
2,6:35.0,,Defensive rebound by C. Capela,28,44
2,6:30.0,,G. Green makes 2-pt layup from 2 ft (assist by C. Paul),28,46
2,6:20.0,J. Ennis misses 2-pt jump shot from 13 ft,,28,46
2,6:20.0,Offensive rebound by Team,,28,46
2,6:20.0,A. Johnson enters the game for J. Butler,,28,46
2,6:20.0,M. Scott enters the game for J. Patton,,28,46
2,6:20.0,,J. Harden enters the game for I. Shumpert,28,46
2,6:11.0,Turnover by J. Ennis (bad pass; steal by C. Capela),,28,46
2,6:10.0,,C. Capela makes 2-pt layup from 1 ft,28,48
2,6:10.0,,Shooting foul by J. Ennis (drawn by C. Capela),28,48
2,6:10.0,,C. Capela makes free throw 1 of 1,28,49
2,5:59.0,T. Harris makes 3-pt jump shot from 27 ft (assist by B. Simmons),,31,49
2,5:42.0,,J. Harden makes 2-pt layup from 6 ft,31,51
2,5:25.0,J. Ennis misses 2-pt jump shot from 9 ft,,31,51
2,5:23.0,Offensive rebound by B. Simmons,,31,51
2,5:21.0,B. Simmons makes 2-pt layup from 2 ft,,33,51
2,4:57.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),33,53
2,4:52.0,Personal foul by J. Harden (drawn by B. Simmons),,33,53
2,4:33.0,J. Ennis misses 3-pt jump shot from 23 ft,,33,53
2,4:30.0,,Defensive rebound by J. Harden,33,53
2,4:24.0,,J. Harden misses 2-pt layup from 2 ft,33,53
2,4:21.0,Defensive rebound by M. Scott,,33,53
2,4:14.0,M. Scott misses 3-pt jump shot from 25 ft,,33,53
2,4:11.0,Offensive rebound by A. Johnson,,33,53
2,4:09.0,M. Scott misses 3-pt jump shot from 25 ft,,33,53
2,4:08.0,,Defensive rebound by Team,33,53
2,4:08.0,,Houston full timeout,33,53
2,4:08.0,J. Butler enters the game for J. Ennis,,33,53
2,4:08.0,J. Redick enters the game for T. Harris,,33,53
2,4:08.0,,P. Tucker enters the game for J. Harden,33,53
2,3:59.0,,E. Gordon misses 3-pt jump shot from 26 ft,33,53
2,3:56.0,Defensive rebound by A. Johnson,,33,53
2,3:44.0,B. Simmons makes 2-pt jump shot from 15 ft,,35,53
2,3:24.0,,C. Paul misses 3-pt jump shot from 23 ft,35,53
2,3:21.0,,Offensive rebound by G. Green,35,53
2,3:18.0,,G. Green makes 2-pt jump shot from 7 ft,35,55
2,2:54.0,Turnover by B. Simmons (lost ball; steal by C. Paul),,35,55
2,2:49.0,,Personal foul by B. Simmons (drawn by C. Paul),35,55
2,2:49.0,,J. Harden enters the game for G. Green,35,55
2,2:33.0,,C. Paul makes 2-pt jump shot from 17 ft,35,57
2,2:31.0,Philadelphia full timeout,,35,57
2,2:08.0,A. Johnson misses 2-pt layup from 2 ft,,35,57
2,2:03.0,Offensive rebound by M. Scott,,35,57
2,2:03.0,M. Scott makes 2-pt layup at rim,,37,57
2,1:50.0,,Turnover by C. Capela (bad pass; steal by J. Redick),37,57
2,1:45.0,J. Redick misses 3-pt jump shot from 26 ft,,37,57
2,1:43.0,Offensive rebound by A. Johnson,,37,57
2,1:43.0,A. Johnson misses 2-pt layup from 1 ft,,37,57
2,1:43.0,Offensive rebound by J. Butler,,37,57
2,1:39.0,J. Butler makes 2-pt layup from 6 ft,,39,57
2,1:20.0,,J. Harden misses 3-pt jump shot from 25 ft,39,57
2,1:17.0,,Offensive rebound by P. Tucker,39,57
2,1:07.0,,E. Gordon misses 3-pt jump shot from 24 ft,39,57
2,1:03.0,Defensive rebound by J. Redick,,39,57
2,0:50.0,J. Redick misses 3-pt jump shot from 26 ft,,39,57
2,0:48.0,Offensive rebound by J. Butler,,39,57
2,0:46.0,J. Redick misses 3-pt jump shot from 26 ft,,39,57
2,0:44.0,,Defensive rebound by E. Gordon,39,57
2,0:39.0,,Turnover by J. Harden (lost ball; steal by B. Simmons),39,57
2,0:33.0,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Butler),,42,57
2,0:27.0,,C. Capela misses 2-pt layup from 2 ft,42,57
2,0:24.0,Defensive rebound by B. Simmons,,42,57
2,0:22.0,J. Butler makes 2-pt layup from 3 ft (assist by B. Simmons),,44,57
2,0:01.0,,J. Harden makes 2-pt layup from 1 ft,44,59
2,0:00.0,A. Johnson misses 3-pt jump shot from 65 ft,,44,59
2,0:00.0,Offensive rebound by Team,,44,59
3,11:54.0,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),,47,59
3,11:35.0,,J. Harden makes 2-pt jump shot from 10 ft,47,61
3,11:24.0,Turnover by B. Simmons (bad pass; steal by J. Harden),,47,61
3,11:14.0,,J. Harden makes 2-pt jump shot from 8 ft,47,63
3,10:55.0,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),,49,63
3,10:32.0,,J. Harden misses 3-pt jump shot from 27 ft,49,63
3,10:30.0,Defensive rebound by T. Harris,,49,63
3,10:23.0,Turnover by A. Johnson (bad pass; steal by C. Paul),,49,63
3,10:21.0,,Personal foul by B. Simmons (drawn by C. Paul),49,63
3,10:05.0,,P. Tucker misses 3-pt jump shot from 27 ft,49,63
3,10:03.0,Defensive rebound by B. Simmons,,49,63
3,9:57.0,A. Johnson makes 2-pt layup from 3 ft (assist by B. Simmons),,51,63
3,9:38.0,,C. Capela makes 2-pt layup from 4 ft (assist by J. Harden),51,65
3,9:12.0,J. Redick misses 2-pt jump shot from 21 ft,,51,65
3,9:10.0,,Defensive rebound by J. Harden,51,65
3,9:04.0,,Turnover by J. Harden (bad pass; steal by J. Redick),51,65
3,9:02.0,Personal foul by C. Paul (drawn by T. Harris),,51,65
3,8:56.0,Personal foul by J. Harden (drawn by T. Harris),,51,65
3,8:51.0,B. Simmons makes 2-pt dunk from 1 ft,,53,65
3,8:36.0,,C. Capela misses 2-pt layup from 7 ft,53,65
3,8:34.0,Defensive rebound by T. Harris,,53,65
3,8:31.0,Turnover by B. Simmons (bad pass; steal by C. Capela),,53,65
3,8:24.0,,P. Tucker misses 3-pt jump shot from 23 ft,53,65
3,8:21.0,Defensive rebound by J. Redick,,53,65
3,8:15.0,B. Simmons misses 2-pt layup from 4 ft,,53,65
3,8:14.0,Offensive rebound by A. Johnson,,53,65
3,8:14.0,A. Johnson misses 2-pt layup from 1 ft,,53,65
3,8:14.0,,Defensive rebound by Team,53,65
3,8:14.0,Loose ball foul by A. Johnson (drawn by P. Tucker),,53,65
3,8:03.0,,Turnover by E. Gordon (step out of bounds),53,65
3,7:46.0,J. Butler misses 3-pt jump shot from 23 ft,,53,65
3,7:44.0,,Defensive rebound by C. Capela,53,65
3,7:32.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),53,68
3,7:12.0,A. Johnson misses 3-pt jump shot from 23 ft,,53,68
3,7:08.0,,Defensive rebound by J. Harden,53,68
3,6:57.0,,J. Harden makes 3-pt jump shot from 25 ft,53,71
3,6:56.0,Philadelphia full timeout,,53,71
3,6:56.0,J. Bolden enters the game for J. Butler,,53,71
3,6:56.0,T. McConnell enters the game for A. Johnson,,53,71
3,6:56.0,M. Scott enters the game for J. Redick,,53,71
3,6:56.0,,A. Rivers enters the game for C. Paul,53,71
3,6:34.0,B. Simmons misses 2-pt jump shot from 19 ft,,53,71
3,6:33.0,,Defensive rebound by P. Tucker,53,71
3,6:12.0,,J. Harden misses 2-pt jump shot from 18 ft,53,71
3,6:10.0,Defensive rebound by J. Bolden,,53,71
3,6:00.0,T. McConnell makes 2-pt jump shot from 16 ft (assist by B. Simmons),,55,71
3,5:34.0,,A. Rivers makes 2-pt layup from 3 ft,55,73
3,5:20.0,B. Simmons misses 2-pt layup from 3 ft,,55,73
3,5:18.0,,Defensive rebound by C. Capela,55,73
3,5:10.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),55,76
3,5:09.0,Philadelphia full timeout,,55,76
3,4:50.0,T. Harris makes 2-pt jump shot from 13 ft (assist by B. Simmons),,57,76
3,4:32.0,,A. Rivers makes 2-pt layup from 2 ft (assist by E. Gordon),57,78
3,4:13.0,T. McConnell makes 2-pt layup from 2 ft (assist by J. Bolden),,59,78
3,3:47.0,,E. Gordon makes 3-pt jump shot from 26 ft,59,81
3,3:37.0,B. Simmons makes 2-pt dunk from 2 ft,,61,81
3,3:16.0,,A. Rivers makes 2-pt layup from 2 ft,61,83
3,3:09.0,Turnover by B. Simmons (bad pass; steal by C. Capela),,61,83
3,3:02.0,,C. Capela misses 2-pt layup from 1 ft,61,83
3,3:01.0,,Offensive rebound by C. Capela,61,83
3,3:01.0,,Personal foul by M. Scott (drawn by C. Capela),61,83
3,3:01.0,J. Butler enters the game for T. Harris,,61,83
3,3:01.0,J. Redick enters the game for B. Simmons,,61,83
3,3:01.0,,G. Green enters the game for E. Gordon,61,83
3,2:50.0,,Turnover by J. Harden (out of bounds lost ball),61,83
3,2:31.0,Shooting foul by A. Rivers (drawn by M. Scott),,61,83
3,2:31.0,M. Scott makes free throw 1 of 2,,62,83
3,2:31.0,,N. Hilário enters the game for C. Capela,62,83
3,2:31.0,M. Scott misses free throw 2 of 2,,62,83
3,2:31.0,,Defensive rebound by J. Harden,62,83
3,2:16.0,,J. Harden misses 3-pt jump shot from 26 ft,62,83
3,2:14.0,Defensive rebound by M. Scott,,62,83
3,2:02.0,J. Butler misses 2-pt jump shot from 12 ft,,62,83
3,1:59.0,,Defensive rebound by N. Hilário,62,83
3,1:56.0,,J. Harden makes 2-pt layup from 1 ft,62,85
3,1:45.0,Shooting foul by A. Rivers (drawn by T. McConnell),,62,85
3,1:45.0,T. McConnell makes free throw 1 of 2,,63,85
3,1:45.0,,C. Paul enters the game for J. Harden,63,85
3,1:45.0,,I. Shumpert enters the game for P. Tucker,63,85
3,1:45.0,T. McConnell makes free throw 2 of 2,,64,85
3,1:32.0,,A. Rivers misses 2-pt layup from 3 ft (block by J. Butler),64,85
3,1:28.0,Defensive rebound by M. Scott,,64,85
3,1:20.0,M. Scott misses 3-pt jump shot from 25 ft,,64,85
3,1:17.0,,Defensive rebound by I. Shumpert,64,85
3,1:13.0,,I. Shumpert misses 2-pt layup from 3 ft (block by J. Butler),64,85
3,1:13.0,,Offensive rebound by Team,64,85
3,1:09.0,,Turnover by I. Shumpert (bad pass; steal by T. McConnell),64,85
3,1:09.0,Personal foul by C. Paul (drawn by T. McConnell),,64,85
3,1:09.0,T. McConnell misses free throw 1 of 2,,64,85
3,1:09.0,Offensive rebound by Team,,64,85
3,1:09.0,T. McConnell makes free throw 2 of 2,,65,85
3,0:54.0,,N. Hilário misses 2-pt jump shot from 18 ft,65,85
3,0:51.0,Defensive rebound by T. McConnell,,65,85
3,0:45.0,J. Redick misses 3-pt jump shot from 23 ft,,65,85
3,0:37.0,,Defensive rebound by N. Hilário,65,85
3,0:32.0,,C. Paul misses 2-pt jump shot from 6 ft,65,85
3,0:31.0,,Offensive rebound by N. Hilário,65,85
3,0:31.0,,N. Hilário makes 2-pt layup from 2 ft,65,87
3,0:18.0,J. Bolden misses 3-pt jump shot from 26 ft,,65,87
3,0:15.0,,Defensive rebound by C. Paul,65,87
3,0:03.0,,Personal foul by M. Scott (drawn by C. Paul),65,87
3,0:00.0,,C. Paul misses 3-pt jump shot from 27 ft,65,87
3,0:00.0,,Offensive rebound by Team,65,87
4,11:48.0,,G. Green misses 3-pt jump shot from 26 ft,65,87
4,11:45.0,Defensive rebound by T. Harris,,65,87
4,11:34.0,J. Butler makes 2-pt layup from 1 ft,,67,87
4,11:12.0,,G. Clark makes 3-pt jump shot from 26 ft (assist by C. Paul),67,90
4,10:50.0,J. Butler misses 2-pt jump shot from 17 ft,,67,90
4,10:50.0,,Defensive rebound by Team,67,90
4,10:35.0,,Turnover by C. Paul (bad pass),67,90
4,10:23.0,J. Redick misses 3-pt jump shot from 26 ft,,67,90
4,10:20.0,Offensive rebound by B. Simmons,,67,90
4,10:19.0,Turnover by B. Simmons (lost ball; steal by G. Green),,67,90
4,10:15.0,,Turnover by C. Paul (bad pass),67,90
4,10:04.0,Personal foul by A. Rivers (drawn by B. Simmons),,67,90
4,9:55.0,Personal foul by I. Shumpert (drawn by J. Butler),,67,90
4,9:47.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),,69,90
4,9:47.0,Shooting foul by A. Rivers (drawn by B. Simmons),,69,90
4,9:47.0,,P. Tucker enters the game for A. Rivers,69,90
4,9:47.0,B. Simmons makes free throw 1 of 1,,70,90
4,9:41.0,,Turnover by C. Paul (bad pass),70,90
4,9:32.0,Turnover by J. Butler (lost ball; steal by P. Tucker),,70,90
4,9:15.0,,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),70,93
4,9:00.0,T. McConnell makes 2-pt jump shot from 12 ft,,72,93
4,8:44.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by P. Tucker),72,96
4,8:44.0,Philadelphia full timeout,,72,96
4,8:44.0,M. Scott enters the game for J. Redick,,72,96
4,8:44.0,,J. Harden enters the game for G. Clark,72,96
4,8:25.0,T. McConnell misses 2-pt layup from 5 ft,,72,96
4,8:24.0,Offensive rebound by J. Butler,,72,96
4,8:23.0,J. Butler makes 2-pt layup from 1 ft,,74,96
4,8:23.0,Shooting foul by I. Shumpert (drawn by J. Butler),,74,96
4,8:23.0,J. Butler makes free throw 1 of 1,,75,96
4,7:57.0,,G. Green misses 3-pt jump shot from 25 ft,75,96
4,7:57.0,Defensive rebound by Team,,75,96
4,7:41.0,Turnover by T. McConnell (traveling),,75,96
4,7:41.0,,A. Rivers enters the game for I. Shumpert,75,96
4,7:25.0,,G. Green misses 3-pt jump shot from 26 ft,75,96
4,7:22.0,Defensive rebound by T. McConnell,,75,96
4,7:12.0,Shooting foul by G. Green (drawn by M. Scott),,75,96
4,7:12.0,M. Scott makes free throw 1 of 2,,76,96
4,7:12.0,,C. Capela enters the game for G. Green,76,96
4,7:12.0,,E. Gordon enters the game for C. Paul,76,96
4,7:12.0,M. Scott makes free throw 2 of 2,,77,96
4,7:03.0,,Personal foul by M. Scott (drawn by C. Capela),77,96
4,6:55.0,,Shooting foul by T. Harris (drawn by C. Capela),77,96
4,6:55.0,,C. Capela misses free throw 1 of 2,77,96
4,6:55.0,,Offensive rebound by Team,77,96
4,6:55.0,,C. Capela misses free throw 2 of 2,77,96
4,6:55.0,Defensive rebound by B. Simmons,,77,96
4,6:43.0,J. Butler misses 2-pt jump shot from 17 ft,,77,96
4,6:41.0,,Defensive rebound by J. Harden,77,96
4,6:28.0,,E. Gordon misses 3-pt jump shot from 27 ft,77,96
4,6:26.0,Defensive rebound by M. Scott,,77,96
4,6:14.0,B. Simmons misses 2-pt jump shot from 7 ft,,77,96
4,6:14.0,Offensive rebound by B. Simmons,,77,96
4,6:14.0,Shooting foul by J. Harden (drawn by B. Simmons),,77,96
4,6:14.0,B. Simmons makes free throw 1 of 2,,78,96
4,6:14.0,J. Ennis enters the game for T. McConnell,,78,96
4,6:14.0,B. Simmons makes free throw 2 of 2,,79,96
4,6:01.0,,Shooting foul by B. Simmons (drawn by C. Capela),79,96
4,6:01.0,,C. Capela makes free throw 1 of 2,79,97
4,6:01.0,,C. Capela misses free throw 2 of 2,79,97
4,6:01.0,Defensive rebound by B. Simmons,,79,97
4,5:39.0,J. Butler misses 2-pt jump shot from 13 ft,,79,97
4,5:35.0,Offensive rebound by J. Ennis,,79,97
4,5:35.0,J. Ennis makes 2-pt layup from 1 ft,,81,97
4,5:18.0,,Turnover by P. Tucker (step out of bounds),81,97
4,5:10.0,J. Butler misses 2-pt layup from 3 ft,,81,97
4,5:08.0,Offensive rebound by J. Butler,,81,97
4,5:04.0,Turnover by J. Butler (bad pass; steal by J. Harden),,81,97
4,4:49.0,,J. Harden makes 2-pt dunk from 2 ft (assist by E. Gordon),81,99
4,4:49.0,Philadelphia full timeout,,81,99
4,4:49.0,J. Bolden enters the game for J. Butler,,81,99
4,4:49.0,T. McConnell enters the game for T. Harris,,81,99
4,4:49.0,J. Patton enters the game for M. Scott,,81,99
4,4:49.0,J. Simmons enters the game for B. Simmons,,81,99
4,4:30.0,J. Simmons misses 2-pt jump shot from 13 ft,,81,99
4,4:27.0,,Defensive rebound by J. Harden,81,99
4,4:10.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),81,101
4,3:51.0,T. McConnell misses 2-pt jump shot from 11 ft,,81,101
4,3:49.0,Offensive rebound by J. Bolden,,81,101
4,3:48.0,Turnover by J. Bolden (bad pass),,81,101
4,3:48.0,,G. Clark enters the game for C. Capela,81,101
4,3:48.0,,G. Green enters the game for E. Gordon,81,101
4,3:48.0,,T. Jones enters the game for J. Harden,81,101
4,3:48.0,,I. Shumpert enters the game for P. Tucker,81,101
4,3:36.0,,I. Shumpert misses 3-pt jump shot from 27 ft,81,101
4,3:34.0,Defensive rebound by J. Patton,,81,101
4,3:28.0,J. Patton makes 2-pt dunk from 2 ft (assist by T. McConnell),,83,101
4,3:07.0,,T. Jones misses 3-pt jump shot from 25 ft,83,101
4,3:05.0,,Offensive rebound by G. Clark,83,101
