QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
2,7:17.0,Defensive rebound by L. Aldridge,,34,33
2,7:05.0,M. Belinelli makes 3-pt jump shot from 22 ft (assist by L. Aldridge),,37,33
2,7:04.0,,Toronto full timeout,37,33
2,7:04.0,,K. Lowry enters the game for J. Lin,37,33
2,6:45.0,,Shooting foul by P. Mills (drawn by P. Siakam),37,33
2,6:45.0,,P. Siakam misses free throw 1 of 2,37,33
2,6:45.0,,Offensive rebound by Team,37,33
2,6:45.0,,P. Siakam makes free throw 2 of 2,37,34
2,6:27.0,Turnover by M. Belinelli (traveling),,37,34
2,6:11.0,,K. Leonard misses 2-pt jump shot from 19 ft,37,34
2,6:09.0,Defensive rebound by R. Gay,,37,34
2,6:04.0,R. Gay misses 3-pt jump shot from 26 ft,,37,34
2,6:03.0,,Defensive rebound by Team,37,34
2,5:52.0,,K. Leonard misses 2-pt layup from 1 ft (block by R. Gay),37,34
2,5:49.0,Defensive rebound by R. Gay,,37,34
2,5:46.0,Shooting foul by P. Siakam (drawn by D. DeRozan),,37,34
2,5:46.0,D. DeRozan makes free throw 1 of 2,,38,34
2,5:46.0,D. DeRozan makes free throw 2 of 2,,39,34
2,5:33.0,,D. Green misses 2-pt jump shot from 9 ft,39,34
2,5:31.0,,Offensive rebound by K. Leonard,39,34
2,5:29.0,,K. Leonard makes 2-pt layup from 2 ft,39,36
2,5:17.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,42,36
2,5:02.0,,Shooting foul by D. DeRozan (drawn by P. Siakam),42,36
2,5:02.0,,P. Siakam makes free throw 1 of 2,42,37
2,5:02.0,B. Forbes enters the game for R. Gay,,42,37
2,5:02.0,,P. Siakam makes free throw 2 of 2,42,38
2,4:48.0,L. Aldridge misses 2-pt jump shot from 16 ft,,42,38
2,4:44.0,,Defensive rebound by S. Ibaka,42,38
2,4:36.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),42,41
2,4:36.0,San Antonio full timeout,,42,41
2,4:29.0,P. Mills makes 2-pt jump shot from 18 ft,,44,41
2,4:12.0,,K. Lowry misses 2-pt layup from 1 ft,44,41
2,4:11.0,,Offensive rebound by D. Green,44,41
2,4:11.0,,D. Green makes 3-pt jump shot from 23 ft,44,44
2,3:59.0,B. Forbes makes 2-pt jump shot from 11 ft,,46,44
2,3:50.0,,Shooting foul by P. Mills (drawn by K. Leonard),46,44
2,3:50.0,,K. Leonard makes free throw 1 of 2,46,45
2,3:50.0,D. Bertāns enters the game for L. Aldridge,,46,45
2,3:50.0,J. Poeltl enters the game for D. DeRozan,,46,45
2,3:50.0,,K. Leonard makes free throw 2 of 2,46,46
2,3:27.0,M. Belinelli makes 3-pt jump shot from 27 ft (assist by B. Forbes),,49,46
2,3:06.0,,D. Green misses 3-pt jump shot from 25 ft,49,46
2,3:03.0,,Offensive rebound by S. Ibaka,49,46
2,2:56.0,,K. Leonard misses 2-pt layup from 2 ft,49,46
2,2:51.0,,Offensive rebound by S. Ibaka,49,46
2,2:51.0,,S. Ibaka misses 2-pt layup at rim,49,46
2,2:50.0,Defensive rebound by J. Poeltl,,49,46
2,2:48.0,P. Mills misses 2-pt layup from 3 ft,,49,46
2,2:45.0,,Defensive rebound by S. Ibaka,49,46
2,2:41.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),49,49
2,2:13.0,J. Poeltl makes 2-pt hook shot from 10 ft (assist by P. Mills),,51,49
2,2:02.0,,K. Leonard misses 2-pt jump shot from 15 ft,51,49
2,2:00.0,Defensive rebound by D. Bertāns,,51,49
2,1:52.0,B. Forbes misses 3-pt jump shot from 27 ft,,51,49
2,1:49.0,,Defensive rebound by S. Ibaka,51,49
2,1:35.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by P. Siakam),51,52
2,1:20.0,P. Mills makes 3-pt jump shot from 26 ft,,54,52
2,1:09.0,,P. Siakam misses 2-pt jump shot from 13 ft,54,52
2,1:06.0,Defensive rebound by J. Poeltl,,54,52
2,0:59.0,M. Belinelli misses 3-pt jump shot from 27 ft,,54,52
2,0:57.0,,Defensive rebound by K. Lowry,54,52
2,0:39.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),54,55
2,0:21.0,P. Mills makes 2-pt layup from 1 ft,,56,55
2,0:01.0,,K. Leonard misses 2-pt jump shot from 17 ft,56,55
2,0:01.0,Defensive rebound by J. Poeltl,,56,55
3,11:50.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by B. Forbes),,58,55
3,11:25.0,,P. Siakam makes 2-pt layup from 1 ft (assist by S. Ibaka),58,57
3,11:25.0,,Shooting foul by B. Forbes (drawn by P. Siakam),58,57
3,11:25.0,,P. Siakam makes free throw 1 of 1,58,58
3,11:11.0,Personal foul by P. Siakam (drawn by D. DeRozan),,58,58
3,10:59.0,B. Forbes misses 3-pt jump shot from 26 ft,,58,58
3,10:57.0,,Defensive rebound by S. Ibaka,58,58
3,10:54.0,,Turnover by S. Ibaka (bad pass; steal by D. White),58,58
3,10:50.0,Turnover by R. Gay (bad pass; steal by D. Green),,58,58
3,10:45.0,,P. Siakam makes 2-pt jump shot from 9 ft (assist by K. Lowry),58,60
3,10:31.0,B. Forbes makes 2-pt jump shot from 19 ft (assist by D. White),,60,60
3,10:15.0,,K. Leonard misses 2-pt jump shot from 11 ft,60,60
3,10:13.0,Defensive rebound by L. Aldridge,,60,60
3,10:09.0,D. White misses 2-pt jump shot from 11 ft,,60,60
3,10:05.0,,Defensive rebound by S. Ibaka,60,60
3,9:51.0,,Shooting foul by D. DeRozan (drawn by P. Siakam),60,60
3,9:51.0,,P. Siakam makes free throw 1 of 2,60,61
3,9:51.0,,P. Siakam makes free throw 2 of 2,60,62
3,9:40.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,60,62
3,9:26.0,D. White misses 3-pt jump shot from 23 ft,,60,62
3,9:22.0,,Defensive rebound by S. Ibaka,60,62
3,9:17.0,,K. Lowry makes 2-pt layup from 3 ft,60,64
3,8:52.0,L. Aldridge misses 2-pt jump shot from 16 ft (block by K. Lowry),,60,64
3,8:49.0,Offensive rebound by L. Aldridge,,60,64
3,8:47.0,L. Aldridge misses 3-pt jump shot from 25 ft,,60,64
3,8:47.0,,Defensive rebound by Team,60,64
3,8:47.0,Loose ball foul by B. Forbes (drawn by K. Leonard),,60,64
3,8:27.0,,K. Leonard makes 2-pt layup from 1 ft,60,66
3,8:26.0,San Antonio full timeout,,60,66
3,8:04.0,R. Gay misses 3-pt jump shot from 23 ft,,60,66
3,8:02.0,Offensive rebound by L. Aldridge,,60,66
3,7:56.0,R. Gay makes 3-pt jump shot from 23 ft (assist by D. White),,63,66
3,7:34.0,,S. Ibaka misses 3-pt jump shot from 26 ft,63,66
3,7:31.0,Defensive rebound by D. White,,63,66
3,7:26.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,63,66
3,7:26.0,P. Mills enters the game for D. White,,63,66
3,7:26.0,,M. Gasol enters the game for S. Ibaka,63,66
3,7:22.0,D. DeRozan makes 2-pt jump shot from 12 ft (assist by L. Aldridge),,65,66
3,7:02.0,,D. Green makes 3-pt jump shot from 26 ft (assist by M. Gasol),65,69
3,6:48.0,R. Gay misses 2-pt jump shot from 12 ft,,65,69
3,6:46.0,,Defensive rebound by D. Green,65,69
3,6:39.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by P. Siakam),65,71
3,6:22.0,R. Gay makes 2-pt dunk at rim (assist by D. DeRozan),,67,71
3,6:17.0,,Personal foul by B. Forbes (drawn by P. Siakam),67,71
3,6:17.0,M. Belinelli enters the game for B. Forbes,,67,71
3,6:17.0,D. Bertāns enters the game for R. Gay,,67,71
3,6:10.0,,K. Leonard makes 2-pt layup from 1 ft (assist by P. Siakam),67,73
3,5:47.0,D. Bertāns misses 3-pt jump shot from 24 ft,,67,73
3,5:45.0,Offensive rebound by L. Aldridge,,67,73
3,5:44.0,Turnover by L. Aldridge (bad pass),,67,73
3,5:38.0,,Personal foul by D. Bertāns (drawn by K. Leonard),67,73
3,5:38.0,,K. Leonard misses free throw 1 of 2,67,73
3,5:38.0,,Offensive rebound by Team,67,73
3,5:38.0,,K. Leonard makes free throw 2 of 2,67,74
3,5:19.0,P. Mills makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,69,74
3,5:13.0,,Personal foul by D. DeRozan (drawn by K. Lowry),69,74
3,5:13.0,,K. Lowry makes free throw 1 of 2,69,75
3,5:13.0,,K. Lowry makes free throw 2 of 2,69,76
3,5:01.0,D. DeRozan makes 2-pt layup from 2 ft,,71,76
3,5:01.0,Shooting foul by D. Green (drawn by D. DeRozan),,71,76
3,5:01.0,D. DeRozan makes free throw 1 of 1,,72,76
3,4:45.0,,D. Green makes 2-pt jump shot from 4 ft (assist by M. Gasol),72,78
3,4:25.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),,75,78
3,4:16.0,,Shooting foul by D. Bertāns (drawn by K. Leonard),75,78
3,4:16.0,,K. Leonard makes free throw 1 of 2,75,79
3,4:16.0,,K. Leonard makes free throw 2 of 2,75,80
3,4:04.0,D. Bertāns makes 2-pt jump shot from 18 ft (assist by P. Mills),,77,80
3,3:56.0,,K. Leonard misses 3-pt jump shot from 26 ft,77,80
3,3:53.0,Defensive rebound by D. DeRozan,,77,80
3,3:36.0,M. Belinelli misses 3-pt jump shot from 26 ft,,77,80
3,3:33.0,Offensive rebound by P. Mills,,77,80
3,3:33.0,M. Belinelli makes 2-pt jump shot from 3 ft,,79,80
3,3:33.0,Shooting foul by D. Green (drawn by M. Belinelli),,79,80
3,3:33.0,J. Poeltl enters the game for L. Aldridge,,79,80
3,3:33.0,,Toronto full timeout,79,80
3,3:33.0,Technical foul by N. Nurse,,79,80
3,3:33.0,Technical foul by N. Nurse,,79,80
3,3:33.0,,N. Nurse ejected from game,79,80
3,3:33.0,M. Belinelli makes technical free throw,,80,80
3,3:33.0,M. Belinelli misses technical free throw,,80,80
3,3:33.0,Offensive rebound by Team,,80,80
3,3:33.0,M. Belinelli makes free throw 1 of 1,,81,80
3,3:15.0,,P. Siakam makes 2-pt jump shot from 5 ft,81,82
3,3:11.0,Turnover by J. Poeltl (bad pass),,81,82
3,3:09.0,,Personal foul by P. Mills (drawn by K. Leonard),81,82
3,3:09.0,,K. Leonard makes free throw 1 of 2,81,83
3,3:09.0,,K. Leonard makes free throw 2 of 2,81,84
3,2:53.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,84,84
3,2:41.0,,K. Lowry misses 2-pt jump shot from 20 ft,84,84
3,2:39.0,Defensive rebound by J. Poeltl,,84,84
3,2:24.0,P. Mills misses 3-pt jump shot from 25 ft,,84,84
3,2:21.0,,Defensive rebound by M. Gasol,84,84
3,2:14.0,,K. Leonard misses 3-pt jump shot from 27 ft,84,84
3,2:09.0,Defensive rebound by J. Poeltl,,84,84
3,2:01.0,J. Poeltl makes 2-pt dunk from 1 ft (assist by M. Belinelli),,86,84
3,1:39.0,,M. Gasol makes 2-pt dunk from 2 ft (assist by K. Leonard),86,86
3,1:22.0,J. Poeltl makes 2-pt dunk from 1 ft (assist by P. Mills),,88,86
3,1:02.0,,P. Siakam misses 2-pt jump shot from 7 ft,88,86
3,1:02.0,,Offensive rebound by Team,88,86
3,1:02.0,Loose ball foul by J. Poeltl (drawn by P. Siakam),,88,86
3,1:02.0,,P. Siakam misses free throw 1 of 2,88,86
3,1:02.0,,Offensive rebound by Team,88,86
3,1:02.0,R. Gay enters the game for D. DeRozan,,88,86
3,1:02.0,,J. Lin enters the game for D. Green,88,86
3,1:02.0,,N. Powell enters the game for K. Leonard,88,86
3,1:02.0,,P. Siakam misses free throw 2 of 2,88,86
3,1:00.0,Defensive rebound by R. Gay,,88,86
3,0:46.0,P. Mills misses 3-pt jump shot from 26 ft,,88,86
3,0:45.0,Offensive rebound by R. Gay,,88,86
3,0:41.0,P. Mills makes 2-pt jump shot from 13 ft (assist by R. Gay),,90,86
3,0:27.0,,J. Lin misses 2-pt jump shot from 2 ft,90,86
3,0:26.0,Defensive rebound by M. Belinelli,,90,86
3,0:09.0,Personal foul by M. Gasol (drawn by R. Gay),,90,86
3,0:09.0,R. Gay misses free throw 1 of 2,,90,86
3,0:09.0,Offensive rebound by Team,,90,86
3,0:09.0,R. Gay makes free throw 2 of 2,,91,86
3,0:00.0,,K. Lowry makes 2-pt layup from 1 ft,91,88
4,11:38.0,,J. Lin makes 2-pt jump shot from 18 ft,91,90
4,11:19.0,D. Bertāns misses 2-pt jump shot from 14 ft,,91,90
4,11:16.0,,Defensive rebound by M. Gasol,91,90
4,11:11.0,,M. Gasol misses 3-pt jump shot from 27 ft,91,90
4,11:09.0,Defensive rebound by J. Poeltl,,91,90
4,10:59.0,D. White makes 2-pt dunk from 1 ft (assist by J. Poeltl),,93,90
4,10:46.0,,N. Powell misses 2-pt jump shot from 6 ft,93,90
4,10:44.0,Defensive rebound by R. Gay,,93,90
4,10:36.0,D. Bertāns misses 2-pt jump shot from 21 ft,,93,90
4,10:33.0,,Defensive rebound by M. Gasol,93,90
4,10:28.0,,Turnover by M. Gasol (bad pass),93,90
4,10:12.0,D. White makes 2-pt jump shot from 13 ft,,95,90
4,9:58.0,,J. Lin makes 2-pt layup from 2 ft (assist by M. Gasol),95,92
4,9:58.0,,Shooting foul by J. Poeltl (drawn by J. Lin),95,92
4,9:58.0,B. Forbes enters the game for M. Belinelli,,95,92
4,9:58.0,,J. Lin makes free throw 1 of 1,95,93
4,9:45.0,Turnover by D. Bertāns (bad pass),,95,93
4,9:29.0,,J. Lin misses 2-pt jump shot from 19 ft,95,93
4,9:28.0,,Offensive rebound by O. Anunoby,95,93
4,9:21.0,,O. Anunoby misses 2-pt dunk from 2 ft (block by J. Poeltl),95,93
4,9:18.0,Defensive rebound by R. Gay,,95,93
4,9:03.0,J. Poeltl makes 2-pt dunk from 1 ft (assist by R. Gay),,97,93
4,8:45.0,,N. Powell misses 2-pt jump shot from 3 ft,97,93
4,8:41.0,,Offensive rebound by M. Gasol,97,93
4,8:41.0,,M. Gasol makes 2-pt layup from 1 ft,97,95
4,8:26.0,R. Gay misses 2-pt jump shot from 13 ft,,97,95
4,8:23.0,,Defensive rebound by J. Lin,97,95
4,8:19.0,,J. Lin misses 2-pt jump shot from 4 ft,97,95
4,8:17.0,Defensive rebound by J. Poeltl,,97,95
4,8:08.0,Shooting foul by M. Gasol (drawn by D. White),,97,95
4,8:08.0,D. White misses free throw 1 of 2,,97,95
4,8:08.0,Offensive rebound by Team,,97,95
4,8:08.0,D. DeRozan enters the game for D. Bertāns,,97,95
4,8:08.0,,S. Ibaka enters the game for M. Gasol,97,95
4,8:08.0,D. White makes free throw 2 of 2,,98,95
4,8:01.0,,Toronto full timeout,98,95
4,8:01.0,M. Belinelli enters the game for R. Gay,,98,95
4,7:53.0,,J. Lin makes 2-pt jump shot from 17 ft,98,97
4,7:53.0,,K. Leonard enters the game for P. McCaw,98,97
4,7:33.0,D. White makes 2-pt jump shot from 19 ft,,100,97
4,7:15.0,,N. Powell misses 2-pt layup from 2 ft,100,97
4,7:10.0,,Offensive rebound by S. Ibaka,100,97
4,7:10.0,,S. Ibaka makes 2-pt dunk from 1 ft,100,99
4,7:03.0,D. DeRozan misses 2-pt jump shot from 19 ft,,100,99
4,7:01.0,,Defensive rebound by N. Powell,100,99
4,6:52.0,,J. Lin makes 2-pt jump shot from 14 ft (assist by S. Ibaka),100,101
4,6:38.0,B. Forbes misses 3-pt jump shot from 23 ft,,100,101
4,6:35.0,,Defensive rebound by O. Anunoby,100,101
4,6:27.0,,Shooting foul by D. White (drawn by S. Ibaka),100,101
4,6:27.0,,S. Ibaka makes free throw 1 of 2,100,102
4,6:27.0,L. Aldridge enters the game for J. Poeltl,,100,102
4,6:27.0,,K. Lowry enters the game for N. Powell,100,102
4,6:27.0,,S. Ibaka makes free throw 2 of 2,100,103
4,6:11.0,M. Belinelli misses 3-pt jump shot from 23 ft,,100,103
4,6:09.0,,Defensive rebound by K. Leonard,100,103
