QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
1,7:05.0,L. Dončić misses 3-pt jump shot from 30 ft,,9,9
1,7:00.0,Offensive rebound by D. Powell,,9,9
1,6:57.0,,Violation by Team (kicked ball),9,9
1,6:57.0,,Portland full timeout,9,9
1,6:48.0,T. Hardaway misses 2-pt jump shot from 11 ft,,9,9
1,6:46.0,,Defensive rebound by J. Layman,9,9
1,6:35.0,,D. Lillard misses 3-pt jump shot from 23 ft,9,9
1,6:32.0,Defensive rebound by L. Dončić,,9,9
1,6:28.0,Offensive foul by L. Dončić (drawn by J. Layman),,9,9
1,6:28.0,Turnover by L. Dončić (offensive foul),,9,9
1,6:28.0,D. Finney-Smith enters the game for L. Dončić,,9,9
1,6:13.0,,J. Layman misses 3-pt jump shot from 26 ft,9,9
1,6:09.0,Defensive rebound by D. Finney-Smith,,9,9
1,5:58.0,J. Brunson misses 3-pt jump shot from 23 ft,,9,9
1,5:54.0,,Defensive rebound by J. Nurkić,9,9
1,5:47.0,,A. Aminu misses 3-pt jump shot from 23 ft,9,9
1,5:46.0,Defensive rebound by Team,,9,9
1,5:46.0,,Loose ball foul by J. Layman (drawn by T. Hardaway),9,9
1,5:46.0,,R. Hood enters the game for J. Layman,9,9
1,5:28.0,D. Finney-Smith misses 2-pt layup from 2 ft (block by M. Harkless),,9,9
1,5:28.0,Offensive rebound by Team,,9,9
1,5:28.0,Away from play foul by R. Hood (drawn by D. Nowitzki),,9,9
1,5:28.0,D. Nowitzki makes free throw 1 of 1,,10,9
1,5:25.0,Turnover by D. Nowitzki (bad pass; steal by D. Lillard),,10,9
1,5:21.0,,R. Hood makes 2-pt dunk from 1 ft (assist by D. Lillard),10,11
1,5:07.0,Turnover by D. Powell (traveling),,10,11
1,5:07.0,Violation by Team (delay of game),,10,11
1,4:55.0,,M. Harkless misses 2-pt layup from 4 ft,10,11
1,4:54.0,,Offensive rebound by Team,10,11
1,4:54.0,J. Jackson enters the game for D. Nowitzki,,10,11
1,4:54.0,S. Mejri enters the game for D. Powell,,10,11
1,4:48.0,,Shooting foul by D. Finney-Smith (drawn by J. Nurkić),10,11
1,4:48.0,,J. Nurkić misses free throw 1 of 2,10,11
1,4:48.0,,Offensive rebound by Team,10,11
1,4:48.0,,J. Nurkić makes free throw 2 of 2,10,12
1,4:28.0,J. Jackson misses 3-pt jump shot from 24 ft,,10,12
1,4:25.0,,Defensive rebound by A. Aminu,10,12
1,4:19.0,,Shooting foul by J. Brunson (drawn by D. Lillard),10,12
1,4:19.0,,D. Lillard makes free throw 1 of 2,10,13
1,4:19.0,,D. Lillard makes free throw 2 of 2,10,14
1,4:00.0,J. Jackson misses 3-pt jump shot from 26 ft,,10,14
1,3:57.0,,Defensive rebound by J. Nurkić,10,14
1,3:48.0,,D. Lillard makes 2-pt layup at rim,10,16
1,3:47.0,Dallas full timeout,,10,16
1,3:47.0,T. Burke enters the game for J. Brunson,,10,16
1,3:47.0,D. Harris enters the game for T. Hardaway,,10,16
1,3:47.0,,S. Curry enters the game for M. Harkless,10,16
1,3:47.0,,E. Freedom enters the game for J. Nurkić,10,16
1,3:33.0,D. Harris misses 2-pt jump shot from 15 ft,,10,16
1,3:31.0,,Defensive rebound by A. Aminu,10,16
1,3:23.0,,D. Lillard makes 3-pt jump shot from 31 ft,10,19
1,3:12.0,Offensive foul by S. Mejri (drawn by R. Hood),,10,19
1,3:12.0,Turnover by S. Mejri (offensive foul),,10,19
1,3:00.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Lillard),10,22
1,2:40.0,Shooting foul by E. Freedom (drawn by T. Burke),,10,22
1,2:40.0,,Z. Collins enters the game for A. Aminu,10,22
1,2:40.0,T. Burke makes free throw 1 of 2,,11,22
1,2:40.0,T. Burke misses free throw 2 of 2,,11,22
1,2:39.0,,Defensive rebound by E. Freedom,11,22
1,2:30.0,,Turnover by D. Lillard (traveling),11,22
1,2:20.0,D. Finney-Smith misses 2-pt jump shot from 18 ft,,11,22
1,2:16.0,,Defensive rebound by Z. Collins,11,22
1,2:06.0,,S. Curry misses 2-pt jump shot from 9 ft,11,22
1,2:02.0,,Offensive rebound by E. Freedom,11,22
1,2:02.0,,E. Freedom misses 2-pt layup from 1 ft,11,22
1,2:01.0,Defensive rebound by D. Harris,,11,22
1,1:58.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,11,22
1,1:55.0,,Defensive rebound by D. Lillard,11,22
1,1:41.0,,E. Freedom makes 2-pt layup from 1 ft,11,24
1,1:25.0,J. Jackson makes 2-pt layup from 2 ft (assist by D. Finney-Smith),,13,24
1,1:01.0,,S. Curry makes 2-pt jump shot from 6 ft,13,26
1,0:46.0,T. Burke misses 2-pt layup from 3 ft,,13,26
1,0:46.0,Offensive rebound by J. Jackson,,13,26
1,0:41.0,D. Harris makes 2-pt jump shot from 7 ft,,15,26
1,0:30.0,,S. Curry misses 3-pt jump shot from 23 ft,15,26
1,0:30.0,,Offensive rebound by D. Lillard,15,26
1,0:15.0,,D. Lillard misses 2-pt jump shot from 8 ft (block by D. Finney-Smith),15,26
1,0:15.0,,Offensive rebound by D. Lillard,15,26
1,0:10.0,,R. Hood misses 3-pt jump shot from 28 ft,15,26
1,0:10.0,Defensive rebound by Team,,15,26
1,0:01.0,T. Burke makes 2-pt jump shot from 15 ft,,17,26
2,11:46.0,Shooting foul by S. Curry (drawn by T. Burke),,17,26
2,11:46.0,T. Burke makes free throw 1 of 2,,18,26
2,11:46.0,T. Burke makes free throw 2 of 2,,19,26
2,11:32.0,,Z. Collins misses 2-pt layup from 1 ft,19,26
2,11:30.0,,Offensive rebound by E. Freedom,19,26
2,11:29.0,,E. Freedom misses 2-pt hook shot from 1 ft (block by S. Mejri),19,26
2,11:26.0,Defensive rebound by L. Dončić,,19,26
2,11:21.0,L. Dončić misses 3-pt jump shot from 26 ft,,19,26
2,11:17.0,,Defensive rebound by Z. Collins,19,26
2,11:12.0,,S. Curry misses 2-pt layup from 2 ft (block by T. Burke),19,26
2,11:12.0,Defensive rebound by S. Mejri,,19,26
2,11:01.0,L. Dončić makes 2-pt layup from 2 ft (assist by T. Burke),,21,26
2,10:55.0,,E. Turner makes 2-pt jump shot from 7 ft (assist by R. Hood),21,28
2,10:43.0,L. Dončić misses 3-pt jump shot from 27 ft,,21,28
2,10:37.0,,Defensive rebound by S. Curry,21,28
2,10:30.0,,E. Turner misses 2-pt jump shot from 11 ft,21,28
2,10:30.0,,Offensive rebound by Team,21,28
2,10:29.0,,Personal foul by S. Mejri (drawn by E. Freedom),21,28
2,10:29.0,D. Powell enters the game for S. Mejri,,21,28
2,10:23.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by R. Hood),21,31
2,10:10.0,L. Dončić makes 2-pt layup from 2 ft,,23,31
2,9:59.0,,Personal foul by T. Burke (drawn by S. Curry),23,31
2,9:48.0,,Z. Collins makes 2-pt layup from 9 ft (assist by E. Turner),23,33
2,9:31.0,D. Powell makes 2-pt dunk from 2 ft (assist by D. Harris),,25,33
2,9:13.0,,E. Freedom makes 2-pt jump shot from 13 ft (assist by S. Curry),25,35
2,9:03.0,D. Harris makes 3-pt jump shot from 27 ft (assist by L. Dončić),,28,35
2,8:44.0,,Z. Collins misses 3-pt jump shot from 25 ft,28,35
2,8:41.0,Defensive rebound by L. Dončić,,28,35
2,8:34.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by L. Dončić),,31,35
2,8:32.0,,Portland full timeout,31,35
2,8:17.0,,Turnover by E. Freedom (traveling),31,35
2,8:07.0,J. Jackson makes 2-pt jump shot from 8 ft (assist by D. Harris),,33,35
2,7:58.0,,Shooting foul by J. Jackson (drawn by Z. Collins),33,35
2,7:58.0,,Z. Collins misses free throw 1 of 2,33,35
2,7:58.0,,Offensive rebound by Team,33,35
2,7:58.0,,Z. Collins makes free throw 2 of 2,33,36
2,7:39.0,T. Burke makes 2-pt jump shot from 18 ft,,35,36
2,7:27.0,,Shooting foul by D. Harris (drawn by R. Hood),35,36
2,7:27.0,,R. Hood makes free throw 1 of 2,35,37
2,7:27.0,,M. Harkless enters the game for Z. Collins,35,37
2,7:27.0,,R. Hood makes free throw 2 of 2,35,38
2,7:15.0,L. Dončić makes 2-pt jump shot from 4 ft,,37,38
2,7:00.0,,E. Turner misses 2-pt jump shot from 13 ft,37,38
2,6:54.0,,Offensive rebound by E. Freedom,37,38
2,6:54.0,,E. Freedom misses 2-pt layup from 1 ft,37,38
2,6:53.0,,Offensive rebound by E. Freedom,37,38
2,6:53.0,,E. Freedom misses 2-pt layup from 1 ft,37,38
2,6:53.0,Defensive rebound by D. Powell,,37,38
2,6:46.0,Shooting foul by E. Turner (drawn by L. Dončić),,37,38
2,6:46.0,L. Dončić makes free throw 1 of 2,,38,38
2,6:46.0,L. Dončić makes free throw 2 of 2,,39,38
2,6:28.0,,E. Freedom makes 2-pt layup at rim (assist by E. Turner),39,40
2,6:16.0,D. Harris misses 3-pt jump shot from 26 ft,,39,40
2,6:12.0,,Defensive rebound by E. Turner,39,40
2,6:11.0,,Shooting foul by D. Harris (drawn by E. Freedom),39,40
2,6:11.0,,E. Freedom makes free throw 1 of 2,39,41
2,6:11.0,J. Brunson enters the game for T. Burke,,39,41
2,6:11.0,C. Lee enters the game for D. Harris,,39,41
2,6:11.0,,D. Lillard enters the game for R. Hood,39,41
2,6:11.0,,E. Freedom makes free throw 2 of 2,39,42
2,5:58.0,L. Dončić makes 2-pt dunk from 2 ft,,41,42
2,5:38.0,,D. Lillard misses 3-pt jump shot from 25 ft,41,42
2,5:33.0,Defensive rebound by D. Powell,,41,42
2,5:20.0,J. Brunson makes 2-pt jump shot from 7 ft (assist by L. Dončić),,43,42
2,5:20.0,Shooting foul by D. Lillard (drawn by J. Brunson),,43,42
2,5:20.0,,J. Nurkić enters the game for E. Freedom,43,42
2,5:20.0,J. Brunson makes free throw 1 of 1,,44,42
2,5:03.0,,Turnover by M. Harkless (bad pass; steal by J. Brunson),44,42
2,4:58.0,C. Lee misses 2-pt layup from 1 ft,,44,42
2,4:56.0,,Defensive rebound by J. Nurkić,44,42
2,4:51.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),44,45
2,4:48.0,Dallas full timeout,,44,45
2,4:33.0,J. Jackson misses 3-pt jump shot from 27 ft,,44,45
2,4:30.0,,Defensive rebound by J. Nurkić,44,45
2,4:21.0,,E. Turner makes 2-pt layup from 1 ft,44,47
2,4:09.0,L. Dončić misses 2-pt jump shot from 16 ft,,44,47
2,4:08.0,,Defensive rebound by M. Harkless,44,47
2,3:54.0,,M. Harkless makes 3-pt jump shot from 26 ft (assist by D. Lillard),44,50
2,3:54.0,T. Hardaway enters the game for L. Dončić,,44,50
2,3:54.0,S. Mejri enters the game for D. Powell,,44,50
2,3:54.0,,A. Aminu enters the game for E. Turner,44,50
2,3:26.0,Turnover by Team (shot clock),,44,50
2,3:10.0,,S. Curry misses 3-pt jump shot from 25 ft,44,50
2,3:07.0,Defensive rebound by J. Brunson,,44,50
2,3:00.0,J. Jackson makes 2-pt layup from 3 ft (assist by S. Mejri),,46,50
2,2:52.0,,Personal foul by J. Brunson (drawn by D. Lillard),46,50
2,2:52.0,,D. Lillard makes free throw 1 of 2,46,51
2,2:52.0,,G. Trent enters the game for S. Curry,46,51
2,2:52.0,,D. Lillard makes free throw 2 of 2,46,52
2,2:34.0,C. Lee misses 2-pt jump shot from 12 ft,,46,52
2,2:29.0,,Defensive rebound by J. Nurkić,46,52
2,2:21.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),46,54
2,2:20.0,Dallas full timeout,,46,54
2,2:09.0,T. Hardaway misses 3-pt jump shot from 26 ft,,46,54
2,2:05.0,,Defensive rebound by M. Harkless,46,54
2,1:56.0,,D. Lillard misses 2-pt layup from 2 ft,46,54
2,1:54.0,Defensive rebound by J. Brunson,,46,54
2,1:50.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by T. Hardaway),,49,54
2,1:29.0,,D. Lillard makes 2-pt jump shot from 8 ft,49,56
2,1:19.0,S. Mejri makes 3-pt jump shot from 26 ft (assist by T. Hardaway),,52,56
2,1:04.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),52,58
2,0:49.0,Turnover by S. Mejri (off goaltending),,52,58
2,0:49.0,L. Dončić enters the game for C. Lee,,52,58
2,0:49.0,D. Powell enters the game for S. Mejri,,52,58
2,0:32.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),52,61
2,0:19.0,D. Powell misses 3-pt jump shot from 27 ft,,52,61
2,0:15.0,,Defensive rebound by D. Lillard,52,61
2,0:15.0,,Personal foul by J. Brunson (drawn by D. Lillard),52,61
2,0:15.0,,D. Lillard makes free throw 1 of 2,52,62
2,0:15.0,T. Burke enters the game for J. Brunson,,52,62
2,0:15.0,,D. Lillard makes free throw 2 of 2,52,63
2,0:04.0,Personal foul by G. Trent (drawn by L. Dončić),,52,63
2,0:03.0,Turnover by T. Burke (bad pass; steal by M. Harkless),,52,63
2,0:00.0,,M. Harkless makes 2-pt dunk from 1 ft,52,65
3,11:47.0,L. Dončić misses 2-pt jump shot from 6 ft (block by M. Harkless),,52,65
3,11:44.0,,Defensive rebound by J. Layman,52,65
3,11:40.0,,J. Nurkić makes 2-pt dunk from 3 ft (assist by D. Lillard),52,67
3,11:20.0,T. Hardaway makes 2-pt jump shot from 17 ft (assist by L. Dončić),,54,67
3,11:20.0,Shooting foul by J. Layman (drawn by T. Hardaway),,54,67
3,11:20.0,T. Hardaway makes free throw 1 of 1,,55,67
3,11:07.0,,Personal foul by T. Hardaway (drawn by J. Layman),55,67
3,11:00.0,,Turnover by J. Nurkić (lost ball; steal by D. Powell),55,67
3,10:56.0,L. Dončić makes 2-pt dunk at rim (assist by T. Hardaway),,57,67
3,10:44.0,,Personal foul by L. Dončić (drawn by A. Aminu),57,67
3,10:36.0,,J. Layman misses 2-pt jump shot from 13 ft,57,67
3,10:33.0,Defensive rebound by D. Powell,,57,67
3,10:28.0,T. Hardaway makes 2-pt layup from 1 ft,,59,67
3,10:28.0,,Violation by Team (def goaltending),59,67
3,10:03.0,,J. Layman misses 3-pt jump shot from 26 ft,59,67
3,9:59.0,Defensive rebound by D. Powell,,59,67
3,9:48.0,T. Hardaway misses 3-pt jump shot from 26 ft,,59,67
3,9:45.0,,Defensive rebound by J. Layman,59,67
3,9:40.0,,A. Aminu makes 2-pt layup from 2 ft (assist by M. Harkless),59,69
3,9:40.0,,Shooting foul by D. Nowitzki (drawn by A. Aminu),59,69
3,9:40.0,,A. Aminu makes free throw 1 of 1,59,70
3,9:22.0,Turnover by L. Dončić (bad pass; steal by M. Harkless),,59,70
3,9:15.0,,Turnover by M. Harkless (traveling),59,70
3,9:00.0,J. Brunson makes 2-pt layup from 9 ft,,61,70
3,8:45.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by D. Lillard),61,73
3,8:30.0,L. Dončić makes 2-pt layup from 1 ft,,63,73
3,8:11.0,,M. Harkless misses 2-pt dunk from 2 ft,63,73
3,8:09.0,,Offensive rebound by M. Harkless,63,73
3,8:05.0,,J. Nurkić misses 2-pt jump shot from 2 ft,63,73
3,8:02.0,Defensive rebound by D. Nowitzki,,63,73
3,8:02.0,Shooting foul by J. Layman (drawn by T. Hardaway),,63,73
3,8:02.0,T. Hardaway misses free throw 1 of 2,,63,73
3,8:02.0,Offensive rebound by Team,,63,73
3,8:02.0,T. Hardaway makes free throw 2 of 2,,64,73
3,7:49.0,,D. Lillard makes 3-pt jump shot from 27 ft,64,76
3,7:35.0,D. Nowitzki makes 2-pt jump shot from 16 ft,,66,76
3,7:21.0,,D. Lillard makes 3-pt jump shot from 27 ft,66,79
3,7:02.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,66,79
3,7:00.0,,Defensive rebound by A. Aminu,66,79
3,6:51.0,,Turnover by A. Aminu (bad pass; steal by J. Brunson),66,79
3,6:46.0,L. Dončić misses 2-pt layup at rim,,66,79
3,6:45.0,,Defensive rebound by J. Nurkić,66,79
3,6:45.0,,Personal foul by L. Dončić (drawn by J. Nurkić),66,79
3,6:45.0,,Portland full timeout,66,79
3,6:25.0,,Shooting foul by D. Powell (drawn by J. Layman),66,79
3,6:25.0,,J. Layman makes free throw 1 of 2,66,80
3,6:25.0,,J. Layman makes free throw 2 of 2,66,81
3,6:13.0,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),,69,81
3,5:58.0,,D. Lillard makes 3-pt jump shot from 30 ft,69,84
3,5:31.0,Turnover by Team (shot clock),,69,84
3,5:31.0,,R. Hood enters the game for J. Layman,69,84
3,5:14.0,,A. Aminu misses 2-pt layup from 2 ft (block by D. Powell),69,84
3,5:11.0,Defensive rebound by L. Dončić,,69,84
3,5:02.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,69,84
3,4:59.0,,Defensive rebound by J. Nurkić,69,84
3,4:51.0,,D. Lillard makes 3-pt jump shot from 30 ft,69,87
3,4:51.0,Dallas full timeout,,69,87
3,4:51.0,D. Finney-Smith enters the game for L. Dončić,,69,87
3,4:51.0,J. Jackson enters the game for D. Nowitzki,,69,87
3,4:36.0,J. Jackson misses 2-pt jump shot from 11 ft (block by J. Nurkić),,69,87
3,4:33.0,,Defensive rebound by J. Nurkić,69,87
3,4:24.0,,J. Nurkić makes 2-pt jump shot from 13 ft (assist by D. Lillard),69,89
3,4:13.0,J. Brunson makes 2-pt layup from 1 ft,,71,89
3,3:54.0,,D. Lillard misses 2-pt layup from 1 ft (block by D. Finney-Smith),71,89
3,3:51.0,Defensive rebound by D. Finney-Smith,,71,89
3,3:49.0,D. Finney-Smith makes 2-pt layup from 2 ft (assist by J. Brunson),,73,89
3,3:25.0,,D. Lillard makes 2-pt jump shot from 19 ft,73,91
3,3:12.0,J. Brunson makes 2-pt layup at rim,,75,91
3,3:09.0,,Personal foul by D. Powell (drawn by D. Lillard),75,91
3,3:09.0,,D. Lillard makes free throw 1 of 2,75,92
3,3:09.0,S. Mejri enters the game for D. Powell,,75,92
3,3:09.0,,S. Curry enters the game for A. Aminu,75,92
3,3:09.0,,E. Freedom enters the game for J. Nurkić,75,92
3,3:09.0,,D. Lillard misses free throw 2 of 2,75,92
3,3:06.0,,Offensive rebound by E. Freedom,75,92
3,3:03.0,,E. Freedom makes 2-pt layup from 1 ft,75,94
3,2:47.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by J. Brunson),,78,94
3,2:30.0,,D. Lillard misses 3-pt jump shot from 27 ft,78,94
3,2:26.0,Defensive rebound by S. Mejri,,78,94
3,2:21.0,Turnover by S. Mejri (traveling),,78,94
3,2:21.0,,E. Turner enters the game for M. Harkless,78,94
3,2:02.0,,R. Hood misses 3-pt jump shot from 27 ft,78,94
3,1:58.0,,Offensive rebound by E. Freedom,78,94
3,1:57.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Freedom),78,97
3,1:45.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Brunson),,80,97
3,1:26.0,,D. Lillard misses 3-pt jump shot from 26 ft,80,97
3,1:22.0,Defensive rebound by S. Mejri,,80,97
3,1:15.0,Shooting foul by S. Curry (drawn by J. Brunson),,80,97
3,1:15.0,J. Brunson makes free throw 1 of 3,,81,97
3,1:15.0,J. Brunson makes free throw 2 of 3,,82,97
3,1:15.0,J. Brunson makes free throw 3 of 3,,83,97
3,1:00.0,,Turnover by E. Freedom (bad pass; steal by S. Mejri),83,97
3,0:59.0,J. Brunson misses 2-pt jump shot from 6 ft,,83,97
3,0:58.0,,Defensive rebound by E. Turner,83,97
3,0:39.0,,Personal foul by S. Mejri (drawn by D. Lillard),83,97
3,0:39.0,,D. Lillard makes free throw 1 of 2,83,98
3,0:39.0,,D. Lillard makes free throw 2 of 2,83,99
3,0:29.0,T. Hardaway misses 2-pt jump shot from 14 ft,,83,99
3,0:25.0,,Defensive rebound by E. Freedom,83,99
3,0:05.0,,D. Lillard misses 3-pt jump shot from 31 ft,83,99
3,0:01.0,,Offensive rebound by S. Curry,83,99
3,0:01.0,,S. Curry makes 2-pt jump shot from 17 ft,83,101
3,0:00.0,J. Jackson misses 3-pt jump shot from 54 ft,,83,101
3,0:00.0,Offensive rebound by Team,,83,101
4,11:43.0,,E. Freedom makes 2-pt layup at rim,83,103
4,11:28.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by L. Dončić),,86,103
4,11:09.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by E. Freedom),86,105
4,10:55.0,L. Dončić makes 2-pt jump shot from 6 ft,,88,105
4,10:38.0,,S. Curry makes 2-pt jump shot from 20 ft,88,107
4,10:27.0,T. Burke misses 2-pt layup from 7 ft (block by J. Layman),,88,107
4,10:25.0,,Defensive rebound by S. Curry,88,107
4,10:21.0,,S. Curry misses 3-pt jump shot from 26 ft,88,107
4,10:17.0,Defensive rebound by J. Jackson,,88,107
4,10:10.0,L. Dončić misses 2-pt jump shot from 13 ft,,88,107
4,10:07.0,,Defensive rebound by E. Turner,88,107
4,10:03.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by E. Turner),88,110
4,10:01.0,Dallas full timeout,,88,110
4,10:01.0,C. Lee enters the game for D. Powell,,88,110
4,9:40.0,C. Lee misses 2-pt jump shot from 20 ft,,88,110
4,9:37.0,,Defensive rebound by Team,88,110
4,9:37.0,Loose ball foul by S. Mejri (drawn by R. Hood),,88,110
4,9:22.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by E. Freedom),88,113
4,9:12.0,T. Burke makes 2-pt layup from 1 ft,,90,113
4,8:59.0,,E. Turner misses 2-pt layup from 1 ft,90,113
4,8:55.0,,Offensive rebound by E. Freedom,90,113
4,8:55.0,,E. Freedom makes 2-pt layup at rim,90,115
4,8:49.0,C. Lee misses 3-pt jump shot from 23 ft,,90,115
4,8:46.0,,Defensive rebound by S. Curry,90,115
4,8:39.0,,S. Curry misses 2-pt jump shot from 8 ft,90,115
4,8:38.0,Defensive rebound by Team,,90,115
4,8:38.0,,E. Freedom misses 2-pt layup from 1 ft,90,115
4,8:38.0,,Offensive rebound by E. Freedom,90,115
4,8:16.0,T. Burke makes 2-pt jump shot from 8 ft,,92,115
4,7:54.0,,J. Layman makes 2-pt jump shot from 8 ft,92,117
4,7:31.0,C. Lee makes 2-pt jump shot from 15 ft,,94,117
4,7:10.0,,S. Curry misses 2-pt layup from 5 ft,94,117
4,7:07.0,Defensive rebound by C. Lee,,94,117
4,7:03.0,T. Burke misses 3-pt jump shot from 25 ft,,94,117
4,6:59.0,,Defensive rebound by E. Turner,94,117
4,6:57.0,,Turnover by E. Turner (bad pass; steal by C. Lee),94,117
4,6:54.0,S. Mejri makes 2-pt dunk at rim (assist by J. Jackson),,96,117
4,6:54.0,,Portland full timeout,96,117
4,6:39.0,,J. Layman misses 3-pt jump shot from 23 ft,96,117
4,6:36.0,Defensive rebound by L. Dončić,,96,117
4,6:23.0,L. Dončić makes 3-pt jump shot from 30 ft,,99,117
4,6:09.0,,Offensive foul by E. Freedom (drawn by T. Burke),99,117
4,6:09.0,,Turnover by E. Freedom (offensive foul),99,117
4,5:53.0,Shooting foul by J. Layman (drawn by L. Dončić),,99,117
4,5:53.0,L. Dončić makes free throw 1 of 2,,100,117
4,5:53.0,K. Antetokounmpo enters the game for S. Mejri,,100,117
4,5:53.0,L. Dončić makes free throw 2 of 2,,101,117
4,5:32.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Freedom),101,120
4,5:16.0,Shooting foul by R. Hood (drawn by L. Dončić),,101,120
4,5:16.0,L. Dončić makes free throw 1 of 3,,102,120
4,5:16.0,L. Dončić makes free throw 2 of 3,,103,120
4,5:16.0,,Z. Collins enters the game for E. Freedom,103,120
4,5:16.0,L. Dončić makes free throw 3 of 3,,104,120
4,5:11.0,,Personal take foul by L. Dončić (drawn by E. Turner),104,120
4,5:11.0,R. Broekhoff enters the game for L. Dončić,,104,120
4,5:11.0,,Turnover by S. Curry (back court),104,120
4,4:58.0,K. Antetokounmpo misses 2-pt hook shot from 6 ft,,104,120
4,4:56.0,,Defensive rebound by E. Turner,104,120
4,4:49.0,,R. Hood makes 2-pt jump shot from 11 ft,104,122
4,4:30.0,T. Burke misses 2-pt jump shot from 14 ft,,104,122
4,4:28.0,Offensive rebound by R. Broekhoff,,104,122
4,4:26.0,J. Jackson misses 3-pt jump shot from 26 ft,,104,122
4,4:22.0,Offensive rebound by T. Burke,,104,122
4,4:15.0,Shooting foul by Z. Collins (drawn by J. Jackson),,104,122
4,4:15.0,J. Jackson makes free throw 1 of 2,,105,122
4,4:15.0,,A. Simons enters the game for E. Turner,105,122
4,4:15.0,J. Jackson makes free throw 2 of 2,,106,122
4,4:01.0,,R. Hood makes 2-pt jump shot from 15 ft,106,124
4,3:52.0,Shooting foul by S. Curry (drawn by T. Burke),,106,124
4,3:52.0,T. Burke makes free throw 1 of 2,,107,124
4,3:52.0,,G. Trent enters the game for R. Hood,107,124
4,3:52.0,T. Burke makes free throw 2 of 2,,108,124
4,3:36.0,,Turnover by Z. Collins (lost ball; steal by C. Lee),108,124
4,3:29.0,R. Broekhoff makes 3-pt jump shot from 25 ft (assist by C. Lee),,111,124
