QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
1,8:35.0,,K. Durant makes 2-pt jump shot from 16 ft,11,10
1,8:21.0,D. Russell makes 2-pt jump shot from 20 ft,,13,10
1,8:09.0,,Turnover by K. Durant (bad pass; steal by D. Russell),13,10
1,8:03.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,16,10
1,7:46.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by J. Jerebko),16,13
1,7:28.0,D. Russell makes 2-pt jump shot from 11 ft,,18,13
1,7:06.0,,K. Thompson misses 2-pt jump shot from 14 ft,18,13
1,7:05.0,,Offensive rebound by D. Jones,18,13
1,6:54.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by K. Durant),18,15
1,6:43.0,D. Russell misses 2-pt jump shot from 10 ft,,18,15
1,6:42.0,Offensive rebound by J. Allen,,18,15
1,6:37.0,J. Harris makes 2-pt layup from 2 ft (assist by J. Allen),,20,15
1,6:28.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by K. Thompson),20,17
1,6:11.0,Turnover by C. LeVert (out of bounds lost ball),,20,17
1,6:11.0,A. Crabbe enters the game for J. Dudley,,20,17
1,6:11.0,R. Hollis-Jefferson enters the game for J. Harris,,20,17
1,6:11.0,,A. McKinnie enters the game for K. Thompson,20,17
1,5:55.0,,K. Durant makes 2-pt jump shot from 12 ft,20,19
1,5:45.0,D. Russell misses 2-pt jump shot from 17 ft,,20,19
1,5:44.0,Offensive rebound by J. Allen,,20,19
1,5:40.0,C. LeVert misses 3-pt jump shot from 27 ft,,20,19
1,5:38.0,,Defensive rebound by Q. Cook,20,19
1,5:24.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Jerebko),20,22
1,5:22.0,Brooklyn full timeout,,20,22
1,5:22.0,,K. Looney enters the game for D. Jones,20,22
1,5:09.0,A. Crabbe misses 2-pt jump shot from 16 ft,,20,22
1,5:06.0,,Defensive rebound by K. Looney,20,22
1,4:58.0,,Turnover by K. Looney (bad pass; steal by J. Allen),20,22
1,4:50.0,A. Crabbe misses 3-pt jump shot from 26 ft,,20,22
1,4:47.0,Offensive rebound by J. Allen,,20,22
1,4:47.0,Shooting foul by K. Looney (drawn by J. Allen),,20,22
1,4:47.0,J. Allen makes free throw 1 of 2,,21,22
1,4:47.0,S. Dinwiddie enters the game for D. Russell,,21,22
1,4:47.0,,J. Bell enters the game for J. Jerebko,21,22
1,4:47.0,J. Allen makes free throw 2 of 2,,22,22
1,4:33.0,,Q. Cook makes 2-pt jump shot from 20 ft (assist by K. Durant),22,24
1,4:11.0,S. Dinwiddie makes 2-pt layup from 2 ft,,24,24
1,4:02.0,,K. Durant misses 2-pt jump shot from 11 ft,24,24
1,4:01.0,,Offensive rebound by Team,24,24
1,4:01.0,E. Davis enters the game for J. Allen,,24,24
1,4:01.0,,A. Iguodala enters the game for Q. Cook,24,24
1,3:47.0,,J. Bell makes 2-pt layup from 2 ft (assist by K. Durant),24,26
1,3:30.0,A. Crabbe misses 3-pt jump shot from 27 ft,,24,26
1,3:26.0,,Defensive rebound by Team,24,26
1,3:10.0,,Shooting foul by S. Dinwiddie (drawn by K. Durant),24,26
1,3:10.0,,K. Durant makes free throw 1 of 2,24,27
1,3:10.0,,K. Durant makes free throw 2 of 2,24,28
1,3:00.0,C. LeVert misses 2-pt layup from 3 ft,,24,28
1,2:56.0,,Defensive rebound by A. McKinnie,24,28
1,2:50.0,,J. Bell makes 2-pt jump shot from 18 ft (assist by K. Durant),24,30
1,2:32.0,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft (block by K. Looney),,24,30
1,2:32.0,Offensive rebound by Team,,24,30
1,2:32.0,D. Carroll enters the game for C. LeVert,,24,30
1,2:23.0,Shooting foul by K. Looney (drawn by S. Dinwiddie),,24,30
1,2:23.0,S. Dinwiddie makes free throw 1 of 2,,25,30
1,2:23.0,S. Dinwiddie makes free throw 2 of 2,,26,30
1,2:10.0,,K. Durant misses 2-pt jump shot from 18 ft,26,30
1,2:06.0,Defensive rebound by D. Carroll,,26,30
1,1:55.0,S. Dinwiddie misses 2-pt jump shot from 9 ft,,26,30
1,1:49.0,,Defensive rebound by J. Bell,26,30
1,1:47.0,,A. McKinnie makes 2-pt layup from 2 ft,26,32
1,1:21.0,S. Dinwiddie makes 2-pt layup from 7 ft,,28,32
1,1:12.0,,K. Durant misses 2-pt jump shot from 17 ft,28,32
1,1:07.0,Defensive rebound by E. Davis,,28,32
1,0:59.0,R. Hollis-Jefferson misses 2-pt hook shot from 8 ft (block by K. Looney),,28,32
1,0:55.0,,Defensive rebound by K. Looney,28,32
1,0:54.0,,Shooting foul by D. Carroll (drawn by A. Iguodala),28,32
1,0:54.0,,A. Iguodala makes free throw 1 of 2,28,33
1,0:54.0,,D. Jones enters the game for K. Looney,28,33
1,0:54.0,,A. Iguodala makes free throw 2 of 2,28,34
1,0:36.0,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,,28,34
1,0:32.0,,Defensive rebound by A. McKinnie,28,34
1,0:25.0,,Shooting foul by S. Dinwiddie (drawn by K. Durant),28,34
1,0:25.0,,K. Durant makes free throw 1 of 2,28,35
1,0:25.0,J. Harris enters the game for R. Hollis-Jefferson,,28,35
1,0:25.0,,K. Durant makes free throw 2 of 2,28,36
1,0:06.0,S. Dinwiddie makes 2-pt hook shot from 6 ft,,30,36
2,11:44.0,,K. Thompson misses 2-pt jump shot from 17 ft,30,36
2,11:40.0,Defensive rebound by D. Carroll,,30,36
2,11:36.0,Offensive foul by D. Carroll (drawn by K. Thompson),,30,36
2,11:36.0,Turnover by D. Carroll (offensive foul),,30,36
2,11:25.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by A. Iguodala),30,38
2,11:03.0,J. Harris makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,33,38
2,10:43.0,,A. McKinnie misses 2-pt jump shot from 8 ft,33,38
2,10:38.0,Defensive rebound by E. Davis,,33,38
2,10:29.0,D. Carroll misses 3-pt jump shot from 27 ft,,33,38
2,10:24.0,,Defensive rebound by J. Bell,33,38
2,10:18.0,,Turnover by J. Jerebko (bad pass; steal by S. Dinwiddie),33,38
2,10:15.0,,Loose ball foul by J. Jerebko (drawn by S. Dinwiddie),33,38
2,10:04.0,J. Harris makes 3-pt jump shot from 28 ft (assist by A. Crabbe),,36,38
2,9:47.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by A. Iguodala),36,40
2,9:34.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,36,40
2,9:28.0,Offensive rebound by D. Carroll,,36,40
2,9:26.0,A. Crabbe misses 3-pt jump shot from 25 ft,,36,40
2,9:22.0,Offensive rebound by J. Harris,,36,40
2,9:19.0,Shooting foul by J. Jerebko (drawn by D. Carroll),,36,40
2,9:19.0,D. Carroll makes free throw 1 of 2,,37,40
2,9:19.0,D. Carroll makes free throw 2 of 2,,38,40
2,9:12.0,,Personal foul by J. Harris (drawn by K. Thompson),38,40
2,9:05.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by A. Iguodala),38,42
2,8:39.0,D. Carroll makes 2-pt jump shot from 13 ft (assist by S. Dinwiddie),,40,42
2,8:27.0,,Turnover by K. Thompson (bad pass),40,42
2,8:27.0,,Q. Cook enters the game for A. Iguodala,40,42
2,8:10.0,Turnover by J. Harris (bad pass; steal by J. Bell),,40,42
2,8:02.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by Q. Cook),40,44
2,8:02.0,,Violation by Team (delay of game),40,44
2,7:54.0,J. Harris makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,42,44
2,7:54.0,,Violation by Team (def goaltending),42,44
2,7:43.0,,Personal foul by J. Harris (drawn by K. Thompson),42,44
2,7:43.0,J. Dudley enters the game for D. Carroll,,42,44
2,7:43.0,,D. Jones enters the game for J. Bell,42,44
2,7:38.0,,Shooting foul by A. Crabbe (drawn by K. Thompson),42,44
2,7:38.0,,K. Thompson misses free throw 1 of 2,42,44
2,7:38.0,,Offensive rebound by Team,42,44
2,7:38.0,,K. Thompson misses free throw 2 of 2,42,44
2,7:36.0,Defensive rebound by E. Davis,,42,44
2,7:20.0,Turnover by A. Crabbe (out of bounds lost ball),,42,44
2,7:20.0,J. Allen enters the game for E. Davis,,42,44
2,7:20.0,D. Russell enters the game for S. Dinwiddie,,42,44
2,7:20.0,Violation by Team (delay of game),,42,44
2,7:13.0,,Personal foul by A. Crabbe (drawn by J. Jerebko),42,44
2,7:13.0,C. LeVert enters the game for A. Crabbe,,42,44
2,7:07.0,,Turnover by J. Jerebko (bad pass; steal by J. Allen),42,44
2,7:02.0,J. Harris makes 2-pt layup from 6 ft (assist by D. Russell),,44,44
2,6:47.0,,Q. Cook makes 2-pt jump shot from 15 ft,44,46
2,6:32.0,D. Russell misses 2-pt jump shot from 11 ft,,44,46
2,6:27.0,,Defensive rebound by D. Jones,44,46
2,6:25.0,,D. Jones makes 2-pt dunk from 2 ft (assist by Q. Cook),44,48
2,6:25.0,Brooklyn full timeout,,44,48
2,6:25.0,,K. Durant enters the game for J. Jerebko,44,48
2,6:25.0,,A. Iguodala enters the game for A. McKinnie,44,48
2,6:25.0,,K. Looney enters the game for K. Thompson,44,48
2,6:11.0,Personal foul by A. Iguodala (drawn by J. Harris),,44,48
2,6:05.0,D. Russell misses 3-pt jump shot from 25 ft,,44,48
2,5:59.0,,Defensive rebound by D. Jones,44,48
2,5:45.0,,Shooting foul by D. Russell (drawn by Q. Cook),44,48
2,5:45.0,,Q. Cook makes free throw 1 of 2,44,49
2,5:45.0,,Q. Cook makes free throw 2 of 2,44,50
2,5:31.0,C. LeVert makes 2-pt hook shot from 9 ft,,46,50
2,5:20.0,,Q. Cook makes 3-pt jump shot from 27 ft,46,53
2,5:07.0,J. Harris makes 2-pt layup from 3 ft (assist by J. Dudley),,48,53
2,4:46.0,,K. Durant misses 2-pt jump shot from 11 ft,48,53
2,4:45.0,,Offensive rebound by Team,48,53
2,4:45.0,Loose ball foul by J. Harris (drawn by D. Jones),,48,53
2,4:45.0,,D. Jones makes free throw 1 of 2,48,54
2,4:45.0,S. Dinwiddie enters the game for J. Harris,,48,54
2,4:45.0,,D. Jones misses free throw 2 of 2,48,54
2,4:42.0,Defensive rebound by C. LeVert,,48,54
2,4:42.0,,K. Thompson enters the game for D. Jones,48,54
2,4:23.0,D. Russell makes 2-pt jump shot from 12 ft,,50,54
2,4:04.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),50,56
2,3:48.0,Shooting foul by K. Looney (drawn by C. LeVert),,50,56
2,3:48.0,C. LeVert misses free throw 1 of 2,,50,56
2,3:48.0,Offensive rebound by Team,,50,56
2,3:48.0,R. Hollis-Jefferson enters the game for J. Dudley,,50,56
2,3:48.0,,J. Bell enters the game for K. Looney,50,56
2,3:48.0,C. LeVert makes free throw 2 of 2,,51,56
2,3:34.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by K. Durant),51,59
2,3:18.0,R. Hollis-Jefferson makes 2-pt layup from 4 ft (assist by D. Russell),,53,59
2,3:10.0,,Golden State full timeout,53,59
2,3:01.0,,K. Durant makes 2-pt jump shot from 12 ft,53,61
2,2:34.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Bell),,53,61
2,2:25.0,,Offensive foul by K. Thompson (drawn by S. Dinwiddie),53,61
2,2:25.0,,Turnover by K. Thompson (offensive foul),53,61
2,2:25.0,,A. McKinnie enters the game for K. Thompson,53,61
2,2:05.0,D. Russell misses 3-pt jump shot from 27 ft,,53,61
2,2:00.0,,Defensive rebound by Q. Cook,53,61
2,1:49.0,,K. Durant makes 2-pt jump shot from 15 ft,53,63
2,1:36.0,C. LeVert misses 2-pt layup from 5 ft (block by J. Bell),,53,63
2,1:35.0,,Defensive rebound by A. Iguodala,53,63
2,1:28.0,,A. Iguodala misses 2-pt layup from 3 ft,53,63
2,1:23.0,Defensive rebound by J. Allen,,53,63
2,1:12.0,D. Russell misses 2-pt jump shot from 8 ft (block by A. McKinnie),,53,63
2,1:11.0,,Defensive rebound by J. Bell,53,63
2,1:04.0,,K. Durant misses 2-pt layup from 2 ft,53,63
2,1:03.0,Defensive rebound by R. Hollis-Jefferson,,53,63
2,0:54.0,Turnover by S. Dinwiddie (bad pass; steal by J. Bell),,53,63
2,0:47.0,,Personal foul by D. Russell (drawn by K. Durant),53,63
2,0:47.0,,K. Durant makes free throw 1 of 2,53,64
2,0:47.0,D. Carroll enters the game for R. Hollis-Jefferson,,53,64
2,0:47.0,,K. Durant makes free throw 2 of 2,53,65
2,0:30.0,D. Russell misses 2-pt jump shot from 5 ft,,53,65
2,0:29.0,Offensive rebound by D. Russell,,53,65
2,0:29.0,D. Russell misses 2-pt layup from 2 ft,,53,65
2,0:28.0,,Defensive rebound by J. Bell,53,65
2,0:06.0,,Q. Cook misses 2-pt layup from 3 ft (block by D. Carroll),53,65
2,0:04.0,Defensive rebound by C. LeVert,,53,65
2,0:03.0,C. LeVert misses 3-pt jump shot from 26 ft,,53,65
2,0:00.0,Offensive rebound by S. Dinwiddie,,53,65
3,11:47.0,,J. Jerebko misses 2-pt layup from 3 ft,53,65
3,11:42.0,Defensive rebound by J. Dudley,,53,65
3,11:37.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,55,65
3,11:21.0,,J. Jerebko misses 3-pt jump shot from 26 ft,55,65
3,11:18.0,Defensive rebound by D. Russell,,55,65
3,11:09.0,C. LeVert misses 3-pt jump shot from 26 ft,,55,65
3,11:03.0,,Defensive rebound by K. Durant,55,65
3,10:49.0,,K. Thompson misses 2-pt jump shot from 14 ft,55,65
3,10:45.0,,Offensive rebound by D. Jones,55,65
3,10:44.0,,K. Thompson misses 3-pt jump shot from 26 ft,55,65
3,10:41.0,,Offensive rebound by J. Jerebko,55,65
3,10:37.0,,Q. Cook misses 2-pt layup from 3 ft,55,65
3,10:34.0,Defensive rebound by J. Allen,,55,65
3,10:28.0,Turnover by C. LeVert (bad pass; steal by K. Thompson),,55,65
3,10:27.0,,Personal foul by J. Dudley (drawn by K. Thompson),55,65
3,10:22.0,,K. Thompson misses 2-pt jump shot from 17 ft,55,65
3,10:18.0,Defensive rebound by J. Allen,,55,65
3,10:08.0,Personal foul by Q. Cook (drawn by J. Dudley),,55,65
3,9:59.0,J. Harris misses 3-pt jump shot from 26 ft,,55,65
3,9:53.0,,Defensive rebound by K. Durant,55,65
3,9:48.0,,Turnover by K. Durant (lost ball; steal by J. Harris),55,65
3,9:40.0,D. Russell misses 3-pt jump shot from 25 ft,,55,65
3,9:37.0,,Defensive rebound by K. Durant,55,65
3,9:27.0,,J. Jerebko misses 3-pt jump shot from 24 ft,55,65
3,9:24.0,,Offensive rebound by Team,55,65
3,9:22.0,,Q. Cook misses 3-pt jump shot from 28 ft,55,65
3,9:18.0,Defensive rebound by J. Dudley,,55,65
3,9:13.0,D. Russell misses 3-pt jump shot from 25 ft,,55,65
3,9:11.0,,Defensive rebound by D. Jones,55,65
3,9:00.0,,K. Durant makes 2-pt jump shot from 19 ft,55,67
3,8:46.0,Turnover by J. Harris (bad pass; steal by K. Thompson),,55,67
3,8:39.0,,J. Jerebko misses 2-pt layup from 5 ft,55,67
3,8:36.0,,Offensive rebound by J. Jerebko,55,67
3,8:34.0,,J. Jerebko makes 2-pt layup from 2 ft,55,69
3,8:20.0,Personal foul by J. Jerebko (drawn by J. Dudley),,55,69
3,8:20.0,A. Crabbe enters the game for J. Allen,,55,69
3,8:20.0,E. Davis enters the game for J. Harris,,55,69
3,8:06.0,Turnover by Team (shot clock),,55,69
3,7:47.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Durant),55,71
3,7:47.0,,Shooting foul by E. Davis (drawn by D. Jones),55,71
3,7:47.0,Brooklyn full timeout,,55,71
3,7:47.0,S. Dinwiddie enters the game for C. LeVert,,55,71
3,7:47.0,S. Napier enters the game for D. Russell,,55,71
3,7:47.0,,D. Jones makes free throw 1 of 1,55,72
3,7:24.0,S. Dinwiddie makes 2-pt layup from 1 ft,,57,72
3,7:04.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by D. Jones),57,74
3,6:56.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,60,74
3,6:49.0,,Personal foul by A. Crabbe (drawn by K. Thompson),60,74
3,6:37.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),60,77
3,6:14.0,Turnover by S. Dinwiddie (lost ball; steal by K. Durant),,60,77
3,6:02.0,,J. Jerebko misses 3-pt jump shot from 27 ft,60,77
3,6:00.0,,Offensive rebound by D. Jones,60,77
3,5:55.0,,D. Jones makes 2-pt layup from 1 ft (assist by K. Durant),60,79
3,5:32.0,S. Dinwiddie misses 2-pt layup from 12 ft,,60,79
3,5:29.0,Offensive rebound by E. Davis,,60,79
3,5:27.0,E. Davis makes 2-pt layup from 3 ft,,62,79
3,5:13.0,,Q. Cook misses 3-pt jump shot from 27 ft,62,79
3,5:08.0,Defensive rebound by E. Davis,,62,79
3,4:51.0,Shooting foul by D. Jones (drawn by S. Dinwiddie),,62,79
3,4:51.0,S. Dinwiddie makes free throw 1 of 2,,63,79
3,4:51.0,D. Carroll enters the game for J. Dudley,,63,79
3,4:51.0,,A. Iguodala enters the game for Q. Cook,63,79
3,4:51.0,,K. Looney enters the game for J. Jerebko,63,79
3,4:51.0,S. Dinwiddie makes free throw 2 of 2,,64,79
3,4:37.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by A. Iguodala),64,81
3,4:20.0,S. Dinwiddie makes 2-pt jump shot from 9 ft,,66,81
3,4:08.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),66,83
3,3:49.0,S. Napier makes 2-pt jump shot from 11 ft (assist by S. Dinwiddie),,68,83
3,3:38.0,,A. Iguodala makes 2-pt jump shot from 11 ft,68,85
3,3:38.0,,Shooting foul by S. Napier (drawn by A. Iguodala),68,85
3,3:38.0,,J. Bell enters the game for D. Jones,68,85
3,3:38.0,,A. Iguodala makes free throw 1 of 1,68,86
3,3:23.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,68,86
3,3:15.0,,Defensive rebound by K. Durant,68,86
3,3:07.0,,K. Durant makes 2-pt jump shot from 13 ft,68,88
3,2:49.0,Personal foul by K. Looney (drawn by E. Davis),,68,88
3,2:49.0,,Golden State full timeout,68,88
3,2:49.0,,A. McKinnie enters the game for K. Thompson,68,88
3,2:43.0,S. Napier makes 2-pt jump shot from 17 ft,,70,88
3,2:29.0,,Shooting foul by D. Carroll (drawn by J. Bell),70,88
3,2:29.0,,J. Bell makes free throw 1 of 2,70,89
3,2:29.0,,J. Bell misses free throw 2 of 2,70,89
3,2:25.0,Defensive rebound by E. Davis,,70,89
3,2:12.0,Turnover by A. Crabbe (traveling),,70,89
3,2:12.0,Violation by Team (delay of game),,70,89
3,2:12.0,Violation by Team (delay of game),,70,89
3,2:12.0,,K. Durant makes technical free throw,70,90
3,1:51.0,,A. Iguodala misses 3-pt jump shot from 27 ft,70,90
3,1:47.0,Defensive rebound by S. Dinwiddie,,70,90
3,1:45.0,S. Napier makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,72,90
3,1:29.0,,Shooting foul by S. Dinwiddie (drawn by K. Durant),72,90
3,1:29.0,,K. Durant makes free throw 1 of 2,72,91
3,1:29.0,,K. Durant makes free throw 2 of 2,72,92
3,1:09.0,D. Carroll misses 2-pt hook shot from 8 ft,,72,92
3,1:03.0,,Defensive rebound by A. Iguodala,72,92
3,1:01.0,,A. Iguodala misses 2-pt layup from 3 ft,72,92
3,0:58.0,Defensive rebound by E. Davis,,72,92
3,0:53.0,S. Napier makes 2-pt layup from 2 ft,,74,92
3,0:53.0,Shooting foul by J. Bell (drawn by S. Napier),,74,92
3,0:53.0,S. Napier misses free throw 1 of 1,,74,92
3,0:51.0,,Defensive rebound by J. Bell,74,92
3,0:36.0,,K. Looney makes 2-pt jump shot from 20 ft,74,94
3,0:14.0,E. Davis misses 2-pt layup from 6 ft (block by K. Durant),,74,94
3,0:11.0,,Defensive rebound by K. Looney,74,94
3,0:01.0,,A. Iguodala misses 2-pt jump shot from 21 ft,74,94
3,0:00.0,,Offensive rebound by Team,74,94
4,11:36.0,S. Napier misses 2-pt jump shot from 18 ft,,74,94
4,11:36.0,,Defensive rebound by Team,74,94
4,11:36.0,Loose ball foul by D. Carroll (drawn by A. McKinnie),,74,94
4,11:22.0,,K. Looney misses 2-pt jump shot from 12 ft,74,94
4,11:19.0,Defensive rebound by D. Carroll,,74,94
4,11:04.0,D. Carroll makes 2-pt layup from 3 ft (assist by J. Harris),,76,94
4,10:43.0,,K. Thompson makes 2-pt jump shot from 7 ft,76,96
4,10:29.0,Personal foul by K. Looney (drawn by D. Carroll),,76,96
4,10:29.0,,J. Bell enters the game for K. Looney,76,96
4,10:19.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Carroll),,79,96
4,9:58.0,,K. Thompson misses 3-pt jump shot from 28 ft,79,96
4,9:58.0,,Offensive rebound by Team,79,96
4,9:58.0,Loose ball foul by J. Harris (drawn by J. Jerebko),,79,96
4,9:54.0,,K. Thompson misses 2-pt jump shot from 15 ft,79,96
4,9:49.0,Defensive rebound by J. Allen,,79,96
4,9:39.0,D. Russell misses 2-pt jump shot from 14 ft,,79,96
4,9:35.0,,Defensive rebound by A. Iguodala,79,96
4,9:28.0,,Turnover by A. Iguodala (bad pass; steal by D. Russell),79,96
4,9:20.0,Offensive foul by J. Allen (drawn by A. McKinnie),,79,96
4,9:20.0,Turnover by J. Allen (offensive foul),,79,96
4,9:20.0,,Q. Cook enters the game for A. Iguodala,79,96
4,9:01.0,,K. Thompson makes 3-pt jump shot from 25 ft,79,99
4,8:42.0,J. Harris makes 2-pt layup from 3 ft (assist by S. Napier),,81,99
4,8:19.0,,Q. Cook makes 2-pt jump shot from 11 ft,81,101
4,8:17.0,Brooklyn full timeout,,81,101
4,8:17.0,A. Crabbe enters the game for J. Allen,,81,101
4,8:17.0,K. Faried enters the game for D. Carroll,,81,101
4,8:17.0,R. Hollis-Jefferson enters the game for J. Harris,,81,101
4,8:17.0,R. Kurucs enters the game for D. Russell,,81,101
4,7:56.0,A. Crabbe misses 3-pt jump shot from 27 ft,,81,101
4,7:54.0,Offensive rebound by R. Kurucs,,81,101
4,7:53.0,Turnover by A. Crabbe (bad pass; steal by Q. Cook),,81,101
4,7:31.0,,Q. Cook makes 2-pt jump shot from 19 ft,81,103
4,7:07.0,R. Hollis-Jefferson misses 2-pt layup from 6 ft (block by K. Thompson),,81,103
4,7:04.0,,Defensive rebound by K. Thompson,81,103
4,6:56.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by Q. Cook),81,105
4,6:36.0,K. Faried makes 2-pt dunk from 1 ft (assist by A. Crabbe),,83,105
4,6:17.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by Q. Cook),83,107
4,6:17.0,,D. Lee enters the game for K. Thompson,83,107
4,5:51.0,S. Napier misses 2-pt jump shot from 22 ft,,83,107
4,5:47.0,,Defensive rebound by J. Bell,83,107
4,5:38.0,,Q. Cook misses 2-pt jump shot from 13 ft,83,107
4,5:33.0,Defensive rebound by K. Faried,,83,107
4,5:33.0,Shooting foul by A. McKinnie (drawn by S. Napier),,83,107
4,5:33.0,S. Napier makes free throw 1 of 2,,84,107
4,5:33.0,,M. Derrickson enters the game for J. Jerebko,84,107
4,5:33.0,S. Napier misses free throw 2 of 2,,84,107
4,5:30.0,,Defensive rebound by M. Derrickson,84,107
4,5:16.0,,J. Bell misses 2-pt jump shot from 20 ft,84,107
4,5:10.0,Defensive rebound by S. Napier,,84,107
4,5:04.0,R. Kurucs makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,87,107
4,4:43.0,,Q. Cook makes 2-pt jump shot from 16 ft (assist by J. Bell),87,109
4,4:31.0,Personal foul by M. Derrickson (drawn by R. Hollis-Jefferson),,87,109
4,4:21.0,Shooting foul by J. Bell (drawn by S. Napier),,87,109
4,4:21.0,,Golden State full timeout,87,109
4,4:21.0,,J. Evans enters the game for A. McKinnie,87,109
4,4:21.0,S. Napier misses free throw 1 of 2,,87,109
4,4:21.0,Offensive rebound by Team,,87,109
4,4:21.0,S. Napier makes free throw 2 of 2,,88,109
4,4:03.0,,J. Evans misses 2-pt jump shot from 18 ft,88,109
4,3:58.0,Defensive rebound by R. Hollis-Jefferson,,88,109
4,3:48.0,Shooting foul by M. Derrickson (drawn by S. Napier),,88,109
4,3:48.0,S. Napier makes free throw 1 of 2,,89,109
4,3:48.0,S. Napier makes free throw 2 of 2,,90,109
4,3:29.0,,Q. Cook makes 2-pt jump shot from 19 ft (assist by J. Bell),90,111
4,3:18.0,Shooting foul by D. Lee (drawn by K. Faried),,90,111
4,3:18.0,K. Faried misses free throw 1 of 2,,90,111
4,3:18.0,Offensive rebound by Team,,90,111
4,3:18.0,,A. McKinnie enters the game for Q. Cook,90,111
4,3:18.0,K. Faried makes free throw 2 of 2,,91,111
4,2:58.0,,M. Derrickson makes 2-pt jump shot from 18 ft (assist by J. Evans),91,113
4,2:38.0,R. Kurucs misses 2-pt layup from 7 ft,,91,113
4,2:35.0,,Defensive rebound by D. Lee,91,113
4,2:29.0,,M. Derrickson misses 2-pt jump shot from 14 ft,91,113
4,2:24.0,Defensive rebound by R. Hollis-Jefferson,,91,113
