QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
2,8:57.0,R. Holmes makes 2-pt layup from 2 ft (assist by E. Okobo),,29,40
2,8:41.0,,Sacramento full timeout,29,40
2,8:41.0,,W. Cauley-Stein enters the game for H. Giles,29,40
2,8:32.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,29,40
2,8:29.0,Defensive rebound by K. Oubre,,29,40
2,8:12.0,E. Okobo misses 2-pt layup from 5 ft,,29,40
2,8:09.0,,Defensive rebound by A. Burks,29,40
2,7:59.0,,M. Bagley misses 2-pt hook shot from 6 ft,29,40
2,7:55.0,Defensive rebound by E. Okobo,,29,40
2,7:47.0,,Violation by Team (kicked ball),29,40
2,7:47.0,J. Jackson enters the game for J. Crawford,,29,40
2,7:47.0,T. Johnson enters the game for E. Okobo,,29,40
2,7:47.0,,D. Fox enters the game for Y. Ferrell,29,40
2,7:41.0,T. Johnson misses 2-pt jump shot from 14 ft,,29,40
2,7:39.0,Offensive rebound by T. Johnson,,29,40
2,7:36.0,D. Bender misses 3-pt jump shot from 25 ft,,29,40
2,7:34.0,Offensive rebound by R. Holmes,,29,40
2,7:31.0,R. Holmes misses 2-pt hook shot from 10 ft,,29,40
2,7:31.0,Offensive rebound by R. Holmes,,29,40
2,7:28.0,R. Holmes misses 2-pt hook shot from 8 ft,,29,40
2,7:25.0,,Defensive rebound by W. Cauley-Stein,29,40
2,7:06.0,,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by W. Cauley-Stein),29,42
2,6:51.0,K. Oubre misses 3-pt jump shot from 25 ft,,29,42
2,6:48.0,,Defensive rebound by A. Burks,29,42
2,6:43.0,,Shooting foul by T. Johnson (drawn by B. Bogdanović),29,42
2,6:43.0,,B. Bogdanović makes free throw 1 of 2,29,43
2,6:43.0,D. Ayton enters the game for R. Holmes,,29,43
2,6:43.0,D. Booker enters the game for K. Oubre,,29,43
2,6:43.0,,B. Bogdanović makes free throw 2 of 2,29,44
2,6:29.0,D. Bender misses 3-pt jump shot from 25 ft,,29,44
2,6:25.0,,Defensive rebound by B. Bogdanović,29,44
2,6:20.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by M. Bagley),29,46
2,6:20.0,,Shooting foul by D. Ayton (drawn by W. Cauley-Stein),29,46
2,6:20.0,Phoenix full timeout,,29,46
2,6:20.0,,W. Cauley-Stein misses free throw 1 of 1,29,46
2,6:17.0,Defensive rebound by D. Bender,,29,46
2,5:53.0,T. Johnson misses 2-pt jump shot from 11 ft,,29,46
2,5:51.0,Offensive rebound by Team,,29,46
2,5:47.0,J. Jackson makes 2-pt jump shot from 12 ft (assist by D. Booker),,31,46
2,5:21.0,,M. Bagley makes 2-pt jump shot from 7 ft (assist by D. Fox),31,48
2,5:21.0,M. Bridges enters the game for D. Bender,,31,48
2,5:21.0,,H. Barnes enters the game for M. Bagley,31,48
2,5:21.0,,B. Hield enters the game for B. Bogdanović,31,48
2,5:01.0,D. Ayton misses 2-pt layup from 4 ft (block by W. Cauley-Stein),,31,48
2,5:00.0,,Defensive rebound by Team,31,48
2,4:50.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),31,50
2,4:34.0,D. Ayton makes 2-pt layup from 2 ft (assist by T. Johnson),,33,50
2,4:22.0,,D. Fox misses 2-pt jump shot from 17 ft,33,50
2,4:19.0,Defensive rebound by D. Ayton,,33,50
