QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
2,3:52.0,,Defensive rebound by K. Leonard,47,55
2,3:39.0,,K. Leonard misses 2-pt layup from 3 ft,47,55
2,3:37.0,Defensive rebound by D. Jordan,,47,55
2,3:33.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),,50,55
2,3:24.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by K. Lowry),50,58
2,3:09.0,Turnover by L. Dončić (out of bounds lost ball),,50,58
2,3:09.0,H. Barnes enters the game for D. Finney-Smith,,50,58
2,3:09.0,W. Matthews enters the game for M. Kleber,,50,58
2,3:09.0,,N. Powell enters the game for K. Leonard,50,58
2,2:56.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,50,60
2,2:35.0,L. Dončić makes 3-pt jump shot from 23 ft (assist by J. Brunson),,53,60
2,2:27.0,,K. Lowry makes 3-pt jump shot from 29 ft,53,63
2,2:03.0,L. Dončić misses 2-pt jump shot from 14 ft,,53,63
2,1:59.0,,Defensive rebound by K. Lowry,53,63
2,1:55.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,53,63
2,1:52.0,Defensive rebound by J. Brunson,,53,63
2,1:34.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Jordan),,55,63
2,1:17.0,,J. Valančiūnas misses 2-pt dunk from 2 ft (block by H. Barnes),55,63
2,1:13.0,,Offensive rebound by J. Valančiūnas,55,63
2,1:12.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,55,65
2,0:57.0,Shooting foul by J. Valančiūnas (drawn by D. Jordan),,55,65
2,0:57.0,D. Jordan makes free throw 1 of 2,,56,65
2,0:57.0,D. Finney-Smith enters the game for L. Dončić,,56,65
2,0:57.0,,S. Ibaka enters the game for P. Siakam,56,65
2,0:57.0,,K. Leonard enters the game for J. Valančiūnas,56,65
2,0:57.0,D. Jordan makes free throw 2 of 2,,57,65
2,0:49.0,,Shooting foul by D. Finney-Smith (drawn by K. Leonard),57,65
2,0:49.0,,K. Leonard makes free throw 1 of 2,57,66
2,0:49.0,,K. Leonard makes free throw 2 of 2,57,67
2,0:32.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,57,67
2,0:29.0,,Defensive rebound by K. Leonard,57,67
2,0:05.0,,K. Lowry makes 2-pt jump shot from 2 ft (assist by K. Leonard),57,69
2,0:00.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by J. Brunson),,60,69
3,11:44.0,J. Brunson misses 3-pt jump shot from 27 ft,,60,69
3,11:40.0,,Defensive rebound by K. Leonard,60,69
3,11:24.0,,K. Leonard misses 3-pt jump shot from 25 ft,60,69
3,11:22.0,Defensive rebound by D. Jordan,,60,69
3,11:08.0,H. Barnes misses 2-pt jump shot from 8 ft,,60,69
3,11:06.0,,Defensive rebound by J. Valančiūnas,60,69
3,11:01.0,,D. Green makes 3-pt jump shot from 26 ft,60,72
3,10:42.0,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Jordan),,62,72
3,10:23.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,62,72
3,10:21.0,Defensive rebound by J. Brunson,,62,72
3,10:15.0,J. Brunson misses 2-pt jump shot from 6 ft,,62,72
3,10:09.0,Offensive rebound by D. Jordan,,62,72
3,10:09.0,D. Jordan misses 2-pt layup from 1 ft,,62,72
3,10:08.0,,Defensive rebound by K. Lowry,62,72
3,10:05.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by K. Lowry),62,74
3,9:38.0,Personal foul by D. Green (drawn by H. Barnes),,62,74
3,9:26.0,H. Barnes misses 2-pt jump shot from 17 ft,,62,74
3,9:24.0,,Defensive rebound by P. Siakam,62,74
3,9:10.0,,K. Lowry makes 2-pt jump shot from 21 ft,62,76
3,8:59.0,L. Dončić makes 2-pt hook shot from 3 ft,,64,76
3,8:51.0,,K. Lowry makes 2-pt layup from 1 ft,64,78
3,8:37.0,W. Matthews misses 3-pt jump shot from 26 ft,,64,78
3,8:34.0,,Defensive rebound by D. Green,64,78
3,8:29.0,,P. Siakam misses 2-pt jump shot from 5 ft,64,78
3,8:28.0,Defensive rebound by H. Barnes,,64,78
3,8:19.0,Turnover by W. Matthews (out of bounds lost ball),,64,78
3,8:08.0,,K. Lowry makes 3-pt jump shot from 28 ft,64,81
3,8:07.0,Dallas full timeout,,64,81
3,7:54.0,J. Brunson makes 2-pt layup from 1 ft (assist by H. Barnes),,66,81
3,7:38.0,Violation by Team (kicked ball),,66,81
3,7:33.0,,Shooting foul by W. Matthews (drawn by K. Leonard),66,81
3,7:33.0,,K. Leonard makes free throw 1 of 2,66,82
3,7:33.0,,K. Leonard makes free throw 2 of 2,66,83
3,7:17.0,J. Brunson makes 3-pt jump shot from 27 ft (assist by L. Dončić),,69,83
