QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
1,7:27.0,Defensive rebound by J. Grant,,7,4
1,7:20.0,D. Schröder misses 3-pt jump shot from 28 ft,,7,4
1,7:18.0,,Defensive rebound by R. Hood,7,4
1,7:11.0,,C. Sexton makes 3-pt jump shot from 24 ft (assist by R. Hood),7,7
1,6:59.0,D. Schröder makes 2-pt layup from 2 ft,,9,7
1,6:33.0,,T. Thompson misses 2-pt hook shot from 11 ft,9,7
1,6:31.0,Defensive rebound by J. Grant,,9,7
1,6:20.0,J. Grant makes 3-pt jump shot from 24 ft (assist by T. Ferguson),,12,7
1,6:09.0,,Cleveland full timeout,12,7
1,6:09.0,,L. Nance enters the game for C. Osman,12,7
1,5:59.0,,J. Smith misses 2-pt jump shot from 19 ft,12,7
1,5:55.0,Defensive rebound by T. Ferguson,,12,7
1,5:47.0,D. Schröder misses 2-pt layup from 2 ft (block by C. Sexton),,12,7
1,5:45.0,,Defensive rebound by T. Thompson,12,7
1,5:37.0,,L. Nance misses 2-pt layup from 1 ft (block by D. Schröder),12,7
1,5:37.0,Defensive rebound by D. Schröder,,12,7
1,5:37.0,Turnover by D. Schröder (step out of bounds),,12,7
1,5:37.0,,Away from play foul by T. Ferguson (drawn by R. Hood),12,7
1,5:37.0,,R. Hood makes free throw 1 of 1,12,8
1,5:31.0,,T. Thompson makes 2-pt hook shot from 1 ft (assist by R. Hood),12,10
1,5:13.0,P. George makes 2-pt jump shot from 15 ft,,14,10
1,5:03.0,,C. Sexton makes 2-pt layup from 1 ft,14,12
1,4:45.0,J. Grant misses 2-pt jump shot from 12 ft,,14,12
1,4:42.0,,Defensive rebound by T. Thompson,14,12
1,4:35.0,,Turnover by J. Smith (bad pass; steal by P. George),14,12
1,4:31.0,D. Schröder makes 2-pt jump shot from 14 ft,,16,12
1,4:19.0,,C. Sexton misses 2-pt jump shot from 22 ft,16,12
1,4:16.0,Defensive rebound by J. Grant,,16,12
1,4:11.0,Personal foul by L. Nance (drawn by S. Adams),,16,12
1,4:11.0,Oklahoma City full timeout,,16,12
1,4:11.0,Á. Abrines enters the game for T. Ferguson,,16,12
1,4:11.0,P. Patterson enters the game for J. Grant,,16,12
1,4:11.0,,J. Clarkson enters the game for J. Smith,16,12
1,4:06.0,Personal foul by R. Hood (drawn by S. Adams),,16,12
1,3:58.0,P. George misses 2-pt layup from 3 ft,,16,12
1,3:53.0,Offensive rebound by S. Adams,,16,12
1,3:52.0,S. Adams misses 2-pt layup at rim,,16,12
1,3:51.0,,Defensive rebound by R. Hood,16,12
1,3:34.0,,J. Clarkson misses 3-pt jump shot from 26 ft,16,12
1,3:32.0,Defensive rebound by P. Patterson,,16,12
1,3:23.0,Á. Abrines misses 3-pt jump shot from 23 ft,,16,12
1,3:16.0,Offensive rebound by S. Adams,,16,12
1,3:16.0,S. Adams makes 2-pt layup at rim,,18,12
1,2:57.0,,J. Clarkson makes 3-pt jump shot from 25 ft,18,15
1,2:36.0,S. Adams misses 2-pt jump shot from 8 ft,,18,15
1,2:34.0,,Defensive rebound by L. Nance,18,15
1,2:25.0,,L. Nance misses 2-pt jump shot from 19 ft,18,15
1,2:21.0,Defensive rebound by D. Schröder,,18,15
1,2:14.0,P. Patterson misses 3-pt jump shot from 25 ft,,18,15
1,2:13.0,Offensive rebound by Team,,18,15
1,2:13.0,,Loose ball foul by T. Thompson (drawn by S. Adams),18,15
1,2:13.0,R. Felton enters the game for S. Adams,,18,15
1,2:13.0,N. Noel enters the game for D. Schröder,,18,15
1,2:13.0,,K. Korver enters the game for R. Hood,18,15
1,2:13.0,,A. Žižić enters the game for T. Thompson,18,15
1,2:04.0,P. George makes 2-pt layup at rim,,20,15
1,1:51.0,,Turnover by K. Korver (bad pass; steal by R. Felton),20,15
1,1:44.0,Á. Abrines misses 3-pt jump shot from 23 ft,,20,15
1,1:41.0,,Defensive rebound by L. Nance,20,15
1,1:26.0,,C. Sexton makes 2-pt layup at rim,20,17
1,1:01.0,P. George misses 2-pt layup from 1 ft (block by L. Nance),,20,17
1,1:01.0,,Defensive rebound by Team,20,17
1,0:42.0,,Turnover by A. Žižić (lost ball; steal by N. Noel),20,17
1,0:38.0,Offensive foul by P. George (drawn by K. Korver),,20,17
1,0:38.0,Turnover by P. George (offensive foul),,20,17
1,0:33.0,,Personal foul by P. George (drawn by J. Clarkson),20,17
1,0:28.0,,J. Clarkson misses 3-pt jump shot from 28 ft,20,17
1,0:26.0,Defensive rebound by Team,,20,17
1,0:26.0,,J. Smith enters the game for C. Sexton,20,17
1,0:06.0,Á. Abrines makes 3-pt jump shot from 30 ft (assist by R. Felton),,23,17
1,0:01.0,,J. Smith misses 3-pt jump shot from 37 ft,23,17
1,0:00.0,,Offensive rebound by A. Žižić,23,17
1,0:00.0,,Shooting foul by N. Noel (drawn by A. Žižić),23,17
1,0:00.0,,Technical foul by B. Donovan,23,17
1,0:00.0,,K. Korver makes technical free throw,23,18
1,0:00.0,,A. Žižić makes free throw 1 of 2,23,19
1,0:00.0,,A. Žižić makes free throw 2 of 2,23,20
2,11:46.0,,K. Korver misses 3-pt jump shot from 25 ft,23,20
2,11:44.0,Defensive rebound by R. Felton,,23,20
2,11:35.0,R. Felton misses 3-pt jump shot from 24 ft,,23,20
2,11:32.0,,Defensive rebound by L. Nance,23,20
2,11:15.0,,A. Žižić misses 2-pt hook shot from 7 ft,23,20
2,11:14.0,,Offensive rebound by L. Nance,23,20
2,11:13.0,,L. Nance makes 2-pt layup from 1 ft,23,22
2,11:04.0,Turnover by R. Felton (step out of bounds),,23,22
2,10:59.0,,Personal foul by P. Patterson (drawn by L. Nance),23,22
2,10:51.0,,J. Clarkson misses 2-pt layup from 5 ft (block by R. Felton),23,22
2,10:51.0,Defensive rebound by Team,,23,22
2,10:37.0,H. Diallo misses 2-pt jump shot from 9 ft,,23,22
2,10:34.0,,Defensive rebound by A. Žižić,23,22
2,10:29.0,,Turnover by J. Smith (bad pass; steal by R. Felton),23,22
2,10:25.0,H. Diallo makes 2-pt dunk from 1 ft (assist by R. Felton),,25,22
2,10:08.0,,Turnover by J. Smith (bad pass; steal by N. Noel),25,22
2,10:04.0,Á. Abrines misses 3-pt jump shot from 25 ft,,25,22
2,10:00.0,,Defensive rebound by J. Clarkson,25,22
2,9:49.0,,Personal foul by H. Diallo (drawn by L. Nance),25,22
2,9:49.0,,C. Sexton enters the game for J. Smith,25,22
2,9:40.0,,A. Žižić makes 2-pt layup from 2 ft (assist by J. Clarkson),25,24
2,9:19.0,Á. Abrines misses 3-pt jump shot from 26 ft,,25,24
2,9:16.0,,Defensive rebound by J. Clarkson,25,24
2,9:07.0,,J. Clarkson misses 2-pt jump shot from 15 ft (block by N. Noel),25,24
2,9:04.0,Defensive rebound by P. Patterson,,25,24
2,9:03.0,H. Diallo makes 2-pt layup from 1 ft (assist by P. Patterson),,27,24
2,8:56.0,,Turnover by L. Nance (lost ball; steal by Á. Abrines),27,24
2,8:52.0,Offensive foul by H. Diallo (drawn by K. Korver),,27,24
2,8:52.0,Turnover by H. Diallo (offensive foul),,27,24
2,8:52.0,,Cleveland full timeout,27,24
2,8:42.0,,Turnover by C. Sexton (lost ball; steal by H. Diallo),27,24
2,8:39.0,Shooting foul by J. Clarkson (drawn by H. Diallo),,27,24
2,8:39.0,H. Diallo makes free throw 1 of 2,,28,24
2,8:39.0,H. Diallo makes free throw 2 of 2,,29,24
2,8:28.0,,K. Korver misses 2-pt layup from 2 ft (block by N. Noel),29,24
2,8:28.0,,Offensive rebound by Team,29,24
2,8:23.0,,J. Clarkson misses 2-pt jump shot from 12 ft,29,24
2,8:23.0,,Offensive rebound by Team,29,24
2,8:23.0,Loose ball foul by N. Noel (drawn by L. Nance),,29,24
2,8:23.0,,R. Hood enters the game for K. Korver,29,24
2,8:11.0,,L. Nance makes 2-pt dunk from 1 ft (assist by R. Hood),29,26
2,7:58.0,P. Patterson misses 3-pt jump shot from 26 ft,,29,26
2,7:55.0,,Defensive rebound by A. Žižić,29,26
2,7:46.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by J. Clarkson),29,29
2,7:24.0,H. Diallo makes 2-pt jump shot from 1 ft (assist by N. Noel),,31,29
2,7:13.0,,Offensive foul by A. Žižić (drawn by N. Noel),31,29
2,7:13.0,,Turnover by A. Žižić (offensive foul),31,29
2,7:13.0,S. Adams enters the game for R. Felton,,31,29
2,7:13.0,J. Grant enters the game for N. Noel,,31,29
2,7:13.0,D. Schröder enters the game for P. Patterson,,31,29
2,7:13.0,,T. Thompson enters the game for A. Žižić,31,29
2,7:05.0,H. Diallo misses 2-pt jump shot from 16 ft,,31,29
2,7:01.0,,Defensive rebound by J. Clarkson,31,29
2,6:59.0,,J. Clarkson makes 2-pt layup from 1 ft,31,31
2,6:59.0,,Shooting foul by H. Diallo (drawn by J. Clarkson),31,31
2,6:59.0,P. George enters the game for H. Diallo,,31,31
2,6:59.0,,D. Nwaba enters the game for L. Nance,31,31
2,6:59.0,,J. Clarkson misses free throw 1 of 1,31,31
2,6:59.0,,Offensive rebound by J. Clarkson,31,31
2,6:52.0,,T. Thompson misses 2-pt jump shot from 1 ft,31,31
2,6:50.0,Defensive rebound by P. George,,31,31
2,6:42.0,P. George makes 2-pt jump shot from 11 ft,,33,31
2,6:18.0,,R. Hood misses 3-pt jump shot from 25 ft,33,31
2,6:16.0,Defensive rebound by Team,,33,31
2,6:16.0,T. Ferguson enters the game for Á. Abrines,,33,31
2,6:05.0,P. George misses 3-pt jump shot from 25 ft,,33,31
2,5:59.0,Offensive rebound by S. Adams,,33,31
2,5:47.0,D. Schröder misses 2-pt jump shot from 20 ft,,33,31
2,5:44.0,,Defensive rebound by C. Sexton,33,31
2,5:40.0,,C. Sexton makes 2-pt jump shot from 20 ft,33,33
2,5:30.0,Turnover by D. Schröder (lost ball; steal by D. Nwaba),,33,33
2,5:29.0,,Personal foul by D. Schröder (drawn by D. Nwaba),33,33
2,5:29.0,,D. Nwaba makes free throw 1 of 2,33,34
2,5:29.0,,D. Nwaba misses free throw 2 of 2,33,34
2,5:26.0,Defensive rebound by J. Grant,,33,34
2,5:18.0,P. George misses 2-pt jump shot from 15 ft,,33,34
2,5:11.0,,Defensive rebound by T. Thompson,33,34
2,5:01.0,,Turnover by T. Thompson (traveling),33,34
2,5:01.0,Oklahoma City full timeout,,33,34
2,4:46.0,J. Grant makes 2-pt jump shot from 6 ft,,35,34
2,4:27.0,,J. Clarkson misses 3-pt jump shot from 26 ft,35,34
2,4:24.0,Defensive rebound by P. George,,35,34
2,4:11.0,D. Schröder makes 2-pt layup from 1 ft,,37,34
2,3:49.0,,J. Clarkson makes 2-pt jump shot at rim,37,36
2,3:37.0,D. Schröder misses 3-pt jump shot from 26 ft,,37,36
2,3:35.0,Offensive rebound by P. George,,37,36
2,3:33.0,T. Ferguson misses 3-pt jump shot from 26 ft,,37,36
2,3:29.0,,Defensive rebound by T. Thompson,37,36
2,3:23.0,,J. Clarkson misses 2-pt layup from 2 ft,37,36
2,3:21.0,Defensive rebound by P. George,,37,36
2,3:11.0,T. Ferguson makes 2-pt dunk from 1 ft (assist by S. Adams),,39,36
2,2:52.0,,Shooting foul by J. Grant (drawn by D. Nwaba),39,36
2,2:52.0,,D. Nwaba makes free throw 1 of 2,39,37
2,2:52.0,Á. Abrines enters the game for T. Ferguson,,39,37
2,2:52.0,,J. Smith enters the game for R. Hood,39,37
2,2:52.0,,D. Nwaba makes free throw 2 of 2,39,38
2,2:41.0,J. Grant misses 2-pt layup from 7 ft (block by J. Smith),,39,38
2,2:38.0,,Defensive rebound by J. Clarkson,39,38
2,2:33.0,,J. Smith makes 2-pt jump shot from 11 ft (assist by J. Clarkson),39,40
2,2:18.0,P. George makes 2-pt layup from 2 ft,,41,40
2,2:03.0,,C. Sexton misses 2-pt layup from 2 ft (block by S. Adams),41,40
2,2:00.0,Defensive rebound by S. Adams,,41,40
2,1:54.0,Á. Abrines misses 2-pt layup from 1 ft,,41,40
2,1:51.0,,Defensive rebound by T. Thompson,41,40
2,1:46.0,,J. Smith misses 3-pt jump shot from 26 ft,41,40
2,1:44.0,Defensive rebound by P. George,,41,40
2,1:29.0,Shooting foul by C. Sexton (drawn by P. George),,41,40
2,1:29.0,P. George makes free throw 1 of 2,,42,40
2,1:29.0,P. George misses free throw 2 of 2,,42,40
2,1:25.0,Offensive rebound by S. Adams,,42,40
2,1:22.0,S. Adams makes 2-pt layup from 2 ft,,44,40
2,0:58.0,,J. Smith misses 2-pt jump shot from 10 ft,44,40
2,0:57.0,Defensive rebound by Team,,44,40
2,0:44.0,D. Schröder misses 2-pt layup from 1 ft,,44,40
2,0:42.0,,Defensive rebound by T. Thompson,44,40
2,0:31.0,,C. Sexton misses 2-pt layup from 1 ft (block by S. Adams),44,40
2,0:27.0,,Offensive rebound by T. Thompson,44,40
2,0:27.0,,T. Thompson misses 2-pt layup from 1 ft,44,40
2,0:26.0,,Offensive rebound by T. Thompson,44,40
2,0:24.0,,T. Thompson misses 2-pt layup from 3 ft,44,40
2,0:21.0,Defensive rebound by D. Schröder,,44,40
2,0:08.0,Personal foul by C. Sexton (drawn by D. Schröder),,44,40
2,0:08.0,D. Schröder misses free throw 1 of 2,,44,40
2,0:08.0,Offensive rebound by Team,,44,40
2,0:08.0,T. Ferguson enters the game for Á. Abrines,,44,40
2,0:08.0,D. Schröder makes free throw 2 of 2,,45,40
2,0:02.0,,Offensive foul by C. Sexton (drawn by D. Schröder),45,40
2,0:02.0,,Turnover by C. Sexton (offensive foul),45,40
2,0:02.0,Á. Abrines enters the game for T. Ferguson,,45,40
2,0:02.0,P. Patterson enters the game for J. Grant,,45,40
2,0:02.0,,R. Hood enters the game for C. Sexton,45,40
2,0:00.0,P. George makes 3-pt jump shot from 28 ft (assist by S. Adams),,48,40
3,11:44.0,,R. Hood misses 2-pt jump shot from 15 ft,48,40
3,11:42.0,Defensive rebound by D. Schröder,,48,40
3,11:21.0,J. Grant makes 3-pt jump shot from 24 ft (assist by T. Ferguson),,51,40
3,10:51.0,,L. Nance misses 2-pt jump shot from 14 ft,51,40
3,10:50.0,,Offensive rebound by Team,51,40
3,10:46.0,,J. Smith misses 3-pt jump shot from 26 ft,51,40
3,10:43.0,Defensive rebound by J. Grant,,51,40
3,10:40.0,D. Schröder makes 2-pt layup from 2 ft,,53,40
3,10:40.0,Shooting foul by C. Sexton (drawn by D. Schröder),,53,40
3,10:40.0,D. Schröder makes free throw 1 of 1,,54,40
3,10:28.0,,C. Sexton misses 3-pt jump shot from 27 ft,54,40
3,10:25.0,Defensive rebound by S. Adams,,54,40
3,10:19.0,D. Schröder makes 2-pt jump shot from 17 ft,,56,40
3,10:19.0,,Cleveland full timeout,56,40
3,9:57.0,,R. Hood makes 2-pt jump shot from 21 ft,56,42
3,9:38.0,P. George misses 2-pt jump shot from 15 ft,,56,42
3,9:36.0,,Defensive rebound by L. Nance,56,42
3,9:25.0,,T. Thompson makes 2-pt layup from 3 ft (assist by R. Hood),56,44
3,9:15.0,P. George misses 2-pt jump shot from 16 ft,,56,44
3,9:11.0,,Defensive rebound by R. Hood,56,44
3,9:08.0,,Personal foul by T. Ferguson (drawn by R. Hood),56,44
3,9:02.0,,Shooting foul by T. Ferguson (drawn by R. Hood),56,44
3,9:02.0,,R. Hood makes free throw 1 of 2,56,45
3,9:02.0,,R. Hood makes free throw 2 of 2,56,46
3,8:52.0,Personal foul by J. Smith (drawn by J. Grant),,56,46
3,8:42.0,P. George makes 2-pt layup from 1 ft,,58,46
3,8:18.0,,L. Nance makes 2-pt dunk from 2 ft (assist by J. Smith),58,48
3,8:10.0,D. Schröder makes 2-pt layup from 2 ft,,60,48
3,8:10.0,Shooting foul by J. Smith (drawn by D. Schröder),,60,48
3,8:10.0,D. Schröder makes free throw 1 of 1,,61,48
3,7:57.0,,Turnover by R. Hood (lost ball; steal by D. Schröder),61,48
3,7:42.0,J. Grant misses 3-pt jump shot from 24 ft,,61,48
3,7:40.0,,Defensive rebound by R. Hood,61,48
3,7:18.0,,J. Smith makes 2-pt jump shot from 9 ft,61,50
3,6:51.0,D. Schröder misses 2-pt jump shot from 11 ft,,61,50
3,6:44.0,,Defensive rebound by T. Thompson,61,50
3,6:33.0,,C. Sexton makes 2-pt layup from 1 ft,61,52
3,6:17.0,Shooting foul by R. Hood (drawn by T. Ferguson),,61,52
3,6:17.0,T. Ferguson makes free throw 1 of 2,,62,52
3,6:17.0,T. Ferguson makes free throw 2 of 2,,63,52
3,6:06.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by C. Sexton),63,55
3,6:02.0,Oklahoma City full timeout,,63,55
3,5:55.0,Personal foul by J. Smith (drawn by P. George),,63,55
3,5:55.0,P. George makes free throw 1 of 2,,64,55
3,5:55.0,P. George makes free throw 2 of 2,,65,55
3,5:38.0,,T. Thompson makes 2-pt layup from 1 ft (assist by J. Smith),65,57
3,5:14.0,Offensive foul by J. Grant (drawn by T. Thompson),,65,57
3,5:14.0,Turnover by J. Grant (offensive foul),,65,57
3,5:14.0,Á. Abrines enters the game for T. Ferguson,,65,57
3,4:59.0,,J. Smith misses 2-pt jump shot from 18 ft,65,57
3,4:57.0,,Offensive rebound by T. Thompson,65,57
3,4:51.0,,R. Hood misses 2-pt jump shot from 21 ft,65,57
3,4:48.0,Defensive rebound by J. Grant,,65,57
3,4:44.0,Offensive foul by S. Adams (drawn by C. Sexton),,65,57
3,4:44.0,Turnover by S. Adams (offensive foul),,65,57
3,4:44.0,P. Patterson enters the game for J. Grant,,65,57
3,4:44.0,,J. Clarkson enters the game for R. Hood,65,57
3,4:28.0,,J. Smith makes 3-pt jump shot from 28 ft (assist by L. Nance),65,60
3,4:07.0,D. Schröder makes 2-pt jump shot from 15 ft,,67,60
3,3:57.0,,Personal foul by D. Schröder (drawn by C. Sexton),67,60
3,3:43.0,,J. Smith misses 3-pt jump shot from 23 ft,67,60
3,3:41.0,Defensive rebound by S. Adams,,67,60
3,3:30.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by P. George),,70,60
3,3:21.0,,Offensive foul by L. Nance (drawn by P. Patterson),70,60
3,3:21.0,,Turnover by L. Nance (offensive foul),70,60
3,3:21.0,,K. Korver enters the game for L. Nance,70,60
3,3:21.0,,D. Nwaba enters the game for J. Smith,70,60
3,3:15.0,Personal foul by K. Korver (drawn by P. Patterson),,70,60
3,3:15.0,P. Patterson misses free throw 1 of 2,,70,60
3,3:15.0,Offensive rebound by Team,,70,60
3,3:15.0,P. Patterson misses free throw 2 of 2,,70,60
3,3:13.0,,Defensive rebound by D. Nwaba,70,60
3,2:53.0,,Offensive foul by J. Clarkson (drawn by D. Schröder),70,60
3,2:53.0,,Turnover by J. Clarkson (offensive foul),70,60
3,2:53.0,,A. Žižić enters the game for T. Thompson,70,60
3,2:41.0,D. Schröder misses 2-pt jump shot from 8 ft,,70,60
3,2:41.0,Offensive rebound by Team,,70,60
3,2:41.0,,Loose ball foul by A. Žižić (drawn by S. Adams),70,60
3,2:41.0,S. Adams misses free throw 1 of 2,,70,60
3,2:41.0,Offensive rebound by Team,,70,60
3,2:41.0,R. Felton enters the game for D. Schröder,,70,60
3,2:41.0,S. Adams makes free throw 2 of 2,,71,60
3,2:27.0,,C. Sexton misses 2-pt jump shot from 20 ft,71,60
3,2:25.0,Defensive rebound by P. George,,71,60
3,2:16.0,P. George misses 2-pt jump shot from 13 ft,,71,60
3,2:14.0,Offensive rebound by Team,,71,60
3,2:14.0,N. Noel enters the game for S. Adams,,71,60
3,2:14.0,Oklahoma City full timeout,,71,60
3,2:11.0,Á. Abrines misses 3-pt jump shot from 23 ft,,71,60
3,2:08.0,,Defensive rebound by C. Sexton,71,60
3,2:05.0,,C. Sexton makes 2-pt layup from 1 ft,71,62
3,1:48.0,R. Felton misses 2-pt jump shot from 9 ft,,71,62
3,1:46.0,,Defensive rebound by A. Žižić,71,62
3,1:38.0,,D. Nwaba misses 2-pt layup from 3 ft,71,62
3,1:36.0,,Offensive rebound by A. Žižić,71,62
3,1:36.0,,A. Žižić misses 2-pt layup from 2 ft (block by N. Noel),71,62
3,1:28.0,,Offensive rebound by A. Žižić,71,62
3,1:28.0,,A. Žižić makes 2-pt layup from 1 ft,71,64
3,1:15.0,Turnover by P. George (bad pass),,71,64
3,1:04.0,,Personal foul by P. George (drawn by J. Clarkson),71,64
3,1:04.0,H. Diallo enters the game for P. George,,71,64
3,0:52.0,,J. Clarkson misses 2-pt jump shot from 8 ft (block by N. Noel),71,64
3,0:50.0,,Offensive rebound by J. Clarkson,71,64
3,0:50.0,,Turnover by Team (shot clock),71,64
3,0:50.0,,J. Smith enters the game for C. Sexton,71,64
3,0:37.0,R. Felton misses 3-pt jump shot from 26 ft,,71,64
3,0:36.0,,Defensive rebound by Team,71,64
3,0:28.0,,K. Korver misses 3-pt jump shot from 26 ft,71,64
3,0:25.0,Defensive rebound by H. Diallo,,71,64
3,0:04.0,N. Noel misses 2-pt jump shot from 10 ft,,71,64
3,0:01.0,,Defensive rebound by K. Korver,71,64
3,0:00.0,,Turnover by K. Korver (bad pass; steal by R. Felton),71,64
3,0:00.0,P. Patterson misses 2-pt layup from 1 ft,,71,64
3,0:00.0,Offensive rebound by Team,,71,64
4,11:46.0,Personal foul by K. Korver (drawn by H. Diallo),,71,64
4,11:32.0,Á. Abrines makes 3-pt jump shot from 27 ft,,74,64
4,11:17.0,,Offensive foul by A. Žižić (drawn by N. Noel),74,64
4,11:17.0,,Turnover by A. Žižić (offensive foul),74,64
4,11:08.0,R. Felton makes 2-pt jump shot from 19 ft,,76,64
4,10:45.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by J. Clarkson),76,67
4,10:33.0,Á. Abrines misses 2-pt jump shot from 3 ft (block by D. Nwaba),,76,67
4,10:29.0,,Defensive rebound by A. Žižić,76,67
4,10:26.0,,J. Clarkson misses 3-pt jump shot from 26 ft,76,67
4,10:22.0,Defensive rebound by P. Patterson,,76,67
4,10:11.0,P. Patterson misses 2-pt jump shot from 15 ft,,76,67
4,10:11.0,,Defensive rebound by A. Žižić,76,67
4,10:11.0,,Personal foul by H. Diallo (drawn by A. Žižić),76,67
4,9:45.0,,J. Smith misses 3-pt jump shot from 28 ft,76,67
4,9:43.0,Defensive rebound by P. Patterson,,76,67
4,9:38.0,Personal foul by K. Korver (drawn by R. Felton),,76,67
4,9:23.0,R. Felton makes 2-pt jump shot from 9 ft,,78,67
4,9:15.0,,Personal foul by N. Noel (drawn by J. Smith),78,67
4,9:15.0,,C. Sexton enters the game for D. Nwaba,78,67
4,9:10.0,,A. Žižić makes 2-pt dunk from 2 ft (assist by K. Korver),78,69
4,8:55.0,Turnover by N. Noel (bad pass; steal by J. Clarkson),,78,69
4,8:51.0,,Shooting foul by R. Felton (drawn by A. Žižić),78,69
4,8:51.0,,A. Žižić makes free throw 1 of 2,78,70
4,8:51.0,T. Ferguson enters the game for Á. Abrines,,78,70
4,8:51.0,P. George enters the game for P. Patterson,,78,70
4,8:51.0,,A. Žižić makes free throw 2 of 2,78,71
4,8:35.0,R. Felton misses 2-pt jump shot from 15 ft,,78,71
4,8:32.0,,Defensive rebound by A. Žižić,78,71
4,8:13.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Clarkson),78,74
4,7:50.0,H. Diallo misses 3-pt jump shot from 24 ft,,78,74
4,7:48.0,,Defensive rebound by J. Clarkson,78,74
4,7:42.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by J. Clarkson),78,77
4,7:42.0,Oklahoma City full timeout,,78,77
4,7:42.0,S. Adams enters the game for R. Felton,,78,77
4,7:42.0,D. Schröder enters the game for N. Noel,,78,77
4,7:25.0,Turnover by T. Ferguson (bad pass; steal by J. Smith),,78,77
4,7:08.0,,J. Clarkson misses 3-pt jump shot from 25 ft,78,77
4,7:07.0,,Offensive rebound by J. Clarkson,78,77
4,7:02.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Clarkson),78,80
4,6:43.0,P. George makes 2-pt layup from 1 ft,,80,80
4,6:18.0,,J. Clarkson makes 2-pt layup from 1 ft,80,82
4,6:03.0,D. Schröder makes 2-pt jump shot from 12 ft,,82,82
4,5:42.0,,J. Smith misses 3-pt jump shot from 27 ft,82,82
4,5:38.0,Defensive rebound by H. Diallo,,82,82
4,5:30.0,H. Diallo misses 3-pt jump shot from 23 ft,,82,82
4,5:28.0,,Defensive rebound by K. Korver,82,82
4,5:20.0,,Turnover by J. Clarkson (bad pass; steal by S. Adams),82,82
4,5:09.0,Shooting foul by J. Clarkson (drawn by D. Schröder),,82,82
4,5:09.0,D. Schröder makes free throw 1 of 2,,83,82
4,5:09.0,Á. Abrines enters the game for H. Diallo,,83,82
4,5:09.0,J. Grant enters the game for T. Ferguson,,83,82
4,5:09.0,,T. Thompson enters the game for A. Žižić,83,82
4,5:09.0,D. Schröder makes free throw 2 of 2,,84,82
4,5:09.0,,Cleveland full timeout,84,82
4,4:49.0,,J. Clarkson makes 2-pt layup from 1 ft,84,84
4,4:35.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),,87,84
4,4:20.0,,C. Sexton misses 2-pt layup from 2 ft,87,84
