QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
1,0:06.0,O. Casspi makes 3-pt jump shot from 25 ft (assist by M. Conley),,17,20
1,0:00.0,,A. Wiggins misses 3-pt jump shot from 29 ft,17,20
1,0:00.0,,Offensive rebound by Team,17,20
2,11:51.0,,Violation by Team (kicked ball),17,20
2,11:51.0,,J. Teague enters the game for T. Jones,17,20
2,11:36.0,M. Conley misses 2-pt jump shot from 19 ft,,17,20
2,11:31.0,,Defensive rebound by J. Teague,17,20
2,11:26.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Covington),17,23
2,11:06.0,O. Casspi misses 3-pt jump shot from 26 ft (block by G. Dieng),,17,23
2,11:02.0,Offensive rebound by I. Rabb,,17,23
2,11:00.0,M. Brooks makes 3-pt jump shot from 25 ft (assist by S. Mack),,20,23
2,10:47.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by J. Teague),20,25
2,10:41.0,Personal foul by G. Dieng (drawn by I. Rabb),,20,25
2,10:41.0,J. Green enters the game for I. Rabb,,20,25
2,10:30.0,O. Casspi misses 2-pt layup from 6 ft (block by R. Covington),,20,25
2,10:28.0,,Defensive rebound by D. Rose,20,25
2,10:26.0,,Personal foul by J. Green (drawn by D. Šarić),20,25
2,10:18.0,,D. Šarić misses 2-pt layup from 2 ft,20,25
2,10:16.0,Defensive rebound by J. Green,,20,25
2,10:03.0,M. Brooks makes 2-pt jump shot from 7 ft,,22,25
2,9:54.0,,D. Rose makes 2-pt layup from 1 ft,22,27
2,9:42.0,J. Green makes 2-pt jump shot from 17 ft (assist by M. Conley),,24,27
2,9:41.0,Away from play foul by D. Šarić (drawn by O. Casspi),,24,27
2,9:41.0,O. Casspi misses free throw 1 of 1,,24,27
2,9:39.0,,Defensive rebound by J. Teague,24,27
2,9:31.0,,Turnover by J. Teague (bad pass; steal by O. Casspi),24,27
2,9:25.0,J. Green makes 2-pt layup from 1 ft (assist by M. Brooks),,26,27
2,9:17.0,,Turnover by D. Rose (lost ball; steal by J. Green),26,27
2,9:13.0,Shooting foul by D. Šarić (drawn by O. Casspi),,26,27
2,9:13.0,O. Casspi makes free throw 1 of 2,,27,27
2,9:13.0,O. Casspi makes free throw 2 of 2,,28,27
2,9:13.0,G. Temple enters the game for S. Mack,,28,27
2,8:56.0,,D. Rose makes 2-pt jump shot from 14 ft,28,29
2,8:36.0,M. Conley makes 3-pt jump shot from 25 ft,,31,29
2,8:24.0,,D. Šarić misses 3-pt jump shot from 25 ft,31,29
2,8:21.0,Defensive rebound by O. Casspi,,31,29
2,8:15.0,O. Casspi misses 2-pt jump shot from 5 ft,,31,29
2,8:12.0,,Defensive rebound by G. Dieng,31,29
2,7:59.0,,D. Rose misses 2-pt jump shot from 9 ft,31,29
2,7:57.0,Defensive rebound by J. Green,,31,29
2,7:56.0,Personal foul by G. Dieng (drawn by M. Conley),,31,29
2,7:56.0,M. Gasol enters the game for O. Casspi,,31,29
2,7:56.0,,K. Towns enters the game for G. Dieng,31,29
2,7:45.0,M. Gasol misses 2-pt jump shot from 10 ft,,31,29
2,7:42.0,,Defensive rebound by R. Covington,31,29
2,7:28.0,,D. Šarić misses 2-pt layup from 5 ft (block by J. Green),31,29
2,7:28.0,,Offensive rebound by Team,31,29
2,7:28.0,,Technical foul by D. Šarić,31,29
2,7:28.0,G. Temple misses technical free throw,,31,29
2,7:28.0,,Defensive rebound by Team,31,29
2,7:21.0,,R. Covington makes 2-pt dunk at rim (assist by D. Rose),31,31
2,7:02.0,Turnover by M. Brooks (lost ball; steal by R. Covington),,31,31
2,6:48.0,,D. Šarić misses 3-pt jump shot from 23 ft,31,31
2,6:46.0,,Offensive rebound by K. Towns,31,31
2,6:45.0,,Shooting foul by J. Green (drawn by K. Towns),31,31
2,6:45.0,,Minnesota full timeout,31,31
2,6:45.0,K. Anderson enters the game for J. Green,,31,31
2,6:45.0,,K. Towns makes free throw 1 of 2,31,32
2,6:45.0,,K. Towns makes free throw 2 of 2,31,33
2,6:23.0,G. Temple misses 2-pt jump shot from 21 ft,,31,33
2,6:19.0,,Defensive rebound by K. Towns,31,33
2,6:10.0,,J. Teague misses 3-pt jump shot from 25 ft,31,33
2,6:06.0,,Offensive rebound by K. Towns,31,33
2,6:05.0,,R. Covington misses 3-pt jump shot from 27 ft,31,33
2,6:02.0,Defensive rebound by M. Brooks,,31,33
2,5:55.0,M. Brooks misses 3-pt jump shot from 25 ft,,31,33
2,5:52.0,Offensive rebound by M. Gasol,,31,33
2,5:51.0,M. Conley misses 3-pt jump shot from 25 ft,,31,33
2,5:50.0,,Defensive rebound by Team,31,33
2,5:50.0,Memphis full timeout,,31,33
2,5:50.0,S. Mack enters the game for M. Brooks,,31,33
2,5:50.0,,T. Gibson enters the game for D. Šarić,31,33
2,5:31.0,,D. Rose makes 2-pt layup from 1 ft,31,35
2,5:13.0,S. Mack makes 3-pt jump shot from 23 ft (assist by K. Anderson),,34,35
2,4:48.0,,Shooting foul by K. Anderson (drawn by T. Gibson),34,35
2,4:48.0,,T. Gibson makes free throw 1 of 2,34,36
2,4:48.0,,A. Wiggins enters the game for D. Rose,34,36
2,4:48.0,,T. Gibson makes free throw 2 of 2,34,37
2,4:48.0,J. Green enters the game for K. Anderson,,34,37
2,4:24.0,S. Mack makes 2-pt layup from 1 ft (assist by M. Conley),,36,37
2,4:08.0,,J. Teague misses 3-pt jump shot from 25 ft,36,37
2,4:04.0,Defensive rebound by G. Temple,,36,37
2,3:56.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),,38,37
2,3:35.0,,Turnover by K. Towns (traveling),38,37
2,3:23.0,Personal foul by K. Towns (drawn by M. Gasol),,38,37
2,3:23.0,M. Gasol makes free throw 1 of 2,,39,37
2,3:23.0,M. Gasol makes free throw 2 of 2,,40,37
2,3:16.0,,Personal foul by G. Temple (drawn by K. Towns),40,37
2,3:08.0,,R. Covington misses 2-pt jump shot from 20 ft,40,37
2,3:04.0,Defensive rebound by M. Gasol,,40,37
2,3:00.0,Personal foul by T. Gibson (drawn by M. Gasol),,40,37
2,3:00.0,M. Gasol makes free throw 1 of 2,,41,37
2,3:00.0,M. Gasol misses free throw 2 of 2,,41,37
2,2:58.0,,Defensive rebound by K. Towns,41,37
2,2:51.0,,A. Wiggins misses 2-pt jump shot from 7 ft,41,37
2,2:48.0,,Offensive rebound by T. Gibson,41,37
2,2:46.0,,R. Covington misses 3-pt jump shot from 25 ft,41,37
2,2:44.0,,Offensive rebound by T. Gibson,41,37
2,2:44.0,,Shooting foul by G. Temple (drawn by T. Gibson),41,37
2,2:44.0,,T. Gibson misses free throw 1 of 2,41,37
2,2:44.0,,Offensive rebound by Team,41,37
2,2:44.0,,T. Gibson makes free throw 2 of 2,41,38
2,2:26.0,M. Gasol makes 2-pt jump shot from 15 ft,,43,38
2,2:12.0,,A. Wiggins makes 3-pt jump shot from 25 ft,43,41
2,1:52.0,M. Conley makes 2-pt layup from 3 ft,,45,41
2,1:40.0,,Shooting foul by M. Gasol (drawn by A. Wiggins),45,41
2,1:40.0,,A. Wiggins misses free throw 1 of 2,45,41
2,1:40.0,,Offensive rebound by Team,45,41
2,1:40.0,,A. Wiggins makes free throw 2 of 2,45,42
2,1:27.0,Turnover by M. Conley (out of bounds lost ball),,45,42
2,1:18.0,,J. Teague misses 2-pt layup from 4 ft (block by J. Green),45,42
2,1:16.0,Defensive rebound by M. Gasol,,45,42
2,1:08.0,M. Gasol misses 3-pt jump shot from 26 ft,,45,42
2,1:05.0,Offensive rebound by J. Green,,45,42
2,1:05.0,J. Green misses 2-pt layup from 1 ft,,45,42
2,1:04.0,Offensive rebound by J. Green,,45,42
2,1:04.0,J. Green misses 2-pt layup from 2 ft,,45,42
2,1:04.0,Offensive rebound by J. Green,,45,42
2,1:02.0,J. Green misses 2-pt layup from 2 ft (block by K. Towns),,45,42
2,1:02.0,Offensive rebound by J. Green,,45,42
2,0:58.0,J. Green misses 2-pt jump shot from 6 ft,,45,42
2,0:56.0,,Defensive rebound by K. Towns,45,42
2,0:51.0,,A. Wiggins misses 2-pt layup from 2 ft (block by M. Gasol),45,42
2,0:51.0,,Offensive rebound by Team,45,42
2,0:43.0,,Personal foul by S. Mack (drawn by R. Covington),45,42
2,0:43.0,,R. Covington makes free throw 1 of 2,45,43
2,0:43.0,,R. Covington misses free throw 2 of 2,45,43
2,0:41.0,Defensive rebound by J. Green,,45,43
2,0:31.0,J. Green makes 2-pt layup from 1 ft (assist by M. Gasol),,47,43
2,0:14.0,,A. Wiggins misses 3-pt jump shot from 25 ft,47,43
2,0:11.0,Defensive rebound by M. Gasol,,47,43
2,0:02.0,M. Conley misses 2-pt layup from 1 ft,,47,43
2,0:02.0,,Defensive rebound by J. Teague,47,43
3,11:47.0,M. Gasol makes 2-pt dunk from 1 ft (assist by K. Anderson),,49,43
3,11:36.0,,A. Wiggins makes 2-pt layup from 1 ft,49,45
3,11:19.0,J. Jackson makes 2-pt layup from 4 ft (assist by K. Anderson),,51,45
3,11:07.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),51,48
3,10:41.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by G. Temple),,54,48
3,10:15.0,,K. Towns makes 2-pt jump shot from 12 ft,54,50
3,9:58.0,K. Anderson misses 2-pt layup from 3 ft,,54,50
3,9:56.0,,Defensive rebound by K. Towns,54,50
3,9:52.0,,R. Covington misses 3-pt jump shot from 24 ft,54,50
3,9:47.0,Defensive rebound by M. Gasol,,54,50
3,9:35.0,Shooting foul by A. Wiggins (drawn by M. Conley),,54,50
3,9:35.0,M. Conley makes free throw 1 of 2,,55,50
3,9:35.0,M. Conley makes free throw 2 of 2,,56,50
3,9:22.0,,A. Wiggins makes 2-pt layup from 1 ft,56,52
3,9:14.0,Memphis full timeout,,56,52
3,8:56.0,J. Jackson misses 3-pt jump shot from 24 ft,,56,52
3,8:53.0,,Defensive rebound by R. Covington,56,52
3,8:33.0,,T. Gibson misses 2-pt jump shot from 6 ft,56,52
3,8:28.0,Defensive rebound by G. Temple,,56,52
3,8:20.0,Shooting foul by J. Teague (drawn by M. Conley),,56,52
3,8:20.0,M. Conley makes free throw 1 of 2,,57,52
3,8:20.0,M. Conley makes free throw 2 of 2,,58,52
3,8:04.0,,J. Teague misses 2-pt layup from 2 ft (block by J. Jackson),58,52
3,8:01.0,,Offensive rebound by J. Teague,58,52
3,8:01.0,,Personal foul by G. Temple (drawn by R. Covington),58,52
3,7:50.0,,A. Wiggins misses 2-pt layup from 2 ft,58,52
3,7:48.0,,Offensive rebound by T. Gibson,58,52
3,7:46.0,,T. Gibson misses 2-pt tip-in from 3 ft,58,52
3,7:46.0,,Offensive rebound by T. Gibson,58,52
3,7:46.0,,T. Gibson misses 2-pt layup from 2 ft,58,52
3,7:44.0,Defensive rebound by M. Gasol,,58,52
3,7:42.0,Offensive foul by J. Jackson (drawn by R. Covington),,58,52
3,7:42.0,Turnover by J. Jackson (offensive foul),,58,52
3,7:27.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by R. Covington),58,54
3,7:15.0,Turnover by J. Jackson (bad pass; steal by R. Covington),,58,54
3,7:13.0,,Turnover by K. Towns (bad pass),58,54
3,7:03.0,M. Conley makes 2-pt jump shot from 12 ft,,60,54
3,6:56.0,,Offensive foul by T. Gibson (drawn by M. Conley),60,54
3,6:56.0,,Turnover by T. Gibson (offensive foul),60,54
3,6:44.0,J. Jackson misses 2-pt jump shot from 7 ft,,60,54
3,6:41.0,,Defensive rebound by A. Wiggins,60,54
3,6:28.0,,Turnover by A. Wiggins (out of bounds lost ball),60,54
3,6:13.0,G. Temple makes 2-pt layup from 1 ft (assist by J. Jackson),,62,54
3,6:13.0,Shooting foul by A. Wiggins (drawn by G. Temple),,62,54
3,6:13.0,G. Temple makes free throw 1 of 1,,63,54
3,6:05.0,,Personal foul by M. Gasol (drawn by K. Towns),63,54
3,5:52.0,,A. Wiggins misses 2-pt layup from 1 ft (block by J. Jackson),63,54
3,5:49.0,Defensive rebound by G. Temple,,63,54
3,5:35.0,M. Gasol makes 3-pt jump shot from 23 ft (assist by M. Conley),,66,54
3,5:34.0,,Minnesota full timeout,66,54
3,5:34.0,J. Green enters the game for M. Conley,,66,54
3,5:34.0,S. Mack enters the game for J. Jackson,,66,54
3,5:34.0,,D. Rose enters the game for R. Covington,66,54
3,5:34.0,,D. Šarić enters the game for T. Gibson,66,54
3,5:20.0,,A. Wiggins misses 2-pt jump shot from 11 ft,66,54
3,5:16.0,Defensive rebound by J. Green,,66,54
3,4:57.0,J. Green misses 2-pt jump shot from 22 ft,,66,54
3,4:55.0,,Defensive rebound by K. Towns,66,54
3,4:38.0,,D. Šarić misses 3-pt jump shot from 23 ft,66,54
3,4:34.0,Defensive rebound by G. Temple,,66,54
3,4:27.0,S. Mack makes 3-pt jump shot from 26 ft,,69,54
3,4:13.0,,J. Teague misses 2-pt layup from 1 ft,69,54
3,4:11.0,Defensive rebound by S. Mack,,69,54
3,4:01.0,S. Mack misses 2-pt layup from 1 ft,,69,54
3,3:58.0,,Defensive rebound by K. Towns,69,54
3,3:48.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by A. Wiggins),69,57
3,3:23.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by S. Mack),,71,57
3,3:08.0,,K. Towns misses 2-pt hook shot from 5 ft,71,57
3,3:06.0,Defensive rebound by G. Temple,,71,57
3,2:47.0,S. Mack misses 3-pt jump shot from 24 ft,,71,57
3,2:42.0,,Defensive rebound by D. Rose,71,57
3,2:36.0,,A. Wiggins misses 2-pt jump shot from 19 ft,71,57
3,2:33.0,Defensive rebound by M. Gasol,,71,57
3,2:20.0,S. Mack makes 2-pt layup from 1 ft (assist by J. Green),,73,57
3,2:20.0,,Minnesota full timeout,73,57
3,2:20.0,J. Jackson enters the game for M. Gasol,,73,57
3,2:20.0,W. Selden enters the game for G. Temple,,73,57
3,2:20.0,,T. Jones enters the game for J. Teague,73,57
3,1:59.0,,A. Wiggins makes 2-pt dunk at rim (assist by K. Towns),73,59
3,1:44.0,Turnover by J. Green (traveling),,73,59
3,1:44.0,,G. Dieng enters the game for K. Towns,73,59
3,1:27.0,,Turnover by G. Dieng (traveling),73,59
3,1:04.0,S. Mack misses 3-pt jump shot from 24 ft,,73,59
3,1:01.0,,Defensive rebound by T. Jones,73,59
3,0:57.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by T. Jones),73,62
3,0:44.0,J. Jackson makes 2-pt jump shot from 11 ft,,75,62
3,0:32.0,,Personal foul by K. Anderson (drawn by A. Wiggins),75,62
3,0:32.0,M. Brooks enters the game for W. Selden,,75,62
3,0:20.0,,Turnover by D. Šarić (bad pass; steal by S. Mack),75,62
3,0:03.0,M. Brooks misses 2-pt jump shot from 19 ft,,75,62
3,0:00.0,,Defensive rebound by G. Dieng,75,62
4,11:47.0,,D. Rose misses 3-pt jump shot from 24 ft,75,62
4,11:42.0,Defensive rebound by M. Brooks,,75,62
4,11:23.0,J. Jackson misses 2-pt layup from 8 ft,,75,62
4,11:21.0,Offensive rebound by J. Jackson,,75,62
4,11:16.0,M. Brooks misses 3-pt jump shot from 23 ft,,75,62
4,11:14.0,,Defensive rebound by G. Dieng,75,62
4,11:06.0,,T. Jones misses 3-pt jump shot from 25 ft,75,62
4,11:02.0,Defensive rebound by M. Brooks,,75,62
4,10:51.0,W. Selden misses 2-pt jump shot from 18 ft,,75,62
4,10:48.0,,Defensive rebound by G. Dieng,75,62
4,10:40.0,,D. Šarić misses 2-pt jump shot from 13 ft,75,62
4,10:37.0,,Offensive rebound by T. Jones,75,62
4,10:33.0,,G. Dieng misses 3-pt jump shot from 23 ft,75,62
4,10:28.0,Defensive rebound by M. Brooks,,75,62
4,10:12.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Brooks),,77,62
4,9:52.0,,R. Covington makes 3-pt jump shot from 22 ft (assist by D. Rose),77,65
4,9:52.0,,K. Towns enters the game for G. Dieng,77,65
4,9:30.0,M. Brooks misses 3-pt jump shot from 25 ft,,77,65
4,9:28.0,,Defensive rebound by D. Rose,77,65
4,9:17.0,,T. Jones makes 2-pt jump shot from 8 ft (assist by D. Rose),77,67
4,8:58.0,Shooting foul by D. Šarić (drawn by O. Casspi),,77,67
4,8:58.0,O. Casspi misses free throw 1 of 2,,77,67
4,8:58.0,Offensive rebound by Team,,77,67
4,8:58.0,M. Conley enters the game for M. Brooks,,77,67
4,8:58.0,M. Gasol enters the game for J. Jackson,,77,67
4,8:58.0,O. Casspi makes free throw 2 of 2,,78,67
4,8:36.0,,Turnover by D. Rose (lost ball; steal by O. Casspi),78,67
4,8:18.0,Turnover by M. Gasol (lost ball; steal by D. Šarić),,78,67
4,8:15.0,,R. Covington misses 3-pt jump shot from 25 ft,78,67
4,8:12.0,Defensive rebound by Team,,78,67
4,7:52.0,W. Selden misses 3-pt jump shot from 24 ft,,78,67
4,7:50.0,,Defensive rebound by T. Jones,78,67
4,7:45.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),78,70
4,7:43.0,Memphis full timeout,,78,70
4,7:43.0,K. Anderson enters the game for O. Casspi,,78,70
4,7:43.0,J. Green enters the game for S. Mack,,78,70
4,7:43.0,G. Temple enters the game for W. Selden,,78,70
4,7:25.0,M. Gasol misses 2-pt jump shot from 14 ft,,78,70
4,7:23.0,Offensive rebound by Team,,78,70
4,7:23.0,,Loose ball foul by R. Covington (drawn by G. Temple),78,70
4,7:10.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,81,70
4,6:51.0,,D. Rose makes 2-pt jump shot from 19 ft,81,72
4,6:35.0,Personal foul by R. Covington (drawn by M. Conley),,81,72
4,6:30.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Anderson),,84,72
4,6:12.0,,Personal foul by G. Temple (drawn by K. Towns),84,72
4,6:04.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. Jones),84,75
4,5:47.0,Shooting foul by K. Towns (drawn by J. Green),,84,75
4,5:47.0,J. Green makes free throw 1 of 2,,85,75
4,5:47.0,J. Green makes free throw 2 of 2,,86,75
4,5:38.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),86,78
4,5:18.0,M. Conley misses 3-pt jump shot from 25 ft,,86,78
4,5:16.0,,Defensive rebound by T. Jones,86,78
4,5:07.0,,D. Rose misses 3-pt jump shot from 26 ft,86,78
4,5:03.0,Defensive rebound by G. Temple,,86,78
4,4:42.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),,89,78
4,4:24.0,,Turnover by D. Šarić (bad pass; steal by G. Temple),89,78
4,4:24.0,S. Mack enters the game for J. Green,,89,78
4,4:24.0,,A. Wiggins enters the game for T. Jones,89,78
4,4:07.0,M. Conley misses 2-pt layup from 2 ft,,89,78
4,4:05.0,,Defensive rebound by K. Towns,89,78
4,3:59.0,,Offensive foul by K. Towns (drawn by M. Gasol),89,78
4,3:59.0,,Turnover by K. Towns (offensive foul),89,78
4,3:35.0,G. Temple misses 2-pt layup from 5 ft,,89,78
4,3:29.0,Offensive rebound by G. Temple,,89,78
4,3:29.0,G. Temple misses 2-pt layup at rim,,89,78
4,3:28.0,,Defensive rebound by K. Towns,89,78
4,3:22.0,,A. Wiggins misses 2-pt jump shot from 19 ft,89,78
4,3:17.0,Defensive rebound by K. Anderson,,89,78
4,3:10.0,Personal foul by K. Towns (drawn by M. Gasol),,89,78
4,3:10.0,M. Gasol makes free throw 1 of 2,,90,78
4,3:10.0,M. Gasol makes free throw 2 of 2,,91,78
4,3:01.0,,D. Rose misses 2-pt jump shot from 14 ft,91,78
4,2:58.0,Defensive rebound by M. Gasol,,91,78
4,2:42.0,M. Gasol misses 3-pt jump shot from 26 ft,,91,78
4,2:39.0,,Defensive rebound by A. Wiggins,91,78
4,2:33.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by A. Wiggins),91,81
4,2:08.0,S. Mack makes 2-pt jump shot from 17 ft (assist by M. Gasol),,93,81
4,1:54.0,,Personal foul by M. Gasol (drawn by K. Towns),93,81
4,1:54.0,,Minnesota full timeout,93,81
4,1:51.0,,A. Wiggins misses 3-pt jump shot from 28 ft,93,81
4,1:49.0,,Offensive rebound by Team,93,81
4,1:49.0,Loose ball foul by K. Anderson (drawn by D. Šarić),,93,81
