QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
2,11:22.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,23,34
2,11:20.0,,Defensive rebound by D. Theis,23,34
2,11:10.0,,B. Wanamaker misses 2-pt jump shot from 8 ft,23,34
2,11:08.0,Defensive rebound by D. Finney-Smith,,23,34
2,11:01.0,Personal foul by S. Ojeleye (drawn by D. Powell),,23,34
2,10:57.0,Personal foul by G. Hayward (drawn by D. Powell),,23,34
2,10:52.0,D. Harris misses 3-pt jump shot from 27 ft,,23,34
2,10:50.0,,Defensive rebound by J. Brown,23,34
2,10:42.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,23,34
2,10:40.0,Defensive rebound by D. Harris,,23,34
2,10:31.0,D. Harris makes 2-pt layup from 1 ft,,25,34
2,10:10.0,,J. Brown makes 2-pt jump shot from 11 ft,25,36
2,9:49.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,25,36
2,9:47.0,,Defensive rebound by D. Theis,25,36
2,9:40.0,,Turnover by G. Hayward (lost ball; steal by D. Harris),25,36
2,9:25.0,D. Powell misses 3-pt jump shot from 27 ft,,25,36
2,9:21.0,,Defensive rebound by J. Brown,25,36
2,9:16.0,,S. Ojeleye makes 2-pt layup at rim (assist by G. Hayward),25,38
2,9:08.0,Shooting foul by J. Brown (drawn by J. Barea),,25,38
2,9:08.0,J. Barea misses free throw 1 of 2,,25,38
2,9:08.0,Offensive rebound by Team,,25,38
2,9:08.0,J. Barea makes free throw 2 of 2,,26,38
2,8:57.0,,Shooting foul by D. Nowitzki (drawn by D. Theis),26,38
2,8:57.0,,D. Theis makes free throw 1 of 2,26,39
2,8:57.0,,D. Theis misses free throw 2 of 2,26,39
2,8:55.0,Defensive rebound by D. Powell,,26,39
2,8:40.0,Shooting foul by S. Ojeleye (drawn by D. Harris),,26,39
2,8:40.0,D. Harris makes free throw 1 of 2,,27,39
2,8:40.0,D. Harris makes free throw 2 of 2,,28,39
2,8:27.0,,Personal foul by D. Harris (drawn by J. Brown),28,39
2,8:22.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by G. Hayward),28,41
2,8:04.0,Personal foul by J. Brown (drawn by D. Finney-Smith),,28,41
2,8:04.0,D. Finney-Smith misses free throw 1 of 2,,28,41
2,8:04.0,Offensive rebound by Team,,28,41
2,8:04.0,,T. Rozier enters the game for G. Hayward,28,41
2,8:04.0,D. Finney-Smith makes free throw 2 of 2,,29,41
2,7:47.0,,Turnover by B. Wanamaker (bad pass; steal by D. Powell),29,41
2,7:40.0,J. Barea misses 3-pt jump shot from 27 ft,,29,41
2,7:37.0,,Defensive rebound by D. Theis,29,41
2,7:33.0,,B. Wanamaker makes 2-pt layup from 1 ft (assist by D. Theis),29,43
2,7:33.0,Dallas full timeout,,29,43
2,7:15.0,D. Harris makes 3-pt jump shot from 26 ft (assist by J. Barea),,32,43
2,6:59.0,,J. Brown makes 2-pt layup from 1 ft (assist by D. Theis),32,45
2,6:45.0,Turnover by D. Nowitzki (bad pass; steal by B. Wanamaker),,32,45
2,6:40.0,,J. Brown misses 2-pt jump shot from 10 ft,32,45
2,6:37.0,Defensive rebound by D. Nowitzki,,32,45
2,6:31.0,Turnover by D. Harris (lost ball; steal by J. Brown),,32,45
2,6:24.0,,Shooting foul by D. Nowitzki (drawn by T. Rozier),32,45
2,6:24.0,,T. Rozier makes free throw 1 of 2,32,46
2,6:24.0,H. Barnes enters the game for J. Barea,,32,46
2,6:24.0,L. Dončić enters the game for D. Finney-Smith,,32,46
2,6:24.0,D. Jordan enters the game for D. Harris,,32,46
2,6:24.0,W. Matthews enters the game for D. Nowitzki,,32,46
2,6:24.0,D. Smith enters the game for D. Powell,,32,46
2,6:24.0,,G. Hayward enters the game for J. Brown,32,46
2,6:24.0,,M. Smart enters the game for S. Ojeleye,32,46
2,6:24.0,,J. Tatum enters the game for B. Wanamaker,32,46
2,6:24.0,,T. Rozier makes free throw 2 of 2,32,47
2,6:11.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,34,47
2,5:43.0,,J. Tatum misses 3-pt jump shot from 26 ft,34,47
2,5:42.0,Defensive rebound by L. Dončić,,34,47
2,5:37.0,,Violation by Team (kicked ball),34,47
2,5:22.0,D. Smith misses 2-pt layup from 2 ft (block by D. Theis),,34,47
2,5:21.0,Offensive rebound by L. Dončić,,34,47
2,5:21.0,L. Dončić makes 2-pt layup from 1 ft,,36,47
2,5:01.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by T. Rozier),36,50
2,4:48.0,L. Dončić misses 2-pt layup from 4 ft,,36,50
2,4:45.0,,Defensive rebound by G. Hayward,36,50
2,4:40.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Rozier),36,53
2,4:39.0,Dallas full timeout,,36,53
2,4:39.0,,A. Horford enters the game for D. Theis,36,53
2,4:16.0,W. Matthews makes 3-pt jump shot from 24 ft,,39,53
2,3:59.0,,T. Rozier misses 3-pt jump shot from 26 ft,39,53
2,3:56.0,Defensive rebound by D. Jordan,,39,53
2,3:41.0,H. Barnes makes 2-pt hook shot at rim,,41,53
2,3:16.0,,A. Horford misses 2-pt hook shot from 6 ft (block by D. Jordan),41,53
2,3:13.0,Defensive rebound by H. Barnes,,41,53
2,3:11.0,H. Barnes misses 2-pt layup from 1 ft,,41,53
2,3:10.0,D. Smith makes 2-pt layup at rim,,43,53
2,3:10.0,Offensive rebound by D. Smith,,43,53
2,3:10.0,,Boston full timeout,43,53
2,2:56.0,,J. Tatum misses 2-pt layup from 2 ft,43,53
2,2:54.0,Defensive rebound by D. Jordan,,43,53
2,2:47.0,Turnover by H. Barnes (bad pass; steal by M. Smart),,43,53
2,2:41.0,,A. Horford misses 2-pt layup from 3 ft,43,53
2,2:39.0,,Offensive rebound by A. Horford,43,53
2,2:37.0,,A. Horford misses 2-pt layup from 2 ft,43,53
2,2:35.0,,Offensive rebound by G. Hayward,43,53
2,2:34.0,,M. Smart misses 3-pt jump shot from 27 ft,43,53
2,2:32.0,,Offensive rebound by G. Hayward,43,53
2,2:29.0,,T. Rozier misses 3-pt jump shot from 25 ft,43,53
2,2:27.0,Defensive rebound by D. Jordan,,43,53
2,2:13.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by L. Dončić),,46,53
2,1:52.0,,T. Rozier misses 2-pt layup from 4 ft,46,53
2,1:50.0,,Offensive rebound by Team,46,53
2,1:39.0,,G. Hayward misses 2-pt jump shot from 10 ft,46,53
2,1:37.0,,Offensive rebound by M. Smart,46,53
2,1:36.0,,M. Smart misses 2-pt layup from 4 ft,46,53
2,1:34.0,Defensive rebound by L. Dončić,,46,53
2,1:24.0,L. Dončić misses 2-pt jump shot from 6 ft (block by G. Hayward),,46,53
2,1:22.0,,Defensive rebound by M. Smart,46,53
2,1:20.0,,Personal foul by D. Smith (drawn by T. Rozier),46,53
2,1:15.0,,G. Hayward misses 3-pt jump shot from 27 ft,46,53
2,1:11.0,Defensive rebound by H. Barnes,,46,53
2,1:00.0,D. Jordan makes 2-pt layup from 1 ft (assist by D. Smith),,48,53
2,0:46.0,,A. Horford misses 2-pt jump shot from 11 ft,48,53
2,0:45.0,,Offensive rebound by T. Rozier,48,53
2,0:39.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by G. Hayward),48,56
2,0:24.0,H. Barnes misses 2-pt layup from 4 ft (block by T. Rozier),,48,56
2,0:22.0,,Defensive rebound by T. Rozier,48,56
2,0:20.0,,G. Hayward makes 2-pt layup from 3 ft (assist by T. Rozier),48,58
2,0:01.0,L. Dončić makes 3-pt jump shot from 26 ft,,51,58
3,11:52.0,D. Smith misses 3-pt jump shot from 23 ft,,51,58
3,11:50.0,,Defensive rebound by J. Tatum,51,58
3,11:31.0,,Turnover by M. Smart (traveling),51,58
3,11:14.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Smith),,54,58
3,10:58.0,,J. Tatum misses 3-pt jump shot from 27 ft,54,58
3,10:56.0,Defensive rebound by D. Jordan,,54,58
3,10:49.0,Turnover by L. Dončić (bad pass; steal by A. Horford),,54,58
3,10:43.0,,J. Tatum misses 2-pt jump shot from 6 ft,54,58
3,10:41.0,,Offensive rebound by J. Tatum,54,58
3,10:39.0,,T. Rozier misses 3-pt jump shot from 26 ft,54,58
3,10:38.0,Defensive rebound by Team,,54,58
3,10:26.0,L. Dončić makes 3-pt jump shot from 29 ft (assist by H. Barnes),,57,58
3,10:24.0,,Boston full timeout,57,58
3,10:05.0,,J. Brown misses 2-pt jump shot from 8 ft,57,58
3,10:03.0,Defensive rebound by L. Dončić,,57,58
3,10:00.0,L. Dončić misses 3-pt jump shot from 25 ft,,57,58
3,9:57.0,,Defensive rebound by Team,57,58
3,9:43.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by T. Rozier),57,61
3,9:26.0,H. Barnes misses 3-pt jump shot from 27 ft,,57,61
3,9:25.0,,Defensive rebound by J. Tatum,57,61
3,9:09.0,,T. Rozier makes 3-pt jump shot from 27 ft (assist by M. Smart),57,64
3,8:39.0,L. Dončić makes 3-pt jump shot from 30 ft (assist by W. Matthews),,60,64
3,8:11.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),60,66
3,7:59.0,W. Matthews misses 3-pt jump shot from 27 ft,,60,66
3,7:57.0,,Defensive rebound by A. Horford,60,66
3,7:50.0,,J. Brown misses 2-pt jump shot from 14 ft,60,66
3,7:47.0,Defensive rebound by D. Jordan,,60,66
3,7:44.0,Shooting foul by A. Horford (drawn by L. Dončić),,60,66
3,7:44.0,L. Dončić misses free throw 1 of 2,,60,66
3,7:44.0,Offensive rebound by Team,,60,66
3,7:44.0,L. Dončić makes free throw 2 of 2,,61,66
3,7:33.0,,Personal foul by L. Dončić (drawn by A. Horford),61,66
3,7:27.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),61,68
3,7:13.0,Shooting foul by J. Brown (drawn by D. Jordan),,61,68
3,7:13.0,D. Jordan makes free throw 1 of 2,,62,68
3,7:13.0,D. Jordan makes free throw 2 of 2,,63,68
3,6:57.0,,J. Brown makes 2-pt layup from 4 ft (assist by T. Rozier),63,70
3,6:57.0,,Shooting foul by W. Matthews (drawn by J. Brown),63,70
3,6:57.0,,J. Brown makes free throw 1 of 1,63,71
3,6:40.0,D. Smith misses 2-pt layup from 3 ft,,63,71
3,6:38.0,,Defensive rebound by A. Horford,63,71
3,6:26.0,,J. Tatum makes 2-pt jump shot from 12 ft (assist by A. Horford),63,73
3,6:22.0,Dallas full timeout,,63,73
3,6:22.0,,G. Hayward enters the game for J. Brown,63,73
3,6:10.0,H. Barnes misses 3-pt jump shot from 28 ft,,63,73
3,6:05.0,,Defensive rebound by J. Tatum,63,73
3,5:42.0,,A. Horford misses 2-pt jump shot from 18 ft,63,73
3,5:40.0,Defensive rebound by D. Smith,,63,73
3,5:29.0,D. Smith misses 3-pt jump shot from 26 ft,,63,73
3,5:27.0,,Defensive rebound by T. Rozier,63,73
3,5:17.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by T. Rozier),63,76
3,4:53.0,D. Jordan misses 2-pt layup from 2 ft,,63,76
3,4:53.0,Offensive rebound by Team,,63,76
3,4:49.0,L. Dončić misses 3-pt jump shot from 23 ft,,63,76
3,4:47.0,,Defensive rebound by G. Hayward,63,76
3,4:40.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),63,79
3,4:39.0,Dallas full timeout,,63,79
3,4:39.0,J. Barea enters the game for L. Dončić,,63,79
3,4:39.0,D. Harris enters the game for D. Smith,,63,79
3,4:39.0,,D. Theis enters the game for A. Horford,63,79
3,4:26.0,Shooting foul by D. Theis (drawn by W. Matthews),,63,79
3,4:26.0,W. Matthews misses free throw 1 of 2,,63,79
3,4:26.0,Offensive rebound by Team,,63,79
3,4:26.0,W. Matthews makes free throw 2 of 2,,64,79
3,4:09.0,,J. Tatum misses 2-pt jump shot from 17 ft,64,79
3,4:07.0,Defensive rebound by D. Jordan,,64,79
3,3:47.0,D. Harris misses 3-pt jump shot from 22 ft,,64,79
3,3:41.0,Offensive rebound by W. Matthews,,64,79
3,3:41.0,Turnover by W. Matthews (bad pass),,64,79
3,3:41.0,D. Finney-Smith enters the game for H. Barnes,,64,79
3,3:41.0,D. Nowitzki enters the game for D. Jordan,,64,79
3,3:41.0,D. Powell enters the game for W. Matthews,,64,79
3,3:41.0,,B. Wanamaker enters the game for T. Rozier,64,79
3,3:17.0,,J. Tatum misses 2-pt jump shot from 21 ft,64,79
3,3:14.0,Defensive rebound by J. Barea,,64,79
3,3:08.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,64,79
3,3:06.0,,Defensive rebound by G. Hayward,64,79
3,2:57.0,,G. Hayward misses 2-pt jump shot from 17 ft,64,79
3,2:55.0,Defensive rebound by D. Nowitzki,,64,79
3,2:49.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,66,79
3,2:37.0,,B. Wanamaker misses 2-pt jump shot from 21 ft,66,79
3,2:35.0,Defensive rebound by D. Powell,,66,79
3,2:18.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,66,79
3,2:16.0,,Defensive rebound by B. Wanamaker,66,79
3,2:04.0,,J. Tatum misses 3-pt jump shot from 26 ft,66,79
3,2:03.0,,Offensive rebound by G. Hayward,66,79
3,2:01.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by G. Hayward),66,82
3,1:36.0,Turnover by J. Barea (bad pass; steal by D. Theis),,66,82
3,1:30.0,,G. Hayward makes 2-pt layup from 1 ft (assist by M. Smart),66,84
3,1:17.0,D. Powell misses 3-pt jump shot from 26 ft,,66,84
3,1:15.0,,Defensive rebound by G. Hayward,66,84
3,1:06.0,,G. Hayward misses 2-pt layup from 2 ft,66,84
3,1:04.0,Defensive rebound by J. Barea,,66,84
3,0:58.0,J. Barea misses 2-pt layup from 2 ft,,66,84
3,0:57.0,,Defensive rebound by D. Theis,66,84
3,0:52.0,,M. Smart misses 3-pt jump shot from 27 ft,66,84
3,0:50.0,Defensive rebound by D. Powell,,66,84
3,0:50.0,Personal foul by D. Theis (drawn by D. Powell),,66,84
3,0:50.0,,S. Ojeleye enters the game for J. Tatum,66,84
3,0:40.0,Turnover by J. Barea (lost ball; steal by B. Wanamaker),,66,84
3,0:36.0,,Turnover by S. Ojeleye (bad pass),66,84
3,0:16.0,D. Harris misses 2-pt layup from 3 ft,,66,84
3,0:13.0,Offensive rebound by D. Powell,,66,84
3,0:13.0,D. Powell misses 2-pt layup from 1 ft,,66,84
3,0:12.0,Offensive rebound by D. Powell,,66,84
3,0:07.0,D. Powell makes 2-pt layup from 2 ft,,68,84
3,0:05.0,,Personal foul by J. Barea (drawn by G. Hayward),68,84
3,0:05.0,W. Matthews enters the game for D. Nowitzki,,68,84
3,0:00.0,,D. Theis misses 2-pt layup from 9 ft,68,84
3,0:00.0,,Offensive rebound by Team,68,84
4,11:49.0,,Turnover by D. Theis (bad pass),68,84
4,11:34.0,D. Powell misses 2-pt layup from 1 ft (block by D. Theis),,68,84
4,11:31.0,,Defensive rebound by D. Theis,68,84
4,11:27.0,,S. Ojeleye misses 3-pt jump shot from 23 ft,68,84
4,11:23.0,,Offensive rebound by D. Theis,68,84
4,11:18.0,,J. Brown misses 2-pt jump shot from 19 ft,68,84
4,11:16.0,Defensive rebound by J. Barea,,68,84
4,11:06.0,D. Harris misses 3-pt jump shot from 25 ft,,68,84
4,11:04.0,,Defensive rebound by B. Wanamaker,68,84
4,10:55.0,,J. Brown misses 3-pt jump shot from 26 ft,68,84
4,10:53.0,,Offensive rebound by G. Hayward,68,84
4,10:43.0,,D. Theis makes 2-pt layup from 1 ft (assist by G. Hayward),68,86
4,10:23.0,J. Barea misses 3-pt jump shot from 25 ft,,68,86
4,10:21.0,,Defensive rebound by D. Theis,68,86
4,10:09.0,,Shooting foul by D. Harris (drawn by G. Hayward),68,86
4,10:09.0,,G. Hayward makes free throw 1 of 2,68,87
4,10:09.0,,G. Hayward makes free throw 2 of 2,68,88
4,9:53.0,J. Barea misses 2-pt jump shot from 11 ft,,68,88
4,9:51.0,,Defensive rebound by D. Theis,68,88
4,9:46.0,,Personal take foul by J. Barea (drawn by G. Hayward),68,88
4,9:41.0,,G. Hayward misses 2-pt layup from 2 ft,68,88
4,9:40.0,Defensive rebound by D. Powell,,68,88
4,9:34.0,J. Barea makes 2-pt layup from 2 ft,,70,88
4,9:34.0,,Violation by Team (def goaltending),70,88
4,9:24.0,,Turnover by D. Theis (bad pass; steal by D. Harris),70,88
4,9:20.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris),,72,88
4,9:02.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by B. Wanamaker),72,91
4,8:45.0,D. Nowitzki misses 3-pt jump shot from 23 ft,,72,91
4,8:44.0,Offensive rebound by D. Finney-Smith,,72,91
4,8:40.0,D. Powell misses 3-pt jump shot from 25 ft,,72,91
4,8:37.0,,Defensive rebound by G. Hayward,72,91
4,8:26.0,,Shooting foul by D. Nowitzki (drawn by S. Ojeleye),72,91
4,8:26.0,,S. Ojeleye misses free throw 1 of 2,72,91
4,8:26.0,,Offensive rebound by Team,72,91
4,8:26.0,H. Barnes enters the game for D. Harris,,72,91
4,8:26.0,D. Jordan enters the game for D. Nowitzki,,72,91
4,8:26.0,D. Smith enters the game for D. Powell,,72,91
4,8:26.0,,A. Horford enters the game for D. Theis,72,91
4,8:26.0,,S. Ojeleye makes free throw 2 of 2,72,92
4,8:15.0,Turnover by J. Barea (bad pass; steal by B. Wanamaker),,72,92
4,8:11.0,,Turnover by J. Brown (bad pass; steal by D. Finney-Smith),72,92
4,8:06.0,J. Barea misses 3-pt jump shot from 27 ft,,72,92
4,8:04.0,,Defensive rebound by Team,72,92
4,7:53.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by B. Wanamaker),72,95
4,7:51.0,Dallas full timeout,,72,95
4,7:51.0,L. Dončić enters the game for J. Barea,,72,95
4,7:51.0,W. Matthews enters the game for D. Finney-Smith,,72,95
4,7:34.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by L. Dončić),,75,95
4,7:07.0,,G. Hayward misses 3-pt jump shot from 28 ft,75,95
4,7:03.0,Defensive rebound by L. Dončić,,75,95
4,6:57.0,D. Smith makes 2-pt layup from 1 ft,,77,95
4,6:42.0,,B. Wanamaker misses 2-pt layup from 2 ft,77,95
4,6:41.0,,Offensive rebound by A. Horford,77,95
4,6:40.0,,J. Brown makes 3-pt jump shot from 28 ft (assist by G. Hayward),77,98
4,6:20.0,Shooting foul by B. Wanamaker (drawn by H. Barnes),,77,98
4,6:20.0,H. Barnes makes free throw 1 of 2,,78,98
4,6:20.0,,M. Smart enters the game for G. Hayward,78,98
4,6:20.0,,J. Tatum enters the game for S. Ojeleye,78,98
4,6:20.0,H. Barnes makes free throw 2 of 2,,79,98
4,6:09.0,,M. Smart makes 3-pt jump shot from 28 ft (assist by A. Horford),79,101
4,5:55.0,H. Barnes makes 3-pt jump shot from 26 ft,,82,101
4,5:26.0,,Turnover by A. Horford (lost ball; steal by D. Smith),82,101
4,5:21.0,L. Dončić misses 2-pt layup from 3 ft,,82,101
4,5:20.0,Offensive rebound by D. Jordan,,82,101
4,5:19.0,D. Jordan makes 2-pt layup from 1 ft,,84,101
4,5:09.0,,J. Tatum misses 2-pt layup from 4 ft (block by D. Jordan),84,101
4,5:06.0,Defensive rebound by D. Jordan,,84,101
4,5:02.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Smith),,86,101
4,5:02.0,,Boston full timeout,86,101
4,5:02.0,,G. Hayward enters the game for J. Brown,86,101
4,5:02.0,,T. Rozier enters the game for B. Wanamaker,86,101
4,4:42.0,,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),86,103
4,4:29.0,L. Dončić makes 2-pt jump shot from 4 ft,,88,103
4,4:06.0,,J. Tatum misses 2-pt jump shot from 17 ft,88,103
4,4:05.0,,Offensive rebound by M. Smart,88,103
4,4:05.0,,M. Smart misses 2-pt layup from 1 ft,88,103
4,4:04.0,,Offensive rebound by M. Smart,88,103
4,3:52.0,,G. Hayward misses 3-pt jump shot from 25 ft,88,103
4,3:48.0,Defensive rebound by L. Dončić,,88,103
