QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
1,7:15.0,,Shooting foul by J. Richardson (drawn by O. Spellman),16,17
1,7:15.0,,O. Spellman misses free throw 1 of 1,16,17
1,7:15.0,Defensive rebound by H. Whiteside,,16,17
1,7:04.0,Turnover by K. Olynyk (bad pass),,16,17
1,7:04.0,,V. Carter enters the game for O. Spellman,16,17
1,6:54.0,,T. Young misses 2-pt jump shot from 19 ft,16,17
1,6:51.0,,Offensive rebound by T. Young,16,17
1,6:42.0,,T. Young makes 2-pt jump shot from 16 ft,16,19
1,6:30.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Winslow),,19,19
1,6:14.0,,Shooting foul by K. Olynyk (drawn by T. Prince),19,19
1,6:14.0,,Atlanta full timeout,19,19
1,6:14.0,D. Wade enters the game for J. Winslow,,19,19
1,6:14.0,,K. Huerter enters the game for K. Bazemore,19,19
1,6:14.0,,T. Prince makes free throw 1 of 2,19,20
1,6:14.0,,T. Prince makes free throw 2 of 2,19,21
1,5:53.0,R. McGruder misses 3-pt jump shot from 24 ft,,19,21
1,5:50.0,,Defensive rebound by T. Prince,19,21
1,5:42.0,,T. Prince makes 2-pt jump shot from 20 ft (assist by V. Carter),19,23
1,5:28.0,Personal foul by T. Prince (drawn by K. Olynyk),,19,23
1,5:28.0,,D. Bembry enters the game for A. Len,19,23
1,5:28.0,,D. Dedmon enters the game for T. Prince,19,23
1,5:28.0,,J. Lin enters the game for T. Young,19,23
1,5:20.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),,21,23
1,5:04.0,,V. Carter makes 3-pt jump shot from 27 ft (assist by K. Huerter),21,26
1,4:49.0,R. McGruder makes 2-pt jump shot from 7 ft (assist by H. Whiteside),,23,26
1,4:33.0,,D. Bembry misses 2-pt layup from 1 ft,23,26
1,4:30.0,Defensive rebound by H. Whiteside,,23,26
1,4:25.0,D. Wade makes 2-pt jump shot from 14 ft,,25,26
1,4:13.0,,D. Dedmon makes 3-pt jump shot from 26 ft (assist by D. Bembry),25,29
1,4:07.0,Miami full timeout,,25,29
1,4:07.0,T. Johnson enters the game for R. McGruder,,25,29
1,4:07.0,J. Winslow enters the game for K. Olynyk,,25,29
1,4:03.0,Def 3 sec tech foul by Team,,25,29
1,4:03.0,J. Richardson makes technical free throw,,26,29
1,3:49.0,T. Johnson misses 2-pt jump shot from 14 ft (block by D. Dedmon),,26,29
1,3:46.0,,Defensive rebound by D. Dedmon,26,29
1,3:38.0,,V. Carter makes 2-pt layup from 2 ft (assist by D. Bembry),26,31
1,3:38.0,B. Adebayo enters the game for H. Whiteside,,26,31
1,3:22.0,Personal foul by K. Huerter (drawn by J. Richardson),,26,31
1,3:21.0,Personal foul by V. Carter (drawn by J. Winslow),,26,31
1,3:09.0,J. Richardson misses 2-pt jump shot from 12 ft,,26,31
1,3:04.0,,Defensive rebound by D. Dedmon,26,31
1,2:49.0,,D. Dedmon misses 2-pt layup from 1 ft (block by J. Winslow),26,31
1,2:49.0,,Offensive rebound by Team,26,31
1,2:47.0,,Shooting foul by T. Johnson (drawn by D. Bembry),26,31
1,2:47.0,,D. Bembry makes free throw 1 of 2,26,32
1,2:47.0,,D. Bembry makes free throw 2 of 2,26,33
1,2:37.0,D. Wade misses 2-pt layup from 6 ft,,26,33
1,2:36.0,Offensive rebound by Team,,26,33
1,2:36.0,W. Ellington enters the game for J. Richardson,,26,33
1,2:29.0,Turnover by D. Wade (bad pass; steal by V. Carter),,26,33
1,2:25.0,,D. Bembry makes 2-pt layup from 2 ft (assist by K. Huerter),26,35
1,2:09.0,Turnover by B. Adebayo (bad pass; steal by J. Lin),,26,35
1,2:04.0,,D. Bembry misses 2-pt layup from 2 ft,26,35
1,2:02.0,Defensive rebound by W. Ellington,,26,35
1,1:52.0,D. Wade makes 2-pt jump shot from 7 ft,,28,35
1,1:35.0,,K. Huerter makes 2-pt jump shot from 14 ft,28,37
1,1:19.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,31,37
1,1:07.0,,Personal foul by B. Adebayo (drawn by D. Dedmon),31,37
1,1:01.0,,D. Dedmon makes 2-pt jump shot from 15 ft,31,39
1,0:48.0,Turnover by D. Wade (lost ball; steal by K. Huerter),,31,39
1,0:42.0,,K. Huerter misses 2-pt layup from 2 ft,31,39
1,0:39.0,Defensive rebound by T. Johnson,,31,39
1,0:37.0,D. Wade misses 3-pt jump shot from 25 ft,,31,39
1,0:37.0,,Defensive rebound by D. Dedmon,31,39
1,0:24.0,,V. Carter makes 2-pt layup from 2 ft,31,41
1,0:05.0,W. Ellington misses 3-pt jump shot from 26 ft,,31,41
1,0:02.0,,Defensive rebound by D. Dedmon,31,41
1,0:00.0,,D. Bembry misses 3-pt jump shot from 39 ft,31,41
1,0:00.0,,Offensive rebound by Team,31,41
2,11:41.0,D. Wade makes 2-pt jump shot from 12 ft (assist by W. Ellington),,33,41
2,11:24.0,,Turnover by T. Young (bad pass; steal by D. Wade),33,41
2,11:20.0,T. Johnson makes 2-pt dunk from 1 ft (assist by D. Wade),,35,41
2,11:06.0,,T. Prince makes 2-pt jump shot from 16 ft (assist by T. Young),35,43
2,10:50.0,Shooting foul by O. Spellman (drawn by J. Winslow),,35,43
2,10:50.0,J. Winslow makes free throw 1 of 2,,36,43
2,10:50.0,J. Winslow makes free throw 2 of 2,,37,43
2,10:36.0,,D. Dedmon makes 2-pt jump shot from 19 ft (assist by T. Young),37,45
2,10:22.0,W. Ellington misses 3-pt jump shot from 26 ft,,37,45
2,10:20.0,,Defensive rebound by Team,37,45
2,10:20.0,,K. Bazemore enters the game for K. Huerter,37,45
2,9:59.0,,T. Young misses 3-pt jump shot from 27 ft,37,45
2,9:54.0,Defensive rebound by J. Winslow,,37,45
2,9:50.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Winslow),,39,45
2,9:35.0,,O. Spellman makes 2-pt jump shot from 21 ft (assist by T. Young),39,47
2,9:25.0,Turnover by J. Winslow (bad pass),,39,47
2,9:25.0,,A. Len enters the game for D. Dedmon,39,47
2,9:13.0,,K. Bazemore makes 2-pt layup from 6 ft (assist by O. Spellman),39,49
2,9:13.0,,Shooting foul by B. Adebayo (drawn by K. Bazemore),39,49
2,9:13.0,H. Whiteside enters the game for B. Adebayo,,39,49
2,9:13.0,,K. Bazemore makes free throw 1 of 1,39,50
2,9:01.0,D. Wade misses 2-pt jump shot from 13 ft,,39,50
2,8:56.0,,Defensive rebound by O. Spellman,39,50
2,8:52.0,,T. Prince misses 3-pt jump shot from 25 ft,39,50
2,8:48.0,,Offensive rebound by A. Len,39,50
2,8:47.0,,T. Young misses 3-pt jump shot from 25 ft,39,50
2,8:45.0,Defensive rebound by H. Whiteside,,39,50
2,8:36.0,Turnover by D. Wade (bad pass),,39,50
2,8:18.0,,Turnover by K. Bazemore (lost ball; steal by J. Winslow),39,50
2,8:14.0,W. Ellington makes 2-pt layup from 2 ft (assist by J. Winslow),,41,50
2,8:11.0,,Atlanta full timeout,41,50
2,8:11.0,R. McGruder enters the game for W. Ellington,,41,50
2,8:11.0,J. Richardson enters the game for D. Wade,,41,50
2,8:11.0,,A. Poythress enters the game for O. Spellman,41,50
2,8:01.0,,T. Prince misses 3-pt jump shot from 23 ft,41,50
2,8:00.0,Defensive rebound by Team,,41,50
2,8:00.0,,Loose ball foul by A. Poythress (drawn by J. Winslow),41,50
2,7:49.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Winslow),,44,50
2,7:28.0,,T. Young makes 2-pt layup from 9 ft (assist by A. Poythress),44,52
2,7:28.0,,Shooting foul by T. Johnson (drawn by T. Young),44,52
2,7:28.0,K. Olynyk enters the game for J. Winslow,,44,52
2,7:28.0,,T. Young misses free throw 1 of 1,44,52
2,7:28.0,Defensive rebound by H. Whiteside,,44,52
2,7:20.0,Personal foul by A. Len (drawn by J. Richardson),,44,52
2,7:07.0,R. McGruder misses 3-pt jump shot from 26 ft,,44,52
2,7:04.0,,Defensive rebound by K. Bazemore,44,52
2,7:02.0,,Turnover by K. Bazemore (bad pass),44,52
2,6:54.0,J. Richardson makes 2-pt dunk from 1 ft,,46,52
2,6:38.0,,T. Young makes 2-pt layup from 1 ft,46,54
2,6:25.0,H. Whiteside misses 2-pt jump shot from 18 ft,,46,54
2,6:21.0,,Defensive rebound by T. Young,46,54
2,6:14.0,,A. Poythress makes 3-pt jump shot from 24 ft (assist by T. Prince),46,57
2,5:54.0,H. Whiteside misses 3-pt jump shot from 22 ft,,46,57
2,5:51.0,Offensive rebound by H. Whiteside,,46,57
2,5:51.0,Shooting foul by A. Poythress (drawn by H. Whiteside),,46,57
2,5:51.0,H. Whiteside makes free throw 1 of 2,,47,57
2,5:51.0,H. Whiteside misses free throw 2 of 2,,47,57
2,5:48.0,,Defensive rebound by A. Len,47,57
2,5:45.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),47,60
2,5:42.0,Miami full timeout,,47,60
2,5:42.0,B. Adebayo enters the game for H. Whiteside,,47,60
2,5:42.0,,D. Dedmon enters the game for K. Bazemore,47,60
2,5:42.0,,K. Huerter enters the game for A. Len,47,60
2,5:39.0,Personal foul by K. Huerter (drawn by R. McGruder),,47,60
2,5:39.0,R. McGruder makes free throw 1 of 2,,48,60
2,5:39.0,R. McGruder makes free throw 2 of 2,,49,60
2,5:21.0,,Turnover by T. Prince (bad pass; steal by B. Adebayo),49,60
2,5:14.0,T. Johnson makes 2-pt layup from 1 ft,,51,60
2,4:54.0,,T. Prince misses 3-pt jump shot from 27 ft,51,60
2,4:50.0,Defensive rebound by T. Johnson,,51,60
2,4:37.0,T. Johnson makes 2-pt jump shot from 9 ft (assist by R. McGruder),,53,60
2,4:25.0,,Personal foul by J. Richardson (drawn by T. Young),53,60
2,4:25.0,,D. Bembry enters the game for A. Poythress,53,60
2,4:25.0,,O. Spellman enters the game for T. Prince,53,60
2,4:23.0,,Personal foul by K. Olynyk (drawn by T. Young),53,60
2,4:16.0,,K. Huerter makes 3-pt jump shot from 27 ft (assist by T. Young),53,63
2,3:59.0,Turnover by T. Johnson (lost ball; steal by D. Bembry),,53,63
2,3:54.0,,Turnover by D. Bembry (lost ball; steal by J. Richardson),53,63
2,3:46.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by R. McGruder),,56,63
2,3:44.0,,T. Young misses 2-pt layup from 3 ft (block by B. Adebayo),56,63
2,3:32.0,Defensive rebound by T. Johnson,,56,63
2,3:28.0,Shooting foul by D. Dedmon (drawn by T. Johnson),,56,63
2,3:28.0,T. Johnson makes free throw 1 of 2,,57,63
2,3:28.0,J. Winslow enters the game for K. Olynyk,,57,63
2,3:28.0,,J. Lin enters the game for T. Young,57,63
2,3:28.0,T. Johnson misses free throw 2 of 2,,57,63
2,3:25.0,,Defensive rebound by D. Dedmon,57,63
2,3:12.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Lin),57,65
2,2:56.0,J. Winslow misses 2-pt jump shot from 7 ft (block by O. Spellman),,57,65
2,2:53.0,Offensive rebound by J. Winslow,,57,65
2,2:52.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),,60,65
2,2:38.0,,D. Dedmon misses 3-pt jump shot from 23 ft,60,65
2,2:34.0,Defensive rebound by B. Adebayo,,60,65
2,2:30.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,63,65
2,2:28.0,,Atlanta full timeout,63,65
2,2:28.0,D. Wade enters the game for J. Richardson,,63,65
2,2:14.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Lin),63,68
2,1:58.0,T. Johnson misses 3-pt jump shot from 26 ft,,63,68
2,1:54.0,Offensive rebound by J. Winslow,,63,68
2,1:51.0,T. Johnson makes 2-pt jump shot from 6 ft (assist by J. Winslow),,65,68
2,1:44.0,,K. Huerter misses 3-pt jump shot from 26 ft,65,68
2,1:39.0,,Offensive rebound by D. Bembry,65,68
2,1:35.0,,Personal foul by T. Johnson (drawn by J. Lin),65,68
2,1:35.0,,J. Lin makes free throw 1 of 2,65,69
2,1:35.0,W. Ellington enters the game for T. Johnson,,65,69
2,1:35.0,,J. Lin makes free throw 2 of 2,65,70
2,1:11.0,Turnover by B. Adebayo (lost ball; steal by D. Bembry),,65,70
2,1:05.0,,D. Dedmon makes 2-pt jump shot from 22 ft (assist by J. Lin),65,72
2,0:51.0,Shooting foul by D. Dedmon (drawn by D. Wade),,65,72
2,0:51.0,D. Wade misses free throw 1 of 2,,65,72
2,0:51.0,Offensive rebound by Team,,65,72
2,0:51.0,D. Jones enters the game for B. Adebayo,,65,72
2,0:51.0,D. Wade makes free throw 2 of 2,,66,72
2,0:33.0,,Shooting foul by R. McGruder (drawn by J. Lin),66,72
2,0:33.0,,J. Lin makes free throw 1 of 2,66,73
2,0:33.0,,A. Poythress enters the game for D. Dedmon,66,73
2,0:33.0,,T. Prince enters the game for O. Spellman,66,73
2,0:33.0,,J. Lin makes free throw 2 of 2,66,74
2,0:17.0,Shooting foul by J. Lin (drawn by D. Wade),,66,74
2,0:17.0,D. Wade makes free throw 1 of 2,,67,74
2,0:17.0,,V. Carter enters the game for D. Bembry,67,74
2,0:17.0,D. Wade makes free throw 2 of 2,,68,74
2,0:00.0,,J. Lin misses 2-pt layup from 3 ft,68,74
2,0:00.0,,Offensive rebound by Team,68,74
3,11:46.0,R. McGruder misses 2-pt jump shot from 13 ft,,68,74
3,11:45.0,,Defensive rebound by Team,68,74
3,11:35.0,,T. Prince misses 2-pt jump shot from 13 ft,68,74
3,11:29.0,,Offensive rebound by O. Spellman,68,74
3,11:29.0,,O. Spellman misses 2-pt layup at rim,68,74
3,11:29.0,Defensive rebound by H. Whiteside,,68,74
3,11:26.0,Turnover by J. Winslow (bad pass; steal by K. Bazemore),,68,74
3,11:26.0,,Turnover by K. Bazemore (bad pass; steal by J. Richardson),68,74
3,11:16.0,Shooting foul by T. Prince (drawn by J. Richardson),,68,74
3,11:16.0,J. Richardson makes free throw 1 of 3,,69,74
3,11:16.0,J. Richardson makes free throw 2 of 3,,70,74
3,11:16.0,J. Richardson makes free throw 3 of 3,,71,74
3,11:10.0,,Personal foul by H. Whiteside (drawn by A. Len),71,74
3,11:01.0,,K. Bazemore makes 2-pt jump shot from 12 ft,71,76
3,11:01.0,,Shooting foul by R. McGruder (drawn by K. Bazemore),71,76
3,11:01.0,,K. Bazemore makes free throw 1 of 1,71,77
3,10:54.0,Personal foul by T. Prince (drawn by J. Richardson),,71,77
3,10:54.0,,K. Huerter enters the game for T. Prince,71,77
3,10:50.0,H. Whiteside misses 2-pt jump shot from 13 ft,,71,77
3,10:46.0,,Defensive rebound by O. Spellman,71,77
3,10:39.0,,T. Young makes 2-pt layup from 1 ft,71,79
3,10:28.0,Turnover by J. Winslow (bad pass; steal by A. Len),,71,79
3,10:24.0,,Turnover by K. Bazemore (bad pass),71,79
3,10:14.0,R. McGruder misses 2-pt jump shot from 14 ft (block by A. Len),,71,79
3,10:14.0,Offensive rebound by H. Whiteside,,71,79
3,10:14.0,H. Whiteside misses 2-pt layup from 9 ft (block by A. Len),,71,79
3,10:14.0,,Defensive rebound by Team,71,79
3,10:05.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),71,81
3,10:05.0,Miami full timeout,,71,81
3,10:05.0,D. Jones enters the game for K. Olynyk,,71,81
3,9:40.0,Turnover by D. Jones (bad pass; steal by O. Spellman),,71,81
3,9:36.0,,T. Young makes 3-pt jump shot from 25 ft (assist by K. Huerter),71,84
3,9:25.0,Personal foul by K. Bazemore (drawn by J. Richardson),,71,84
3,9:18.0,Personal foul by K. Bazemore (drawn by J. Richardson),,71,84
3,9:10.0,Turnover by J. Richardson (out of bounds lost ball),,71,84
3,9:00.0,,K. Huerter misses 3-pt jump shot from 23 ft,71,84
3,8:55.0,,Offensive rebound by T. Young,71,84
3,8:50.0,,T. Young makes 2-pt jump shot from 21 ft,71,86
3,8:32.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Winslow),,73,86
3,8:32.0,B. Adebayo enters the game for H. Whiteside,,73,86
3,8:08.0,,T. Young misses 3-pt jump shot from 30 ft,73,86
3,8:05.0,Defensive rebound by R. McGruder,,73,86
3,7:54.0,D. Jones misses 2-pt dunk from 2 ft (block by T. Young),,73,86
3,7:51.0,,Defensive rebound by T. Young,73,86
3,7:49.0,,Personal foul by J. Richardson (drawn by T. Young),73,86
3,7:49.0,,D. Bembry enters the game for K. Bazemore,73,86
3,7:49.0,,V. Carter enters the game for O. Spellman,73,86
3,7:47.0,,Personal foul by B. Adebayo (drawn by T. Young),73,86
3,7:43.0,,Turnover by D. Bembry (bad pass; steal by J. Winslow),73,86
3,7:37.0,R. McGruder misses 3-pt jump shot from 25 ft,,73,86
3,7:31.0,Offensive rebound by B. Adebayo,,73,86
3,7:29.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by R. McGruder),,76,86
3,7:13.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),76,88
3,7:04.0,J. Richardson misses 3-pt jump shot from 25 ft,,76,88
3,7:00.0,,Defensive rebound by V. Carter,76,88
3,6:56.0,,Turnover by T. Young (out of bounds lost ball),76,88
3,6:46.0,D. Jones misses 2-pt dunk from 2 ft,,76,88
3,6:43.0,,Defensive rebound by T. Young,76,88
3,6:40.0,,K. Huerter makes 2-pt layup at rim (assist by T. Young),76,90
3,6:19.0,J. Winslow misses 2-pt layup from 5 ft,,76,90
3,6:16.0,Offensive rebound by B. Adebayo,,76,90
3,6:15.0,J. Winslow misses 2-pt jump shot from 3 ft,,76,90
3,6:12.0,,Defensive rebound by K. Huerter,76,90
3,5:55.0,,V. Carter misses 3-pt jump shot from 25 ft,76,90
3,5:51.0,Defensive rebound by D. Jones,,76,90
3,5:41.0,J. Richardson makes 2-pt jump shot from 13 ft,,78,90
3,5:40.0,,Atlanta full timeout,78,90
3,5:40.0,D. Wade enters the game for J. Winslow,,78,90
3,5:40.0,,K. Bazemore enters the game for K. Huerter,78,90
3,5:40.0,,D. Dedmon enters the game for A. Len,78,90
3,5:40.0,,J. Lin enters the game for T. Young,78,90
3,5:31.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Bazemore),78,92
3,5:11.0,J. Richardson misses 2-pt jump shot from 19 ft,,78,92
3,5:08.0,,Defensive rebound by K. Bazemore,78,92
3,4:58.0,,D. Dedmon misses 2-pt hook shot from 8 ft,78,92
3,4:55.0,Defensive rebound by D. Wade,,78,92
3,4:41.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by R. McGruder),,81,92
3,4:18.0,,D. Dedmon makes 2-pt jump shot from 14 ft (assist by D. Bembry),81,94
3,4:08.0,Personal foul by D. Dedmon (drawn by D. Jones),,81,94
3,4:08.0,D. Jones makes free throw 1 of 2,,82,94
3,4:08.0,D. Jones makes free throw 2 of 2,,83,94
3,3:55.0,,D. Dedmon misses 2-pt layup from 1 ft,83,94
3,3:51.0,Defensive rebound by D. Wade,,83,94
3,3:45.0,D. Wade makes 3-pt jump shot from 26 ft (assist by J. Richardson),,86,94
3,3:30.0,,Turnover by D. Bembry (bad pass),86,94
3,3:30.0,,A. Poythress enters the game for V. Carter,86,94
3,3:20.0,J. Richardson misses 2-pt layup from 2 ft,,86,94
3,3:19.0,Offensive rebound by Team,,86,94
3,3:11.0,D. Wade makes 2-pt layup from 2 ft,,88,94
3,2:56.0,,K. Bazemore makes 2-pt jump shot from 19 ft,88,96
3,2:33.0,B. Adebayo misses 2-pt layup from 2 ft,,88,96
3,2:31.0,,Defensive rebound by A. Poythress,88,96
3,2:25.0,,D. Dedmon misses 2-pt layup from 2 ft,88,96
3,2:24.0,,Offensive rebound by D. Dedmon,88,96
3,2:23.0,,D. Dedmon misses 2-pt layup from 1 ft,88,96
3,2:18.0,Defensive rebound by B. Adebayo,,88,96
3,2:08.0,R. McGruder makes 2-pt jump shot from 12 ft (assist by D. Wade),,90,96
3,1:47.0,,K. Bazemore misses 2-pt layup from 3 ft (block by B. Adebayo),90,96
3,1:47.0,,Offensive rebound by Team,90,96
3,1:47.0,,K. Huerter enters the game for K. Bazemore,90,96
3,1:43.0,,D. Bembry misses 2-pt jump shot from 21 ft,90,96
3,1:43.0,,Offensive rebound by Team,90,96
3,1:43.0,,Turnover by Team (shot clock),90,96
3,1:43.0,,T. Young enters the game for J. Lin,90,96
3,1:26.0,R. McGruder makes 2-pt jump shot from 12 ft (assist by D. Wade),,92,96
3,1:12.0,,A. Poythress makes 2-pt dunk from 1 ft (assist by T. Young),92,98
3,0:57.0,D. Wade misses 3-pt jump shot from 23 ft,,92,98
3,0:57.0,,Defensive rebound by A. Poythress,92,98
3,0:46.0,,Turnover by T. Young (palming),92,98
3,0:46.0,T. Johnson enters the game for R. McGruder,,92,98
3,0:46.0,,Technical foul by V. Carter,92,98
3,0:46.0,J. Richardson makes technical free throw,,93,98
3,0:41.0,J. Richardson misses 2-pt layup from 5 ft (block by D. Dedmon),,93,98
3,0:37.0,,Defensive rebound by D. Bembry,93,98
3,0:33.0,,Personal foul by B. Adebayo (drawn by T. Young),93,98
3,0:33.0,,T. Young makes free throw 1 of 2,93,99
3,0:33.0,J. Winslow enters the game for B. Adebayo,,93,99
3,0:33.0,,K. Bazemore enters the game for D. Dedmon,93,99
3,0:33.0,,T. Young makes free throw 2 of 2,93,100
3,0:15.0,D. Wade misses 3-pt jump shot from 26 ft,,93,100
3,0:12.0,Offensive rebound by J. Winslow,,93,100
3,0:08.0,Shooting foul by K. Huerter (drawn by D. Wade),,93,100
3,0:08.0,D. Wade misses free throw 1 of 2,,93,100
3,0:08.0,Offensive rebound by Team,,93,100
3,0:08.0,D. Wade misses free throw 2 of 2,,93,100
3,0:06.0,,Defensive rebound by D. Bembry,93,100
3,0:00.0,,T. Young makes 2-pt jump shot from 14 ft,93,102
4,11:50.0,,Turnover by T. Young (discontinued dribble),93,102
4,11:38.0,T. Johnson misses 2-pt jump shot from 13 ft (block by A. Len),,93,102
4,11:34.0,,Defensive rebound by T. Prince,93,102
4,11:32.0,,T. Young misses 2-pt layup from 1 ft,93,102
4,11:29.0,,Offensive rebound by A. Poythress,93,102
4,11:19.0,,A. Poythress misses 2-pt dunk from 2 ft,93,102
4,11:16.0,Defensive rebound by D. Wade,,93,102
4,11:11.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by T. Johnson),,96,102
4,10:51.0,,T. Prince misses 3-pt jump shot from 26 ft,96,102
4,10:49.0,Defensive rebound by T. Johnson,,96,102
4,10:36.0,T. Johnson misses 3-pt jump shot from 26 ft,,96,102
4,10:31.0,Offensive rebound by J. Winslow,,96,102
4,10:28.0,J. Winslow makes 2-pt jump shot from 6 ft,,98,102
4,10:27.0,,Atlanta full timeout,98,102
4,10:27.0,,O. Spellman enters the game for A. Poythress,98,102
4,10:20.0,,Personal foul by D. Wade (drawn by T. Young),98,102
4,10:20.0,Technical foul by J. Winslow,,98,102
4,10:20.0,,T. Prince misses technical free throw,98,102
4,10:20.0,,Offensive rebound by Team,98,102
4,10:15.0,,T. Young makes 2-pt layup from 2 ft,98,104
4,9:58.0,T. Johnson misses 3-pt jump shot from 25 ft,,98,104
4,9:55.0,Offensive rebound by J. Winslow,,98,104
4,9:52.0,D. Wade makes 3-pt jump shot from 23 ft (assist by J. Winslow),,101,104
4,9:37.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),101,107
4,9:15.0,J. Winslow makes 3-pt jump shot from 24 ft (assist by T. Johnson),,104,107
4,8:57.0,,Shooting foul by J. Richardson (drawn by A. Len),104,107
4,8:57.0,,A. Len makes free throw 1 of 2,104,108
4,8:57.0,,A. Len misses free throw 2 of 2,104,108
4,8:54.0,Defensive rebound by B. Adebayo,,104,108
4,8:41.0,,Loose ball foul by T. Prince (drawn by J. Richardson),104,108
4,8:41.0,,D. Bembry enters the game for T. Prince,104,108
4,8:31.0,Turnover by D. Wade (traveling),,104,108
4,8:20.0,,Turnover by K. Huerter (bad pass),104,108
4,8:10.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by T. Johnson),,107,108
4,7:56.0,,Shooting foul by J. Winslow (drawn by A. Len),107,108
4,7:56.0,,A. Len makes free throw 1 of 2,107,109
4,7:56.0,,J. Lin enters the game for T. Young,107,109
4,7:56.0,,A. Len makes free throw 2 of 2,107,110
4,7:43.0,J. Winslow misses 2-pt jump shot from 5 ft,,107,110
4,7:37.0,Offensive rebound by B. Adebayo,,107,110
4,7:37.0,B. Adebayo makes 2-pt dunk from 1 ft,,109,110
4,7:23.0,,A. Len misses 3-pt jump shot from 22 ft,109,110
4,7:19.0,Defensive rebound by J. Richardson,,109,110
4,7:13.0,J. Richardson misses 3-pt jump shot from 25 ft,,109,110
4,7:10.0,,Defensive rebound by A. Len,109,110
4,7:01.0,,J. Lin misses 2-pt jump shot from 10 ft (block by J. Richardson),109,110
4,7:01.0,,Offensive rebound by Team,109,110
4,7:01.0,R. McGruder enters the game for D. Wade,,109,110
4,7:01.0,,V. Carter enters the game for O. Spellman,109,110
4,6:48.0,,K. Huerter misses 3-pt jump shot from 29 ft,109,110
4,6:42.0,Defensive rebound by J. Winslow,,109,110
