QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
2,9:40.0,K. Huerter makes 2-pt jump shot from 4 ft (assist by M. Plumlee),,32,37
2,9:19.0,,Shooting foul by J. Lin (drawn by D. Sabonis),32,37
2,9:19.0,,D. Sabonis makes free throw 1 of 2,32,38
2,9:19.0,,D. Sabonis makes free throw 2 of 2,32,39
2,9:03.0,K. Huerter misses 2-pt jump shot from 7 ft,,32,39
2,9:01.0,Offensive rebound by T. Dorsey,,32,39
2,9:01.0,T. Dorsey misses 2-pt layup at rim,,32,39
2,8:59.0,,Defensive rebound by T. Young,32,39
2,8:56.0,,T. Evans makes 2-pt layup from 1 ft (assist by T. Young),32,41
2,8:48.0,Personal foul by T. Evans (drawn by J. Collins),,32,41
2,8:48.0,D. Bembry enters the game for T. Dorsey,,32,41
2,8:38.0,J. Lin misses 2-pt jump shot from 8 ft,,32,41
2,8:36.0,,Defensive rebound by T. Young,32,41
2,8:32.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by T. Evans),32,44
2,8:13.0,J. Collins makes 3-pt jump shot from 28 ft (assist by K. Huerter),,35,44
2,8:01.0,,D. McDermott misses 2-pt jump shot from 18 ft,35,44
2,8:00.0,Defensive rebound by Team,,35,44
2,8:00.0,,Loose ball foul by D. Sabonis (drawn by J. Collins),35,44
2,7:44.0,D. Bembry misses 3-pt jump shot from 25 ft,,35,44
2,7:40.0,Offensive rebound by J. Collins,,35,44
2,7:37.0,J. Collins misses 2-pt layup from 1 ft,,35,44
2,7:36.0,Offensive rebound by J. Collins,,35,44
2,7:36.0,J. Collins makes 2-pt layup at rim,,37,44
2,7:33.0,,Indiana full timeout,37,44
2,7:33.0,A. Len enters the game for M. Plumlee,,37,44
2,7:33.0,,B. Bogdanović enters the game for T. Young,37,44
2,7:20.0,,Turnover by T. Evans (bad pass; steal by D. Bembry),37,44
2,7:15.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by A. Len),,40,44
2,6:59.0,,C. Joseph misses 3-pt jump shot from 25 ft,40,44
2,6:55.0,Defensive rebound by J. Collins,,40,44
2,6:48.0,D. Bembry makes 2-pt layup from 3 ft (assist by J. Collins),,42,44
2,6:29.0,,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. McDermott),42,47
2,6:16.0,A. Len makes 2-pt jump shot from 12 ft,,44,47
2,6:16.0,Shooting foul by D. Sabonis (drawn by A. Len),,44,47
2,6:16.0,V. Carter enters the game for J. Collins,,44,47
2,6:16.0,,V. Oladipo enters the game for T. Evans,44,47
2,6:16.0,,M. Turner enters the game for D. Sabonis,44,47
2,6:16.0,A. Len makes free throw 1 of 1,,45,47
2,6:04.0,,Personal foul by J. Lin (drawn by C. Joseph),45,47
2,5:55.0,,D. McDermott misses 3-pt jump shot from 23 ft,45,47
2,5:51.0,Defensive rebound by A. Len,,45,47
2,5:42.0,A. Len misses 2-pt hook shot from 8 ft,,45,47
2,5:39.0,,Defensive rebound by C. Joseph,45,47
2,5:39.0,,D. Collison enters the game for C. Joseph,45,47
2,5:22.0,,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by D. McDermott),45,49
2,5:05.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by J. Lin),,48,49
2,4:55.0,,V. Oladipo makes 2-pt layup from 1 ft,48,51
2,4:47.0,Personal foul by D. Collison (drawn by J. Lin),,48,51
2,4:47.0,J. Lin makes free throw 1 of 2,,49,51
2,4:47.0,D. Hamilton enters the game for D. Bembry,,49,51
2,4:47.0,J. Lin makes free throw 2 of 2,,50,51
2,4:34.0,,V. Oladipo misses 2-pt layup from 1 ft (block by J. Lin),50,51
2,4:33.0,,Offensive rebound by Team,50,51
2,4:25.0,,D. Collison misses 3-pt jump shot from 27 ft,50,51
2,4:23.0,Defensive rebound by D. Hamilton,,50,51
2,4:17.0,Shooting foul by D. McDermott (drawn by A. Len),,50,51
2,4:17.0,A. Len makes free throw 1 of 2,,51,51
2,4:17.0,D. Bembry enters the game for K. Huerter,,51,51
2,4:17.0,,C. Joseph enters the game for D. McDermott,51,51
2,4:17.0,A. Len misses free throw 2 of 2,,51,51
2,4:15.0,Offensive rebound by A. Len,,51,51
2,4:13.0,A. Len makes 2-pt dunk from 2 ft,,53,51
2,3:55.0,,Turnover by M. Turner (lost ball; steal by V. Carter),53,51
2,3:49.0,A. Len misses 2-pt layup from 3 ft,,53,51
2,3:46.0,Offensive rebound by J. Lin,,53,51
2,3:46.0,V. Carter misses 3-pt jump shot from 26 ft,,53,51
2,3:43.0,Offensive rebound by D. Hamilton,,53,51
2,3:39.0,V. Carter misses 3-pt jump shot from 26 ft,,53,51
2,3:39.0,,Defensive rebound by Team,53,51
2,3:21.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),53,54
2,3:05.0,A. Len makes 2-pt layup from 2 ft (assist by D. Hamilton),,55,54
2,3:05.0,Shooting foul by M. Turner (drawn by A. Len),,55,54
2,3:05.0,A. Len misses free throw 1 of 1,,55,54
2,3:03.0,,Defensive rebound by M. Turner,55,54
2,2:53.0,,V. Oladipo misses 2-pt jump shot from 18 ft,55,54
2,2:50.0,Defensive rebound by V. Carter,,55,54
2,2:41.0,J. Lin misses 2-pt jump shot from 14 ft,,55,54
2,2:39.0,Offensive rebound by D. Hamilton,,55,54
2,2:38.0,D. Hamilton misses 2-pt layup from 1 ft,,55,54
2,2:38.0,Offensive rebound by A. Len,,55,54
2,2:34.0,A. Len misses 2-pt layup at rim,,55,54
2,2:33.0,,Defensive rebound by V. Oladipo,55,54
2,2:22.0,,M. Turner misses 2-pt jump shot from 17 ft,55,54
2,2:20.0,Defensive rebound by D. Hamilton,,55,54
2,2:05.0,A. Len misses 3-pt jump shot from 26 ft,,55,54
2,2:01.0,,Defensive rebound by V. Oladipo,55,54
2,1:59.0,,V. Oladipo makes 2-pt layup from 1 ft,55,56
2,1:59.0,Atlanta full timeout,,55,56
2,1:59.0,J. Collins enters the game for V. Carter,,55,56
2,1:59.0,K. Huerter enters the game for D. Hamilton,,55,56
2,1:59.0,M. Plumlee enters the game for A. Len,,55,56
2,1:59.0,,T. Young enters the game for C. Joseph,55,56
2,1:37.0,J. Collins misses 2-pt jump shot from 18 ft,,55,56
2,1:34.0,,Defensive rebound by T. Young,55,56
2,1:17.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,55,56
2,1:14.0,Defensive rebound by D. Bembry,,55,56
2,1:10.0,D. Bembry makes 2-pt layup from 1 ft,,57,56
2,0:53.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),57,58
2,0:53.0,,Shooting foul by M. Plumlee (drawn by M. Turner),57,58
2,0:53.0,,M. Turner makes free throw 1 of 1,57,59
2,0:39.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by J. Collins),,60,59
2,0:29.0,,Personal foul by J. Lin (drawn by M. Turner),60,59
2,0:29.0,,M. Turner makes free throw 1 of 2,60,60
2,0:29.0,,M. Turner misses free throw 2 of 2,60,60
2,0:27.0,Defensive rebound by D. Bembry,,60,60
2,0:12.0,J. Lin misses 2-pt layup from 2 ft (block by M. Turner),,60,60
2,0:09.0,,Defensive rebound by M. Turner,60,60
2,0:01.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),60,63
3,11:46.0,,D. Collison misses 2-pt jump shot from 16 ft,60,63
3,11:44.0,Defensive rebound by D. Hamilton,,60,63
3,11:29.0,Shooting foul by T. Young (drawn by K. Huerter),,60,63
3,11:29.0,K. Huerter misses free throw 1 of 2,,60,63
3,11:29.0,Offensive rebound by Team,,60,63
3,11:29.0,K. Huerter misses free throw 2 of 2,,60,63
3,11:27.0,,Defensive rebound by T. Young,60,63
3,11:15.0,,V. Oladipo makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),60,65
3,11:03.0,J. Collins misses 3-pt jump shot from 28 ft,,60,65
3,11:01.0,,Defensive rebound by M. Turner,60,65
3,10:52.0,,V. Oladipo makes 2-pt jump shot from 13 ft,60,67
3,10:30.0,D. Hamilton makes 2-pt layup from 1 ft (assist by K. Huerter),,62,67
3,10:17.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by V. Oladipo),62,70
3,9:57.0,D. Hamilton makes 2-pt jump shot from 5 ft,,64,70
3,9:39.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,64,70
3,9:37.0,Defensive rebound by T. Young,,64,70
3,9:34.0,Turnover by T. Young (bad pass; steal by B. Bogdanović),,64,70
3,9:31.0,,Turnover by B. Bogdanović (bad pass; steal by A. Len),64,70
3,9:29.0,Shooting foul by M. Turner (drawn by J. Collins),,64,70
3,9:29.0,J. Collins makes free throw 1 of 2,,65,70
3,9:29.0,J. Collins makes free throw 2 of 2,,66,70
3,9:11.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by M. Turner),66,72
3,8:51.0,K. Huerter misses 2-pt jump shot from 11 ft,,66,72
3,8:48.0,Offensive rebound by J. Collins,,66,72
3,8:41.0,Turnover by A. Len (lost ball; steal by T. Young),,66,72
3,8:38.0,,Turnover by B. Bogdanović (bad pass; steal by T. Young),66,72
3,8:38.0,Personal take foul by V. Oladipo (drawn by T. Young),,66,72
3,8:23.0,Turnover by T. Young (bad pass; steal by T. Young),,66,72
3,8:21.0,,Shooting foul by K. Huerter (drawn by B. Bogdanović),66,72
3,8:21.0,,B. Bogdanović makes free throw 1 of 2,66,73
3,8:21.0,,B. Bogdanović makes free throw 2 of 2,66,74
3,8:09.0,D. Hamilton misses 3-pt jump shot from 24 ft,,66,74
3,8:06.0,,Defensive rebound by D. Collison,66,74
3,8:02.0,,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),66,76
3,8:00.0,Atlanta full timeout,,66,76
3,8:00.0,D. Bembry enters the game for D. Hamilton,,66,76
3,7:45.0,K. Huerter misses 3-pt jump shot from 27 ft,,66,76
3,7:42.0,,Defensive rebound by D. Collison,66,76
3,7:29.0,,V. Oladipo misses 2-pt jump shot from 18 ft,66,76
3,7:26.0,Defensive rebound by J. Collins,,66,76
3,7:19.0,D. Bembry misses 3-pt jump shot from 26 ft,,66,76
3,7:15.0,Offensive rebound by T. Young,,66,76
3,7:12.0,T. Young makes 2-pt layup from 1 ft,,68,76
3,6:51.0,,Shooting foul by J. Collins (drawn by M. Turner),68,76
3,6:51.0,,M. Turner makes free throw 1 of 2,68,77
3,6:51.0,,M. Turner misses free throw 2 of 2,68,77
3,6:49.0,Defensive rebound by D. Bembry,,68,77
3,6:40.0,T. Young makes 3-pt jump shot from 27 ft,,71,77
3,6:24.0,,V. Oladipo makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),71,80
3,6:14.0,Personal foul by D. Collison (drawn by T. Young),,71,80
3,6:01.0,D. Bembry misses 2-pt layup at rim,,71,80
3,5:57.0,Offensive rebound by J. Collins,,71,80
3,5:57.0,J. Collins makes 2-pt layup from 1 ft,,73,80
3,5:50.0,,Def 3 sec tech foul by Team,73,80
3,5:50.0,,B. Bogdanović makes technical free throw,73,81
3,5:45.0,,Personal foul by K. Huerter (drawn by M. Turner),73,81
3,5:38.0,,T. Young misses 3-pt jump shot from 23 ft,73,81
3,5:35.0,Defensive rebound by A. Len,,73,81
3,5:28.0,A. Len makes 2-pt layup from 1 ft (assist by T. Young),,75,81
3,5:28.0,Shooting foul by B. Bogdanović (drawn by A. Len),,75,81
3,5:28.0,A. Len makes free throw 1 of 1,,76,81
3,5:16.0,,D. Collison misses 2-pt jump shot from 21 ft,76,81
3,5:13.0,,Offensive rebound by M. Turner,76,81
3,5:06.0,,M. Turner makes 3-pt jump shot from 24 ft (assist by V. Oladipo),76,84
3,4:52.0,J. Collins misses 2-pt dunk from 1 ft (block by M. Turner),,76,84
3,4:49.0,,Defensive rebound by D. Collison,76,84
3,4:48.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Oladipo),76,87
3,4:44.0,Atlanta full timeout,,76,87
3,4:44.0,J. Anderson enters the game for K. Huerter,,76,87
3,4:44.0,M. Plumlee enters the game for A. Len,,76,87
3,4:44.0,,D. Sabonis enters the game for M. Turner,76,87
3,4:29.0,M. Plumlee misses 2-pt hook shot from 10 ft,,76,87
3,4:26.0,,Defensive rebound by V. Oladipo,76,87
3,4:13.0,,V. Oladipo misses 2-pt jump shot from 19 ft,76,87
3,4:11.0,Defensive rebound by J. Collins,,76,87
3,4:02.0,Turnover by T. Young (bad pass; steal by T. Young),,76,87
3,3:47.0,,D. Sabonis makes 2-pt jump shot from 1 ft (assist by T. Young),76,89
3,3:27.0,M. Plumlee misses 2-pt jump shot from 17 ft,,76,89
3,3:25.0,,Defensive rebound by B. Bogdanović,76,89
3,3:18.0,,Turnover by B. Bogdanović (lost ball; steal by D. Bembry),76,89
3,3:17.0,Turnover by J. Anderson (offensive foul),,76,89
3,3:17.0,Offensive foul by J. Anderson (drawn by V. Oladipo),,76,89
3,3:17.0,,Indiana full timeout,76,89
3,3:17.0,V. Carter enters the game for J. Collins,,76,89
3,3:17.0,J. Lin enters the game for T. Young,,76,89
3,3:17.0,,C. Joseph enters the game for B. Bogdanović,76,89
3,3:02.0,,V. Oladipo misses 3-pt jump shot from 29 ft,76,89
3,2:59.0,Defensive rebound by J. Lin,,76,89
3,2:46.0,Shooting foul by V. Oladipo (drawn by J. Lin),,76,89
3,2:46.0,J. Lin makes free throw 1 of 2,,77,89
3,2:46.0,,T. Evans enters the game for D. Collison,77,89
3,2:46.0,,D. McDermott enters the game for V. Oladipo,77,89
3,2:46.0,J. Lin makes free throw 2 of 2,,78,89
3,2:34.0,,Turnover by D. McDermott (traveling),78,89
3,2:22.0,J. Lin misses 2-pt layup from 2 ft,,78,89
3,2:22.0,Offensive rebound by Team,,78,89
3,2:16.0,J. Anderson misses 2-pt jump shot from 13 ft,,78,89
3,2:14.0,,Defensive rebound by T. Evans,78,89
3,2:10.0,,D. McDermott misses 3-pt jump shot from 26 ft,78,89
3,2:05.0,Defensive rebound by M. Plumlee,,78,89
3,1:56.0,J. Anderson makes 3-pt jump shot from 27 ft (assist by J. Lin),,81,89
3,1:40.0,,T. Evans makes 3-pt jump shot from 28 ft,81,92
3,1:22.0,V. Carter misses 3-pt jump shot from 28 ft,,81,92
3,1:20.0,,Defensive rebound by C. Joseph,81,92
3,1:20.0,J. Collins enters the game for D. Bembry,,81,92
3,1:20.0,K. Huerter enters the game for M. Plumlee,,81,92
3,1:20.0,,B. Bogdanović enters the game for T. Young,81,92
3,0:59.0,,D. McDermott misses 3-pt jump shot from 24 ft,81,92
3,0:57.0,,Offensive rebound by Team,81,92
3,0:46.0,,D. Sabonis makes 2-pt jump shot from 8 ft (assist by C. Joseph),81,94
3,0:46.0,,Shooting foul by J. Lin (drawn by D. Sabonis),81,94
3,0:46.0,,D. Sabonis misses free throw 1 of 1,81,94
3,0:44.0,Defensive rebound by J. Anderson,,81,94
3,0:31.0,Turnover by J. Lin (lost ball; steal by C. Joseph),,81,94
3,0:17.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,81,94
3,0:14.0,,Offensive rebound by C. Joseph,81,94
3,0:00.0,,T. Evans makes 3-pt jump shot from 28 ft,81,97
4,11:40.0,A. Len makes 2-pt dunk from 3 ft (assist by D. Hamilton),,83,97
4,11:21.0,,T. Evans misses 3-pt jump shot from 27 ft,83,97
4,11:19.0,Defensive rebound by T. Young,,83,97
4,11:12.0,Turnover by T. Young (bad pass; steal by B. Bogdanović),,83,97
4,11:09.0,,B. Bogdanović makes 2-pt layup from 1 ft,83,99
4,10:58.0,D. Hamilton makes 2-pt jump shot from 3 ft,,85,99
4,10:39.0,,D. Sabonis makes 2-pt layup from 1 ft,85,101
4,10:39.0,,Shooting foul by A. Len (drawn by D. Sabonis),85,101
4,10:39.0,,D. Sabonis makes free throw 1 of 1,85,102
4,10:30.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by J. Collins),,88,102
4,10:09.0,,Turnover by B. Bogdanović (traveling),88,102
4,9:53.0,T. Young misses 3-pt jump shot from 28 ft,,88,102
4,9:50.0,,Defensive rebound by B. Bogdanović,88,102
4,9:45.0,,Indiana full timeout,88,102
4,9:45.0,J. Lin enters the game for T. Young,,88,102
4,9:45.0,,T. Young enters the game for D. McDermott,88,102
4,9:33.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by B. Bogdanović),88,104
4,9:07.0,D. Hamilton makes 2-pt jump shot from 20 ft,,90,104
4,8:53.0,,C. Joseph misses 2-pt jump shot from 6 ft,90,104
4,8:52.0,Defensive rebound by J. Collins,,90,104
4,8:40.0,J. Collins misses 3-pt jump shot from 25 ft,,90,104
4,8:35.0,,Defensive rebound by C. Joseph,90,104
4,8:31.0,,Shooting foul by J. Lin (drawn by T. Evans),90,104
4,8:31.0,,T. Evans misses free throw 1 of 2,90,104
4,8:31.0,,Offensive rebound by Team,90,104
4,8:31.0,T. Young enters the game for J. Lin,,90,104
4,8:31.0,,V. Oladipo enters the game for B. Bogdanović,90,104
4,8:31.0,,T. Evans makes free throw 2 of 2,90,105
4,8:15.0,Shooting foul by T. Evans (drawn by J. Collins),,90,105
4,8:15.0,J. Collins makes free throw 1 of 2,,91,105
4,8:15.0,J. Collins makes free throw 2 of 2,,92,105
4,8:01.0,,D. Sabonis misses 2-pt layup from 2 ft,92,105
4,7:59.0,Defensive rebound by J. Collins,,92,105
4,7:53.0,A. Len misses 2-pt layup from 1 ft (block by C. Joseph),,92,105
4,7:53.0,Offensive rebound by Team,,92,105
4,7:53.0,D. Bembry enters the game for D. Hamilton,,92,105
4,7:50.0,A. Len misses 2-pt layup from 2 ft,,92,105
4,7:48.0,Offensive rebound by A. Len,,92,105
4,7:48.0,A. Len makes 2-pt layup from 1 ft,,94,105
4,7:31.0,,D. Sabonis misses 2-pt jump shot from 14 ft (block by A. Len),94,105
4,7:28.0,,Offensive rebound by D. Sabonis,94,105
4,7:22.0,,T. Evans misses 2-pt hook shot from 7 ft,94,105
4,7:19.0,Defensive rebound by J. Collins,,94,105
4,7:11.0,Shooting foul by T. Young (drawn by A. Len),,94,105
4,7:11.0,A. Len misses free throw 1 of 2,,94,105
4,7:11.0,Offensive rebound by Team,,94,105
4,7:11.0,V. Carter enters the game for J. Collins,,94,105
4,7:11.0,A. Len misses free throw 2 of 2,,94,105
4,7:09.0,,Defensive rebound by D. Sabonis,94,105
