QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
1,7:13.0,K. Kuzma misses 3-pt jump shot from 27 ft,,10,14
1,7:09.0,,Defensive rebound by R. Gobert,10,14
1,7:00.0,,J. Ingles misses 3-pt jump shot from 24 ft,10,14
1,6:57.0,Defensive rebound by L. Stephenson,,10,14
1,6:45.0,J. McGee misses 2-pt hook shot from 8 ft,,10,14
1,6:42.0,,Defensive rebound by R. Gobert,10,14
1,6:39.0,,Personal foul by L. Stephenson (drawn by J. Ingles),10,14
1,6:39.0,,Utah full timeout,10,14
1,6:39.0,A. Caruso enters the game for J. McGee,,10,14
1,6:39.0,J. Williams enters the game for L. Stephenson,,10,14
1,6:39.0,,J. Crowder enters the game for D. Favors,10,14
1,6:39.0,,R. O'Neale enters the game for J. Ingles,10,14
1,6:39.0,Violation by Team (delay of game),,10,14
1,6:31.0,,R. Rubio makes 2-pt layup from 2 ft,10,16
1,6:04.0,J. Williams misses 2-pt hook shot from 4 ft,,10,16
1,6:03.0,,Defensive rebound by R. Rubio,10,16
1,5:55.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by R. Rubio),10,18
1,5:41.0,R. Rondo misses 2-pt jump shot from 16 ft,,10,18
1,5:38.0,,Defensive rebound by J. Crowder,10,18
1,5:29.0,,Shooting foul by A. Caruso (drawn by R. Rubio),10,18
1,5:29.0,,R. Rubio makes free throw 1 of 2,10,19
1,5:29.0,J. McGee enters the game for J. Williams,,10,19
1,5:29.0,,R. Rubio makes free throw 2 of 2,10,20
1,5:10.0,K. Kuzma makes 2-pt jump shot from 15 ft,,12,20
1,4:47.0,,R. Rubio misses 2-pt jump shot from 11 ft,12,20
1,4:45.0,Defensive rebound by J. McGee,,12,20
1,4:37.0,K. Kuzma misses 3-pt jump shot from 25 ft,,12,20
1,4:35.0,,Defensive rebound by Team,12,20
1,4:35.0,,Personal foul by K. Caldwell-Pope (drawn by D. Mitchell),12,20
1,4:35.0,,K. Korver enters the game for R. Rubio,12,20
1,4:26.0,,D. Mitchell misses 3-pt jump shot from 26 ft,12,20
1,4:23.0,Defensive rebound by R. Rondo,,12,20
1,4:17.0,A. Caruso makes 3-pt jump shot from 24 ft (assist by R. Rondo),,15,20
1,4:05.0,,K. Korver misses 3-pt jump shot from 25 ft,15,20
1,4:02.0,Defensive rebound by R. Rondo,,15,20
1,3:56.0,R. Rondo makes 3-pt jump shot from 27 ft,,18,20
1,3:40.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by K. Korver),18,23
1,3:26.0,J. McGee misses 2-pt hook shot from 5 ft,,18,23
1,3:24.0,,Defensive rebound by K. Korver,18,23
1,3:15.0,,Shooting foul by J. McGee (drawn by R. Gobert),18,23
1,3:15.0,,R. Gobert makes free throw 1 of 2,18,24
1,3:15.0,LA Lakers full timeout,,18,24
1,3:15.0,,J. Ingles enters the game for D. Mitchell,18,24
1,3:15.0,,R. Neto enters the game for R. O'Neale,18,24
1,3:15.0,,R. Gobert makes free throw 2 of 2,18,25
1,2:58.0,R. Rondo misses 2-pt layup from 6 ft,,18,25
1,2:55.0,Offensive rebound by J. McGee,,18,25
1,2:55.0,J. McGee misses 2-pt layup at rim,,18,25
1,2:54.0,,Defensive rebound by K. Korver,18,25
1,2:38.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),18,27
1,2:31.0,K. Kuzma misses 2-pt layup from 4 ft,,18,27
1,2:29.0,Offensive rebound by J. McGee,,18,27
1,2:29.0,J. McGee makes 2-pt dunk at rim,,20,27
1,2:20.0,,R. Neto misses 2-pt layup from 3 ft (block by K. Kuzma),20,27
1,2:20.0,,Offensive rebound by Team,20,27
1,2:20.0,I. Bonga enters the game for K. Caldwell-Pope,,20,27
1,2:20.0,L. Stephenson enters the game for R. Rondo,,20,27
1,2:20.0,,D. Favors enters the game for R. Gobert,20,27
1,2:18.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by J. Ingles),20,30
1,1:59.0,K. Kuzma makes 2-pt jump shot from 7 ft (assist by L. Stephenson),,22,30
1,1:45.0,,K. Korver misses 3-pt jump shot from 29 ft,22,30
1,1:42.0,Defensive rebound by I. Bonga,,22,30
1,1:35.0,I. Bonga misses 3-pt jump shot from 24 ft,,22,30
1,1:33.0,,Defensive rebound by J. Ingles,22,30
1,1:25.0,,J. Ingles misses 2-pt jump shot from 11 ft,22,30
1,1:21.0,,Offensive rebound by D. Favors,22,30
1,1:19.0,,Turnover by D. Favors (lost ball; steal by L. Stephenson),22,30
1,1:11.0,L. Stephenson misses 2-pt layup from 3 ft (block by R. Neto),,22,30
1,1:09.0,,Defensive rebound by R. Neto,22,30
1,1:02.0,,Turnover by J. Crowder (lost ball; steal by A. Caruso),22,30
1,0:53.0,A. Caruso misses 2-pt jump shot from 21 ft,,22,30
1,0:50.0,,Defensive rebound by K. Korver,22,30
1,0:33.0,,J. Crowder misses 3-pt jump shot from 22 ft,22,30
1,0:31.0,,Offensive rebound by D. Favors,22,30
1,0:31.0,,D. Favors makes 2-pt layup from 1 ft,22,32
1,0:20.0,K. Kuzma misses 2-pt jump shot from 4 ft,,22,32
1,0:19.0,,Defensive rebound by J. Ingles,22,32
1,0:15.0,,K. Korver misses 3-pt jump shot from 24 ft,22,32
1,0:11.0,Defensive rebound by I. Bonga,,22,32
1,0:01.0,Personal foul by J. Ingles (drawn by K. Kuzma),,22,32
1,0:00.0,A. Caruso makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,25,32
2,11:47.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),25,34
2,11:47.0,,Shooting foul by I. Bonga (drawn by D. Favors),25,34
2,11:47.0,,D. Favors misses free throw 1 of 1,25,34
2,11:46.0,Defensive rebound by I. Bonga,,25,34
2,11:37.0,Personal foul by J. Ingles (drawn by L. Stephenson),,25,34
2,11:24.0,I. Bonga makes 2-pt jump shot from 6 ft,,27,34
2,11:11.0,,R. Neto makes 2-pt layup from 2 ft (assist by J. Ingles),27,36
2,11:00.0,J. Williams misses 2-pt jump shot from 9 ft,,27,36
2,10:56.0,Offensive rebound by M. Wagner,,27,36
2,10:56.0,M. Wagner makes 2-pt layup at rim,,29,36
2,10:43.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Neto),29,38
2,10:23.0,L. Stephenson makes 2-pt jump shot from 17 ft,,31,38
2,10:11.0,,Shooting foul by A. Caruso (drawn by D. Favors),31,38
2,10:11.0,,D. Favors misses free throw 1 of 2,31,38
2,10:11.0,,Offensive rebound by Team,31,38
2,10:11.0,S. Machado enters the game for I. Bonga,,31,38
2,10:11.0,,D. Favors makes free throw 2 of 2,31,39
2,9:57.0,A. Caruso makes 2-pt layup from 2 ft,,33,39
2,9:39.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Neto),33,42
2,9:25.0,M. Wagner makes 2-pt layup from 3 ft (assist by L. Stephenson),,35,42
2,9:25.0,Shooting foul by D. Favors (drawn by M. Wagner),,35,42
2,9:25.0,,T. Sefolosha enters the game for J. Crowder,35,42
2,9:25.0,M. Wagner makes free throw 1 of 1,,36,42
2,9:04.0,,Turnover by R. Neto (lost ball; steal by J. Williams),36,42
2,8:56.0,L. Stephenson misses 2-pt jump shot from 20 ft,,36,42
2,8:54.0,,Defensive rebound by J. Ingles,36,42
2,8:48.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,36,42
2,8:45.0,Defensive rebound by J. Williams,,36,42
2,8:26.0,Turnover by M. Wagner (bad pass; steal by D. Favors),,36,42
2,8:20.0,,T. Sefolosha makes 2-pt layup from 2 ft (assist by J. Ingles),36,44
2,8:20.0,LA Lakers full timeout,,36,44
2,8:20.0,,D. Mitchell enters the game for J. Ingles,36,44
2,8:20.0,,R. O'Neale enters the game for K. Korver,36,44
2,8:09.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by A. Caruso),,39,44
2,7:47.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,39,44
2,7:44.0,Defensive rebound by J. Williams,,39,44
2,7:35.0,Shooting foul by R. O'Neale (drawn by J. Williams),,39,44
2,7:35.0,J. Williams makes free throw 1 of 2,,40,44
2,7:35.0,,R. Gobert enters the game for D. Favors,40,44
2,7:35.0,,R. Rubio enters the game for R. Neto,40,44
2,7:35.0,J. Williams misses free throw 2 of 2,,40,44
2,7:34.0,,Defensive rebound by R. O'Neale,40,44
2,7:21.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Mitchell),40,46
2,7:05.0,A. Caruso misses 2-pt jump shot from 10 ft,,40,46
2,7:03.0,,Defensive rebound by T. Sefolosha,40,46
2,6:50.0,,Turnover by D. Mitchell (bad pass),40,46
2,6:50.0,K. Kuzma enters the game for A. Caruso,,40,46
2,6:50.0,J. McGee enters the game for S. Machado,,40,46
2,6:50.0,R. Rondo enters the game for J. Williams,,40,46
2,6:39.0,L. Stephenson misses 2-pt jump shot from 14 ft,,40,46
2,6:35.0,,Defensive rebound by T. Sefolosha,40,46
2,6:29.0,,D. Mitchell misses 3-pt jump shot from 25 ft,40,46
2,6:26.0,Defensive rebound by L. Stephenson,,40,46
2,6:04.0,J. McGee misses 2-pt hook shot from 10 ft,,40,46
2,6:01.0,,Defensive rebound by R. O'Neale,40,46
2,5:51.0,,R. Rubio misses 2-pt layup from 2 ft,40,46
2,5:48.0,,Offensive rebound by R. Gobert,40,46
2,5:48.0,,R. Gobert misses 2-pt layup from 1 ft,40,46
2,5:48.0,Defensive rebound by Team,,40,46
2,5:40.0,K. Kuzma misses 2-pt jump shot from 12 ft,,40,46
2,5:39.0,,Defensive rebound by Team,40,46
2,5:39.0,K. Caldwell-Pope enters the game for L. Stephenson,,40,46
2,5:25.0,,D. Mitchell misses 2-pt jump shot from 7 ft,40,46
2,5:23.0,Defensive rebound by J. McGee,,40,46
2,5:01.0,R. Rondo misses 2-pt jump shot from 15 ft,,40,46
2,5:01.0,Offensive rebound by Team,,40,46
2,5:01.0,Turnover by Team (shot clock),,40,46
2,4:49.0,,R. Rubio misses 3-pt jump shot from 26 ft,40,46
2,4:47.0,Defensive rebound by M. Wagner,,40,46
2,4:31.0,M. Wagner misses 2-pt layup from 3 ft (block by R. Gobert),,40,46
2,4:29.0,,Defensive rebound by D. Mitchell,40,46
2,4:25.0,,T. Sefolosha makes 3-pt jump shot from 26 ft (assist by D. Mitchell),40,49
2,4:23.0,LA Lakers full timeout,,40,49
2,4:23.0,,J. Crowder enters the game for R. O'Neale,40,49
2,4:23.0,,J. Ingles enters the game for T. Sefolosha,40,49
2,4:07.0,J. McGee misses 2-pt jump shot from 17 ft,,40,49
2,4:03.0,,Defensive rebound by R. Rubio,40,49
2,3:56.0,,J. Crowder misses 3-pt jump shot from 25 ft,40,49
2,3:54.0,Defensive rebound by J. McGee,,40,49
2,3:47.0,R. Rondo misses 2-pt jump shot from 17 ft,,40,49
2,3:47.0,,Defensive rebound by R. Gobert,40,49
2,3:29.0,,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),40,51
2,3:24.0,Shooting foul by D. Mitchell (drawn by K. Kuzma),,40,51
2,3:24.0,K. Kuzma makes free throw 1 of 2,,41,51
2,3:24.0,K. Kuzma makes free throw 2 of 2,,42,51
2,3:10.0,,J. Crowder misses 3-pt jump shot from 23 ft,42,51
2,3:07.0,Defensive rebound by K. Caldwell-Pope,,42,51
2,2:48.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Rondo),,45,51
2,2:31.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Ingles),45,53
2,2:13.0,K. Kuzma makes 2-pt jump shot from 21 ft,,47,53
2,2:03.0,,Personal foul by M. Wagner (drawn by J. Ingles),47,53
2,2:03.0,,Technical foul by J. Ingles,47,53
2,2:03.0,K. Caldwell-Pope makes technical free throw,,48,53
2,2:03.0,,Utah full timeout,48,53
2,2:03.0,L. Stephenson enters the game for M. Wagner,,48,53
2,2:00.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Crowder),48,56
2,1:43.0,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,,48,56
2,1:41.0,,Defensive rebound by J. Ingles,48,56
2,1:34.0,,J. Ingles makes 2-pt layup from 4 ft,48,58
2,1:11.0,L. Stephenson misses 3-pt jump shot from 23 ft,,48,58
2,1:08.0,Offensive rebound by J. McGee,,48,58
2,1:07.0,L. Stephenson makes 3-pt jump shot from 24 ft (assist by J. McGee),,51,58
2,0:50.0,,Turnover by J. Ingles (bad pass; steal by R. Rondo),51,58
2,0:47.0,Shooting foul by R. Rubio (drawn by L. Stephenson),,51,58
2,0:47.0,L. Stephenson makes free throw 1 of 2,,52,58
2,0:47.0,L. Stephenson makes free throw 2 of 2,,53,58
2,0:36.0,,J. Ingles misses 3-pt jump shot from 24 ft,53,58
2,0:32.0,Defensive rebound by R. Rondo,,53,58
2,0:25.0,K. Kuzma misses 3-pt jump shot from 25 ft,,53,58
2,0:23.0,,Defensive rebound by J. Crowder,53,58
2,0:04.0,,D. Mitchell makes 2-pt dunk from 2 ft,53,60
2,0:00.0,R. Rondo misses 2-pt jump shot from 13 ft,,53,60
2,0:00.0,Offensive rebound by Team,,53,60
3,11:47.0,,R. Rubio misses 3-pt jump shot from 25 ft,53,60
3,11:45.0,Defensive rebound by Team,,53,60
3,11:45.0,,Loose ball foul by R. Gobert (drawn by K. Kuzma),53,60
3,11:25.0,R. Rondo misses 3-pt jump shot from 26 ft,,53,60
3,11:22.0,,Defensive rebound by D. Mitchell,53,60
3,11:18.0,,D. Mitchell misses 2-pt jump shot from 9 ft,53,60
3,11:14.0,Defensive rebound by J. McGee,,53,60
3,10:58.0,K. Kuzma misses 3-pt jump shot from 25 ft,,53,60
3,10:57.0,,Defensive rebound by Team,53,60
3,10:42.0,,Shooting foul by K. Kuzma (drawn by D. Favors),53,60
3,10:42.0,,Technical foul by L. Walton,53,60
3,10:42.0,,R. Rubio misses technical free throw,53,60
3,10:42.0,,Offensive rebound by Team,53,60
3,10:42.0,,D. Favors misses free throw 1 of 2,53,60
3,10:42.0,,Offensive rebound by Team,53,60
3,10:42.0,,D. Favors makes free throw 2 of 2,53,61
3,10:33.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,53,61
3,10:32.0,,Defensive rebound by D. Mitchell,53,61
3,10:31.0,,Shooting foul by K. Caldwell-Pope (drawn by D. Mitchell),53,61
3,10:31.0,,D. Mitchell makes free throw 1 of 2,53,62
3,10:31.0,,D. Mitchell makes free throw 2 of 2,53,63
3,10:18.0,R. Rondo misses 3-pt jump shot from 25 ft,,53,63
3,10:15.0,,Defensive rebound by D. Mitchell,53,63
3,10:11.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),53,65
3,9:48.0,J. McGee misses 2-pt hook shot from 7 ft,,53,65
3,9:47.0,,Defensive rebound by D. Favors,53,65
3,9:38.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),53,67
3,9:38.0,LA Lakers full timeout,,53,67
3,9:28.0,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by R. Rondo),,55,67
3,9:13.0,,R. Gobert misses 2-pt dunk from 3 ft (block by K. Kuzma),55,67
3,9:10.0,,Offensive rebound by D. Favors,55,67
3,9:09.0,,D. Favors makes 2-pt layup from 2 ft,55,69
3,8:56.0,K. Kuzma misses 2-pt layup from 3 ft,,55,69
3,8:54.0,,Defensive rebound by R. Rubio,55,69
3,8:47.0,,D. Mitchell misses 3-pt jump shot from 25 ft,55,69
3,8:45.0,Defensive rebound by J. McGee,,55,69
3,8:37.0,L. Stephenson makes 2-pt jump shot from 16 ft,,57,69
3,8:18.0,,D. Favors misses 2-pt jump shot from 17 ft,57,69
3,8:14.0,Defensive rebound by J. McGee,,57,69
3,8:06.0,J. McGee makes 2-pt hook shot from 10 ft (assist by L. Stephenson),,59,69
3,7:44.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),59,71
3,7:30.0,Turnover by R. Rondo (bad pass; steal by R. Gobert),,59,71
3,7:24.0,,Shooting foul by J. McGee (drawn by R. Rubio),59,71
3,7:24.0,,R. Rubio makes free throw 1 of 2,59,72
3,7:24.0,,R. Rubio makes free throw 2 of 2,59,73
3,7:16.0,Shooting foul by R. Gobert (drawn by L. Stephenson),,59,73
3,7:16.0,L. Stephenson makes free throw 1 of 2,,60,73
3,7:16.0,,J. Crowder enters the game for D. Favors,60,73
3,7:16.0,,R. O'Neale enters the game for J. Ingles,60,73
3,7:16.0,L. Stephenson misses free throw 2 of 2,,60,73
3,7:14.0,,Defensive rebound by J. Crowder,60,73
3,7:05.0,,D. Mitchell misses 3-pt jump shot from 25 ft,60,73
3,7:02.0,Defensive rebound by J. McGee,,60,73
3,6:49.0,J. McGee makes 2-pt jump shot from 10 ft (assist by R. Rondo),,62,73
3,6:38.0,,Shooting foul by L. Stephenson (drawn by D. Mitchell),62,73
3,6:38.0,,D. Mitchell makes free throw 1 of 2,62,74
3,6:38.0,,D. Mitchell makes free throw 2 of 2,62,75
3,6:20.0,R. Rondo misses 2-pt layup from 4 ft (block by R. Gobert),,62,75
3,6:18.0,,Defensive rebound by R. Rubio,62,75
3,6:15.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by R. Rubio),62,77
3,5:56.0,K. Kuzma misses 3-pt jump shot from 24 ft (block by R. Gobert),,62,77
3,5:53.0,,Defensive rebound by R. Gobert,62,77
3,5:53.0,,Personal foul by J. McGee (drawn by J. Crowder),62,77
3,5:53.0,,Technical foul by J. Crowder,62,77
3,5:53.0,K. Caldwell-Pope makes technical free throw,,63,77
3,5:53.0,A. Caruso enters the game for R. Rondo,,63,77
3,5:53.0,,J. Crowder makes free throw 1 of 2,63,78
3,5:53.0,,J. Crowder makes free throw 2 of 2,63,79
3,5:46.0,Turnover by A. Caruso (bad pass; steal by J. Crowder),,63,79
3,5:41.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Crowder),63,81
3,5:20.0,A. Caruso misses 3-pt jump shot from 24 ft,,63,81
3,5:17.0,,Defensive rebound by R. Gobert,63,81
3,5:11.0,,Turnover by D. Mitchell (out of bounds lost ball),63,81
3,4:51.0,L. Stephenson misses 2-pt layup from 3 ft,,63,81
3,4:50.0,,Defensive rebound by J. Crowder,63,81
3,4:40.0,,J. Crowder misses 3-pt jump shot from 26 ft,63,81
3,4:37.0,Defensive rebound by K. Caldwell-Pope,,63,81
3,4:31.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,63,81
3,4:28.0,,Defensive rebound by R. Gobert,63,81
3,4:24.0,,Turnover by J. Crowder (lost ball; steal by K. Caldwell-Pope),63,81
3,4:10.0,J. McGee misses 2-pt jump shot from 18 ft,,63,81
3,4:08.0,,Defensive rebound by R. Rubio,63,81
3,4:03.0,,Shooting foul by A. Caruso (drawn by R. Gobert),63,81
3,4:03.0,,R. Gobert makes free throw 1 of 2,63,82
3,4:03.0,J. Williams enters the game for J. McGee,,63,82
3,4:03.0,,K. Korver enters the game for R. Rubio,63,82
3,4:03.0,,R. Gobert makes free throw 2 of 2,63,83
3,3:46.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,,63,83
3,3:43.0,Offensive rebound by J. Williams,,63,83
3,3:41.0,L. Stephenson misses 3-pt jump shot from 24 ft,,63,83
3,3:39.0,,Defensive rebound by K. Korver,63,83
3,3:23.0,,Turnover by R. O'Neale (bad pass; steal by L. Stephenson),63,83
3,3:17.0,Shooting foul by R. Gobert (drawn by A. Caruso),,63,83
3,3:17.0,,Utah full timeout,63,83
3,3:17.0,R. Rondo enters the game for K. Caldwell-Pope,,63,83
3,3:17.0,M. Wagner enters the game for L. Stephenson,,63,83
3,3:17.0,,D. Favors enters the game for R. Gobert,63,83
3,3:17.0,A. Caruso misses free throw 1 of 2,,63,83
3,3:17.0,Offensive rebound by Team,,63,83
3,3:17.0,A. Caruso makes free throw 2 of 2,,64,83
3,2:53.0,,R. O'Neale misses 3-pt jump shot from 25 ft,64,83
3,2:49.0,Defensive rebound by K. Kuzma,,64,83
3,2:28.0,K. Kuzma makes 2-pt jump shot from 16 ft,,66,83
3,2:10.0,,R. O'Neale misses 3-pt jump shot from 23 ft,66,83
3,2:08.0,Defensive rebound by K. Kuzma,,66,83
3,1:57.0,K. Kuzma makes 2-pt jump shot from 11 ft,,68,83
3,1:46.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by K. Korver),68,85
3,1:32.0,Shooting foul by D. Favors (drawn by J. Williams),,68,85
3,1:32.0,J. Williams misses free throw 1 of 2,,68,85
3,1:32.0,Offensive rebound by Team,,68,85
3,1:32.0,,J. Ingles enters the game for D. Mitchell,68,85
3,1:32.0,,R. Neto enters the game for R. O'Neale,68,85
3,1:32.0,J. Williams misses free throw 2 of 2,,68,85
3,1:31.0,,Defensive rebound by J. Crowder,68,85
3,1:19.0,,Turnover by J. Ingles (bad pass; steal by J. Williams),68,85
3,1:04.0,M. Wagner misses 3-pt jump shot from 27 ft,,68,85
3,1:01.0,,Defensive rebound by K. Korver,68,85
3,0:48.0,,D. Favors misses 2-pt hook shot from 6 ft,68,85
3,0:46.0,Defensive rebound by M. Wagner,,68,85
3,0:33.0,Shooting foul by D. Favors (drawn by M. Wagner),,68,85
3,0:33.0,M. Wagner makes free throw 1 of 2,,69,85
3,0:33.0,,E. Udoh enters the game for D. Favors,69,85
3,0:33.0,M. Wagner makes free throw 2 of 2,,70,85
3,0:21.0,,R. Neto makes 2-pt layup from 1 ft,70,87
3,0:05.0,Personal foul by R. Neto (drawn by K. Kuzma),,70,87
3,0:05.0,K. Kuzma misses free throw 1 of 2,,70,87
3,0:05.0,Offensive rebound by Team,,70,87
3,0:05.0,I. Bonga enters the game for M. Wagner,,70,87
3,0:05.0,K. Kuzma makes free throw 2 of 2,,71,87
3,0:00.0,,Turnover by R. Neto (bad pass; steal by I. Bonga),71,87
4,11:48.0,A. Caruso makes 2-pt dunk from 1 ft (assist by S. Machado),,73,87
4,11:33.0,,Personal foul by A. Caruso (drawn by D. Favors),73,87
4,11:27.0,,Personal foul by L. Stephenson (drawn by D. Favors),73,87
4,11:22.0,,J. Crowder misses 2-pt layup from 2 ft (block by M. Wagner),73,87
4,11:21.0,,Offensive rebound by J. Crowder,73,87
4,11:21.0,,Shooting foul by S. Machado (drawn by J. Crowder),73,87
4,11:21.0,,J. Crowder makes free throw 1 of 2,73,88
4,11:21.0,,J. Crowder makes free throw 2 of 2,73,89
4,11:06.0,J. Williams makes 2-pt dunk from 2 ft (assist by A. Caruso),,75,89
4,10:44.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by J. Ingles),75,92
4,10:30.0,J. Williams misses 2-pt hook shot from 10 ft,,75,92
4,10:28.0,,Defensive rebound by D. Favors,75,92
4,10:22.0,,J. Ingles misses 3-pt jump shot from 25 ft,75,92
4,10:19.0,Defensive rebound by J. Williams,,75,92
4,10:12.0,J. Williams makes 2-pt layup from 3 ft (assist by A. Caruso),,77,92
4,10:01.0,,Shooting foul by A. Caruso (drawn by J. Crowder),77,92
4,10:01.0,,J. Crowder makes free throw 1 of 2,77,93
4,10:01.0,,J. Crowder misses free throw 2 of 2,77,93
4,9:58.0,Defensive rebound by Team,,77,93
4,9:50.0,S. Machado makes 2-pt layup from 2 ft,,79,93
4,9:43.0,,Utah full timeout,79,93
4,9:43.0,,R. O'Neale enters the game for K. Korver,79,93
4,9:37.0,,Shooting foul by S. Machado (drawn by D. Favors),79,93
4,9:37.0,,D. Favors misses free throw 1 of 2,79,93
4,9:37.0,,Offensive rebound by Team,79,93
4,9:37.0,,D. Mitchell enters the game for J. Crowder,79,93
4,9:37.0,,T. Sefolosha enters the game for R. Neto,79,93
4,9:37.0,,D. Favors misses free throw 2 of 2,79,93
4,9:35.0,Defensive rebound by A. Caruso,,79,93
4,9:22.0,J. Williams misses 2-pt jump shot from 9 ft (block by D. Favors),,79,93
4,9:19.0,,Defensive rebound by T. Sefolosha,79,93
4,9:03.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),79,95
4,8:53.0,A. Caruso misses 2-pt jump shot from 14 ft,,79,95
4,8:51.0,Offensive rebound by J. Williams,,79,95
4,8:44.0,Personal foul by R. O'Neale (drawn by L. Stephenson),,79,95
4,8:37.0,J. Williams makes 2-pt dunk from 2 ft (assist by S. Machado),,81,95
4,8:16.0,,Personal foul by M. Wagner (drawn by T. Sefolosha),81,95
4,8:16.0,,T. Sefolosha makes free throw 1 of 2,81,96
4,8:16.0,,R. Gobert enters the game for D. Favors,81,96
4,8:16.0,,T. Sefolosha makes free throw 2 of 2,81,97
4,8:10.0,M. Wagner misses 3-pt jump shot from 25 ft,,81,97
4,8:07.0,,Defensive rebound by J. Ingles,81,97
4,7:51.0,,R. O'Neale makes 2-pt layup from 1 ft (assist by J. Ingles),81,99
4,7:36.0,Shooting foul by R. O'Neale (drawn by J. Williams),,81,99
4,7:36.0,J. Williams misses free throw 1 of 2,,81,99
4,7:36.0,Offensive rebound by Team,,81,99
