QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
1,4:48.0,R. Rondo enters the game for B. Ingram,,22,21
1,4:48.0,,J. Noah enters the game for M. Conley,22,21
1,4:48.0,,C. Parsons enters the game for J. Holiday,22,21
1,4:48.0,,D. Wright enters the game for J. Valančiūnas,22,21
1,4:33.0,L. James misses 2-pt jump shot from 12 ft,,22,21
1,4:31.0,,Defensive rebound by C. Parsons,22,21
1,4:17.0,,Turnover by A. Bradley (out of bounds lost ball),22,21
1,3:57.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),,25,21
1,3:39.0,,J. Noah misses 2-pt layup from 1 ft,25,21
1,3:38.0,Defensive rebound by Team,,25,21
1,3:38.0,,B. Caboclo enters the game for I. Rabb,25,21
1,3:23.0,LA Lakers full timeout,,25,21
1,3:21.0,R. Bullock misses 3-pt jump shot from 26 ft,,25,21
1,3:17.0,,Defensive rebound by B. Caboclo,25,21
1,2:58.0,,D. Wright makes 3-pt jump shot from 26 ft,25,24
1,2:42.0,L. James makes 2-pt jump shot from 13 ft,,27,24
1,2:28.0,,A. Bradley misses 2-pt jump shot from 15 ft,27,24
1,2:25.0,Defensive rebound by R. Rondo,,27,24
1,2:25.0,K. Caldwell-Pope enters the game for R. Bullock,,27,24
1,2:25.0,J. Hart enters the game for K. Kuzma,,27,24
1,2:03.0,L. James misses 2-pt jump shot from 20 ft,,27,24
1,1:59.0,,Defensive rebound by D. Wright,27,24
1,1:56.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by D. Wright),27,27
1,1:56.0,B. Ingram enters the game for L. James,,27,27
1,1:48.0,Personal foul by J. Noah (drawn by T. Chandler),,27,27
1,1:44.0,R. Rondo misses 2-pt layup from 2 ft (block by J. Noah),,27,27
1,1:40.0,,Defensive rebound by B. Caboclo,27,27
1,1:36.0,,C. Parsons makes 2-pt jump shot from 8 ft (assist by B. Caboclo),27,29
1,1:08.0,R. Rondo makes 2-pt layup at rim,,29,29
1,0:51.0,,Shooting foul by J. Hart (drawn by J. Noah),29,29
1,0:51.0,,J. Noah makes free throw 1 of 2,29,30
1,0:51.0,,J. Holiday enters the game for A. Bradley,29,30
1,0:51.0,,J. Noah makes free throw 2 of 2,29,31
1,0:39.0,Turnover by R. Rondo (bad pass; steal by B. Caboclo),,29,31
1,0:32.0,,J. Holiday misses 3-pt jump shot from 23 ft,29,31
1,0:29.0,Defensive rebound by B. Ingram,,29,31
1,0:26.0,Offensive foul by R. Rondo (drawn by D. Wright),,29,31
1,0:26.0,Turnover by R. Rondo (offensive foul),,29,31
1,0:26.0,L. Stephenson enters the game for T. Chandler,,29,31
1,0:26.0,,M. Conley enters the game for J. Noah,29,31
1,0:08.0,,M. Conley makes 3-pt jump shot from 26 ft,29,34
1,0:01.0,B. Ingram makes 2-pt jump shot from 13 ft,,31,34
2,11:48.0,,D. Wright makes 2-pt layup from 1 ft (assist by C. Parsons),31,36
2,11:28.0,K. Caldwell-Pope makes 2-pt jump shot from 21 ft (assist by B. Ingram),,33,36
2,11:18.0,,J. Noah makes 2-pt dunk at rim,33,38
2,11:06.0,Turnover by B. Ingram (bad pass; steal by C. Parsons),,33,38
2,10:55.0,,C. Parsons misses 3-pt jump shot from 24 ft,33,38
2,10:52.0,Defensive rebound by K. Caldwell-Pope,,33,38
2,10:46.0,M. Muscala misses 3-pt jump shot from 25 ft,,33,38
2,10:42.0,,Defensive rebound by J. Noah,33,38
2,10:29.0,,C. Parsons misses 2-pt jump shot from 13 ft,33,38
2,10:28.0,,Offensive rebound by J. Noah,33,38
2,10:28.0,,J. Noah makes 2-pt dunk at rim,33,40
2,10:28.0,LA Lakers full timeout,,33,40
2,10:28.0,K. Kuzma enters the game for J. McGee,,33,40
2,10:07.0,K. Kuzma makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,35,40
2,9:50.0,,C. Parsons misses 3-pt jump shot from 24 ft,35,40
2,9:45.0,Defensive rebound by K. Caldwell-Pope,,35,40
2,9:31.0,K. Kuzma misses 3-pt jump shot from 26 ft,,35,40
2,9:30.0,,Defensive rebound by Team,35,40
2,9:24.0,,Turnover by D. Wright (bad pass; steal by K. Caldwell-Pope),35,40
2,9:22.0,K. Kuzma misses 2-pt layup from 1 ft,,35,40
2,9:19.0,,Defensive rebound by B. Caboclo,35,40
2,9:14.0,,C. Parsons misses 2-pt jump shot from 20 ft,35,40
2,9:11.0,Defensive rebound by B. Ingram,,35,40
2,9:06.0,Shooting foul by J. Noah (drawn by B. Ingram),,35,40
2,9:06.0,B. Ingram makes free throw 1 of 3,,36,40
2,9:06.0,B. Ingram makes free throw 2 of 3,,37,40
2,9:06.0,,M. Conley enters the game for C. Parsons,37,40
2,9:06.0,B. Ingram makes free throw 3 of 3,,38,40
2,9:00.0,,Personal foul by K. Caldwell-Pope (drawn by M. Conley),38,40
2,8:53.0,,M. Conley misses 2-pt jump shot from 17 ft,38,40
2,8:51.0,,Offensive rebound by M. Conley,38,40
2,8:48.0,,B. Caboclo misses 3-pt jump shot from 23 ft,38,40
2,8:44.0,Defensive rebound by K. Kuzma,,38,40
2,8:40.0,B. Ingram misses 2-pt layup from 1 ft,,38,40
2,8:36.0,,Defensive rebound by J. Noah,38,40
2,8:34.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Noah),38,42
2,8:07.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Ingram),,41,42
2,7:55.0,,Shooting foul by K. Kuzma (drawn by D. Wright),41,42
2,7:55.0,,D. Wright makes free throw 1 of 2,41,43
2,7:55.0,L. James enters the game for R. Rondo,,41,43
2,7:55.0,,D. Wright makes free throw 2 of 2,41,44
2,7:43.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Wright),,41,44
2,7:40.0,,D. Wright misses 3-pt jump shot from 27 ft,41,44
2,7:37.0,Defensive rebound by K. Kuzma,,41,44
2,7:31.0,M. Muscala makes 3-pt jump shot from 28 ft (assist by L. James),,44,44
2,7:13.0,,J. Noah makes 2-pt dunk from 1 ft (assist by J. Holiday),44,46
2,6:53.0,K. Kuzma misses 2-pt jump shot from 7 ft,,44,46
2,6:50.0,,Defensive rebound by J. Noah,44,46
2,6:46.0,,M. Conley makes 2-pt jump shot from 13 ft,44,48
2,6:46.0,,Shooting foul by K. Kuzma (drawn by M. Conley),44,48
2,6:46.0,R. Bullock enters the game for K. Kuzma,,44,48
2,6:46.0,,A. Bradley enters the game for B. Caboclo,44,48
2,6:46.0,,I. Rabb enters the game for J. Holiday,44,48
2,6:46.0,,M. Conley makes free throw 1 of 1,44,49
2,6:23.0,L. James misses 2-pt jump shot from 21 ft,,44,49
2,6:20.0,,Defensive rebound by A. Bradley,44,49
2,6:16.0,,A. Bradley misses 3-pt jump shot from 26 ft,44,49
2,6:12.0,Defensive rebound by M. Muscala,,44,49
2,6:09.0,B. Ingram makes 2-pt layup from 1 ft (assist by R. Bullock),,46,49
2,6:09.0,Shooting foul by D. Wright (drawn by B. Ingram),,46,49
2,6:09.0,J. Hart enters the game for K. Caldwell-Pope,,46,49
2,6:09.0,,J. Valančiūnas enters the game for J. Noah,46,49
2,6:09.0,B. Ingram makes free throw 1 of 1,,47,49
2,5:51.0,,M. Conley misses 3-pt jump shot from 27 ft,47,49
2,5:47.0,Defensive rebound by B. Ingram,,47,49
2,5:32.0,R. Bullock misses 3-pt jump shot from 24 ft,,47,49
2,5:28.0,,Defensive rebound by D. Wright,47,49
2,5:23.0,,D. Wright misses 2-pt layup from 2 ft,47,49
2,5:22.0,,Offensive rebound by J. Valančiūnas,47,49
2,5:22.0,,J. Valančiūnas makes 2-pt dunk at rim,47,51
2,5:22.0,LA Lakers full timeout,,47,51
2,5:22.0,T. Chandler enters the game for M. Muscala,,47,51
2,5:08.0,Personal foul by I. Rabb (drawn by B. Ingram),,47,51
2,5:01.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by L. James),,50,51
2,4:44.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,50,53
2,4:31.0,Turnover by R. Bullock (bad pass; steal by J. Valančiūnas),,50,53
2,4:18.0,,D. Wright misses 3-pt jump shot from 25 ft,50,53
2,4:15.0,Defensive rebound by B. Ingram,,50,53
2,4:05.0,R. Bullock misses 3-pt jump shot from 23 ft,,50,53
2,4:02.0,,Defensive rebound by I. Rabb,50,53
2,3:53.0,,Personal foul by J. Hart (drawn by I. Rabb),50,53
2,3:53.0,,J. Holiday enters the game for D. Wright,50,53
2,3:49.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by M. Conley),50,56
2,3:34.0,J. Hart misses 3-pt jump shot from 26 ft,,50,56
2,3:30.0,,Defensive rebound by J. Valančiūnas,50,56
2,3:17.0,,A. Bradley makes 2-pt jump shot from 18 ft,50,58
2,3:02.0,J. Hart misses 2-pt jump shot from 11 ft,,50,58
2,2:58.0,Offensive rebound by J. Hart,,50,58
2,2:53.0,B. Ingram misses 2-pt dunk from 1 ft,,50,58
2,2:51.0,,Defensive rebound by A. Bradley,50,58
2,2:47.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by A. Bradley),50,61
2,2:45.0,LA Lakers full timeout,,50,61
2,2:45.0,L. Stephenson enters the game for J. Hart,,50,61
2,2:27.0,L. James misses 3-pt jump shot from 26 ft,,50,61
2,2:27.0,Offensive rebound by T. Chandler,,50,61
2,2:27.0,Turnover by T. Chandler (step out of bounds),,50,61
2,2:14.0,,A. Bradley misses 2-pt jump shot from 20 ft,50,61
2,2:09.0,Defensive rebound by T. Chandler,,50,61
2,1:55.0,L. James misses 2-pt hook shot from 9 ft,,50,61
2,1:52.0,,Defensive rebound by I. Rabb,50,61
2,1:37.0,,Turnover by I. Rabb (out of bounds lost ball),50,61
2,1:37.0,,D. Wright enters the game for I. Rabb,50,61
2,1:31.0,Personal foul by D. Wright (drawn by L. Stephenson),,50,61
2,1:21.0,R. Bullock misses 3-pt jump shot from 26 ft,,50,61
2,1:19.0,,Defensive rebound by A. Bradley,50,61
2,1:11.0,,Turnover by J. Valančiūnas (out of bounds lost ball),50,61
2,1:05.0,L. James makes 2-pt layup from 1 ft,,52,61
2,1:05.0,Shooting foul by J. Valančiūnas (drawn by L. James),,52,61
2,1:05.0,L. James misses free throw 1 of 1,,52,61
2,1:02.0,,Defensive rebound by J. Valančiūnas,52,61
2,0:51.0,,J. Holiday misses 3-pt jump shot from 25 ft,52,61
2,0:48.0,Defensive rebound by L. Stephenson,,52,61
2,0:45.0,Turnover by L. James (out of bounds lost ball),,52,61
2,0:33.0,,Turnover by M. Conley (bad pass),52,61
2,0:26.0,B. Ingram makes 2-pt jump shot from 10 ft,,54,61
2,0:10.0,,Offensive foul by J. Valančiūnas (drawn by R. Bullock),54,61
2,0:10.0,,Turnover by J. Valančiūnas (offensive foul),54,61
2,0:10.0,M. Muscala enters the game for T. Chandler,,54,61
2,0:10.0,,J. Noah enters the game for J. Valančiūnas,54,61
2,0:01.0,Shooting foul by A. Bradley (drawn by L. James),,54,61
2,0:01.0,L. James makes free throw 1 of 2,,55,61
2,0:01.0,L. James makes free throw 2 of 2,,56,61
3,11:38.0,,J. Valančiūnas misses 2-pt jump shot from 4 ft (block by J. McGee),56,61
3,11:34.0,,Offensive rebound by M. Conley,56,61
3,11:33.0,,M. Conley makes 3-pt jump shot from 28 ft,56,64
3,11:06.0,K. Kuzma makes 2-pt jump shot from 19 ft,,58,64
3,10:55.0,,M. Conley makes 2-pt jump shot from 17 ft,58,66
3,10:37.0,B. Ingram makes 2-pt jump shot from 13 ft,,60,66
3,10:26.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,60,66
3,10:26.0,,Offensive rebound by Team,60,66
3,10:26.0,Loose ball foul by L. James (drawn by I. Rabb),,60,66
3,10:19.0,,A. Bradley misses 3-pt jump shot from 26 ft,60,66
3,10:15.0,Defensive rebound by K. Kuzma,,60,66
3,10:06.0,J. McGee misses 2-pt jump shot from 6 ft,,60,66
3,10:02.0,Offensive rebound by J. McGee,,60,66
3,10:02.0,J. McGee misses 2-pt layup at rim,,60,66
3,10:01.0,,Defensive rebound by J. Valančiūnas,60,66
3,9:58.0,,Personal foul by L. James (drawn by I. Rabb),60,66
3,9:48.0,,M. Conley misses 3-pt jump shot from 25 ft,60,66
3,9:46.0,Defensive rebound by L. James,,60,66
3,9:39.0,L. James misses 2-pt jump shot from 12 ft,,60,66
3,9:35.0,Offensive rebound by L. James,,60,66
3,9:35.0,L. James misses 2-pt layup at rim,,60,66
3,9:35.0,Offensive rebound by J. McGee,,60,66
3,9:34.0,J. McGee makes 2-pt layup at rim,,62,66
3,9:15.0,,I. Rabb makes 2-pt layup from 1 ft,62,68
3,8:59.0,K. Kuzma misses 2-pt layup from 2 ft (block by J. Valančiūnas),,62,68
3,8:59.0,,Defensive rebound by J. Valančiūnas,62,68
3,8:54.0,,Turnover by J. Valančiūnas (lost ball; steal by J. McGee),62,68
3,8:51.0,J. McGee misses 2-pt layup from 3 ft (block by J. Valančiūnas),,62,68
3,8:47.0,,Defensive rebound by I. Rabb,62,68
3,8:46.0,,A. Bradley misses 2-pt layup from 1 ft,62,68
3,8:44.0,Defensive rebound by B. Ingram,,62,68
3,8:39.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,64,68
3,8:27.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by M. Conley),64,71
3,8:12.0,K. Kuzma makes 2-pt jump shot from 10 ft (assist by B. Ingram),,66,71
3,8:12.0,Shooting foul by J. Valančiūnas (drawn by K. Kuzma),,66,71
3,8:12.0,K. Kuzma misses free throw 1 of 1,,66,71
3,8:08.0,Offensive rebound by J. McGee,,66,71
3,8:05.0,Personal foul by I. Rabb (drawn by B. Ingram),,66,71
3,8:01.0,K. Kuzma makes 2-pt layup from 1 ft (assist by J. McGee),,68,71
3,8:01.0,,Memphis full timeout,68,71
3,7:45.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by I. Rabb),68,73
3,7:27.0,B. Ingram makes 2-pt jump shot from 20 ft (assist by L. James),,70,73
3,7:12.0,,A. Bradley misses 3-pt jump shot from 23 ft,70,73
3,7:07.0,Defensive rebound by J. McGee,,70,73
3,6:54.0,R. Bullock misses 2-pt jump shot from 13 ft,,70,73
3,6:51.0,,Defensive rebound by J. Holiday,70,73
3,6:46.0,,M. Conley misses 3-pt jump shot from 25 ft,70,73
3,6:42.0,Defensive rebound by B. Ingram,,70,73
3,6:36.0,B. Ingram misses 2-pt layup from 2 ft (block by J. Holiday),,70,73
3,6:33.0,,Defensive rebound by A. Bradley,70,73
3,6:29.0,,M. Conley makes 2-pt layup from 1 ft (assist by A. Bradley),70,75
3,6:21.0,Personal foul by J. Holiday (drawn by B. Ingram),,70,75
3,6:21.0,,B. Caboclo enters the game for I. Rabb,70,75
3,6:13.0,Personal foul by J. Holiday (drawn by B. Ingram),,70,75
3,6:08.0,L. James misses 2-pt layup from 1 ft,,70,75
3,6:07.0,Offensive rebound by L. James,,70,75
3,6:05.0,L. James misses 2-pt layup from 2 ft,,70,75
3,6:05.0,Offensive rebound by L. James,,70,75
3,6:02.0,L. James makes 2-pt layup at rim,,72,75
3,5:48.0,,A. Bradley misses 2-pt jump shot from 21 ft (block by B. Ingram),72,75
3,5:44.0,Defensive rebound by L. James,,72,75
3,5:38.0,Turnover by B. Ingram (step out of bounds),,72,75
3,5:27.0,,J. Holiday misses 3-pt jump shot from 26 ft,72,75
3,5:23.0,Defensive rebound by J. McGee,,72,75
3,5:10.0,Offensive foul by J. McGee (drawn by M. Conley),,72,75
3,5:10.0,Turnover by J. McGee (offensive foul),,72,75
3,5:10.0,,J. Noah enters the game for M. Conley,72,75
3,5:10.0,,C. Parsons enters the game for J. Holiday,72,75
3,5:10.0,,D. Wright enters the game for J. Valančiūnas,72,75
3,4:52.0,,A. Bradley makes 2-pt jump shot from 8 ft (assist by J. Noah),72,77
3,4:41.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. James),,75,77
3,4:26.0,,B. Caboclo misses 3-pt jump shot from 26 ft,75,77
3,4:24.0,Defensive rebound by K. Kuzma,,75,77
3,4:08.0,K. Kuzma makes 2-pt layup from 1 ft,,77,77
3,3:51.0,,D. Wright makes 2-pt layup at rim,77,79
3,3:40.0,J. McGee misses 2-pt hook shot from 8 ft,,77,79
3,3:37.0,,Defensive rebound by B. Caboclo,77,79
3,3:30.0,,Personal foul by J. McGee (drawn by J. Noah),77,79
3,3:30.0,K. Caldwell-Pope enters the game for R. Bullock,,77,79
3,3:30.0,T. Chandler enters the game for B. Ingram,,77,79
3,3:30.0,R. Rondo enters the game for J. McGee,,77,79
3,3:23.0,,J. Noah makes 2-pt jump shot from 21 ft (assist by D. Wright),77,81
3,2:54.0,L. James misses 2-pt hook shot from 11 ft,,77,81
3,2:51.0,,Defensive rebound by J. Noah,77,81
3,2:45.0,,B. Caboclo misses 3-pt jump shot from 23 ft,77,81
3,2:40.0,,Offensive rebound by J. Noah,77,81
3,2:40.0,,J. Noah misses 2-pt layup from 1 ft,77,81
3,2:39.0,Defensive rebound by T. Chandler,,77,81
3,2:22.0,K. Kuzma makes 2-pt jump shot from 17 ft,,79,81
3,2:22.0,Shooting foul by A. Bradley (drawn by K. Kuzma),,79,81
3,2:22.0,LA Lakers full timeout,,79,81
3,2:22.0,R. Bullock enters the game for L. James,,79,81
3,2:22.0,,J. Holiday enters the game for A. Bradley,79,81
3,2:22.0,K. Kuzma misses free throw 1 of 1,,79,81
3,2:20.0,,Defensive rebound by J. Noah,79,81
3,2:07.0,,J. Holiday makes 2-pt layup at rim (assist by J. Noah),79,83
3,1:46.0,K. Kuzma misses 3-pt jump shot from 24 ft,,79,83
3,1:41.0,Offensive rebound by K. Caldwell-Pope,,79,83
3,1:38.0,Shooting foul by B. Caboclo (drawn by K. Kuzma),,79,83
3,1:38.0,K. Kuzma makes free throw 1 of 2,,80,83
3,1:38.0,K. Kuzma makes free throw 2 of 2,,81,83
3,1:28.0,,D. Wright misses 2-pt jump shot from 9 ft,81,83
3,1:25.0,,Offensive rebound by D. Wright,81,83
3,1:20.0,,B. Caboclo makes 2-pt layup from 1 ft (assist by J. Noah),81,85
3,0:59.0,Offensive foul by T. Chandler (drawn by J. Holiday),,81,85
3,0:59.0,Turnover by T. Chandler (offensive foul),,81,85
3,0:38.0,,C. Parsons misses 3-pt jump shot from 26 ft,81,85
3,0:35.0,Defensive rebound by T. Chandler,,81,85
3,0:23.0,R. Rondo misses 2-pt jump shot from 12 ft,,81,85
3,0:19.0,,Defensive rebound by J. Noah,81,85
3,0:06.0,,Personal foul by K. Caldwell-Pope (drawn by C. Parsons),81,85
3,0:05.0,,Personal foul by T. Chandler (drawn by J. Noah),81,85
3,0:05.0,,J. Noah makes free throw 1 of 2,81,86
3,0:05.0,M. Muscala enters the game for T. Chandler,,81,86
3,0:05.0,,J. Washburn enters the game for C. Parsons,81,86
3,0:05.0,,J. Noah makes free throw 2 of 2,81,87
4,11:44.0,R. Bullock misses 3-pt jump shot from 25 ft,,81,87
4,11:40.0,,Defensive rebound by C. Parsons,81,87
4,11:15.0,,Turnover by J. Noah (bad pass; steal by R. Bullock),81,87
4,11:11.0,M. Muscala misses 3-pt jump shot from 26 ft,,81,87
4,11:08.0,,Defensive rebound by B. Caboclo,81,87
4,10:52.0,,D. Wright misses 3-pt jump shot from 27 ft,81,87
4,10:48.0,Defensive rebound by R. Bullock,,81,87
4,10:42.0,Turnover by L. James (out of bounds lost ball),,81,87
4,10:29.0,,J. Holiday misses 2-pt layup from 3 ft (block by K. Caldwell-Pope),81,87
4,10:26.0,Defensive rebound by R. Rondo,,81,87
4,10:21.0,R. Rondo misses 2-pt jump shot from 21 ft,,81,87
4,10:19.0,,Defensive rebound by J. Noah,81,87
4,9:59.0,,Memphis full timeout,81,87
4,9:57.0,,Turnover by Team (shot clock),81,87
4,9:46.0,R. Rondo misses 2-pt layup from 2 ft (block by B. Caboclo),,81,87
4,9:42.0,,Defensive rebound by C. Parsons,81,87
4,9:41.0,,Turnover by C. Parsons (bad pass; steal by K. Caldwell-Pope),81,87
4,9:38.0,L. James misses 2-pt layup from 3 ft,,81,87
4,9:36.0,,Defensive rebound by J. Noah,81,87
4,9:29.0,,C. Parsons misses 3-pt jump shot from 24 ft,81,87
4,9:27.0,,Offensive rebound by D. Wright,81,87
4,9:16.0,,D. Wright misses 2-pt layup from 1 ft (block by M. Muscala),81,87
4,9:12.0,Defensive rebound by R. Rondo,,81,87
4,9:07.0,R. Rondo misses 2-pt jump shot from 18 ft,,81,87
4,9:05.0,,Defensive rebound by C. Parsons,81,87
4,8:57.0,,C. Parsons misses 3-pt jump shot from 26 ft,81,87
4,8:53.0,Defensive rebound by R. Rondo,,81,87
4,8:49.0,Turnover by R. Rondo (bad pass; steal by C. Parsons),,81,87
4,8:44.0,,J. Noah makes 2-pt dunk from 1 ft (assist by D. Wright),81,89
4,8:43.0,LA Lakers full timeout,,81,89
4,8:43.0,B. Ingram enters the game for K. Caldwell-Pope,,81,89
4,8:43.0,K. Kuzma enters the game for R. Rondo,,81,89
4,8:43.0,,M. Conley enters the game for J. Holiday,81,89
4,8:21.0,Shooting foul by C. Parsons (drawn by L. James),,81,89
4,8:21.0,L. James makes free throw 1 of 2,,82,89
4,8:21.0,L. James makes free throw 2 of 2,,83,89
4,8:06.0,,M. Conley makes 2-pt jump shot from 7 ft (assist by D. Wright),83,91
4,7:50.0,M. Muscala misses 3-pt jump shot from 27 ft,,83,91
4,7:48.0,,Defensive rebound by D. Wright,83,91
4,7:41.0,,J. Noah misses 2-pt layup from 7 ft (block by M. Muscala),83,91
4,7:41.0,Defensive rebound by Team,,83,91
4,7:41.0,J. McGee enters the game for M. Muscala,,83,91
4,7:24.0,Shooting foul by B. Caboclo (drawn by B. Ingram),,83,91
4,7:24.0,B. Ingram makes free throw 1 of 2,,84,91
4,7:24.0,B. Ingram misses free throw 2 of 2,,84,91
4,7:20.0,Offensive rebound by J. McGee,,84,91
4,7:18.0,Personal foul by C. Parsons (drawn by K. Kuzma),,84,91
4,7:07.0,L. James makes 2-pt jump shot from 11 ft (assist by B. Ingram),,86,91
4,6:47.0,,M. Conley misses 2-pt jump shot from 16 ft,86,91
4,6:43.0,Defensive rebound by L. James,,86,91
4,6:38.0,L. James misses 2-pt layup from 1 ft,,86,91
4,6:35.0,,Defensive rebound by D. Wright,86,91
4,6:19.0,,C. Parsons misses 3-pt jump shot from 25 ft,86,91
4,6:14.0,,Offensive rebound by J. Noah,86,91
4,6:14.0,,Turnover by J. Noah (lost ball; steal by L. James),86,91
4,6:08.0,B. Ingram makes 3-pt jump shot from 23 ft (assist by R. Bullock),,89,91
4,6:07.0,,Memphis full timeout,89,91
4,6:07.0,,A. Bradley enters the game for J. Noah,89,91
4,6:07.0,,J. Holiday enters the game for C. Parsons,89,91
4,6:07.0,,J. Valančiūnas enters the game for D. Wright,89,91
4,5:52.0,,J. Valančiūnas makes 2-pt hook shot from 1 ft (assist by M. Conley),89,93
4,5:33.0,L. James misses 3-pt jump shot from 31 ft,,89,93
4,5:30.0,,Defensive rebound by J. Valančiūnas,89,93
4,5:23.0,,M. Conley makes 2-pt jump shot from 13 ft,89,95
4,5:23.0,,Shooting foul by R. Bullock (drawn by M. Conley),89,95
4,5:23.0,,M. Conley makes free throw 1 of 1,89,96
4,5:13.0,Turnover by L. James (lost ball; steal by M. Conley),,89,96
4,5:12.0,,Personal take foul by K. Kuzma (drawn by M. Conley),89,96
4,5:04.0,,J. Valančiūnas misses 2-pt jump shot from 10 ft,89,96
4,4:59.0,Defensive rebound by J. McGee,,89,96
4,4:50.0,B. Ingram misses 2-pt jump shot from 15 ft,,89,96
4,4:48.0,,Defensive rebound by J. Holiday,89,96
